47de4a54e9fda7915b65bee872e5de395beab5a49099da95ce5af2a8e5d10d58,3f329117c913d4efaff774ee224d80636baa6cc4ee594e8a70e6e7456ddd8479,414ece8334837df4a0b7bfb52010481f2b290c9b5cbcadbfdf5fb5ccbea05701,e7ec43cb1b2f2fb16c6e3fe82277b465645ac212a2e000dc56ccce29ee8d3065,b90ee87f7391a176efad76bac71547af1312555a12c902e1eb68e1377572cb14
"236","物理防御力（ダウン不可）アップ","74005404","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"237","魔法防御力（ダウン不可）アップ","74005404","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"238","ＨＰ吸収ダウン","74005404","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"239","バトル時間制限","74005405","バトル時間が60秒になる。","limit_time"
"240","ダメージ減衰","74005405","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"241","ＴＰ上昇上限付与","74005405","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"242","物理防御力（ダウン不可）アップ","74005405","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"243","魔法防御力（ダウン不可）アップ","74005405","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"244","ＨＰ吸収ダウン","74005405","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"245","ダメージ減衰","74005501","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"246","ＴＰ上昇上限付与","74005501","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"247","物理防御力（ダウン不可）アップ","74005501","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"248","魔法防御力（ダウン不可）アップ","74005501","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"249","ＨＰ吸収ダウン","74005501","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"250","ＴＰダウンカット","74005501","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut"
"251","モンスター追加","74005502","ゴーレム、ウパルパが追加される。","add_shadow"
"252","ダメージ減衰","74005502","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"253","ＴＰ上昇上限付与","74005502","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"254","物理防御力（ダウン不可）アップ","74005502","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"255","魔法防御力（ダウン不可）アップ","74005502","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"256","ＨＰ吸収ダウン","74005502","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"257","ＴＰダウンカット","74005502","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut"
"258","モンスター追加","74005503","ミヤコ、アオイが追加される。","add_shadow"
"259","ダメージ減衰","74005503","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"260","ＴＰ上昇上限付与","74005503","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"261","物理防御力（ダウン不可）アップ","74005503","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"262","魔法防御力（ダウン不可）アップ","74005503","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"263","ＨＰ吸収ダウン","74005503","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"264","ＴＰダウンカット","74005503","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut"
"265","モンスター追加","74005504","ルナポッドが追加される。","add_shadow"
"266","ダメージ減衰","74005504","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"267","ＴＰ上昇上限付与","74005504","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"268","物理防御力（ダウン不可）アップ","74005504","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"269","魔法防御力（ダウン不可）アップ","74005504","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"270","ＨＰ吸収ダウン","74005504","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"271","ＴＰダウンカット","74005504","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut"
"272","バトル時間制限","74005505","バトル時間が60秒になる。","limit_time"
"273","ダメージ減衰","74005505","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"274","ＴＰ上昇上限付与","74005505","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"275","物理防御力（ダウン不可）アップ","74005505","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"276","魔法防御力（ダウン不可）アップ","74005505","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"277","ＨＰ吸収ダウン","74005505","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"278","ＴＰダウンカット","74005505","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut"
"279","シャドウ強化","74006102","ハツネ（サマー）、サレン（サマー）、スズナ、キョウカのシャドウに専用装備が追加される。","star6_shadow"
"280","シャドウ強化","74006103","スズナ、キョウカのシャドウが★6になる。","star6_shadow"
"281","編成キャラ数制限","74006103","編成可能キャラ数が4キャラになる。","limit_chara_num"
"282","編成キャラ数制限","74006104","編成可能キャラ数が4キャラになる。","limit_chara_num"
"283","物理無効バリア","74006104","バトル開始時、すべてのシャドウに物理無効バリアを展開する。","27"
"284","魔法無効バリア","74006104","バトル開始時、すべてのシャドウに魔法無効バリアを展開する。","28"
"285","編成キャラ数制限","74006105","編成可能キャラ数が4キャラになる。","limit_chara_num"
"286","物理無効バリア","74006105","バトル開始時、すべてのシャドウに物理無効バリアを展開する。","27"
"287","魔法無効バリア","74006105","バトル開始時、すべてのシャドウに魔法無効バリアを展開する。","28"
"288","シャドウ強化","74006202","レイ（ニューイヤー）、シズル（ノワール）、シズル、ネアのシャドウに専用装備が追加される。","star6_shadow"
"289","シャドウ強化","74006203","レイ（ニューイヤー）、シズルのシャドウが★6になる。","star6_shadow"
"290","編成キャラ数制限","74006203","編成可能キャラ数が4キャラになる。","limit_chara_num"
"291","編成キャラ数制限","74006204","編成可能キャラ数が4キャラになる。","limit_chara_num"
"292","ＴＰ回復","74006204","バトル開始時、すべてのシャドウのＴＰを特大回復。","energy_recover"
"293","編成キャラ数制限","74006205","編成可能キャラ数が4キャラになる。","limit_chara_num"
"294","ＴＰ回復","74006205","バトル開始時、すべてのシャドウのＴＰを特大回復させ、ＴＰ継続回復状態を付与する。","energy_recover"
"295","物理防御力（ダウン不可）アップ","74006301","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"296","魔法防御力（ダウン不可）アップ","74006301","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"297","ＴＰダウンカット","74006301","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","boss_tp_down_cut"
"298","魔法ダメージカット","74006302","バトル開始時、すべてのモンスターが魔法ダメージ30％カット状態になる。","boss_magic_cut"
"299","物理防御力（ダウン不可）アップ","74006302","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"300","魔法防御力（ダウン不可）アップ","74006302","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"301","ＴＰダウンカット","74006302","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","boss_tp_down_cut"
"302","魔法ダメージカット","74006303","バトル開始時、すべてのモンスターが魔法ダメージ60％カット状態になる。","boss_magic_cut"
"303","物理防御力（ダウン不可）アップ","74006303","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"304","魔法防御力（ダウン不可）アップ","74006303","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"305","ＴＰダウンカット","74006303","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","boss_tp_down_cut"
"306","ボス行動パターン変化","74006304","ボスモンスターの行動パターンが変化する。","boss_ub_enhance"
"307","魔法ダメージカット","74006304","バトル開始時、すべてのモンスターが魔法ダメージ90％カット状態になる。","boss_magic_cut"
"308","物理防御力（ダウン不可）アップ","74006304","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"309","魔法防御力（ダウン不可）アップ","74006304","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"310","ＴＰダウンカット","74006304","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","boss_tp_down_cut"
"311","ボス行動パターン変化","74006305","ボスモンスターの行動パターンが変化する。","boss_ub_enhance"
"312","魔法ダメージカット","74006305","バトル開始時、すべてのモンスターが魔法ダメージ90％カット状態になる。","boss_magic_cut"
"313","物理防御力（ダウン不可）アップ","74006305","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"314","魔法防御力（ダウン不可）アップ","74006305","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"315","ＴＰダウンカット","74006305","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","boss_tp_down_cut"
"316","物理防御力（ダウン不可）アップ","74006401","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"317","魔法防御力（ダウン不可）アップ","74006401","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"318","物理ダメージカット","74006402","バトル開始時、すべてのモンスターが物理ダメージ30％カット状態になる。","boss_physics_cut"
"319","物理防御力（ダウン不可）アップ","74006402","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"320","魔法防御力（ダウン不可）アップ","74006402","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"321","物理ダメージカット","74006403","バトル開始時、すべてのモンスターが物理ダメージ60％カット状態になる。","boss_physics_cut"
"322","物理防御力（ダウン不可）アップ","74006403","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"323","魔法防御力（ダウン不可）アップ","74006403","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"324","モンスター追加","74006404","ジャングルガード、マコトのシャドウ、エリコのシャドウ、スタンプが追加される。","add_shadow"
"325","ボス行動パターン変化","74006404","ボスモンスターの行動パターンが変化する。","boss_ub_enhance"
"326","物理ダメージカット","74006404","バトル開始時、すべてのモンスターが物理ダメージ90％カット状態になる。","boss_physics_cut"
"327","物理防御力（ダウン不可）アップ","74006404","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"328","魔法防御力（ダウン不可）アップ","74006404","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"329","ボス行動パターン変化","74006405","ボスモンスターの行動パターンが変化する。","boss_ub_enhance"
"330","物理ダメージカット","74006405","バトル開始時、すべてのモンスターが物理ダメージ90％カット状態になる。","boss_physics_cut"
"331","物理防御力（ダウン不可）アップ","74006405","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"332","魔法防御力（ダウン不可）アップ","74006405","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"333","ＴＰダウンカット","74006405","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","boss_tp_down_cut"
"334","ダメージ減衰","74006501","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"335","ＴＰ上昇上限付与","74006501","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"336","物理防御力（ダウン不可）アップ","74006501","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"337","魔法防御力（ダウン不可）アップ","74006501","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"338","ＨＰ吸収ダウン","74006501","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"339","ＴＰダウンカット","74006501","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut"
"340","全属性ボーナス特大アップ","74006502","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","33"
"341","ダメージ減衰","74006502","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"342","ＴＰ上昇上限付与","74006502","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"343","物理防御力（ダウン不可）アップ","74006502","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"344","魔法防御力（ダウン不可）アップ","74006502","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"345","ＨＰ吸収ダウン","74006502","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"346","ＴＰダウンカット","74006502","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut"
"347","全属性ボーナス特大アップ","74006503","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","33"
"348","ダメージ減衰","74006503","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"349","ＴＰ上昇上限付与","74006503","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"350","物理防御力（ダウン不可）アップ","74006503","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"351","魔法防御力（ダウン不可）アップ","74006503","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"352","ＨＰ吸収ダウン","74006503","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"353","ＴＰダウンカット","74006503","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut"
"354","全属性ボーナス特大アップ","74006504","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","33"
"355","ダメージ減衰","74006504","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"356","ＴＰ上昇上限付与","74006504","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"357","物理防御力（ダウン不可）アップ","74006504","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"358","魔法防御力（ダウン不可）アップ","74006504","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"359","ＨＰ吸収ダウン","74006504","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"360","ＴＰダウンカット","74006504","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut"
"361","バトル時間制限","74006505","バトル時間が60秒になる。","limit_time"
"362","全属性ボーナス特大アップ","74006505","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","33"
"363","ダメージ減衰","74006505","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"364","ＴＰ上昇上限付与","74006505","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"365","物理防御力（ダウン不可）アップ","74006505","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"366","魔法防御力（ダウン不可）アップ","74006505","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"367","ＨＰ吸収ダウン","74006505","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"368","ＴＰダウンカット","74006505","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut"
