41faa269632b8a66bf5561ea3536bc25373155c37f0240e00613260ad90bbfcb,5cdde249995dc8d86220719a891ee27e98940cea4b2bff1cb51392071a048066,20d5efdf31d966ebd1a918a0999fdcf5d0332d33b33c060c1d448a268b9c0dea,70e9dc0f89da03a4afda7f6a42b4b8c6855593f4836b1266df9793f8b12b3cf2,ebccd8d624a72a00c67fb5f2f28c3d26145814c240fc1105e4b4e88a3c71a6a9,23d9826736c9eb07dbc70c6eb9e8ae32a506105d2e05ad14426f21ab156c2d2d,185e20755eca61d7bfd0ea81db579fdc22dd92c9c11c784d3191c9e35adfcc3b,8ece71231e770d490818df4bf1e9bd9896ea2ca5ebbbccaf10c256f4dfe30dd2,75c2ce01ebe97b9b4ac00ee9fe692e0f5e77d29bb54932de9c6a633b75e4e218,458042676d13e79d98af16df06e76a6a21733b363db6ba0dc1a9ccf3a88758d3,e3a9a5a2395566be76cfde89b0f2eb7529de04431ff5c20b117ac92fdc360f34
"1","125","1","psy_fairy_idle","0","7","-220","7002","5","1.7","100"
"11","0","1","","","7","1","7003","31","1","0"
"","","2","","","7","","7004","93","",""
"psy_fairy_talk","","1","","","7","","7005","3","0.2","1"
"vo_minigame_1008_drama_9902","0","vo_minigame_1008","","","7","","7006","21","","0"
"キュキュッ！","1","1","0.5","0","7","0","7007","11","0","6"
"","","0","","","7","","7008","91","",""
"psy_fairy_idle","","1","","","7","","7009","3","0.2","1"
"psy_miyako_talk3","","119931","","","7","","7010","3","0.2","1"
"vo_minigame_1008_drama_0702","0","vo_minigame_1008","","","7","","7011","21","","0"
"うるさいの！　じゃまするななの！\nミヤコは究極のプリンを考えるのに\n忙しいの！","1","119931","1","0","7","0","7012","11","0","6"
"1","","3","","","7","","7013","93","",""
"psy_miyako_arm_crossed_in","psy_miyako_arm_crossed_loop","119931","","0","7","1","7014","3","0.2","0"
"","","7012","","","7","","7015","91","",""
"0","","0","","","7","","7016","22","",""
"psy_fairy_talk","","1","","","7","","7017","3","0.2","1"
"vo_minigame_1008_drama_9903","0","vo_minigame_1008","","","7","","7018","21","","0"
"キュ～キュ～！","1","1","0.5","0","7","0","7019","11","0","6"
"","","0","","","7","","7020","91","",""
"psy_fairy_idle","","1","","","7","","7021","3","0.2","1"
"psy_miyako_anger2","","119931","","","7","","7022","3","0.2","1"
"vo_minigame_1008_drama_0704","0","vo_minigame_1008","","","7","","7023","21","","0"
"そんなこと言われても知らないの！","1","119931","0.5","0","7","0","7024","11","0","6"
"","","0","","","7","","7025","91","",""
"0","","0","","","7","","7026","22","",""
"psy_miyako_thinking3","","119931","","","7","","7027","3","0.2","1"
"vo_minigame_1008_drama_0705","0","vo_minigame_1008","","","7","","7028","21","","0"
"ん～～……\nでも、試してみるのもよさそうなの。\nミヤコはやさしいから\nオマエの言うことを聞いてやるの！","1","119931","0.5","0","7","0","7029","11","0","5"
"1","","5","","","7","","7030","93","",""
"psy_miyako_doya_in","psy_miyako_doya_loop","119931","","0","7","1","7031","3","0.2","0"
"","","7029","","","7","","7032","91","",""
"0","","0","","","7","","7033","22","",""
"","","1","","","7","","7034","93","",""
"","","0","","","7","","7035","91","",""
"119931","-300","1","psy_miyako_start","0","8","-200","8001","1","1.7","100"
"100411","225","1","psy_walk2","1","8","-210","8002","1","1.7","100"
"103631","480","1","psy_walk3","1","8","-220","8003","1","1.7","105"
"102011","340","1","psy_walk_glad","1","8","-235","8004","1","1.7","110"
"11","0","1","","","8","1","8005","31","1","0"
"1","-300","1","psy_smoke_start","0","8","-200","8006","5","1.7","101"
"110","2","100411","","","8","0","8007","2","","-210"
"365","2.2","103631","","","8","0","8008","2","","-220"
"225","2.3","102011","","","8","0","8009","2","","-235"
"","","2","","","8","","8010","93","",""
"psy_idle_normal","","100411","","","8","","8011","3","0.2","1"
"","","0.2","","","8","","8012","93","",""
"psy_idle_normal","","103631","","","8","","8013","3","0.2","1"
"","","0.1","","","8","","8014","93","",""
"psy_talk_joy1","","102011","","","8","","8015","3","0.2","1"
"vo_minigame_1008_drama_0806","0","vo_minigame_1008","","","8","","8016","21","","0"
"おにいちゃん、遊びにきたよ～\nあれ～？　お留守なのかな？","1","102011","0.5","0","8","0","8017","11","0","8"
"","","0","","","8","","8018","91","",""
"psy_idle_joy1","","102011","","","8","","8019","3","0.2","1"
"psy_miyako_appear","psy_miyako_talk1","119931","","0.2","8","1","8020","3","0","0"
"psy_smoke_appear","psy_smoke_start","1","","0","8","0","8021","3","0","0"
"vo_minigame_1008_drama_0801","0","vo_minigame_1008","","","8","","8022","21","","0"
"ん？　アイツに何か用なの？","1","119931","0.5","0","8","0","8023","11","0","6"
"","","0","","","8","","8024","91","",""
"0","","0","","","8","","8025","22","",""
"psy_miyako_idle","","119931","","","8","","8026","3","0.2","1"
"psy_talk_surprise2","","103631","","","8","","8027","3","0.2","1"
"vo_minigame_1008_drama_0807","0","vo_minigame_1008","","","8","","8028","21","","0"
"きゃ～！？　おばけ！！","1","103631","0.5","0","8","0","8029","11","0","8"
"","","0","","","8","","8030","91","",""
"psy_idle_surprise2","","103631","","","8","","8031","3","0.2","1"
"psy_talk_joy2","","100411","","","8","","8032","3","0.2","1"
"vo_minigame_1008_drama_0808","0","vo_minigame_1008","","","8","","8033","21","","0"
"すごーい！\nにいちゃんがしかけたイタズラかな？\nにいちゃん、隠れてないで出てきなよ～","1","100411","0.5","0","8","0","8034","11","0","8"
"","","0","","","8","","8035","91","",""
"psy_idle_joy2","","100411","","","8","","8036","3","0.2","1"
"psy_miyako_panic2","","119931","","","8","","8037","3","0.2","1"
"vo_minigame_1008_drama_0802","0","vo_minigame_1008","","","8","","8038","21","","0"
"ミヤコはイタズラじゃないの。\n幽霊なの。\nあとアイツは今はいないの。","1","119931","1","0","8","0","8039","11","0","6"
"1","","3","","","8","","8040","93","",""
"psy_miyako_talk2","","119931","","","8","","8041","3","0.2","1"
"","","8039","","","8","","8042","91","",""
"0","","0","","","8","","8043","22","",""
"psy_miyako_idle","","119931","","","8","","8044","3","0.2","1"
"psy_talk_wish","","100411","","","8","","8045","3","0.2","1"
"vo_minigame_1008_drama_0809","0","vo_minigame_1008","","","8","","8046","21","","0"
"いないの？\nそれなら今のうちにイタズラを……","1","100411","0.5","0","8","0","8047","11","0","8"
"","","0","","","8","","8048","91","",""
"psy_idle_wish","","100411","","","8","","8049","3","0.2","1"
"psy_talk_anger","","103631","","","8","","8050","3","0.2","1"
"vo_minigame_1008_drama_0810","0","vo_minigame_1008","","","8","","8051","21","","0"
"お店でそんなことしちゃダメでしょ！\nというか、なんでミソギは平気なの？\n幽霊が出たんだよ？","1","103631","0.5","0","8","0","8052","11","0","8"
"","","0","","","8","","8053","91","",""
"psy_idle_anger","","103631","","","8","","8054","3","0.2","1"
"psy_talk_normal","","100411","","","8","","8055","3","0.2","1"
"0","","100411","","","8","","8056","4","",""
"vo_minigame_1008_drama_0811","0","vo_minigame_1008","","","8","","8057","21","","0"
"だってにいちゃんの友だちみたいだし。\nそれに全然怖くないもん。","1","100411","0.5","0","8","0","8058","11","0","8"
"","","0","","","8","","8059","91","",""
"1","","100411","","","8","","8060","4","",""
"psy_idle_normal","","100411","","","8","","8061","3","0.2","1"
"psy_talk_joy1","","102011","","","8","","8062","3","0.2","1"
"vo_minigame_1008_drama_0812","0","vo_minigame_1008","","","8","","8063","21","","0"
"おにいちゃんが帰ってくるまで\n一緒に遊ぼ～","1","102011","0.5","0","8","0","8064","11","0","8"
"","","0","","","8","","8065","91","",""
"psy_idle_joy1","","102011","","","8","","8066","3","0.2","1"
"psy_miyako_anger3","","119931","","","8","","8067","3","0.2","1"
"vo_minigame_1008_drama_0803","0","vo_minigame_1008","","","8","","8068","21","","0"
"遊ばないの。\nミヤコはプリン作りで忙しいの！","1","119931","0.5","0","8","0","8069","11","0","6"
"","","0","","","8","","8070","91","",""
"0","","0","","","8","","8071","22","",""
"psy_miyako_idle_anger","","119931","","","8","","8072","3","0.2","1"
"psy_talk_joy2","","102011","","","8","","8073","3","0.2","1"
"vo_minigame_1008_drama_0813","0","vo_minigame_1008","","","8","","8074","21","","0"
"プリン作り？　わぁ、楽しそう～\nミミも一緒にやっていい？","1","102011","0.5","0","8","0","8075","11","0","8"
"","","0","","","8","","8076","91","",""
"psy_idle_joy2","","102011","","","8","","8077","3","0.2","1"
"psy_miyako_doya_in","psy_miyako_doya_loop","119931","","0","8","1","8078","3","0.2","0"
"vo_minigame_1008_drama_0804","0","vo_minigame_1008","","","8","","8079","21","","0"
"ミヤコの言うこと聞くなら\n手伝わせてやってもいいの。","1","119931","0.5","0","8","0","8080","11","0","6"
"","","0","","","8","","8081","91","",""
"0","","0","","","8","","8082","22","",""
"psy_miyako_doya_idle","","119931","","","8","","8083","3","0.2","1"
"psy_jump","psy_idle_joy1","102011","","0.4","8","1","8084","3","0.2","0"
"vo_minigame_1008_drama_0814","0","vo_minigame_1008","","","8","","8085","21","","0"
"わ～い！　やった～！","1","102011","0.5","0","8","0","8086","11","0","8"
"","","0","","","8","","8087","91","",""
"psy_talk_joy2","","100411","","","8","","8088","3","0.2","1"
"vo_minigame_1008_drama_0815","0","vo_minigame_1008","","","8","","8089","21","","0"
"にいちゃんにイタズラする用のプリン\n作っちゃお～！","1","100411","0.5","0","8","0","8090","11","0","8"
"","","0","","","8","","8091","91","",""
"psy_idle_joy2","","100411","","","8","","8092","3","0.2","1"
"psy_talk_sad","","103631","","","8","","8093","3","0.2","1"
"vo_minigame_1008_drama_0816","0","vo_minigame_1008","","","8","","8094","21","","0"
"そ、そんな……\n幽霊とプリン作りなんて……","1","103631","0.5","0","8","0","8095","11","0","8"
"","","0","","","8","","8096","91","",""
"psy_idle_sad","","103631","","","8","","8097","3","0.2","1"
"psy_talk_normal","","100411","","","8","","8098","3","0.2","1"
"0","","100411","","","8","","8099","4","",""
"0","","102011","","","8","","8100","4","",""
"vo_minigame_1008_drama_0817","0","vo_minigame_1008","","","8","","8101","21","","0"
"キョウカはやらないの？","1","100411","0.5","0","8","0","8102","11","0","8"
"","","0","","","8","","8103","91","",""
"psy_idle_normal","","100411","","","8","","8104","3","0.2","1"
"psy_talk_joy2","","102011","","","8","","8105","3","0.2","1"
"vo_minigame_1008_drama_0818","0","vo_minigame_1008","","","8","","8106","21","","0"
"ミミ、キョウカちゃんと一緒に\nプリン作りたいな～","1","102011","0.5","0","8","0","8107","11","0","8"
"","","0","","","8","","8108","91","",""
"psy_idle_joy2","","102011","","","8","","8109","3","0.2","1"
"psy_talk_sad","","103631","","","8","","8110","3","0.2","1"
"vo_minigame_1008_drama_0819","0","vo_minigame_1008","","","8","","8111","21","","0"
"うぅ……わかったよ、\n私も一緒に作ります。","1","103631","0.5","0","8","0","8112","11","0","8"
"","","0","","","8","","8113","91","",""
"psy_idle_sad","","103631","","","8","","8114","3","0.2","1"
"psy_miyako_joy1","","119931","","","8","","8115","3","0.2","1"
"vo_minigame_1008_drama_0805","0","vo_minigame_1008","","","8","","8116","21","","0"
"やったの！\n手下が一気に３人も増えたの！","1","119931","0.5","0","8","0","8117","11","0","6"
"","","0","","","8","","8118","91","",""
"0","","0","","","8","","8119","22","",""
"","","1","","","8","","8120","93","",""
"","","0","","","8","","8121","91","",""
"119931","-300","1","psy_miyako_idle","0","9","-200","9001","1","1.7","100"
"1","185","1","psy_idle_normal","1","9","-220","9002","5","1.7","100"
"11","0","1","","","9","1","9003","31","1","0"
"","","1","","","9","","9004","93","",""
"psy_miyako_thinking4","","119931","","","9","","9005","3","0.2","1"
"vo_minigame_1008_drama_0901","0","vo_minigame_1008","","","9","","9006","21","","0"
"むぅ……おいしいプリンを作るのは\nなかなか難しいの。\nミヤコのアイデアもなくなりそうなの！","1","119931","1","0","9","0","9007","11","0","5"
"1","","6","","","9","","9008","93","",""
"psy_miyako_sad2","","119931","","","9","","9009","3","0.2","1"
"","","9007","","","9","","9010","91","",""
"0","","0","","","9","","9011","22","",""
"psy_miyako_talk_joy1","","119931","","","9","","9012","3","0.2","1"
"vo_minigame_1008_drama_0902","0","vo_minigame_1008","","","9","","9013","21","","0"
"オマエ、たくさん知り合いいるの。\n何かプリンのヒントになるようなものを\n持ってくるの！","1","119931","0.5","0","9","0","9014","11","0","6"
"1","","6","","","9","","9015","93","",""
"psy_miyako_guts2_in","psy_miyako_guts2_loop","119931","","0","9","1","9016","3","0.2","0"
"","","9014","","","9","","9017","91","",""
"0","","0","","","9","","9018","22","",""
"11","0","1","0","0","9","0","9019","12","0","1"
"psy_talk_guts2","psy_idle_guts2","1","","0","9","1","9020","3","0.2","0"
"","","2","","","9","","9021","93","",""
"0","","1","","","9","","9022","4","",""
"psy_run","","1","","","9","","9023","3","0.2","1"
"1000","3","1","","","9","0","9024","2","","-220"
"","","4","","","9","","9025","93","",""
"1","","1","","","9","","9026","4","",""
"psy_item01_run","","1","","","9","","9027","3","0.2","1"
"185","3","1","","","9","0","9028","2","","-220"
"","","3","","","9","","9029","93","",""
"psy_item01_up","psy_item01_up_loop","1","","0","9","1","9030","3","0.2","0"
"","","0.5","","","9","","9031","93","",""
"9033","","手錠とムチを持ってきた。","","","9","","9032","103","","0"
"psy_miyako_anger2","","119931","","","9","","9033","3","0.2","1"
"vo_minigame_1008_drama_0903","0","vo_minigame_1008","","","9","","9034","21","","0"
"い、いきなり何を持ってくるの！\nオマエはヘンタイなの！？\n見損なったの！","1","119931","0.5","0","9","0","9035","11","0","6"
"","","0","","","9","","9036","91","",""
"0","","0","","","9","","9037","22","",""
"10","0","1","0","0","9","0","9038","12","0","2"
"psy_item01_up_loop_talk","","1","","","9","","9039","3","0.2","1"
"","","3","","","9","","9040","93","",""
"psy_item01_up_loop","","1","","","9","","9041","3","0.2","1"
"psy_miyako_thinking4","","119931","","","9","","9042","3","0.2","1"
"vo_minigame_1008_drama_0904","0","vo_minigame_1008","","","9","","9043","21","","0"
"…………え？\n手錠とムチを持ってる知り合いが\nいるの？\nオマエ、本当に大丈夫なの？","1","119931","0.5","0","9","0","9044","11","0","5"
"1","","6","","","9","","9045","93","",""
"psy_miyako_talk4","","119931","","","9","","9046","3","0.2","1"
"","","9044","","","9","","9047","91","",""
"0","","0","","","9","","9048","22","",""
"","","1","","","9","","9049","93","",""
"","","0","","","9","","9050","91","",""
"119931","-300","1","psy_miyako_idle","0","10","-200","10001","1","1.7","100"
"1","1000","1","psy_idle_normal","1","10","-220","10002","5","1.7","100"
"11","0","1","","","10","1","10003","31","1","0"
"","","2","","","10","","10004","93","",""
"psy_item02_run","","1","","","10","","10005","3","0.2","1"
"185","3","1","","","10","0","10006","2","","-220"
"","","3","","","10","","10007","93","",""
"psy_item02_up","psy_item02_up_loop","1","","0","10","1","10008","3","0.2","0"
"","","0.5","","","10","","10009","93","",""
"10011","","ヒントになりそうなものだよ。","","","10","","10010","103","","0"
"psy_miyako_anger3","","119931","","","10","","10011","3","0.2","1"
"vo_minigame_1008_drama_1001","0","vo_minigame_1008","","","10","","10012","21","","0"
"また変なもの持ってきたら許さないの！\n……ん？　木の実？\nまともなもの持ってきたの！\n褒めてやるの！","1","119931","0.5","0","10","0","10013","11","0","5"
"1","","4","","","10","","10014","93","",""
"psy_miyako_talk2","","119931","","","10","","10015","3","0.2","1"
"1","","2.5","","","10","","10016","93","",""
"psy_miyako_talk_joy1","","119931","","","10","","10017","3","0.2","1"
"","","10013","","","10","","10018","91","",""
"0","","0","","","10","","10019","22","",""
"psy_miyako_thinking1","","119931","","","10","","10020","3","0.2","1"
"vo_minigame_1008_drama_1002","0","vo_minigame_1008","","","10","","10021","21","","0"
"でもなんの実なの？\nドングリはわかるけど、\nこっちの赤い実は知らないの。","1","119931","0.5","0","10","0","10022","11","0","5"
"","","0","","","10","","10023","91","",""
"0","","0","","","10","","10024","22","",""
"6","0","1","0","0","10","0","10025","12","0","3"
"psy_item02_up_loop_talk","","1","","","10","","10026","3","0.2","1"
"","","3","","","10","","10027","93","",""
"psy_item02_up_loop","","1","","","10","","10028","3","0.2","1"
"psy_miyako_sad1","","119931","","","10","","10029","3","0.2","1"
"vo_minigame_1008_drama_1003","0","vo_minigame_1008","","","10","","10030","21","","0"
"食べると火を吹く実？\nなんでそんな危ない物持ってきたの！\nやっぱりオマエは使えないの～！","1","119931","0.5","0","10","0","10031","11","0","6"
"1","","3","","","10","","10032","93","",""
"psy_miyako_anger2","","119931","","","10","","10033","3","0.2","1"
"","","10031","","","10","","10034","91","",""
"0","","0","","","10","","10035","22","",""
"","","1","","","10","","10036","93","",""
"","","0","","","10","","10037","91","",""
"119931","-300","1","psy_miyako_idle","0","11","-200","11001","1","1.7","100"
"1","1000","1","psy_idle_normal","1","11","-220","11002","5","1.7","100"
"11","0","1","","","11","1","11003","31","1","0"
"","","2","","","11","","11004","93","",""
"psy_item03_run","","1","","","11","","11005","3","0.2","1"
"185","3","1","","","11","0","11006","2","","-220"
"","","3","","","11","","11007","93","",""
"psy_item03_up","psy_item03_up_loop","1","","0","11","1","11008","3","0.2","0"
"","","0.5","","","11","","11009","93","",""
"11011","","ヒントになりそうなものだよ。","","","11","","11010","103","","0"
"psy_miyako_talk3","","119931","","","11","","11011","3","0.2","1"
"vo_minigame_1008_drama_1101","0","vo_minigame_1008","","","11","","11012","21","","0"
"３度目の正直ってやつなの？\n今度こそまともなもの持ってこないと\nオマエをプリンにしてやるの。","1","119931","1","0","11","0","11013","11","0","6"
"1","","4","","","11","","11014","93","",""
"psy_miyako_panic3","","119931","","","11","","11015","3","0.2","1"
"","","11013","","","11","","11016","91","",""
"0","","0","","","11","","11017","22","",""
"psy_miyako_thinking1","","119931","","","11","","11018","3","0.2","1"
"vo_minigame_1008_drama_1102","0","vo_minigame_1008","","","11","","11019","21","","0"
"それで、オマエが手に持ってる紙は\nなんなの？\nおいしいプリンのレシピなの？","1","119931","0.5","0","11","0","11020","11","0","6"
"","","0","","","11","","11021","91","",""
"0","","0","","","11","","11022","22","",""
"11024","","台本とシフト表","","","11","","11023","103","","0"
"psy_miyako_talk4","","119931","","","11","","11024","3","0.2","1"
"vo_minigame_1008_drama_1103","0","vo_minigame_1008","","","11","","11025","21","","0"
"……プリン作りに\nまったく役立たないの。\nオマエに頼ったミヤコが間違ってたの。","1","119931","0.5","0","11","0","11026","11","0","6"
"","","0","","","11","","11027","91","",""
"0","","0","","","11","","11028","22","",""
"psy_miyako_sad1","","119931","","","11","","11029","3","0.2","1"
"vo_minigame_1008_drama_1104","0","vo_minigame_1008","","","11","","11030","21","","0"
"これもオマエの知り合いに関係あるの？\nオマエの知り合いは\n変なヤツばっかりなの！","1","119931","0.5","0","11","0","11031","11","0","6"
"","","0","","","11","","11032","91","",""
"0","","0","","","11","","11033","22","",""
"psy_miyako_talk_joy1","","119931","","","11","","11034","3","0.2","1"
"vo_minigame_1008_drama_1105","0","vo_minigame_1008","","","11","","11035","21","","0"
"でもミヤコはやさしいから、\nオマエの使えないヒントからでも\nおいしいプリンを作ってやるの！\n感謝するの！","1","119931","0.5","0","11","0","11036","11","0","6"
"1","","5","","","11","","11037","93","",""
"psy_miyako_doya_in","psy_miyako_doya_loop","119931","","0","11","1","11038","3","0.2","0"
"","","11036","","","11","","11039","91","",""
"0","","0","","","11","","11040","22","",""
"","","1.5","","","11","","11041","93","",""
"","","0","","","11","","11042","91","",""
