e0b6837fdafd1fe2da0eaf99eaa175047e64b453a4f296c44da480974c86a7a9,4ab9d632fd5e565e56483f5691dba5f788ca7d5334e65a6e01dabe29bd752a9b,ba114d7880937d8196c5b636470ff107e46c1bf848daa66c237b70ed8ad1009e,fa76170eea47a72b1a21c5a8e7f23b9596fdfec3c36f1321d34512ecace24c2f,9c8b28d4c49d837f86957e47a4ce15a0170d953099ab94eb53dc6a08b94c3ae3,78f9d07184b9585d128eaa68d7c1a4c8c9311f33dcb381ca3275b0b3576275dd,90262e08cd643ac883138795fba1d62261e00267c3a2ce08efa98bf893a65a2e,44d72bddac519dd74e2a1805da987677c8ef12c4b1312ec3ab8492e10535e6d5,39256866e38961adabbeb4d49c8f4fd772bcb9f2d74c7eab0d68b87bb7784a41,72645734f5f0e16bd4b124950a5e4d3535fc6f40025f64c5aeec7b5d9585a8ca,313259d91d7b300a4f788ff7df94e3e90dc33ac21816372279b925d6fedef0e7
"","","5","6.26923076923077","902","","850","","33","-125","19020060"
"","","1","","902","","0","","93","","19020061"
"0.1","","6","","902","","02_neneka_floatRing","","3","1","19020062"
"","","6","6.63800904977376","902","","850","","2","-250","19020063"
"","","6","6.63800904977376","902","","850","","33","-250","19020064"
"","","0","","902","","","","91","","19020065"
"","","1","","902","","0","","93","","19020066"
"","","0","","902","","","","91","","19020067"
"1.4875","03_cmn_walk_styk_N2","1","-750","903","0","113211","-15","1","12","19030001"
"1.4875","03_cmn_run_def_N","1","750","903","0","113311","-15","1","12","19030002"
"","","se_10053800","","903","","se_fpc_water_random","","23","1","19030003"
"","","19030002","","903","","0","","91","","19030004"
"","","113211","3.52941176470588","903","","-150","","2","-15","19030005"
"","","1.5","","903","","0","","93","","19030006"
"","","113311","2.71493212669683","903","","150","","2","-15","19030007"
"","","19030005","","903","","","","91","","19030008"
"0.1","","113211","","903","","03_cmn_idol_def_N","","3","1","19030009"
"","","19030007","","903","","","","91","","19030010"
"0.3","","113311","","903","","03_nanaka_gufufu","","3","1","19030011"
"","","0.3","","903","","0","","93","","19030012"
"","","vo_fpc","0","903","","vo_fpc_20300","","21","","19030013"
"0","0.5","113311","1","903","0","ぐっふっふ、\nさすがアンナたそ♪","0","11","10","19030014"
"","","0","","903","","","","91","","19030015"
"","","0.5","","903","","0","","93","","19030016"
"","","vo_fpc","0","903","","vo_fpc_20301","","21","","19030017"
"0","0.5","113311","1","903","0","ナナカちゃんセレクトの伝説のスク水を\n完璧に着こなしておりますなあ！","0","11","10","19030018"
"","","0","","903","","","","91","","19030019"
"","","0.5","","903","","0","","93","","19030020"
"0.1","","113211","","903","","03_anna_shy","","3","1","19030021"
"","","vo_fpc","0","903","","vo_fpc_20302","","21","","19030022"
"0","0.5","113211","1","903","0","なっ、これは他に持ってないから\n仕方なくだなあ…","0","11","10","19030023"
"","","0","","903","","","","91","","19030024"
"","","0.5","","903","","0","","93","","19030025"
"","","vo_fpc","0","903","","vo_fpc_20303","","21","","19030026"
"0","0.5","113311","1","903","0","だいじょぶだいじょぶ、\n似合ってるのはホントだってば！","0","11","10","19030027"
"","","0","","903","","","","91","","19030028"
"","","0.5","","903","","0","","93","","19030029"
"","","vo_fpc","0","903","","vo_fpc_20304","","21","","19030030"
"0","0.5","113311","1","903","0","それともぉ…\nこっちの水着と交換してみる？","0","11","10","19030031"
"","","0","","903","","","","91","","19030032"
"","","0.5","","903","","0","","93","","19030033"
"0.1","","113211","03_anna_pui_loop","903","","03_anna_pui_in","1","3","0","19030034"
"","","vo_fpc","0","903","","vo_fpc_20305","","21","","19030035"
"0","0.5","113211","1","903","0","それはそれで恥ずかしいじゃないか！","0","11","10","19030036"
"","","0","","903","","","","91","","19030037"
"","","0.5","","903","","0","","93","","19030038"
"","","vo_fpc","0","903","","vo_fpc_20306","","21","","19030039"
"0","0.5","113211","1","903","0","わ、我には友が選んでくれた\nこのスク水で十分だ！","0","11","10","19030040"
"","","0","","903","","","","91","","19030041"
"","","0.5","","903","","0","","93","","19030042"
"0.1","","113311","","903","","1","","4","1","19030043"
"0.1","","113211","","903","","1","","4","1","19030044"
"0.1","","113311","","903","","03_cmn_run_def_N","","3","1","19030045"
"0.1","","113211","","903","","03_cmn_walk_styk_N2","","3","1","19030046"
"","","113311","2.71493212669683","903","","750","","2","-15","19030047"
"","","113211","3.52941176470588","903","","-750","","2","-15","19030048"
"","","0","","903","","","","91","","19030049"
"1.75","04_misogi_flutterKick_loop","1","-910","904","0","122811","-180","1","22","19040001"
"1.75","04_mimi_flutterKick_loop","1","-910","904","0","122911","-125","1","12","19040002"
"1.75","04_kyouka_flutterKick_loop","1","-910","904","0","122711","-180","1","22","19040003"
"1.75","04_yuni_flutterKick_loop","1","-910","904","0","129311","-180","1","23","19040004"
"1.75","cmn_swm_flutterKick_floatBoad","1","-910","904","0","1","-180","5","22","19040005"
"1.75","empty","3","-50","904","0","3","-180","5","24","19040006"
"1","","1","-180","904","","1","1","31","-910","19040007"
"0","","4","-180","904","","11","1","31","-910","19040008"
"1","","7","-125","904","","2","1","31","-910","19040009"
"0","","4","-125","904","","21","1","31","-910","19040010"
"1","","1","-180","904","","3","1","31","-910","19040011"
"0","","4","-180","904","","31","1","31","-910","19040012"
"1","","1","-180","904","","4","1","31","-910","19040013"
"0","","4","-180","904","","41","1","31","-50","19040014"
"0","","1006","0","904","","1006","1","31","-180","19040015"
"","","se_10053800","","904","","se_fpc_water_random","","23","1","19040016"
"","","19040015","","904","","0","","91","","19040017"
"","","122811","5.81447963800905","904","","375","12","2","-180","19040018"
"","","1","5.81447963800905","904","","375","12","33","-180","19040019"
"","","11","5.81447963800905","904","","375","12","33","-180","19040020"
"","","","","904","","","","91","","19040021"
"","","1","","904","","0","","32","","19040022"
"","","11","","904","","1","","32","","19040023"
"0.1","","122811","04_misogi_float_loop","904","0.1","04_misogi_float_in","1","3","0","19040024"
"","","0.9","","904","","0","","93","","19040025"
"","","vo_fpc","0","904","","vo_fpc_20400","","21","","19040026"
"0","0.5","122811","1","904","0","わーい！　ミソギがいっちばーん！\nオニさんこっちらー！","0","11","10","19040027"
"","","0","","904","","","","91","","19040028"
"","","0.5","","904","","0","","93","","19040029"
"","","122911","5.94117647058824","904","","100","12","2","-125","19040030"
"","","2","5.94117647058824","904","","100","12","33","-125","19040031"
"","","21","5.94117647058824","904","","100","12","33","-125","19040032"
"","","2","","904","","0","","93","","19040033"
"","","vo_fpc","0","904","","vo_fpc_20401","","21","","19040034"
"0","0.5","122911","1","904","0","逃げろ逃げろ～！","0","11","10","19040035"
"","","19040032","","904","","","","91","","19040036"
"","","2","","904","","0","","32","","19040037"
"","","21","","904","","1","","32","","19040038"
"0.1","","122911","04_mimi_float_loop","904","0.1","04_mimi_float_in","1","3","0","19040039"
"","","122711","5.40441176470588","904","","-175","12","2","-180","19040040"
"","","3","5.40441176470588","904","","-175","12","33","-180","19040041"
"","","31","5.40441176470588","904","","-175","12","33","-180","19040042"
"","","2","","904","","0","","93","","19040043"
"","","vo_fpc","0","904","","vo_fpc_20402","","21","","19040044"
"0","0","122711","1","904","0","も～！　二人とも待ってよ～！","0","11","10","19040045"
"","","19040042","","904","","","","91","","19040046"
"","","3","","904","","0","","32","","19040047"
"","","31","","904","","1","","32","","19040048"
"0.1","","122711","04_kyouka_float_loop","904","0.1","04_kyouka_float_in","1","3","0","19040049"
"","","1.2","","904","","0","","93","","19040050"
"","","1006","","904","","1","","32","","19040051"
"","","0.8","","904","","0","","93","","19040052"
"","","1","","904","","1","","32","","19040053"
"","","11","","904","","0","","32","","19040054"
"","","2","","904","","1","","32","","19040055"
"","","21","","904","","0","","32","","19040056"
"","","3","","904","","1","","32","","19040057"
"","","31","","904","","0","","32","","19040058"
"0.1","","122811","04_misogi_flutterKick_loop","904","0.1","04_misogi_flutterKick_in","1","3","0","19040059"
"","","122811","2.82805429864253","904","","1000","","2","-180","19040060"
"","","1","2.82805429864253","904","","1000","","33","-180","19040061"
"","","0.1","","904","","0","","93","","19040062"
"0.1","","122911","04_mimi_flutterKick_loop","904","0.1","04_mimi_flutterKick_in","1","3","0","19040063"
"","","122911","4.07239819004525","904","","1000","","2","-125","19040064"
"","","2","4.07239819004525","904","","1000","","33","-125","19040065"
"","","0.1","","904","","0","","93","","19040066"
"0.1","","122711","04_kyouka_flutterKick_loop","904","0.1","04_kyouka_flutterKick_in","1","3","0","19040067"
"","","122711","5.31674208144796","904","","1000","","2","-180","19040068"
"","","3","5.31674208144796","904","","1000","","33","-180","19040069"
"","","0.1","","904","","0","","93","","19040070"
"","","129311","5.05882352941176","904","","-50","","2","-180","19040071"
"","","4","5.05882352941176","904","","-50","","33","-180","19040072"
"","","1","5.05882352941176","904","","-50","","2","-180","19040073"
"","","2","","904","","0","","93","","19040074"
"","","vo_fpc","0","904","","vo_fpc_20403","","21","","19040075"
"0","0.5","129311","1","904","0","わーい♪","0","11","10","19040076"
"","","2.75882352941176","","904","","0","","93","","19040077"
"0.1","","3","04_yuni_flutterKick_pause_loop","904","0.1","04_yuni_flutterKick_pause_in","1","3","0","19040078"
"0.1","","129311","04_yuni_flutterKick_pause_loop","904","0.1","04_yuni_flutterKick_pause_in","1","3","0","19040079"
"0.1","","1","04_yuni_flutterKick_pause_loop","904","0.1","04_yuni_flutterKick_pause_in","1","3","0","19040080"
"","","0.3","","904","","0","","93","","19040081"
"","","vo_fpc","0","904","","vo_fpc_20404","","21","","19040082"
"","","4","","904","","0","","32","","19040083"
"","","41","","904","","1","","32","","19040084"
"","","5","","904","","0","","93","","19040085"
"0.1","","3","","904","","empty","","3","0","19040086"
"0.2","","129311","04_yuni_flutterKick_loop","904","0.1","04_yuni_flutterKick_in","1","3","0","19040087"
"0.2","","1","cmn_swm_flutterKick_floatBoad","904","0.1","04_yuni_flutterKick_in","1","3","0","19040088"
"","","4","","904","","1","","32","","19040089"
"","","41","","904","","0","","32","","19040090"
"","","129311","6.17647058823529","904","","1000","","2","-180","19040091"
"","","1","6.17647058823529","904","","1000","","2","-180","19040092"
"","","4","6.17647058823529","904","","1000","","33","-180","19040093"
"","","0.3","","904","","0","","93","","19040094"
"","","vo_fpc","0","904","","vo_fpc_20405","","21","","19040095"
"0","0.5","129311","1","904","0","わーいわーい♪","0","11","10","19040096"
"","","19040091","","904","","","","91","","19040097"
"1.75","cmn_swm_flutterKick","1","-910","905","0","117111","-125","1","12","19050001"
"1.75","cmn_swm_flutterKick","1","-910","905","0","117011","-180","1","22","19050002"
"1.4875","cmn_walk_r","1","750","905","0","107611","-15","1","12","19050003"
"1","","7","-125","905","","1","1","31","-910","19050004"
"0","","4","-125","905","","11","1","31","-910","19050005"
"1","","1","-180","905","","2","1","31","-910","19050006"
"0","","4","-180","905","","21","1","31","-910","19050007"
"","","se_10053800","","905","","se_fpc_water_random","","23","1","19050008"
"","","19050007","","905","","0","","91","","19050009"
"","","117111","5.35294117647059","905","","0","12","2","-125","19050010"
"","","1","5.35294117647059","905","","0","12","33","-125","19050011"
"","","11","5.35294117647059","905","","0","12","33","-125","19050012"
"","","","","905","","","","91","","19050013"
"","","1","","905","","0","","32","","19050014"
"","","11","","905","","1","","32","","19050015"
"0.1","","117111","05_shizuru_search_loop","905","0.1","05_shizuru_search_in","1","3","0","19050016"
"","","1","","905","","0","","93","","19050017"
"","","vo_fpc","0","905","","vo_fpc_20500","","21","","19050018"
"0","0.5","117111","1","905","0","うーん…おかしいなあ…\nここらへんで弟くんの「気」を\n感じたんだけど…","0","11","10","19050019"
"","","1.81764705882353","","905","","1","","93","","19050020"
"","","117011","3.88235294117647","905","","-250","12","2","-180","19050021"
"","","2","3.88235294117647","905","","-250","12","33","-180","19050022"
"","","21","3.88235294117647","905","","-250","12","33","-180","19050023"
"","","2.38235294117647","","905","","0","","93","","19050024"
"","","1.5","","905","","0","","93","","19050025"
"","","19050019","","905","","","","91","","19050026"
"","","19050021","","905","","","","91","","19050027"
"0.1","","117011","05_eriko_talk_loop","905","0.1","05_eriko_talk_in","1","3","0","19050028"
"","","2","","905","","0","","32","","19050029"
"","","21","","905","","1","","32","","19050030"
"","","vo_fpc","0","905","","vo_fpc_20501","","21","","19050031"
"0","0.5","117011","1","905","0","あのおかたのオーラの残滓…\n確かにこのあたりなのですが…","0","11","10","19050032"
"","","2.15294117647059","","905","","1","","93","","19050033"
"","","107611","2.64705882352941","905","","300","0","2","-15","19050034"
"","","1.14705882352941","","905","","0","","93","","19050035"
"","","1.5","","905","","0","","93","","19050036"
"","","19050032","","905","","","","91","","19050037"
"","","19050034","","905","","","","91","","19050038"
"0.2","","107611","","905","","05_kokkoro_talk","","3","1","19050039"
"","","vo_fpc","0","905","","vo_fpc_20502","","21","","19050040"
"0","0.5","107611","1","905","0","シズルさまにエリコさま、\nどうかされたのですか？","0","11","10","19050041"
"","","0","","905","","","","91","","19050042"
"","","0.5","","905","","0","","93","","19050043"
"0.1","","117111","05_shizuru_greet_loop","905","0.1","05_shizuru_greet_in","1","3","0","19050044"
"","","vo_fpc","0","905","","vo_fpc_20503","","21","","19050045"
"0","0.5","117111","1","905","0","あ、コッコロちゃん♪\nそっかー、コッコロちゃんに残った\n弟くんの「気」を感じちゃったんだね♪","0","11","10","19050046"
"","","0","","905","","","","91","","19050047"
"","","0.5","","905","","0","","93","","19050048"
"0.1","","117011","05_eriko_pressure_loop","905","0.1","05_eriko_pressure_in","1","3","0","19050049"
"","","vo_fpc","0","905","","vo_fpc_20504","","21","","19050050"
"0","0.5","117011","1","905","0","なんですか、その気持ちの悪い根拠は。\nそれよりも、あの方はどこにおられるのか\n知っているのでしょう？\n隠し立ては許しませんよ。","0","11","10","19050051"
"","","0","","905","","","","91","","19050052"
"","","0.5","","905","","0","","93","","19050053"
"0.3","","107611","","905","","05_kokkoro_talk2","","3","1","19050054"
"","","vo_fpc","0","905","","vo_fpc_20505","","21","","19050055"
"0","0.5","107611","1","905","0","隠し立てなど、そんな。","0","11","10","19050056"
"","","0","","905","","","","91","","19050057"
"","","0.5","","905","","0","","93","","19050058"
"0.1","","107611","05_kokkoro_point_loop","905","0.1","05_kokkoro_point_in","1","3","0","19050059"
"","","vo_fpc","0","905","","vo_fpc_20506","","21","","19050060"
"0","0.5","107611","1","905","0","主さまは先ほどあちらの方に\n流れていかれましたが…","0","11","10","19050061"
"","","0","","905","","","","91","","19050062"
"","","0.5","","905","","0","","93","","19050063"
"0.1","","117111","05_shizuru_smile_loop","905","0.1","05_shizuru_smile_in","1","3","0","19050064"
"","","vo_fpc","0","905","","vo_fpc_20507","","21","","19050065"
"0","0.5","117111","1","905","0","あっちね！\nよーし、お姉ちゃんが\n今すぐ助けにいくからね！","0","11","10","19050066"
"","","0","","905","","","","91","","19050067"
"","","0.5","","905","","0","","93","","19050068"
"0.1","","117011","05_eriko_sad_loop","905","0.1","05_eriko_sad_in","1","3","0","19050069"
"","","vo_fpc","0","905","","vo_fpc_20508","","21","","19050070"
"0","0.5","117011","1","905","0","ああ、なんということ…\n私が今お助けに向かいます！","0","11","10","19050071"
"","","0","","905","","","","91","","19050072"
"","","0.5","","905","","0","","93","","19050073"
"0.1","","117111","05_shizuru_flutterKick_loop","905","0.1","05_shizuru_flutterKick_in","1","3","0","19050074"
"","","117111","2.66169816342827","905","","1000","","2","-125","19050075"
"","","1","2.66169816342827","905","","1000","","33","-125","19050076"
"","","1","","905","","1","","32","","19050077"
"","","11","","905","","0","","32","","19050078"
"","","0.1","","905","","0","","93","","19050079"
"0.1","","117011","05_eriko_flutterKick_loop","905","0.1","05_eriko_flutterKick_in","1","3","0","19050080"
"","","117011","3.14228255404726","905","","1000","","2","-180","19050081"
"","","2","3.14228255404726","905","","1000","","33","-180","19050082"
"","","2","","905","","1","","32","","19050083"
"","","21","","905","","0","","32","","19050084"
"","","19050081","","905","","","","91","","19050085"
"0.1","","107611","05_kokkoro_talk3_loop","905","0.1","05_kokkoro_talk3_in","1","3","0","19050086"
"","","vo_fpc","0","905","","vo_fpc_20509","","21","","19050087"
"0","0.5","107611","1","905","0","行ってしまわれました…","0","11","10","19050088"
"","","0","","905","","","","91","","19050089"
"","","0.5","","905","","0","","93","","19050090"
"","","vo_fpc","0","905","","vo_fpc_20510","","21","","19050091"
"0","0.5","107611","1","905","0","あのお二人が揃われると\n何が起こるか心配ですね…","0","11","10","19050092"
"","","0","","905","","","","91","","19050093"
"","","0.5","","905","","0","","93","","19050094"
"","","vo_fpc","0","905","","vo_fpc_20511","","21","","19050095"
"0","0.5","107611","1","905","0","主さまの前で暴走されぬよう\nわたくしが見張っておかねば…！","0","11","10","19050096"
"","","0","","905","","","","91","","19050097"
"","","0.5","","905","","0","","93","","19050098"
"","","107611","1.65912518853695","905","","850","0","2","-15","19050099"
"0.2","","107611","","905","","05_kokkoro_run","","3","1","19050100"
"","","vo_fpc","0","905","","vo_fpc_20512","","21","","19050101"
"0","0.5","107611","1","905","0","主さまー！","0","11","10","19050102"
"","","0","","905","","","","91","","19050103"
"","","0.5","","905","","0","","93","","19050104"
"","","19050099","","905","","","","91","","19050105"
"1.75","cmn_float","1","-850","906","0","126911","-180","1","22","19060001"
"1.75","cmn_float","1","-850","906","0","117311","-125","1","12","19060002"
"1","","6","-180","906","","11","1","31","-850","19060003"
"0","","1007","-180","906","","10071","1","31","-850","19060004"
"1","","6","-125","906","","21","1","31","-850","19060005"
"0","","1007","-125","906","","10072","1","31","-850","19060006"
"0","","1008","-125","906","","10081","1","31","-850","19060007"
"","","se_10053800","","906","","se_fpc_water_random","","23","1","19060008"
"","","19060007","","906","","0","","91","","19060009"
"","","126911","6.25","906","","0","12","2","-180","19060010"
"","","11","6.25","906","","0","12","33","-180","19060011"
"","","10071","6.25","906","","0","12","33","-180","19060012"
"","","3","","906","","0","","93","","19060013"
"","","vo_fpc","0","906","","vo_fpc_20600","","21","","19060014"
"0.2","","126911","","906","","06_cmn_float_sing","","3","1","19060015"
"","","10071","","906","","1","","32","","19060016"
"","","19060010","","906","","","","91","","19060017"
"0.2","","126911","","906","","cmn_float","","3","1","19060018"
"","","vo_fpc","0","906","","vo_fpc_20601","","21","","19060019"
"0","0.5","126911","1","906","0","たまには、こういう所も\n悪くないかも…","0","11","10","19060020"
"","","0","","906","","","","91","","19060021"
"","","0.5","","906","","0","","93","","19060022"
"","","117311","5.14705882352941","906","","-150","12","2","-125","19060023"
"","","21","5.14705882352941","906","","-150","12","33","-125","19060024"
"","","10072","5.14705882352941","906","","-150","12","33","-125","19060025"
"","","10081","5.14705882352941","906","","-150","12","33","-125","19060026"
"","","126911","5.14705882352941","906","","150","12","2","-180","19060027"
"","","11","5.14705882352941","906","","150","12","33","-180","19060028"
"","","10071","5.14705882352941","906","","150","12","33","-180","19060029"
"","","2.5","","906","","0","","93","","19060030"
"","","vo_fpc","0","906","","vo_fpc_20602","","21","","19060031"
"0.2","","126911","","906","","06_cmn_float_sing","","3","1","19060032"
"0.2","","117311","","906","","06_cmn_float_sing","","3","1","19060033"
"","","10071","","906","","0","","32","","19060034"
"","","10071","","906","","1","","32","","19060035"
"","","10072","","906","","1","","32","","19060036"
"","","19060029","","906","","","","91","","19060037"
"","","126911","","906","","1","","4","","19060038"
"","","11","0","906","","180","","33","-180","19060039"
"0.1","","126911","06_ranpha_float_shy","906","0.1","06_ranpha_float_notice","1","3","0","19060040"
"","","117311","","906","0.1","cmn_float","","3","1","19060041"
"","","vo_fpc","0","906","","vo_fpc_20603","","21","","19060042"
"0","0.5","126911","1","906","0","あっ…","0","11","10","19060043"
"","","0","","906","","","","91","","19060044"
"","","0.5","","906","","0","","93","","19060045"
"0.1","","117311","06_chika_float_notice","906","0.1","06_chika_float_notice_in","1","3","0","19060046"
"","","vo_fpc","0","906","","vo_fpc_20604","","21","","19060047"
"0","0.5","117311","1","906","0","ごめんなさい、素敵な歌だったから\nつい合わせてしまって…\nお邪魔でしたよね。","0","11","10","19060048"
"","","0","","906","","","","91","","19060049"
"","","0.5","","906","","0","","93","","19060050"
"","","vo_fpc","0","906","","vo_fpc_20605","","21","","19060051"
"0","0.5","126911","1","906","0","ううん…\nそっちも、とても素敵な歌…\nだから、よければもう少し、\nこのまま…","0","11","10","19060052"
"","","0","","906","","","","91","","19060053"
"","","0.5","","906","","0","","93","","19060054"
"0.2","","117311","","906","","06_chika_float_smile","","3","1","19060055"
"","","vo_fpc","0","906","","vo_fpc_20606","","21","","19060056"
"0","0.5","117311","1","906","0","はい。","0","11","10","19060057"
"","","0","","906","","","","91","","19060058"
"","","0.5","","906","","0","","93","","19060059"
"","","vo_fpc","0","906","","vo_fpc_20607","","21","","19060060"
"0.2","","126911","","906","","06_cmn_float_sing","","3","1","19060061"
"0.2","","117311","","906","","06_cmn_float_sing","","3","1","19060062"
"","","10071","","906","","0","","32","","19060063"
"","","10071","","906","","1","","32","","19060064"
"","","10081","","906","","1","","32","","19060065"
"","","2","","906","","0","","93","","19060066"
"","","126911","4.11764705882353","906","","850","","2","-180","19060067"
"","","11","4.11764705882353","906","","880","","33","-180","19060068"
"","","10071","4.11764705882353","906","","880","","33","-180","19060069"
"","","117311","5.88235294117647","906","","850","","2","-125","19060070"
"","","21","5.88235294117647","906","","850","","33","-125","19060071"
"","","10081","5.88235294117647","906","","850","","33","-125","19060072"
"","","1.5","","906","","0","","93","","19060073"
"","","10071","","906","","0","","32","","19060074"
"","","10071","","906","","1","","32","","19060075"
"","","10081","","906","","0","","32","","19060076"
"","","10081","","906","","1","","32","","19060077"
"","","19060070","","906","","","","91","","19060078"
"1.75","07_shinobu_search","1","-850","907","0","127111","-125","1","12","19070001"
"1.75","07_ruka_float","1","-850","907","0","113111","-180","1","22","19070002"
"1.75","07_dokuro_float","4","-850","907","0","4","-180","5","22","19070003"
"1","","5","-125","907","","11","1","31","-850","19070004"
"1","","4","-180","907","","21","1","31","-850","19070005"
"1","","4","-180","907","","31","1","31","-850","19070006"
"","","se_10053800","","907","","se_fpc_water_random","","23","1","19070007"
"","","19070006","","907","","0","","91","","19070008"
"0.1","","127111","","907","","07_shinobu_search","","3","1","19070009"
"","","127111","8.38806396344946","907","","325","12","2","-125","19070010"
"","","11","8.38806396344946","907","","325","12","33","-125","19070011"
"","","","","907","","","","91","","19070012"
"0.1","","127111","07_shinobu_talk_loop","907","0.1","07_shinobu_talk_in","1","3","0","19070013"
"","","1","","907","","0","","93","","19070014"
"","","vo_fpc","0","907","","vo_fpc_20700","","21","","19070015"
"0","0.5","127111","1","907","0","お父さん、どこに行ったのかしら？\nまた何か事件を起こしてないといいけど…","0","11","10","19070016"
"","","0","","907","","","","91","","19070017"
"","","0.5","","907","","0","","93","","19070018"
"","","113111","4.11764705882353","907","","-150","12","2","-180","19070019"
"","","21","4.11764705882353","907","","-150","12","33","-180","19070020"
"","","","","907","","","","91","","19070021"
"0.1","","113111","","907","","07_ruka_float2","","3","1","19070022"
"","","vo_fpc","0","907","","vo_fpc_20701","","21","","19070023"
"0","0.5","113111","1","907","0","くっ、まさかこんな場所でしゃれこうべに\nでくわすなんてね…","0","11","10","19070024"
"","","0","","907","","","","91","","19070025"
"","","0.5","","907","","0","","93","","19070026"
"","","vo_fpc","0","907","","vo_fpc_20702","","21","","19070027"
"0","0.5","113111","1","907","0","アイツの前で取り乱して、\nつい蹴っ飛ばしちまったが…","0","11","10","19070028"
"","","0","","907","","","","91","","19070029"
"","","0.5","","907","","0","","93","","19070030"
"","","vo_fpc","0","907","","vo_fpc_20703","","21","","19070031"
"0","0.5","113111","1","907","0","あれから見当たらないってことは\nちゃんと成仏してりゃいいけども…","0","11","10","19070032"
"","","0","","907","","","","91","","19070033"
"","","0.5","","907","","0","","93","","19070034"
"0.1","","113111","","907","","07_ruka_float","","3","1","19070035"
"","","vo_fpc","0","907","","vo_fpc_20704","","21","","19070036"
"0","0.5","113111","1","907","0","『一緒に』とか『逝こう』とか言ってたし\n何か現世に恨みでもあったのかねえ？","0","11","10","19070037"
"","","0","","907","","","","91","","19070038"
"","","0.5","","907","","0","","93","","19070039"
"","","113111","4.52488687782805","907","","850","","2","-180","19070040"
"","","21","4.52488687782805","907","","850","","33","-180","19070041"
"","","113111","","907","","1","","4","","19070042"
"0.1","","113111","","907","","07_ruka_float","","3","1","19070043"
"","","3.2","","907","","0","","93","","19070044"
"0.1","","127111","07_shinobu_turnFace_loop","907","0.1","07_shinobu_turnFace_in","1","3","0","19070045"
"","","19070040","","907","","","","91","","19070046"
"","","4","3.82352941176471","907","","-200","","2","-180","19070047"
"","","31","3.82352941176471","907","","-200","","33","-180","19070048"
"","","19070047","","907","","","","91","","19070049"
"0.1","","127111","07_shinobu_surprise_loop","907","0.1","07_shinobu_surprise_in","1","3","0","19070050"
"","","vo_fpc","0","907","","vo_fpc_20705","","21","","19070051"
"0","0.5","4","1","907","120","うう…おね…","0","11","10","19070052"
"","","0","","907","","","","91","","19070053"
"","","0.5","","907","","0","","93","","19070054"
"0.2","","4","","907","","07_dokuro_spin","","3","1","19070055"
"","","vo_fpc","0","907","","vo_fpc_20706","","21","","19070056"
"0","0.5","4","1","907","120","おねーちゃん、いっしょに\nウォータースライダーいかなーい？\nぐへへへ…","0","11","10","19070057"
"","","0","","907","","","","91","","19070058"
"","","0.5","","907","","0","","93","","19070059"
"0.1","","127111","07_shinobu_sad_loop","907","0.1","07_shinobu_sad_in","1","3","0","19070060"
"","","vo_fpc","0","907","","vo_fpc_20707","","21","","19070061"
"0","0.5","127111","1","907","0","やっぱり自業自得のようですね…\n放っておきましょう。","0","11","10","19070062"
"","","0","","907","","","","91","","19070063"
"","","0.5","","907","","0","","93","","19070064"
"0.1","","127111","07_shinobu_swim_loop","907","0.1","07_shinobu_swim_in","1","3","0","19070065"
"","","11","","907","","1","","32","","19070066"
"","","127111","3.08823529411765","907","","850","","2","-125","19070067"
"","","11","3.08823529411765","907","","850","","33","-125","19070068"
"0.3","","4","","907","","07_dokuro_float","","3","1","19070069"
"","","4","6.17647058823529","907","","850","","2","-180","19070070"
"","","31","6.17647058823529","907","","850","","33","-180","19070071"
"","","19070070","","907","","","","91","","19070072"
"1.4875","cmn_walk_r","1","750","908","0","107811","-15","1","12","19080001"
"1.75","cmn_swm_tread","1","-900","908","0","126911","-180","1","23","19080002"
"1.75","08_penpokorin","5","-900","908","0","5","-180","5","22","19080003"
"0","","1007","-180","908","","10071","1","31","-850","19080004"
"1","","3","-180","908","","3","1","31","-900","19080005"
"","","se_10053800","","908","","se_fpc_water_random","","23","1","19080006"
"","","19080005","","908","","","","91","","19080007"
"","","126911","5.88235294117647","908","","-100","12","2","-180","19080008"
"","","5","5.88235294117647","908","","-100","12","2","-180","19080009"
"","","3","5.88235294117647","908","","-100","12","33","-180","19080010"
"","","10071","5.88235294117647","908","","-50","12","33","-180","19080011"
"","","2.3","","908","","0","","93","","19080012"
"","","vo_fpc","0","908","","vo_fpc_20800","","21","","19080013"
"","","10071","","908","","1","","32","","19080014"
"","","107811","3.30882352941176","908","","300","12","2","-15","19080015"
"","","19080015","","908","","","","91","","19080016"
"0.1","","107811","08_kyaru_surprise_loop","908","0.1","08_kyaru_surprise_in","1","3","0","19080017"
"","","vo_fpc","0","908","","vo_fpc_20801","","21","","19080018"
"0","0.5","107811","1","908","0","うわっ、あんたそれ…\nミソラの連れてた変な物体じゃない！","0","11","10","19080019"
"","","0","","908","","","","91","","19080020"
"","","0.5","","908","","0","","93","","19080021"
"","","vo_fpc","0","908","","vo_fpc_20802","","21","","19080022"
"0","0.5","107811","1","908","0","なに持ち込んでんのよ！","0","11","10","19080023"
"","","0","","908","","","","91","","19080024"
"","","0.5","","908","","0","","93","","19080025"
"0.1","","126911","","908","","08_ranfa_talk","","3","1","19080026"
"0.1","","5","","908","","08_penpokorin","","3","1","19080027"
"","","vo_fpc","0","908","","vo_fpc_20803","","21","","19080028"
