75556a4d4b2d5f0f41f886cfe1c08d8ce7c754ea826c6261de4efc21640e6ac8,44b05c7a7cbd663c06e4f2c8412821c9c3b36246d977803aa6ab6baf03fbd8fc,8c25c60bca72f85824530943a7a52dc510f52e0c321fe109ed1a7d625a1a62e3,ee2c9f1dbf9cca194e6e410d39cdae4c66f24ab441234f137f07c2396cee3b99,b8011ad1fe06a2eb5182f5f248c585c72f76d450a7268f6bb308b6822c1ad914,135092f4163ce78c1363570b98dbd2bf05ff45356f449b7d6b4cec7c80b5bb81,41aabb0e0cf985b8bf39b6a02e1aba4b61f83404e9449c0977ff1530d44011bd,34e2a82120ea32fdad9a92000cfa8419557ec2a3a40a54b9a0f641ee45627fba,a332aa9a59a5e79c770feb4db567768814994df633eee08f57ef845952442603,b2709945e6105a62162c4e4904e865aac6b87b2b1906bd558e4e0831bfa1aede,424132d75a0e39f32971ee572dbcc5aa098b9446542a0881dde246137e1524ce
"1","1070046","","","10","11","1","112511","あれくらいで立ち止まる気は\nなかったからね\nウヅキもミオも、絶対立ち上がるって\n信じてたよ","","7"
"","1070047","","","","91","","0","","","7"
"","1070048","0","","1","3","","112511","omp_idle_calm","","7"
"","1070049","0","","1","3","","112411","omp_talk_joy1","","7"
"","1070050","","","0","21","0","vo_omp_7007","vo_omp_7007_007","","7"
"1","1070051","","","10","11","1","112411","リンちゃん…！","","7"
"","1070052","","","","91","","0","","","7"
"","1070053","","","","4","","112611","0","","7"
"","1070054","0","","1","3","","112411","omp_psn_20","","7"
"","1070055","0","","1","3","","112611","omp_talk_joy1","","7"
"","1070056","","","0","21","0","vo_omp_7007","vo_omp_7007_008","","7"
"1","1070057","","","10","11","1","112611","へへっ、しぶりんってば\nクールぶってるくせに、熱いねぇ♪\nそんなしぶりんは、しまむーと私で\nぎゅ～っとしちゃうぞ～！","","7"
"","1070058","","","","93","","10","1","","7"
"","1070059","","","1","4","","112611","0","","7"
"1","1070060","","","-205","2","0","112611","120","","7"
"1","1070061","","","-205","2","0","112411","420","","7"
"1","1070062","0","0.1","0","3","omp_psn_13_loop","112611","omp_psn_13","","7"
"1","1070063","0","0.1","0","3","omp_psn_13_loop","112411","omp_psn_13","","7"
"1","1070064","0","0","0","3","omp_psn_15_loop","112511","omp_psn_15","","7"
"","1070065","","","","93","","1","1","","7"
"1","1070066","0","","0","3","omp_idle_surprise1","105831","omp_surprise","","7"
"1","1070067","0","","0","3","omp_idle_surprise1","105931","omp_surprise","","7"
"1","1070068","0","0.2","0","3","omp_idle_surprise2","106031","omp_surprise","","7"
"","1070069","","","","91","","1070057","","","7"
"","1070070","","","0","21","0","vo_omp_7007","vo_omp_7007_009","","7"
"1","1070071","","","10","11","1","112511","ちょっ、や、やめてよ…！","","7"
"","1070072","","","","91","","0","","","7"
"","1070073","","","1","4","","105831","1","","7"
"","1070074","0","","1","3","","105831","omp_talk_joy1","","7"
"","1070075","","","0","21","0","vo_omp_7007","vo_omp_7007_010","","7"
"1","1070076","","","10","11","1","105831","キャルちゃん、\nわたしたちもやりましょう♪","","7"
"","1070077","","","","91","","0","","","7"
"","1070078","0","","1","3","","105831","omp_idle_joy1","","7"
"","1070079","0","","1","3","","106031","omp_talk_tsun","","7"
"","1070080","","","0","21","0","vo_omp_7007","vo_omp_7007_011","","7"
"1","1070081","","","10","11","1","106031","は！？　なんでよ、イヤよ、お断りよ！\nこらっ、なんで近づいてくるのよ！？\nコロ助、助けなさいよっ！？","","7"
"","1070082","","","","93","","4","1","","7"
"","1070083","0","","1","3","","105831","omp_walk","","7"
"1","1070084","","","-205","2","1","105831","-120","","7"
"","1070085","","","","91","","0","","","7"
"","1070086","0.2","","1","3","","105831","omp_idle_joy1","","7"
"","1070087","","","","91","","1070081","","","7"
"","1070088","0","","1","3","","105831","omp_idle_joy1","","7"
"","1070089","0","","1","3","","106031","omp_idle_tsun","","7"
"","1070090","0","","1","3","","105931","omp_talk_normal","","7"
"","1070091","","","0","21","0","vo_omp_7007","vo_omp_7007_012","","7"
"1","1070092","","","10","11","1","105931","キャルさま\n逃げ道はございません\n僭越ながら、わたくしも\n参加させてもらいますので…♪","","7"
"","1070093","","","","91","","0","","","7"
"1","1070094","","","-205","2","0","105831","-120","","7"
"1","1070095","","","-205","2","0","105931","-440","","7"
"1","1070096","0","0.1","0","3","omp_psn_14_loop","105831","omp_psn_14","","7"
"1","1070097","0","0.1","0","3","omp_psn_14_loop","105931","omp_psn_14","","7"
"1","1070098","0","0","0","3","omp_psn_15_loop","106031","omp_psn_15","","7"
"","1070099","","","0","21","0","vo_omp_7007","vo_omp_7007_013","","7"
"1","1070100","","","10","11","1","105831","ぎゅう～♪","","7"
"","1070101","","","","91","","0","","","7"
"","1070102","0","","1","3","","106031","omp_psn_16_loop","","7"
"","1070103","","","0","21","0","vo_omp_7007","vo_omp_7007_014","","7"
"1","1070104","","","10","11","1","106031","ちょっ、ふざけんなっ、おぶっ！？\nペコリーヌ、力加減！\nあたしを半分にする気！？\nちょっ、なんなのよ～っ！？","","7"
"","1070105","","","","91","","0","","","7"
"","1070106","0","","1","3","","112611","omp_psn_13_loop","","7"
"","1070107","","","0","21","0","vo_omp_7007","vo_omp_7007_015","","7"
"1","1070108","","","10","11","1","112611","わー！\nキャルキャル～！","","7"
"","1070109","","","","91","","0","","","7"
"","1070110","0","","1","3","","112611","omp_psn_13_loop","","7"
"","1070111","0","","1","3","","112411","omp_psn_13_loop","","7"
"","1070112","","","0","21","0","vo_omp_7007","vo_omp_7007_016","","7"
"1","1070113","","","10","11","1","112411","あはは♪\n【美食殿】のみなさんの\nスキンシップ、大胆ですねっ！","","7"
"","1070114","","","","91","","0","","","7"
"","1070115","0","","1","3","","112411","omp_psn_13_loop","","7"
"","1070116","0","","1","3","","112511","omp_psn_15_loop","","7"
"","1070117","","","0","21","0","vo_omp_7007","vo_omp_7007_017","","7"
"1","1070118","","","10","11","1","112511","大胆とかいうレベルを\n超えてる気がするんだけど…っ！？\nちょっ、やめ…ひゃああっ！","","7"
"","1070119","","","","93","","5.5","1","","7"
"","1070120","0.1","","1","3","","112511","omp_psn_16_loop","","7"
"","1070121","","","","91","","1070118","","","7"
"","1070122","","","","93","","0.4","","","7"
"-195","1080001","1.8","1","1600","1","200","1","105831","omp_idle_normal","8"
"-185","1080002","1.8","0","1500","1","0","1","105931","omp_talk_normal","8"
"-205","1080003","1.8","0","1600","1","-200","1","106031","omp_idle_normal","8"
"1","1080004","1","","0","31","0","1","1","","8"
"","1080005","","","","93","","1","","","8"
"","1080006","","","0","21","0","vo_omp_7008","vo_omp_7008_000","","8"
"1","1080007","","","10","11","1","105931","ムーサの町…初めて訪れましたが\n素敵な町でございますね","","8"
"","1080008","","","","91","","0","","","8"
"","1080009","0","","1","3","","105931","omp_idle_normal","","8"
"","1080010","0","","1","3","","105831","omp_talk_joy1","","8"
"","1080011","","","0","21","0","vo_omp_7008","vo_omp_7008_001","","8"
"1","1080012","","","10","11","1","105831","はい♪　活気もありますし\nなにより色んな特産品が美味しそうで\nやばいですね☆","","8"
"","1080013","","","","91","","0","","","8"
"","1080014","0","","1","3","","105831","omp_idle_joy1","","8"
"","1080015","0","","1","3","","106031","omp_talk_sad","","8"
"","1080016","","","0","21","0","vo_omp_7008","vo_omp_7008_002","","8"
"1","1080017","","","10","11","1","106031","はぁ。本当にあんたの頭の中は\n食べることばっかりね","","8"
"","1080018","","","","91","","0","","","8"
"","1080019","0","","1","3","","106031","omp_idle_sad","","8"
"","1080020","0","","1","3","","105931","omp_talk_normal","","8"
"","1080021","","","0","21","0","vo_omp_7008","vo_omp_7008_003","","8"
"1","1080022","","","10","11","1","105931","ふふ、ではこの後\n食べ歩きをいたしませんか？\nわたくし、お腹が空いてしまいました","","8"
"","1080023","","","","91","","0","","","8"
"","1080024","0","","1","3","","105931","omp_idle_normal","","8"
"","1080025","0","","1","3","","106031","omp_talk_surprise1","","8"
"","1080026","","","0","21","0","vo_omp_7008","vo_omp_7008_004","","8"
"1","1080027","","","10","11","1","106031","コロ助まで！？","","8"
"","1080028","","","","91","","0","","","8"
"","1080029","0","","1","3","","106031","omp_idle_surprise1","","8"
"","1080030","0","","1","3","","105831","omp_talk_normal","","8"
"","1080031","","","0","21","0","vo_omp_7008","vo_omp_7008_005","","8"
"1","1080032","","","10","11","1","105831","キャルちゃんはどうしますか～？","","8"
"","1080033","","","","91","","0","","","8"
"","1080034","","","","4","","105931","1","","8"
"","1080035","0","","1","3","","105831","omp_idle_normal","","8"
"","1080036","0","","1","3","","106031","omp_talk_tsun","","8"
"","1080037","","","0","21","0","vo_omp_7008","vo_omp_7008_006","","8"
"1","1080038","","","10","11","1","106031","あたしだって\n美味しいもの食べたいわよ！\n…魔物料理じゃなきゃね","","8"
"","1080039","","","","91","","0","","","8"
"","1080040","0","","1","3","","106031","omp_idle_tsun","","8"
"","1080041","0","","1","3","","105931","omp_talk_normal","","8"
"","1080042","","","0","21","0","vo_omp_7008","vo_omp_7008_007","","8"
"1","1080043","","","10","11","1","105931","ふふ、わたくしたちの思いは一つ\nさすが【美食殿】でございますね♪","","8"
"","1080044","","","","91","","0","","","8"
"","1080045","","","","4","","105931","0","","8"
"","1080046","0","","1","3","","105931","omp_idle_normal","","8"
"","1080047","0","","1","3","","105831","omp_talk_joy1","","8"
"","1080048","","","0","21","0","vo_omp_7008","vo_omp_7008_008","","8"
"1","1080049","","","10","11","1","105831","えっへへ～♪\nそれじゃあ行きましょう！\nコッコロちゃん！　キャルちゃん！","","8"
"","1080050","","","","91","","0","","","8"
"","1080051","","","","93","","0.4","","","8"
"-270","1090001","1.8","1","1600","1","300","1","105831","omp_idle_normal","9"
"-285","1090002","1.8","1","1700","1","450","1","105931","omp_idle_normal","9"
"-230","1090003","1.8","1","1600","1","-310","1","106031","omp_idle_normal","9"
"-190","1090004","1.8","1","1500","1","-45","1","112511","omp_idle_normal","9"
"-240","1090005","1.8","1","1600","1","65","1","112411","omp_idle_normal","9"
"-192","1090006","1.8","1","1500","1","205","1","112611","omp_idle_normal","9"
"1","1090007","1","","0","31","0","1","1","","9"
"","1090008","","","","93","","0.2","","","9"
"","1090009","0.1","","1","3","","112611","omp_idle_normal","","9"
"","1090010","0","","1","3","","106031","omp_talk_sad","","9"
"","1090011","0.1","","1","3","","112511","omp_idle_normal","","9"
"","1090012","0.1","","1","3","","105831","omp_idle_normal","","9"
"","1090013","","","","93","","0.1","","","9"
"","1090014","","","","93","","1","","","9"
"","1090015","","","0","21","0","vo_omp_7009","vo_omp_7009_000","","9"
"1","1090016","","","10","11","1","106031","ここでのことは思い出したくないわ\nなんであんなことしちゃったのかしら…\nはぁ。ほんっとサイアク！","","9"
"","1090017","","","","91","","0","","","9"
"","1090018","0","","0","3","","106031","omp_psn_17","","9"
"","1090019","","","0","21","0","vo_omp_7009","vo_omp_7009_001","","9"
"1","1090020","","","10","11","1","106031","…きゃるきゃるーん\nなんて、にゃ","","9"
"","1090021","","","","93","","2","1","","9"
"","1090022","0.2","","1","3","","106031","omp_talk_sad","","9"
"","1090023","","","","91","","1090020","","","9"
"","1090024","0","","1","3","","106031","omp_idle_sad","","9"
"1","1090025","0","0.2","0","3","omp_idle_joy1","105831","omp_psn_17","","9"
"","1090026","","","0","21","0","vo_omp_7009","vo_omp_7009_002","","9"
"1","1090027","","","10","11","1","105831","きゃるきゃるーん♪","","9"
"","1090028","","","","91","","0","","","9"
"","1090029","0","0.2","1","3","omp_idle_normal","105931","omp_psn_17","","9"
"","1090030","","","0","21","0","vo_omp_7009","vo_omp_7009_003","","9"
"1","1090031","","","10","11","1","105931","きゃるきゃるーん、でございますにゃ","","9"
"","1090032","","","","91","","0","","","9"
"","1090033","","","","4","","106031","0","","9"
"1","1090034","0","0","0","3","omp_idle_surprise1","106031","omp_surprise","","9"
"","1090035","","","0","21","0","vo_omp_7009","vo_omp_7009_004","","9"
"1","1090036","","","10","11","1","106031","なっ、あんたたち！？\nい、今のっ、見てっ…！？","","9"
"","1090037","","","","91","","0","","","9"
"","1090038","0","0.2","1","3","omp_idle_joy1","112611","omp_psn_17_other","","9"
"","1090039","","","0","21","0","vo_omp_7009","vo_omp_7009_005","","9"
"1","1090040","","","10","11","1","112611","きゃっるきゃる～ん♪\n華麗に登場にゃ☆","","9"
"","1090041","","","","91","","0","","","9"
"","1090042","0","","1","3","","106031","omp_talk_anger2","","9"
"","1090043","","","0","21","0","vo_omp_7009","vo_omp_7009_006","","9"
"1","1090044","","","10","11","1","106031","殺す！　殺すわ！\n全員まとめてぶっ殺して\nあんなことしちゃったあたしも殺すわ！\nみんな消し去ってやるわよぉ～っ！","","9"
"","1090045","","","","91","","0","","","9"
"","1090046","0","","1","3","","106031","omp_idle_anger2","","9"
"","1090047","0","","1","3","","112411","omp_talk_sad","","9"
"","1090048","","","0","21","0","vo_omp_7009","vo_omp_7009_007","","9"
"1","1090049","","","10","11","1","112411","キャ、キャルちゃん。えっと、その…","","9"
"","1090050","","","","91","","0","","","9"
"","1090051","0","","1","3","","112411","omp_idle_sad","","9"
"","1090052","0","","1","3","","112511","omp_talk_normal","","9"
"","1090053","","","0","21","0","vo_omp_7009","vo_omp_7009_008","","9"
"1","1090054","","","10","11","1","112511","大変だね","","9"
"","1090055","","","","91","","0","","","9"
"","1090056","0","","1","3","","112511","omp_idle_normal","","9"
"","1090057","0","","1","3","","106031","omp_talk_tsun","","9"
"","1090058","","","0","21","0","vo_omp_7009","vo_omp_7009_009","","9"
"1","1090059","","","10","11","1","106031","あ、あんたたちは見逃してあげるわ…！\nでもあいつらはダメ！\nこの世から消し去らないとあたしが\n安心できないっ…！","","9"
"","1090060","","","","91","","0","","","9"
"","1090061","0","","1","3","","106031","omp_idle_tsun","","9"
"","1090062","0","","1","3","","112511","omp_talk_normal","","9"
"","1090063","","","0","21","0","vo_omp_7009","vo_omp_7009_010","","9"
"1","1090064","","","10","11","1","112511","でもあれ、かわいかったと思うけど","","9"
"","1090065","","","","91","","0","","","9"
"","1090066","0","","1","3","","112511","omp_idle_normal","","9"
"","1090067","0","","1","3","","112411","omp_talk_joy2","","9"
"","1090068","","","0","21","0","vo_omp_7009","vo_omp_7009_011","","9"
"1","1090069","","","10","11","1","112411","はい！　とっても素敵でした！","","9"
"","1090070","","","","91","","0","","","9"
"","1090071","0","","1","3","","112411","omp_psn_20","","9"
"","1090072","0","","1","3","","106031","omp_talk_tsun","","9"
"","1090073","","","0","21","0","vo_omp_7009","vo_omp_7009_012","","9"
"1","1090074","","","10","11","1","106031","そんなのうれしくないわよ～っ！？","","9"
"","1090075","","","","91","","0","","","9"
"","1090076","0","","1","3","","106031","omp_idle_tsun","","9"
"1","1090077","0","0.2","0","3","omp_idle_joy1","105831","omp_psn_17","","9"
"1","1090078","0","0.2","0","3","omp_idle_normal","105931","omp_psn_17","","9"
"1","1090079","0","0.2","0","3","omp_idle_joy1","112611","omp_psn_17_other","","9"
"","1090080","","","0","21","0","vo_omp_7009","vo_omp_7009_013","","9"
"1","1090081","","","10","11","1","105831","きゃるきゃるーん♪","","9"
"","1090082","","","","91","","0","","","9"
"","1090083","0","","1","3","","106031","omp_talk_anger2","","9"
"","1090084","","","0","21","0","vo_omp_7009","vo_omp_7009_014","","9"
"1","1090085","","","10","11","1","106031","絶対にぶっ殺す～～～～～～～！","","9"
"","1090086","","","","91","","0","","","9"
"","1090087","","","","93","","0.4","","","9"
