7dd2865f76e0f0f666f44d2a6e2b32229ed6afed9dd11a44e20136ef7bfcfafc,5410912cff742191069f0637b715f51f07fa34638674af83b3a1f4921c773ae2,62b9ba86919dd0ab126f54358f4f21c18030bf55405d58fbc21f44ef6afe9710,e18e3f155e660eb4c9a779e6e84dc76f78cf6dfbfe7564c75848840230e9b4ab,f1971617d6f2ec6df23a832a33ddde1ab68d3b6dc323e58f0f838accdac19042,6b3ba86853519aa739cb9aed2fc556a99adb636d6bab5ee500737b73d68cb120,493995a697128677ae46a8ef8ce4248e87246859f688c2f409e48bdcd5d9b3f2,5cf1e649e092133e9fc69ff6a20e3d7e80eaa263eeadfe4f44e43e81e79a3a51,cf62422e7ef60151b718086a62f9fd87660341908580f9eabe7451f69b592fe0,5797af20d450f802a87f4fcb7bd42a3414aa71cfcdd7483a2f46f4d0864691d5,f3a8b784971652a6b3159f6dd51a19ca8946d7d540f43a77fd4bd94618b4cb77
"","","se_10053800","","","901","","23","1","se_fpc_water_random","19010005"
"","","19010004","","","901","","91","","0","19010006"
"5.29411764705882","","126811","12","","901","","2","-250","0","19010007"
"5.29411764705882","","3","12","","901","","2","-250","0","19010008"
"5.29411764705882","","2","12","","901","","2","-250","0","19010009"
"5.29411764705882","","126811","12","","901","","33","-250","0","19010010"
"","","","","","901","","91","","","19010011"
"01_yukari_talk_loop","0.1","126811","1","0.1","901","","3","0","01_yukari_talk","19010012"
"01_yukari_talk_loop","0.1","3","1","0.1","901","","3","0","01_yukari_talk","19010013"
"","","2","","0.1","901","","3","1","cmn_boat_idle","19010014"
"","","4","","","901","","93","","0","19010015"
"0","","vo_fpc","","","901","","21","","vo_fpc_20100","19010016"
"1","0","126811","0","0","901","0.5","11","10","ぷはぁ～…","19010017"
"","","0","","","901","","91","","","19010018"
"","","0.5","","","901","","93","","0","19010019"
"0","","vo_fpc","","","901","","21","","vo_fpc_20101","19010020"
"1","0","126811","0","0","901","0.5","11","10","真夏のビーチで飲むのもいいけど\n真冬にこうしてプールで飲むってのも\nぜーたくでいいわねぇ…","19010021"
"","","0","","","901","","91","","","19010022"
"","","0.5","","","901","","93","","0","19010023"
"0","","vo_fpc","","","901","","21","","vo_fpc_20102","19010024"
"1","0","126811","0","0","901","0.5","11","10","せーきひ麦ひゅわとうりゃ麦、\n追加で入荷してもらうように\nアキノさんにらのんでおこーっと…","19010025"
"","","0","","","901","","91","","","19010026"
"","","0.5","","","901","","93","","0","19010027"
"","","126811","","0.1","901","","3","1","01_yukari_talk2_loop","19010028"
"","","3","","0.1","901","","3","1","01_yukari_talk2_loop","19010029"
"","","2","","0.1","901","","3","1","cmn_boat_idle","19010030"
"0","","vo_fpc","","","901","","21","","vo_fpc_20103","19010031"
"1","0","126811","0","0","901","0.5","11","10","それにひてもなんかぐらぐらするわね～\nプールなのにビッグウェーブでも\nきてるのかしら…って、うぷっ！","19010032"
"","","0","","","901","","91","","","19010033"
"01_yukari_sick_1_loop","0.1","126811","1","0.1","901","","3","0","01_yukari_sick_1","19010034"
"01_yukari_sick_1_loop","0.1","3","1","0.1","901","","3","0","01_yukari_sick_1","19010035"
"","","2","","0.1","901","","3","1","cmn_boat_idle","19010036"
"","","2","","","901","","93","","0","19010037"
"01_yukari_sick_2_loop","0.1","126811","1","0.1","901","","3","0","01_yukari_sick_2","19010038"
"01_yukari_sick_2_loop","0.1","3","1","0.1","901","","3","0","01_yukari_sick_2","19010039"
"","","2","","0.1","901","","3","1","cmn_boat_idle","19010040"
"0","","vo_fpc","","","901","","21","","vo_fpc_20104","19010041"
"1","0","126811","0","0","901","0.5","11","10","あ、だめ…\n私にもビッグウェーブが…\nた、耐えるのよ、ユカリぃ…","19010042"
"","","0","","","901","","91","","","19010043"
"","","0.5","","","901","","93","","0","19010044"
"4.52488687782805","","126811","","","901","","2","-250","1000","19010045"
"4.52488687782805","","3","","","901","","2","-250","1000","19010046"
"4.52488687782805","","2","","","901","","2","-250","1000","19010047"
"4.52488687782805","","126811","","","901","","33","-250","1000","19010048"
"","","0","","","901","","91","","","19010049"
"-780","0","21","-180","1.75","902","02_neneka_floatRing","5","22","1","19020001"
"-780","0","21","-125","1.6625","902","02_neneka_floatRing","5","12","2","19020002"
"-780","0","21","-250","1.8375","902","02_neneka_floatRing","5","32","3","19020003"
"-780","0","21","-180","1.75","902","02_neneka_floatRing","5","22","4","19020004"
"-780","0","21","-125","1.6625","902","02_neneka_floatRing","5","12","5","19020005"
"-780","0","21","-250","1.8375","902","02_neneka_floatRing","5","32","6","19020006"
"-180","","102","1","1","902","","31","-780","1","19020007"
"-125","","102","1","1","902","","31","-780","2","19020008"
"-250","","102","1","1","902","","31","-780","3","19020009"
"-180","","102","1","1","902","","31","-780","4","19020010"
"-125","","102","1","1","902","","31","-780","5","19020011"
"-250","","102","1","1","902","","31","-780","6","19020012"
"","","se_10053800","","","902","","23","1","se_fpc_water_random","19020013"
"","","19020012","","","902","","91","","","19020014"
"4.58823529411765","","1","12","","902","","2","-180","0","19020015"
"4.58823529411765","","1","12","","902","","33","-180","0","19020016"
"","","19020015","","","902","","91","","","19020017"
"0","","vo_fpc","","","902","","21","","vo_fpc_20200","19020018"
"1","0","1","0","0","902","0.5","11","10","ふむ…","19020019"
"","","0","","","902","","91","","","19020020"
"","","0.5","","","902","","93","","0","19020021"
"3.70588235294118","","1","12","","902","","2","-180","150","19020022"
"3.70588235294118","","1","12","","902","","33","-180","150","19020023"
"","","2","","0.1","902","","3","1","02_neneka_floatRing","19020024"
"3.70588235294118","","2","12","","902","","2","-125","-150","19020025"
"3.70588235294118","","2","12","","902","","33","-125","-150","19020026"
"","","19020025","","","902","","91","","","19020027"
"0","","vo_fpc","","","902","","21","","vo_fpc_20201","19020028"
"1","0","2","0","0","902","0.5","11","10","ただ流される、などという\n世の凡夫たちのような行いの\n何が楽しいのかと思っていましたが…","19020029"
"","","0","","","902","","91","","","19020030"
"","","0.5","","","902","","93","","0","19020031"
"3.11764705882353","","1","12","","902","","2","-180","250","19020032"
"3.11764705882353","","1","12","","902","","33","-180","250","19020033"
"3.11764705882353","","2","12","","902","","2","-125","0","19020034"
"3.11764705882353","","2","12","","902","","33","-125","0","19020035"
"","","3","","0.1","902","","3","1","02_neneka_floatRing","19020036"
"3.11764705882353","","3","12","","902","","2","-250","-250","19020037"
"3.11764705882353","","3","12","","902","","33","-250","-250","19020038"
"","","19020037","","","902","","91","","","19020039"
"0","","vo_fpc","","","902","","21","","vo_fpc_20202","19020040"
"1","0","3","0","0","902","0.5","11","10","これはこれで乙なものですね…\n今度ノウェムでも連れてきて\n流してみましょうか。","19020041"
"","","4.5","","","902","","93","","1","19020042"
"","","0.9","","","902","","93","","0","19020043"
"","","19020041","","","902","","91","","","19020044"
"","","4","","0.1","902","","3","1","02_neneka_floatRing","19020045"
"7.37556561085973","","4","","","902","","2","-180","850","19020046"
"7.37556561085973","","4","","","902","","33","-180","850","19020047"
"","","0.2","","","902","","93","","0","19020048"
"","","5","","0.1","902","","3","1","02_neneka_floatRing","19020049"
"2.71493212669683","","1","12","","902","","2","-180","850","19020050"
"2.71493212669683","","1","12","","902","","33","-180","850","19020051"
"","","0.2","","","902","","93","","0","19020052"
"3.84615384615385","","2","12","","902","","2","-125","850","19020053"
"3.84615384615385","","2","12","","902","","33","-125","850","19020054"
"","","0.1","","","902","","93","","0","19020055"
"4.97737556561086","","3","12","","902","","2","-250","850","19020056"
"4.97737556561086","","3","12","","902","","33","-250","850","19020057"
"","","1.5","","","902","","93","","0","19020058"
"6.26923076923077","","5","","","902","","2","-125","850","19020059"
"6.26923076923077","","5","","","902","","33","-125","850","19020060"
"","","1","","","902","","93","","0","19020061"
"","","6","","0.1","902","","3","1","02_neneka_floatRing","19020062"
"6.63800904977376","","6","","","902","","2","-250","850","19020063"
"6.63800904977376","","6","","","902","","33","-250","850","19020064"
"","","0","","","902","","91","","","19020065"
"","","1","","","902","","93","","0","19020066"
"","","0","","","902","","91","","","19020067"
"-750","0","1","-15","1.4875","903","03_cmn_walk_styk_N2","1","12","113211","19030001"
"750","0","1","-15","1.4875","903","03_cmn_run_def_N","1","12","113311","19030002"
"","","se_10053800","","","903","","23","1","se_fpc_water_random","19030003"
"","","19030002","","","903","","91","","0","19030004"
"3.52941176470588","","113211","","","903","","2","-15","-150","19030005"
"","","1.5","","","903","","93","","0","19030006"
"2.71493212669683","","113311","","","903","","2","-15","150","19030007"
"","","19030005","","","903","","91","","","19030008"
"","","113211","","0.1","903","","3","1","03_cmn_idol_def_N","19030009"
"","","19030007","","","903","","91","","","19030010"
"","","113311","","0.3","903","","3","1","03_nanaka_gufufu","19030011"
"","","0.3","","","903","","93","","0","19030012"
"0","","vo_fpc","","","903","","21","","vo_fpc_20300","19030013"
"1","0","113311","0","0","903","0.5","11","10","ぐっふっふ、\nさすがアンナたそ♪","19030014"
"","","0","","","903","","91","","","19030015"
"","","0.5","","","903","","93","","0","19030016"
"0","","vo_fpc","","","903","","21","","vo_fpc_20301","19030017"
"1","0","113311","0","0","903","0.5","11","10","ナナカちゃんセレクトの伝説のスク水を\n完璧に着こなしておりますなあ！","19030018"
"","","0","","","903","","91","","","19030019"
"","","0.5","","","903","","93","","0","19030020"
"","","113211","","0.1","903","","3","1","03_anna_shy","19030021"
"0","","vo_fpc","","","903","","21","","vo_fpc_20302","19030022"
"1","0","113211","0","0","903","0.5","11","10","なっ、これは他に持ってないから\n仕方なくだなあ…","19030023"
"","","0","","","903","","91","","","19030024"
"","","0.5","","","903","","93","","0","19030025"
"0","","vo_fpc","","","903","","21","","vo_fpc_20303","19030026"
"1","0","113311","0","0","903","0.5","11","10","だいじょぶだいじょぶ、\n似合ってるのはホントだってば！","19030027"
"","","0","","","903","","91","","","19030028"
"","","0.5","","","903","","93","","0","19030029"
"0","","vo_fpc","","","903","","21","","vo_fpc_20304","19030030"
"1","0","113311","0","0","903","0.5","11","10","それともぉ…\nこっちの水着と交換してみる？","19030031"
"","","0","","","903","","91","","","19030032"
"","","0.5","","","903","","93","","0","19030033"
"03_anna_pui_loop","","113211","1","0.1","903","","3","0","03_anna_pui_in","19030034"
"0","","vo_fpc","","","903","","21","","vo_fpc_20305","19030035"
"1","0","113211","0","0","903","0.5","11","10","それはそれで恥ずかしいじゃないか！","19030036"
"","","0","","","903","","91","","","19030037"
"","","0.5","","","903","","93","","0","19030038"
"0","","vo_fpc","","","903","","21","","vo_fpc_20306","19030039"
"1","0","113211","0","0","903","0.5","11","10","わ、我には友が選んでくれた\nこのスク水で十分だ！","19030040"
"","","0","","","903","","91","","","19030041"
"","","0.5","","","903","","93","","0","19030042"
"","","113311","","0.1","903","","4","1","1","19030043"
"","","113211","","0.1","903","","4","1","1","19030044"
"","","113311","","0.1","903","","3","1","03_cmn_run_def_N","19030045"
"","","113211","","0.1","903","","3","1","03_cmn_walk_styk_N2","19030046"
"2.71493212669683","","113311","","","903","","2","-15","750","19030047"
"3.52941176470588","","113211","","","903","","2","-15","-750","19030048"
"","","0","","","903","","91","","","19030049"
"-910","0","1","-180","1.75","904","04_misogi_flutterKick_loop","1","22","122811","19040001"
"-910","0","1","-125","1.75","904","04_mimi_flutterKick_loop","1","12","122911","19040002"
"-910","0","1","-180","1.75","904","04_kyouka_flutterKick_loop","1","22","122711","19040003"
"-910","0","1","-180","1.75","904","04_yuni_flutterKick_loop","1","23","129311","19040004"
"-910","0","1","-180","1.75","904","cmn_swm_flutterKick_floatBoad","5","22","1","19040005"
"-50","0","3","-180","1.75","904","empty","5","24","3","19040006"
"-180","","1","1","1","904","","31","-910","1","19040007"
"-180","","4","1","0","904","","31","-910","11","19040008"
"-125","","7","1","1","904","","31","-910","2","19040009"
"-125","","4","1","0","904","","31","-910","21","19040010"
"-180","","1","1","1","904","","31","-910","3","19040011"
"-180","","4","1","0","904","","31","-910","31","19040012"
"-180","","1","1","1","904","","31","-910","4","19040013"
"-180","","4","1","0","904","","31","-50","41","19040014"
"0","","1006","1","0","904","","31","-180","1006","19040015"
"","","se_10053800","","","904","","23","1","se_fpc_water_random","19040016"
"","","19040015","","","904","","91","","0","19040017"
"5.81447963800905","","122811","12","","904","","2","-180","375","19040018"
"5.81447963800905","","1","12","","904","","33","-180","375","19040019"
"5.81447963800905","","11","12","","904","","33","-180","375","19040020"
"","","","","","904","","91","","","19040021"
"","","1","","","904","","32","","0","19040022"
"","","11","","","904","","32","","1","19040023"
"04_misogi_float_loop","0.1","122811","1","0.1","904","","3","0","04_misogi_float_in","19040024"
"","","0.9","","","904","","93","","0","19040025"
"0","","vo_fpc","","","904","","21","","vo_fpc_20400","19040026"
"1","0","122811","0","0","904","0.5","11","10","わーい！　ミソギがいっちばーん！\nオニさんこっちらー！","19040027"
"","","0","","","904","","91","","","19040028"
"","","0.5","","","904","","93","","0","19040029"
"5.94117647058824","","122911","12","","904","","2","-125","100","19040030"
"5.94117647058824","","2","12","","904","","33","-125","100","19040031"
"5.94117647058824","","21","12","","904","","33","-125","100","19040032"
"","","2","","","904","","93","","0","19040033"
"0","","vo_fpc","","","904","","21","","vo_fpc_20401","19040034"
"1","0","122911","0","0","904","0.5","11","10","逃げろ逃げろ～！","19040035"
"","","19040032","","","904","","91","","","19040036"
"","","2","","","904","","32","","0","19040037"
"","","21","","","904","","32","","1","19040038"
"04_mimi_float_loop","0.1","122911","1","0.1","904","","3","0","04_mimi_float_in","19040039"
"5.40441176470588","","122711","12","","904","","2","-180","-175","19040040"
"5.40441176470588","","3","12","","904","","33","-180","-175","19040041"
"5.40441176470588","","31","12","","904","","33","-180","-175","19040042"
"","","2","","","904","","93","","0","19040043"
"0","","vo_fpc","","","904","","21","","vo_fpc_20402","19040044"
"1","0","122711","0","0","904","0","11","10","も～！　二人とも待ってよ～！","19040045"
"","","19040042","","","904","","91","","","19040046"
"","","3","","","904","","32","","0","19040047"
"","","31","","","904","","32","","1","19040048"
"04_kyouka_float_loop","0.1","122711","1","0.1","904","","3","0","04_kyouka_float_in","19040049"
"","","1.2","","","904","","93","","0","19040050"
"","","1006","","","904","","32","","1","19040051"
"","","0.8","","","904","","93","","0","19040052"
"","","1","","","904","","32","","1","19040053"
"","","11","","","904","","32","","0","19040054"
"","","2","","","904","","32","","1","19040055"
"","","21","","","904","","32","","0","19040056"
"","","3","","","904","","32","","1","19040057"
"","","31","","","904","","32","","0","19040058"
"04_misogi_flutterKick_loop","0.1","122811","1","0.1","904","","3","0","04_misogi_flutterKick_in","19040059"
"2.82805429864253","","122811","","","904","","2","-180","1000","19040060"
"2.82805429864253","","1","","","904","","33","-180","1000","19040061"
"","","0.1","","","904","","93","","0","19040062"
"04_mimi_flutterKick_loop","0.1","122911","1","0.1","904","","3","0","04_mimi_flutterKick_in","19040063"
"4.07239819004525","","122911","","","904","","2","-125","1000","19040064"
"4.07239819004525","","2","","","904","","33","-125","1000","19040065"
"","","0.1","","","904","","93","","0","19040066"
"04_kyouka_flutterKick_loop","0.1","122711","1","0.1","904","","3","0","04_kyouka_flutterKick_in","19040067"
"5.31674208144796","","122711","","","904","","2","-180","1000","19040068"
"5.31674208144796","","3","","","904","","33","-180","1000","19040069"
"","","0.1","","","904","","93","","0","19040070"
"5.05882352941176","","129311","","","904","","2","-180","-50","19040071"
"5.05882352941176","","4","","","904","","33","-180","-50","19040072"
"5.05882352941176","","1","","","904","","2","-180","-50","19040073"
"","","2","","","904","","93","","0","19040074"
"0","","vo_fpc","","","904","","21","","vo_fpc_20403","19040075"
"1","0","129311","0","0","904","0.5","11","10","わーい♪","19040076"
"","","2.75882352941176","","","904","","93","","0","19040077"
"04_yuni_flutterKick_pause_loop","0.1","3","1","0.1","904","","3","0","04_yuni_flutterKick_pause_in","19040078"
"04_yuni_flutterKick_pause_loop","0.1","129311","1","0.1","904","","3","0","04_yuni_flutterKick_pause_in","19040079"
"04_yuni_flutterKick_pause_loop","0.1","1","1","0.1","904","","3","0","04_yuni_flutterKick_pause_in","19040080"
"","","0.3","","","904","","93","","0","19040081"
"0","","vo_fpc","","","904","","21","","vo_fpc_20404","19040082"
"","","4","","","904","","32","","0","19040083"
"","","41","","","904","","32","","1","19040084"
"","","5","","","904","","93","","0","19040085"
"","","3","","0.1","904","","3","0","empty","19040086"
"04_yuni_flutterKick_loop","0.1","129311","1","0.2","904","","3","0","04_yuni_flutterKick_in","19040087"
"cmn_swm_flutterKick_floatBoad","0.1","1","1","0.2","904","","3","0","04_yuni_flutterKick_in","19040088"
"","","4","","","904","","32","","1","19040089"
"","","41","","","904","","32","","0","19040090"
"6.17647058823529","","129311","","","904","","2","-180","1000","19040091"
"6.17647058823529","","1","","","904","","2","-180","1000","19040092"
"6.17647058823529","","4","","","904","","33","-180","1000","19040093"
"","","0.3","","","904","","93","","0","19040094"
"0","","vo_fpc","","","904","","21","","vo_fpc_20405","19040095"
"1","0","129311","0","0","904","0.5","11","10","わーいわーい♪","19040096"
"","","19040091","","","904","","91","","","19040097"
"-910","0","1","-125","1.75","905","cmn_swm_flutterKick","1","12","117111","19050001"
"-910","0","1","-180","1.75","905","cmn_swm_flutterKick","1","22","117011","19050002"
"750","0","1","-15","1.4875","905","cmn_walk_r","1","12","107611","19050003"
"-125","","7","1","1","905","","31","-910","1","19050004"
"-125","","4","1","0","905","","31","-910","11","19050005"
"-180","","1","1","1","905","","31","-910","2","19050006"
"-180","","4","1","0","905","","31","-910","21","19050007"
"","","se_10053800","","","905","","23","1","se_fpc_water_random","19050008"
"","","19050007","","","905","","91","","0","19050009"
"5.35294117647059","","117111","12","","905","","2","-125","0","19050010"
"5.35294117647059","","1","12","","905","","33","-125","0","19050011"
"5.35294117647059","","11","12","","905","","33","-125","0","19050012"
"","","","","","905","","91","","","19050013"
"","","1","","","905","","32","","0","19050014"
"","","11","","","905","","32","","1","19050015"
"05_shizuru_search_loop","0.1","117111","1","0.1","905","","3","0","05_shizuru_search_in","19050016"
"","","1","","","905","","93","","0","19050017"
"0","","vo_fpc","","","905","","21","","vo_fpc_20500","19050018"
"1","0","117111","0","0","905","0.5","11","10","うーん…おかしいなあ…\nここらへんで弟くんの「気」を\n感じたんだけど…","19050019"
"","","1.81764705882353","","","905","","93","","1","19050020"
"3.88235294117647","","117011","12","","905","","2","-180","-250","19050021"
"3.88235294117647","","2","12","","905","","33","-180","-250","19050022"
"3.88235294117647","","21","12","","905","","33","-180","-250","19050023"
"","","2.38235294117647","","","905","","93","","0","19050024"
"","","1.5","","","905","","93","","0","19050025"
"","","19050019","","","905","","91","","","19050026"
"","","19050021","","","905","","91","","","19050027"
"05_eriko_talk_loop","0.1","117011","1","0.1","905","","3","0","05_eriko_talk_in","19050028"
"","","2","","","905","","32","","0","19050029"
"","","21","","","905","","32","","1","19050030"
"0","","vo_fpc","","","905","","21","","vo_fpc_20501","19050031"
"1","0","117011","0","0","905","0.5","11","10","あのおかたのオーラの残滓…\n確かにこのあたりなのですが…","19050032"
"","","2.15294117647059","","","905","","93","","1","19050033"
"2.64705882352941","","107611","0","","905","","2","-15","300","19050034"
"","","1.14705882352941","","","905","","93","","0","19050035"
"","","1.5","","","905","","93","","0","19050036"
"","","19050032","","","905","","91","","","19050037"
"","","19050034","","","905","","91","","","19050038"
"","","107611","","0.2","905","","3","1","05_kokkoro_talk","19050039"
"0","","vo_fpc","","","905","","21","","vo_fpc_20502","19050040"
"1","0","107611","0","0","905","0.5","11","10","シズルさまにエリコさま、\nどうかされたのですか？","19050041"
"","","0","","","905","","91","","","19050042"
"","","0.5","","","905","","93","","0","19050043"
"05_shizuru_greet_loop","0.1","117111","1","0.1","905","","3","0","05_shizuru_greet_in","19050044"
"0","","vo_fpc","","","905","","21","","vo_fpc_20503","19050045"
"1","0","117111","0","0","905","0.5","11","10","あ、コッコロちゃん♪\nそっかー、コッコロちゃんに残った\n弟くんの「気」を感じちゃったんだね♪","19050046"
"","","0","","","905","","91","","","19050047"
"","","0.5","","","905","","93","","0","19050048"
"05_eriko_pressure_loop","0.1","117011","1","0.1","905","","3","0","05_eriko_pressure_in","19050049"
"0","","vo_fpc","","","905","","21","","vo_fpc_20504","19050050"
"1","0","117011","0","0","905","0.5","11","10","なんですか、その気持ちの悪い根拠は。\nそれよりも、あの方はどこにおられるのか\n知っているのでしょう？\n隠し立ては許しませんよ。","19050051"
"","","0","","","905","","91","","","19050052"
"","","0.5","","","905","","93","","0","19050053"
"","","107611","","0.3","905","","3","1","05_kokkoro_talk2","19050054"
"0","","vo_fpc","","","905","","21","","vo_fpc_20505","19050055"
"1","0","107611","0","0","905","0.5","11","10","隠し立てなど、そんな。","19050056"
"","","0","","","905","","91","","","19050057"
"","","0.5","","","905","","93","","0","19050058"
"05_kokkoro_point_loop","0.1","107611","1","0.1","905","","3","0","05_kokkoro_point_in","19050059"
"0","","vo_fpc","","","905","","21","","vo_fpc_20506","19050060"
"1","0","107611","0","0","905","0.5","11","10","主さまは先ほどあちらの方に\n流れていかれましたが…","19050061"
"","","0","","","905","","91","","","19050062"
"","","0.5","","","905","","93","","0","19050063"
"05_shizuru_smile_loop","0.1","117111","1","0.1","905","","3","0","05_shizuru_smile_in","19050064"
"0","","vo_fpc","","","905","","21","","vo_fpc_20507","19050065"
"1","0","117111","0","0","905","0.5","11","10","あっちね！\nよーし、お姉ちゃんが\n今すぐ助けにいくからね！","19050066"
"","","0","","","905","","91","","","19050067"
"","","0.5","","","905","","93","","0","19050068"
"05_eriko_sad_loop","0.1","117011","1","0.1","905","","3","0","05_eriko_sad_in","19050069"
"0","","vo_fpc","","","905","","21","","vo_fpc_20508","19050070"
"1","0","117011","0","0","905","0.5","11","10","ああ、なんということ…\n私が今お助けに向かいます！","19050071"
"","","0","","","905","","91","","","19050072"
"","","0.5","","","905","","93","","0","19050073"
"05_shizuru_flutterKick_loop","0.1","117111","1","0.1","905","","3","0","05_shizuru_flutterKick_in","19050074"
"2.66169816342827","","117111","","","905","","2","-125","1000","19050075"
"2.66169816342827","","1","","","905","","33","-125","1000","19050076"
"","","1","","","905","","32","","1","19050077"
"","","11","","","905","","32","","0","19050078"
"","","0.1","","","905","","93","","0","19050079"
"05_eriko_flutterKick_loop","0.1","117011","1","0.1","905","","3","0","05_eriko_flutterKick_in","19050080"
"3.14228255404726","","117011","","","905","","2","-180","1000","19050081"
"3.14228255404726","","2","","","905","","33","-180","1000","19050082"
"","","2","","","905","","32","","1","19050083"
"","","21","","","905","","32","","0","19050084"
"","","19050081","","","905","","91","","","19050085"
"05_kokkoro_talk3_loop","0.1","107611","1","0.1","905","","3","0","05_kokkoro_talk3_in","19050086"
"0","","vo_fpc","","","905","","21","","vo_fpc_20509","19050087"
"1","0","107611","0","0","905","0.5","11","10","行ってしまわれました…","19050088"
"","","0","","","905","","91","","","19050089"
"","","0.5","","","905","","93","","0","19050090"
"0","","vo_fpc","","","905","","21","","vo_fpc_20510","19050091"
"1","0","107611","0","0","905","0.5","11","10","あのお二人が揃われると\n何が起こるか心配ですね…","19050092"
"","","0","","","905","","91","","","19050093"
"","","0.5","","","905","","93","","0","19050094"
"0","","vo_fpc","","","905","","21","","vo_fpc_20511","19050095"
"1","0","107611","0","0","905","0.5","11","10","主さまの前で暴走されぬよう\nわたくしが見張っておかねば…！","19050096"
"","","0","","","905","","91","","","19050097"
"","","0.5","","","905","","93","","0","19050098"
"1.65912518853695","","107611","0","","905","","2","-15","850","19050099"
"","","107611","","0.2","905","","3","1","05_kokkoro_run","19050100"
"0","","vo_fpc","","","905","","21","","vo_fpc_20512","19050101"
"1","0","107611","0","0","905","0.5","11","10","主さまー！","19050102"
"","","0","","","905","","91","","","19050103"
"","","0.5","","","905","","93","","0","19050104"
"","","19050099","","","905","","91","","","19050105"
"-850","0","1","-180","1.75","906","cmn_float","1","22","126911","19060001"
"-850","0","1","-125","1.75","906","cmn_float","1","12","117311","19060002"
"-180","","6","1","1","906","","31","-850","11","19060003"
"-180","","1007","1","0","906","","31","-850","10071","19060004"
"-125","","6","1","1","906","","31","-850","21","19060005"
"-125","","1007","1","0","906","","31","-850","10072","19060006"
"-125","","1008","1","0","906","","31","-850","10081","19060007"
"","","se_10053800","","","906","","23","1","se_fpc_water_random","19060008"
"","","19060007","","","906","","91","","0","19060009"
"6.25","","126911","12","","906","","2","-180","0","19060010"
"6.25","","11","12","","906","","33","-180","0","19060011"
"6.25","","10071","12","","906","","33","-180","0","19060012"
"","","3","","","906","","93","","0","19060013"
"0","","vo_fpc","","","906","","21","","vo_fpc_20600","19060014"
"","","126911","","0.2","906","","3","1","06_cmn_float_sing","19060015"
"","","10071","","","906","","32","","1","19060016"
"","","19060010","","","906","","91","","","19060017"
"","","126911","","0.2","906","","3","1","cmn_float","19060018"
"0","","vo_fpc","","","906","","21","","vo_fpc_20601","19060019"
"1","0","126911","0","0","906","0.5","11","10","たまには、こういう所も\n悪くないかも…","19060020"
"","","0","","","906","","91","","","19060021"
"","","0.5","","","906","","93","","0","19060022"
"5.14705882352941","","117311","12","","906","","2","-125","-150","19060023"
"5.14705882352941","","21","12","","906","","33","-125","-150","19060024"
"5.14705882352941","","10072","12","","906","","33","-125","-150","19060025"
"5.14705882352941","","10081","12","","906","","33","-125","-150","19060026"
"5.14705882352941","","126911","12","","906","","2","-180","150","19060027"
"5.14705882352941","","11","12","","906","","33","-180","150","19060028"
"5.14705882352941","","10071","12","","906","","33","-180","150","19060029"
"","","2.5","","","906","","93","","0","19060030"
"0","","vo_fpc","","","906","","21","","vo_fpc_20602","19060031"
"","","126911","","0.2","906","","3","1","06_cmn_float_sing","19060032"
"","","117311","","0.2","906","","3","1","06_cmn_float_sing","19060033"
"","","10071","","","906","","32","","0","19060034"
"","","10071","","","906","","32","","1","19060035"
"","","10072","","","906","","32","","1","19060036"
"","","19060029","","","906","","91","","","19060037"
"","","126911","","","906","","4","","1","19060038"
"0","","11","","","906","","33","-180","180","19060039"
"06_ranpha_float_shy","0.1","126911","1","0.1","906","","3","0","06_ranpha_float_notice","19060040"
"","0.1","117311","","","906","","3","1","cmn_float","19060041"
"0","","vo_fpc","","","906","","21","","vo_fpc_20603","19060042"
"1","0","126911","0","0","906","0.5","11","10","あっ…","19060043"
"","","0","","","906","","91","","","19060044"
"","","0.5","","","906","","93","","0","19060045"
"06_chika_float_notice","0.1","117311","1","0.1","906","","3","0","06_chika_float_notice_in","19060046"
"0","","vo_fpc","","","906","","21","","vo_fpc_20604","19060047"
"1","0","117311","0","0","906","0.5","11","10","ごめんなさい、素敵な歌だったから\nつい合わせてしまって…\nお邪魔でしたよね。","19060048"
"","","0","","","906","","91","","","19060049"
"","","0.5","","","906","","93","","0","19060050"
"0","","vo_fpc","","","906","","21","","vo_fpc_20605","19060051"
"1","0","126911","0","0","906","0.5","11","10","ううん…\nそっちも、とても素敵な歌…\nだから、よければもう少し、\nこのまま…","19060052"
"","","0","","","906","","91","","","19060053"
"","","0.5","","","906","","93","","0","19060054"
"","","117311","","0.2","906","","3","1","06_chika_float_smile","19060055"
"0","","vo_fpc","","","906","","21","","vo_fpc_20606","19060056"
"1","0","117311","0","0","906","0.5","11","10","はい。","19060057"
"","","0","","","906","","91","","","19060058"
"","","0.5","","","906","","93","","0","19060059"
"0","","vo_fpc","","","906","","21","","vo_fpc_20607","19060060"
"","","126911","","0.2","906","","3","1","06_cmn_float_sing","19060061"
"","","117311","","0.2","906","","3","1","06_cmn_float_sing","19060062"
"","","10071","","","906","","32","","0","19060063"
"","","10071","","","906","","32","","1","19060064"
"","","10081","","","906","","32","","1","19060065"
"","","2","","","906","","93","","0","19060066"
"4.11764705882353","","126911","","","906","","2","-180","850","19060067"
"4.11764705882353","","11","","","906","","33","-180","880","19060068"
"4.11764705882353","","10071","","","906","","33","-180","880","19060069"
"5.88235294117647","","117311","","","906","","2","-125","850","19060070"
