807aaa9e26482df1c5f84b6bee84b1ca0269d790e7fc7311a3d2f486ab2798a6,39946ddc8180a753a0a9df07fed6d1fc918dfb4ff4c0f898d2138f97df0f7bf4,133f8c561b2d1adc0bcbe37fd2fe498669513e7a814a2866c760b41155489468,eb6be558cb2d9f0ee6e80ff4f62bb97e2fdfe9f0af0dae349c85ffeaf1ccfd1a,ca84e0a8f9030edce9611f3404d9cc4e592eb3c06d257d370dbe4ba99b18cdff,d9ad09831d981cd3c3207b154a364ba6f9e83a1e54d9b5dc5778d33ff034c2bc,4345b40cfbb640af2eb64ceb6d32456c726e392ebd108797679b679b8dc38c3a,ac543d50f291d0c6a2e7f5d1dfc4fbf093179ab13b7f699ccac3c702f6d000b9,2041721b3ec6bc4549bcfc783a734980a1f0566b68350b9db989a875d2ca52c6,1d3f0e125bb8f513b531f373f1e4a32e729153a15f4ebdb2bd91538210a31e3d
"0","14","23","0","0","1","8","0","1140023","なかよし部のみなさん、"
"1","14","24","0","0","4","0","2.125","1140024",""
"0","14","25","0","0","1","8","0","1140025","親切にしてくれたクラスメイトのみんなのことが思い浮かんでくる。\n\n"
"1","14","26","0","0","4","0","6.375","1140026",""
"0","14","27","vo_10011600","vo_10011600_1405","2","0","0","1140027",""
"0","14","28","0","0","1","8","0","1140028","聖テレサ女学院のみなさん、\n"
"1","14","29","0","0","4","0","2.875","1140029",""
"0","14","30","0","0","1","8","0","1140030","本当に"
"1","14","31","0","0","4","0","1.375","1140031",""
"0","14","32","0","0","1","8","0","1140032","ありがとうございました！"
"1","14","33","0","0","4","0","2.5","1140033",""
