a0cd0d6d5e32010ebe67751a93492c84dd93543206f327bd9976a1791737a9f1,6bd4fafb45413d06a912d8c684b7be183d76c9d92864e1904c8150a035b01597,b70a053d82c8e476fcbe6324ad9f82f2d74b2697e76a111733b24d2e72cb970f,671cc8b5f59a070a4e7d59a9df879f129f12b397fa728bfc67210b143e6cd6bb,ee5c8392cc1c60e582f285dcd8d0eb928cb36604e1168d718245da93846070a4,89b72150a0b2184b6b60913d78bf85153d456994487ebf1dc36af971ab02d4e3,4a55d8da8caf6f2dedc1861060efd1a198c23dcd5656afb73a77ff1a930b727c,767ea9c71c929daf4af90fd9f3dd703e130fe404d47f3d450642fd87d3d23b09,ed42755766a6ed5f2771ea83e0dbd3f6c3d48cb48b4bdc262fa473fe07368b47,3ad453e4a06f02536edb65ee7e5c42da297ce676d30acc53feb597e28870f80e,68c631b703892dfae092b3d4906b22183d5b715c03767d2cba436c24b8a08689
"91","","","","","","0","1070047","","7",""
"3","","1","","","0","112511","1070048","","7","omp_idle_calm"
"3","","1","","","0","112411","1070049","","7","omp_talk_joy1"
"21","","0","","","","vo_omp_7007","1070050","0","7","vo_omp_7007_007"
"11","","10","1","","","112411","1070051","1","7","リンちゃん…！"
"91","","","","","","0","1070052","","7",""
"4","","","","","","112611","1070053","","7","0"
"3","","1","","","0","112411","1070054","","7","omp_psn_20"
"3","","1","","","0","112611","1070055","","7","omp_talk_joy1"
"21","","0","","","","vo_omp_7007","1070056","0","7","vo_omp_7007_008"
"11","","10","1","","","112611","1070057","1","7","へへっ、しぶりんってば\nクールぶってるくせに、熱いねぇ♪\nそんなしぶりんは、しまむーと私で\nぎゅ～っとしちゃうぞ～！"
"93","","","","","","10","1070058","","7","1"
"4","","1","","","","112611","1070059","","7","0"
"2","","-205","1","","","112611","1070060","0","7","120"
"2","","-205","1","","","112411","1070061","0","7","420"
"3","","0","1","0.1","0","112611","1070062","omp_psn_13_loop","7","omp_psn_13"
"3","","0","1","0.1","0","112411","1070063","omp_psn_13_loop","7","omp_psn_13"
"3","","0","1","0","0","112511","1070064","omp_psn_15_loop","7","omp_psn_15"
"93","","","","","","1","1070065","","7","1"
"3","","0","1","","0","105831","1070066","omp_idle_surprise1","7","omp_surprise"
"3","","0","1","","0","105931","1070067","omp_idle_surprise1","7","omp_surprise"
"3","","0","1","0.2","0","106031","1070068","omp_idle_surprise2","7","omp_surprise"
"91","","","","","","1070057","1070069","","7",""
"21","","0","","","","vo_omp_7007","1070070","0","7","vo_omp_7007_009"
"11","","10","1","","","112511","1070071","1","7","ちょっ、や、やめてよ…！"
"91","","","","","","0","1070072","","7",""
"4","","1","","","","105831","1070073","","7","1"
"3","","1","","","0","105831","1070074","","7","omp_talk_joy1"
"21","","0","","","","vo_omp_7007","1070075","0","7","vo_omp_7007_010"
"11","","10","1","","","105831","1070076","1","7","キャルちゃん、\nわたしたちもやりましょう♪"
"91","","","","","","0","1070077","","7",""
"3","","1","","","0","105831","1070078","","7","omp_idle_joy1"
"3","","1","","","0","106031","1070079","","7","omp_talk_tsun"
"21","","0","","","","vo_omp_7007","1070080","0","7","vo_omp_7007_011"
"11","","10","1","","","106031","1070081","1","7","は！？　なんでよ、イヤよ、お断りよ！\nこらっ、なんで近づいてくるのよ！？\nコロ助、助けなさいよっ！？"
"93","","","","","","4","1070082","","7","1"
"3","","1","","","0","105831","1070083","","7","omp_walk"
"2","","-205","1","","","105831","1070084","1","7","-120"
"91","","","","","","0","1070085","","7",""
"3","","1","","","0.2","105831","1070086","","7","omp_idle_joy1"
"91","","","","","","1070081","1070087","","7",""
"3","","1","","","0","105831","1070088","","7","omp_idle_joy1"
"3","","1","","","0","106031","1070089","","7","omp_idle_tsun"
"3","","1","","","0","105931","1070090","","7","omp_talk_normal"
"21","","0","","","","vo_omp_7007","1070091","0","7","vo_omp_7007_012"
"11","","10","1","","","105931","1070092","1","7","キャルさま\n逃げ道はございません\n僭越ながら、わたくしも\n参加させてもらいますので…♪"
"91","","","","","","0","1070093","","7",""
"2","","-205","1","","","105831","1070094","0","7","-120"
"2","","-205","1","","","105931","1070095","0","7","-440"
"3","","0","1","0.1","0","105831","1070096","omp_psn_14_loop","7","omp_psn_14"
"3","","0","1","0.1","0","105931","1070097","omp_psn_14_loop","7","omp_psn_14"
"3","","0","1","0","0","106031","1070098","omp_psn_15_loop","7","omp_psn_15"
"21","","0","","","","vo_omp_7007","1070099","0","7","vo_omp_7007_013"
"11","","10","1","","","105831","1070100","1","7","ぎゅう～♪"
"91","","","","","","0","1070101","","7",""
"3","","1","","","0","106031","1070102","","7","omp_psn_16_loop"
"21","","0","","","","vo_omp_7007","1070103","0","7","vo_omp_7007_014"
"11","","10","1","","","106031","1070104","1","7","ちょっ、ふざけんなっ、おぶっ！？\nペコリーヌ、力加減！\nあたしを半分にする気！？\nちょっ、なんなのよ～っ！？"
"91","","","","","","0","1070105","","7",""
"3","","1","","","0","112611","1070106","","7","omp_psn_13_loop"
"21","","0","","","","vo_omp_7007","1070107","0","7","vo_omp_7007_015"
"11","","10","1","","","112611","1070108","1","7","わー！\nキャルキャル～！"
"91","","","","","","0","1070109","","7",""
"3","","1","","","0","112611","1070110","","7","omp_psn_13_loop"
"3","","1","","","0","112411","1070111","","7","omp_psn_13_loop"
"21","","0","","","","vo_omp_7007","1070112","0","7","vo_omp_7007_016"
"11","","10","1","","","112411","1070113","1","7","あはは♪\n【美食殿】のみなさんの\nスキンシップ、大胆ですねっ！"
"91","","","","","","0","1070114","","7",""
"3","","1","","","0","112411","1070115","","7","omp_psn_13_loop"
"3","","1","","","0","112511","1070116","","7","omp_psn_15_loop"
"21","","0","","","","vo_omp_7007","1070117","0","7","vo_omp_7007_017"
"11","","10","1","","","112511","1070118","1","7","大胆とかいうレベルを\n超えてる気がするんだけど…っ！？\nちょっ、やめ…ひゃああっ！"
"93","","","","","","5.5","1070119","","7","1"
"3","","1","","","0.1","112511","1070120","","7","omp_psn_16_loop"
"91","","","","","","1070118","1070121","","7",""
"93","","","","","","0.4","1070122","","7",""
"1","omp_idle_normal","1600","-195","1","1.8","1","1080001","200","8","105831"
"1","omp_talk_normal","1500","-185","0","1.8","1","1080002","0","8","105931"
"1","omp_idle_normal","1600","-205","0","1.8","1","1080003","-200","8","106031"
"31","","0","1","","1","1","1080004","0","8","1"
"93","","","","","","1","1080005","","8",""
"21","","0","","","","vo_omp_7008","1080006","0","8","vo_omp_7008_000"
"11","","10","1","","","105931","1080007","1","8","ムーサの町…初めて訪れましたが\n素敵な町でございますね"
"91","","","","","","0","1080008","","8",""
"3","","1","","","0","105931","1080009","","8","omp_idle_normal"
"3","","1","","","0","105831","1080010","","8","omp_talk_joy1"
"21","","0","","","","vo_omp_7008","1080011","0","8","vo_omp_7008_001"
"11","","10","1","","","105831","1080012","1","8","はい♪　活気もありますし\nなにより色んな特産品が美味しそうで\nやばいですね☆"
"91","","","","","","0","1080013","","8",""
"3","","1","","","0","105831","1080014","","8","omp_idle_joy1"
"3","","1","","","0","106031","1080015","","8","omp_talk_sad"
"21","","0","","","","vo_omp_7008","1080016","0","8","vo_omp_7008_002"
"11","","10","1","","","106031","1080017","1","8","はぁ。本当にあんたの頭の中は\n食べることばっかりね"
"91","","","","","","0","1080018","","8",""
"3","","1","","","0","106031","1080019","","8","omp_idle_sad"
"3","","1","","","0","105931","1080020","","8","omp_talk_normal"
"21","","0","","","","vo_omp_7008","1080021","0","8","vo_omp_7008_003"
"11","","10","1","","","105931","1080022","1","8","ふふ、ではこの後\n食べ歩きをいたしませんか？\nわたくし、お腹が空いてしまいました"
"91","","","","","","0","1080023","","8",""
"3","","1","","","0","105931","1080024","","8","omp_idle_normal"
"3","","1","","","0","106031","1080025","","8","omp_talk_surprise1"
"21","","0","","","","vo_omp_7008","1080026","0","8","vo_omp_7008_004"
"11","","10","1","","","106031","1080027","1","8","コロ助まで！？"
"91","","","","","","0","1080028","","8",""
"3","","1","","","0","106031","1080029","","8","omp_idle_surprise1"
"3","","1","","","0","105831","1080030","","8","omp_talk_normal"
"21","","0","","","","vo_omp_7008","1080031","0","8","vo_omp_7008_005"
"11","","10","1","","","105831","1080032","1","8","キャルちゃんはどうしますか～？"
"91","","","","","","0","1080033","","8",""
"4","","","","","","105931","1080034","","8","1"
"3","","1","","","0","105831","1080035","","8","omp_idle_normal"
"3","","1","","","0","106031","1080036","","8","omp_talk_tsun"
"21","","0","","","","vo_omp_7008","1080037","0","8","vo_omp_7008_006"
"11","","10","1","","","106031","1080038","1","8","あたしだって\n美味しいもの食べたいわよ！\n…魔物料理じゃなきゃね"
"91","","","","","","0","1080039","","8",""
"3","","1","","","0","106031","1080040","","8","omp_idle_tsun"
"3","","1","","","0","105931","1080041","","8","omp_talk_normal"
"21","","0","","","","vo_omp_7008","1080042","0","8","vo_omp_7008_007"
"11","","10","1","","","105931","1080043","1","8","ふふ、わたくしたちの思いは一つ\nさすが【美食殿】でございますね♪"
"91","","","","","","0","1080044","","8",""
"4","","","","","","105931","1080045","","8","0"
"3","","1","","","0","105931","1080046","","8","omp_idle_normal"
"3","","1","","","0","105831","1080047","","8","omp_talk_joy1"
"21","","0","","","","vo_omp_7008","1080048","0","8","vo_omp_7008_008"
"11","","10","1","","","105831","1080049","1","8","えっへへ～♪\nそれじゃあ行きましょう！\nコッコロちゃん！　キャルちゃん！"
"91","","","","","","0","1080050","","8",""
"93","","","","","","0.4","1080051","","8",""
"1","omp_idle_normal","1600","-270","1","1.8","1","1090001","300","9","105831"
"1","omp_idle_normal","1700","-285","1","1.8","1","1090002","450","9","105931"
"1","omp_idle_normal","1600","-230","1","1.8","1","1090003","-310","9","106031"
"1","omp_idle_normal","1500","-190","1","1.8","1","1090004","-45","9","112511"
"1","omp_idle_normal","1600","-240","1","1.8","1","1090005","65","9","112411"
"1","omp_idle_normal","1500","-192","1","1.8","1","1090006","205","9","112611"
"31","","0","1","","1","1","1090007","0","9","1"
"93","","","","","","0.2","1090008","","9",""
"3","","1","","","0.1","112611","1090009","","9","omp_idle_normal"
"3","","1","","","0","106031","1090010","","9","omp_talk_sad"
"3","","1","","","0.1","112511","1090011","","9","omp_idle_normal"
"3","","1","","","0.1","105831","1090012","","9","omp_idle_normal"
"93","","","","","","0.1","1090013","","9",""
"93","","","","","","1","1090014","","9",""
"21","","0","","","","vo_omp_7009","1090015","0","9","vo_omp_7009_000"
"11","","10","1","","","106031","1090016","1","9","ここでのことは思い出したくないわ\nなんであんなことしちゃったのかしら…\nはぁ。ほんっとサイアク！"
"91","","","","","","0","1090017","","9",""
"3","","0","","","0","106031","1090018","","9","omp_psn_17"
"21","","0","","","","vo_omp_7009","1090019","0","9","vo_omp_7009_001"
"11","","10","1","","","106031","1090020","1","9","…きゃるきゃるーん\nなんて、にゃ"
"93","","","","","","2","1090021","","9","1"
"3","","1","","","0.2","106031","1090022","","9","omp_talk_sad"
"91","","","","","","1090020","1090023","","9",""
"3","","1","","","0","106031","1090024","","9","omp_idle_sad"
"3","","0","1","0.2","0","105831","1090025","omp_idle_joy1","9","omp_psn_17"
"21","","0","","","","vo_omp_7009","1090026","0","9","vo_omp_7009_002"
"11","","10","1","","","105831","1090027","1","9","きゃるきゃるーん♪"
"91","","","","","","0","1090028","","9",""
"3","","1","1","0.2","0","105931","1090029","omp_idle_normal","9","omp_psn_17"
"21","","0","","","","vo_omp_7009","1090030","0","9","vo_omp_7009_003"
"11","","10","1","","","105931","1090031","1","9","きゃるきゃるーん、でございますにゃ"
"91","","","","","","0","1090032","","9",""
"4","","","","","","106031","1090033","","9","0"
"3","","0","1","0","0","106031","1090034","omp_idle_surprise1","9","omp_surprise"
"21","","0","","","","vo_omp_7009","1090035","0","9","vo_omp_7009_004"
"11","","10","1","","","106031","1090036","1","9","なっ、あんたたち！？\nい、今のっ、見てっ…！？"
"91","","","","","","0","1090037","","9",""
"3","","1","1","0.2","0","112611","1090038","omp_idle_joy1","9","omp_psn_17_other"
"21","","0","","","","vo_omp_7009","1090039","0","9","vo_omp_7009_005"
"11","","10","1","","","112611","1090040","1","9","きゃっるきゃる～ん♪\n華麗に登場にゃ☆"
"91","","","","","","0","1090041","","9",""
"3","","1","","","0","106031","1090042","","9","omp_talk_anger2"
"21","","0","","","","vo_omp_7009","1090043","0","9","vo_omp_7009_006"
"11","","10","1","","","106031","1090044","1","9","殺す！　殺すわ！\n全員まとめてぶっ殺して\nあんなことしちゃったあたしも殺すわ！\nみんな消し去ってやるわよぉ～っ！"
"91","","","","","","0","1090045","","9",""
"3","","1","","","0","106031","1090046","","9","omp_idle_anger2"
"3","","1","","","0","112411","1090047","","9","omp_talk_sad"
"21","","0","","","","vo_omp_7009","1090048","0","9","vo_omp_7009_007"
"11","","10","1","","","112411","1090049","1","9","キャ、キャルちゃん。えっと、その…"
"91","","","","","","0","1090050","","9",""
"3","","1","","","0","112411","1090051","","9","omp_idle_sad"
"3","","1","","","0","112511","1090052","","9","omp_talk_normal"
"21","","0","","","","vo_omp_7009","1090053","0","9","vo_omp_7009_008"
"11","","10","1","","","112511","1090054","1","9","大変だね"
"91","","","","","","0","1090055","","9",""
"3","","1","","","0","112511","1090056","","9","omp_idle_normal"
"3","","1","","","0","106031","1090057","","9","omp_talk_tsun"
"21","","0","","","","vo_omp_7009","1090058","0","9","vo_omp_7009_009"
"11","","10","1","","","106031","1090059","1","9","あ、あんたたちは見逃してあげるわ…！\nでもあいつらはダメ！\nこの世から消し去らないとあたしが\n安心できないっ…！"
"91","","","","","","0","1090060","","9",""
"3","","1","","","0","106031","1090061","","9","omp_idle_tsun"
"3","","1","","","0","112511","1090062","","9","omp_talk_normal"
"21","","0","","","","vo_omp_7009","1090063","0","9","vo_omp_7009_010"
"11","","10","1","","","112511","1090064","1","9","でもあれ、かわいかったと思うけど"
"91","","","","","","0","1090065","","9",""
"3","","1","","","0","112511","1090066","","9","omp_idle_normal"
"3","","1","","","0","112411","1090067","","9","omp_talk_joy2"
"21","","0","","","","vo_omp_7009","1090068","0","9","vo_omp_7009_011"
"11","","10","1","","","112411","1090069","1","9","はい！　とっても素敵でした！"
"91","","","","","","0","1090070","","9",""
"3","","1","","","0","112411","1090071","","9","omp_psn_20"
"3","","1","","","0","106031","1090072","","9","omp_talk_tsun"
"21","","0","","","","vo_omp_7009","1090073","0","9","vo_omp_7009_012"
"11","","10","1","","","106031","1090074","1","9","そんなのうれしくないわよ～っ！？"
"91","","","","","","0","1090075","","9",""
"3","","1","","","0","106031","1090076","","9","omp_idle_tsun"
"3","","0","1","0.2","0","105831","1090077","omp_idle_joy1","9","omp_psn_17"
"3","","0","1","0.2","0","105931","1090078","omp_idle_normal","9","omp_psn_17"
"3","","0","1","0.2","0","112611","1090079","omp_idle_joy1","9","omp_psn_17_other"
"21","","0","","","","vo_omp_7009","1090080","0","9","vo_omp_7009_013"
"11","","10","1","","","105831","1090081","1","9","きゃるきゃるーん♪"
"91","","","","","","0","1090082","","9",""
"3","","1","","","0","106031","1090083","","9","omp_talk_anger2"
"21","","0","","","","vo_omp_7009","1090084","0","9","vo_omp_7009_014"
"11","","10","1","","","106031","1090085","1","9","絶対にぶっ殺す～～～～～～～！"
"91","","","","","","0","1090086","","9",""
"93","","","","","","0.4","1090087","","9",""
