8814aa2b7a6eb0d2ceecbde1703a45df8e2f7ef72dd1f1511880ad16fc7a20cb,f772d0ad0be0db616c76800a5c06fecdc4100067a5083ad6f69a6cb1489c7ec4,bee12fbf53beefe10185700687ce7e7ab30db12e23d9219fc40d9792f5d11112,49d4527ee180838c44cefb0436d86228fd213225b8fead43c3004f44bd1ab9d1,92f7565e0fcad5bcca4f5d3b1d58e73274710c289c3b25438aad0a94213346ae,11c9f568897102769190c0161afdd8552c0852a86375e5202f8d2ccfae2e7dec,212add5d325b3896fc9e4b7143ca0210273691d64c9bbd7babfd8479e4366199,3056476b865b2a17786a87256e0e813def0770102e674a73a03e3db10ddec2ed,65b1dbaa387be5e6aeeffd053a092ab78ac087fd6b3192975dc9a74c54be722f,de6a53d36e7fcbae1c0e40e347628eb92ebb240f5c727b00ae98795dd33e6b5f,c5b6a421ea64e929924f1f3215562b67b69548ad6288079f9994f2a62b162351
"","0","","","","","91","","7","1070047",""
"","112511","1","0","","omp_idle_calm","3","","7","1070048",""
"","112411","1","0","","omp_talk_joy1","3","","7","1070049",""
"0","vo_omp_7007","0","","","vo_omp_7007_007","21","","7","1070050",""
"1","112411","10","","1","リンちゃん…！","11","","7","1070051",""
"","0","","","","","91","","7","1070052",""
"","112611","","","","0","4","","7","1070053",""
"","112411","1","0","","omp_psn_20","3","","7","1070054",""
"","112611","1","0","","omp_talk_joy1","3","","7","1070055",""
"0","vo_omp_7007","0","","","vo_omp_7007_008","21","","7","1070056",""
"1","112611","10","","1","へへっ、しぶりんってば\nクールぶってるくせに、熱いねぇ♪\nそんなしぶりんは、しまむーと私で\nぎゅ～っとしちゃうぞ～！","11","","7","1070057",""
"","10","","","","1","93","","7","1070058",""
"","112611","1","","","0","4","","7","1070059",""
"0","112611","-205","","1","120","2","","7","1070060",""
"0","112411","-205","","1","420","2","","7","1070061",""
"omp_psn_13_loop","112611","0","0","1","omp_psn_13","3","0.1","7","1070062",""
"omp_psn_13_loop","112411","0","0","1","omp_psn_13","3","0.1","7","1070063",""
"omp_psn_15_loop","112511","0","0","1","omp_psn_15","3","0","7","1070064",""
"","1","","","","1","93","","7","1070065",""
"omp_idle_surprise1","105831","0","0","1","omp_surprise","3","","7","1070066",""
"omp_idle_surprise1","105931","0","0","1","omp_surprise","3","","7","1070067",""
"omp_idle_surprise2","106031","0","0","1","omp_surprise","3","0.2","7","1070068",""
"","1070057","","","","","91","","7","1070069",""
"0","vo_omp_7007","0","","","vo_omp_7007_009","21","","7","1070070",""
"1","112511","10","","1","ちょっ、や、やめてよ…！","11","","7","1070071",""
"","0","","","","","91","","7","1070072",""
"","105831","1","","","1","4","","7","1070073",""
"","105831","1","0","","omp_talk_joy1","3","","7","1070074",""
"0","vo_omp_7007","0","","","vo_omp_7007_010","21","","7","1070075",""
"1","105831","10","","1","キャルちゃん、\nわたしたちもやりましょう♪","11","","7","1070076",""
"","0","","","","","91","","7","1070077",""
"","105831","1","0","","omp_idle_joy1","3","","7","1070078",""
"","106031","1","0","","omp_talk_tsun","3","","7","1070079",""
"0","vo_omp_7007","0","","","vo_omp_7007_011","21","","7","1070080",""
"1","106031","10","","1","は！？　なんでよ、イヤよ、お断りよ！\nこらっ、なんで近づいてくるのよ！？\nコロ助、助けなさいよっ！？","11","","7","1070081",""
"","4","","","","1","93","","7","1070082",""
"","105831","1","0","","omp_walk","3","","7","1070083",""
"1","105831","-205","","1","-120","2","","7","1070084",""
"","0","","","","","91","","7","1070085",""
"","105831","1","0.2","","omp_idle_joy1","3","","7","1070086",""
"","1070081","","","","","91","","7","1070087",""
"","105831","1","0","","omp_idle_joy1","3","","7","1070088",""
"","106031","1","0","","omp_idle_tsun","3","","7","1070089",""
"","105931","1","0","","omp_talk_normal","3","","7","1070090",""
"0","vo_omp_7007","0","","","vo_omp_7007_012","21","","7","1070091",""
"1","105931","10","","1","キャルさま\n逃げ道はございません\n僭越ながら、わたくしも\n参加させてもらいますので…♪","11","","7","1070092",""
"","0","","","","","91","","7","1070093",""
"0","105831","-205","","1","-120","2","","7","1070094",""
"0","105931","-205","","1","-440","2","","7","1070095",""
"omp_psn_14_loop","105831","0","0","1","omp_psn_14","3","0.1","7","1070096",""
"omp_psn_14_loop","105931","0","0","1","omp_psn_14","3","0.1","7","1070097",""
"omp_psn_15_loop","106031","0","0","1","omp_psn_15","3","0","7","1070098",""
"0","vo_omp_7007","0","","","vo_omp_7007_013","21","","7","1070099",""
"1","105831","10","","1","ぎゅう～♪","11","","7","1070100",""
"","0","","","","","91","","7","1070101",""
"","106031","1","0","","omp_psn_16_loop","3","","7","1070102",""
"0","vo_omp_7007","0","","","vo_omp_7007_014","21","","7","1070103",""
"1","106031","10","","1","ちょっ、ふざけんなっ、おぶっ！？\nペコリーヌ、力加減！\nあたしを半分にする気！？\nちょっ、なんなのよ～っ！？","11","","7","1070104",""
"","0","","","","","91","","7","1070105",""
"","112611","1","0","","omp_psn_13_loop","3","","7","1070106",""
"0","vo_omp_7007","0","","","vo_omp_7007_015","21","","7","1070107",""
"1","112611","10","","1","わー！\nキャルキャル～！","11","","7","1070108",""
"","0","","","","","91","","7","1070109",""
"","112611","1","0","","omp_psn_13_loop","3","","7","1070110",""
"","112411","1","0","","omp_psn_13_loop","3","","7","1070111",""
"0","vo_omp_7007","0","","","vo_omp_7007_016","21","","7","1070112",""
"1","112411","10","","1","あはは♪\n【美食殿】のみなさんの\nスキンシップ、大胆ですねっ！","11","","7","1070113",""
"","0","","","","","91","","7","1070114",""
"","112411","1","0","","omp_psn_13_loop","3","","7","1070115",""
"","112511","1","0","","omp_psn_15_loop","3","","7","1070116",""
"0","vo_omp_7007","0","","","vo_omp_7007_017","21","","7","1070117",""
"1","112511","10","","1","大胆とかいうレベルを\n超えてる気がするんだけど…っ！？\nちょっ、やめ…ひゃああっ！","11","","7","1070118",""
"","5.5","","","","1","93","","7","1070119",""
"","112511","1","0.1","","omp_psn_16_loop","3","","7","1070120",""
"","1070118","","","","","91","","7","1070121",""
"","0.4","","","","","93","","7","1070122",""
"200","1","1600","1.8","-195","105831","1","1","8","1080001","omp_idle_normal"
"0","1","1500","1.8","-185","105931","1","0","8","1080002","omp_talk_normal"
"-200","1","1600","1.8","-205","106031","1","0","8","1080003","omp_idle_normal"
"0","1","0","1","1","1","31","","8","1080004",""
"","1","","","","","93","","8","1080005",""
"0","vo_omp_7008","0","","","vo_omp_7008_000","21","","8","1080006",""
"1","105931","10","","1","ムーサの町…初めて訪れましたが\n素敵な町でございますね","11","","8","1080007",""
"","0","","","","","91","","8","1080008",""
"","105931","1","0","","omp_idle_normal","3","","8","1080009",""
"","105831","1","0","","omp_talk_joy1","3","","8","1080010",""
"0","vo_omp_7008","0","","","vo_omp_7008_001","21","","8","1080011",""
"1","105831","10","","1","はい♪　活気もありますし\nなにより色んな特産品が美味しそうで\nやばいですね☆","11","","8","1080012",""
"","0","","","","","91","","8","1080013",""
"","105831","1","0","","omp_idle_joy1","3","","8","1080014",""
"","106031","1","0","","omp_talk_sad","3","","8","1080015",""
"0","vo_omp_7008","0","","","vo_omp_7008_002","21","","8","1080016",""
"1","106031","10","","1","はぁ。本当にあんたの頭の中は\n食べることばっかりね","11","","8","1080017",""
"","0","","","","","91","","8","1080018",""
"","106031","1","0","","omp_idle_sad","3","","8","1080019",""
"","105931","1","0","","omp_talk_normal","3","","8","1080020",""
"0","vo_omp_7008","0","","","vo_omp_7008_003","21","","8","1080021",""
"1","105931","10","","1","ふふ、ではこの後\n食べ歩きをいたしませんか？\nわたくし、お腹が空いてしまいました","11","","8","1080022",""
"","0","","","","","91","","8","1080023",""
"","105931","1","0","","omp_idle_normal","3","","8","1080024",""
"","106031","1","0","","omp_talk_surprise1","3","","8","1080025",""
"0","vo_omp_7008","0","","","vo_omp_7008_004","21","","8","1080026",""
"1","106031","10","","1","コロ助まで！？","11","","8","1080027",""
"","0","","","","","91","","8","1080028",""
"","106031","1","0","","omp_idle_surprise1","3","","8","1080029",""
"","105831","1","0","","omp_talk_normal","3","","8","1080030",""
"0","vo_omp_7008","0","","","vo_omp_7008_005","21","","8","1080031",""
"1","105831","10","","1","キャルちゃんはどうしますか～？","11","","8","1080032",""
"","0","","","","","91","","8","1080033",""
"","105931","","","","1","4","","8","1080034",""
"","105831","1","0","","omp_idle_normal","3","","8","1080035",""
"","106031","1","0","","omp_talk_tsun","3","","8","1080036",""
"0","vo_omp_7008","0","","","vo_omp_7008_006","21","","8","1080037",""
"1","106031","10","","1","あたしだって\n美味しいもの食べたいわよ！\n…魔物料理じゃなきゃね","11","","8","1080038",""
"","0","","","","","91","","8","1080039",""
"","106031","1","0","","omp_idle_tsun","3","","8","1080040",""
"","105931","1","0","","omp_talk_normal","3","","8","1080041",""
"0","vo_omp_7008","0","","","vo_omp_7008_007","21","","8","1080042",""
"1","105931","10","","1","ふふ、わたくしたちの思いは一つ\nさすが【美食殿】でございますね♪","11","","8","1080043",""
"","0","","","","","91","","8","1080044",""
"","105931","","","","0","4","","8","1080045",""
"","105931","1","0","","omp_idle_normal","3","","8","1080046",""
"","105831","1","0","","omp_talk_joy1","3","","8","1080047",""
"0","vo_omp_7008","0","","","vo_omp_7008_008","21","","8","1080048",""
"1","105831","10","","1","えっへへ～♪\nそれじゃあ行きましょう！\nコッコロちゃん！　キャルちゃん！","11","","8","1080049",""
"","0","","","","","91","","8","1080050",""
"","0.4","","","","","93","","8","1080051",""
"300","1","1600","1.8","-270","105831","1","1","9","1090001","omp_idle_normal"
"450","1","1700","1.8","-285","105931","1","1","9","1090002","omp_idle_normal"
"-310","1","1600","1.8","-230","106031","1","1","9","1090003","omp_idle_normal"
"-45","1","1500","1.8","-190","112511","1","1","9","1090004","omp_idle_normal"
"65","1","1600","1.8","-240","112411","1","1","9","1090005","omp_idle_normal"
"205","1","1500","1.8","-192","112611","1","1","9","1090006","omp_idle_normal"
"0","1","0","1","1","1","31","","9","1090007",""
"","0.2","","","","","93","","9","1090008",""
"","112611","1","0.1","","omp_idle_normal","3","","9","1090009",""
"","106031","1","0","","omp_talk_sad","3","","9","1090010",""
"","112511","1","0.1","","omp_idle_normal","3","","9","1090011",""
"","105831","1","0.1","","omp_idle_normal","3","","9","1090012",""
"","0.1","","","","","93","","9","1090013",""
"","1","","","","","93","","9","1090014",""
"0","vo_omp_7009","0","","","vo_omp_7009_000","21","","9","1090015",""
"1","106031","10","","1","ここでのことは思い出したくないわ\nなんであんなことしちゃったのかしら…\nはぁ。ほんっとサイアク！","11","","9","1090016",""
"","0","","","","","91","","9","1090017",""
"","106031","0","0","","omp_psn_17","3","","9","1090018",""
"0","vo_omp_7009","0","","","vo_omp_7009_001","21","","9","1090019",""
"1","106031","10","","1","…きゃるきゃるーん\nなんて、にゃ","11","","9","1090020",""
"","2","","","","1","93","","9","1090021",""
"","106031","1","0.2","","omp_talk_sad","3","","9","1090022",""
"","1090020","","","","","91","","9","1090023",""
"","106031","1","0","","omp_idle_sad","3","","9","1090024",""
"omp_idle_joy1","105831","0","0","1","omp_psn_17","3","0.2","9","1090025",""
"0","vo_omp_7009","0","","","vo_omp_7009_002","21","","9","1090026",""
"1","105831","10","","1","きゃるきゃるーん♪","11","","9","1090027",""
"","0","","","","","91","","9","1090028",""
"omp_idle_normal","105931","1","0","","omp_psn_17","3","0.2","9","1090029",""
"0","vo_omp_7009","0","","","vo_omp_7009_003","21","","9","1090030",""
"1","105931","10","","1","きゃるきゃるーん、でございますにゃ","11","","9","1090031",""
"","0","","","","","91","","9","1090032",""
"","106031","","","","0","4","","9","1090033",""
"omp_idle_surprise1","106031","0","0","1","omp_surprise","3","0","9","1090034",""
"0","vo_omp_7009","0","","","vo_omp_7009_004","21","","9","1090035",""
"1","106031","10","","1","なっ、あんたたち！？\nい、今のっ、見てっ…！？","11","","9","1090036",""
"","0","","","","","91","","9","1090037",""
"omp_idle_joy1","112611","1","0","","omp_psn_17_other","3","0.2","9","1090038",""
"0","vo_omp_7009","0","","","vo_omp_7009_005","21","","9","1090039",""
"1","112611","10","","1","きゃっるきゃる～ん♪\n華麗に登場にゃ☆","11","","9","1090040",""
"","0","","","","","91","","9","1090041",""
"","106031","1","0","","omp_talk_anger2","3","","9","1090042",""
"0","vo_omp_7009","0","","","vo_omp_7009_006","21","","9","1090043",""
"1","106031","10","","1","殺す！　殺すわ！\n全員まとめてぶっ殺して\nあんなことしちゃったあたしも殺すわ！\nみんな消し去ってやるわよぉ～っ！","11","","9","1090044",""
"","0","","","","","91","","9","1090045",""
"","106031","1","0","","omp_idle_anger2","3","","9","1090046",""
"","112411","1","0","","omp_talk_sad","3","","9","1090047",""
"0","vo_omp_7009","0","","","vo_omp_7009_007","21","","9","1090048",""
"1","112411","10","","1","キャ、キャルちゃん。えっと、その…","11","","9","1090049",""
"","0","","","","","91","","9","1090050",""
"","112411","1","0","","omp_idle_sad","3","","9","1090051",""
"","112511","1","0","","omp_talk_normal","3","","9","1090052",""
"0","vo_omp_7009","0","","","vo_omp_7009_008","21","","9","1090053",""
"1","112511","10","","1","大変だね","11","","9","1090054",""
"","0","","","","","91","","9","1090055",""
"","112511","1","0","","omp_idle_normal","3","","9","1090056",""
"","106031","1","0","","omp_talk_tsun","3","","9","1090057",""
"0","vo_omp_7009","0","","","vo_omp_7009_009","21","","9","1090058",""
"1","106031","10","","1","あ、あんたたちは見逃してあげるわ…！\nでもあいつらはダメ！\nこの世から消し去らないとあたしが\n安心できないっ…！","11","","9","1090059",""
"","0","","","","","91","","9","1090060",""
"","106031","1","0","","omp_idle_tsun","3","","9","1090061",""
"","112511","1","0","","omp_talk_normal","3","","9","1090062",""
"0","vo_omp_7009","0","","","vo_omp_7009_010","21","","9","1090063",""
"1","112511","10","","1","でもあれ、かわいかったと思うけど","11","","9","1090064",""
"","0","","","","","91","","9","1090065",""
"","112511","1","0","","omp_idle_normal","3","","9","1090066",""
"","112411","1","0","","omp_talk_joy2","3","","9","1090067",""
"0","vo_omp_7009","0","","","vo_omp_7009_011","21","","9","1090068",""
"1","112411","10","","1","はい！　とっても素敵でした！","11","","9","1090069",""
"","0","","","","","91","","9","1090070",""
"","112411","1","0","","omp_psn_20","3","","9","1090071",""
"","106031","1","0","","omp_talk_tsun","3","","9","1090072",""
"0","vo_omp_7009","0","","","vo_omp_7009_012","21","","9","1090073",""
"1","106031","10","","1","そんなのうれしくないわよ～っ！？","11","","9","1090074",""
"","0","","","","","91","","9","1090075",""
"","106031","1","0","","omp_idle_tsun","3","","9","1090076",""
"omp_idle_joy1","105831","0","0","1","omp_psn_17","3","0.2","9","1090077",""
"omp_idle_normal","105931","0","0","1","omp_psn_17","3","0.2","9","1090078",""
"omp_idle_joy1","112611","0","0","1","omp_psn_17_other","3","0.2","9","1090079",""
"0","vo_omp_7009","0","","","vo_omp_7009_013","21","","9","1090080",""
"1","105831","10","","1","きゃるきゃるーん♪","11","","9","1090081",""
"","0","","","","","91","","9","1090082",""
"","106031","1","0","","omp_talk_anger2","3","","9","1090083",""
"0","vo_omp_7009","0","","","vo_omp_7009_014","21","","9","1090084",""
"1","106031","10","","1","絶対にぶっ殺す～～～～～～～！","11","","9","1090085",""
"","0","","","","","91","","9","1090086",""
"","0.4","","","","","93","","9","1090087",""
