7ca2a35bdf65420fb8e37ea2a40e3d7c088e43c89dd827dedd20981ac52a9993,9e1659088c45cdb3c801ea7c9823369ba49b9f1fd6bf31c146c33786d8d54a9e,b8918007fe7f4eb5440f904a7a3270a0d838c7a516ee8a50f4979f6bc490b677,c5e402894fd51e19264a60956096c656a03c88e45e2d7995e55c2224f237eea0,5d6038aa924d3dfbcc437ce041d8f903dc02643f963b6895a920047525f31e5b
"259","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92409230","魔法防御力（ダウン不可）アップ"
"260","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92409230","ＴＰダウンカット"
"261","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92409230","ダメージ減衰"
"262","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92409230","ＴＰ上昇上限付与"
"263","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92409230","ＨＰ吸収ダウン"
"264","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","16","92409240","闇属性ボーナス特大アップ"
"265","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92409240","物理防御力（ダウン不可）アップ"
"266","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92409240","魔法防御力（ダウン不可）アップ"
"267","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92409240","ＴＰダウンカット"
"268","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92409240","ダメージ減衰"
"269","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92409240","ＴＰ上昇上限付与"
"270","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92409240","ＨＰ吸収ダウン"
"271","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","16","92409310","闇属性ボーナス特大アップ"
"272","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92409310","物理防御力（ダウン不可）アップ"
"273","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92409310","魔法防御力（ダウン不可）アップ"
"274","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92409310","ダメージ減衰"
"275","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92409310","ＴＰ上昇上限付与"
"276","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92409310","ＨＰ吸収ダウン"
"277","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","16","92409320","闇属性ボーナス特大アップ"
"278","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92409320","物理防御力（ダウン不可）アップ"
"279","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92409320","魔法防御力（ダウン不可）アップ"
"280","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92409320","ダメージ減衰"
"281","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92409320","ＴＰ上昇上限付与"
"282","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92409320","ＨＰ吸収ダウン"
"283","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","16","92409330","闇属性ボーナス特大アップ"
"284","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92409330","物理防御力（ダウン不可）アップ"
"285","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92409330","魔法防御力（ダウン不可）アップ"
"286","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92409330","ダメージ減衰"
"287","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92409330","ＴＰ上昇上限付与"
"288","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92409330","ＨＰ吸収ダウン"
"289","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","16","92409340","闇属性ボーナス特大アップ"
"290","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92409340","物理防御力（ダウン不可）アップ"
"291","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92409340","魔法防御力（ダウン不可）アップ"
"292","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92409340","ダメージ減衰"
"293","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92409340","ＴＰ上昇上限付与"
"294","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92409340","ＨＰ吸収ダウン"
"295","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410010","光属性ボーナス特大アップ"
"296","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410010","物理防御力（ダウン不可）アップ"
"297","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410010","魔法防御力（ダウン不可）アップ"
"298","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410010","ＴＰ上昇上限付与"
"299","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410010","ＨＰ吸収ダウン"
"300","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410020","光属性ボーナス特大アップ"
"301","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410020","物理防御力（ダウン不可）アップ"
"302","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410020","魔法防御力（ダウン不可）アップ"
"303","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410020","ＴＰ上昇上限付与"
"304","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410020","ＨＰ吸収ダウン"
"305","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410030","光属性ボーナス特大アップ"
"306","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410030","物理防御力（ダウン不可）アップ"
"307","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410030","魔法防御力（ダウン不可）アップ"
"308","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410030","ＴＰ上昇上限付与"
"309","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410030","ＨＰ吸収ダウン"
"310","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410110","光属性ボーナス特大アップ"
"311","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410110","物理防御力（ダウン不可）アップ"
"312","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410110","魔法防御力（ダウン不可）アップ"
"313","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92410110","ＴＰダウンカット"
"314","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92410110","ダメージ減衰"
"315","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410110","ＴＰ上昇上限付与"
"316","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410110","ＨＰ吸収ダウン"
"317","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410120","光属性ボーナス特大アップ"
"318","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410120","物理防御力（ダウン不可）アップ"
"319","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410120","魔法防御力（ダウン不可）アップ"
"320","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92410120","ＴＰダウンカット"
"321","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92410120","ダメージ減衰"
"322","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410120","ＴＰ上昇上限付与"
"323","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410120","ＨＰ吸収ダウン"
"324","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410130","光属性ボーナス特大アップ"
"325","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410130","物理防御力（ダウン不可）アップ"
"326","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410130","魔法防御力（ダウン不可）アップ"
"327","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92410130","ＴＰダウンカット"
"328","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92410130","ダメージ減衰"
"329","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410130","ＴＰ上昇上限付与"
"330","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410130","ＨＰ吸収ダウン"
"331","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410140","光属性ボーナス特大アップ"
"332","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410140","物理防御力（ダウン不可）アップ"
"333","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410140","魔法防御力（ダウン不可）アップ"
"334","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92410140","ＴＰダウンカット"
"335","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92410140","ダメージ減衰"
"336","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410140","ＴＰ上昇上限付与"
"337","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410140","ＨＰ吸収ダウン"
"338","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410210","光属性ボーナス特大アップ"
"339","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410210","物理防御力（ダウン不可）アップ"
"340","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410210","魔法防御力（ダウン不可）アップ"
"341","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92410210","ＴＰダウンカット"
"342","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92410210","ダメージ減衰"
"343","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410210","ＴＰ上昇上限付与"
"344","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410210","ＨＰ吸収ダウン"
"345","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410220","光属性ボーナス特大アップ"
"346","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410220","物理防御力（ダウン不可）アップ"
"347","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410220","魔法防御力（ダウン不可）アップ"
"348","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92410220","ＴＰダウンカット"
"349","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92410220","ダメージ減衰"
"350","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410220","ＴＰ上昇上限付与"
"351","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410220","ＨＰ吸収ダウン"
"352","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410230","光属性ボーナス特大アップ"
"353","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410230","物理防御力（ダウン不可）アップ"
"354","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410230","魔法防御力（ダウン不可）アップ"
"355","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92410230","ＴＰダウンカット"
"356","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92410230","ダメージ減衰"
"357","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410230","ＴＰ上昇上限付与"
"358","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410230","ＨＰ吸収ダウン"
"359","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410240","光属性ボーナス特大アップ"
"360","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410240","物理防御力（ダウン不可）アップ"
"361","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410240","魔法防御力（ダウン不可）アップ"
"362","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92410240","ＴＰダウンカット"
"363","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92410240","ダメージ減衰"
"364","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410240","ＴＰ上昇上限付与"
"365","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410240","ＨＰ吸収ダウン"
"366","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410310","光属性ボーナス特大アップ"
"367","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410310","物理防御力（ダウン不可）アップ"
"368","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410310","魔法防御力（ダウン不可）アップ"
"369","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92410310","ＴＰダウンカット"
"370","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92410310","ダメージ減衰"
"371","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410310","ＴＰ上昇上限付与"
"372","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410310","ＨＰ吸収ダウン"
"373","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410320","光属性ボーナス特大アップ"
"374","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410320","物理防御力（ダウン不可）アップ"
"375","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410320","魔法防御力（ダウン不可）アップ"
"376","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92410320","ＴＰダウンカット"
"377","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92410320","ダメージ減衰"
"378","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410320","ＴＰ上昇上限付与"
"379","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410320","ＨＰ吸収ダウン"
"380","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410330","光属性ボーナス特大アップ"
"381","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410330","物理防御力（ダウン不可）アップ"
"382","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410330","魔法防御力（ダウン不可）アップ"
"383","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92410330","ＴＰダウンカット"
"384","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92410330","ダメージ減衰"
"385","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410330","ＴＰ上昇上限付与"
"386","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410330","ＨＰ吸収ダウン"
"387","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","15","92410340","光属性ボーナス特大アップ"
"388","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92410340","物理防御力（ダウン不可）アップ"
"389","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92410340","魔法防御力（ダウン不可）アップ"
"390","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92410340","ＴＰダウンカット"
"391","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92410340","ダメージ減衰"
"392","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92410340","ＴＰ上昇上限付与"
"393","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92410340","ＨＰ吸収ダウン"
"394","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92411010","火属性ボーナス特大アップ"
"395","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92411010","物理防御力（ダウン不可）アップ"
"396","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92411010","魔法防御力（ダウン不可）アップ"
"397","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92411010","ＴＰ上昇上限付与"
"398","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92411010","ＨＰ吸収ダウン"
"399","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92411020","火属性ボーナス特大アップ"
"400","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92411020","物理防御力（ダウン不可）アップ"
"401","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92411020","魔法防御力（ダウン不可）アップ"
"402","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92411020","ＴＰ上昇上限付与"
"403","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92411020","ＨＰ吸収ダウン"
"404","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92411030","火属性ボーナス特大アップ"
"405","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92411030","物理防御力（ダウン不可）アップ"
"406","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92411030","魔法防御力（ダウン不可）アップ"
"407","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92411030","ＴＰ上昇上限付与"
"408","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92411030","ＨＰ吸収ダウン"
"409","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92411110","火属性ボーナス特大アップ"
"410","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92411110","物理防御力（ダウン不可）アップ"
"411","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92411110","魔法防御力（ダウン不可）アップ"
"412","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92411110","ＴＰダウンカット"
"413","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92411110","ダメージ減衰"
"414","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92411110","ＴＰ上昇上限付与"
"415","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92411110","ＨＰ吸収ダウン"
"416","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92411120","火属性ボーナス特大アップ"
"417","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92411120","物理防御力（ダウン不可）アップ"
"418","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92411120","魔法防御力（ダウン不可）アップ"
"419","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92411120","ＴＰダウンカット"
"420","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92411120","ダメージ減衰"
"421","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92411120","ＴＰ上昇上限付与"
"422","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92411120","ＨＰ吸収ダウン"
"423","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92411130","火属性ボーナス特大アップ"
"424","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92411130","物理防御力（ダウン不可）アップ"
"425","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92411130","魔法防御力（ダウン不可）アップ"
"426","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92411130","ＴＰダウンカット"
"427","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92411130","ダメージ減衰"
"428","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92411130","ＴＰ上昇上限付与"
"429","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92411130","ＨＰ吸収ダウン"
"430","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92411140","火属性ボーナス特大アップ"
"431","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92411140","物理防御力（ダウン不可）アップ"
"432","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92411140","魔法防御力（ダウン不可）アップ"
"433","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92411140","ＴＰダウンカット"
"434","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92411140","ダメージ減衰"
"435","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92411140","ＴＰ上昇上限付与"
"436","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92411140","ＨＰ吸収ダウン"
"437","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92411210","火属性ボーナス特大アップ"
"438","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92411210","物理防御力（ダウン不可）アップ"
"439","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92411210","魔法防御力（ダウン不可）アップ"
"440","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92411210","ＴＰダウンカット"
"441","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92411210","ダメージ減衰"
"442","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92411210","ＴＰ上昇上限付与"
"443","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","9","92411210","ＨＰ吸収ダウン"
"444","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92411220","火属性ボーナス特大アップ"
"445","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92411220","物理防御力（ダウン不可）アップ"
