40fb30fe700ed47f28566380e78e48b4713420d307155919296332a51f5fd3c1,9d127c9177a602eb3b8471a4f6dc096b3eda5cb51283c59418fa6ff4d7eaca0a,987770c61c0c2dced1167aaba5a9dd655cf455d3da4c60ba75952586c2bff5c2,a42ba85cb20b1eaadf514597f5483ff68d0db5f431ce2f25da136bcc72bfc0d9,13d6bab5f099102bdebb30bc001df7f85d1e8ebb70efd6826339a3b8081f966b,b3ae6f3311285ed19c9be393458be9fc65c8f10108032d9a21a761cb009997ed,565b48a99c7840feb9d395a92f2efe3d950ad926164b3705e82647e2d8357902,27984f16ba5f1a0a82403391bbb7ed12c652e8c83ee32e3f71839e2cdbfef94c,55dbfd2a3b66f4eeeb0075126c3b76e453e5c1a4c1b4a563a0fa23a53655425c,3d3d7b1a6a79ca41bfdcb8b971ce71b1d9e737ef029359e09f86f79ea257ca9a,0d8ef4be2e4d52b1e4b192f366a060ce66e84e405bbef4ab135ebc9bcd6d72f1
"10","","100131","さんせーい！\nじゃあ、あたしは…\nうーん、うーん…！","35","","","0","11","0","1350012"
"","","0","","35","","","","91","","1350013"
"110","0","1","102531","36","03_uek_cmn_idol_def_N","1.3","105","1","5","1360001"
"100","0","1","102831","36","03_uek_cmn_idol_def_N","1.3","10","1","10","1360002"
"","","1","","36","","","","93","","1360003"
"0","0","102531","03_uek_36_suzume","36","","0","03_uek_36_suzume_loop","3","1","1360004"
"0","0","102831","03_uek_36_saren","36","","0","03_uek_36_saren_loop","3","1","1360005"
"","","0","","36","","","","91","","1360006"
"10","","102531","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？","36","","","0","11","0","1360007"
"","","0","","36","","","","91","","1360008"
"10","","102831","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね","36","","","0","11","0","1360009"
"100","0","1","112531","37","01_uek_cmn_idol_def_N","1.3","-118","1","-22","1370001"
"100","0","1","112431","37","01_uek_cmn_idol_def_N","1.3","0","1","0","1370002"
"100","1","1","112631","37","01_uek_27_tamaki_loop","1.3","179","1","0","1370003"
"0","","112631","01_uek_27_tamaki_loop","37","","","","3","0","1370004"
"","","0","","37","","","","91","","1370005"
"0","","112631","01_uek_27_tamaki_loop","37","","","","3","0","1370006"
"","","0","","37","","","","91","","1370007"
"0","","112631","01_uek_27_tamaki_loop","37","","","","3","0","1370008"
"","","0","","37","","","","91","","1370009"
"1","","112631","01_uek_cmn_pose06","37","","0.5","","3","0","1370010"
"10","","112631","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！","37","","","0","11","0","1370011"
"","","0","","37","","","","91","","1370012"
"0","","112531","01_uek_35_rei","37","","","01_uek_35_rei_loop","3","1","1370013"
"10","","112531","…トップアイドルに\nなった時の景色って\nこんな感じなのかな","37","","","0","11","0","1370014"
"","","0","","37","","","","91","","1370015"
"1","","112631","01_uek_cmn_idol_def_N","37","","0.2","","3","0","1370016"
"0","","112431","01_uek_37_uduki","37","","","01_uek_16_uduki_loop","3","1","1370017"
"10","","112431","あの星みたいに\n私たちも\n輝きたいですね！","37","","","0","11","0","1370018"
"","","0","","37","","","","91","","1370019"
"0","","101","14","101","","1","30","31","1","11010001"
"0","","111","11","111","","1","150","31","1","11110001"
"0","","112","12","112","","1","150","31","1","11120001"
"0","","113","13","113","","1","125","31","1","11130001"
