4cb66d4b07c19c4e0f1d251646768b3b5f2988eb6002a805b8937bb4e1235451,610588401fb700563eb134b5430422ba8f1478b73e2d96c4260ddc4d584a321a,08decd7ea8b65d310e10db80ca30b05d572bb781a052c6bc8e7607a385d51163,628083931c00153f125ba20555fdb20c552cd957a340d584000859aab9542119,863bdc12d8ca24c62dbb4a533e8dd3d3c0c4505db75673011b6cb3ffded2265b
"313","82001021","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"314","82001021","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"315","82001021","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"316","82001021","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"317","82001022","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","水属性ボーナス特大アップ"
"318","82001022","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"319","82001022","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"320","82001022","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"321","82001022","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"322","82001022","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"323","82001023","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","水属性ボーナス特大アップ"
"324","82001023","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"325","82001023","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"326","82001023","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"327","82001023","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"328","82001023","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"329","82001024","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","水属性ボーナス特大アップ"
"330","82001024","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"331","82001024","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"332","82001024","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"333","82001024","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"334","82001024","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"335","82001025","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","水属性ボーナス特大アップ"
"336","82001025","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"337","82001025","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"338","82001025","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"339","82001025","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"340","82001025","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"341","82001026","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","水属性ボーナス特大アップ"
"342","82001026","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"343","82001026","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"344","82001026","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"345","82001026","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"346","82001026","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"347","82001027","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","水属性ボーナス特大アップ"
"348","82001027","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"349","82001027","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"350","82001027","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"351","82001027","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"352","82001027","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"353","82001028","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","水属性ボーナス特大アップ"
"354","82001028","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"355","82001028","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"356","82001028","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"357","82001028","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"358","82001028","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"359","82001029","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","水属性ボーナス特大アップ"
"360","82001029","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"361","82001029","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"362","82001029","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"363","82001029","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"364","82001029","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"365","82001030","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","水属性ボーナス特大アップ"
"366","82001030","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"367","82001030","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"368","82001030","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"369","82001030","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"370","82001030","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"371","82001030","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","ＴＰダウンカット"
"372","82001030","バトル開始時、すべてのキャラの物理攻撃力を大ダウンさせる。","5","物理攻撃力ダウン"
"373","82001030","バトル開始時、すべてのキャラの魔法攻撃力を大ダウンさせる。","6","魔法攻撃力ダウン"
"374","83001001","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"375","83001001","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"376","83001001","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"377","83001001","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"378","83001001","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"379","83001001","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"380","83001002","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"381","83001002","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"382","83001002","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"383","83001002","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"384","83001002","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"385","83001002","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"386","83001003","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"387","83001003","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"388","83001003","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"389","83001003","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"390","83001003","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"391","83001003","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"392","83001004","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"393","83001004","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"394","83001004","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"395","83001004","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"396","83001004","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"397","83001004","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"398","83001005","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"399","83001005","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"400","83001005","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"401","83001005","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"402","83001005","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"403","83001005","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"404","83001006","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"405","83001006","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"406","83001006","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"407","83001006","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"408","83001006","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"409","83001006","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"410","83001007","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"411","83001007","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"412","83001007","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"413","83001007","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"414","83001007","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"415","83001007","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"416","83001008","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"417","83001008","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"418","83001008","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"419","83001008","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"420","83001008","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"421","83001008","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"422","83001009","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"423","83001009","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"424","83001009","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"425","83001009","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"426","83001009","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"427","83001009","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"428","83001010","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"429","83001010","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"430","83001010","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"431","83001010","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"432","83001010","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"433","83001010","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9","ＨＰ吸収ダウン"
"434","83001010","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","ＴＰダウンカット"
"435","83001011","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"436","83001011","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"437","83001011","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"438","83001011","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"439","83001011","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"440","83001011","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"441","83001012","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"442","83001012","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"443","83001012","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"444","83001012","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"445","83001012","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"446","83001012","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"447","83001013","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"448","83001013","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"449","83001013","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"450","83001013","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"451","83001013","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"452","83001013","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"453","83001014","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"454","83001014","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"455","83001014","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"456","83001014","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"457","83001014","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"458","83001014","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"459","83001015","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"460","83001015","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"461","83001015","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"462","83001015","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"463","83001015","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"464","83001015","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"465","83001016","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"466","83001016","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"467","83001016","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"468","83001016","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"469","83001016","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"470","83001016","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"471","83001017","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"472","83001017","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"473","83001017","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"474","83001017","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"475","83001017","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"476","83001017","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"477","83001018","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"478","83001018","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"479","83001018","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"480","83001018","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"481","83001018","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"482","83001018","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"483","83001019","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"484","83001019","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"485","83001019","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"486","83001019","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"487","83001019","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"488","83001019","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"489","83001020","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"490","83001020","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"491","83001020","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
"492","83001020","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"493","83001020","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"494","83001020","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","ＨＰ吸収ダウン"
"495","83001020","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","ＴＰダウンカット"
"496","83001020","バトル開始時、すべてのモンスターの行動速度を大アップさせる。","boss_haste","行動速度アップ"
"497","83001021","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","14","風属性ボーナス特大アップ"
"498","83001021","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","11","深域モンスター"
"499","83001021","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","ＴＰ上昇上限付与"
