9029855558aef591708cf5cd3f4600f27346b46313767ba6b071ad57c286357c,d33c662d9b267ae44dbe6db8d12357f32eb53aa37db10f80997a4b43bb91fbcb,4de172de12563dbafa9a2e299a6737f0be255b2c04a5c73269e87695ed4cebb2,9bda02d4c7f919be1f6e2efb8bd1571038f2ed92fcc97a45df541180163ac0d3,44c1ac02c7798e5fd42c2383e7d5cc249931eafc0feead205010884b840a87b8,fa57daecf5c8b15e71c7fc25c3549fca5fcc14b0f23e4429d929b8358433b63c,5b53e2ac1a163beb68d4e0c87d040ddcce6e735a197737412705a3eae2b0ef8c,840dc26b8c95c9a6cb9f895035a4527311cab48c00ea2073e708c88128ea085e,869e6aa2545447003f2a1f9662491b2d721eb26b559d319bcd9cc28b986b5391,43a6fe554fa00d4e57659107bc09354b45f4c6c5bd35c62d80c65a85dbc78260,6d33e92dfe069040924113cd61943cc787e18f71cf18982d1b20785c658a15f4
"","35","","","0","","","","91","","1350013"
"105","36","0","110","1","03_uek_cmn_idol_def_N","5","1.3","1","102531","1360001"
"10","36","0","100","1","03_uek_cmn_idol_def_N","10","1.3","1","102831","1360002"
"","36","","","1","","","","93","","1360003"
"03_uek_36_suzume_loop","36","0","0","102531","","1","0","3","03_uek_36_suzume","1360004"
"03_uek_36_saren_loop","36","0","0","102831","","1","0","3","03_uek_36_saren","1360005"
"","36","","","0","","","","91","","1360006"
"0","36","","10","102531","","0","","11","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？","1360007"
"","36","","","0","","","","91","","1360008"
"0","36","","10","102831","","0","","11","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね","1360009"
"-118","37","0","100","1","01_uek_cmn_idol_def_N","-22","1.3","1","112531","1370001"
"0","37","0","100","1","01_uek_cmn_idol_def_N","0","1.3","1","112431","1370002"
"179","37","1","100","1","01_uek_27_tamaki_loop","0","1.3","1","112631","1370003"
"","37","","0","112631","","0","","3","01_uek_27_tamaki_loop","1370004"
"","37","","","0","","","","91","","1370005"
"","37","","0","112631","","0","","3","01_uek_27_tamaki_loop","1370006"
"","37","","","0","","","","91","","1370007"
"","37","","0","112631","","0","","3","01_uek_27_tamaki_loop","1370008"
"","37","","","0","","","","91","","1370009"
"","37","","1","112631","","0","0.5","3","01_uek_cmn_pose06","1370010"
"0","37","","10","112631","","0","","11","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！","1370011"
"","37","","","0","","","","91","","1370012"
"01_uek_35_rei_loop","37","","0","112531","","1","","3","01_uek_35_rei","1370013"
"0","37","","10","112531","","0","","11","…トップアイドルに\nなった時の景色って\nこんな感じなのかな","1370014"
"","37","","","0","","","","91","","1370015"
"","37","","1","112631","","0","0.2","3","01_uek_cmn_idol_def_N","1370016"
"01_uek_16_uduki_loop","37","","0","112431","","1","","3","01_uek_37_uduki","1370017"
"0","37","","10","112431","","0","","11","あの星みたいに\n私たちも\n輝きたいですね！","1370018"
"","37","","","0","","","","91","","1370019"
"30","101","","0","101","","1","1","31","14","11010001"
"150","111","","0","111","","1","1","31","11","11110001"
"150","112","","0","112","","1","1","31","12","11120001"
"125","113","","0","113","","1","1","31","13","11130001"
