4da9ba9bf0087d9c0d604ad470ba962158a3f6d4ede97afe16ccad0bca9b8162,006fb82ebff786a761caefbc6b949a3c95cb927c958f52b393b2967551aafbf4,cfdc7f796580dbb3f2d3c4bf96151e9e33145289407cb7db6674c985aaa582a8,d1763208e1e40e4dab153e7fac8a5480fd4b07d6544549f18cbfa6370b87f43d,d988096e28cf18d1da73570b5858241d8459a9bb9ede3e93b6219cb0734b381a,0fb7f83e53824a78ccc9fc8c87db6337666d1c68073ff3da4c7397b366d3aad7,39c556dccfb5e0dd036a5165cdc4b835e26f35705c89565bd3c47bcf53a5272e,33294b66c305e03978e9dbd6f36b4160fede96040d26d7cb74f6ec39152f909c,c971d7cd6923ba013ed5f7d582c30385cdf91438032ce25396aff973aa320e4f,4fc17c1bc632d0a17fda73719828b468eb8dfcbee77013235af6d377c8bc9307,7a7075ea4c04c35efb375fe95494d6ad2f9d92c322c97e8f050d136f2569d356
"1","901","0","1","-250","33","126811","01_yukari_idle","19010001","-900","1.75"
"3","901","0","5","-250","34","3","01_yukari_idle","19010002","-900","1.75"
"2","901","0","5","-250","32","2","cmn_boat_idle","19010003","-900","1.75"
"101","901","","31","1","-900","126811","","19010004","-250","1"
"se_10053800","901","","23","","1","se_fpc_water_random","","19010005","",""
"19010004","901","","91","","","0","","19010006","",""
"126811","901","","2","12","-250","0","","19010007","5.29411764705882",""
"3","901","","2","12","-250","0","","19010008","5.29411764705882",""
"2","901","","2","12","-250","0","","19010009","5.29411764705882",""
"126811","901","","33","12","-250","0","","19010010","5.29411764705882",""
"","901","","91","","","","","19010011","",""
"126811","901","0.1","3","1","0","01_yukari_talk","","19010012","01_yukari_talk_loop","0.1"
"3","901","0.1","3","1","0","01_yukari_talk","","19010013","01_yukari_talk_loop","0.1"
"2","901","","3","","1","cmn_boat_idle","","19010014","","0.1"
"4","901","","93","","","0","","19010015","",""
"vo_fpc","901","","21","","","vo_fpc_20100","","19010016","0",""
"126811","901","0","11","0","10","ぷはぁ～…","0.5","19010017","1","0"
"0","901","","91","","","","","19010018","",""
"0.5","901","","93","","","0","","19010019","",""
"vo_fpc","901","","21","","","vo_fpc_20101","","19010020","0",""
"126811","901","0","11","0","10","真夏のビーチで飲むのもいいけど\n真冬にこうしてプールで飲むってのも\nぜーたくでいいわねぇ…","0.5","19010021","1","0"
"0","901","","91","","","","","19010022","",""
"0.5","901","","93","","","0","","19010023","",""
"vo_fpc","901","","21","","","vo_fpc_20102","","19010024","0",""
"126811","901","0","11","0","10","せーきひ麦ひゅわとうりゃ麦、\n追加で入荷してもらうように\nアキノさんにらのんでおこーっと…","0.5","19010025","1","0"
"0","901","","91","","","","","19010026","",""
"0.5","901","","93","","","0","","19010027","",""
"126811","901","","3","","1","01_yukari_talk2_loop","","19010028","","0.1"
"3","901","","3","","1","01_yukari_talk2_loop","","19010029","","0.1"
"2","901","","3","","1","cmn_boat_idle","","19010030","","0.1"
"vo_fpc","901","","21","","","vo_fpc_20103","","19010031","0",""
"126811","901","0","11","0","10","それにひてもなんかぐらぐらするわね～\nプールなのにビッグウェーブでも\nきてるのかしら…って、うぷっ！","0.5","19010032","1","0"
"0","901","","91","","","","","19010033","",""
"126811","901","0.1","3","1","0","01_yukari_sick_1","","19010034","01_yukari_sick_1_loop","0.1"
"3","901","0.1","3","1","0","01_yukari_sick_1","","19010035","01_yukari_sick_1_loop","0.1"
"2","901","","3","","1","cmn_boat_idle","","19010036","","0.1"
"2","901","","93","","","0","","19010037","",""
"126811","901","0.1","3","1","0","01_yukari_sick_2","","19010038","01_yukari_sick_2_loop","0.1"
"3","901","0.1","3","1","0","01_yukari_sick_2","","19010039","01_yukari_sick_2_loop","0.1"
"2","901","","3","","1","cmn_boat_idle","","19010040","","0.1"
"vo_fpc","901","","21","","","vo_fpc_20104","","19010041","0",""
"126811","901","0","11","0","10","あ、だめ…\n私にもビッグウェーブが…\nた、耐えるのよ、ユカリぃ…","0.5","19010042","1","0"
"0","901","","91","","","","","19010043","",""
"0.5","901","","93","","","0","","19010044","",""
"126811","901","","2","","-250","1000","","19010045","4.52488687782805",""
"3","901","","2","","-250","1000","","19010046","4.52488687782805",""
"2","901","","2","","-250","1000","","19010047","4.52488687782805",""
"126811","901","","33","","-250","1000","","19010048","4.52488687782805",""
"0","901","","91","","","","","19010049","",""
"21","902","0","5","-180","22","1","02_neneka_floatRing","19020001","-780","1.75"
"21","902","0","5","-125","12","2","02_neneka_floatRing","19020002","-780","1.6625"
"21","902","0","5","-250","32","3","02_neneka_floatRing","19020003","-780","1.8375"
"21","902","0","5","-180","22","4","02_neneka_floatRing","19020004","-780","1.75"
"21","902","0","5","-125","12","5","02_neneka_floatRing","19020005","-780","1.6625"
"21","902","0","5","-250","32","6","02_neneka_floatRing","19020006","-780","1.8375"
"102","902","","31","1","-780","1","","19020007","-180","1"
"102","902","","31","1","-780","2","","19020008","-125","1"
"102","902","","31","1","-780","3","","19020009","-250","1"
"102","902","","31","1","-780","4","","19020010","-180","1"
"102","902","","31","1","-780","5","","19020011","-125","1"
"102","902","","31","1","-780","6","","19020012","-250","1"
"se_10053800","902","","23","","1","se_fpc_water_random","","19020013","",""
"19020012","902","","91","","","","","19020014","",""
"1","902","","2","12","-180","0","","19020015","4.58823529411765",""
"1","902","","33","12","-180","0","","19020016","4.58823529411765",""
"19020015","902","","91","","","","","19020017","",""
"vo_fpc","902","","21","","","vo_fpc_20200","","19020018","0",""
"1","902","0","11","0","10","ふむ…","0.5","19020019","1","0"
"0","902","","91","","","","","19020020","",""
"0.5","902","","93","","","0","","19020021","",""
"1","902","","2","12","-180","150","","19020022","3.70588235294118",""
"1","902","","33","12","-180","150","","19020023","3.70588235294118",""
"2","902","","3","","1","02_neneka_floatRing","","19020024","","0.1"
"2","902","","2","12","-125","-150","","19020025","3.70588235294118",""
"2","902","","33","12","-125","-150","","19020026","3.70588235294118",""
"19020025","902","","91","","","","","19020027","",""
"vo_fpc","902","","21","","","vo_fpc_20201","","19020028","0",""
"2","902","0","11","0","10","ただ流される、などという\n世の凡夫たちのような行いの\n何が楽しいのかと思っていましたが…","0.5","19020029","1","0"
"0","902","","91","","","","","19020030","",""
"0.5","902","","93","","","0","","19020031","",""
"1","902","","2","12","-180","250","","19020032","3.11764705882353",""
"1","902","","33","12","-180","250","","19020033","3.11764705882353",""
"2","902","","2","12","-125","0","","19020034","3.11764705882353",""
"2","902","","33","12","-125","0","","19020035","3.11764705882353",""
"3","902","","3","","1","02_neneka_floatRing","","19020036","","0.1"
"3","902","","2","12","-250","-250","","19020037","3.11764705882353",""
"3","902","","33","12","-250","-250","","19020038","3.11764705882353",""
"19020037","902","","91","","","","","19020039","",""
"vo_fpc","902","","21","","","vo_fpc_20202","","19020040","0",""
"3","902","0","11","0","10","これはこれで乙なものですね…\n今度ノウェムでも連れてきて\n流してみましょうか。","0.5","19020041","1","0"
"4.5","902","","93","","","1","","19020042","",""
"0.9","902","","93","","","0","","19020043","",""
"19020041","902","","91","","","","","19020044","",""
"4","902","","3","","1","02_neneka_floatRing","","19020045","","0.1"
"4","902","","2","","-180","850","","19020046","7.37556561085973",""
"4","902","","33","","-180","850","","19020047","7.37556561085973",""
"0.2","902","","93","","","0","","19020048","",""
"5","902","","3","","1","02_neneka_floatRing","","19020049","","0.1"
"1","902","","2","12","-180","850","","19020050","2.71493212669683",""
"1","902","","33","12","-180","850","","19020051","2.71493212669683",""
"0.2","902","","93","","","0","","19020052","",""
"2","902","","2","12","-125","850","","19020053","3.84615384615385",""
"2","902","","33","12","-125","850","","19020054","3.84615384615385",""
"0.1","902","","93","","","0","","19020055","",""
"3","902","","2","12","-250","850","","19020056","4.97737556561086",""
"3","902","","33","12","-250","850","","19020057","4.97737556561086",""
"1.5","902","","93","","","0","","19020058","",""
"5","902","","2","","-125","850","","19020059","6.26923076923077",""
"5","902","","33","","-125","850","","19020060","6.26923076923077",""
"1","902","","93","","","0","","19020061","",""
"6","902","","3","","1","02_neneka_floatRing","","19020062","","0.1"
"6","902","","2","","-250","850","","19020063","6.63800904977376",""
"6","902","","33","","-250","850","","19020064","6.63800904977376",""
"0","902","","91","","","","","19020065","",""
"1","902","","93","","","0","","19020066","",""
"0","902","","91","","","","","19020067","",""
"1","903","0","1","-15","12","113211","03_cmn_walk_styk_N2","19030001","-750","1.4875"
"1","903","0","1","-15","12","113311","03_cmn_run_def_N","19030002","750","1.4875"
"se_10053800","903","","23","","1","se_fpc_water_random","","19030003","",""
"19030002","903","","91","","","0","","19030004","",""
"113211","903","","2","","-15","-150","","19030005","3.52941176470588",""
"1.5","903","","93","","","0","","19030006","",""
"113311","903","","2","","-15","150","","19030007","2.71493212669683",""
"19030005","903","","91","","","","","19030008","",""
"113211","903","","3","","1","03_cmn_idol_def_N","","19030009","","0.1"
"19030007","903","","91","","","","","19030010","",""
"113311","903","","3","","1","03_nanaka_gufufu","","19030011","","0.3"
"0.3","903","","93","","","0","","19030012","",""
"vo_fpc","903","","21","","","vo_fpc_20300","","19030013","0",""
"113311","903","0","11","0","10","ぐっふっふ、\nさすがアンナたそ♪","0.5","19030014","1","0"
"0","903","","91","","","","","19030015","",""
"0.5","903","","93","","","0","","19030016","",""
"vo_fpc","903","","21","","","vo_fpc_20301","","19030017","0",""
"113311","903","0","11","0","10","ナナカちゃんセレクトの伝説のスク水を\n完璧に着こなしておりますなあ！","0.5","19030018","1","0"
"0","903","","91","","","","","19030019","",""
"0.5","903","","93","","","0","","19030020","",""
"113211","903","","3","","1","03_anna_shy","","19030021","","0.1"
"vo_fpc","903","","21","","","vo_fpc_20302","","19030022","0",""
"113211","903","0","11","0","10","なっ、これは他に持ってないから\n仕方なくだなあ…","0.5","19030023","1","0"
"0","903","","91","","","","","19030024","",""
"0.5","903","","93","","","0","","19030025","",""
"vo_fpc","903","","21","","","vo_fpc_20303","","19030026","0",""
"113311","903","0","11","0","10","だいじょぶだいじょぶ、\n似合ってるのはホントだってば！","0.5","19030027","1","0"
"0","903","","91","","","","","19030028","",""
"0.5","903","","93","","","0","","19030029","",""
"vo_fpc","903","","21","","","vo_fpc_20304","","19030030","0",""
"113311","903","0","11","0","10","それともぉ…\nこっちの水着と交換してみる？","0.5","19030031","1","0"
"0","903","","91","","","","","19030032","",""
"0.5","903","","93","","","0","","19030033","",""
"113211","903","","3","1","0","03_anna_pui_in","","19030034","03_anna_pui_loop","0.1"
"vo_fpc","903","","21","","","vo_fpc_20305","","19030035","0",""
"113211","903","0","11","0","10","それはそれで恥ずかしいじゃないか！","0.5","19030036","1","0"
"0","903","","91","","","","","19030037","",""
"0.5","903","","93","","","0","","19030038","",""
"vo_fpc","903","","21","","","vo_fpc_20306","","19030039","0",""
"113211","903","0","11","0","10","わ、我には友が選んでくれた\nこのスク水で十分だ！","0.5","19030040","1","0"
"0","903","","91","","","","","19030041","",""
"0.5","903","","93","","","0","","19030042","",""
"113311","903","","4","","1","1","","19030043","","0.1"
"113211","903","","4","","1","1","","19030044","","0.1"
"113311","903","","3","","1","03_cmn_run_def_N","","19030045","","0.1"
"113211","903","","3","","1","03_cmn_walk_styk_N2","","19030046","","0.1"
"113311","903","","2","","-15","750","","19030047","2.71493212669683",""
"113211","903","","2","","-15","-750","","19030048","3.52941176470588",""
"0","903","","91","","","","","19030049","",""
"1","904","0","1","-180","22","122811","04_misogi_flutterKick_loop","19040001","-910","1.75"
"1","904","0","1","-125","12","122911","04_mimi_flutterKick_loop","19040002","-910","1.75"
"1","904","0","1","-180","22","122711","04_kyouka_flutterKick_loop","19040003","-910","1.75"
"1","904","0","1","-180","23","129311","04_yuni_flutterKick_loop","19040004","-910","1.75"
"1","904","0","5","-180","22","1","cmn_swm_flutterKick_floatBoad","19040005","-910","1.75"
"3","904","0","5","-180","24","3","empty","19040006","-50","1.75"
"1","904","","31","1","-910","1","","19040007","-180","1"
"4","904","","31","1","-910","11","","19040008","-180","0"
"7","904","","31","1","-910","2","","19040009","-125","1"
"4","904","","31","1","-910","21","","19040010","-125","0"
"1","904","","31","1","-910","3","","19040011","-180","1"
"4","904","","31","1","-910","31","","19040012","-180","0"
"1","904","","31","1","-910","4","","19040013","-180","1"
"4","904","","31","1","-50","41","","19040014","-180","0"
"1006","904","","31","1","-180","1006","","19040015","0","0"
"se_10053800","904","","23","","1","se_fpc_water_random","","19040016","",""
"19040015","904","","91","","","0","","19040017","",""
"122811","904","","2","12","-180","375","","19040018","5.81447963800905",""
"1","904","","33","12","-180","375","","19040019","5.81447963800905",""
"11","904","","33","12","-180","375","","19040020","5.81447963800905",""
"","904","","91","","","","","19040021","",""
"1","904","","32","","","0","","19040022","",""
"11","904","","32","","","1","","19040023","",""
"122811","904","0.1","3","1","0","04_misogi_float_in","","19040024","04_misogi_float_loop","0.1"
"0.9","904","","93","","","0","","19040025","",""
"vo_fpc","904","","21","","","vo_fpc_20400","","19040026","0",""
"122811","904","0","11","0","10","わーい！　ミソギがいっちばーん！\nオニさんこっちらー！","0.5","19040027","1","0"
"0","904","","91","","","","","19040028","",""
"0.5","904","","93","","","0","","19040029","",""
"122911","904","","2","12","-125","100","","19040030","5.94117647058824",""
"2","904","","33","12","-125","100","","19040031","5.94117647058824",""
"21","904","","33","12","-125","100","","19040032","5.94117647058824",""
"2","904","","93","","","0","","19040033","",""
"vo_fpc","904","","21","","","vo_fpc_20401","","19040034","0",""
"122911","904","0","11","0","10","逃げろ逃げろ～！","0.5","19040035","1","0"
"19040032","904","","91","","","","","19040036","",""
"2","904","","32","","","0","","19040037","",""
"21","904","","32","","","1","","19040038","",""
"122911","904","0.1","3","1","0","04_mimi_float_in","","19040039","04_mimi_float_loop","0.1"
"122711","904","","2","12","-180","-175","","19040040","5.40441176470588",""
"3","904","","33","12","-180","-175","","19040041","5.40441176470588",""
"31","904","","33","12","-180","-175","","19040042","5.40441176470588",""
"2","904","","93","","","0","","19040043","",""
"vo_fpc","904","","21","","","vo_fpc_20402","","19040044","0",""
"122711","904","0","11","0","10","も～！　二人とも待ってよ～！","0","19040045","1","0"
"19040042","904","","91","","","","","19040046","",""
"3","904","","32","","","0","","19040047","",""
"31","904","","32","","","1","","19040048","",""
"122711","904","0.1","3","1","0","04_kyouka_float_in","","19040049","04_kyouka_float_loop","0.1"
"1.2","904","","93","","","0","","19040050","",""
"1006","904","","32","","","1","","19040051","",""
"0.8","904","","93","","","0","","19040052","",""
"1","904","","32","","","1","","19040053","",""
"11","904","","32","","","0","","19040054","",""
"2","904","","32","","","1","","19040055","",""
"21","904","","32","","","0","","19040056","",""
"3","904","","32","","","1","","19040057","",""
"31","904","","32","","","0","","19040058","",""
"122811","904","0.1","3","1","0","04_misogi_flutterKick_in","","19040059","04_misogi_flutterKick_loop","0.1"
"122811","904","","2","","-180","1000","","19040060","2.82805429864253",""
"1","904","","33","","-180","1000","","19040061","2.82805429864253",""
"0.1","904","","93","","","0","","19040062","",""
"122911","904","0.1","3","1","0","04_mimi_flutterKick_in","","19040063","04_mimi_flutterKick_loop","0.1"
"122911","904","","2","","-125","1000","","19040064","4.07239819004525",""
"2","904","","33","","-125","1000","","19040065","4.07239819004525",""
"0.1","904","","93","","","0","","19040066","",""
"122711","904","0.1","3","1","0","04_kyouka_flutterKick_in","","19040067","04_kyouka_flutterKick_loop","0.1"
"122711","904","","2","","-180","1000","","19040068","5.31674208144796",""
"3","904","","33","","-180","1000","","19040069","5.31674208144796",""
"0.1","904","","93","","","0","","19040070","",""
"129311","904","","2","","-180","-50","","19040071","5.05882352941176",""
"4","904","","33","","-180","-50","","19040072","5.05882352941176",""
"1","904","","2","","-180","-50","","19040073","5.05882352941176",""
"2","904","","93","","","0","","19040074","",""
"vo_fpc","904","","21","","","vo_fpc_20403","","19040075","0",""
"129311","904","0","11","0","10","わーい♪","0.5","19040076","1","0"
"2.75882352941176","904","","93","","","0","","19040077","",""
"3","904","0.1","3","1","0","04_yuni_flutterKick_pause_in","","19040078","04_yuni_flutterKick_pause_loop","0.1"
"129311","904","0.1","3","1","0","04_yuni_flutterKick_pause_in","","19040079","04_yuni_flutterKick_pause_loop","0.1"
"1","904","0.1","3","1","0","04_yuni_flutterKick_pause_in","","19040080","04_yuni_flutterKick_pause_loop","0.1"
"0.3","904","","93","","","0","","19040081","",""
"vo_fpc","904","","21","","","vo_fpc_20404","","19040082","0",""
"4","904","","32","","","0","","19040083","",""
"41","904","","32","","","1","","19040084","",""
"5","904","","93","","","0","","19040085","",""
"3","904","","3","","0","empty","","19040086","","0.1"
"129311","904","0.1","3","1","0","04_yuni_flutterKick_in","","19040087","04_yuni_flutterKick_loop","0.2"
"1","904","0.1","3","1","0","04_yuni_flutterKick_in","","19040088","cmn_swm_flutterKick_floatBoad","0.2"
"4","904","","32","","","1","","19040089","",""
"41","904","","32","","","0","","19040090","",""
"129311","904","","2","","-180","1000","","19040091","6.17647058823529",""
"1","904","","2","","-180","1000","","19040092","6.17647058823529",""
"4","904","","33","","-180","1000","","19040093","6.17647058823529",""
"0.3","904","","93","","","0","","19040094","",""
"vo_fpc","904","","21","","","vo_fpc_20405","","19040095","0",""
"129311","904","0","11","0","10","わーいわーい♪","0.5","19040096","1","0"
"19040091","904","","91","","","","","19040097","",""
"1","905","0","1","-125","12","117111","cmn_swm_flutterKick","19050001","-910","1.75"
"1","905","0","1","-180","22","117011","cmn_swm_flutterKick","19050002","-910","1.75"
"1","905","0","1","-15","12","107611","cmn_walk_r","19050003","750","1.4875"
"7","905","","31","1","-910","1","","19050004","-125","1"
"4","905","","31","1","-910","11","","19050005","-125","0"
"1","905","","31","1","-910","2","","19050006","-180","1"
"4","905","","31","1","-910","21","","19050007","-180","0"
"se_10053800","905","","23","","1","se_fpc_water_random","","19050008","",""
"19050007","905","","91","","","0","","19050009","",""
"117111","905","","2","12","-125","0","","19050010","5.35294117647059",""
"1","905","","33","12","-125","0","","19050011","5.35294117647059",""
"11","905","","33","12","-125","0","","19050012","5.35294117647059",""
"","905","","91","","","","","19050013","",""
"1","905","","32","","","0","","19050014","",""
"11","905","","32","","","1","","19050015","",""
"117111","905","0.1","3","1","0","05_shizuru_search_in","","19050016","05_shizuru_search_loop","0.1"
"1","905","","93","","","0","","19050017","",""
"vo_fpc","905","","21","","","vo_fpc_20500","","19050018","0",""
"117111","905","0","11","0","10","うーん…おかしいなあ…\nここらへんで弟くんの「気」を\n感じたんだけど…","0.5","19050019","1","0"
"1.81764705882353","905","","93","","","1","","19050020","",""
"117011","905","","2","12","-180","-250","","19050021","3.88235294117647",""
"2","905","","33","12","-180","-250","","19050022","3.88235294117647",""
"21","905","","33","12","-180","-250","","19050023","3.88235294117647",""
"2.38235294117647","905","","93","","","0","","19050024","",""
"1.5","905","","93","","","0","","19050025","",""
"19050019","905","","91","","","","","19050026","",""
"19050021","905","","91","","","","","19050027","",""
"117011","905","0.1","3","1","0","05_eriko_talk_in","","19050028","05_eriko_talk_loop","0.1"
"2","905","","32","","","0","","19050029","",""
"21","905","","32","","","1","","19050030","",""
"vo_fpc","905","","21","","","vo_fpc_20501","","19050031","0",""
"117011","905","0","11","0","10","あのおかたのオーラの残滓…\n確かにこのあたりなのですが…","0.5","19050032","1","0"
"2.15294117647059","905","","93","","","1","","19050033","",""
"107611","905","","2","0","-15","300","","19050034","2.64705882352941",""
"1.14705882352941","905","","93","","","0","","19050035","",""
"1.5","905","","93","","","0","","19050036","",""
"19050032","905","","91","","","","","19050037","",""
"19050034","905","","91","","","","","19050038","",""
"107611","905","","3","","1","05_kokkoro_talk","","19050039","","0.2"
"vo_fpc","905","","21","","","vo_fpc_20502","","19050040","0",""
"107611","905","0","11","0","10","シズルさまにエリコさま、\nどうかされたのですか？","0.5","19050041","1","0"
"0","905","","91","","","","","19050042","",""
"0.5","905","","93","","","0","","19050043","",""
"117111","905","0.1","3","1","0","05_shizuru_greet_in","","19050044","05_shizuru_greet_loop","0.1"
"vo_fpc","905","","21","","","vo_fpc_20503","","19050045","0",""
"117111","905","0","11","0","10","あ、コッコロちゃん♪\nそっかー、コッコロちゃんに残った\n弟くんの「気」を感じちゃったんだね♪","0.5","19050046","1","0"
"0","905","","91","","","","","19050047","",""
"0.5","905","","93","","","0","","19050048","",""
"117011","905","0.1","3","1","0","05_eriko_pressure_in","","19050049","05_eriko_pressure_loop","0.1"
"vo_fpc","905","","21","","","vo_fpc_20504","","19050050","0",""
"117011","905","0","11","0","10","なんですか、その気持ちの悪い根拠は。\nそれよりも、あの方はどこにおられるのか\n知っているのでしょう？\n隠し立ては許しませんよ。","0.5","19050051","1","0"
"0","905","","91","","","","","19050052","",""
"0.5","905","","93","","","0","","19050053","",""
"107611","905","","3","","1","05_kokkoro_talk2","","19050054","","0.3"
"vo_fpc","905","","21","","","vo_fpc_20505","","19050055","0",""
"107611","905","0","11","0","10","隠し立てなど、そんな。","0.5","19050056","1","0"
"0","905","","91","","","","","19050057","",""
"0.5","905","","93","","","0","","19050058","",""
"107611","905","0.1","3","1","0","05_kokkoro_point_in","","19050059","05_kokkoro_point_loop","0.1"
"vo_fpc","905","","21","","","vo_fpc_20506","","19050060","0",""
"107611","905","0","11","0","10","主さまは先ほどあちらの方に\n流れていかれましたが…","0.5","19050061","1","0"
"0","905","","91","","","","","19050062","",""
"0.5","905","","93","","","0","","19050063","",""
"117111","905","0.1","3","1","0","05_shizuru_smile_in","","19050064","05_shizuru_smile_loop","0.1"
"vo_fpc","905","","21","","","vo_fpc_20507","","19050065","0",""
"117111","905","0","11","0","10","あっちね！\nよーし、お姉ちゃんが\n今すぐ助けにいくからね！","0.5","19050066","1","0"
"0","905","","91","","","","","19050067","",""
"0.5","905","","93","","","0","","19050068","",""
"117011","905","0.1","3","1","0","05_eriko_sad_in","","19050069","05_eriko_sad_loop","0.1"
"vo_fpc","905","","21","","","vo_fpc_20508","","19050070","0",""
"117011","905","0","11","0","10","ああ、なんということ…\n私が今お助けに向かいます！","0.5","19050071","1","0"
"0","905","","91","","","","","19050072","",""
"0.5","905","","93","","","0","","19050073","",""
"117111","905","0.1","3","1","0","05_shizuru_flutterKick_in","","19050074","05_shizuru_flutterKick_loop","0.1"
"117111","905","","2","","-125","1000","","19050075","2.66169816342827",""
"1","905","","33","","-125","1000","","19050076","2.66169816342827",""
"1","905","","32","","","1","","19050077","",""
"11","905","","32","","","0","","19050078","",""
"0.1","905","","93","","","0","","19050079","",""
"117011","905","0.1","3","1","0","05_eriko_flutterKick_in","","19050080","05_eriko_flutterKick_loop","0.1"
"117011","905","","2","","-180","1000","","19050081","3.14228255404726",""
"2","905","","33","","-180","1000","","19050082","3.14228255404726",""
"2","905","","32","","","1","","19050083","",""
"21","905","","32","","","0","","19050084","",""
"19050081","905","","91","","","","","19050085","",""
"107611","905","0.1","3","1","0","05_kokkoro_talk3_in","","19050086","05_kokkoro_talk3_loop","0.1"
"vo_fpc","905","","21","","","vo_fpc_20509","","19050087","0",""
"107611","905","0","11","0","10","行ってしまわれました…","0.5","19050088","1","0"
"0","905","","91","","","","","19050089","",""
"0.5","905","","93","","","0","","19050090","",""
"vo_fpc","905","","21","","","vo_fpc_20510","","19050091","0",""
"107611","905","0","11","0","10","あのお二人が揃われると\n何が起こるか心配ですね…","0.5","19050092","1","0"
"0","905","","91","","","","","19050093","",""
"0.5","905","","93","","","0","","19050094","",""
"vo_fpc","905","","21","","","vo_fpc_20511","","19050095","0",""
"107611","905","0","11","0","10","主さまの前で暴走されぬよう\nわたくしが見張っておかねば…！","0.5","19050096","1","0"
"0","905","","91","","","","","19050097","",""
"0.5","905","","93","","","0","","19050098","",""
"107611","905","","2","0","-15","850","","19050099","1.65912518853695",""
"107611","905","","3","","1","05_kokkoro_run","","19050100","","0.2"
"vo_fpc","905","","21","","","vo_fpc_20512","","19050101","0",""
"107611","905","0","11","0","10","主さまー！","0.5","19050102","1","0"
"0","905","","91","","","","","19050103","",""
"0.5","905","","93","","","0","","19050104","",""
"19050099","905","","91","","","","","19050105","",""
"1","906","0","1","-180","22","126911","cmn_float","19060001","-850","1.75"
"1","906","0","1","-125","12","117311","cmn_float","19060002","-850","1.75"
"6","906","","31","1","-850","11","","19060003","-180","1"
"1007","906","","31","1","-850","10071","","19060004","-180","0"
"6","906","","31","1","-850","21","","19060005","-125","1"
"1007","906","","31","1","-850","10072","","19060006","-125","0"
"1008","906","","31","1","-850","10081","","19060007","-125","0"
"se_10053800","906","","23","","1","se_fpc_water_random","","19060008","",""
"19060007","906","","91","","","0","","19060009","",""
"126911","906","","2","12","-180","0","","19060010","6.25",""
"11","906","","33","12","-180","0","","19060011","6.25",""
"10071","906","","33","12","-180","0","","19060012","6.25",""
"3","906","","93","","","0","","19060013","",""
"vo_fpc","906","","21","","","vo_fpc_20600","","19060014","0",""
"126911","906","","3","","1","06_cmn_float_sing","","19060015","","0.2"
"10071","906","","32","","","1","","19060016","",""
"19060010","906","","91","","","","","19060017","",""
"126911","906","","3","","1","cmn_float","","19060018","","0.2"
"vo_fpc","906","","21","","","vo_fpc_20601","","19060019","0",""
"126911","906","0","11","0","10","たまには、こういう所も\n悪くないかも…","0.5","19060020","1","0"
"0","906","","91","","","","","19060021","",""
"0.5","906","","93","","","0","","19060022","",""
"117311","906","","2","12","-125","-150","","19060023","5.14705882352941",""
"21","906","","33","12","-125","-150","","19060024","5.14705882352941",""
"10072","906","","33","12","-125","-150","","19060025","5.14705882352941",""
"10081","906","","33","12","-125","-150","","19060026","5.14705882352941",""
"126911","906","","2","12","-180","150","","19060027","5.14705882352941",""
"11","906","","33","12","-180","150","","19060028","5.14705882352941",""
"10071","906","","33","12","-180","150","","19060029","5.14705882352941",""
"2.5","906","","93","","","0","","19060030","",""
"vo_fpc","906","","21","","","vo_fpc_20602","","19060031","0",""
"126911","906","","3","","1","06_cmn_float_sing","","19060032","","0.2"
"117311","906","","3","","1","06_cmn_float_sing","","19060033","","0.2"
"10071","906","","32","","","0","","19060034","",""
"10071","906","","32","","","1","","19060035","",""
"10072","906","","32","","","1","","19060036","",""
"19060029","906","","91","","","","","19060037","",""
"126911","906","","4","","","1","","19060038","",""
"11","906","","33","","-180","180","","19060039","0",""
"126911","906","0.1","3","1","0","06_ranpha_float_notice","","19060040","06_ranpha_float_shy","0.1"
"117311","906","0.1","3","","1","cmn_float","","19060041","",""
"vo_fpc","906","","21","","","vo_fpc_20603","","19060042","0",""
"126911","906","0","11","0","10","あっ…","0.5","19060043","1","0"
"0","906","","91","","","","","19060044","",""
"0.5","906","","93","","","0","","19060045","",""
"117311","906","0.1","3","1","0","06_chika_float_notice_in","","19060046","06_chika_float_notice","0.1"
"vo_fpc","906","","21","","","vo_fpc_20604","","19060047","0",""
"117311","906","0","11","0","10","ごめんなさい、素敵な歌だったから\nつい合わせてしまって…\nお邪魔でしたよね。","0.5","19060048","1","0"
"0","906","","91","","","","","19060049","",""
"0.5","906","","93","","","0","","19060050","",""
"vo_fpc","906","","21","","","vo_fpc_20605","","19060051","0",""
"126911","906","0","11","0","10","ううん…\nそっちも、とても素敵な歌…\nだから、よければもう少し、\nこのまま…","0.5","19060052","1","0"
"0","906","","91","","","","","19060053","",""
"0.5","906","","93","","","0","","19060054","",""
"117311","906","","3","","1","06_chika_float_smile","","19060055","","0.2"
"vo_fpc","906","","21","","","vo_fpc_20606","","19060056","0",""
"117311","906","0","11","0","10","はい。","0.5","19060057","1","0"
"0","906","","91","","","","","19060058","",""
"0.5","906","","93","","","0","","19060059","",""
"vo_fpc","906","","21","","","vo_fpc_20607","","19060060","0",""
"126911","906","","3","","1","06_cmn_float_sing","","19060061","","0.2"
"117311","906","","3","","1","06_cmn_float_sing","","19060062","","0.2"
"10071","906","","32","","","0","","19060063","",""
"10071","906","","32","","","1","","19060064","",""
"10081","906","","32","","","1","","19060065","",""
"2","906","","93","","","0","","19060066","",""
