3f45154b3679c3152c433c5d36a967b27b26222ea0d74988bbf3e03d79c4231e,801cf61fa9a310acfb9925ee8c95bf8be8f04943dce8d4bf488d2a459e95b85e,d2e605415f139beca30a695d0e6ef992aba01cb085c41d5cbb1e726487ea54aa,2dab1efce72b38559e29f2b3ce52e8c6881a89e22b1b6caeeb39bfa72cd59f50,316ff06080f702f81425406d4a8b544fb06480f65ef1662b0858e9d6e63937db
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","238","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409140"
"ＴＰダウンカット","boss_tp_down_cut","239","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92409140"
"ダメージ減衰","18","240","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92409140"
"ＴＰ上昇上限付与","17","241","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409140"
"ＨＰ吸収ダウン","9","242","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409140"
"闇属性ボーナス特大アップ","16","243","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409210"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","244","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409210"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","245","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409210"
"ＴＰダウンカット","boss_tp_down_cut","246","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92409210"
"ダメージ減衰","18","247","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92409210"
"ＴＰ上昇上限付与","17","248","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409210"
"ＨＰ吸収ダウン","9","249","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409210"
"闇属性ボーナス特大アップ","16","250","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409220"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","251","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409220"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","252","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409220"
"ＴＰダウンカット","boss_tp_down_cut","253","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92409220"
"ダメージ減衰","18","254","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92409220"
"ＴＰ上昇上限付与","17","255","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409220"
"ＨＰ吸収ダウン","9","256","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409220"
"闇属性ボーナス特大アップ","16","257","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409230"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","258","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409230"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","259","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409230"
"ＴＰダウンカット","boss_tp_down_cut","260","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92409230"
"ダメージ減衰","18","261","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92409230"
"ＴＰ上昇上限付与","17","262","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409230"
"ＨＰ吸収ダウン","9","263","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409230"
"闇属性ボーナス特大アップ","16","264","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409240"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","265","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409240"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","266","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409240"
"ＴＰダウンカット","boss_tp_down_cut","267","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92409240"
"ダメージ減衰","18","268","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92409240"
"ＴＰ上昇上限付与","17","269","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409240"
"ＨＰ吸収ダウン","9","270","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409240"
"闇属性ボーナス特大アップ","16","271","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409310"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","272","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409310"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","273","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409310"
"ダメージ減衰","18","274","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92409310"
"ＴＰ上昇上限付与","17","275","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409310"
"ＨＰ吸収ダウン","9","276","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409310"
"闇属性ボーナス特大アップ","16","277","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409320"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","278","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409320"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","279","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409320"
"ダメージ減衰","18","280","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92409320"
"ＴＰ上昇上限付与","17","281","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409320"
"ＨＰ吸収ダウン","9","282","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409320"
"闇属性ボーナス特大アップ","16","283","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409330"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","284","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409330"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","285","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409330"
"ダメージ減衰","18","286","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92409330"
"ＴＰ上昇上限付与","17","287","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409330"
"ＨＰ吸収ダウン","9","288","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409330"
"闇属性ボーナス特大アップ","16","289","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409340"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","290","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409340"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","291","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409340"
"ダメージ減衰","18","292","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92409340"
"ＴＰ上昇上限付与","17","293","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409340"
"ＨＰ吸収ダウン","9","294","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409340"
"光属性ボーナス特大アップ","15","295","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410010"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","296","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410010"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","297","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410010"
"ＴＰ上昇上限付与","17","298","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410010"
"ＨＰ吸収ダウン","9","299","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410010"
"光属性ボーナス特大アップ","15","300","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410020"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","301","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410020"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","302","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410020"
"ＴＰ上昇上限付与","17","303","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410020"
"ＨＰ吸収ダウン","9","304","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410020"
"光属性ボーナス特大アップ","15","305","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410030"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","306","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410030"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","307","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410030"
"ＴＰ上昇上限付与","17","308","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410030"
"ＨＰ吸収ダウン","9","309","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410030"
"光属性ボーナス特大アップ","15","310","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410110"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","311","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410110"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","312","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410110"
"ＴＰダウンカット","boss_tp_down_cut","313","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92410110"
"ダメージ減衰","18","314","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92410110"
"ＴＰ上昇上限付与","17","315","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410110"
"ＨＰ吸収ダウン","9","316","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410110"
"光属性ボーナス特大アップ","15","317","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410120"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","318","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410120"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","319","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410120"
"ＴＰダウンカット","boss_tp_down_cut","320","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92410120"
"ダメージ減衰","18","321","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92410120"
"ＴＰ上昇上限付与","17","322","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410120"
"ＨＰ吸収ダウン","9","323","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410120"
"光属性ボーナス特大アップ","15","324","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410130"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","325","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410130"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","326","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410130"
"ＴＰダウンカット","boss_tp_down_cut","327","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92410130"
"ダメージ減衰","18","328","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92410130"
"ＴＰ上昇上限付与","17","329","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410130"
"ＨＰ吸収ダウン","9","330","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410130"
"光属性ボーナス特大アップ","15","331","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410140"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","332","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410140"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","333","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410140"
"ＴＰダウンカット","boss_tp_down_cut","334","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92410140"
"ダメージ減衰","18","335","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92410140"
"ＴＰ上昇上限付与","17","336","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410140"
"ＨＰ吸収ダウン","9","337","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410140"
"光属性ボーナス特大アップ","15","338","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410210"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","339","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410210"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","340","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410210"
"ＴＰダウンカット","boss_tp_down_cut","341","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92410210"
"ダメージ減衰","18","342","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92410210"
"ＴＰ上昇上限付与","17","343","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410210"
"ＨＰ吸収ダウン","9","344","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410210"
"光属性ボーナス特大アップ","15","345","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410220"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","346","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410220"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","347","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410220"
"ＴＰダウンカット","boss_tp_down_cut","348","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92410220"
"ダメージ減衰","18","349","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92410220"
"ＴＰ上昇上限付与","17","350","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410220"
"ＨＰ吸収ダウン","9","351","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410220"
"光属性ボーナス特大アップ","15","352","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410230"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","353","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410230"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","354","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410230"
"ＴＰダウンカット","boss_tp_down_cut","355","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92410230"
"ダメージ減衰","18","356","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92410230"
"ＴＰ上昇上限付与","17","357","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410230"
"ＨＰ吸収ダウン","9","358","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410230"
"光属性ボーナス特大アップ","15","359","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410240"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","360","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410240"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","361","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410240"
"ＴＰダウンカット","boss_tp_down_cut","362","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92410240"
"ダメージ減衰","18","363","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92410240"
"ＴＰ上昇上限付与","17","364","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410240"
"ＨＰ吸収ダウン","9","365","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410240"
"光属性ボーナス特大アップ","15","366","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410310"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","367","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410310"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","368","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410310"
"ＴＰダウンカット","boss_tp_down_cut","369","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92410310"
"ダメージ減衰","18","370","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92410310"
"ＴＰ上昇上限付与","17","371","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410310"
"ＨＰ吸収ダウン","9","372","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410310"
"光属性ボーナス特大アップ","15","373","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410320"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","374","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410320"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","375","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410320"
"ＴＰダウンカット","boss_tp_down_cut","376","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92410320"
"ダメージ減衰","18","377","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92410320"
"ＴＰ上昇上限付与","17","378","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410320"
"ＨＰ吸収ダウン","9","379","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410320"
"光属性ボーナス特大アップ","15","380","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410330"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","381","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410330"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","382","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410330"
"ＴＰダウンカット","boss_tp_down_cut","383","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92410330"
"ダメージ減衰","18","384","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92410330"
"ＴＰ上昇上限付与","17","385","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410330"
"ＨＰ吸収ダウン","9","386","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410330"
"光属性ボーナス特大アップ","15","387","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92410340"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","388","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92410340"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","389","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92410340"
"ＴＰダウンカット","boss_tp_down_cut","390","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92410340"
"ダメージ減衰","18","391","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92410340"
"ＴＰ上昇上限付与","17","392","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92410340"
"ＨＰ吸収ダウン","9","393","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92410340"
"火属性ボーナス特大アップ","12","394","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92411010"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","395","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92411010"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","396","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92411010"
"ＴＰ上昇上限付与","17","397","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92411010"
"ＨＰ吸収ダウン","9","398","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92411010"
"火属性ボーナス特大アップ","12","399","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92411020"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","400","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92411020"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","401","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92411020"
"ＴＰ上昇上限付与","17","402","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92411020"
"ＨＰ吸収ダウン","9","403","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92411020"
"火属性ボーナス特大アップ","12","404","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92411030"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","405","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92411030"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","406","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92411030"
"ＴＰ上昇上限付与","17","407","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92411030"
"ＨＰ吸収ダウン","9","408","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92411030"
"火属性ボーナス特大アップ","12","409","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92411110"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","410","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92411110"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","411","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92411110"
"ＴＰダウンカット","boss_tp_down_cut","412","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92411110"
"ダメージ減衰","18","413","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92411110"
"ＴＰ上昇上限付与","17","414","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92411110"
"ＨＰ吸収ダウン","9","415","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92411110"
"火属性ボーナス特大アップ","12","416","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92411120"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","417","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92411120"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","418","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92411120"
"ＴＰダウンカット","boss_tp_down_cut","419","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92411120"
"ダメージ減衰","18","420","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92411120"
"ＴＰ上昇上限付与","17","421","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92411120"
"ＨＰ吸収ダウン","9","422","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92411120"
"火属性ボーナス特大アップ","12","423","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92411130"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","424","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92411130"
