eb30f3761fca076022084c581ddd253b75cf03adfbc633454c3d13c9dfd0c4ec,f6e73ea58f8960f52a806d06e7f43684ddb6b57b735a4aa4c3c4fdd9d4f961fb,0090ecb259be71e3607add5003b45f2df0f03834c9b4c674b45aaba252dca668,88da47e1a1d2fdd976b40c5f3670857c2bc0d4b4f56e52dcbd3978bbf952acd3,f5a0b1fdb9a99e435e8a4d033f2402b895cb1d7362bfbb98b561a2a39e9acc31,30a70a142b371f385436769e3c77c4db84ea8a8c41b23e8663958e1776b9913f,ea44dfbb0ccaf7cf04bd0b706f1cc14d15b19ef5d3d0477b022d011785242afb,aeba082e8e2c2a6300986fac591646d97558a0533afa1234748b85fafbdbc2b5,1a21018444b6a01ff565961509bfa12d73e1f7b3aa9883c1c68aaa64e7be4d22,379ce90ede24c867cdbe08081a6c017da0b0fac111fd16fb571e7ad32da8f28c,a281308d42b4e60399dc1651239c3b6512ab258aaa6a257d890349ef15d417f1,22d19dd731f13e221aa96a7a641103f14fff1f36db6796c25d306df131bbd4fc,f0d786006f9c0af4295d9afe7e0f4fec2e10acfe0d88a6a43b2b29c87eee99ae,afa555747a5037d6309954eaddc0f084b87131b63530fa0f7e605c20c3431190,fbd0dd93c01eeb11b313a04e36965d97b090cab9c1c55b1f9a82304f7cdbef84,7ad9d10c3957fa72c0385f3577e00dd82559b0abe46414ad599e2fc607b4cf6e
"美食殿","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","キャル（ニューイヤー）","152","猫と遊ぶ","立花理香","39","獣人族","9","A","行き倒れの謎のネコミミ魔法使い","1","112001","14","0","2"
"サレンディア救護院","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","スズメ（ニューイヤー）","154","ご奉仕","悠木碧","43","ヒューマン","12","O","お嬢さまのためにがんばるドジっ娘メイド","9","112101","15","0","12"
"自警団（カォン）","","カスミ（マジカル）","152","読書、推理","水瀬いのり","41","獣人族","11","AB","頭脳明晰な美少女名探偵","10","112201","15","0","3"
"牧場（エリザベスパーク）","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","シオリ（マジカル）","153","読書、お散歩","小清水亜美","40","獣人族","11","A","読書が趣味の病弱少女","11","112301","14","0","3"
"ニュージェネレーションズ","","ウヅキ（デレマス）","159","友達と長話","大橋彩香","45","ヒューマン","4","O","弾ける笑顔！　アイドルを夢見る女の子","100","112401","17","0","24"
"ニュージェネレーションズ","","リン（デレマス）","165","犬の散歩","福原綾香","44","ヒューマン","8","B","クールビューティーな「蒼の剣士」","100","112501","15","0","10"
"ニュージェネレーションズ","","ミオ（デレマス）","161","ショッピング","原紗友里","46","ヒューマン","12","B","スーパースターを目指す元気娘☆☆★","100","112601","15","0","1"
"牧場（エリザベスパーク）","","リン（レンジャー）","144","あんパン","小岩井ことり","42","獣人族","1","B","遊びと睡眠が何より大事なぐうたら娘","11","112701","17","0","1"
"牧場（エリザベスパーク）","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","マヒル（レンジャー）","142","漫才","新田恵海","35","ヒューマン","3","B","みんなを笑顔にするお笑い牧場主","11","112801","20","0","3"
"ラビリンス","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","リノ（ワンダー）","156","お裁縫","阿澄佳奈","44","ヒューマン","8","A","人懐っこくてマシンガントークな妹系少女","3","112901","15","0","25"
"ヴァイスフリューゲル　ランドソル支部","","アユミ（ワンダー）","155","観察","大関英里","43","エルフ","4","O","どこまでも一途に慕う、純情乙女","15","113001","16","0","7"
"トワイライトキャラバン","","ルカ（サマー）","167","釣り","佐藤利奈","54","ヒューマン","7","B","人情味溢れる粋でいなせな「姉御」","13","113101","25","0","11"
"トワイライトキャラバン","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","アンナ（サマー）","159","小説執筆","髙野麻美","45","魔族","7","A","前世を信じる中二病患者、「疾風の冥姫」","13","113201","17","0","5"
"トワイライトキャラバン","","ナナカ（サマー）","166","読書、魔法","佳村はるか","55","魔族","8","O","オタク全開な魔法少女","13","113301","18","0","21"
"フォレスティエ","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","ハツネ（サマー）","156","妹と遊ぶこと、二度寝、昼寝、早寝","大橋彩香","46","エルフ","12","A","みんなのために超能力を使う眠り姫","6","113401","17","0","24"
"フォレスティエ","","ミサト（サマー）","165","絵本作り","國府田マリ子","54","エルフ","9","O","母性溢れる優しいみんなの「ミサト先生」","6","113501","21","0","5"
"王宮騎士団（NIGHTMARE）","","ジュン（サマー）","171","格闘技、湯浴み","川澄綾子","50","ヒューマン","10","A","素顔を見せない冷静沈着な女性騎士","8","113601","25","0","25"
"悪魔偽王国軍（ディアボロス）","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","アカリ（エンジェル）","150","サックス","浅倉杏美","42","魔族","11","O","甘え上手なみんなの人気者","7","113701","13","0","22"
"悪魔偽王国軍（ディアボロス）","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","ヨリ（エンジェル）","150","ゲーム全般","原紗友里","40","魔族","11","O","人見知りであまのじゃくな女の子","7","113801","13","0","22"
"カルミナ","","ツムギ（ハロウィン）","153","裁縫","木戸衣吹","45","ヒューマン","9","AB","ファッション大好きなキュートガール","4","113901","14","0","7"
"トゥインクルウィッシュ","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","レイ（ハロウィン）","163","読書、乗馬、お茶","早見沙織","46","魔族","1","B","クールで何事にも真っ直ぐな剣士","2","114001","18","0","12"
"王宮騎士団（NIGHTMARE）","","マツリ（ハロウィン）","146","ヒーローごっこ","下田麻美","40","獣人族","11","O","ヒーローに憧れる騎士見習いの少女","8","114101","12","0","25"
"ヴァイスフリューゲル　ランドソル支部","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","モニカ（マジカル）","140","お菓子屋通い","辻あゆみ","33","ヒューマン","7","A","見た目も中身もお子ちゃまな異国の軍人","15","114201","17","0","28"
"王宮騎士団（NIGHTMARE）","","トモ（マジカル）","149","剣術、年長者をからかう","茅原実里","43","ヒューマン","8","A","義理堅くてからかい好きな剣術少女","8","114301","13","0","11"
"メルクリウス財団","この私とともにいる限り、\nお金に不自由はさせませんわ！","アキノ（クリスマス）","157","慈善事業","松嵜麗","45","ヒューマン","3","AB","一人前の商人を目指すパワフルお嬢様","12","114401","18","0","12"
"サレンディア救護院","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","サレン（クリスマス）","156","経営、お茶会","堀江由衣","43","エルフ","10","A","救護院を経営する優しい庶民派お嬢様","9","114501","17","0","4"
"メルクリウス財団","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","ユカリ（クリスマス）","164","ウインドーショッピング","今井麻美","55","エルフ","3","A","純情でほっとけない大人の女性","12","114601","22","0","16"
"？？？","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","ムイミ（ニューイヤー）","148","冒険、思い出話","潘めぐみ","40","ヒューマン","8","O","さまよえる謎の少女","","114701","16","0","11"
"？？？","","ネネカ（ニューイヤー）","149","物真似、芸術鑑賞","井口裕香","??","エルフ","3","O","研究所に隠れ住む物静かなお姉さん","","115001","24","0","24"
"美食殿","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","コッコロ（儀装束）","140","瞑想、動植物の飼育","伊藤美来","35","エルフ","5","B","主を慕う、小さなガイド役","1","115501","11","0","11"
"トゥインクルウィッシュ","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","ユイ（儀装束）","158","料理、人間観察","種田梨沙","47","ヒューマン","4","O","戦闘のサポートが得意な、心優しい少女","2","115601","17","0","5"
"自警団（カォン）","","カスミ（サマー）","152","読書、推理","水瀬いのり","41","獣人族","11","AB","頭脳明晰な美少女名探偵","10","115701","15","0","3"
"牧場（エリザベスパーク）","私、ごく普通の、どこにでもいる女の子よ！\nみ、見た目以外はね…","リマ（シンデレラ）","150","毛繕い、お喋り","徳井青空","100","獣人族","3","A","乙女チックなもふもふアニマル","11","115801","17","0","14"
"自警団（カォン）","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","マコト（シンデレラ）","168","お菓子作り","小松未可子","54","獣人族","8","O","男勝りで情に厚いワイルド娘","10","115901","17","0","9"
"自警団（カォン）","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","マホ（シンデレラ）","155","空想、ぬいぐるみ集め","内田真礼","42","獣人族","9","O","マホマホ王国のプリンセス","10","116001","16","0","22"
"聖テレサ女学院（なかよし部）","","クロエ（聖学祭）","154","ダーツ","種﨑敦美","42","エルフ","8","O","ダウンタウン育ちのダウナー系エルフ","16","116201","17","0","7"
"聖テレサ女学院（なかよし部）","","チエル（聖学祭）","156","ダンス、カラオケ","佐倉綾音","46","ヒューマン","9","O","自由奔放ナチュラル無礼な現代っ子","16","116301","16","0","15"
"聖テレサ女学院（なかよし部）","","ユニ（聖学祭）","142","読書","小原好美","36","ヒューマン","2","O","書庫に眠れる小さな賢人","16","116401","18","0","28"
"ドラゴンズネスト","","イノリ（タイムトラベル）","145","ゲーム","藤田茜","???","ドラゴン族","9","AB","口が達者なヘタレドラゴン","17","116501","13","0","29"
"ドラゴンズネスト","","カヤ（タイムトラベル）","156","格闘技","小市眞琴","???","ドラゴン族","6","B","拳で語る喧嘩屋ドラゴン少女","17","116601","16","0","25"
"フォレスティエ","","アオイ（作業服）","158","友達作りのイメトレ","花澤香菜","44","エルフ","6","AB","「友達」に憧れる、エルフの森の女の子","6","116701","13","0","6"
"メルクリウス財団","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","タマキ（作業服）","158","猫とたわむれること","沼倉愛美","48","獣人族","3","AB","弱きを助け強きをくじく猫娘","12","116801","19","0","1"
"メルクリウス財団","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","ミフユ（作業服）","163","傭兵などのアルバイト","田所あずさ","49","ヒューマン","11","O","仕事も私事も効率優先な傭兵少女","12","116901","20","0","11"
"トワイライトキャラバン","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","エリコ（サマー）","154","実験、裁縫、料理","橋本ちなみ","43","魔族","7","B","運命の相手に一途すぎる乙女","13","117001","16","0","30"
"ラビリンス","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","シズル（サマー）","168","家事全般","生天目仁美","54","ヒューマン","10","O","お姉ちゃんがお世話してあげるからねっ！","3","117101","18","0","24"
"カルミナ","","ノゾミ（サマー）","157","舞台鑑賞、ダンス","日笠陽子","40","ヒューマン","1","B","歌って踊れる大人気アイドル","4","117201","17","0","24"
"カルミナ","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","チカ（サマー）","163","各種楽器","福原綾香","46","ヒューマン","6","O","人々を守るために歌う、唱喚士の少女","4","117301","17","0","3"
"カルミナ","","ツムギ（サマー）","153","裁縫","木戸衣吹","45","ヒューマン","9","AB","ファッション大好きなキュートガール","4","117401","14","0","7"
"トワイライトキャラバン","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","ミツキ（オーエド）","166","研究、実験","三石琴乃","53","ヒューマン","3","A","実験が趣味の危険な科学者","13","117501","27","0","7"
"ヴァイスフリューゲル　ランドソル支部","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","ユキ（オーエド）","150","鏡で自分を見ること","大空直美","40","エルフ","10","AB","ボクは誰よりも美しい","15","117601","14","0","10"
"自警団（カォン）","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","カオリ（ハロウィン）","158","踊り、空手","高森奈津美","53","獣人族","7","A","いつでも「なんくるないさ～」な天然娘","10","117701","17","0","7"
"ヴァイスフリューゲル　ランドソル支部","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","ニノン（ハロウィン）","163","忍法開発","佐藤聡美","51","ヒューマン","8","O","トーゴクの神秘、オシエテクダサイ！","15","117801","16","0","31"
"ルーセント学院","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","スズナ（ハロウィン）","167","ファッション","上坂すみれ","48","魔族","4","O","天真爛漫で人気者のカリスマモデル","14","117901","17","0","10"
"リッチモンド商工会","","クレジッタ","160","お金を数えること、悪だくみ","Lynn","57","ヒューマン","9","A","忠義に目覚めた女商人","18","118001","26","0","19"
"レイジ・レギオン","","ランファ","165","歌、読書、詩を書くこと","原田彩楓","53","魔族","12","O","静寂を求め歌う陰気少女","19","118101","20","0","28"
"レイジ・レギオン","","ミソラ","159","特に無し","鬼頭明里","??","ヒューマン","7","A","明朗快活、なれど破滅に流るる溌溂少女","19","118201","16","0","2"
"？？？","","カリン","152","書類仕事、散歩、ボードゲーム","洲崎綾","43","ヒューマン","9","A","【ギルド管理協会】職員の親切なお姉さん","","118501","24","0","12"
"？？？","","ネビア","???","悪戯をすること","相坂優歌","???","？？？","?","?","幻霧に戯れる悪戯好きなガイド妖精","","118601","??","0","?"
"ルーセント学院","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","イオ（ノワール）","162","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","伊藤静","52","魔族","8","B","多くの男性を魅了する無垢な女教師","14","119001","23","0","14"
"ヴァイスフリューゲル　ランドソル支部","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","クウカ（ノワール）","157","小説を読むこと","長妻樹里","49","ヒューマン","11","AB","妄想大好き！　ほんとは照れ屋な女の子","15","119101","18","0","19"
"牧場（エリザベスパーク）","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","マヒル（クリスマス）","142","漫才","新田恵海","35","ヒューマン","3","B","みんなを笑顔にするお笑い牧場主","11","119201","20","0","3"
"ラビリンス","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","リノ（クリスマス）","156","お裁縫","阿澄佳奈","44","ヒューマン","8","A","人懐っこくてマシンガントークな妹系少女","3","119301","15","0","25"
"悪魔偽王国軍（ディアボロス）","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","ミヤコ（クリスマス）","130","プリンを食べること","雨宮天","32","魔族","1","B","プリン大好きゴースト娘","7","119901","14","0","23"
"ラビリンス","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","シズル（ノワール）","168","家事全般","生天目仁美","54","ヒューマン","10","O","お姉ちゃんがお世話してあげるからねっ！","3","120001","18","0","24"
"美食殿","","シェフィ（ニューイヤー）","147","読書、ストレッチ","近藤玲奈","???","ドラゴン族","12","B","記憶喪失のドラゴン娘","1","120701","14","0","14"
"トワイライトキャラバン","","ルカ（ニューイヤー）","167","釣り","佐藤利奈","54","ヒューマン","7","B","人情味溢れる粋でいなせな「姉御」","13","120801","25","0","11"
"悪魔偽王国軍（ディアボロス）","","イリヤ（ニューイヤー）","172","世界征服","丹下桜","50","魔族","5","A","かつては夜を支配した最強の吸血鬼","7","120901","??","0","5"
"美食殿","","ぺコリーヌ（オーバーロード）","156","食べ歩き、料理","M・A・O","46","ヒューマン","3","O","いつも元気な腹ペコ少女","1","121001","17","0","31"
"美食殿","","キャル（オーバーロード）","152","猫と遊ぶ","立花理香","39","獣人族","9","A","行き倒れの謎のネコミミ魔法使い","1","121101","14","0","2"
"ラビリンス","","ラビリスタ（オーバーロード）","160","人間観察","沢城みゆき","??","ヒューマン","7","AB","秘密結社ラビリンスの『迷宮女王』","3","121201","25","0","25"
"サレンディア救護院","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","クルミ（ステージ）","150","観劇、おままごと","植田佳奈","40","ヒューマン","6","B","泣き虫で臆病な守ってあげたい女の子","9","121301","12","0","9"
"ルーセント学院","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","ミサキ（ステージ）","120","ファッション誌鑑賞、コスメ集め","久野美咲","22","魔族","1","A","ちょっとおませな恋に恋する女の子","14","121401","11","0","3"
"ヴァイスフリューゲル　ランドソル支部","","アユミ（怪盗）","155","観察","大関英里","43","エルフ","4","O","どこまでも一途に慕う、純情乙女","15","121501","16","0","7"
"ドラゴンズネスト","","イノリ（怪盗）","145","ゲーム","藤田茜","???","ドラゴン族","9","AB","口が達者なヘタレドラゴン","17","121601","13","0","29"
"トワイライトキャラバン","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","アンナ（パイレーツ）","159","小説執筆","髙野麻美","45","魔族","7","A","前世を信じる中二病患者、「疾風の冥姫」","13","121901","17","0","5"
"悪魔偽王国軍（ディアボロス）","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","シノブ（パイレーツ）","157","占い","大坪由佳","42","魔族","12","AB","占いが得意な霊能少女","7","122001","18","0","22"
"フォレスティエ","","アオイ（キャンプ）","158","友達作りのイメトレ","花澤香菜","44","エルフ","6","AB","「友達」に憧れる、エルフの森の女の子","6","122101","13","0","6"
"メルクリウス財団","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","ユカリ（キャンプ）","164","ウインドーショッピング","今井麻美","55","エルフ","3","A","純情でほっとけない大人の女性","12","122201","22","0","16"
"？？？","","ヴァンピィ","149","お散歩、お料理","釘宮理恵","41","魔族","12","AB","けんぞくのご主人様","","122301","??","0","6"
"トゥインクルウィッシュ","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","ヒヨリ（サマー）","155","人助け、応援","東山奈央","44","獣人族","8","A","人助けが大好き！　前向き格闘娘","2","122401","16","0","27"
"トゥインクルウィッシュ","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","レイ（サマー）","163","読書、乗馬、お茶","早見沙織","46","魔族","1","B","クールで何事にも真っ直ぐな剣士","2","122501","18","0","12"
"トゥインクルウィッシュ","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","ユイ（サマー）","158","料理、人間観察","種田梨沙","47","ヒューマン","4","O","戦闘のサポートが得意な、心優しい少女","2","122601","17","0","5"
"リトルリリカル","","キョウカ（サマー）","118","お勉強","小倉唯","21","エルフ","2","A","礼儀正しくしっかり者のちびっ子優等生","5","122701","8","0","2"
"リトルリリカル","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","ミソギ（サマー）","128","いたずら、探検","諸星すみれ","27","ヒューマン","8","O","探検好きのイタズラっ子","5","122801","9","0","10"
"リトルリリカル","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","ミミ（サマー）","117","かわいいもの集め","日高里菜","21","獣人族","4","O","お歌もにんじんも、ウサギさんも大好き♪","5","122901","10","0","3"
"？？？","","アメス","150","？？？","相坂優歌","???","？？？","?","?","新たな姿で騎士の冒険を支え続ける妖精","","123001","??","0","?"
"自警団（カォン）","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","マホ（エクスプローラー）","155","空想、ぬいぐるみ集め","内田真礼","42","獣人族","9","O","マホマホ王国のプリンセス","10","123101","16","0","22"
"サレンディア救護院","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","アヤネ（エクスプローラー）","148","屋内でできる遊び","芹澤優","38","ヒューマン","5","B","ぷうきちといつも一緒！","9","123201","14","0","10"
"レイジ・レギオン","","ネア","157","可愛いショタと遊ぶ、買い物","和氣あず未","55","魔族？","6","B","ショタ大好き♪　ギャル系スライム娘","19","123301","19","0","13"
"王宮騎士団（NIGHTMARE）","","ジュン（キャンプ）","171","格闘技、湯浴み","川澄綾子","50","ヒューマン","10","A","素顔を見せない冷静沈着な女性騎士","8","123401","25","0","25"
"牧場（エリザベスパーク）","","リン（ハロウィン）","144","あんパン","小岩井ことり","42","獣人族","1","B","遊びと睡眠が何より大事なぐうたら娘","11","123501","17","0","1"
"王宮騎士団（NIGHTMARE）","","トモ（ハロウィン）","149","剣術、年長者をからかう","茅原実里","43","ヒューマン","8","A","義理堅くてからかい好きな剣術少女","8","123601","13","0","11"
"トワイライトキャラバン","","ナナカ（ハロウィン）","166","読書、魔法","佳村はるか","55","魔族","8","O","オタク全開な魔法少女","13","123701","18","0","21"
"王宮騎士団（NIGHTMARE）","","クリスティーナ（ワイルド）","165","強敵との闘争","たかはし智秋","??","ヒューマン","2","O","傍若無人な王宮騎士団副団長","8","123801","27","0","7"
"王宮騎士団（NIGHTMARE）","","マツリ（ワイルド）","146","ヒーローごっこ","下田麻美","40","獣人族","11","O","ヒーローに憧れる騎士見習いの少女","8","123901","12","0","25"
"悪魔偽王国軍（ディアボロス）","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","アカリ（クリスマス）","150","サックス","浅倉杏美","42","魔族","11","O","甘え上手なみんなの人気者","7","124001","13","0","22"
"悪魔偽王国軍（ディアボロス）","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","ヨリ（クリスマス）","150","ゲーム全般","原紗友里","40","魔族","11","O","人見知りであまのじゃくな女の子","7","124101","13","0","22"
"王宮騎士団（NIGHTMARE）","","ジュン（クリスマス）","171","格闘技、湯浴み","川澄綾子","50","ヒューマン","10","A","素顔を見せない冷静沈着な女性騎士","8","124201","25","0","25"
"ドラゴンズネスト","","ホマレ（ニューイヤー）","168","絵画、読書","大西沙織","???","ドラゴン族","4","O","妖しい微笑で全てを見透かす臥竜の頭領","17","124501","25","0","17"
"フォレスティエ","","ミサト（ニューイヤー）","165","絵本作り","國府田マリ子","54","エルフ","9","O","母性溢れる優しいみんなの「ミサト先生」","6","124601","21","0","5"
"トワイライトキャラバン","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","ミツキ（ニューイヤー）","166","研究、実験","三石琴乃","53","ヒューマン","3","A","実験が趣味の危険な科学者","13","124701","27","0","7"
"カルミナ","","ノゾミ（リベレイター）","157","舞台鑑賞、ダンス","日笠陽子","40","ヒューマン","1","B","歌って踊れる大人気アイドル","4","124801","17","0","24"
"ドラゴンズネスト","","カヤ（リベレイター）","156","格闘技","小市眞琴","???","ドラゴン族","6","B","拳で語る喧嘩屋ドラゴン少女","17","124901","16","0","25"
"？？？","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","ムイミ（リベレイター）","148","冒険、思い出話","潘めぐみ","40","ヒューマン","8","O","さまよえる謎の少女","","125001","16","0","11"
"メルクリウス財団","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","タマキ（カフェ）","158","猫とたわむれること","沼倉愛美","48","獣人族","3","AB","弱きを助け強きをくじく猫娘","12","125101","19","0","1"
"ヴァイスフリューゲル　ランドソル支部","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","モニカ（カフェ）","140","お菓子屋通い","辻あゆみ","33","ヒューマン","7","A","見た目も中身もお子ちゃまな異国の軍人","15","125201","17","0","28"
"美食殿","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","コッコロ（レンジャー）","140","瞑想、動植物の飼育","伊藤美来","35","エルフ","5","B","主を慕う、小さなガイド役","1","125301","11","0","11"
"牧場（エリザベスパーク）","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","シオリ（レンジャー）","153","読書、お散歩","小清水亜美","40","獣人族","11","A","読書が趣味の病弱少女","11","125401","14","0","3"
"？？？","","ジータ（ウォーロック）","156","冒険、おしゃべり","金元寿子","45","ヒューマン","3","O","空への冒険を夢見る騎空士の少女","","125501","17","0","10"
"？？？","","ビカラ","145","ネズ耳作り","種﨑敦美","39","ヒューマン","12","AB","陰陽合わせ持つ鼠神宮の巫女","","125601","14","0","4"
"？？？","","カリン（アルケミスト）","152","書類仕事、散歩、ボードゲーム","洲崎綾","43","ヒューマン","9","A","【ギルド管理協会】職員の親切なお姉さん","","125701","24","0","12"
"アルターメイデン","","リリ（フォールン）","154","華道、読書（古典）、トーゴク画","鈴木みのり","44","ヒューマン","4","A","贖罪を胸に強さを求める妹系大和撫子","20","125801","15","0","29"
"アルターメイデン","","クリア（フォールン）","147","お菓子作り、花の世話、バイオリン演奏","前田佳織里","42","ヒューマン","11","O","忘れ難い罪過を抱える、黒き翼の聖女","20","126001","13","0","1"
"アルターメイデン","","プレシア（フォールン）","135","ごはんをたべること","高尾奏音","34","獣人族","3","O","正義の魂を受け継ぐ、爆食系天然天才娘","20","126101","10","0","1"
"悪魔偽王国軍（ディアボロス）","","イリヤ（儀装束）","172","世界征服","丹下桜","50","魔族","5","A","かつては夜を支配した最強の吸血鬼","7","126201","??","0","5"
"ヴァイスフリューゲル　ランドソル支部","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","ユキ（儀装束）","150","鏡で自分を見ること","大空直美","40","エルフ","10","AB","ボクは誰よりも美しい","15","126301","14","0","10"
"？？？","","クローチェ","170","昼寝、誰かの役に立つこと","長谷川育美","全重量252","機械人族","11","?","スマイル満タン！　パワフル機械少女","","126401","??","0","11"
"？？？","","ライラエル","162","昼寝、新作スイーツの試食","河瀬茉希","??","天使族","1","?","優しさと傲慢さを併せ持つプリンセス","","126501","??","0","17"
"？？？","","ネネカ（サマー）","149","物真似、芸術鑑賞","井口裕香","??","エルフ","3","O","研究所に隠れ住む物静かなお姉さん","","126601","24","0","24"
"メルクリウス財団","この私とともにいる限り、\nお金に不自由はさせませんわ！","アキノ（サマー）","157","慈善事業","松嵜麗","45","ヒューマン","3","AB","一人前の商人を目指すパワフルお嬢様","12","126701","18","0","12"
"メルクリウス財団","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","ユカリ（サマー）","164","ウインドーショッピング","今井麻美","55","エルフ","3","A","純情でほっとけない大人の女性","12","126801","22","0","16"
"レイジ・レギオン","","ランファ（サマー）","165","歌、読書、詩を書くこと","原田彩楓","53","魔族","12","O","静寂を求め歌う陰気少女","19","126901","20","0","28"
