5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154
"6.63800904977376","33","6","","","850","","","-250","19020064","902"
"","91","0","","","","","","","19020065","902"
"","93","1","","","0","","","","19020066","902"
"","91","0","","","","","","","19020067","902"
"-750","1","1","-15","1.4875","113211","03_cmn_walk_styk_N2","0","12","19030001","903"
"750","1","1","-15","1.4875","113311","03_cmn_run_def_N","0","12","19030002","903"
"","23","se_10053800","","","se_fpc_water_random","","","1","19030003","903"
"","91","19030002","","","0","","","","19030004","903"
"3.52941176470588","2","113211","","","-150","","","-15","19030005","903"
"","93","1.5","","","0","","","","19030006","903"
"2.71493212669683","2","113311","","","150","","","-15","19030007","903"
"","91","19030005","","","","","","","19030008","903"
"","3","113211","","0.1","03_cmn_idol_def_N","","","1","19030009","903"
"","91","19030007","","","","","","","19030010","903"
"","3","113311","","0.3","03_nanaka_gufufu","","","1","19030011","903"
"","93","0.3","","","0","","","","19030012","903"
"0","21","vo_fpc","","","vo_fpc_20300","","","","19030013","903"
"1","11","113311","0","0","ぐっふっふ、\nさすがアンナたそ♪","0.5","0","10","19030014","903"
"","91","0","","","","","","","19030015","903"
"","93","0.5","","","0","","","","19030016","903"
"0","21","vo_fpc","","","vo_fpc_20301","","","","19030017","903"
"1","11","113311","0","0","ナナカちゃんセレクトの伝説のスク水を\n完璧に着こなしておりますなあ！","0.5","0","10","19030018","903"
"","91","0","","","","","","","19030019","903"
"","93","0.5","","","0","","","","19030020","903"
"","3","113211","","0.1","03_anna_shy","","","1","19030021","903"
"0","21","vo_fpc","","","vo_fpc_20302","","","","19030022","903"
"1","11","113211","0","0","なっ、これは他に持ってないから\n仕方なくだなあ…","0.5","0","10","19030023","903"
"","91","0","","","","","","","19030024","903"
"","93","0.5","","","0","","","","19030025","903"
"0","21","vo_fpc","","","vo_fpc_20303","","","","19030026","903"
"1","11","113311","0","0","だいじょぶだいじょぶ、\n似合ってるのはホントだってば！","0.5","0","10","19030027","903"
"","91","0","","","","","","","19030028","903"
"","93","0.5","","","0","","","","19030029","903"
"0","21","vo_fpc","","","vo_fpc_20304","","","","19030030","903"
"1","11","113311","0","0","それともぉ…\nこっちの水着と交換してみる？","0.5","0","10","19030031","903"
"","91","0","","","","","","","19030032","903"
"","93","0.5","","","0","","","","19030033","903"
"03_anna_pui_loop","3","113211","1","0.1","03_anna_pui_in","","","0","19030034","903"
"0","21","vo_fpc","","","vo_fpc_20305","","","","19030035","903"
"1","11","113211","0","0","それはそれで恥ずかしいじゃないか！","0.5","0","10","19030036","903"
"","91","0","","","","","","","19030037","903"
"","93","0.5","","","0","","","","19030038","903"
"0","21","vo_fpc","","","vo_fpc_20306","","","","19030039","903"
"1","11","113211","0","0","わ、我には友が選んでくれた\nこのスク水で十分だ！","0.5","0","10","19030040","903"
"","91","0","","","","","","","19030041","903"
"","93","0.5","","","0","","","","19030042","903"
"","4","113311","","0.1","1","","","1","19030043","903"
"","4","113211","","0.1","1","","","1","19030044","903"
"","3","113311","","0.1","03_cmn_run_def_N","","","1","19030045","903"
"","3","113211","","0.1","03_cmn_walk_styk_N2","","","1","19030046","903"
"2.71493212669683","2","113311","","","750","","","-15","19030047","903"
"3.52941176470588","2","113211","","","-750","","","-15","19030048","903"
"","91","0","","","","","","","19030049","903"
"-910","1","1","-180","1.75","122811","04_misogi_flutterKick_loop","0","22","19040001","904"
"-910","1","1","-125","1.75","122911","04_mimi_flutterKick_loop","0","12","19040002","904"
"-910","1","1","-180","1.75","122711","04_kyouka_flutterKick_loop","0","22","19040003","904"
"-910","1","1","-180","1.75","129311","04_yuni_flutterKick_loop","0","23","19040004","904"
"-910","5","1","-180","1.75","1","cmn_swm_flutterKick_floatBoad","0","22","19040005","904"
"-50","5","3","-180","1.75","3","empty","0","24","19040006","904"
"-180","31","1","1","1","1","","","-910","19040007","904"
"-180","31","4","1","0","11","","","-910","19040008","904"
"-125","31","7","1","1","2","","","-910","19040009","904"
"-125","31","4","1","0","21","","","-910","19040010","904"
"-180","31","1","1","1","3","","","-910","19040011","904"
"-180","31","4","1","0","31","","","-910","19040012","904"
"-180","31","1","1","1","4","","","-910","19040013","904"
"-180","31","4","1","0","41","","","-50","19040014","904"
"0","31","1006","1","0","1006","","","-180","19040015","904"
"","23","se_10053800","","","se_fpc_water_random","","","1","19040016","904"
"","91","19040015","","","0","","","","19040017","904"
"5.81447963800905","2","122811","12","","375","","","-180","19040018","904"
"5.81447963800905","33","1","12","","375","","","-180","19040019","904"
"5.81447963800905","33","11","12","","375","","","-180","19040020","904"
"","91","","","","","","","","19040021","904"
"","32","1","","","0","","","","19040022","904"
"","32","11","","","1","","","","19040023","904"
"04_misogi_float_loop","3","122811","1","0.1","04_misogi_float_in","","0.1","0","19040024","904"
"","93","0.9","","","0","","","","19040025","904"
"0","21","vo_fpc","","","vo_fpc_20400","","","","19040026","904"
"1","11","122811","0","0","わーい！　ミソギがいっちばーん！\nオニさんこっちらー！","0.5","0","10","19040027","904"
"","91","0","","","","","","","19040028","904"
"","93","0.5","","","0","","","","19040029","904"
"5.94117647058824","2","122911","12","","100","","","-125","19040030","904"
"5.94117647058824","33","2","12","","100","","","-125","19040031","904"
"5.94117647058824","33","21","12","","100","","","-125","19040032","904"
"","93","2","","","0","","","","19040033","904"
"0","21","vo_fpc","","","vo_fpc_20401","","","","19040034","904"
"1","11","122911","0","0","逃げろ逃げろ～！","0.5","0","10","19040035","904"
"","91","19040032","","","","","","","19040036","904"
"","32","2","","","0","","","","19040037","904"
"","32","21","","","1","","","","19040038","904"
"04_mimi_float_loop","3","122911","1","0.1","04_mimi_float_in","","0.1","0","19040039","904"
"5.40441176470588","2","122711","12","","-175","","","-180","19040040","904"
"5.40441176470588","33","3","12","","-175","","","-180","19040041","904"
"5.40441176470588","33","31","12","","-175","","","-180","19040042","904"
"","93","2","","","0","","","","19040043","904"
"0","21","vo_fpc","","","vo_fpc_20402","","","","19040044","904"
"1","11","122711","0","0","も～！　二人とも待ってよ～！","0","0","10","19040045","904"
"","91","19040042","","","","","","","19040046","904"
"","32","3","","","0","","","","19040047","904"
"","32","31","","","1","","","","19040048","904"
"04_kyouka_float_loop","3","122711","1","0.1","04_kyouka_float_in","","0.1","0","19040049","904"
"","93","1.2","","","0","","","","19040050","904"
"","32","1006","","","1","","","","19040051","904"
"","93","0.8","","","0","","","","19040052","904"
"","32","1","","","1","","","","19040053","904"
"","32","11","","","0","","","","19040054","904"
"","32","2","","","1","","","","19040055","904"
"","32","21","","","0","","","","19040056","904"
"","32","3","","","1","","","","19040057","904"
"","32","31","","","0","","","","19040058","904"
"04_misogi_flutterKick_loop","3","122811","1","0.1","04_misogi_flutterKick_in","","0.1","0","19040059","904"
"2.82805429864253","2","122811","","","1000","","","-180","19040060","904"
"2.82805429864253","33","1","","","1000","","","-180","19040061","904"
"","93","0.1","","","0","","","","19040062","904"
"04_mimi_flutterKick_loop","3","122911","1","0.1","04_mimi_flutterKick_in","","0.1","0","19040063","904"
"4.07239819004525","2","122911","","","1000","","","-125","19040064","904"
"4.07239819004525","33","2","","","1000","","","-125","19040065","904"
"","93","0.1","","","0","","","","19040066","904"
"04_kyouka_flutterKick_loop","3","122711","1","0.1","04_kyouka_flutterKick_in","","0.1","0","19040067","904"
"5.31674208144796","2","122711","","","1000","","","-180","19040068","904"
"5.31674208144796","33","3","","","1000","","","-180","19040069","904"
"","93","0.1","","","0","","","","19040070","904"
"5.05882352941176","2","129311","","","-50","","","-180","19040071","904"
"5.05882352941176","33","4","","","-50","","","-180","19040072","904"
"5.05882352941176","2","1","","","-50","","","-180","19040073","904"
"","93","2","","","0","","","","19040074","904"
"0","21","vo_fpc","","","vo_fpc_20403","","","","19040075","904"
"1","11","129311","0","0","わーい♪","0.5","0","10","19040076","904"
"","93","2.75882352941176","","","0","","","","19040077","904"
"04_yuni_flutterKick_pause_loop","3","3","1","0.1","04_yuni_flutterKick_pause_in","","0.1","0","19040078","904"
"04_yuni_flutterKick_pause_loop","3","129311","1","0.1","04_yuni_flutterKick_pause_in","","0.1","0","19040079","904"
"04_yuni_flutterKick_pause_loop","3","1","1","0.1","04_yuni_flutterKick_pause_in","","0.1","0","19040080","904"
"","93","0.3","","","0","","","","19040081","904"
"0","21","vo_fpc","","","vo_fpc_20404","","","","19040082","904"
"","32","4","","","0","","","","19040083","904"
"","32","41","","","1","","","","19040084","904"
"","93","5","","","0","","","","19040085","904"
"","3","3","","0.1","empty","","","0","19040086","904"
"04_yuni_flutterKick_loop","3","129311","1","0.2","04_yuni_flutterKick_in","","0.1","0","19040087","904"
"cmn_swm_flutterKick_floatBoad","3","1","1","0.2","04_yuni_flutterKick_in","","0.1","0","19040088","904"
"","32","4","","","1","","","","19040089","904"
"","32","41","","","0","","","","19040090","904"
"6.17647058823529","2","129311","","","1000","","","-180","19040091","904"
"6.17647058823529","2","1","","","1000","","","-180","19040092","904"
"6.17647058823529","33","4","","","1000","","","-180","19040093","904"
"","93","0.3","","","0","","","","19040094","904"
"0","21","vo_fpc","","","vo_fpc_20405","","","","19040095","904"
"1","11","129311","0","0","わーいわーい♪","0.5","0","10","19040096","904"
"","91","19040091","","","","","","","19040097","904"
"-910","1","1","-125","1.75","117111","cmn_swm_flutterKick","0","12","19050001","905"
"-910","1","1","-180","1.75","117011","cmn_swm_flutterKick","0","22","19050002","905"
"750","1","1","-15","1.4875","107611","cmn_walk_r","0","12","19050003","905"
"-125","31","7","1","1","1","","","-910","19050004","905"
"-125","31","4","1","0","11","","","-910","19050005","905"
"-180","31","1","1","1","2","","","-910","19050006","905"
"-180","31","4","1","0","21","","","-910","19050007","905"
"","23","se_10053800","","","se_fpc_water_random","","","1","19050008","905"
"","91","19050007","","","0","","","","19050009","905"
"5.35294117647059","2","117111","12","","0","","","-125","19050010","905"
"5.35294117647059","33","1","12","","0","","","-125","19050011","905"
"5.35294117647059","33","11","12","","0","","","-125","19050012","905"
"","91","","","","","","","","19050013","905"
"","32","1","","","0","","","","19050014","905"
"","32","11","","","1","","","","19050015","905"
"05_shizuru_search_loop","3","117111","1","0.1","05_shizuru_search_in","","0.1","0","19050016","905"
"","93","1","","","0","","","","19050017","905"
"0","21","vo_fpc","","","vo_fpc_20500","","","","19050018","905"
"1","11","117111","0","0","うーん…おかしいなあ…\nここらへんで弟くんの「気」を\n感じたんだけど…","0.5","0","10","19050019","905"
"","93","1.81764705882353","","","1","","","","19050020","905"
"3.88235294117647","2","117011","12","","-250","","","-180","19050021","905"
"3.88235294117647","33","2","12","","-250","","","-180","19050022","905"
"3.88235294117647","33","21","12","","-250","","","-180","19050023","905"
"","93","2.38235294117647","","","0","","","","19050024","905"
"","93","1.5","","","0","","","","19050025","905"
"","91","19050019","","","","","","","19050026","905"
"","91","19050021","","","","","","","19050027","905"
"05_eriko_talk_loop","3","117011","1","0.1","05_eriko_talk_in","","0.1","0","19050028","905"
"","32","2","","","0","","","","19050029","905"
"","32","21","","","1","","","","19050030","905"
"0","21","vo_fpc","","","vo_fpc_20501","","","","19050031","905"
"1","11","117011","0","0","あのおかたのオーラの残滓…\n確かにこのあたりなのですが…","0.5","0","10","19050032","905"
"","93","2.15294117647059","","","1","","","","19050033","905"
"2.64705882352941","2","107611","0","","300","","","-15","19050034","905"
"","93","1.14705882352941","","","0","","","","19050035","905"
"","93","1.5","","","0","","","","19050036","905"
"","91","19050032","","","","","","","19050037","905"
"","91","19050034","","","","","","","19050038","905"
"","3","107611","","0.2","05_kokkoro_talk","","","1","19050039","905"
"0","21","vo_fpc","","","vo_fpc_20502","","","","19050040","905"
"1","11","107611","0","0","シズルさまにエリコさま、\nどうかされたのですか？","0.5","0","10","19050041","905"
"","91","0","","","","","","","19050042","905"
"","93","0.5","","","0","","","","19050043","905"
"05_shizuru_greet_loop","3","117111","1","0.1","05_shizuru_greet_in","","0.1","0","19050044","905"
"0","21","vo_fpc","","","vo_fpc_20503","","","","19050045","905"
"1","11","117111","0","0","あ、コッコロちゃん♪\nそっかー、コッコロちゃんに残った\n弟くんの「気」を感じちゃったんだね♪","0.5","0","10","19050046","905"
"","91","0","","","","","","","19050047","905"
"","93","0.5","","","0","","","","19050048","905"
"05_eriko_pressure_loop","3","117011","1","0.1","05_eriko_pressure_in","","0.1","0","19050049","905"
"0","21","vo_fpc","","","vo_fpc_20504","","","","19050050","905"
"1","11","117011","0","0","なんですか、その気持ちの悪い根拠は。\nそれよりも、あの方はどこにおられるのか\n知っているのでしょう？\n隠し立ては許しませんよ。","0.5","0","10","19050051","905"
"","91","0","","","","","","","19050052","905"
"","93","0.5","","","0","","","","19050053","905"
"","3","107611","","0.3","05_kokkoro_talk2","","","1","19050054","905"
"0","21","vo_fpc","","","vo_fpc_20505","","","","19050055","905"
"1","11","107611","0","0","隠し立てなど、そんな。","0.5","0","10","19050056","905"
"","91","0","","","","","","","19050057","905"
"","93","0.5","","","0","","","","19050058","905"
"05_kokkoro_point_loop","3","107611","1","0.1","05_kokkoro_point_in","","0.1","0","19050059","905"
"0","21","vo_fpc","","","vo_fpc_20506","","","","19050060","905"
"1","11","107611","0","0","主さまは先ほどあちらの方に\n流れていかれましたが…","0.5","0","10","19050061","905"
"","91","0","","","","","","","19050062","905"
"","93","0.5","","","0","","","","19050063","905"
"05_shizuru_smile_loop","3","117111","1","0.1","05_shizuru_smile_in","","0.1","0","19050064","905"
"0","21","vo_fpc","","","vo_fpc_20507","","","","19050065","905"
"1","11","117111","0","0","あっちね！\nよーし、お姉ちゃんが\n今すぐ助けにいくからね！","0.5","0","10","19050066","905"
"","91","0","","","","","","","19050067","905"
"","93","0.5","","","0","","","","19050068","905"
"05_eriko_sad_loop","3","117011","1","0.1","05_eriko_sad_in","","0.1","0","19050069","905"
"0","21","vo_fpc","","","vo_fpc_20508","","","","19050070","905"
"1","11","117011","0","0","ああ、なんということ…\n私が今お助けに向かいます！","0.5","0","10","19050071","905"
"","91","0","","","","","","","19050072","905"
"","93","0.5","","","0","","","","19050073","905"
"05_shizuru_flutterKick_loop","3","117111","1","0.1","05_shizuru_flutterKick_in","","0.1","0","19050074","905"
"2.66169816342827","2","117111","","","1000","","","-125","19050075","905"
"2.66169816342827","33","1","","","1000","","","-125","19050076","905"
"","32","1","","","1","","","","19050077","905"
"","32","11","","","0","","","","19050078","905"
"","93","0.1","","","0","","","","19050079","905"
"05_eriko_flutterKick_loop","3","117011","1","0.1","05_eriko_flutterKick_in","","0.1","0","19050080","905"
"3.14228255404726","2","117011","","","1000","","","-180","19050081","905"
"3.14228255404726","33","2","","","1000","","","-180","19050082","905"
"","32","2","","","1","","","","19050083","905"
"","32","21","","","0","","","","19050084","905"
"","91","19050081","","","","","","","19050085","905"
"05_kokkoro_talk3_loop","3","107611","1","0.1","05_kokkoro_talk3_in","","0.1","0","19050086","905"
"0","21","vo_fpc","","","vo_fpc_20509","","","","19050087","905"
"1","11","107611","0","0","行ってしまわれました…","0.5","0","10","19050088","905"
"","91","0","","","","","","","19050089","905"
"","93","0.5","","","0","","","","19050090","905"
"0","21","vo_fpc","","","vo_fpc_20510","","","","19050091","905"
"1","11","107611","0","0","あのお二人が揃われると\n何が起こるか心配ですね…","0.5","0","10","19050092","905"
"","91","0","","","","","","","19050093","905"
"","93","0.5","","","0","","","","19050094","905"
"0","21","vo_fpc","","","vo_fpc_20511","","","","19050095","905"
"1","11","107611","0","0","主さまの前で暴走されぬよう\nわたくしが見張っておかねば…！","0.5","0","10","19050096","905"
"","91","0","","","","","","","19050097","905"
"","93","0.5","","","0","","","","19050098","905"
"1.65912518853695","2","107611","0","","850","","","-15","19050099","905"
"","3","107611","","0.2","05_kokkoro_run","","","1","19050100","905"
"0","21","vo_fpc","","","vo_fpc_20512","","","","19050101","905"
"1","11","107611","0","0","主さまー！","0.5","0","10","19050102","905"
"","91","0","","","","","","","19050103","905"
"","93","0.5","","","0","","","","19050104","905"
"","91","19050099","","","","","","","19050105","905"
"-850","1","1","-180","1.75","126911","cmn_float","0","22","19060001","906"
"-850","1","1","-125","1.75","117311","cmn_float","0","12","19060002","906"
"-180","31","6","1","1","11","","","-850","19060003","906"
"-180","31","1007","1","0","10071","","","-850","19060004","906"
"-125","31","6","1","1","21","","","-850","19060005","906"
"-125","31","1007","1","0","10072","","","-850","19060006","906"
"-125","31","1008","1","0","10081","","","-850","19060007","906"
"","23","se_10053800","","","se_fpc_water_random","","","1","19060008","906"
"","91","19060007","","","0","","","","19060009","906"
"6.25","2","126911","12","","0","","","-180","19060010","906"
"6.25","33","11","12","","0","","","-180","19060011","906"
"6.25","33","10071","12","","0","","","-180","19060012","906"
"","93","3","","","0","","","","19060013","906"
"0","21","vo_fpc","","","vo_fpc_20600","","","","19060014","906"
"","3","126911","","0.2","06_cmn_float_sing","","","1","19060015","906"
"","32","10071","","","1","","","","19060016","906"
"","91","19060010","","","","","","","19060017","906"
"","3","126911","","0.2","cmn_float","","","1","19060018","906"
"0","21","vo_fpc","","","vo_fpc_20601","","","","19060019","906"
"1","11","126911","0","0","たまには、こういう所も\n悪くないかも…","0.5","0","10","19060020","906"
"","91","0","","","","","","","19060021","906"
"","93","0.5","","","0","","","","19060022","906"
"5.14705882352941","2","117311","12","","-150","","","-125","19060023","906"
"5.14705882352941","33","21","12","","-150","","","-125","19060024","906"
"5.14705882352941","33","10072","12","","-150","","","-125","19060025","906"
"5.14705882352941","33","10081","12","","-150","","","-125","19060026","906"
"5.14705882352941","2","126911","12","","150","","","-180","19060027","906"
"5.14705882352941","33","11","12","","150","","","-180","19060028","906"
"5.14705882352941","33","10071","12","","150","","","-180","19060029","906"
"","93","2.5","","","0","","","","19060030","906"
"0","21","vo_fpc","","","vo_fpc_20602","","","","19060031","906"
"","3","126911","","0.2","06_cmn_float_sing","","","1","19060032","906"
"","3","117311","","0.2","06_cmn_float_sing","","","1","19060033","906"
"","32","10071","","","0","","","","19060034","906"
"","32","10071","","","1","","","","19060035","906"
"","32","10072","","","1","","","","19060036","906"
"","91","19060029","","","","","","","19060037","906"
"","4","126911","","","1","","","","19060038","906"
"0","33","11","","","180","","","-180","19060039","906"
"06_ranpha_float_shy","3","126911","1","0.1","06_ranpha_float_notice","","0.1","0","19060040","906"
"","3","117311","","","cmn_float","","0.1","1","19060041","906"
"0","21","vo_fpc","","","vo_fpc_20603","","","","19060042","906"
"1","11","126911","0","0","あっ…","0.5","0","10","19060043","906"
"","91","0","","","","","","","19060044","906"
"","93","0.5","","","0","","","","19060045","906"
"06_chika_float_notice","3","117311","1","0.1","06_chika_float_notice_in","","0.1","0","19060046","906"
"0","21","vo_fpc","","","vo_fpc_20604","","","","19060047","906"
"1","11","117311","0","0","ごめんなさい、素敵な歌だったから\nつい合わせてしまって…\nお邪魔でしたよね。","0.5","0","10","19060048","906"
"","91","0","","","","","","","19060049","906"
"","93","0.5","","","0","","","","19060050","906"
"0","21","vo_fpc","","","vo_fpc_20605","","","","19060051","906"
"1","11","126911","0","0","ううん…\nそっちも、とても素敵な歌…\nだから、よければもう少し、\nこのまま…","0.5","0","10","19060052","906"
"","91","0","","","","","","","19060053","906"
"","93","0.5","","","0","","","","19060054","906"
"","3","117311","","0.2","06_chika_float_smile","","","1","19060055","906"
"0","21","vo_fpc","","","vo_fpc_20606","","","","19060056","906"
"1","11","117311","0","0","はい。","0.5","0","10","19060057","906"
"","91","0","","","","","","","19060058","906"
"","93","0.5","","","0","","","","19060059","906"
"0","21","vo_fpc","","","vo_fpc_20607","","","","19060060","906"
"","3","126911","","0.2","06_cmn_float_sing","","","1","19060061","906"
"","3","117311","","0.2","06_cmn_float_sing","","","1","19060062","906"
"","32","10071","","","0","","","","19060063","906"
"","32","10071","","","1","","","","19060064","906"
"","32","10081","","","1","","","","19060065","906"
"","93","2","","","0","","","","19060066","906"
"4.11764705882353","2","126911","","","850","","","-180","19060067","906"
"4.11764705882353","33","11","","","880","","","-180","19060068","906"
"4.11764705882353","33","10071","","","880","","","-180","19060069","906"
"5.88235294117647","2","117311","","","850","","","-125","19060070","906"
"5.88235294117647","33","21","","","850","","","-125","19060071","906"
"5.88235294117647","33","10081","","","850","","","-125","19060072","906"
"","93","1.5","","","0","","","","19060073","906"
"","32","10071","","","0","","","","19060074","906"
"","32","10071","","","1","","","","19060075","906"
"","32","10081","","","0","","","","19060076","906"
"","32","10081","","","1","","","","19060077","906"
"","91","19060070","","","","","","","19060078","906"
"-850","1","1","-125","1.75","127111","07_shinobu_search","0","12","19070001","907"
"-850","1","1","-180","1.75","113111","07_ruka_float","0","22","19070002","907"
"-850","5","4","-180","1.75","4","07_dokuro_float","0","22","19070003","907"
"-125","31","5","1","1","11","","","-850","19070004","907"
"-180","31","4","1","1","21","","","-850","19070005","907"
"-180","31","4","1","1","31","","","-850","19070006","907"
"","23","se_10053800","","","se_fpc_water_random","","","1","19070007","907"
"","91","19070006","","","0","","","","19070008","907"
"","3","127111","","0.1","07_shinobu_search","","","1","19070009","907"
"8.38806396344946","2","127111","12","","325","","","-125","19070010","907"
"8.38806396344946","33","11","12","","325","","","-125","19070011","907"
"","91","","","","","","","","19070012","907"
"07_shinobu_talk_loop","3","127111","1","0.1","07_shinobu_talk_in","","0.1","0","19070013","907"
"","93","1","","","0","","","","19070014","907"
"0","21","vo_fpc","","","vo_fpc_20700","","","","19070015","907"
"1","11","127111","0","0","お父さん、どこに行ったのかしら？\nまた何か事件を起こしてないといいけど…","0.5","0","10","19070016","907"
"","91","0","","","","","","","19070017","907"
"","93","0.5","","","0","","","","19070018","907"
"4.11764705882353","2","113111","12","","-150","","","-180","19070019","907"
"4.11764705882353","33","21","12","","-150","","","-180","19070020","907"
"","91","","","","","","","","19070021","907"
"","3","113111","","0.1","07_ruka_float2","","","1","19070022","907"
"0","21","vo_fpc","","","vo_fpc_20701","","","","19070023","907"
"1","11","113111","0","0","くっ、まさかこんな場所でしゃれこうべに\nでくわすなんてね…","0.5","0","10","19070024","907"
"","91","0","","","","","","","19070025","907"
"","93","0.5","","","0","","","","19070026","907"
"0","21","vo_fpc","","","vo_fpc_20702","","","","19070027","907"
"1","11","113111","0","0","アイツの前で取り乱して、\nつい蹴っ飛ばしちまったが…","0.5","0","10","19070028","907"
"","91","0","","","","","","","19070029","907"
"","93","0.5","","","0","","","","19070030","907"
"0","21","vo_fpc","","","vo_fpc_20703","","","","19070031","907"
"1","11","113111","0","0","あれから見当たらないってことは\nちゃんと成仏してりゃいいけども…","0.5","0","10","19070032","907"
"","91","0","","","","","","","19070033","907"
"","93","0.5","","","0","","","","19070034","907"
"","3","113111","","0.1","07_ruka_float","","","1","19070035","907"
"0","21","vo_fpc","","","vo_fpc_20704","","","","19070036","907"
"1","11","113111","0","0","『一緒に』とか『逝こう』とか言ってたし\n何か現世に恨みでもあったのかねえ？","0.5","0","10","19070037","907"
"","91","0","","","","","","","19070038","907"
"","93","0.5","","","0","","","","19070039","907"
"4.52488687782805","2","113111","","","850","","","-180","19070040","907"
"4.52488687782805","33","21","","","850","","","-180","19070041","907"
"","4","113111","","","1","","","","19070042","907"
"","3","113111","","0.1","07_ruka_float","","","1","19070043","907"
"","93","3.2","","","0","","","","19070044","907"
"07_shinobu_turnFace_loop","3","127111","1","0.1","07_shinobu_turnFace_in","","0.1","0","19070045","907"
"","91","19070040","","","","","","","19070046","907"
"3.82352941176471","2","4","","","-200","","","-180","19070047","907"
"3.82352941176471","33","31","","","-200","","","-180","19070048","907"
"","91","19070047","","","","","","","19070049","907"
"07_shinobu_surprise_loop","3","127111","1","0.1","07_shinobu_surprise_in","","0.1","0","19070050","907"
"0","21","vo_fpc","","","vo_fpc_20705","","","","19070051","907"
"1","11","4","0","0","うう…おね…","0.5","120","10","19070052","907"
"","91","0","","","","","","","19070053","907"
"","93","0.5","","","0","","","","19070054","907"
"","3","4","","0.2","07_dokuro_spin","","","1","19070055","907"
"0","21","vo_fpc","","","vo_fpc_20706","","","","19070056","907"
"1","11","4","0","0","おねーちゃん、いっしょに\nウォータースライダーいかなーい？\nぐへへへ…","0.5","120","10","19070057","907"
"","91","0","","","","","","","19070058","907"
"","93","0.5","","","0","","","","19070059","907"
"07_shinobu_sad_loop","3","127111","1","0.1","07_shinobu_sad_in","","0.1","0","19070060","907"
"0","21","vo_fpc","","","vo_fpc_20707","","","","19070061","907"
"1","11","127111","0","0","やっぱり自業自得のようですね…\n放っておきましょう。","0.5","0","10","19070062","907"
"","91","0","","","","","","","19070063","907"
"","93","0.5","","","0","","","","19070064","907"
"07_shinobu_swim_loop","3","127111","1","0.1","07_shinobu_swim_in","","0.1","0","19070065","907"
"","32","11","","","1","","","","19070066","907"
"3.08823529411765","2","127111","","","850","","","-125","19070067","907"
"3.08823529411765","33","11","","","850","","","-125","19070068","907"
"","3","4","","0.3","07_dokuro_float","","","1","19070069","907"
"6.17647058823529","2","4","","","850","","","-180","19070070","907"
"6.17647058823529","33","31","","","850","","","-180","19070071","907"
"","91","19070070","","","","","","","19070072","907"
"750","1","1","-15","1.4875","107811","cmn_walk_r","0","12","19080001","908"
"-900","1","1","-180","1.75","126911","cmn_swm_tread","0","23","19080002","908"
"-900","5","5","-180","1.75","5","08_penpokorin","0","22","19080003","908"
"-180","31","1007","1","0","10071","","","-850","19080004","908"
"-180","31","3","1","1","3","","","-900","19080005","908"
"","23","se_10053800","","","se_fpc_water_random","","","1","19080006","908"
"","91","19080005","","","","","","","19080007","908"
"5.88235294117647","2","126911","12","","-100","","","-180","19080008","908"
"5.88235294117647","2","5","12","","-100","","","-180","19080009","908"
"5.88235294117647","33","3","12","","-100","","","-180","19080010","908"
"5.88235294117647","33","10071","12","","-50","","","-180","19080011","908"
"","93","2.3","","","0","","","","19080012","908"
"0","21","vo_fpc","","","vo_fpc_20800","","","","19080013","908"
"","32","10071","","","1","","","","19080014","908"
"3.30882352941176","2","107811","12","","300","","","-15","19080015","908"
"","91","19080015","","","","","","","19080016","908"
"08_kyaru_surprise_loop","3","107811","1","0.1","08_kyaru_surprise_in","","0.1","0","19080017","908"
"0","21","vo_fpc","","","vo_fpc_20801","","","","19080018","908"
"1","11","107811","0","0","うわっ、あんたそれ…\nミソラの連れてた変な物体じゃない！","0.5","0","10","19080019","908"
"","91","0","","","","","","","19080020","908"
"","93","0.5","","","0","","","","19080021","908"
"0","21","vo_fpc","","","vo_fpc_20802","","","","19080022","908"
"1","11","107811","0","0","なに持ち込んでんのよ！","0.5","0","10","19080023","908"
"","91","0","","","","","","","19080024","908"
"","93","0.5","","","0","","","","19080025","908"
"","3","126911","","0.1","08_ranfa_talk","","","1","19080026","908"
"","3","5","","0.1","08_penpokorin","","","1","19080027","908"
"0","21","vo_fpc","","","vo_fpc_20803","","","","19080028","908"
"1","11","126911","0","0","水に浮くから、浮輪や\nビーチボールのかわりに、って…\n貸してくれたの。","0.5","0","10","19080029","908"
"","91","0","","","","","","","19080030","908"
"","93","0.5","","","0","","","","19080031","908"
