f1b6113ec8e1884822ee263d2141e27a4e2c1d7d67544206267173eaa4a52b78,9262dab1d242b77c0bb521296c49a93eae6484c2db178ef02425e16bdd9068c1,613e80d3ac1594d8ebf6b369a41e212d97883bf5aad162bc07a0caa89166813d,5ed8bda333095b070a3bd4b6d75e6f2a56c7d343a7da38f9a2cfebac30cb0e29,24c41d8e711a1be29c4de191b681144c041463668180db0b02f7ba0d35157133,a4c8efc23d78af439f0a36d7be6666add5937022511e835dba73ee96939bab95,c4497443db1a583440586854af1a666c9587149ea7f0594462534a931a07f584,b5cc47e85d756884b2db742555de0a0043a6ae538f8ebb2e442b73ba8d2d5c6d,30fb32f88599d84e7cb0a7a2f81d6a7da771fac7cff97518272c1bf42181ffc0,38bdea97b52440d3ee1b36307ca7119757e57bd937d842635d7ca1925ea5eb0f,dc0da98eaebbb8d4ba3dbff3363c2a8490012a3d4822edec2c307cd88febaa90,cc53ae3da0f80fbc0ee3f0656fb3926272d34b6f092e3790be8fe7197eeded9d,a223033c8f96a32a793c593f10d8f9c2da7fc6fd27cd64c2686c3d192984db6f
"断崖を超え　山麓を進み","154","-1","20","","","2020-11-21 15:00:00","","","154","1000","","だんがいをこえさんろくをすすみ"
"デビュタント・シャングリ・ラ　聖夜のラブゲーム","155","-1","20","","","2020-12-21 15:00:00","","","155","1000","","でびゅたんとしゃんぐりらせいやのらぶげーむ"
"ドミネイテッドスノーマン","156","-1","20","","","2020-12-21 15:00:00","","","156","1000","","どみねいてっどすのーまん"
"Holy Passion Roses","157","-1","20","","","2020-12-21 15:00:00","A2002026608/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-20/1554428411?app=itunes","157","1500","","ほーりーぱっしょんろーぜず"
"新春グルメプリンセス！　一投にかけた乙女たち","158","-1","20","","","2021-01-22 15:00:00","","","158","1000","","しんしゅんぐるめぷりんせすいっとうにかけたおとめたち"
"グレートトゥンヌス","159","-1","20","","","2021-01-22 15:00:00","","","159","1000","","ぐれーととぅんぬす"
"Brand New Sunrise","160","-1","20","","","2021-01-22 15:00:00","A2002026608/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-20/1554428411?app=itunes","160","1500","","ぶらんにゅーさんらいず"
"かけがえのない日常","161","-1","20","","","2021-02-15 15:00:00","","","161","1000","","かけがえのないにちじょう"
"離別と決意","162","-1","20","","","2021-02-15 15:00:00","","","162","1000","","りべつとけつい"
"黒風の精霊","163","-1","20","","","2021-02-15 15:00:00","","","163","1000","","くろかぜのせいれい"
"心想い ～ココロオモイ～","164","-1","20","","","2021-02-15 15:00:00","A2001452543/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-lost-princess-%E3%82%88%E3%81%86%E3%81%93%E3%81%9D%E7%BE%8E%E9%A3%9F%E6%AE%BF%E3%81%B8/1458052782?app=itunes","164","1500","","こころおもい"
"シンデレラレッスン　華やかなる日々はリンゴの味","165","-1","20","","","2021-03-16 15:00:00","","","165","1000","","しんでれられっすんはなやかなるひびはりんごのあじ"
"魔物の姫","166","-1","20","","","2021-03-16 15:00:00","","","166","1000","","まもののひめ"
"恋キラリマジック☆彡","167","-1","18","","","2021-03-16 15:00:00","A2002166099/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-21/1566820975?app=itunes","167","1500","","こいきらりまじっく"
"鋼の聖女と聖なる学舎の異端児","168","-1","20","","","2021-04-15 15:00:00","","","168","1000","","はがねのまりあとせいなるがくしゃのりせえんぬ"
"名もなき芸術","169","-1","20","","","2021-04-15 15:00:00","","","169","1000","","なもなきげいじゅつ"
"無敵ドリーミング","170","-1","20","","","2021-04-15 15:00:00","A2002166099/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-21/1566820975?app=itunes","170","1500","","むてきどりーみんぐ"
"イノリＳＯＳ！！　タイムトラベル・ドラゴンズ","171","-1","20","","","2021-05-15 15:00:00","","","171","1000","","いのりえすおーえすたいむとらべるどらごんず"
"バースト・タイムラーベ","172","-1","20","","","2021-05-15 15:00:00","","","172","1000","","ばーすとたいむらーべ"
"Seize The Day！","173","-1","20","","","2021-05-15 15:00:00","A2002315260/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-22/1577510950?app=itunes","173","1500","","しーずざでい"
"以心電心！アオイ トイ フレンズ","174","-1","20","","","2021-06-16 15:00:00","","","174","1000","","いしんでんしんあおいといふれんず"
"究極玩具王 メガトイキング","175","-1","20","","","2021-06-16 15:00:00","","","175","1000","","きゅうきょくがんぐおうめがといきんぐ"
"ぼっちのためのトモダチ行進曲","176","-1","20","","","2021-06-16 15:00:00","A2002315260/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-22/1577510950?app=itunes","176","1500","","ぼっちのためのともだちまーち"
"砂塵舞う中で","177","-1","20","","","2021-06-16 15:00:00","","","177","1000","","さじんまうなかで"
"エンドレスサマープロデュース　真夏のふたり占めパラダイス","178","-1","20","","","2021-07-15 15:00:00","","","178","1000","","えんどれすさまーぷろでゅーすまなつのふたりじめぱらだいす"
"夏休みの宿題","179","-1","20","","","2021-07-15 15:00:00","","","179","1000","","なつやすみのしゅくだい"
"Only Only You","180","-1","20","","","2021-07-15 15:00:00","A2002426296/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-23/1587651257?app=itunes","180","1500","","おんりーおんりーおんりーゆー"
"カルミナサマーライブ　ジャスト ア モーメント！","181","-1","20","","","2021-08-15 15:00:00","","","181","1000","","かるみなさまーらいぶじゃすとあもーめんと"
"クイーンウタクラゲ","182","-1","20","","","2021-08-15 15:00:00","","","182","1000","","くいーんうたくらげ"
"ジャストアモーメント！","183","-1","20","","","2021-08-15 15:00:00","A2002426296/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-23/1587651257?app=itunes","183","1500","","じゃすとあもーめんと"
"Shining Future （Battle Arrange Ver.）","184","-1","20","","","2021-08-15 15:00:00","","","184","1500","","しゃいにんぐふゅーちゃーばとるあれんじばーじょん"
"イリーガルオーエドカルテ　Dr.ミツキの診察室","185","-1","20","","","2021-09-15 15:00:00","","","185","1000","","いりーがるおーえどかるてどくたーみつきのしんさつしつ"
"ドクターギグル","186","-1","20","","","2021-09-15 15:00:00","","","186","1000","","どくたーぎぐる"
"Narcistration♡","187","-1","20","","","2021-09-15 15:00:00","A2002546851/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-24/1596344696?app=itunes","187","1500","","なるしすとれいしょん"
"レギオンウォー","188","2109007","20","","","2021-09-15 15:00:00","","","188","1000","","れぎおんうぉー"
"VSレイジレギオン　アゾールドとの戦い","189","2109007","20","","","2021-09-15 15:00:00","","","189","1000","","ぶいえすれいじれぎおんあぞーるどとのたたかい"
"VSレイジレギオン　カリザとの戦い","190","2109007","20","","","2021-09-15 15:00:00","","","190","1000","","ぶいえすれいじれぎおんかりざとのたたかい"
"VSレイジレギオン　ゼーンとの戦い","191","2109007","20","","","2021-09-15 15:00:00","","","191","1000","","ぶいえすれいじれぎおんぜーんとのたたかい"
"VSレイジレギオン　ミソラとの戦い","192","2109007","20","","","2021-09-15 15:00:00","","","192","1000","","ぶいえすれいじれぎおんみそらとのたたかい"
"VSレイジレギオン　ランファとの戦い","193","2109007","20","","","2021-09-15 15:00:00","","","193","1000","","ぶいえすれいじれぎおんらんふぁとのたたかい"
"ハロウィンセイバーズ・スクランブル！　もふもふ捕獲大作戦","194","-1","20","","","2021-10-15 15:00:00","","","194","1000","","はろうぃんせいばーずすくらんぶるもふもふほかくだいさくせん"
"哀暴のわたあめちゃん","195","-1","20","","","2021-10-15 15:00:00","","","195","1000","","あいぼうのわたあめちゃん"
"Halloween Monster Jam ！！！","196","-1","20","","","2021-10-15 15:00:00","A2002546851/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-24/1596344696?app=itunes","196","1500","","はろうぃんもんすたーじゃむ"
"魔法少女外伝　マジカル★ノワールズ！","197","-1","20","","","2021-11-15 15:00:00","","","197","1000","","まほうしょうじょがいでんまじかるのわーるず"
"アンチビースト・トリニティ","198","-1","20","","","2021-11-15 15:00:00","","","198","1000","","あんちびーすととりにてぃ"
"GREEDY LOVE","199","-1","20","","","2021-11-15 15:00:00","A2002645259/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-25/1605736665?app=itunes","199","1500","","ぐりーでぃらぶ"
"メリープリンクリスマス！　空舞う少女とまごころのお菓子","200","-1","20","","","2021-12-15 15:00:00","","","200","1000","","めりーぷりんくりすますそらまうしょうじょとまごころのおかし"
"ひとりぼっちの聖夜の妖精","201","-1","20","","","2021-12-15 15:00:00","","","201","1000","","ひとりぼっちのせいやのようせい"
"ミヤコ's キッチン　究極への道","202","-1","20","","","2021-12-15 15:00:00","","","202","1000","","みやこずきっちんきゅうきょくへのみち"
"ぷりん・あ・ら・くりすますなの！","203","-1","20","","","2021-12-15 15:00:00","A2002645259/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-25/1605736665?app=itunes","203","1500","","ぷりんあらくりすますなの"
"新春美食メモリーズ　シェフィのおつかい大作戦！","204","-1","20","","","2022-01-15 15:00:00","","","204","1000","","しんしゅんびしょくめもりーずしぇふぃのおつかいだいさくせん"
"邪牛神モーモン","205","-1","20","","","2022-01-15 15:00:00","","","205","1000","","じゃぎゅうしんもーもん"
"Ice Wings","206","-1","20","","","2022-01-15 15:00:00","A2002744778/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-26-ep/1614378087?app=itunes","206","1500","","あいすういんぐす"
"手がかりを探して","207","-1","20","","","2022-02-15 15:00:00","","","207","1000","","てがかりをさがして"
"みんなが過ごす世界へ","208","-1","20","","","2022-02-15 15:00:00","","","208","1000","","みんながすごすせかいへ"
"オーバーロードフォース","209","-1","20","","","2022-02-15 15:00:00","","","209","1000","","おーばーろーどふぉーす"
"Asymmetric World","210","-1","20","","","2022-02-15 15:00:00","A2002744778/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-26-ep/1614378087?app=itunes","210","1500","","あしんめとっりくわーるど"
"みんなの想い","211","-1","20","","","2022-02-15 15:00:00","","","211","1000","","みんなのおもい"
"スイート・タイニー・ステージ！　駆け出し女優とリトルレディ","212","-1","20","","","2022-03-15 15:00:00","","","212","1000","","すいーとたいにーすてーじかけだしじょゆうとりとるれでぃ"
"讐鼠・怒髪天のチュウジ","213","-1","20","","","2022-03-15 15:00:00","","","213","1000","","あだねずみどはつてんのちゅうじ"
"Happy Anniv. スペシャル ランドソルクイズコネクト！","214","-1","20","","","2022-03-15 15:00:00","","","214","1000","","はっぴーあにばーさりーすぺしゃるらんどそるくいずこねくと"
"シンキングタイム！","215","-1","20","","","2022-03-15 15:00:00","","","215","1000","","しんきんぐたいむ"
"ミュージカルが聴こえる？","216","-1","20","","","2022-03-15 15:00:00","A2002850421/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-27-ep/1625225992?app=itunes","216","1500","","みゅーじかるがきこえる"
"Crossing Truth","217","2109012","20","","","2022-03-15 15:00:00","A2002696929/","https://music.apple.com/jp/album/princess-connect-re-dive-character-song-album-vol-3/1609864796?app=itunes","217","1500","","くろっしんぐとぅるーす"
"お宝頂戴！　インビジブル・スティーラーズ","218","-1","20","","","2022-04-15 15:00:00","","","218","1000","","おたからちょうだいいんびじぶるすてぃーらーず"
"大慾暴君・カジノ王","219","-1","20","","","2022-04-15 15:00:00","","","219","1000","","たいよくぼうくんかじのおう"
"Secret Longing","220","-1","20","","","2022-04-15 15:00:00","A2002850421/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-27-ep/1625225992?app=itunes","220","1500","","しーくれっとろんぎんぐ"
"エピソード・オブ・パイレーツ　海賊島の呪われし遺宝","221","-1","20","","","2022-05-15 15:00:00","","","221","1000","","えぴそーどおぶぱいれーつかいぞくじまののろわれしいほう"
"解放されし財宝の守護者","222","-1","20","","","2022-05-15 15:00:00","","","222","1000","","かいほうされしざいほうのしゅごしゃ"
"無敵のパイレーツ","223","-1","20","","","2022-05-15 15:00:00","A2002984656/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-28/1635909695?app=itunes","223","1500","","むてきのぱいれーつ"
"荘厳なる熱砂","224","-1","20","","","2022-05-15 15:00:00","","","224","1000","","そうごんなるねっさ"
"エンジョイ＆リフレッシュ！　でこぼこガールズ・キャンプ","225","-1","20","","","2022-06-15 15:00:00","","","225","1000","","えんじょいあんどりふれっしゅでこぼこがーるずきゃんぷ"
"アストライアタケモドキ","226","-1","20","","","2022-06-15 15:00:00","","","226","1000","","あすとらいあたけもどき"
"さん！シャインPARTY","227","-1","20","","","2022-06-15 15:00:00","A2002984656/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-28/1635909695?app=itunes","227","1500","","さんしゃいんぱーてぃ"
"いざ行かん、霊妙なる森の奥へと","228","-1","20","","","2022-06-15 15:00:00","","","228","1000","","いざゆかんれいみょうなるもりのおくへと"
"トゥインクルサマーゲーム　夏海にきらめく三つの想い","229","-1","20","","","2022-07-15 15:00:00","","","229","1000","","とぅいんくるさまーげーむなつうみにきらめくみっつのおもい"
"海将タツノココマンダー","230","-1","20","","","2022-07-15 15:00:00","","","230","1000","","かいしょうたつのここまんだー"
"Secret Star","231","-1","20","","","2022-07-15 15:00:00","A2003073369/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-29/1644049661?app=itunes","231","1500","","しーくれっとすたー"
"駆けろ常夏！アルティメットビーチフラッグス","232","-1","20","","","2022-07-15 15:00:00","","","232","1000","","かけろとこなつあるてぃめっとびーちふらっぐす"
"リトル・サマー・メモリーズ　渚でみつけた小さな幸せ","233","-1","20","","","2022-08-15 15:00:00","","","233","1000","","りとるさまーめもりーずなぎさでみつけたちいさなしあわせ"
"ムーンレイゲート","234","-1","20","","","2022-08-15 15:00:00","","","234","1000","","むーんれいげーと"
"わくわくSUMMER TIME！","235","-1","20","","","2022-08-15 15:00:00","A2003073369/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-29/1644049661?app=itunes","235","1500","","わくわくさまーたいむ"
"みゅ～ちゃんすくすく日記","236","-1","20","","","2022-08-15 15:00:00","","","236","1000","","みゅーちゃんすくすくにっき"
"マホマホ・ミラクル・ジャーニー！　旅する少女と最果ての大樹","237","-1","20","","","2022-09-15 15:00:00","","","237","1000","","まほまほみらくるじゃーにーたびするしょうじょとさいはてのたいじゅ"
"哀執のバロメッツ","238","-1","20","","","2022-09-15 15:00:00","","","238","1000","","あいしつのばろめっつ"
"はんなり乙女道中","239","-1","20","","","2022-09-15 15:00:00","A2003192847/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-30/1656635604?app=itunes","239","1500","","はんなりおとめどうちゅう"
"ファボ！ラブ！大集合！　至高の祭典と少女の秘めた推し事","240","-1","20","","","2022-10-15 15:00:00","","","240","1000","","ふぁぼらぶだいしゅうごうしこうのさいてんとしょうじょのひめたおしごと"
"狂乱の配信者・カガミ","241","-1","20","","","2022-10-15 15:00:00","","","241","1000","","きょうらんのはいしんしゃかがみ"
"O-TA-O-TA WORLD","242","-1","20","","","2022-10-15 15:00:00","A2003192847/","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-30/1656635604?app=itunes","242","1500","","おたおたわーるど"
"トライバルスピリッツ　掲げる剣と誇りの架け橋","243","-1","20","","","2022-11-15 15:00:00","","","243","1000","","とらいばるすぴりっつかかげるつるぎとほこりのかけはし"
"オブシダンゴーレム","244","-1","20","","","2022-11-15 15:00:00","","","244","1000","","おぶしだんごーれむ"
"Knight's Soul","245","-1","20","","","2022-11-15 15:00:00","A2003240157/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-31/1663442574?app=itunes","245","1500","","ないつそうる"
"ハッピー・ハプニング　幸せの双子天使と聖夜の贈り物","246","-1","20","","","2022-12-15 15:00:00","","","246","1000","","はっぴーはぷにんぐしあわせのふたごてんしとせいやのおくりもの"
"アンハッピートレント","247","-1","20","","","2022-12-15 15:00:00","","","247","1000","","あんはっぴーとれんと"
"はつゆきツインアプローチ","248","-1","20","","","2022-12-15 15:00:00","A2003240157/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-31/1663442574?app=itunes","248","1500","","はつゆきついんあぷろーち"
"湯けむり忘年奇譚　初日の出に盃を","249","-1","20","","","2023-01-15 15:00:00","","","249","1000","","ゆけむりぼうねんきたんはつひのでにさかずきを"
"穢れし湯ノ神・陽卵","250","-1","20","","","2023-01-15 15:00:00","","","250","1000","","けがれしゆのかみようらん"
"ma.sa.yu.me.","251","-1","20","","","2023-01-15 15:00:00","A2003398337/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-32-ep/1679183184?app=itunes","251","1500","","まさゆめ"
"新春日替わり湯","252","-1","20","","","2023-01-15 15:00:00","","","252","1000","","しんしゅんひがわりゆ"
"終炎のエリュシオン","253","2116007","20","","","2023-01-15 15:00:00","","","253","1000","","しゅうえんのえりゅしおん"
"甦りし脅威たち","254","2116007","20","","","2023-01-15 15:00:00","","","254","1000","","よみがえりしきょういたち"
"偽りの救済者","255","2116007","20","","","2023-01-15 15:00:00","","","255","1000","","いつわりのきゅうさいしゃ"
"終炎を司りし魔術師","256","2116007","20","","","2023-01-15 15:00:00","","","256","1000","","しゅうえんをつかさどりしまじゅつし"
"理外の力を求めし者","257","2116007","20","","","2023-01-15 15:00:00","","","257","1000","","りがいのちからをもとめしもの"
"希望を夢見る楽園","258","-1","20","","","2023-02-15 15:00:00","","","258","1000","","きぼうをゆめみるらくえん"
"不確かな未来でも","259","-1","20","","","2023-02-15 15:00:00","","","259","1000","","ふたしかなみらいでも"
"楽園の守護者","260","-1","20","","","2023-02-15 15:00:00","","","260","1000","","らくえんのしゅごしゃ"
"久遠の園を象る者","261","-1","20","","","2023-02-15 15:00:00","","","261","1000","","くおんのそのをかたどるもの"
"ネバールーズアゲイン","262","-1","20","","","2023-02-15 15:00:00","A2003398337/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-32-ep/1679183184?app=itunes","262","1500","","ねばーるーずあげいん"
"猫と駄菓子の喫茶店　カフェ・ナッシュカッツェにようこそ","263","-1","20","","","2023-03-15 15:00:00","","","263","1000","","ねことだがしのきっさてんかふぇなっしゅかっつぇにようこそ"
"願福寄災の招き猫","264","-1","20","","","2023-03-15 15:00:00","","","264","1000","","がんぷくきさいのまねきねこ"
"にゃんだフルスウィング","265","-1","20","","","2023-03-15 15:00:00","A2003506491/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-33-ep/1688146794?app=itunes","265","1500","","にゃんだふるすうぃんぐ"
"Dears　おかえりとただいまの約束","266","-1","20","","","2023-04-15 15:00:00","","","266","1000","","でぃあーずおかえりとただいまのやくそく"
"ダイオウショウジョウ","267","-1","20","","","2023-04-15 15:00:00","","","267","1000","","だいおうしょうじょう"
"私色STORY","268","-1","20","","","2023-04-15 15:00:00","A2003506491/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-33-ep/1688146794?app=itunes","268","1500","","わたしいろすとーりー"
"魔物生態報告書","269","-1","20","","","2023-04-15 15:00:00","","","269","1000","","まものせいたいほうこくしょ"
"万華色めく新天地","270","-1","20","","","2023-04-15 15:00:00","","","270","1000","","ばんかいろめくしんてんち"
"ジオ・テオゴニアの戦い","271","-1","20","","","2023-04-15 15:00:00","","","271","1000","","じおておごにあのたたかい"
"コネクト・ウィズ・ブルー　少女が空に至るまで","272","-1","20","","","2023-05-15 15:00:00","","","272","1000","","こねくとうぃずぶるーしょうじょがそらにいたるまで"
"叡智の錬金術師・モーヴ","273","-1","20","","","2023-05-15 15:00:00","","","273","1000","","えいちのれんきんじゅつしもーぶ"
"ツバサのプロローグ","274","-1","20","","","2023-05-15 15:00:00","A2003649511/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-34-ep/1698958405?app=itunes","274","1500","","つばさのぷろろーぐ"
"ランドソル一期一会","275","-1","20","","","2023-05-15 15:00:00","","","275","1000","","らんどそるいちごいちえ"
"次元断層","276","-1","20","","","2023-05-15 15:00:00","","","276","1000","","じげんだんそう"
"次元の狭間に現れし脅威","277","-1","20","","","2023-05-15 15:00:00","","","277","1000","","じげんのはざまにあらわれしきょうい"
"華麗なる世界の強敵","278","-1","20","","","2023-05-15 15:00:00","","","278","1000","","かれいなるせかいのきょうてき"
"ヴァンパイアフォークロア　夜と美の饗宴","279","-1","20","","","2023-06-15 15:00:00","","","279","1000","","ヴぁんぱいあふぉーくろあよとびのきょうえん"
"変貌せし従者・ブラド","280","-1","20","","","2023-06-15 15:00:00","","","280","1000","","へんぼうせしじゅうしゃぶらど"
"Gothical Radical † Eternal Wedding","281","-1","20","","","2023-06-15 15:00:00","A2003743784/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-35-ep/1706771993?app=itunes","281","1500","","ごしかるらでぃかるえたーなるうぇでぃんぐ"
"ユキの審美会","282","-1","20","","","2023-06-15 15:00:00","","","282","1000","","ゆきのしんびかい"
"プリンセス・ファイト☆","283","-1","20","","","2023-06-15 15:00:00","","","283","1000","","ぷりんせすふぁいと"
"エルピス島の戦い","284","-1","20","","","2023-06-15 15:00:00","","","284","1000","","えるぴすとうのたたかい"
"オーマの水からっぽ大作戦　秘密主義者と禁断の海","285","-1","20","","","2023-07-15 15:00:00","","","285","1000","","おーまのみずからっぽだいさくせんひみつしゅぎしゃとたぶーのうみ"
"復活の白き島クジラ","286","-1","20","","","2023-07-15 15:00:00","","","286","1000","","ふっかつのしろきしまくじら"
"メタモル・カレイドスコープ","287","-1","20","","","2023-07-15 15:00:00","A2003743784/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-35-ep/1706771993?app=itunes","287","1500","","めたもるかれいどすこーぷ"
"プリンセスの秘密","288","-1","20","","","2023-07-15 15:00:00","","","288","1000","","ぷりんせすのひみつ"
"グルメチェイサー号、出発進行！","289","-1","20","","","2023-07-15 15:00:00","","","289","1000","","ぐるめちぇいさーごうしゅっぱつしんこう"
"戦慄幽奇海岸　～サマーリゾートスリラーズ～","290","-1","20","","","2023-08-15 15:00:00","","","290","1000","","せんりつゆうきかいがんさまーりぞーとすりらーず"
"グラッジレイス","291","-1","20","","","2023-08-15 15:00:00","","","291","1000","","ぐらっじれいす"
"アイノキズナ","292","-1","20","","","2023-08-15 15:00:00","A2003875539/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-36-ep/1715601508?app=itunes","292","1500","","あいのきずな"
"Precious Journey","293","2201005","20","","","2023-08-15 15:00:00","A2003649511/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-34-ep/1698958405?app=itunes","293","1500","","ぷれしゃすじゃーにー"
"茜色の寄り道","294","2201008","20","","","2023-08-15 15:00:00","A2003649511/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-34-ep/1698958405?app=itunes","294","1500","","あかねいろのよりみち"
"ウィザーディング・アオハル・デイズ　魔法学園と奇跡の鐘","295","-1","20","","","2023-09-15 15:00:00","","","295","1000","","うぃざーでぃんぐあおはるでいずまほうがくえんときせきのかね"
"放たれし暴魔・アルゲース","296","-1","20","","","2023-09-15 15:00:00","","","296","1000","","はなたれしぼうまあるげーす"
"その春、日記の続きから","297","-1","20","","","2023-09-15 15:00:00","A2003875539/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-36-ep/1715601508?app=itunes","297","1500","","そのはるにっきのつづきから"
"ライラエル","298","2201007","20","","","2023-09-15 15:00:00","","","298","1000","","らいらえる"
"勉強の準備はできてる？","299","-1","20","","","2023-09-15 15:00:00","","","299","1000","","べんきょうのじゅんびはできてる"
"放課後エデュケーション","300","-1","20","","","2023-09-15 15:00:00","","","300","1000","","ほうかごえでゅけーしょん"
"ロマンシング・サラサリア　～砂漠の花嫁と不思議のランプ～","301","-1","20","","","2023-10-15 15:00:00","","","301","1000","","ろまんしんぐさらさりあさばくのはなよめとふしぎのらんぷ"
"カリド","302","-1","20","","","2023-10-15 15:00:00","","","302","1000","","かりど"
"Adenium","303","-1","20","","","2023-10-15 15:00:00","A2004083137/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-37/1725451556?app=itunes","303","1500","","あでにうむ"
"バンディ・シスターズ","304","2202001","20","","","2023-10-15 15:00:00","","","304","1000","","ばんでぃしすたーず"
"夢幻のマリッジ・シム","305","-1","20","","","2023-10-15 15:00:00","","","305","1000","","むげんのまりっじしむ"
"魔物が！！","306","-1","20","","","2023-10-15 15:00:00","","","306","1000","","まものが"
"新天地の強敵","307","-1","20","","","2023-10-15 15:00:00","","","307","1000","","しんてんちのきょうてき"
"クリミナル ルーキー　天使たちのパラドクス","308","-1","20","","","2023-11-15 15:00:00","","","308","1000","","くりみなるるーきーてんしたちのぱらどくす"
"最終クエストです★","309","-1","20","","","2023-11-15 15:00:00","","","309","1000","","さいしゅうくえすとです"
"イリドロータス","310","-1","20","","","2023-11-15 15:00:00","A2004083137/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-37/1725451556?app=itunes","310","1500","","いりどろーたす"
"旅と成長（と反省）の記録","311","-1","20","","","2023-11-15 15:00:00","","","311","1000","","たびとせいちょうとはんせいのきろく"
"アルターメイデン","312","2201001","20","","","2023-11-15 15:00:00","","","312","1000","","あるたーめいでん"
"アドベンチャー","313","-1","20","","","2023-11-15 15:00:00","","","313","1000","","あどべんちゃー"
"クライ・ベイビー・クリスマス　誰が為の幸福なる日","314","-1","20","","","2023-12-15 15:00:00","","","314","1000","","くらいべいびーくりすますたがためのこうふくなるひ"
"バジリスク・アロス","315","-1","20","","","2023-12-15 15:00:00","","","315","1000","","ばじりすくあろす"
"Christmas Blessing","316","-1","20","","","2023-12-15 15:00:00","A2004367403/","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-38-ep/1737858842?app=itunes","316","1500","","くりすますぶれっしんぐ"
"アドベントカレンダー","317","-1","20","","","2023-12-15 15:00:00","","","317","1000","","あどべんとかれんだー"
