8783991218d405c63d6cfee0201fb42e10cdb98a4911881870cb757d3abe542d,90efa264d8b73146888271a76f679c42c80b76b884c5e8cf7bb401a042a0408b,a941a90a83dc7ee327412cda5e5408445d8416fae3c8046531a85d4483cb1e6e,383a23c1d40614fa48f8afb50746defcb9ed145cfe16f4a5c37d99b2a014312a,0dda461902622a59180df2ad6aef8b13f81531fdc7fd6ec2bce42392de41650e,b55f7ae61b353231a2eec809664cf54b0073289fc13d1c52249fe4c716c36692
"むてき","10077","3","1","むてきなの！　プリンをよこすの。","1007703"
"ヒヨリ","20001","1","1","【トゥインクルウィッシュ】の人助け大好き格闘少女。","2000100"
"ほっとけないよ","20001","3","1","ヒヨリの口癖で、座右の銘。","2000101"
"ユイ","20002","1","1","【トゥインクルウィッシュ】の一途な純情ヒーラー。","2000200"
"ヒールオール","20002","3","1","全てを癒すユイの得意技。","2000201"
"マコトのおさななじみ","20002","3","1","まわりからは意外だと思われているらしい。","2000202"
"レイ","20003","1","1","【トゥインクルウィッシュ】のクールな剣士。釣りが趣味でもある。","2000300"
"じょうば","20003","3","1","レイの隠れた特技。","2000301"
"ミソギ","20004","1","1","【リトルリリカル】のいたずら担当。３人のなかでもムードメーカーである。","2000400"
"いたずらっこ","20004","3","1","いたずらスキルにおいて右に出る者はいないといわれるほどのいたずらの達人。","2000401"
"マツリ","20005","1","1","【王宮騎士団（ＮＩＧＨＴＭAＲＥ）】所属。ヒーローに憧れる少女。","2000500"
"ヒーローみならい","20005","3","1","正義を愛する熱いハートは誰にも負けないッス！","2000501"
"アカリ","20006","1","1","【悪魔偽王国軍（ディアボロス）】の双子で、おしゃまな妹。","2000600"
"ヨリのいもうと","20006","3","1","そっくりだけど性格は正反対？","2000601"
"こあくま","20006","3","1","文字通り、その可愛さで人を惑わす。","2000602"
"ミヤコ","20007","1","1","【悪魔偽王国軍（ディアボロス）】のプリン大好き幽霊。","2000700"
"ゆうれい","20007","3","1","浮遊や壁のすり抜けなどが可能だが、やることはプリンの盗み食いくらいである。","2000701"
"プリンだいすき","20007","3","1","なの！","2000702"
"ユキ","20008","1","1","【ヴァイスフリューゲル　ランドソル支部】の美しさ担当。","2000800"
"うつくしいボク","20008","3","1","罪だね。","2000801"
"ナルシスト","20008","3","1","ボクが美しすぎるのが悪いのかな？","2000802"
"アンナ","20009","1","1","【トワイライトキャラバン】メンバーにして熾炎戦鬼煉獄血盟暗黒団団長。暗黒騎士にして終焉戦争を終わらせし旧世界の英雄。","2000900"
"しっぷうのヘカーテ","20009","3","1","またの名を！","2000901"
"ちゅうにびょう","20009","3","1","思春期なのでそっとしておいてあげて。","2000902"
"マホ","20010","1","1","【自警団（カォン）】の頼れるはんなりギルドマスター。","2001000"
"おひめさま","20010","3","1","いずこかの地にあるという謎の国、マホマホ王国…マホはそこのお姫様である。","2001001"
"くるりんぱ","20010","3","1","杖をくるくるまわすかわいらしい動作から繰り出される魔法の威力は侮れない…","2001002"
"リノ","20011","1","1","【ラビリンス】所属の自称妹。がんばりやの受験生。","2001100"
"いもうと","20011","3","1","妹だ。たとえ自称でも妹なのである。","2001101"
"あほのこ","20011","3","1","あほでもいい。健やかに生きて欲しい。","2001102"
"ハツネ","20012","1","1","【フォレスティエ】の眠れるサイキック少女。","2001200"
"ちょうのうりょくしょうじょ","20012","3","1","ちょうのうりょくのことはひみつだよ。","2001201"
"スヤスヤ","20012","3","1","あと５分だけ……","2001202"
"シオリンのあね","20012","3","1","シオリンだーいすき！","2001203"
"ナナカ","20013","1","1","【トワイライトキャラバン】のぐうかわサイツヨ魔法少女。","2001300"
"まほうしょうじょ","20013","3","1","魔法を使う少女。何歳まで魔法少女を名乗れるのかは識者の間でも見解が分かれる。","2001301"
"サイカワ","20013","3","1","最高にかわいいの意。","2001302"
"カスミ","20014","1","1","【自警団（カォン）】の頭脳派美少女名探偵。","2001400"
"めいたんてい","20014","3","1","解いた謎は数えきれない。事件が名探偵を呼び寄せるのか…","2001401"
"たんてい","20014","3","1","真実を追い求める気高き職業。探偵には助手がつき物である。","2001402"
"ミサト","20015","1","1","【フォレスティエ】のギルドマスター。母性が溢れに溢れているお姉さん。","2001500"
"ほいくえんのせんせい","20015","3","1","魔物すら保育してしまう。","2001501"
"スズナ","20016","1","1","【ルーセント学院】の勉強が苦手な、天真爛漫ギャル。九九はできるようになった…？","2001600"
"カリスマモデル","20016","3","1","カリスマ性に満ち溢れたモデル。","2001601"
"ギャル","20016","3","1","イケてる女の子。","2001602"
"カオリ","20017","1","1","【自警団（カォン）】所属の歌と踊りを愛する南国少女。","2001700"
"りゅうきゅうからて","20017","3","1","琉球犬ナックルアロー！","2001701"
"ハイタ～イ","20017","3","1","カオリの故郷の挨拶。はいた～い！","2001702"
"イオ","20018","1","1","【ルーセント学院】のセクシーな新米教師。","2001800"
"しんまいきょうし","20018","3","1","新米だけど、生徒に寄り添ういい先生。","2001801"
"ちゃんイオ","20018","3","1","スズナがイオを呼ぶ際の呼称。イオちゃんの意味。","2001802"
"ミミ","20019","1","1","【リトルリリカル】の甘えん坊担当。るんたった～るんたっ\nた～♪","2001900"
"うさぎさんだいすき","20019","3","1","ぴょんぴょ～ん♪","2001901"
"クルミ","20020","1","1","【サレンディア救護院】の泣き虫でも、臆病でも、勇気を出してがんばる女の子。","2002000"
"めいじょゆう","20020","3","1","ちいさくても名女優。","2002001"
"ヨリ","20021","1","1","【悪魔偽王国軍（ディアボロス）】の双子で、姉のツンデレ\nシャイガール。","2002100"
"ふたごのあね","20021","3","1","顔は似てても性格は異なる。","2002101"
"シャイ","20021","3","1","照れの裏返しで、つい強めのことを…","2002102"
"てんさいゲーマー","20021","3","1","華麗なる指さばき。","2002103"
"アヤネ","20022","1","1","【サレンディア救護院】所属。おとなしそうに見えて彼女が振るうぷうきちは意外と強烈。","2002200"
"ぷうきちのパートナー","20022","3","1","ぷうきちといつも一緒の一心同体。","2002201"
"スズメ","20023","1","1","【サレンディア救護院】の愛すべきドジっ子ご奉仕メイド。","2002300"
"メイド","20023","3","1","ご主人様に心よりお仕えしちゃいます。","2002301"
"おっちょこちょい","20023","3","1","いろいろ壊して大変。","2002302"
"リン","20024","1","1","【牧場（エリザベスパーク）】に派遣されている護衛。サボっているわけではない。スローライフを満喫しているだけであ\nる。","2002400"
"ぐうたら","20024","3","1","だらけていても、やるときはやる…たぶん…きっと…","2002401"
"エリコ","20025","1","1","【トワイライトキャラバン】メンバー。愛が重い。とても、重い。","2002500"
"デストロイヤー","20025","3","1","エリコの通り名。愛のためならいろいろなものを破壊する。","2002501"
"サレン","20026","1","1","【サレンディア救護院】の頼れるギルドマスター。元王宮騎士団副団長でもある。","2002600"
"ママ","20026","3","1","ママと呼ばれるような年齢ではなくとも、子どもがいなくて\nも、ママはママ。","2002601"
"ノゾミ","20027","1","1","【カルミナ】不動のセンター。トップ・オブ・アイドル。","2002700"
"だいにんきアイドル","20027","3","1","お忍びで行動するのが大変。","2002701"
"ニノン","20028","1","1","【ヴァイスフリューゲル　ランドソル支部】のトーゴクかぶれの戦士。天下統一デス！","2002800"
"トーゴクかぶれ","20028","3","1","トーゴクの文化が大好きだが、間違って覚えていることも多\nい。","2002801"
"えせニンジャ","20028","3","1","愛読書は『BUSHIDO』デース！","2002802"
"シノブ","20029","1","1","【悪魔偽王国軍（ディアボロス）】所属の占い師。ドクロは実は父親。","2002900"
"うらないし","20029","3","1","当たるも八卦、当たらぬも八卦。","2002901"
"アキノ","20030","1","1","【メルクリウス財団】を立ち上げたギルドマスター。彼女の商いは世界を変える。","2003000"
"ごれいじょう","20030","3","1","商才溢れるお嬢様。","2003001"
"マヒル","20031","1","1","【牧場（エリザベスパーク）】のマスター。個性豊かなギルドメンバーを温かく束ねるお姉さん。","2003100"
"ぼくじょうぬし","20031","3","1","牧場の経営はお任せだべ。","2003101"
"おわらいのみち","20031","3","1","それは、高く険しい。","2003102"
"ユカリ","20032","1","1","【メルクリウス財団】財務担当の敏腕お姉さん。…普段は。","2003200"
"のんべえ","20032","3","1","ユカリのような大人のこと。","2003201"
"キョウカ","20033","1","1","【リトルリリカル】最年少だが、勉強熱心で頭がとても良い。ニンジンやピーマンが苦手。","2003300"
"ゆうとうせい","20033","3","1","リトルリリカルの中でも一番の真面目でしっかり者。","2003301"
"トモ","20034","1","1","【王宮騎士団（ＮＩＧＨＴＭAＲＥ）】団員。団長の懐刀？","2003400"
"ミクマりゅう","20034","3","1","トモの家に伝わる神速の剣技。奥義は阿修羅。","2003401"
"シオリ","20035","1","1","【牧場（エリザベスパーク）】のメンバー。病弱ながらもひたむきにがんばる少女。","2003500"
"ハツネちゃんのいもうと","20035","3","1","お姉ちゃんが大好き。","2003501"
"アオイ","20036","1","1","【フォレスティエ】のぼっちアーチャー。植物とお話しはできるがそれはそれとしてぼっち。","2003600"
"ぼっち","20036","3","1","ぼっち。咳をしてもぼっち。","2003601"
"ビービーだんのメンバー","20036","3","1","バイバイぼっちできる日は近い！！　…はず。","2003602"
"チカ","20037","1","1","【カルミナ】メンバー。精霊を友とする風の唱喚歌姫。","2003700"
"しょうかんじゅつし","20037","3","1","唱喚術師。歌により精霊を呼び出す幻の秘術を使う。字の間違いに注意。","2003701"
"うたひめ","20037","3","1","その歌はあらゆる者を魅了する。","2003702"
"マコト","20038","1","1","【自警団（カォン）】の突撃隊長。面倒見のいい獣人族の\n少女。","2003800"
"ユイのおさななじみ","20038","3","1","まわりからは意外だと思われているらしい。","2003801"
"イリヤ","20039","1","1","【悪魔偽王国軍（ディアボロス）】マスターであり、伝説の吸血鬼。世界征服のため今日もがんばる。","2003900"
"バンパイア","20039","3","1","血を吸う生き物。恐ろしい化け物のはずだが、なぜか弱点は多いらしい。","2003901"
"でんせつのバンパイア","20039","3","1","かつてランドソル中を恐怖のるつぼにたたき落としたといわれる。","2003902"
"よをすべるもの","20039","3","1","夜を統べているらしい。","2003903"
"クウカ","20040","1","1","【ヴァイスフリューゲル　ランドソル支部】の妄想担当。","2004000"
"ドえむ","20040","3","1","淑女の嗜み…？","2004001"
"タマキ","20041","1","1","【メルクリウス財団】所属のタイヤキ屋。しかしてその正体は…にゃっ！にゃにゃっ！","2004100"
"ネコむすめ","20041","3","1","猫のような姿をした女の子。","2004101"
"ファントムキャッツ","20041","3","1","ランドソルを騒がす謎の義賊。その正体は謎に包まれている。","2004102"
"ジュン","20042","1","1","【王宮騎士団（ＮＩＧＨＴＭAＲＥ）】団長。仮面の下は、誰も知らない知られちゃいけない。","2004200"
"だんちょう","20042","3","1","とっても強い団長だ。","2004201"
"ミフユ","20043","1","1","【メルクリウス財団】所属のバイト戦士。実はドラゴンスレイヤー。","2004300"
"ししょう","20043","3","1","手取り足取り教えてくれるぞ。もちろん有償だぞ。","2004301"
"こうりつちゅう","20043","3","1","徹底して効率にこだわる人のこと。ゲームのプレイスタイルの一つ。","2004302"
"シズル","20044","1","1","【ラビリンス】所属の自称お姉ちゃん。お姉ちゃんにまかせなさい。","2004400"
"おねえちゃんだよ","20044","3","1","おねえちゃんだよ！！","2004401"
"ミサキ","20045","1","1","【ルーセント学院】の生徒。大人のレディにして、罪な女らしい。","2004500"
"おとなのレディ","20045","3","1","おとなのレディっていったらおとなのレディ！","2004501"
"ミツキ","20046","1","1","【トワイライトキャラバン】所属の危険な科学者。実験に\n夢中。","2004600"
"マッドサイエンティスト","20046","3","1","実験の犠牲になった者、数知れず。","2004601"
"ワンアイドデビル","20046","3","1","隻眼の悪魔。近づかぬが吉。","2004602"
"リマ","20047","1","1","【牧場（エリザベスパーク）】のリマ。実はギルドメンバーで一番の乙女ハートの持ち主。","2004700"
"もふもふ","20047","3","1","魅惑の毛並。","2004701"
"モニカ","20048","1","1","【ヴァイスフリューゲル　ランドソル支部】のギルドマスターで軍人。いつもメンバーにふりまわされる苦労人の白翼の指揮官。","2004800"
"おこちゃま","20048","3","1","こ、子どもではない！","2004801"
"ツムギ","20049","1","1","【カルミナ】メンバーで本職はテーラー。華麗な糸さばきでいろいろなものを縛り上げる。","2004900"
"テーラー","20049","3","1","裁縫はお任せ。","2004901"
"レイさまファンクラブ","20049","3","1","悪い虫を近づけさせない。","2004902"
"アユミ","20050","1","1","【ヴァイスフリューゲル　ランドソル支部】の隠密担当。どこにでもいて、どこにもいない。","2005000"
"モブ","20050","3","1","そんな名前じゃないですよ～！","2005001"
"ルカ","20051","1","1","【トワイライトキャラバン】ギルドマスター。気っ風のいい釣り人。剣の腕もすごい。","2005100"
"あねご","20051","3","1","魔物も姉御と慕っている。","2005101"
"ジータ","20052","1","1","蒼空の騎空士、を目指す女の子。","2005200"
"きくうし","20052","3","1","空を巡る者達のこと。もっとも自由でもっとも危険な職業と言われる。","2005201"
"ペコリーヌ","20053","1","1","【美食殿】ギルドマスター。何でもおいしく食べてしまう。やばいですね☆","2005300"
"くいしんぼう","20053","3","1","食べるのが大好きだ。","2005301"
"おうけのそうび","20053","3","1","装備すると大幅にパワーアップするが、お腹が減ってしまうらしい。","2005302"
"やばいですね","20053","3","1","やばいですね☆","2005303"
"プリンセス","20053","3","1","アストライア王家の王女。","2005304"
"コッコロ","20054","1","1","【美食殿】所属のエルフの少女。主さまファースト。","2005400"
"ガイドやく","20054","3","1","女神アメスの神託を受けた導き手。","2005401"
"みこ","20054","3","1","神に仕える女性のこと。","2005402"
"キャル","20055","1","1","なりゆきで【美食殿】に所属している謎のネコミミ少女。ヤバイわよ！","2005500"
"ツンデレ","20055","3","1","は？　意味わかんないんだけど！","2005501"
"ヤバイわよ","20055","3","1","ヤバイわよ！","2005502"
"ムイミ","20056","1","1","世界を敵に回して戦う自称・大罪人。天楼覇断剣はすべてを断ち切る！","2005600"
"ノウェム","20056","3","1","アタシはノウェムだ！","2005601"
"アリサ","20057","1","1","いつか必ず森番になると誓うエルフの少女。","2005700"
"エルフのおんな","20057","3","1","エルフの女性。","2005701"
"もりばんみならい","20057","3","1","森の守護者として一人前になるべく、日々修行に打ち込んでいる。","2005702"
"ネネカ","20058","1","1","七冠（セブンクラウンズ）の一人。千変万化の変貌大妃。","2005800"
"メタモルレグナント","20058","3","1","ネネカの二つ名。変貌大妃。","2005801"
"ぶんしんたい","20058","3","1","もう一人の私。","2005802"
"クリスティーナ","20059","1","1","【王宮騎士団（ＮＩＧＨＴＭAＲＥ）】副団長にして、七冠\n（セブンクラウンズ）の一人。かなりの享楽主義者。","2005900"
"レジーナゲッシュ","20059","3","1","クリスティーナの二つ名。誓約女君。","2005901"
"ふくだんちょう","20059","3","1","別名、問題児。","2005902"
"イノリ","20060","1","1","【ドラゴンズネスト】所属のドラゴン族。可愛い顔して意外と毒舌。","2006000"
"ドラゴンブレス","20060","3","1","イノリの得意技。","2006001"
"かんぶ","20060","3","1","【ドラゴンズネスト】の幹部であるあたしにひれ伏すですよ！","2006002"
"カヤ","20061","1","1","【ドラゴンズネスト】所属のドラゴン族の喧嘩屋。","2006100"
"のうきんケンカバカ","20061","3","1","喧嘩上等。","2006101"
"ホマレ","20062","1","1","【ドラゴンズネスト】の謎多きギルドマスター。ボス。","2006200"
"ギャングのボス","20062","3","1","親分、首領の意味。","2006201"
"クロエ","20063","1","1","【聖テレサ女学院（なかよし部）】メンバー。ガチめのバイブスの持ち主。","2006300"
"ダウナー","20063","3","1","別に怒っていたり機嫌が悪いわけではないらしい。","2006301"
"テレじょのやべーやつ","20063","3","1","テレ女のやべーやつ。すなわち、クロエのこと。","2006302"
"チエル","20064","1","1","【聖テレサ女学院（なかよし部）】のちぇる～ん☆担当。","2006400"
"れちぇるちぇぽぱぴ","20064","3","1","ちぇるりれれろりろりろ。","2006401"
"テレじょのやべーやつ","20064","3","1","テレ女のやべーやつ。すなわち、チエルのこと。","2006402"
"ユニ","20065","1","1","【ユニちゃんズ】のギルドマスター。天才とは孤独なものである。","2006500"
"ひきこもり","20065","3","1","象牙の塔にひきこもり、日々勉学に勤しんでいる。","2006501"
"テレじょのやべーやつ","20065","3","1","テレ女のやべーやつ。すなわち、ユニのこと。","2006502"
"ロボット","10078","1","2","人に代わり労働を行う機械。人型はロマン。","3007800"
"メカ","10078","2","2","魔法で駆動する機械。人を助けたり、戦うこともできる。","3007801"
"からくり","10078","2","2","歯車等の組み合わせで複雑な動きが出来る仕組み。","3007802"
"なかよしえっくす","10078","3","2","なかよし部の粋を集めたサイキョウのロボット。","3007803"
"ユニのりきさく","10078","3","2","不細工ポンコツ丸とは聞き捨てならんな…大概にしたまえ。","3007804"
"きのこ","10079","1","2","じめじめしたところに生える。植物ではなく菌糸類。","3007900"
"どくきのこ","10079","1","2","その多くは鮮やかな色をしており、食べると脳や体に支障をきたす。","3007901"
"マッシュルーム","10079","2","2","ピザやパスタに合うおいしいきのこ。","3007902"
"ベニタケ","10079","3","2","歩くきのこ。ペコリーヌ曰く、煮込むと意外とおいしいらし\nい。","3007903"
"ライオン","10080","1","2","百獣の王ともいわれるネコ科の大型肉食獣。","3008000"
"しし","10080","1","2","ライオンの別称。とある国では守護動物とされていた。","3008001"
"ひゃくじゅうのおう","10080","2","2","立派なたてがみを持つ最強の獣。","3008002"
"たてがみ","10080","2","2","馬や雄のライオンの首周りに生えている毛。","3008003"
"けもの","10080","2","2","全身を毛におおわれ、四足で歩く哺乳類。","3008004"
"オルレオン","10080","3","2","獅子座の魔星獣。刃向かうものは灼熱の咆哮で焼き尽くす。","3008005"
"えんぴつ","10081","1","2","色のついた芯を木で覆った筆記用具。","3008100"
"あかえんぴつ","10081","1","2","赤い色の鉛筆。テストの丸つけといえばこれ。","3008101"
"ペンシル","10081","2","2","先が尖っていて、細かいものを書くのに適している。","3008102"
"ひっきようぐ","10081","2","2","鉛筆、消しゴムなど、机まわりの道具の総称。","3008103"
"キラーペンシル","10081","3","2","クロエお気に入りの棒状に尖った武器。","3008104"
"たいよう","10082","1","2","自らエネルギーを作り出す、熱と光を放つ星。","3008200"
"おひさま","10082","1","2","太陽を親しんで呼ぶときの呼称。","3008201"
"にっこう","10082","2","2","太陽が発している光のこと。","3008202"
"はれのひ","10082","2","2","空に雲が少なく、太陽が出ていて、あたたかい日。","3008203"
"ひこうてい","10083","1","2","魔法の浮力で空を飛ぶ風船の乗り物。","3008300"
"ふね","10083","2","2","人や物を載せて水上を進む乗り物。","3008301"
"エアシップ","10083","2","2","風船などで機体を浮かせ、動力や舵をつけた空を飛ぶ船。","3008302"
"そらのたび","10083","2","2","飛行できる乗り物に乗って空を移動すること。","3008303"
"モニカのかんたい","10083","3","2","モニカ提督が指揮する（予定の）飛空艇艦隊。","3008304"
"バラ","10084","1","2","茎にとげがある、美しい赤い花。","3008400"
"いばら","10084","1","2","人里近くに多い、とげのある低木の総称。","3008401"
"はな","10084","1","2","植物の繁殖用の器官。きれいなものが多い。","3008402"
"ローズ","10084","2","2","バラの花の別称。色の名前を指すときにも使われる。","3008403"
"すし","10085","1","2","小さく握ったご飯の上に魚などをのせたトーゴク料理。","3008500"
"にぎりずし","10085","1","2","一口大の酢飯に新鮮な魚介の切り身を乗せたごちそう。","3008501"
"マグロ","10085","1","2","赤身のおいしい魚。","3008502"
"トゥンヌスのにぎり","10085","3","2","捕獲するのが一苦労なトゥンヌスを贅沢に使ったにぎりずし。","3008503"
"オーマのびしょく","10085","3","2","オーマでとれるのは最高級の魚、トゥンヌス。","3008504"
"かがみ","10086","1","2","自分の姿をうつすふしぎなどうぐ。","3008600"
"ミラー","10086","2","2","光を反射させることができるどうぐ。","3008601"
"エチケットアイテム","10086","2","2","身だしなみを整えるためにつかうどうぐ。","3008602"
"ユキのあいようひん","10086","3","2","ああ、ボクは今日も美しいね！","3008603"
"ティアラ","10087","1","2","女王や姫が頭頂部に着用する豪華な装飾品。","3008700"
"かんむり","10087","1","2","王族などが身に着ける豪華なかぶりもの。","3008701"
"そうしょくひん","10087","2","2","主に飾り付けるため身に着けるもの。","3008702"
"アクセサリー","10087","2","2","装飾品。オシャレするならマストアイテム。","3008703"
"ペコリーヌのティアラ","10087","3","2","実は強大な力を秘めた王家の装備の一部。","3008704"
"おうけのそうび","10087","3","2","装備すると大幅にパワーアップするが、お腹が減ってしまうらしい。","3008705"
"おでん","10088","1","2","肉や野菜をダシでじっくり煮込んだ熱々の料理。","3008800"
"にもの","10088","1","2","肉や野菜を煮込んだ料理。","3008801"
"なべ","10088","1","2","食べ物などを煮るための調理器具。","3008802"
"ドラゴンテイルおでん","10088","3","2","ラースドラゴンの尻尾のダシで煮込んだ至高のおでん。","3008803"
"でんきゅう","10089","1","2","魔法の力で光を発するどうぐ。","3008900"
"あかり","10089","1","2","暗闇を照らす光。","3008901"
"はくねつきゅう","10089","2","2","熱による放射を利用して発光するガラスの球。","3008902"
"まめでんきゅう","10089","2","2","小さめの電球のこと。","3008903"
"ピカピカ","10089","2","2","光がまたたく様をあらわす擬音。","3008904"
"カスミのひらめき","10089","3","2","真実導く閃きの力。名探偵にかかればどんな難事件も解決！","3008905"
"くも","10090","1","2","空に浮かぶ、水滴や氷の粒のかたまり。雨や雷の生みの親。","3009000"
"にゅうどうぐも","10090","2","2","夏の空でよく見られるもくもくと盛り上がった大きな雲。","3009001"
"どんてん","10090","2","2","雲がかかり太陽が見えない天気。","3009002"
"わたあめ","10090","2","2","口にいれるとシュワっと溶ける、白くてふわふわな甘いおか\nし。","3009003"
"ライライ","10090","3","2","雷雲を従え、無邪気に暴れるカミナリ娘。","3009004"
"おの","10091","1","2","木を切ったりできるどうぐ。武器にもなる。","3009100"
"いしおの","10091","1","2","石でできた斧。武器や農工具として使われる。","3009101"
"アックス","10091","2","2","柄の先に厚くて重い刃のついた武器。","3009102"
"ゴブリングレートのえもの","10091","3","2","熟練のゴブリン戦士が持つ武器。","3009103"
"おんせん","10092","1","2","自然に湧き上がるお湯でつくったお風呂。よくあたたまろう。","3009200"
"いわぶろ","10092","1","2","岩の間にお湯をためてつくったお風呂。","3009201"
"ろてんぶろ","10092","1","2","野外や屋外に設置された屋根のないお風呂。","3009202"
"めいとう","10092","2","2","体の疲れや不調に効く有名な温泉。","3009203"
"クリスティーナリゾートスパ","10092","3","2","牧場に湧き出た天然温泉の施設。入浴して疲れを癒そう。","3009204"
"まくら","10093","1","2","快眠の必需品。","3009300"
"だきまくら","10093","1","2","抱くようにして使用する大型のまくら。","3009301"
"しんぐ","10093","2","2","ふとん、まくら、寝間着など、寝るときに使うものの総称。","3009302"
"ピロー","10093","2","2","「枕」の英語読み。","3009303"
"ハツネのたからもの","10093","3","2","シオリからのプレゼント。本当はいつでもどこでも持ち歩きたい。","3009304"
"ざっし","10094","1","2","絵や写真がのっている楽しい読みもの。","3009400"
"マガジン","10094","2","2","インタビューやエンタメ等色々なものが盛り込まれた読み物。","3009401"
"ファッションし","10094","2","2","ファッションに関する記事が載った雑誌。","3009402"
"スズナのしゃしんしゅう","10094","3","2","ランドソルで性別年代を問わず大人気。","3009403"
"たいこ","10095","1","2","叩いて音を出す楽器。ドンドコドン！","3009500"
"こだいこ","10095","1","2","叩くと高い音が出る小型の太鼓。","3009501"
"ドラム","10095","2","2","太鼓やシンバル等の打楽器を一人の奏者で演奏可能にした物。","3009502"
"スネアドラム","10095","2","2","底面の膜に金属線が張られている小型の太鼓。","3009503"
"だがっき","10095","2","2","打つ、こする、振るなどして音を出す楽器の総称。","3009504"
"せいざ","10096","1","2","夜空に見える星を線でつないで様々な事物に見立てた物。","3009600"
"てんたい","10096","1","2","宇宙に存在する星々の総称。地球も月も太陽も。","3009601"
"ぎんが","10096","1","2","様々な星やガス状の物質、宇宙の塵等が集まった巨大な天体。","3009602"
"よぞら","10096","2","2","太陽が沈み、月や星が見えるくらい暗くなった空。","3009603"
"ほしのかがやき","10096","2","2","夜空を彩る主役たち。","3009604"
"おにぎりざ","10096","3","2","あの星座…おにぎりに見えませんか？やばいですね☆","3009605"
"トマト","10097","1","2","あまくてすっぱい夏の野菜。実はナスの仲間。","3009700"
"プチトマト","10097","1","2","一口サイズのトマト。黄色の種類もある。","3009701"
"ばんか","10097","2","2","「蕃茄」トマトの別名。","3009702"
"ケチャップ","10097","2","2","トマトなどを煮詰めて味をつけた調味料。","3009703"
"はらっぱ","10098","1","2","草が生い茂る広い空き地。","3009800"
"そうげん","10098","1","2","木がほとんどなく、花や草に覆われた大地。","3009801"
"のはら","10098","1","2","草などが生えた広い平地。","3009802"
"にじ","10099","1","2","雨上がりの空でたまに見られる、太陽光の反射でできる奇跡。","3009900"
"レインボー","10099","1","2","虹の別称。虹の七色のことでもある。","3009901"
"なないろ","10099","1","2","虹にみられる七種の色。赤橙黄緑青藍紫で構成される。","3009902"
"そらにかかるはし","10099","2","2","空に向かって伸びるように現れた虹。","3009903"
"あめあがり","10099","2","2","雨が止んでから少しの間のこと。","3009904"
"かきごおり","10100","1","2","氷を砕いて蜜をかけた、雪によく似た夏のおかし。","3010000"
"ブルーハワイ","10100","1","2","真っ青でさわやかな海のような、かき氷などにかける蜜。","3010001"
"フラッペ","10100","2","2","アイスクリームや果物等をカラフルにのせた豪華なかき氷。","3010002"
"なつのふうぶつし","10100","2","2","夏の感じを表す物事。スイカの他に海や花火など。","3010003"
"ちょうちょ","10101","1","2","美しい羽でひらひらと舞う、妖精みたいな虫。","3010100"
"アゲハ","10101","1","2","大型で美しい蝶の一種。多くは後翅に長い突起を持つ。","3010101"
"クロアゲハ","10101","1","2","大きな黒い羽で舞う美しい蝶。","3010102"
"むし","10101","2","2","人や獣、鳥や魚以外の小動物の総称。大抵のものは数が多い。","3010103"
"こんちゅう","10101","2","2","昆虫網に分類される、足が六本ある節足動物の総称。","3010104"
"バタフライ","10101","2","2","蝶の別称。又は泳ぐ姿が蝶に似ている泳ぎ方。","3010105"
"とう","10102","1","2","空高くそびえ立つ建物。","3010200"
"タワー","10102","2","2","「とう」の英語読み。","3010201"
"てんぼうだい","10102","2","2","はるか遠くを見渡すための建物。","3010202"
"みはりだい","10102","2","2","目的の地点を監視するための高い建物。","3010203"
"まてんろう","10102","2","2","天に届きそうなほど高い建物。","3010204"
"アイスクリーム","10103","1","2","冷た～い甘～いおかし。","3010300"
"ジェラート","10103","1","2","アイスクリームより少しだけヘルシー。","3010301"
"チョコミントアイス","10103","2","2","甘くてスーッと口いっぱいに広がる爽やかさ。","3010302"
"ひょうか","10103","2","2","「アイス」の別の言い方。","3010303"
"シェフィのこうぶつ","10103","3","2","シェフィはチョコミン党。","3010304"
"ドーナツ","10104","1","2","真ん中に穴があいた輪っか状の甘いおかし。","3010400"
"おやつ","10104","2","2","間食として食べる甘いもの。","3010401"
"チョコドーナツ","10104","2","2","チョコレートのかかったスタンダードなドーナツ。","3010402"
"チケット","10105","1","2","食べ物と交換できたり、施設に入場できたりする券。","3010500"
"けん","10105","1","2","約束や権利を表すための紙片。","3010501"
"スキップチケット","10105","3","2","一度クリアしたクエストをスキップできる便利なアイテム。","3010502"
"うきわ","10106","1","2","水に浮かぶ道具。プカプカ漂うのが気持ちいい。","3010600"
"フロート","10106","2","2","「うきわ」の英語読み。","3010601"
"かなづちのひっすアイテム","10106","2","2","これがあれば泳げなくても大丈夫。","3010602"
"キャルのうきわ","10106","3","2","泳ぐのが苦手なキャル愛用の可愛いネコ型浮き輪。","3010603"
"サングラス","10107","1","2","眩しい日差しや強い照明からオシャレに守ってくれる。","3010700"
"グラサン","10107","2","2","「サングラス」の別の言い方。","3010701"
"くろめがね","10107","2","2","レンズが黒い眼鏡。","3010702"
"ハードボイルド","10107","2","2","サングラスもバッチリ似合うクールな生き様。","3010703"
"キャルのサングラス","10107","3","2","キャルのお洒落アイテム。似合いすぎてヤバイわよ！","3010704"
"しゅりけん","10108","1","2","忍者が投げる武器。","3010800"
"とびどうぐ","10108","2","2","遠くから飛ばして攻撃するタイプの武器のこと。","3010801"
