11d376274cc1a9dc4d13fe3ae36db41f36c5251f8273a080a9f508d367df2073,d3d85f435dda77c4f1c732da6b20a435440fdf7071547335a18f678c1ac15aaa,cfc439718997deba437faf2707bf7fdadab94272946ada56fde9b57aa07364b5,af2697a15682a884dcff7b32b151b735043fbcccbeb522a2cc0c95aeea024d0e,d1a5de84812c2a5d5611310c3ac2baa4fdfccc788f5a78fb5e37e31d9df8ae89,c3bf637fcfab0090cabdd794fed5d95da1027ff3b5374915601429e8dd622f1b,4b176205fb95ca492bb1bcb537ae8ba6d5f047eb09402b0af9769ed810e40ff9,2230eaec5d03466b910787cebb66f662f7330fd1d5bdd942e3c80c235ee2147d,cb02d2c503accd922912929dd6f949220d305fba1f01dcf73559cccb3217419a,b5c49498b4a6b2abb44e10f5c4fc1f92a730e07ada8c6eeee361a5058d7ffb3e,58e8fe3324d5c5379c895e746c9a549e34ee2e48e082a208ff9615c36668b4d6,2406bb49a858c7962d8ba476e502a8eb55c47062e41e0ddf9023474006a4f35b
"あと９日！　もうすぐですよ♪\nえへへ、楽しみで楽しみで\nごはんが進みますね☆","179","0","6","ペコリーヌ","80003","0","0","0","","17","105801"
"ごはんが進みますね☆\nじゃなーい！\nいくらなんでも食べ過ぎよ！\n記念日、迎えられなくなるわよ！？","180","0","6","キャル","80003","2","0","0","","24","106001"
"大丈夫ですよキャルさま\n食事はわたくしたちの\n歩んできた道そのもの\nなのですから","181","0","6","コッコロ","80003","1","0","0","","17","105901"
"さっすがコッコロちゃん\nいいことを言いますね！\nそう、わたしたち\n【美食殿】の活動目的は─","182","0","6","ペコリーヌ","80003","0","0","0","","18","105801"
"─みんなで楽しく食事をすること\nでしょ？\nあれだけ食べ歩いてきたんだから\n分かってるわよ","183","0","6","キャル","80003","2","0","0","","25","106001"
"はい…そうでございますね♪\nそれにしてもわたくしたち\n本当にいろいろなものを\n食べ歩いてきましたね…","184","0","6","コッコロ","80003","1","0","0","","18","105901"
"そうね…ほんっとうにね…\n毒まみれのニセドラゴンとか\n恐竜…は逃げられちゃったっけ\nあとワニゴ…ワニの魔物とかね","185","0","6","キャル","80003","2","0","0","","26","106001"
"そして、とうとう本物の\nドラゴンまで相手に\nしちゃったのよね、あたしたちって","186","0","6","キャル","80003","2","0","0","","27","106001"
"信じられない強さだったわね\nあのドラゴン…やっぱり\n作戦はしっかり立てていかないと\nダメよね","187","0","6","キャル","80003","2","0","0","","28","106001"
"えへへ…☆\nキャルちゃんが色んなことを\n覚えていてくれて\nうれしいです♪","188","0","6","ペコリーヌ","80003","0","0","0","","19","105801"
"わたくしも鮮明に覚えておりますよ\n主さまもきっと…♪","189","0","6","コッコロ","80003","1","0","0","","19","105901"
"あったり前でしょ！\n忘れないわよ、あんな滅茶苦茶な\nものばかり食べさせられて！\n…忘れられるわけ、ないじゃない","190","0","6","キャル","80003","2","0","0","","29","106001"
"ねえちょっと、ちょっと待って！？\nカリンから、2.5周年記念の\n生放送に出演してほしいって\n言われたんだけど！","191","0","7","キャル","80003","0","0","0","","30","106001"
"なんでそういう大事なことを\n急に言うわけ！？\nそんなの聞いてないわよ～！？","192","0","7","キャル","80003","0","0","0","","31","106001"
"いっぱい人に見られちゃうのよね？\nなんであたしがそんなこと…","193","0","7","キャル","80003","0","0","0","","32","106001"
"あー\nあー\n…声、これで大丈夫かしら？","194","0","7","キャル","80003","0","0","0","","33","106001"
"聞き取りにくいかもしれないわね…\nもうちょっと明るい方がいいかも\nえっと…こんな感じ？","195","0","7","キャル","80003","0","0","0","","34","106001"
"オイッスー☆","196","0","7","キャル","80003","0","0","0","","35","106001"
"……\nいや、ないわ\nいつもどおりが一番ね、うん","197","0","7","キャル","80003","0","0","0","","36","106001"
"もう、記念の生放送なんて\n超責任重大なやつじゃない…\nもしなにか失敗とかしたら…","198","0","7","キャル","80003","0","0","0","","37","106001"
"ど、どど、どうしよう！？\n緊張してきちゃった…！！","199","0","7","キャル","80003","0","0","0","","38","106001"
"主さま、わたくし\nペコリーヌさまとキャルさまと共に\n2.5周年を祝う生放送に\n出演する大役を仰せつかりました","200","0","8","コッコロ","80003","0","0","0","","20","105901"
"多くの方々に\n『プリンセスコネクト！\nRe:Dive』の魅力をお伝えする\n重要な役割でございます","201","0","8","コッコロ","80003","0","0","0","","21","105901"
"わたくし、全身全霊をもって\n生放送に取り組みたいと\n思っております","202","0","8","コッコロ","80003","0","0","0","","22","105901"
"ですが、もしかしたら\nセリフを噛んでしまったり\n段取りを間違えてしまったり\nするかもしれません…","203","0","8","コッコロ","80003","0","0","0","","23","105901"
"そのようなことがないよう\n練習はしっかりしておかなくては\nまずはこちらから…","204","0","8","コッコロ","80003","0","0","0","","24","105901"
"オイッスー☆","205","0","8","コッコロ","80003","0","0","0","","25","105901"
"先ほどキャルさまが練習されて\nいるのをお見かけしたので\nわたくしもと思いまして…\nいかがでしょうか？","206","0","8","コッコロ","80003","0","0","0","","26","105901"
"良い感じ、ですか？\n…ふふ、ありがとうございます\n主さまのあたたかいお言葉があれば\nわたくしは百人力でございます","207","0","8","コッコロ","80003","0","0","0","","27","105901"
"この大役を無事に成し遂げ\n主さまに素敵な2.5周年を\n迎えていただけるよう…\nわたくし、尽力いたしますね","208","0","8","コッコロ","80003","0","0","0","","28","105901"
"オイッスー☆","209","0","9","ペコリーヌ","80003","0","0","0","","20","105801"
"…う～ん、今のはちょっと\n違う感じがしますね\n堅苦しかったかもしれません","210","0","9","ペコリーヌ","80003","0","0","0","","21","105801"
"あと６日で2.5周年ですか…","211","0","9","ペコリーヌ","80003","0","0","0","","22","105801"
"この年月がオイッスーの\n歴史なんだと思うと\nじ～んとしちゃいます！\nやばいですね☆","212","0","9","ペコリーヌ","80003","0","0","0","","23","105801"
"生放送で最高のオイッスー☆　を\nみなさんにお届けするために\n頑張らないと！\nそれじゃあもう一度…","213","0","9","ペコリーヌ","80003","0","0","0","","24","105801"
"オイッスー☆","214","0","9","ペコリーヌ","80003","0","0","0","","25","105801"
"…うう～ん、どうしてでしょう\nまだ何かが違う気がします…\nもしかしたら\nおなかが空きすぎてるとか？","215","0","9","ペコリーヌ","80003","0","0","0","","26","105801"
"今さっき食べたばっかりですけど\nおなかが減っては\n良いオイッスー☆　は\n出せませんよね！","216","0","9","ペコリーヌ","80003","0","0","0","","27","105801"
"そうと決まれば、コッコロちゃんと\nキャルちゃんを誘って\nごはんにしましょう！\n善は急げです！","217","0","9","ペコリーヌ","80003","0","0","0","","28","105801"
"あ、二人が丁度いいところに！\nオイッス～☆　…ああ！！\n今の、今のですよ～♪","218","0","9","ペコリーヌ","80003","0","0","0","","29","105801"
"なるほど、どんな時も\n自然体が一番ってことですね！\nこの調子で、生放送も\n頑張っちゃいます♪","219","0","9","ペコリーヌ","80003","0","0","0","","30","105801"
"2.5周年まで残り５日ですが\nその前にもうすぐ生放送ですよ！\nコッコロちゃん\n準備の方はどうですか？","220","0","10","ペコリーヌ","80003","0","0","0","","31","105801"
"はい。わたくし、しっかりと\n備えてまいりました\n万事抜かりはございません","221","0","10","コッコロ","80003","1","0","0","","29","105901"
"おお～すごい自信を感じます…！\nいい生放送になりそうですね☆\n……あれ？　なんだかこの辺り\n揺れていませんか？","222","0","10","ペコリーヌ","80003","0","0","0","","32","105801"
"…………","223","0","10","キャル","80003","2","0","0","","39","106001"
"キャルさま？\nお風邪をひかれたんでしょうか\nひどい震えですが…","224","0","10","コッコロ","80003","1","0","0","","30","105901"
"かかかか風邪じゃないわよ！\nここここれはただ\nななな生放送が楽しみ過ぎて\nワワワワクワクが止まらないだけ！","225","0","10","キャル","80003","2","0","0","","40","106001"
"大丈夫ですかキャルちゃん！？\nそうだ、これを飲んでください！","226","0","10","ペコリーヌ","80003","0","0","0","","33","105801"
"きき気がきくじゃない、ありがとっ\nごくっ、んく…ぶはぁっ！？\nちょっと何飲ませたの！？\n辛っ！　苦ぁ！？　甘ぁっ！？","227","0","10","キャル","80003","2","0","0","","41","106001"
"これは魔物のエキスに薬草に\nその他色んなものを混ぜた\n特製の栄養ドリンクです！","228","0","10","ペコリーヌ","80003","0","0","0","","34","105801"
"これを飲めば体ぽかぽかで\n元気いっぱいですよ♪","229","0","10","ペコリーヌ","80003","0","0","0","","35","105801"
"このアホリーヌ！\n風邪じゃないって言ったでしょ！？\nどさくさに紛れて\nそんな恐ろしいもん飲ませんな～！","230","0","10","キャル","80003","2","0","0","","42","106001"
"キャルさま\n震えが収まっておりますね\nよかったです…\nわたくし、心配いたしました","231","0","10","コッコロ","80003","1","0","0","","31","105901"
"え？　ああ、ホントね…って\nだから風邪じゃないって\n言ってるのに…\nまあいいわこの際なんでも","232","0","10","キャル","80003","2","0","0","","43","106001"
"えっへへ～♪　いつも通りの\nキャルちゃんに戻りましたし\n素敵な生放送が出来そうですね！\n今から楽しみです☆","233","0","10","ペコリーヌ","80003","0","0","0","","36","105801"
"ランドソルのみなさま、こんにちは\n生放送の会場設営を担当しています\n【ギルド管理協会】のカリンです","234","0","11","カリン","80003","0","0","0","","6","190801"
"【美食殿】のみなさんは\nまもなく始まる生放送に向けて\n最後の調整のため\n席を外しています","235","0","11","カリン","80003","0","0","0","","7","190801"
"頑張っている３人の\n邪魔をするわけには\nいきませんので、ご容赦ください","236","0","11","カリン","80003","0","0","0","","8","190801"
"ですので、本日は私から\n【美食殿】のみなさんの様子を\nお伝えさせていただこうと思います","237","0","11","カリン","80003","0","0","0","","9","190801"
"まずはペコリーヌさんですが…\n何やら大量のおにぎりを\n食べているようです\nえっと…栄養は大事ですよね","238","0","11","カリン","80003","0","0","0","","10","190801"
"次にコッコロさんですが\nこちらは発声練習をしています","239","0","11","カリン","80003","0","0","0","","11","190801"
"一生懸命、小さなお口を開けて\n声を出す姿が応援したくなりますね","240","0","11","カリン","80003","0","0","0","","12","190801"
"そしてキャルさんは…\nこれは…堂々としたものですね\n何もせず、ただ立ち尽くして…","241","0","11","カリン","80003","0","0","0","","13","190801"
"あれ？\nもしかして緊張で気を失って…？","242","0","11","カリン","80003","0","0","0","","14","190801"
"…ええと\n【美食殿】のみなさんは\nやる気十分なようですね！","243","0","11","カリン","80003","0","0","0","","15","190801"
"３人とも生放送を\nいいものにしようと\n全力で頑張ってくれていますので\nどうかご期待ください","244","0","11","カリン","80003","0","0","0","","16","190801"
"それでは\nまた明日お会いしましょう♪","245","0","11","カリン","80003","0","0","0","","17","190801"
"2.5周年まであと３日！\nそして生放送は明日！\nなんかいよいよって感じね…","246","0","12","キャル","80003","0","0","0","","44","106001"
"３人でい～っぱい練習しましたし\nきっと大丈夫ですよ☆","247","0","12","ペコリーヌ","80003","2","0","0","","37","105801"
"ペコリーヌさまに\n大丈夫と言ってもらえると\nとても心強いですね","248","0","12","コッコロ","80003","1","0","0","","32","105901"
"信じすぎちゃだめよコロ助\nこいつはなーんにも\n考えてないだけなんだから","249","0","12","キャル","80003","0","0","0","","45","106001"
"ひどいですよぉキャルちゃ～ん！","250","0","12","ペコリーヌ","80003","2","0","0","","38","105801"
"ふふ。お二人とも\n普段通りの様子で\n安心いたしました","251","0","12","コッコロ","80003","1","0","0","","33","105901"
"はいっ☆\n生放送でもなんでも\n全力全開、わたしらしく\nぶつかっていくだけです！","252","0","12","ペコリーヌ","80003","2","0","0","","39","105801"
"そうね。おめでたいことなんだし\nここまで来たんなら\n楽しめるだけ\n楽しむしかないわよね！","253","0","12","キャル","80003","0","0","0","","46","106001"
"わたくしも、普段よりも心が\n熱くなっております\nこの胸の気持ちをお伝えできるよう\n精一杯努力いたします…！","254","0","12","コッコロ","80003","1","0","0","","34","105901"
"それでは、いきましょう！\n明日の生放送、絶対に\n成功させましょうね☆","255","0","12","ペコリーヌ","80003","2","0","0","","40","105801"
"えっと、最初のひと言は…あれ？\nキャルちゃん、わたし\n何て言うんでしたっけ？","256","0","13","ペコリーヌ","80003","0","0","0","","41","105801"
"は！？\nなにいきなりど忘れしてるの！？\nっていうかあんた、台本は！？","257","0","13","キャル","80003","2","0","0","","47","106001"
"忘れてきちゃいました☆","258","0","13","ペコリーヌ","80003","0","0","0","","42","105801"
"忘れてきちゃいました☆\nで済ませられると思ってんの！？\nほら、あたし二冊持ってきたから\nこれ使いなさい！","259","0","13","キャル","80003","2","0","0","","48","106001"
"マイクとは、こんな高い位置に\nあるものなのですね…！\n背伸びをすれば、何とか…\nう～ん、うぅ～ん…！","260","0","13","コッコロ","80003","1","0","0","","35","105901"
"あぁもう\n少し下げればいいでしょ！？\nこれくらいでいい？\nまったく、世話が焼けるわね…","261","0","13","キャル","80003","2","0","0","","49","106001"
"あれ？\nキャルちゃん、後ろ髪が\nはねちゃってますよ？","262","0","13","ペコリーヌ","80003","0","0","0","","43","105801"
"え？　うそっ！？\nちゃんと確かめてきたのに！\nどこどこ！？","263","0","13","キャル","80003","2","0","0","","50","106001"
"キャルさま、動かないで\nくださいまし。今くしで…\nはい、直りましたよ","264","0","13","コッコロ","80003","1","0","0","","36","105901"
"あ、ありがと…はぁ。生放送\n本番までもうすぐなのに\nこんなことしてる場合じゃ\nないわよね","265","0","13","キャル","80003","2","0","0","","51","106001"
"はい、時間は残りわずかです\nですが、慌ただしく\n動き回るこの時間も\nなんだか楽しくて…♪","266","0","13","コッコロ","80003","1","0","0","","37","105901"
"コロ助、あんた…って\nそうじゃなくて！\n胸にジンワリきてる\n暇なんかないでしょ…！？","267","0","13","キャル","80003","2","0","0","","52","106001"
"あはは♪\nキャルちゃんの動きが\nとっても面白いです♪\nやばいですね☆","268","0","13","ペコリーヌ","80003","0","0","0","","44","105801"
"ふふ\nきっと面白い生放送になると\nわたくし、確信しております","269","0","13","コッコロ","80003","1","0","0","","38","105901"
"絶対絶対、間違いありません！\n見てくれるみなさんが\n笑顔になれる時間を\nお届けしましょう！","270","0","13","ペコリーヌ","80003","0","0","0","","45","105801"
"そんなの当然でしょ！\n誰が見たって面白いって\n言ってもらえるように\nあれだけ準備したんだから！","271","0","13","キャル","80003","2","0","0","","53","106001"
"それでは\n記念日直前生放送！\n楽しみにしててくださいね☆","272","0","13","ペコリーヌ","80003","0","0","0","","46","105801"
"こんにちは\n【ギルド管理協会】のカリンです","273","0","14","カリン","80003","0","0","0","","18","190801"
"昨日の生放送は\nいかがだったでしょうか？","274","0","14","カリン","80003","0","0","0","","19","190801"
"たくさんの笑顔と喜びと\nそして驚きを受け取って\nいただけたのではないかと思います","275","0","14","カリン","80003","0","0","0","","20","190801"
"そしていよいよ\n明日は2.5周年の当日\n待ちに待った記念日を\n迎えることとなります","276","0","14","カリン","80003","0","0","0","","21","190801"
"【美食殿】のみなさんも\n張り切って様々な準備を\nされていますよ","277","0","14","カリン","80003","0","0","0","","22","190801"
"【ギルド管理協会】も\n万全のサポート体制で\n協力してまいりたいと思います","278","0","14","カリン","80003","0","0","0","","23","190801"
"…ふふ、本当に楽しみですね\n【ギルド管理協会】の職員として\nだけではなく、私個人としても…","279","0","14","カリン","80003","0","0","0","","24","190801"
"この記念日を迎えられることが\n心から楽しみですし\n幸せを感じています","280","0","14","カリン","80003","0","0","0","","25","190801"
"きっと【美食殿】のみなさんは\nそれ以上に心を弾ませて\nいることでしょう","281","0","14","カリン","80003","0","0","0","","26","190801"
"それでは\n明日からの2.5周年を\nどうぞ、お楽しみに…♪","282","0","14","カリン","80003","0","0","0","","27","190801"
"準備はいいですかっ？\n…いっきますよー！","283","0","15","ペコリーヌ","80003","0","0","0","","47","105801"
"祝！","284","0","15","キャル","80003","2","0","0","","54","106001"
"2.5周年！","285","0","15","コッコロ","80003","1","0","0","","39","105901"
"おめでとうございま～す☆","286","0","15","ペコリーヌ","80003","0","0","0","","48","105801"
"少し前まではまだまだ先じゃない\nとか言ってたけど\n本当にあっという間だったわね","287","0","15","キャル","80003","2","0","0","","55","106001"
"光陰矢の如し…\nとはこのことでございますね\nでも、今日という日を無事に\n迎えることができて良かったです","288","0","15","コッコロ","80003","1","0","0","","40","105901"
"コッコロちゃん！　キャルちゃん！\n落ち着くには\nまだ早いですよ！\n盛り上がるのはこれからです☆","289","0","15","ペコリーヌ","80003","0","0","0","","49","105801"
"ほんとあんたはいつも\n全力全開ねー\nでもそうね、記念日なんだし\nパーっといきましょ！","290","0","15","キャル","80003","2","0","0","","56","106001"
"ええ、わたくしも全力全開で\nまいります…！\n主さま、さあ\nどうぞ手を取ってくださいまし…♪","291","0","15","コッコロ","80003","1","0","0","","41","105901"
"あんたもコロ助も、浮かれて\n転ぶんじゃないわよ？\n…仕方ないから、あたしも\n手を繋いであげるわよ","292","0","15","キャル","80003","2","0","0","","57","106001"
"あー！　二人ともずるいです！\nわたしもっ、ギュー♪","293","0","15","ペコリーヌ","80003","0","0","0","","50","105801"
"ちょっ、ペコリーヌ！\nくっつき過ぎよ！","294","0","15","キャル","80003","2","0","0","","58","106001"
"記念日だから\n平気平気♪\nやばいですね☆","295","0","15","ペコリーヌ","80003","0","0","0","","51","105801"
"意味分かんないわよ！","296","0","15","キャル","80003","2","0","0","","59","106001"
"ふふ。このめでたき日に\n喜びがあふれておりますね\n主さまは…いかがでしょうか？","297","0","15","コッコロ","80003","1","0","0","","42","105901"
"喜んでいただけているならば\nわたくしはとてもとても\n幸せでございます","298","0","15","コッコロ","80003","1","0","0","","43","105901"
"さぁ、2.5周年を\n楽しみ尽くしますよ☆\nまだまだ食べたいものもありますし\nやりたいこともたくさんです！","299","0","15","ペコリーヌ","80003","0","0","0","","52","105801"
"分かった、分かったから\n引っ張るんじゃないわよ！\n…そんな掴まなくても\nちゃんとついていくから","300","0","15","キャル","80003","2","0","0","","60","106001"
"ペコリーヌさま…キャルさま…\n主さま…共にまいりましょう\nどこまでも…！","301","0","15","コッコロ","80003","1","0","0","","44","105901"
"はい！　それでは2.5周年\n食べつくしツアーへ！\nそして、その先の未来へ\n向かって出発しましょう！","302","0","15","ペコリーヌ","80003","0","0","0","","53","105801"
"2.5周年\nありがとうございます！","303","0","15","ペコリーヌ・コッコロ・キャル","80003","0","0","1","105901,45,106001,61","54","105801"
"新年を迎え、新たに始まる一日を\nおみくじで占ってみませんか？\n良い運勢であるほど、\n沢山のプレゼントが貰えますよ♪","304","1","0","カリン","60002","1","0","0","","1","190804"
"今日の運勢は姫吉！　どんな不可能も可能にできちゃう！　　　　仲間と食卓を囲めばさらに運気上昇よ！　ただし魔物料理以外！","305","1","0","","60002","2","1","0","","0","0"
"今日の運勢は姫吉！　やること全てが最高潮！　やばいですね☆　ラッキーアイテムはおにぎり！　お腹一杯で幸せが続くでしょう！","306","1","0","","60002","2","1","0","","0","0"
"今日の運勢は姫吉！　最強の運勢でどんなドジも跳ね除けます！　大切な人と一緒に、最高の一日になること間違いなし！","307","1","0","","60002","2","1","0","","0","0"
"今日の運勢は姫吉！　どんな挑戦も上手くいく、最高の運勢です！理想の自分に変身できる絶好の機会！　新しい一歩を踏み出そう！","308","1","0","","60002","2","1","0","","0","0"
"今日の運勢は姫吉！　やること全てが上手くいく最高の一日！　　あなたの活躍に先生もにっこりです。いい子いい子♪","309","2","0","","60002","2","1","0","","0","0"
"今日の運勢は大吉！　お裁縫好きな女の子のお墨付きです！　　　お世話したがりの妹にめいっぱい愛されちゃうかも！？","310","1","0","","60002","2","2","0","","0","0"
"今日の運勢は大吉！　ラッキーカラーは赤！　　　　　　　　　　湧き上がるアイデアの数々に、高笑いが止まりませんわ！","311","1","0","","60002","2","2","0","","0","0"
"今日の運勢は大吉！　ラッキーワードは「ちぇる～ん♪」　　　　出会う人みんなに言ってあげると、ハッピーになれますよ！","312","1","0","","60002","2","2","0","","0","0"
"今日の運勢は大吉！　運勢はバッチリで無敵状態！　　　　　　　龍眼で全てを見通して、思い通りの一日を過ごしましょう！","313","1","0","","60002","2","2","0","","0","0"
"今日の運勢は大吉！　悩んでいたことが解決しそうです！　　　　たまには勉強も仕事も忘れて、心あたたまる家族と過ごしましょ！","314","2","0","","60002","2","2","0","","0","0"
"今日の運勢は中吉！　家の中でゆっくり過ごすのがよさそう！　　ラッキーアイテムはゲームよ！　ベストスコアを更新できるかも？","315","1","0","","60002","2","3","0","","0","0"
"今日の運勢は中吉！　上手くなりたいことに積極的に挑戦してみてサックス好きの妹が、手取り足取りサポートしてくれるかも～？","316","1","0","","60002","2","3","0","","0","0"
"今日の運勢は中吉！　仕事運が急上昇中です！　　　　　　　　　きっと「煉獄に舞う一陣の疾風」の如き活躍ができますよ！","317","1","0","","60002","2","3","0","","0","0"
"今日の運勢は中吉！　日頃の努力が報われます！　　　　　　　　親しい友人がいるなら報告してみて。一緒に喜んでくれるはずだ。","318","1","0","","60002","2","3","0","","0","0"
"今日の運勢は中吉！　商売運が上がってきています！　　　　　　ラッキーアイテムはたい焼き！　和菓子パワーで売上アップです！","319","1","0","","60002","2","3","0","","0","0"
"今日の運勢は中吉！　チャンスを待つと良い結果に！　　　　　　ラッキーアイテムのプリンを食べて、運を呼び込みましょう！","320","1","0","","60002","2","3","0","","0","0"
"今日の運勢は中吉！　運気が着々と上昇中！　　　　　　　　　　精霊の加護を受けたかのごとく、色々な事がうまくいきますよ♪","321","2","0","","60002","2","3","0","","0","0"
"今日の運勢は小吉！　まだ見ぬ危険が隠れているかも！　　　　　でも安心しろ！　提督が貴公を守ってくれるはずだぞ！","322","1","0","","60002","2","4","0","","0","0"
"今日の運勢は小吉！　いろんな事件が起こる一日になりそう！　　状況をよく観察してみようじゃないか！　まさに探偵のごとくね！","323","1","0","","60002","2","4","0","","0","0"
"今日の運勢は小吉！　気の向くままに過ごすのが幸せへの近道！　美味い魚を食べて猫を眺めて、自然体で過ごすのはどうだい？","324","1","0","","60002","2","4","0","","0","0"
"今日の運勢は小吉！　運気は高いけども、ハプニングには注意！　出かけた先で、「ふしんしゃ」扱いされてしまうかも……","325","1","0","","60002","2","4","0","","0","0"
"今日の運勢は小吉！　同腹一心の友だちが見つかるかも！　　　　キーワードは「ユニちゃんズ」、記憶に刻みましょう！","326","1","0","","60002","2","4","0","","0","0"
"今日の運勢は小吉！　周りに流されず、マイペースな一日を！　　ただし寝すぎには注意ぐうたらし過ぎず適度な運動を、だってさ～","327","1","0","","60002","2","4","0","","0","0"
"今日の運勢は小吉！　根を詰めずにリラックスすると運気向上！　ラッキーパーソンはアイドル。歌があなたを幸せにしてくれます♪","328","2","0","","60002","2","4","0","","0","0"
"おみくじの結果はどうでしたか？\n新たに始まる一日が、あなたに\nとって良い日になりますように\nまた明日も遊びに来て下さいね♪","329","0","0","カリン","60002","3","0","0","","2","190804"
"おみくじは楽しんで頂けましたか？\nあなたの新たなる年が\n素晴らしいものになるよう、\n心からお祈りいたします","330","0","7","カリン","60002","3","0","0","","3","190804"
"ささ、シェフィさまはこちらへ…","331","0","1","コッコロ","80005","4","0","0","","1","105901"
"コッコロさん、どこへ行くの…？\n…え？","332","0","1","シェフィ","80005","0","0","0","","1","106401"
"『おめでとうございます！\nわ～パチパチー！』\n…という感じでどうですかね！？","333","0","1","ペコリーヌ","80005","3","0","0","","1","105801"
"ではわたくしも\n後ろからクラッカーを鳴らして\n応戦いたします\nああ、当日が待ち遠しいですね","334","0","1","コッコロ","80005","4","0","0","","2","105901"
"ええと…\n二人とも何をしているの？","335","0","1","シェフィ","80005","0","0","0","","2","106401"
"シェフィは初めてだもんね\nあの日が近いからって\n予行練習してんのよ\n気が早いわよね～","336","0","1","キャル","80005","1","0","0","","1","106001"
"あの日…？","337","0","1","シェフィ","80005","0","0","0","","3","106401"
"その通りです…\nいよいよ記念すべきあの日が\n近づいてきましたよ！","338","0","1","ペコリーヌ","80005","3","0","0","","2","105801"
"『プリンセスコネクト！\nRe:Dive』3.5周年！","339","0","1","ペコリーヌ","80005","3","0","0","","3","105801"
"やばいですね☆","340","0","1","カリン","80005","2","0","0","","1","190801"
"って、なにしれっと\n参加してんのよカリン！","341","0","1","キャル","80005","1","0","0","","2","106001"
"ふふ、いいじゃないですか\n【ギルド管理協会】として\n私もみなさんと一緒に\nお祝いをさせてください！","342","0","1","カリン","80005","2","0","0","","2","190801"
"それに…記念日が近づけば\nとっておきの情報を\nお届けしますから♪","343","0","1","カリン","80005","2","0","0","","3","190801"
"というわけで\n今日からシェフィちゃんも一緒に\nカウントダウンしちゃいましょう！\n3.5周年まで…","344","0","1","ペコリーヌ","80005","3","0","0","","4","105801"
"えっ！？　ええとええと…！\nあ、あと14日…！","345","0","1","シェフィ","80005","0","0","0","","4","106401"
"3.5周年まであと13日\n豪華に、そして盛大に\nお祝いしたいですね☆","346","0","2","ペコリーヌ","80005","3","0","0","","5","105801"
"豪華といえば前にとある貴族さまが\n舞踏会を開かれたそうで\n主さまがそのお手伝いを\nしておりました","347","0","2","コッコロ","80005","1","0","0","","3","105901"
"そこで美しい所作を学ばれたので\nわたくしも教えていただきました\nしゃなり、しゃなり…\nいかがでしょう？","348","0","2","コッコロ","80005","1","0","0","","4","105901"
"すっごく上手ですよ☆\nまるでお姫様みたいです\nせっかくなのでわたしも\nしゃなりしゃなり","349","0","2","ペコリーヌ","80005","3","0","0","","6","105801"
"さすがでございます\nペコリーヌさま","350","0","2","コッコロ","80005","1","0","0","","5","105901"
"いや、あんたは\nできなきゃダメでしょ\n本物のお姫様なんだし","351","0","2","キャル","80005","0","0","0","","3","106001"
"しゃなり、しゃなり…\nふふ、案外できるものね","352","0","2","シェフィ","80005","2","0","0","","5","106401"
"わぁ！\nシェフィちゃん\n姿勢がとってもキレイです♪","353","0","2","ペコリーヌ","80005","3","0","0","","7","105801"
"さ、次はキャルさまの\n番でございますよ","354","0","2","コッコロ","80005","1","0","0","","6","105901"
"あ、あたしはいいわよ！\nそういうの全然分かんないし…","355","0","2","キャル","80005","0","0","0","","4","106001"
"大丈夫\nやってみると結構楽しいわよ\nほらほらっ","356","0","2","シェフィ","80005","2","0","0","","6","106401"
"そ、そこまで言うなら…\nしゃなにゅわきゃあっ！","357","0","2","キャル","80005","0","0","0","","5","106001"
"いたたた…もぉお～！\nなんであたしがこんな目に～！","358","0","2","キャル","80005","0","0","0","","6","106001"
"まぁまぁ\n記念日までに練習すれば\nできるようになるかもしれません\nよろしければお教えいたしますよ","359","0","2","コッコロ","80005","1","0","0","","7","105901"
"よし！\nあんたたちができて\nあたしだけできないのはしゃくだし\nやってやろうじゃないの！！","360","0","2","キャル","80005","0","0","0","","7","106001"
"3.5周年まであと12日\n記念日当日はもちろんですが\nその日を待つ時間というのも\n心躍ります","361","0","3","コッコロ","80005","1","0","0","","8","105901"
"分かりますっ！\nどんな特別な料理を食べられるのか\n考えるだけでワクワクしますよね！","362","0","3","ペコリーヌ","80005","3","0","0","","8","105801"
"特別な料理といえば、お祭りですね\nそういえば主さまは学生として\n聖学祭に参加されたこと\nがあるとか…","363","0","3","コッコロ","80005","1","0","0","","9","105901"
"聖学祭…って、なにかしら？","364","0","3","シェフィ","80005","2","0","0","","7","106401"
"聖テレサ女学院の祭典ですよ\n二つのチームが競い合い\n青春を満喫するのが趣旨のようです","365","0","3","コッコロ","80005","1","0","0","","10","105901"
"それってカルミナの\nサプライズライブがあった\nお祭りよね？\nちょっと見たかったかも…","366","0","3","キャル","80005","0","0","0","","8","106001"
"カルミナの後の\nライブも好評だったらしいじゃない\n確か、なかよし部\nだったっけ…？","367","0","3","キャル","80005","0","0","0","","9","106001"
"なかよし部…\n仲が良さそうな名前で\nやばいですね☆","368","0","3","ペコリーヌ","80005","3","0","0","","9","105801"
"いや、そのまんますぎでしょ…","369","0","3","キャル","80005","0","0","0","","10","106001"
"聖学祭かぁ…なんだか楽しそうね\nそれになかよし部の人たちも\n気になるわ","370","0","3","シェフィ","80005","2","0","0","","8","106401"
