23076f1a114be535bd92a25b6fd95c3b931e58d1914409ecf8aa1e1bb71f9f51,78e9398ad6b7ad22be485c67165e2498099688a2545be2dd6750ebb05aaf2f92,02a770a012c4f79aa0732f738248f24d21b95a3d346dfefadf9fa0233f5a1db2,ea34a71b88432771a62cef8ef1cbca158e3afb8c39a3894b3532ed4025485cfe,8dee70edf104e138fe2f226382133293bd5274f111d0e15b298fd9e9660e3da1,f4c19f98dfb1f1446ed1e493c530d1f526b1cf8bc88f575f6828a15d425a6cb5,0a003687f0c31ddb6cf79c73effbd33c15b16c8fa15bdf76668de33c03cf1fe4,120526009373fffda6a0283ae299618e88db7f82004ce8f0a84302474c85f215,7f1d46eba7a43050d244c584a6ad3ba12670072de436048540c948f5e9b7e394,9fd8e38f60f75f8f50b402cb2d347709ba39d220fc21af12e9538424d971d8a0,bd9451ae664647f6d570a92366d68911558a505c0742257086a030db7b21227d
"36","1","110","03_uek_cmn_idol_def_N","5","0","102531","1360001","1","1.3","105"
"36","1","100","03_uek_cmn_idol_def_N","10","0","102831","1360002","1","1.3","10"
"36","1","","","","","","1360003","93","",""
"36","102531","0","","1","0","03_uek_36_suzume","1360004","3","0","03_uek_36_suzume_loop"
"36","102831","0","","1","0","03_uek_36_saren","1360005","3","0","03_uek_36_saren_loop"
"36","0","","","","","","1360006","91","",""
"36","102531","10","","0","","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？","1360007","11","","0"
"36","0","","","","","","1360008","91","",""
"36","102831","10","","0","","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね","1360009","11","","0"
"37","1","100","01_uek_cmn_idol_def_N","-22","0","112531","1370001","1","1.3","-118"
"37","1","100","01_uek_cmn_idol_def_N","0","0","112431","1370002","1","1.3","0"
"37","1","100","01_uek_27_tamaki_loop","0","1","112631","1370003","1","1.3","179"
"37","112631","0","","0","","01_uek_27_tamaki_loop","1370004","3","",""
"37","0","","","","","","1370005","91","",""
"37","112631","0","","0","","01_uek_27_tamaki_loop","1370006","3","",""
"37","0","","","","","","1370007","91","",""
"37","112631","0","","0","","01_uek_27_tamaki_loop","1370008","3","",""
"37","0","","","","","","1370009","91","",""
"37","112631","1","","0","","01_uek_cmn_pose06","1370010","3","0.5",""
"37","112631","10","","0","","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！","1370011","11","","0"
"37","0","","","","","","1370012","91","",""
"37","112531","0","","1","","01_uek_35_rei","1370013","3","","01_uek_35_rei_loop"
"37","112531","10","","0","","…トップアイドルに\nなった時の景色って\nこんな感じなのかな","1370014","11","","0"
"37","0","","","","","","1370015","91","",""
"37","112631","1","","0","","01_uek_cmn_idol_def_N","1370016","3","0.2",""
"37","112431","0","","1","","01_uek_37_uduki","1370017","3","","01_uek_16_uduki_loop"
"37","112431","10","","0","","あの星みたいに\n私たちも\n輝きたいですね！","1370018","11","","0"
"37","0","","","","","","1370019","91","",""
"101","101","0","","1","","14","11010001","31","1","30"
"111","111","0","","1","","11","11110001","31","1","150"
"112","112","0","","1","","12","11120001","31","1","150"
"113","113","0","","1","","13","11130001","31","1","125"
