ec37a59c7f1edfaa2b7ac293cc68365508fc031e19d5b4ad269efd785374a786,4069f431d4b16d53f6299d2ef4dac6268b27840d3c52cb7ce8e198f7afb5687c,c8ad824f1394acaeb4efcb71651cdd1920c4f3e6aaca3feb6f853c35970c51a9,bdd586681a95fc63fd7e12f0a86819488d96b3baa78d4823b38fd82ce8f2e3a5,95c78a95a77bc26a7a9ce72a8837a100a2339944dfea86a6c4f133e3ce3f9075,2bda15301ffadccdf3aaea0ae1c223c7a5c974358ca56730f21aa3de5845f53e,001da506256735615868c4d624e2f798abc6873a91ffec0aff02a67000968361,95012503e026b9f34534ac5d310e07c4f33b4c70d5e3ee78080467d1829865e1,229cb6c2237323d755a86daaf915f877d5f09f8ab63c0b08f8cadb7d26ad310d,1174f161f7d006d2fb1858b662785d5c0c247ac46db456b6da83d29e4c9e74c1
"24","","14","1140024","0","2.125","0","4","1","0"
"25","親切にしてくれたクラスメイトのみんなのことが思い浮かんでくる。\n\n","14","1140025","0","0","0","1","0","8"
"26","","14","1140026","0","6.375","0","4","1","0"
"27","","14","1140027","vo_10011600_1405","0","vo_10011600","2","0","0"
"28","聖テレサ女学院のみなさん、\n","14","1140028","0","0","0","1","0","8"
"29","","14","1140029","0","2.875","0","4","1","0"
"30","本当に","14","1140030","0","0","0","1","0","8"
"31","","14","1140031","0","1.375","0","4","1","0"
"32","ありがとうございました！","14","1140032","0","0","0","1","0","8"
"33","","14","1140033","0","2.5","0","4","1","0"
