af14ae66b9f6988d443a5096f4d6352d95060c159e58357e1dca13d28cbd3ff6,ed42b429ba24b4c16e021d61d7baa92aa2a474e809ed66b696d1b3b72b642961,a0742052eb9a910f25978d2692cda04188010cfbe0d961dcc5bc968354fc08d8,53904f221c885ceb1bfe11a9e487fd0abc1fdae59b07dbcc40b8f4af247def77,b8e7162ab1659fc394d288fdc67c4c1d6c8c62d3c1767034305986c78655c969,339a3814a423f78a771639d6123447fd082a6e53630f85c674e882068e4da251,b264f20778ebdb1bf2d858d3c79b4efd9392f2b743d68ad2cea6820326158813,349edff7762b733972f5111edcc56b5a48018c8ab201448f3f65cc707383c2d6,6a5bf4052d32202999b413cbac81b4db582d11ea68040e451757e93e49af4f98,cf9216aa71d98a14a2f043eff622567c471a37b64dcfca8bbac13eeb1859d966,a3144c0d32ae47d097c180048f687778816af4e9753016d6d16d5af7f58749be,07b1b8be46bba23e8f9e1a8f66488b3d4495616365c95cdff31c3ed37fdeafa9,a108bd06493723a91a9e7081fe6f5bae9ff85d896f272d46edd21d74acf82a8c,cc0357d43e3c2b9fff9e25506db9b37277d29aa7d34d5b15751ac16df346574f,bc3173ca25a723e39c6b2e97d489d5575dc6bf2b392f793e795ccf15f5f3b327,92492a264eb284a1c18a107c318d5acd93c434b74fa92d770d69f2028f9704c5
"スズメ（ニューイヤー）","O","0","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","サレンディア救護院","9","悠木碧","お嬢さまのためにがんばるドジっ娘メイド","ヒューマン","112101","12","ご奉仕","154","15","12","43"
"カスミ（マジカル）","AB","0","","自警団（カォン）","10","水瀬いのり","頭脳明晰な美少女名探偵","獣人族","112201","11","読書、推理","152","15","3","41"
"シオリ（マジカル）","A","0","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","牧場（エリザベスパーク）","11","小清水亜美","読書が趣味の病弱少女","獣人族","112301","11","読書、お散歩","153","14","3","40"
"ウヅキ（デレマス）","O","0","","ニュージェネレーションズ","100","大橋彩香","弾ける笑顔！　アイドルを夢見る女の子","ヒューマン","112401","4","友達と長話","159","17","24","45"
"リン（デレマス）","B","0","","ニュージェネレーションズ","100","福原綾香","クールビューティーな「蒼の剣士」","ヒューマン","112501","8","犬の散歩","165","15","10","44"
"ミオ（デレマス）","B","0","","ニュージェネレーションズ","100","原紗友里","スーパースターを目指す元気娘☆☆★","ヒューマン","112601","12","ショッピング","161","15","1","46"
"リン（レンジャー）","B","0","","牧場（エリザベスパーク）","11","小岩井ことり","遊びと睡眠が何より大事なぐうたら娘","獣人族","112701","1","あんパン","144","17","1","42"
"マヒル（レンジャー）","B","0","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","牧場（エリザベスパーク）","11","新田恵海","みんなを笑顔にするお笑い牧場主","ヒューマン","112801","3","漫才","142","20","3","35"
"リノ（ワンダー）","A","0","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","ラビリンス","3","阿澄佳奈","人懐っこくてマシンガントークな妹系少女","ヒューマン","112901","8","お裁縫","156","15","25","44"
"アユミ（ワンダー）","O","0","","ヴァイスフリューゲル　ランドソル支部","15","大関英里","どこまでも一途に慕う、純情乙女","エルフ","113001","4","観察","155","16","7","43"
"ルカ（サマー）","B","0","","トワイライトキャラバン","13","佐藤利奈","人情味溢れる粋でいなせな「姉御」","ヒューマン","113101","7","釣り","167","25","11","54"
"アンナ（サマー）","A","0","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","トワイライトキャラバン","13","髙野麻美","前世を信じる中二病患者、「疾風の冥姫」","魔族","113201","7","小説執筆","159","17","5","45"
"ナナカ（サマー）","O","0","","トワイライトキャラバン","13","佳村はるか","オタク全開な魔法少女","魔族","113301","8","読書、魔法","166","18","21","55"
"ハツネ（サマー）","A","0","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","フォレスティエ","6","大橋彩香","みんなのために超能力を使う眠り姫","エルフ","113401","12","妹と遊ぶこと、二度寝、昼寝、早寝","156","17","24","46"
"ミサト（サマー）","O","0","","フォレスティエ","6","國府田マリ子","母性溢れる優しいみんなの「ミサト先生」","エルフ","113501","9","絵本作り","165","21","5","54"
"ジュン（サマー）","A","0","","王宮騎士団（NIGHTMARE）","8","川澄綾子","素顔を見せない冷静沈着な女性騎士","ヒューマン","113601","10","格闘技、湯浴み","171","25","25","50"
"アカリ（エンジェル）","O","0","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","悪魔偽王国軍（ディアボロス）","7","浅倉杏美","甘え上手なみんなの人気者","魔族","113701","11","サックス","150","13","22","42"
"ヨリ（エンジェル）","O","0","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","悪魔偽王国軍（ディアボロス）","7","原紗友里","人見知りであまのじゃくな女の子","魔族","113801","11","ゲーム全般","150","13","22","40"
"ツムギ（ハロウィン）","AB","0","","カルミナ","4","木戸衣吹","ファッション大好きなキュートガール","ヒューマン","113901","9","裁縫","153","14","7","45"
"レイ（ハロウィン）","B","0","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","トゥインクルウィッシュ","2","早見沙織","クールで何事にも真っ直ぐな剣士","魔族","114001","1","読書、乗馬、お茶","163","18","12","46"
"マツリ（ハロウィン）","O","0","","王宮騎士団（NIGHTMARE）","8","下田麻美","ヒーローに憧れる騎士見習いの少女","獣人族","114101","11","ヒーローごっこ","146","12","25","40"
"モニカ（マジカル）","A","0","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","ヴァイスフリューゲル　ランドソル支部","15","辻あゆみ","見た目も中身もお子ちゃまな異国の軍人","ヒューマン","114201","7","お菓子屋通い","140","18","28","33"
"トモ（マジカル）","A","0","","王宮騎士団（NIGHTMARE）","8","茅原実里","義理堅くてからかい好きな剣術少女","ヒューマン","114301","8","剣術、年長者をからかう","149","13","11","43"
"アキノ（クリスマス）","AB","0","この私とともにいる限り、\nお金に不自由はさせませんわ！","メルクリウス財団","12","松嵜麗","一人前の商人を目指すパワフルお嬢様","ヒューマン","114401","3","慈善事業","157","18","12","45"
"サレン（クリスマス）","A","0","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","サレンディア救護院","9","堀江由衣","救護院を経営する優しい庶民派お嬢様","エルフ","114501","10","経営、お茶会","156","17","4","43"
"ユカリ（クリスマス）","A","0","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","メルクリウス財団","12","今井麻美","純情でほっとけない大人の女性","エルフ","114601","3","ウインドーショッピング","164","22","16","55"
"ムイミ（ニューイヤー）","O","0","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","？？？","","潘めぐみ","さまよえる謎の少女","ヒューマン","114701","8","冒険、思い出話","148","16","11","40"
"ネネカ（ニューイヤー）","O","0","","？？？","","井口裕香","研究所に隠れ住む物静かなお姉さん","エルフ","115001","3","物真似、芸術鑑賞","149","24","24","??"
"コッコロ（儀装束）","B","0","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","美食殿","1","伊藤美来","主を慕う、小さなガイド役","エルフ","115501","5","瞑想、動植物の飼育","140","11","11","35"
"ユイ（儀装束）","O","0","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","トゥインクルウィッシュ","2","種田梨沙","戦闘のサポートが得意な、心優しい少女","ヒューマン","115601","4","料理、人間観察","158","17","5","47"
"カスミ（サマー）","AB","0","","自警団（カォン）","10","水瀬いのり","頭脳明晰な美少女名探偵","獣人族","115701","11","読書、推理","152","15","3","41"
"リマ（シンデレラ）","A","0","私、ごく普通の、どこにでもいる女の子よ！\nみ、見た目以外はね…","牧場（エリザベスパーク）","11","徳井青空","乙女チックなもふもふアニマル","獣人族","115801","3","毛繕い、お喋り","150","18","14","100"
"マコト（シンデレラ）","O","0","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","自警団（カォン）","10","小松未可子","男勝りで情に厚いワイルド娘","獣人族","115901","8","お菓子作り","168","17","9","54"
"マホ（シンデレラ）","O","0","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","自警団（カォン）","10","内田真礼","マホマホ王国のプリンセス","獣人族","116001","9","空想、ぬいぐるみ集め","155","16","22","42"
"クロエ（聖学祭）","O","0","","聖テレサ女学院（なかよし部）","16","種﨑敦美","ダウンタウン育ちのダウナー系エルフ","エルフ","116201","8","ダーツ","154","17","7","42"
"チエル（聖学祭）","O","0","","聖テレサ女学院（なかよし部）","16","佐倉綾音","自由奔放ナチュラル無礼な現代っ子","ヒューマン","116301","9","ダンス、カラオケ","156","16","15","46"
"ユニ（聖学祭）","O","0","","聖テレサ女学院（なかよし部）","16","小原好美","書庫に眠れる小さな賢人","ヒューマン","116401","2","読書","142","18","28","36"
"イノリ（タイムトラベル）","AB","0","","ドラゴンズネスト","17","藤田茜","口が達者なヘタレドラゴン","ドラゴン族","116501","9","ゲーム","145","13","29","???"
"カヤ（タイムトラベル）","B","0","","ドラゴンズネスト","17","小市眞琴","拳で語る喧嘩屋ドラゴン少女","ドラゴン族","116601","6","格闘技","156","16","25","???"
"アオイ（作業服）","AB","0","","フォレスティエ","6","花澤香菜","「友達」に憧れる、エルフの森の女の子","エルフ","116701","6","友達作りのイメトレ","158","13","6","44"
"タマキ（作業服）","AB","0","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","メルクリウス財団","12","沼倉愛美","弱きを助け強きをくじく猫娘","獣人族","116801","3","猫とたわむれること","158","18","1","48"
"ミフユ（作業服）","O","0","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","メルクリウス財団","12","田所あずさ","仕事も私事も効率優先な傭兵少女","ヒューマン","116901","11","傭兵などのアルバイト","163","20","11","49"
"エリコ（サマー）","B","0","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","トワイライトキャラバン","13","橋本ちなみ","運命の相手に一途すぎる乙女","魔族","117001","7","実験、裁縫、料理","154","16","30","43"
"シズル（サマー）","O","0","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","ラビリンス","3","生天目仁美","お姉ちゃんがお世話してあげるからねっ！","ヒューマン","117101","10","家事全般","168","18","24","54"
"ノゾミ（サマー）","B","0","","カルミナ","4","日笠陽子","歌って踊れる大人気アイドル","ヒューマン","117201","1","舞台鑑賞、ダンス","157","17","24","40"
"チカ（サマー）","O","0","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","カルミナ","4","福原綾香","人々を守るために歌う、唱喚士の少女","ヒューマン","117301","6","各種楽器","163","17","3","46"
"ツムギ（サマー）","AB","0","","カルミナ","4","木戸衣吹","ファッション大好きなキュートガール","ヒューマン","117401","9","裁縫","153","14","7","45"
"ミツキ（オーエド）","A","0","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","トワイライトキャラバン","13","三石琴乃","実験が趣味の危険な科学者","ヒューマン","117501","3","研究、実験","166","27","7","53"
"ユキ（オーエド）","AB","0","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","ヴァイスフリューゲル　ランドソル支部","15","大空直美","ボクは誰よりも美しい","エルフ","117601","10","鏡で自分を見ること","150","14","10","40"
"カオリ（ハロウィン）","A","0","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","自警団（カォン）","10","高森奈津美","いつでも「なんくるないさ～」な天然娘","獣人族","117701","7","踊り、空手","158","19","7","53"
"ニノン（ハロウィン）","O","0","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","ヴァイスフリューゲル　ランドソル支部","15","佐藤聡美","トーゴクの神秘、オシエテクダサイ！","ヒューマン","117801","8","忍法開発","163","16","31","51"
"スズナ（ハロウィン）","O","0","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","ルーセント学院","14","上坂すみれ","天真爛漫で人気者のカリスマモデル","魔族","117901","4","ファッション","167","18","10","48"
"クレジッタ","A","0","","リッチモンド商工会","18","Lynn","忠義に目覚めた女商人","ヒューマン","118001","9","お金を数えること、悪だくみ","160","26","19","57"
"ランファ","O","0","","レイジ・レギオン","19","原田彩楓","静寂を求め歌う陰気少女","魔族","118101","12","歌、読書、詩を書くこと","165","20","28","53"
"ミソラ","A","0","","レイジ・レギオン","","鬼頭明里","明朗快活、なれど破滅に流るる溌溂少女","ヒューマン","118201","7","特に無し","159","16","2","??"
"カリン","A","0","","？？？","","洲崎綾","【ギルド管理協会】職員の親切なお姉さん","ヒューマン","118501","9","書類仕事、散歩、ボードゲーム","152","24","12","43"
"イオ（ノワール）","B","0","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","ルーセント学院","14","伊藤静","多くの男性を魅了する無垢な女教師","魔族","119001","8","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","162","23","14","52"
"クウカ（ノワール）","AB","0","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","ヴァイスフリューゲル　ランドソル支部","15","長妻樹里","妄想大好き！　ほんとは照れ屋な女の子","ヒューマン","119101","11","小説を読むこと","157","18","19","49"
"マヒル（クリスマス）","B","0","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","牧場（エリザベスパーク）","11","新田恵海","みんなを笑顔にするお笑い牧場主","ヒューマン","119201","3","漫才","142","20","3","35"
"リノ（クリスマス）","A","0","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","ラビリンス","3","阿澄佳奈","人懐っこくてマシンガントークな妹系少女","ヒューマン","119301","8","お裁縫","156","15","25","44"
"ミヤコ（クリスマス）","B","0","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","悪魔偽王国軍（ディアボロス）","7","雨宮天","プリン大好きゴースト娘","魔族","119901","1","プリンを食べること","130","14","23","32"
"シズル（ノワール）","O","0","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","ラビリンス","3","生天目仁美","お姉ちゃんがお世話してあげるからねっ！","ヒューマン","120001","10","家事全般","168","18","24","54"
"シェフィ（ニューイヤー）","B","0","","美食殿","1","近藤玲奈","記憶喪失のドラゴン娘","ドラゴン族","120701","12","読書、ストレッチ","147","14","14","???"
"ルカ（ニューイヤー）","B","0","","トワイライトキャラバン","13","佐藤利奈","人情味溢れる粋でいなせな「姉御」","ヒューマン","120801","7","釣り","167","25","11","54"
"イリヤ（ニューイヤー）","A","0","","悪魔偽王国軍（ディアボロス）","7","丹下桜","かつては夜を支配した最強の吸血鬼","魔族","120901","5","世界征服","172","??","5","50"
"ぺコリーヌ（オーバーロード）","O","0","","美食殿","1","M・A・O","いつも元気な腹ペコ少女","ヒューマン","121001","3","食べ歩き、料理","156","17","31","46"
"キャル（オーバーロード）","A","0","","美食殿","1","立花理香","行き倒れの謎のネコミミ魔法使い","獣人族","121101","9","猫と遊ぶ","152","14","2","39"
"ラビリスタ（オーバーロード）","AB","0","","ラビリンス","3","沢城みゆき","秘密結社ラビリンスの『迷宮女王』","ヒューマン","121201","7","人間観察","160","25","25","??"
"クルミ（ステージ）","B","0","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","サレンディア救護院","9","植田佳奈","泣き虫で臆病な守ってあげたい女の子","ヒューマン","121301","6","観劇、おままごと","150","12","9","40"
"ミサキ（ステージ）","A","0","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","ルーセント学院","14","久野美咲","ちょっとおませな恋に恋する女の子","魔族","121401","1","ファッション誌鑑賞、コスメ集め","120","11","3","22"
"アユミ（怪盗）","O","0","","ヴァイスフリューゲル　ランドソル支部","15","大関英里","どこまでも一途に慕う、純情乙女","エルフ","121501","4","観察","155","16","7","43"
"イノリ（怪盗）","AB","0","","ドラゴンズネスト","17","藤田茜","口が達者なヘタレドラゴン","ドラゴン族","121601","9","ゲーム","145","13","29","???"
"アンナ（パイレーツ）","A","0","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","トワイライトキャラバン","13","髙野麻美","前世を信じる中二病患者、「疾風の冥姫」","魔族","121901","7","小説執筆","159","17","5","45"
"シノブ（パイレーツ）","AB","0","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","悪魔偽王国軍（ディアボロス）","7","大坪由佳","占いが得意な霊能少女","魔族","122001","12","占い","157","18","22","42"
"アオイ（キャンプ）","AB","0","","フォレスティエ","6","花澤香菜","「友達」に憧れる、エルフの森の女の子","エルフ","122101","6","友達作りのイメトレ","158","13","6","44"
"ユカリ（キャンプ）","A","0","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","メルクリウス財団","12","今井麻美","純情でほっとけない大人の女性","エルフ","122201","3","ウインドーショッピング","164","22","16","55"
"ヴァンピィ","AB","0","","？？？","","釘宮理恵","けんぞくのご主人様","魔族","122301","?","お散歩、お料理","149","??","?","41"
"ヒヨリ（サマー）","A","0","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","トゥインクルウィッシュ","2","東山奈央","人助けが大好き！　前向き格闘娘","獣人族","122401","8","人助け、応援","155","16","27","44"
"レイ（サマー）","B","0","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","トゥインクルウィッシュ","2","早見沙織","クールで何事にも真っ直ぐな剣士","魔族","122501","1","読書、乗馬、お茶","163","18","12","46"
"ユイ（サマー）","O","0","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","トゥインクルウィッシュ","2","種田梨沙","戦闘のサポートが得意な、心優しい少女","ヒューマン","122601","4","料理、人間観察","158","17","5","47"
"キョウカ（サマー）","A","0","","リトルリリカル","5","小倉唯","礼儀正しくしっかり者のちびっ子優等生","エルフ","122701","2","お勉強","118","8","2","21"
"ミソギ（サマー）","O","0","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","リトルリリカル","5","諸星すみれ","探検好きのイタズラっ子","ヒューマン","122801","8","いたずら、探検","128","9","10","27"
"ミミ（サマー）","O","0","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","リトルリリカル","5","日高里菜","お歌もにんじんも、ウサギさんも大好き♪","獣人族","122901","4","かわいいもの集め","117","10","3","21"
"アメス","?","0","","？？？","","相坂優歌","新たな姿で騎士の冒険を支え続ける妖精","？？？","123001","?","？？？","150","??","?","???"
"マホ（エクスプローラー）","O","0","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","自警団（カォン）","10","内田真礼","マホマホ王国のプリンセス","獣人族","123101","9","空想、ぬいぐるみ集め","155","16","22","42"
"アヤネ（エクスプローラー）","B","0","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","サレンディア救護院","9","芹澤優","ぷうきちといつも一緒！","ヒューマン","123201","5","屋内でできる遊び","148","14","10","38"
"ネア","B","0","","レイジ・レギオン","19","和氣あず未","ショタ大好き♪　ギャル系スライム娘","魔族？","123301","6","可愛いショタと遊ぶ、買い物","157","19","13","55"
"ジュン（キャンプ）","A","0","","王宮騎士団（NIGHTMARE）","8","川澄綾子","素顔を見せない冷静沈着な女性騎士","ヒューマン","123401","10","格闘技、湯浴み","171","25","25","50"
"リン（ハロウィン）","B","0","","牧場（エリザベスパーク）","11","小岩井ことり","遊びと睡眠が何より大事なぐうたら娘","獣人族","123501","1","あんパン","144","17","1","42"
"トモ（ハロウィン）","A","0","","王宮騎士団（NIGHTMARE）","8","茅原実里","義理堅くてからかい好きな剣術少女","ヒューマン","123601","8","剣術、年長者をからかう","149","13","11","43"
"ナナカ（ハロウィン）","O","0","","トワイライトキャラバン","13","佳村はるか","オタク全開な魔法少女","魔族","123701","8","読書、魔法","166","18","21","55"
"クリスティーナ（ワイルド）","O","0","","王宮騎士団（NIGHTMARE）","8","たかはし智秋","傍若無人な王宮騎士団副団長","ヒューマン","123801","2","強敵との闘争","165","27","7","??"
"マツリ（ワイルド）","O","0","","王宮騎士団（NIGHTMARE）","8","下田麻美","ヒーローに憧れる騎士見習いの少女","獣人族","123901","11","ヒーローごっこ","146","12","25","40"
"アカリ（クリスマス）","O","0","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","悪魔偽王国軍（ディアボロス）","7","浅倉杏美","甘え上手なみんなの人気者","魔族","124001","11","サックス","150","13","22","42"
"ヨリ（クリスマス）","O","0","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","悪魔偽王国軍（ディアボロス）","7","原紗友里","人見知りであまのじゃくな女の子","魔族","124101","11","ゲーム全般","150","13","22","40"
"ジュン（クリスマス）","A","0","","王宮騎士団（NIGHTMARE）","8","川澄綾子","素顔を見せない冷静沈着な女性騎士","ヒューマン","124201","10","格闘技、湯浴み","171","25","25","50"
"ホマレ（ニューイヤー）","O","0","","ドラゴンズネスト","17","大西沙織","妖しい微笑で全てを見透かす臥竜の頭領","ドラゴン族","124501","4","絵画、読書","168","25","17","???"
"ミサト（ニューイヤー）","O","0","","フォレスティエ","6","國府田マリ子","母性溢れる優しいみんなの「ミサト先生」","エルフ","124601","9","絵本作り","165","21","5","54"
"ミツキ（ニューイヤー）","A","0","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","トワイライトキャラバン","13","三石琴乃","実験が趣味の危険な科学者","ヒューマン","124701","3","研究、実験","166","27","7","53"
"ノゾミ（リベレイター）","B","0","","カルミナ","4","日笠陽子","歌って踊れる大人気アイドル","ヒューマン","124801","1","舞台鑑賞、ダンス","157","17","24","40"
"カヤ（リベレイター）","B","0","","ドラゴンズネスト","17","小市眞琴","拳で語る喧嘩屋ドラゴン少女","ドラゴン族","124901","6","格闘技","156","16","25","???"
"ムイミ（リベレイター）","O","0","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","？？？","","潘めぐみ","さまよえる謎の少女","ヒューマン","125001","8","冒険、思い出話","148","16","11","40"
"タマキ（カフェ）","AB","0","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","メルクリウス財団","12","沼倉愛美","弱きを助け強きをくじく猫娘","獣人族","125101","3","猫とたわむれること","158","18","1","48"
"モニカ（カフェ）","A","0","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","ヴァイスフリューゲル　ランドソル支部","15","辻あゆみ","見た目も中身もお子ちゃまな異国の軍人","ヒューマン","125201","7","お菓子屋通い","140","18","28","33"
"コッコロ（レンジャー）","B","0","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","美食殿","1","伊藤美来","主を慕う、小さなガイド役","エルフ","125301","5","瞑想、動植物の飼育","140","11","11","35"
"シオリ（レンジャー）","A","0","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","牧場（エリザベスパーク）","11","小清水亜美","読書が趣味の病弱少女","獣人族","125401","11","読書、お散歩","153","14","3","40"
"ジータ（ウォーロック）","O","0","","？？？","","金元寿子","空への冒険を夢見る騎空士の少女","ヒューマン","125501","3","冒険、おしゃべり","156","17","10","45"
"ビカラ","AB","0","","？？？","","種﨑敦美","陰陽合わせ持つ鼠神宮の巫女","ヒューマン","125601","12","ネズ耳作り","145","14","4","39"
"カリン（アルケミスト）","A","0","","？？？","","洲崎綾","【ギルド管理協会】職員の親切なお姉さん","ヒューマン","125701","9","書類仕事、散歩、ボードゲーム","152","24","12","43"
"リリ（フォールン）","A","0","","アルターメイデン","20","鈴木みのり","贖罪を胸に強さを求める妹系大和撫子","ヒューマン","125801","4","華道、読書（古典）、トーゴク画","154","15","29","44"
"クリア（フォールン）","O","0","","アルターメイデン","20","前田佳織里","忘れ難い罪過を抱える、黒き翼の聖女","ヒューマン","126001","11","お菓子作り、花の世話、バイオリン演奏","147","13","1","42"
"プレシア（フォールン）","O","0","","アルターメイデン","20","高尾奏音","正義の魂を受け継ぐ、爆食系天然天才娘","獣人族","126101","3","ごはんをたべること","135","10","1","34"
"イリヤ（儀装束）","A","0","","悪魔偽王国軍（ディアボロス）","7","丹下桜","かつては夜を支配した最強の吸血鬼","魔族","126201","5","世界征服","172","??","5","50"
"ユキ（儀装束）","AB","0","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","ヴァイスフリューゲル　ランドソル支部","15","大空直美","ボクは誰よりも美しい","エルフ","126301","10","鏡で自分を見ること","150","14","10","40"
"クローチェ","?","0","","？？？","","長谷川育美","スマイル満タン！　パワフル機械少女","機械人族","126401","11","昼寝、誰かの役に立つこと","170","??","11","未換装時252"
"ライラエル","?","0","","？？？","","河瀬茉希","優しさと傲慢さを併せ持つプリンセス","天使族","126501","1","昼寝、新作スイーツの試食","162","??","17","??"
"ネネカ（サマー）","O","0","","？？？","","井口裕香","研究所に隠れ住む物静かなお姉さん","エルフ","126601","3","物真似、芸術鑑賞","149","24","24","??"
"アキノ（サマー）","AB","0","この私とともにいる限り、\nお金に不自由はさせませんわ！","メルクリウス財団","12","松嵜麗","一人前の商人を目指すパワフルお嬢様","ヒューマン","126701","3","慈善事業","157","18","12","45"
"ユカリ（サマー）","A","0","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","メルクリウス財団","12","今井麻美","純情でほっとけない大人の女性","エルフ","126801","3","ウインドーショッピング","164","22","16","55"
"ランファ（サマー）","O","0","","レイジ・レギオン","19","原田彩楓","静寂を求め歌う陰気少女","魔族","126901","12","歌、読書、詩を書くこと","165","20","28","53"
"クウカ（サマー）","AB","0","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","ヴァイスフリューゲル　ランドソル支部","15","長妻樹里","妄想大好き！　ほんとは照れ屋な女の子","ヒューマン","127001","11","小説を読むこと","157","18","19","49"
"シノブ（サマー）","AB","0","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","悪魔偽王国軍（ディアボロス）","7","大坪由佳","占いが得意な霊能少女","魔族","127101","12","占い","157","18","22","42"
