33bd90564e68ab701c841f69c8816b01087a8e21be295aba0b35f3ddcda18df9,e40213f338e6d08f8423d564609f36f088f3175fd2121ec68ee0d67c38d3031b,f4af796bf9e61ff566b32b0c8e273aaab8a17a2a55da8d1164a4edcb228e3d26,ee257ee2c6d560666effefaac7b9737a2b8359a7e548de5ea8840ce433335176,2b0a68feea7e7c820ac25b7af5e21a0f5f3a0ebe807834b39cca264f9d161a54,67cad1b671912634d7013509349fd4941ed66d9e253e15a3bd34a343a800b976,23bd4398d800e039e97f831da321438405b4d50f6218be69d94ad182fd82b2f7,11cd91f6369c00b532204a53400f3959c1a69fc7b5d6eb92ea4787ef5729065c,cc5a226c11a2f112a93422918853667e12983b53e5d141e079f379bef4047067,cbc31c14308c9c65bb3b3f32b17db9085d6e82a238a799afadb89d414f7e62ec,cf58c974364e553b0671be6899655a8be67cb84aff4f2769031196fae2487451
"","1","psy_fairy_talk","0.2","7","","","3","7005","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_9902","","7","","0","21","7006","0",""
"0.5","1","キュキュッ！","0","7","0","1","11","7007","6","0"
"","0","","","7","","","91","7008","",""
"","1","psy_fairy_idle","0.2","7","","","3","7009","1",""
"","119931","psy_miyako_talk3","0.2","7","","","3","7010","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0702","","7","","0","21","7011","0",""
"1","119931","うるさいの！　じゃまするななの！\nミヤコは究極のプリンを考えるのに\n忙しいの！","0","7","0","1","11","7012","6","0"
"","3","1","","7","","","93","7013","",""
"","119931","psy_miyako_arm_crossed_in","0.2","7","0","psy_miyako_arm_crossed_loop","3","7014","0","1"
"","7012","","","7","","","91","7015","",""
"","0","0","","7","","","22","7016","",""
"","1","psy_fairy_talk","0.2","7","","","3","7017","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_9903","","7","","0","21","7018","0",""
"0.5","1","キュ～キュ～！","0","7","0","1","11","7019","6","0"
"","0","","","7","","","91","7020","",""
"","1","psy_fairy_idle","0.2","7","","","3","7021","1",""
"","119931","psy_miyako_anger2","0.2","7","","","3","7022","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0704","","7","","0","21","7023","0",""
"0.5","119931","そんなこと言われても知らないの！","0","7","0","1","11","7024","6","0"
"","0","","","7","","","91","7025","",""
"","0","0","","7","","","22","7026","",""
"","119931","psy_miyako_thinking3","0.2","7","","","3","7027","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0705","","7","","0","21","7028","0",""
"0.5","119931","ん～～……\nでも、試してみるのもよさそうなの。\nミヤコはやさしいから\nオマエの言うことを聞いてやるの！","0","7","0","1","11","7029","5","0"
"","5","1","","7","","","93","7030","",""
"","119931","psy_miyako_doya_in","0.2","7","0","psy_miyako_doya_loop","3","7031","0","1"
"","7029","","","7","","","91","7032","",""
"","0","0","","7","","","22","7033","",""
"","1","","","7","","","93","7034","",""
"","0","","","7","","","91","7035","",""
"psy_miyako_start","1","119931","1.7","8","0","-300","1","8001","100","-200"
"psy_walk2","1","100411","1.7","8","1","225","1","8002","100","-210"
"psy_walk3","1","103631","1.7","8","1","480","1","8003","105","-220"
"psy_walk_glad","1","102011","1.7","8","1","340","1","8004","110","-235"
"","1","11","1","8","","0","31","8005","0","1"
"psy_smoke_start","1","1","1.7","8","0","-300","5","8006","101","-200"
"","100411","110","","8","","2","2","8007","-210","0"
"","103631","365","","8","","2.2","2","8008","-220","0"
"","102011","225","","8","","2.3","2","8009","-235","0"
"","2","","","8","","","93","8010","",""
"","100411","psy_idle_normal","0.2","8","","","3","8011","1",""
"","0.2","","","8","","","93","8012","",""
"","103631","psy_idle_normal","0.2","8","","","3","8013","1",""
"","0.1","","","8","","","93","8014","",""
"","102011","psy_talk_joy1","0.2","8","","","3","8015","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0806","","8","","0","21","8016","0",""
"0.5","102011","おにいちゃん、遊びにきたよ～\nあれ～？　お留守なのかな？","0","8","0","1","11","8017","8","0"
"","0","","","8","","","91","8018","",""
"","102011","psy_idle_joy1","0.2","8","","","3","8019","1",""
"","119931","psy_miyako_appear","0","8","0.2","psy_miyako_talk1","3","8020","0","1"
"","1","psy_smoke_appear","0","8","0","psy_smoke_start","3","8021","0","0"
"","vo_minigame_1008","vo_minigame_1008_drama_0801","","8","","0","21","8022","0",""
"0.5","119931","ん？　アイツに何か用なの？","0","8","0","1","11","8023","6","0"
"","0","","","8","","","91","8024","",""
"","0","0","","8","","","22","8025","",""
"","119931","psy_miyako_idle","0.2","8","","","3","8026","1",""
"","103631","psy_talk_surprise2","0.2","8","","","3","8027","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0807","","8","","0","21","8028","0",""
"0.5","103631","きゃ～！？　おばけ！！","0","8","0","1","11","8029","8","0"
"","0","","","8","","","91","8030","",""
"","103631","psy_idle_surprise2","0.2","8","","","3","8031","1",""
"","100411","psy_talk_joy2","0.2","8","","","3","8032","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0808","","8","","0","21","8033","0",""
"0.5","100411","すごーい！\nにいちゃんがしかけたイタズラかな？\nにいちゃん、隠れてないで出てきなよ～","0","8","0","1","11","8034","8","0"
"","0","","","8","","","91","8035","",""
"","100411","psy_idle_joy2","0.2","8","","","3","8036","1",""
"","119931","psy_miyako_panic2","0.2","8","","","3","8037","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0802","","8","","0","21","8038","0",""
"1","119931","ミヤコはイタズラじゃないの。\n幽霊なの。\nあとアイツは今はいないの。","0","8","0","1","11","8039","6","0"
"","3","1","","8","","","93","8040","",""
"","119931","psy_miyako_talk2","0.2","8","","","3","8041","1",""
"","8039","","","8","","","91","8042","",""
"","0","0","","8","","","22","8043","",""
"","119931","psy_miyako_idle","0.2","8","","","3","8044","1",""
"","100411","psy_talk_wish","0.2","8","","","3","8045","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0809","","8","","0","21","8046","0",""
"0.5","100411","いないの？\nそれなら今のうちにイタズラを……","0","8","0","1","11","8047","8","0"
"","0","","","8","","","91","8048","",""
"","100411","psy_idle_wish","0.2","8","","","3","8049","1",""
"","103631","psy_talk_anger","0.2","8","","","3","8050","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0810","","8","","0","21","8051","0",""
"0.5","103631","お店でそんなことしちゃダメでしょ！\nというか、なんでミソギは平気なの？\n幽霊が出たんだよ？","0","8","0","1","11","8052","8","0"
"","0","","","8","","","91","8053","",""
"","103631","psy_idle_anger","0.2","8","","","3","8054","1",""
"","100411","psy_talk_normal","0.2","8","","","3","8055","1",""
"","100411","0","","8","","","4","8056","",""
"","vo_minigame_1008","vo_minigame_1008_drama_0811","","8","","0","21","8057","0",""
"0.5","100411","だってにいちゃんの友だちみたいだし。\nそれに全然怖くないもん。","0","8","0","1","11","8058","8","0"
"","0","","","8","","","91","8059","",""
"","100411","1","","8","","","4","8060","",""
"","100411","psy_idle_normal","0.2","8","","","3","8061","1",""
"","102011","psy_talk_joy1","0.2","8","","","3","8062","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0812","","8","","0","21","8063","0",""
"0.5","102011","おにいちゃんが帰ってくるまで\n一緒に遊ぼ～","0","8","0","1","11","8064","8","0"
"","0","","","8","","","91","8065","",""
"","102011","psy_idle_joy1","0.2","8","","","3","8066","1",""
"","119931","psy_miyako_anger3","0.2","8","","","3","8067","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0803","","8","","0","21","8068","0",""
"0.5","119931","遊ばないの。\nミヤコはプリン作りで忙しいの！","0","8","0","1","11","8069","6","0"
"","0","","","8","","","91","8070","",""
"","0","0","","8","","","22","8071","",""
"","119931","psy_miyako_idle_anger","0.2","8","","","3","8072","1",""
"","102011","psy_talk_joy2","0.2","8","","","3","8073","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0813","","8","","0","21","8074","0",""
"0.5","102011","プリン作り？　わぁ、楽しそう～\nミミも一緒にやっていい？","0","8","0","1","11","8075","8","0"
"","0","","","8","","","91","8076","",""
"","102011","psy_idle_joy2","0.2","8","","","3","8077","1",""
"","119931","psy_miyako_doya_in","0.2","8","0","psy_miyako_doya_loop","3","8078","0","1"
"","vo_minigame_1008","vo_minigame_1008_drama_0804","","8","","0","21","8079","0",""
"0.5","119931","ミヤコの言うこと聞くなら\n手伝わせてやってもいいの。","0","8","0","1","11","8080","6","0"
"","0","","","8","","","91","8081","",""
"","0","0","","8","","","22","8082","",""
"","119931","psy_miyako_doya_idle","0.2","8","","","3","8083","1",""
"","102011","psy_jump","0.2","8","0.4","psy_idle_joy1","3","8084","0","1"
"","vo_minigame_1008","vo_minigame_1008_drama_0814","","8","","0","21","8085","0",""
"0.5","102011","わ～い！　やった～！","0","8","0","1","11","8086","8","0"
"","0","","","8","","","91","8087","",""
"","100411","psy_talk_joy2","0.2","8","","","3","8088","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0815","","8","","0","21","8089","0",""
"0.5","100411","にいちゃんにイタズラする用のプリン\n作っちゃお～！","0","8","0","1","11","8090","8","0"
"","0","","","8","","","91","8091","",""
"","100411","psy_idle_joy2","0.2","8","","","3","8092","1",""
"","103631","psy_talk_sad","0.2","8","","","3","8093","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0816","","8","","0","21","8094","0",""
"0.5","103631","そ、そんな……\n幽霊とプリン作りなんて……","0","8","0","1","11","8095","8","0"
"","0","","","8","","","91","8096","",""
"","103631","psy_idle_sad","0.2","8","","","3","8097","1",""
"","100411","psy_talk_normal","0.2","8","","","3","8098","1",""
"","100411","0","","8","","","4","8099","",""
"","102011","0","","8","","","4","8100","",""
"","vo_minigame_1008","vo_minigame_1008_drama_0817","","8","","0","21","8101","0",""
"0.5","100411","キョウカはやらないの？","0","8","0","1","11","8102","8","0"
"","0","","","8","","","91","8103","",""
"","100411","psy_idle_normal","0.2","8","","","3","8104","1",""
"","102011","psy_talk_joy2","0.2","8","","","3","8105","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0818","","8","","0","21","8106","0",""
"0.5","102011","ミミ、キョウカちゃんと一緒に\nプリン作りたいな～","0","8","0","1","11","8107","8","0"
"","0","","","8","","","91","8108","",""
"","102011","psy_idle_joy2","0.2","8","","","3","8109","1",""
"","103631","psy_talk_sad","0.2","8","","","3","8110","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0819","","8","","0","21","8111","0",""
"0.5","103631","うぅ……わかったよ、\n私も一緒に作ります。","0","8","0","1","11","8112","8","0"
"","0","","","8","","","91","8113","",""
"","103631","psy_idle_sad","0.2","8","","","3","8114","1",""
"","119931","psy_miyako_joy1","0.2","8","","","3","8115","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0805","","8","","0","21","8116","0",""
"0.5","119931","やったの！\n手下が一気に３人も増えたの！","0","8","0","1","11","8117","6","0"
"","0","","","8","","","91","8118","",""
"","0","0","","8","","","22","8119","",""
"","1","","","8","","","93","8120","",""
"","0","","","8","","","91","8121","",""
"psy_miyako_idle","1","119931","1.7","9","0","-300","1","9001","100","-200"
"psy_idle_normal","1","1","1.7","9","1","185","5","9002","100","-220"
"","1","11","1","9","","0","31","9003","0","1"
"","1","","","9","","","93","9004","",""
"","119931","psy_miyako_thinking4","0.2","9","","","3","9005","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0901","","9","","0","21","9006","0",""
"1","119931","むぅ……おいしいプリンを作るのは\nなかなか難しいの。\nミヤコのアイデアもなくなりそうなの！","0","9","0","1","11","9007","5","0"
"","6","1","","9","","","93","9008","",""
"","119931","psy_miyako_sad2","0.2","9","","","3","9009","1",""
"","9007","","","9","","","91","9010","",""
"","0","0","","9","","","22","9011","",""
"","119931","psy_miyako_talk_joy1","0.2","9","","","3","9012","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0902","","9","","0","21","9013","0",""
"0.5","119931","オマエ、たくさん知り合いいるの。\n何かプリンのヒントになるようなものを\n持ってくるの！","0","9","0","1","11","9014","6","0"
"","6","1","","9","","","93","9015","",""
"","119931","psy_miyako_guts2_in","0.2","9","0","psy_miyako_guts2_loop","3","9016","0","1"
"","9014","","","9","","","91","9017","",""
"","0","0","","9","","","22","9018","",""
"0","1","11","0","9","0","0","12","9019","1","0"
"","1","psy_talk_guts2","0.2","9","0","psy_idle_guts2","3","9020","0","1"
"","2","","","9","","","93","9021","",""
"","1","0","","9","","","4","9022","",""
"","1","psy_run","0.2","9","","","3","9023","1",""
"","1","1000","","9","","3","2","9024","-220","0"
"","4","","","9","","","93","9025","",""
"","1","1","","9","","","4","9026","",""
"","1","psy_item01_run","0.2","9","","","3","9027","1",""
"","1","185","","9","","3","2","9028","-220","0"
"","3","","","9","","","93","9029","",""
"","1","psy_item01_up","0.2","9","0","psy_item01_up_loop","3","9030","0","1"
"","0.5","","","9","","","93","9031","",""
"","手錠とムチを持ってきた。","9033","","9","","","103","9032","0",""
"","119931","psy_miyako_anger2","0.2","9","","","3","9033","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0903","","9","","0","21","9034","0",""
"0.5","119931","い、いきなり何を持ってくるの！\nオマエはヘンタイなの！？\n見損なったの！","0","9","0","1","11","9035","6","0"
"","0","","","9","","","91","9036","",""
"","0","0","","9","","","22","9037","",""
"0","1","10","0","9","0","0","12","9038","2","0"
"","1","psy_item01_up_loop_talk","0.2","9","","","3","9039","1",""
"","3","","","9","","","93","9040","",""
"","1","psy_item01_up_loop","0.2","9","","","3","9041","1",""
"","119931","psy_miyako_thinking4","0.2","9","","","3","9042","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0904","","9","","0","21","9043","0",""
"0.5","119931","…………え？\n手錠とムチを持ってる知り合いが\nいるの？\nオマエ、本当に大丈夫なの？","0","9","0","1","11","9044","5","0"
"","6","1","","9","","","93","9045","",""
"","119931","psy_miyako_talk4","0.2","9","","","3","9046","1",""
"","9044","","","9","","","91","9047","",""
"","0","0","","9","","","22","9048","",""
"","1","","","9","","","93","9049","",""
"","0","","","9","","","91","9050","",""
"psy_miyako_idle","1","119931","1.7","10","0","-300","1","10001","100","-200"
"psy_idle_normal","1","1","1.7","10","1","1000","5","10002","100","-220"
"","1","11","1","10","","0","31","10003","0","1"
"","2","","","10","","","93","10004","",""
"","1","psy_item02_run","0.2","10","","","3","10005","1",""
"","1","185","","10","","3","2","10006","-220","0"
"","3","","","10","","","93","10007","",""
"","1","psy_item02_up","0.2","10","0","psy_item02_up_loop","3","10008","0","1"
"","0.5","","","10","","","93","10009","",""
"","ヒントになりそうなものだよ。","10011","","10","","","103","10010","0",""
"","119931","psy_miyako_anger3","0.2","10","","","3","10011","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_1001","","10","","0","21","10012","0",""
"0.5","119931","また変なもの持ってきたら許さないの！\n……ん？　木の実？\nまともなもの持ってきたの！\n褒めてやるの！","0","10","0","1","11","10013","5","0"
"","4","1","","10","","","93","10014","",""
"","119931","psy_miyako_talk2","0.2","10","","","3","10015","1",""
"","2.5","1","","10","","","93","10016","",""
"","119931","psy_miyako_talk_joy1","0.2","10","","","3","10017","1",""
"","10013","","","10","","","91","10018","",""
"","0","0","","10","","","22","10019","",""
"","119931","psy_miyako_thinking1","0.2","10","","","3","10020","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_1002","","10","","0","21","10021","0",""
"0.5","119931","でもなんの実なの？\nドングリはわかるけど、\nこっちの赤い実は知らないの。","0","10","0","1","11","10022","5","0"
"","0","","","10","","","91","10023","",""
"","0","0","","10","","","22","10024","",""
"0","1","6","0","10","0","0","12","10025","3","0"
"","1","psy_item02_up_loop_talk","0.2","10","","","3","10026","1",""
"","3","","","10","","","93","10027","",""
"","1","psy_item02_up_loop","0.2","10","","","3","10028","1",""
"","119931","psy_miyako_sad1","0.2","10","","","3","10029","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_1003","","10","","0","21","10030","0",""
"0.5","119931","食べると火を吹く実？\nなんでそんな危ない物持ってきたの！\nやっぱりオマエは使えないの～！","0","10","0","1","11","10031","6","0"
"","3","1","","10","","","93","10032","",""
"","119931","psy_miyako_anger2","0.2","10","","","3","10033","1",""
"","10031","","","10","","","91","10034","",""
"","0","0","","10","","","22","10035","",""
"","1","","","10","","","93","10036","",""
"","0","","","10","","","91","10037","",""
"psy_miyako_idle","1","119931","1.7","11","0","-300","1","11001","100","-200"
"psy_idle_normal","1","1","1.7","11","1","1000","5","11002","100","-220"
"","1","11","1","11","","0","31","11003","0","1"
"","2","","","11","","","93","11004","",""
"","1","psy_item03_run","0.2","11","","","3","11005","1",""
"","1","185","","11","","3","2","11006","-220","0"
"","3","","","11","","","93","11007","",""
"","1","psy_item03_up","0.2","11","0","psy_item03_up_loop","3","11008","0","1"
"","0.5","","","11","","","93","11009","",""
"","ヒントになりそうなものだよ。","11011","","11","","","103","11010","0",""
"","119931","psy_miyako_talk3","0.2","11","","","3","11011","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_1101","","11","","0","21","11012","0",""
"1","119931","３度目の正直ってやつなの？\n今度こそまともなもの持ってこないと\nオマエをプリンにしてやるの。","0","11","0","1","11","11013","6","0"
"","4","1","","11","","","93","11014","",""
"","119931","psy_miyako_panic3","0.2","11","","","3","11015","1",""
"","11013","","","11","","","91","11016","",""
"","0","0","","11","","","22","11017","",""
"","119931","psy_miyako_thinking1","0.2","11","","","3","11018","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_1102","","11","","0","21","11019","0",""
"0.5","119931","それで、オマエが手に持ってる紙は\nなんなの？\nおいしいプリンのレシピなの？","0","11","0","1","11","11020","6","0"
"","0","","","11","","","91","11021","",""
"","0","0","","11","","","22","11022","",""
"","台本とシフト表","11024","","11","","","103","11023","0",""
"","119931","psy_miyako_talk4","0.2","11","","","3","11024","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_1103","","11","","0","21","11025","0",""
"0.5","119931","……プリン作りに\nまったく役立たないの。\nオマエに頼ったミヤコが間違ってたの。","0","11","0","1","11","11026","6","0"
"","0","","","11","","","91","11027","",""
"","0","0","","11","","","22","11028","",""
"","119931","psy_miyako_sad1","0.2","11","","","3","11029","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_1104","","11","","0","21","11030","0",""
"0.5","119931","これもオマエの知り合いに関係あるの？\nオマエの知り合いは\n変なヤツばっかりなの！","0","11","0","1","11","11031","6","0"
"","0","","","11","","","91","11032","",""
"","0","0","","11","","","22","11033","",""
"","119931","psy_miyako_talk_joy1","0.2","11","","","3","11034","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_1105","","11","","0","21","11035","0",""
"0.5","119931","でもミヤコはやさしいから、\nオマエの使えないヒントからでも\nおいしいプリンを作ってやるの！\n感謝するの！","0","11","0","1","11","11036","6","0"
"","5","1","","11","","","93","11037","",""
"","119931","psy_miyako_doya_in","0.2","11","0","psy_miyako_doya_loop","3","11038","0","1"
"","11036","","","11","","","91","11039","",""
"","0","0","","11","","","22","11040","",""
"","1.5","","","11","","","93","11041","",""
"","0","","","11","","","91","11042","",""
