16fbd4d6e8dc734373fafaadfa9b7425c3e707ff541ff8dff0fa50bcf1f3537a,06dbd23f19813447dce202f617f5cfb8cfaae63b4131b54113886313e137cde8,fc5f1760513163ca577e61c28ce70e6e62e9293a8b278e76a85d7694d64de836,31bcb55d2eb14743f6780ddab08b76c40aeab222ee1bee7a07c63978ca60ec3d,6b60da089ffff4996522cf90d93c5aaaf8aaef10ef455db4f406bc4ec8ac4af1
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005404","236"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005404","237"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005404","238"
"バトル時間制限","limit_time","バトル時間が60秒になる。","74005405","239"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005405","240"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005405","241"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005405","242"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005405","243"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005405","244"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005501","245"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005501","246"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005501","247"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005501","248"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005501","249"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005501","250"
"モンスター追加","add_shadow","ゴーレム、ウパルパが追加される。","74005502","251"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005502","252"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005502","253"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005502","254"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005502","255"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005502","256"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005502","257"
"モンスター追加","add_shadow","ミヤコ、アオイが追加される。","74005503","258"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005503","259"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005503","260"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005503","261"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005503","262"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005503","263"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005503","264"
"モンスター追加","add_shadow","ルナポッドが追加される。","74005504","265"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005504","266"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005504","267"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005504","268"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005504","269"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005504","270"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005504","271"
"バトル時間制限","limit_time","バトル時間が60秒になる。","74005505","272"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005505","273"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005505","274"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005505","275"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005505","276"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005505","277"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005505","278"
"シャドウ強化","star6_shadow","ハツネ（サマー）、サレン（サマー）、スズナ、キョウカのシャドウに専用装備が追加される。","74006102","279"
"シャドウ強化","star6_shadow","スズナ、キョウカのシャドウが★6になる。","74006103","280"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74006103","281"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74006104","282"
"物理無効バリア","27","バトル開始時、すべてのシャドウに物理無効バリアを展開する。","74006104","283"
"魔法無効バリア","28","バトル開始時、すべてのシャドウに魔法無効バリアを展開する。","74006104","284"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74006105","285"
"物理無効バリア","27","バトル開始時、すべてのシャドウに物理無効バリアを展開する。","74006105","286"
"魔法無効バリア","28","バトル開始時、すべてのシャドウに魔法無効バリアを展開する。","74006105","287"
"シャドウ強化","star6_shadow","レイ（ニューイヤー）、シズル（ノワール）、シズル、ネアのシャドウに専用装備が追加される。","74006202","288"
"シャドウ強化","star6_shadow","レイ（ニューイヤー）、シズルのシャドウが★6になる。","74006203","289"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74006203","290"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74006204","291"
"ＴＰ回復","energy_recover","バトル開始時、すべてのシャドウのＴＰを特大回復。","74006204","292"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74006205","293"
"ＴＰ回復","energy_recover","バトル開始時、すべてのシャドウのＴＰを特大回復させ、ＴＰ継続回復状態を付与する。","74006205","294"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006301","295"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006301","296"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006301","297"
"魔法ダメージカット","boss_magic_cut","バトル開始時、すべてのモンスターが魔法ダメージ30％カット状態になる。","74006302","298"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006302","299"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006302","300"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006302","301"
"魔法ダメージカット","boss_magic_cut","バトル開始時、すべてのモンスターが魔法ダメージ60％カット状態になる。","74006303","302"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006303","303"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006303","304"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006303","305"
"ボス行動パターン変化","boss_ub_enhance","ボスモンスターの行動パターンが変化する。","74006304","306"
"魔法ダメージカット","boss_magic_cut","バトル開始時、すべてのモンスターが魔法ダメージ90％カット状態になる。","74006304","307"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006304","308"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006304","309"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006304","310"
"ボス行動パターン変化","boss_ub_enhance","ボスモンスターの行動パターンが変化する。","74006305","311"
"魔法ダメージカット","boss_magic_cut","バトル開始時、すべてのモンスターが魔法ダメージ90％カット状態になる。","74006305","312"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006305","313"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006305","314"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006305","315"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006401","316"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006401","317"
"物理ダメージカット","boss_physics_cut","バトル開始時、すべてのモンスターが物理ダメージ30％カット状態になる。","74006402","318"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006402","319"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006402","320"
"物理ダメージカット","boss_physics_cut","バトル開始時、すべてのモンスターが物理ダメージ60％カット状態になる。","74006403","321"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006403","322"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006403","323"
"モンスター追加","add_shadow","ジャングルガード、マコトのシャドウ、エリコのシャドウ、スタンプが追加される。","74006404","324"
"ボス行動パターン変化","boss_ub_enhance","ボスモンスターの行動パターンが変化する。","74006404","325"
"物理ダメージカット","boss_physics_cut","バトル開始時、すべてのモンスターが物理ダメージ90％カット状態になる。","74006404","326"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006404","327"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006404","328"
"ボス行動パターン変化","boss_ub_enhance","ボスモンスターの行動パターンが変化する。","74006405","329"
"物理ダメージカット","boss_physics_cut","バトル開始時、すべてのモンスターが物理ダメージ90％カット状態になる。","74006405","330"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006405","331"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006405","332"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006405","333"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006501","334"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006501","335"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006501","336"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006501","337"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006501","338"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006501","339"
"全属性ボーナス特大アップ","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","74006502","340"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006502","341"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006502","342"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006502","343"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006502","344"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006502","345"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006502","346"
"全属性ボーナス特大アップ","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","74006503","347"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006503","348"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006503","349"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006503","350"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006503","351"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006503","352"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006503","353"
"全属性ボーナス特大アップ","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","74006504","354"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006504","355"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006504","356"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006504","357"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006504","358"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006504","359"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006504","360"
"バトル時間制限","limit_time","バトル時間が60秒になる。","74006505","361"
"全属性ボーナス特大アップ","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","74006505","362"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006505","363"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006505","364"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006505","365"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006505","366"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006505","367"
"ＴＰダウンカット","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006505","368"
