dce379ec8b0c6fdd64ab69be17158238e7591b21986593e550d531d3adc00872,d9be8f48ddd496ee7d2399b67ae196a569412e994cb221ad1722e1fa0ff42f25,14153e7a0d0afe04149b9270b7371b72ce714a6f43245f41141f9834dc83d14d,37aba501f67cf2354869f5d0e6072fcd2b601464852fead5500f2653347fdad3,0014c9c3c4fe83dee3da482b9aae2b553136ed88b636dfc956b25d2df25c0cc0,a36eafd46ef56110b1fe37df80912000b91803165a4a8a4bcbee38aacdb74edf,8cce3fb95965a5d40a5ab2d47d5f6d836512ea55e8e4fc851c6d4fd90c084721,96f751b2faddca6a976a36fe5ad12d8485cef8a0ca8b4f6afb8e2ce4bde4eea6,9a55bae501884832c3f0952a6234ba2ad2ce91003d749794224e7903824e2887,aec696fffcb3fcb425e13fe5bc21b50a2cf7106290929803fa5caf5a9f41f584,b4ff44a5d84036a6681819a5c690576df5b9c65aff268e9edae34485d9f56cbe
"204020","0.2","cgg_talk_surprise1","0","0","cgg_surprise","102811","3","204","1",""
"204021","0.2","","","1.4","4","102811","12","204","",""
"204022","","","","","0","3","93","204","",""
"204023","0.2","","","1","cgg_idle_def","102811","3","204","",""
"204024","0.2","","","1","cgg_idle_reaction3","1","3","204","",""
"204025","0.2","","","1.4","11","1","12","204","",""
"204026","","","","","0","3","93","204","",""
"204027","0.2","","","1","cgg_idle_normal","1","3","204","",""
"204028","0.2","","","1","cgg_talk_joy3_blink","102811","3","204","",""
"204029","0.2","","","1.4","10","102811","12","204","",""
"204030","","","","","0","3","93","204","",""
"204031","","","","","0","204015","101","204","",""
"204032","","","","","0.5","0","22","204","",""
"204033","0.1","1","0","1","1","1","6","204","0",""
"204034","0.1","1","0","1","1","102811","6","204","0",""
"204035","","","","","0","0.1","93","204","",""
"204036","0","","","1","cgg_idle_normal","1","3","204","",""
"204037","0","","","1","cgg_idle_def","102811","3","204","",""
"205001","160","-420","0","100","1","1","5","205","-230","cgg_idle_normal"
"205002","1.6","420","1","100","102511","1","1","205","-230","cgg_idle_def"
"205003","0.1","1","0","1","1","1","6","205","1",""
"205004","0.1","1","0","1","1","102511","6","205","1",""
"205005","","","","","0","0.2","93","205","",""
"205006","","0","","0","vo_minigame_1007_top_talk_11_017","vo_minigame_1007","21","205","",""
"205007","0","0","0","6","なんででしょう～！？\nさっきから同じグッズ\nしか出ません～！\nドジのせいですか！？","102511","11","205","0","0"
"205008","0.2","cgg_idle_surprise2","0","0","cgg_surprise2","1","3","205","1",""
"205009","0.2","cgg_talk_surprise1","0","0","cgg_surprise","102511","3","205","1",""
"205010","","","","","0","5.5","93","205","",""
"205011","0.2","cgg_idle_shock","0","0","cgg_shock","1","3","205","1",""
"205012","0.2","","0","1","cgg_talk_sad2","102511","3","205","1",""
"205013","","","","","","205007","91","205","",""
"205014","","","","","0","0.5","93","205","",""
"205015","0.2","","","1","cgg_idle_def","102511","3","205","",""
"205016","0.2","","","1","cgg_idle_reaction4","1","3","205","",""
"205017","0.2","","","1.4","2","1","12","205","",""
"205018","","","","","0","3","93","205","",""
"205019","0.2","","","1","cgg_idle_normal","1","3","205","",""
"205020","0.2","","","1","cgg_idle_tsun","102511","3","205","",""
"205021","0.2","","","1.4","5","102511","12","205","",""
"205022","","","","","0","3","93","205","",""
"205023","0.2","","","1","cgg_idle_def","102511","3","205","",""
"205024","0.2","","","1","cgg_idle_surprise_sad","1","3","205","",""
"205025","0.2","","","1.4","1","1","12","205","",""
"205026","","","","","0","3","93","205","",""
"205027","0.2","","","1","cgg_idle_normal","1","3","205","",""
"205028","0.2","","","1","cgg_talk_sad2","102511","3","205","",""
"205029","0.2","","","1.4","15","102511","12","205","",""
"205030","","","","","0","3","93","205","",""
"205031","","","","","0","205015","101","205","",""
"205032","","","","","0.5","0","22","205","",""
"205033","0.1","1","0","1","1","1","6","205","0",""
"205034","0.1","1","0","1","1","102511","6","205","0",""
"205035","","","","","0","0.1","93","205","",""
"205036","0","","","1","cgg_idle_normal","1","3","205","",""
"205037","0","","","1","cgg_idle_def","102511","3","205","",""
"206001","160","-420","0","100","1","1","5","206","-230","cgg_idle_normal"
"206002","1.6","420","1","100","110911","1","1","206","-230","cgg_idle_def"
"206003","0.1","1","0","1","1","1","6","206","1",""
"206004","0.1","1","0","1","1","110911","6","206","1",""
"206005","","","","","0","0.2","93","206","",""
"206006","","0","","0","vo_minigame_1007_top_talk_12_018","vo_minigame_1007","21","206","",""
"206007","0","0","0","6","そこそこ揃いましたね\nカルミナそこそこ侍の\n称号をあげますので\nほら、無心で回す！","110911","11","206","0","0"
"206008","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","206","1",""
"206009","0.2","","","1","cgg_talk_joy1_normal","110911","3","206","",""
"206010","","","","","0","2.3","93","206","",""
"206011","0.2","","","1","cgg_idle_surprise2","1","3","206","",""
"206012","0.2","","","1","cgg_talk_joy3_blink2","110911","3","206","",""
"206013","","","","","0","3.2","93","206","",""
"206014","0.2","cgg_idle_reaction1","0","0","cgg_talk_handsup","1","3","206","1",""
"206015","0.2","cgg_idle_guts_anger","0","0","cgg_talk_guts_anger_NoBlink","110911","3","206","1",""
"206016","","","","","","206007","91","206","",""
"206017","","","","","0","0.5","93","206","",""
"206018","0.2","","","1","cgg_idle_def","110911","3","206","",""
"206019","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","206","1",""
"206020","0.2","","","1.4","10","1","12","206","",""
"206021","","","","","0","3","93","206","",""
"206022","0.2","","","1","cgg_idle_normal","1","3","206","",""
"206023","0.2","","","1","cgg_talk_sad","110911","3","206","",""
"206024","0.2","","","1.4","5","110911","12","206","",""
"206025","","","","","0","3","93","206","",""
"206026","0.2","","","1","cgg_idle_def","110911","3","206","",""
"206027","0.2","cgg_idle_surprise2","0","0","cgg_surprise2","1","3","206","1",""
"206028","0.2","","","1.4","4","1","12","206","",""
"206029","","","","","0","3","93","206","",""
"206030","0.2","","","1","cgg_idle_normal","1","3","206","",""
"206031","0.2","cgg_idle_guts_anger","0","0","cgg_talk_guts_anger","110911","3","206","1",""
"206032","0.2","","","1.4","11","110911","12","206","",""
"206033","","","","","0","3","93","206","",""
"206034","","","","","0","206018","101","206","",""
"206035","","","","","0.5","0","22","206","",""
"206036","0.1","1","0","1","1","1","6","206","0",""
"206037","0.1","1","0","1","1","110911","6","206","0",""
"206038","","","","","0","0.1","93","206","",""
"206039","0","","","1","cgg_idle_normal","1","3","206","",""
"206040","0","","","1","cgg_idle_def","110911","3","206","",""
"301001","160","-420","0","100","1","1","5","301","-230","cgg_idle_normal"
"301002","1.6","420","1","100","105811","1","1","301","-230","cgg_idle_def"
"301003","0.1","1","0","1","1","1","6","301","1",""
"301004","0.1","1","0","1","1","105811","6","301","1",""
"301005","","","","","0","0.2","93","301","",""
"301006","","0","3","0","vo_minigame_1007_top_talk_13_019","vo_minigame_1007","21","301","",""
"301007","0","0","0","6","やばいですね☆\nオールコンプリート\nですよ♪\nパチパチパチ～☆","105811","11","301","0","0"
"301008","0.2","","","1","cgg_idle_reaction1","1","3","301","",""
"301009","0.2","cgg_talk_surprise_kira","0","0","cgg_surprise_kira","105811","3","301","1",""
"301010","","","","","0","1.7","93","301","",""
"301011","0.2","cgg_idle_nod","0","0","cgg_talk_nod","1","3","301","1",""
"301012","0.2","","","1","cgg_talk_joy1_normal","105811","3","301","",""
"301013","","","","","0","1.8","93","301","",""
"301014","0.2","cgg_idle_reaction3","0","0","cgg_joy","1","3","301","1",""
"301015","0.2","cgg_idle_def","0.2","0","cgg_handclap_def_N","105811","3","301","1",""
"301016","","","","","","301007","91","301","",""
"301017","","","","","0","0.5","93","301","",""
"301018","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","301","1",""
"301019","0.2","","","1.4","10","1","12","301","",""
"301020","","","","","0","3","93","301","",""
"301021","0.2","","","1","cgg_idle_normal","1","3","301","",""
"301022","0.2","cgg_talk_surprise_kira","0","0","cgg_surprise_kira","105811","3","301","1",""
"301023","0.2","","","1.4","7","105811","12","301","",""
"301024","","","","","0","3","93","301","",""
"301025","0.2","","","1","cgg_idle_def","105811","3","301","",""
"301026","0.2","","","1","cgg_idle_surprise3","1","3","301","",""
"301027","0.2","","","1.4","6","1","12","301","",""
"301028","","","","","0","3","93","301","",""
"301029","0.2","","","1","cgg_idle_normal","1","3","301","",""
"301030","0.1","","","1","cgg_idle_joy3","105811","3","301","",""
"301031","0.2","","","1.4","10","105811","12","301","",""
"301032","","","","","0","3","93","301","",""
"301033","0.2","","","1","cgg_idle_def","105811","3","301","",""
"301034","","","","","0","301018","101","301","",""
"301035","","","","","0.5","0","22","301","",""
"301036","0.1","1","0","1","1","1","6","301","0",""
"301037","0.1","1","0","1","1","105811","6","301","0",""
"301038","","","","","0","0.1","93","301","",""
"301039","0","","","1","cgg_idle_normal","1","3","301","",""
"301040","0","","","1","cgg_idle_def","105811","3","301","",""
"302001","160","-420","0","100","1","1","5","302","-230","cgg_idle_normal"
"302002","1.6","420","1","100","105911","1","1","302","-230","cgg_idle_def"
"302003","0.1","1","0","1","1","1","6","302","1",""
"302004","0.1","1","0","1","1","105911","6","302","1",""
"302005","","","","","0","0.2","93","302","",""
"302006","","0","","0","vo_minigame_1007_top_talk_14_020","vo_minigame_1007","21","302","",""
"302007","0","0","0","6","主さま…\n見事な収集ぶりで\nございました\nさすがでございます","105911","11","302","0","0"
"302008","0.2","","","1","cgg_idle_reaction5","1","3","302","",""
"302009","0.2","","","1","cgg_talk_joy3","105911","3","302","",""
"302010","","","","","0","4.5","93","302","",""
"302011","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","302","1",""
"302012","0.2","","","1","cgg_talk_wish","105911","3","302","",""
"302013","","","","","","302007","91","302","",""
"302014","","","","","0","0.5","93","302","",""
"302015","0.2","","","1","cgg_idle_def","105911","3","302","",""
"302016","0.2","cgg_idle_nod","0","0","cgg_talk_nod","1","3","302","1",""
"302017","0.2","","","1.4","6","1","12","302","",""
"302018","","","","","0","3","93","302","",""
"302019","0.2","","","1","cgg_idle_normal","1","3","302","",""
"302020","0.2","","","1","cgg_talk_joy3_blink","105911","3","302","",""
"302021","0.2","","","1.4","7","105911","12","302","",""
"302022","","","","","0","3","93","302","",""
"302023","0.2","","","1","cgg_idle_def","105911","3","302","",""
"302024","0.2","","","1","cgg_idle_reaction3","1","3","302","",""
"302025","0.2","","","1.4","10","1","12","302","",""
"302026","","","","","0","3","93","302","",""
"302027","0.2","","","1","cgg_idle_normal","1","3","302","",""
"302028","0.2","cgg_idle_guts","0","0","cgg_talk_guts","105911","3","302","1",""
"302029","0.2","","","1.4","11","105911","12","302","",""
"302030","","","","","0","3","93","302","",""
"302031","","","","","0","302015","101","302","",""
"302032","","","","","0.5","0","22","302","",""
"302033","0.1","1","0","1","1","1","6","302","0",""
"302034","0.1","1","0","1","1","105911","6","302","0",""
"302035","","","","","0","0.1","93","302","",""
"302036","0","","","1","cgg_idle_normal","1","3","302","",""
"302037","0","","","1","cgg_idle_def","105911","3","302","",""
"303001","160","-420","0","100","1","1","5","303","-230","cgg_idle_normal"
"303002","1.6","420","1","100","106011","1","1","303","-230","cgg_idle_def"
"303003","0.1","1","0","1","1","1","6","303","1",""
"303004","0.1","1","0","1","1","106011","6","303","1",""
"303005","","","","","0","0.2","93","303","",""
"303006","","0","","0","vo_minigame_1007_top_talk_15_021","vo_minigame_1007","21","303","",""
"303007","0","0","0","6","へぇ、全部揃えちゃう\nなんて、あんたも\n頑張ったじゃない\nま、褒めてあげるわ","106011","11","303","0","0"
"303008","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","303","1",""
"303009","0.2","cgg_talk_surprise1","0","0","cgg_surprise","106011","3","303","1",""
"303010","","","","","0","3","93","303","",""
"303011","0.2","","","1","cgg_talk_joy1_normal","106011","3","303","",""
"303012","","","","","0","2.1","93","303","",""
"303013","0.2","cgg_idle_reaction1","0","0","cgg_talk_handsup","1","3","303","1",""
"303014","0.2","cgg_idle_doya","0","0","cgg_talk_doya","106011","3","303","1",""
"303015","","","","","","303007","91","303","",""
"303016","","","","","0","0.5","93","303","",""
"303017","0.2","","","1","cgg_idle_def","106011","3","303","",""
"303018","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","303","1",""
"303019","0.2","","","1.4","6","1","12","303","",""
"303020","","","","","0","3","93","303","",""
"303021","0.2","","","1","cgg_idle_normal","1","3","303","",""
"303022","0.2","cgg_talk_surprise1","0","0","cgg_surprise","106011","3","303","1",""
"303023","0.2","","","1.4","4","106011","12","303","",""
"303024","","","","","0","3","93","303","",""
"303025","0.2","","","1","cgg_idle_def","106011","3","303","",""
"303026","0.2","cgg_idle_guts2","0","0","cgg_talk_guts2","1","3","303","1",""
"303027","0.2","","","1.4","7","1","12","303","",""
"303028","","","","","0","3","93","303","",""
"303029","0.2","","","1","cgg_idle_normal","1","3","303","",""
"303030","0.2","","","1","cgg_idle_bitter","106011","3","303","",""
"303031","0.2","","","1.4","1","106011","12","303","",""
"303032","","","","","0","3","93","303","",""
"303033","","","","","0","303017","101","303","",""
"303034","","","","","0.5","0","22","303","",""
"303035","0.1","1","0","1","1","1","6","303","0",""
"303036","0.1","1","0","1","1","106011","6","303","0",""
"303037","","","","","0","0.1","93","303","",""
"303038","0","","","1","cgg_idle_normal","1","3","303","",""
"303039","0","","","1","cgg_idle_def","106011","3","303","",""
"304001","160","-420","0","100","1","1","5","304","-230","cgg_idle_normal"
"304002","1.6","420","1","100","106411","1","1","304","-230","cgg_idle_def"
"304003","0.1","1","0","1","1","1","6","304","1",""
"304004","0.1","1","0","1","1","106411","6","304","1",""
"304005","","","","","0","0.2","93","304","",""
"304006","","0","","0","vo_minigame_1007_top_talk_16_022","vo_minigame_1007","21","304","",""
"304007","0","0","0","5","すごいわね…\n全部のグッズが\n並んでいるのを見ると\n壮観だわ","106411","11","304","0","0"
"304008","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","304","1",""
"304009","0.2","cgg_talk_surprise_dere","0","0","cgg_surprise_dere","106411","3","304","2",""
"304010","","","","","0","5.2","93","304","",""
"304011","0.2","","","1","cgg_talk_joy3","106411","3","304","",""
"304012","","","","","","304007","91","304","",""
"304013","","","","","0","0.5","93","304","",""
"304014","0.2","","","1","cgg_idle_def","106411","3","304","",""
"304015","0.2","","","1","cgg_idle_surprise3","1","3","304","",""
"304016","0.2","","","1.4","6","1","12","304","",""
"304017","","","","","0","3","93","304","",""
"304018","0.2","","","1","cgg_idle_normal","1","3","304","",""
"304019","0.2","","","1","cgg_talk_joy1","106411","3","304","",""
"304020","0.2","","","1.4","10","106411","12","304","",""
"304021","","","","","0","3","93","304","",""
"304022","0.2","","","1","cgg_idle_def","106411","3","304","",""
"304023","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","304","1",""
"304024","0.2","","","1.4","6","1","12","304","",""
"304025","","","","","0","3","93","304","",""
"304026","0.2","","","1","cgg_idle_normal","1","3","304","",""
"304027","0.2","cgg_talk_surprise_kira","0","0","cgg_surprise_kira","106411","3","304","1",""
"304028","0.2","","","1.4","7","106411","12","304","",""
"304029","","","","","0","3","93","304","",""
"304030","","","","","0","304015","101","304","",""
"304031","","","","","0.5","0","22","304","",""
"304032","0.1","1","0","1","1","1","6","304","0",""
"304033","0.1","1","0","1","1","106411","6","304","0",""
"304034","","","","","0","0.1","93","304","",""
"304035","0","","","1","cgg_idle_normal","1","3","304","",""
"304036","0","","","1","cgg_idle_def","106411","3","304","",""
"305001","160","-420","0","100","1","1","5","305","-230","cgg_idle_normal"
"305002","1.6","420","1","100","110911","1","1","305","-230","cgg_idle_def"
"305003","0.1","1","0","1","1","1","6","305","1",""
"305004","0.1","1","0","1","1","110911","6","305","1",""
"305005","","","","","0","0.2","93","305","",""
"305006","","0","","0","vo_minigame_1007_top_talk_17_023","vo_minigame_1007","21","305","",""
"305007","0","0","0","6","フルコンプおめです！\nようやく始まりますね\n先輩の果てしなく長い\nカルミナすこすこ道が","110911","11","305","0","0"
"305008","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","305","1",""
"305009","0.2","","","1","cgg_talk_joy1","110911","3","305","",""
"305010","","","","","0","1.9","93","305","",""
"305011","0.2","","","1","cgg_idle_nod","1","3","305","",""
"305012","0.2","","","1","cgg_talk_joy3_dere","110911","3","305","",""
"305013","","","","","","305007","91","305","",""
"305014","","","","","0","0.5","93","305","",""
"305015","0.2","","","1","cgg_idle_def","110911","3","305","",""
"305016","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","305","1",""
"305017","0.2","","","1.4","6","1","12","305","",""
"305018","","","","","0","3","93","305","",""
"305019","0.2","","","1","cgg_idle_normal","1","3","305","",""
"305020","0.2","","","1","cgg_talk_joy3","110911","3","305","",""
"305021","0.2","","","1.4","10","110911","12","305","",""
"305022","","","","","0","3","93","305","",""
"305023","0.2","","","1","cgg_idle_def","110911","3","305","",""
"305024","0.2","","","1","cgg_idle_reaction3","1","3","305","",""
"305025","0.2","","","1.4","10","1","12","305","",""
"305026","","","","","0","3","93","305","",""
"305027","0.2","","","1","cgg_idle_normal","1","3","305","",""
"305028","0.2","cgg_idle_arm_crossed","0","0","cgg_talk_arm_crossed","110911","3","305","1",""
"305029","0.2","","","1.4","7","110911","12","305","",""
"305030","","","","","0","3","93","305","",""
"305031","","","","","0","305015","101","305","",""
"305032","","","","","0.5","0","22","305","",""
"305033","0.1","1","0","1","1","1","6","305","0",""
"305034","0.1","1","0","1","1","110911","6","305","0",""
"305035","","","","","0","0.1","93","305","",""
"305036","0","","","1","cgg_idle_normal","1","3","305","",""
"305037","0","","","1","cgg_idle_def","110911","3","305","",""
"306001","160","-420","0","100","1","1","5","306","-230","cgg_idle_normal"
"306002","1.6","290","1","100","117211","1","1","306","-230","cgg_idle_def"
"306003","1.6","405","1","101","117311","1","1","306","-230","cgg_idle_def"
"306004","1.6","520","1","102","117411","1","1","306","-230","cgg_idle_def"
"306005","0.1","1","0","1","1","1","6","306","1",""
"306006","0.1","1","0","1","1","117211","6","306","1",""
"306007","0.1","1","0","1","1","117311","6","306","1",""
"306008","0.1","1","0","1","1","117411","6","306","1",""
"306009","","","","","0","0.2","93","306","",""
"306010","","0","","0","vo_minigame_1007_top_talk_18_024","vo_minigame_1007","21","306","",""
"306011","0","0","0","7","私たちのグッズを\n全部集めてくれて\nありがとう♪","117211","11","306","0","0"
"306012","0.2","","","1","cgg_idle_reaction1","1","3","306","",""
"306013","0.2","","","1","cgg_talk_joy1_normal","117211","3","306","",""
"306014","","","","","0","2.4","93","306","",""
"306015","0.2","cgg_idle_reaction3","0","0","cgg_joy","1","3","306","1",""
"306016","0.2","","","1","cgg_talk_surprise_nozomi","117211","3","306","",""
"306017","","","","","","306011","91","306","",""
"306018","0.2","","","1","cgg_idle_def","117211","3","306","",""
"306019","","0","","0","vo_minigame_1007_top_talk_18_025","vo_minigame_1007","21","306","",""
"306020","0","0","0","5","全部集めてしまう\nなんて、驚きました\nおめでとうございます","117311","11","306","0","0"
"306021","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","306","1",""
"306022","0.2","","","1","cgg_talk_surprise1","117311","3","306","",""
"306023","","","","","0","4.5","93","306","",""
"306024","0.2","","","1","cgg_idle_reaction5","1","3","306","",""
"306025","0.2","","","1","cgg_talk_wish","117311","3","306","",""
"306026","","","","","","306020","91","306","",""
"306027","0.2","","","1","cgg_idle_def","117311","3","306","",""
"306028","","0","","0","vo_minigame_1007_top_talk_18_026","vo_minigame_1007","21","306","",""
"306029","0","0","0","5","せっかく\n揃えたんですから\nその…大事にして\nくださいよ！","117411","11","306","0","0"
"306030","0.2","","","1","cgg_idle_surprise1","1","3","306","",""
"306031","0.2","","","1","cgg_idle_tsun","117411","3","306","",""
"306032","","","","","0","4.3","93","306","",""
"306033","0.2","cgg_idle_guts2","0","0","cgg_talk_guts2","1","3","306","1",""
"306034","0.2","","","1","cgg_talk_joy1","117411","3","306","",""
"306035","","","","","","306029","91","306","",""
"306036","","","","","0","0.5","93","306","",""
"306037","0.2","","","1","cgg_idle_def","117411","3","306","",""
"306038","0.2","","","1","cgg_idle_normal","1","3","306","",""
"306039","0.2","","","1","cgg_talk_joy1","117211","3","306","",""
"306040","0.2","","","1.4","10","117211","12","306","",""
"306041","","","","","0","3","93","306","",""
"306042","0.2","","","1","cgg_idle_def","117211","3","306","",""
"306043","0.2","","","1","cgg_talk_wish","117311","3","306","",""
"306044","0.2","","","1.4","7","117311","12","306","",""
"306045","","","","","0","3","93","306","",""
"306046","0.2","","","1","cgg_idle_def","117311","3","306","",""
"306047","0.2","cgg_idle_guts","0","0","cgg_talk_guts","117411","3","306","1",""
"306048","0.2","","","1.4","4","117411","12","306","",""
"306049","","","","","0","3","93","306","",""
"306050","0.2","","","1","cgg_idle_def","117411","3","306","",""
"306051","0.2","","","1","cgg_idle_reaction3","1","3","306","",""
"306052","0.2","","","1.4","6","1","12","306","",""
"306053","","","","","0","3","93","306","",""
"306054","","","","","0","306038","101","306","",""
"306055","","","","","0.5","0","22","306","",""
"306056","0.1","1","0","1","1","1","6","306","0",""
"306057","0.1","1","0","1","1","117211","6","306","0",""
"306058","0.1","1","0","1","1","117311","6","306","0",""
"306059","0.1","1","0","1","1","117411","6","306","0",""
"306060","","","","","0","0.1","93","306","",""
"306061","0","","","1","cgg_idle_normal","1","3","306","",""
"306062","0","","","1","cgg_idle_def","117211","3","306","",""
"306063","0","","","1","cgg_idle_def","117311","3","306","",""
"306064","0","","","1","cgg_idle_def","117411","3","306","",""
