1785cce28011b12b1da0ffff67131bcdced90597d5012b9dbb2d9565f3c20561,847063be1958de7680f52f7313ed7d67ed25fade33b1c48164b9596371b686f6,81532d4e482530be47bb33e6b9135aa34cfc21cd5e957502a2439392dc1bf140,38bf1bd87d6871c0469884ebe2372bda044c63643d6c49a7823c9fd57fb38698,60f2299646551ac8dfc6662dee5ff517b69bb2a736d3e5a838b81aa6973eee5b,1404182e41c141d353ba6ac648268a6240edf5ac4cbaf2f2c2e2dc8a451f0bba,493a99fd3eee38b4e3ab10ee4dae8c6cf349840cc0a85e018b9f16ff4cd8c8dc,df320c919cae480a8e04118124c8ec3f9c0872155bc66a18fd63f3a845a8be35,8a22bf86c106faa8139564f7941c6b987d55d9cb27d7e1c558b40553d4044883,6c830141c3648b5ea8d1feea0aefe9dffd2c5a678a91f2c2f4edef1ef3277e9d,51f961f5fa80070c8f129362dfc663619abaf97a8471d854b817c45aceb69a0f
"","0.5","3","","1","3","nyx_203_yukari_03","","12030035","203",""
"","0.5","3","","1","103431","nyx_203_yukari_03","","12030036","203",""
"","","11","","10","103431","それ～もっと飲め～\nうふふ～麦しゅわに\n不可能はないわ～♪","","12030037","203",""
"","","91","","","0","","","12030038","203",""
"","","93","","","0.1","","","12030039","203",""
"1","0.2","3","nyx_203_yukari_05","0","3","nyx_203_yukari_06","","12030040","203",""
"1","0.2","3","nyx_203_yukari_05","0","103431","nyx_203_yukari_06","","12030041","203",""
"","","93","","","0.5","","","12030042","203",""
"1","0.2","3","nyx_cmn_05","0","103231","nyx_lookup","0.2","12030043","203",""
"","","93","","","2","","","12030044","203",""
"","","12","","1","103231","1","","12030045","203",""
"","","4","","","3","1","","12030046","203",""
"","","4","","","103431","1","","12030047","203",""
"","0.2","3","","0","3","nyx_203_yukari_04","","12030048","203",""
"","0.2","3","","0","103431","nyx_203_yukari_04","","12030049","203",""
"0","","2","0.67","-10","3","-245","","12030050","203",""
"0","","2","0.67","-10","103431","-245","","12030051","203",""
"","","93","","","0.67","","","12030052","203",""
"","","93","","","0.83","","","12030053","203",""
"0","","2","0.5","-10","3","-265","","12030054","203",""
"0","","2","0.5","-10","103431","-265","","12030055","203",""
"","","93","","","0.5","","","12030056","203",""
"0","","2","0.67","-10","3","-328","","12030057","203",""
"0","","2","0.67","-10","103431","-328","","12030058","203",""
"","0.2","3","","1","103231","nyx_cmn_04","","12030059","203",""
"1","0.2","3","nyx_idle_sad","0","104831","nyx_lookup","0.2","12030060","203",""
"","","93","","","0.67","","","12030061","203",""
"0","","2","0.67","-10","3","-330","","12030062","203",""
"0","","2","0.67","-10","103431","-330","","12030063","203",""
"","","93","","","0.67","","","12030064","203",""
"1","0.2","3","nyx_203_yukari_06","0","3","nyx_203_yukari_05","","12030065","203",""
"1","0.2","3","nyx_203_yukari_06","0","103431","nyx_203_yukari_05","","12030066","203",""
"","","93","","","0.66","","","12030067","203",""
"","","12","","1","104831","12","","12030068","203",""
"","","93","","","2","","","12030069","203",""
"","","12","","1","103431","9","","12030070","203",""
"1","0.2","3","nyx_talk_sad","0","104631","nyx_lookup","0.2","12030071","203",""
"","","4","","","3","0","","12030072","203",""
"","","4","","","103431","0","","12030073","203",""
"","0.2","3","","0","3","nyx_203_yukari_04","","12030074","203",""
"","0.2","3","","0","103431","nyx_203_yukari_04","","12030075","203",""
"0","","2","0.67","-10","3","-285","","12030076","203",""
"0","","2","0.67","-10","103431","-285","","12030077","203",""
"","","93","","","0.67","","","12030078","203",""
"","","93","","","0.83","","","12030079","203",""
"0","","2","0.5","-10","3","-265","","12030080","203",""
"0","","2","0.5","-10","103431","-265","","12030081","203",""
"","","93","","","0.5","","","12030082","203",""
"0","","2","0.67","-10","3","-202","","12030083","203",""
"0","","2","0.67","-10","103431","-202","","12030084","203",""
"","","12","","1","104631","5","","12030085","203",""
"","","93","","","0.67","","","12030086","203",""
"0","","2","0.67","-10","3","-200","","12030087","203",""
"0","","2","0.67","-10","103431","-200","","12030088","203",""
"","","93","","","0.67","","","12030089","203",""
"","0.2","3","","1","3","nyx_203_yukari_05","","12030090","203",""
"","0.2","3","","1","103431","nyx_203_yukari_05","","12030091","203",""
"","","93","","","0.66","","","12030092","203",""
"","0.2","3","","1","104631","nyx_idle_sad","","12030093","203",""
"","","12","","1","103431","6","","12030094","203",""
"","","4","","","3","0","","12030095","203",""
"","","4","","","103431","0","","12030096","203",""
"","","93","","","1","","","12030097","203",""
"","","101","","","12030039","","","12030098","203",""
"28.5","1.2","1","121.8","110","1","104831","1","12040001","204","nyx_204_mifuyu_01"
"28.5","1.2","5","121.8","120","2","2","1","12040002","204","nyx_204_mifuyu_01"
"-286.1","1.2","1","-278","110","1","103431","0","12040003","204","nyx_idle_normal"
"-286.1","1.2","1","283.5","140","1","104631","1","12040004","204","nyx_idle_normal"
"-286.1","1.2","1","-413","110","1","103231","0","12040005","204","nyx_idle_normal"
"1","1","31","0","0","2","1","","12040006","204",""
"-278","1.2","5","109","130","3","3","0","12040007","204","nyx_yagura_up_harf"
"1","1","31","34","-111","14","2","","12040008","204",""
"","","25","","","bgm_M347","bgm_M347","","12040009","204",""
"","","93","","","2","","","12040010","204",""
"","0.2","3","","1","104831","nyx_204_mifuyu_01","","12040011","204",""
"","0.2","3","","1","2","nyx_204_mifuyu_01","","12040012","204",""
"","0","11","","10","104831","とうとう完成…\nしてしまったわね…","","12040013","204",""
"","","93","","","0.2","","","12040014","204",""
"1","0.2","3","nyx_204_akino_01_loop","0","104631","nyx_lookup","0.2","12040015","204",""
"","","93","","","0.5","","","12040016","204",""
"","0.2","3","","1","104831","nyx_204_mifuyu_02","","12040017","204",""
"","0.2","3","","1","2","nyx_204_mifuyu_02","","12040018","204",""
"","","91","","","12040013","","","12040019","204",""
"","0","11","","10","104831","設計段階より\n明らかに機能が\n増やされてるわ…","","12040020","204",""
"","","93","","","1.5","","","12040021","204",""
"1","0.2","3","nyx_lookup_loop","0","103431","nyx_lookup","0.2","12040022","204",""
"","","91","","","12040020","","","12040023","204",""
"","","93","","","0.2","","","12040024","204",""
"","0.2","3","","0","103231","nyx_204_akino_01","","12040025","204",""
"","","11","","10","103231","驚いたでしょう！\nこれこそが私たちの\nアイデアの結晶！","","12040026","204",""
"","","93","","","1","","","12040027","204",""
"","0.2","3","","1","103231","nyx_204_akino_02","","12040028","204",""
"","","91","","","12040026","","","12040029","204",""
"","","93","","","0.5","","","12040030","204",""
"","0","11","","10","104831","ええ、驚いたわ…\nまさかこんなにも\n好き勝手やるなんて","","12040031","204",""
"","","93","","","0.2","","","12040032","204",""
"","0.2","3","","1","104831","nyx_204_mifuyu_03","0.2","12040033","204",""
"","0.2","3","","1","2","nyx_204_mifuyu_03","0.2","12040034","204",""
"","","93","","","3","","","12040035","204",""
"","","91","","","12040031","","","12040036","204",""
"","","3","","1","104631","nyx_talk_sad","","12040037","204",""
"","","11","","10","104631","ど、どうして\n震えてるにゃ？\nミフユ…","","12040038","204",""
"","","91","","","0","","","12040039","204",""
"1","0.3","3","nyx_204_mifuyu_05","0","104831","nyx_204_mifuyu_04","0.3","12040040","204",""
"1","0.3","3","nyx_204_mifuyu_05","0","2","nyx_204_mifuyu_04","0.3","12040041","204",""
"","0","11","","10","104831","当たり前です！\nなんですかこの\n無駄だらけな機能！","","12040042","204",""
"","","93","","","0.6","","","12040043","204",""
"1","0.3","3","nyx_idle_surprise2","0","104631","cmn_shock_def_N","0.2","12040044","204",""
"1","0.3","3","nyx_idle_sad","0","103431","cmn_shock_def_N","0.2","12040045","204",""
"1","0.3","3","nyx_idle_surprise1","0","103231","cmn_shock_def_N","0.2","12040046","204",""
"","","93","","","1.5","","","12040047","204",""
"","","91","","","12040042","","","12040048","204",""
"","0","11","","10","104831","どこを見ても\n無駄ばかり…\n非効率すぎる…！","","12040049","204",""
"","","91","","","0","","","12040050","204",""
"","0.3","3","","1","103431","nyx_talk_sad","0.3","12040051","204",""
"","","11","","10","103431","お、落ち着いて\nミフユさん…\n仕方がなかったの…","","12040052","204",""
"","","91","","","0","","","12040053","204",""
"","0","11","","10","104831","こんなの\n落ち着けるわけ\nないでしょーっ！","","12040054","204",""
"","","93","","","2.7","","","12040055","204",""
"","0.3","3","","1","103431","nyx_cmn_03","0.3","12040056","204",""
"1","0.3","3","nyx_204_mifuyu_06","0","104831","nyx_204_mifuyu_07","0.3","12040057","204",""
"1","0.3","3","nyx_204_mifuyu_06","0","2","nyx_204_mifuyu_07","0.3","12040058","204",""
"","","91","","","12040052","","","12040059","204",""
"","","93","","","0.5","","","12040060","204",""
"","","4","","1","103431","0","","12040061","204",""
"","","93","","","0.5","","","12040062","204",""
"","","12","","1","103431","2","","12040063","204",""
"","","93","","","1.5","","","12040064","204",""
"","","12","","1","104631","17","","12040065","204",""
"","0.3","3","","1","104631","nyx_talk_sad","0.3","12040066","204",""
"","","93","","","1.5","","","12040067","204",""
"","","4","","1","103431","1","","12040068","204",""
"","0.3","3","","1","104631","nyx_idle_sad","0.3","12040069","204",""
"","","93","","","0.2","","","12040070","204",""
"","","12","","1","103231","7","","12040071","204",""
"1","0.3","3","cmn_pose02_def_N","0","103231","nyx_talk_joy1","0.2","12040072","204",""
"","","93","","","0.1","","","12040073","204",""
"","0.3","3","","1","103431","nyx_talk_sad","0.3","12040074","204",""
"","","93","","","2","","","12040075","204",""
"","","12","","1","104831","15","","12040076","204",""
"","","93","","","2","","","12040077","204",""
"","","101","","","12040061","1","","12040078","204",""
"-277","1.2","1","-135","110","1","111031","0","13010001","301","nyx_301_yuni_01"
"1","1","31","0","0","3","1","","13010002","301",""
"1","1","31","-195","40","17","2","","13010003","301",""
"1","0","31","-195","40","18","3","","13010004","301",""
"1","0","31","-195","40","19","4","","13010005","301",""
"","","25","","","bgm_M347","bgm_M347","","13010006","301",""
"","","93","","","2","","","13010007","301",""
"","","11","","10","111031","なかよしX…\nあれは実に\n浪漫の結晶だった…","","13010008","301",""
"","","91","","","0","1","","13010009","301",""
"","","11","","10","111031","あのイノベーション\nから得た刺激は形に\n遺しておくべきだ…","","13010010","301",""
"","","91","","","0","1","","13010011","301",""
"","","93","","","0.6","","","13010012","301",""
"","0.2","3","","1","111031","nyx_103_yuni_02","","13010013","301",""
"","","11","","10","111031","というわけで\nなかよしXの残骸を\n集めてみたわけだが","","13010014","301",""
"","","91","","","0","1","","13010015","301",""
"","0.2","3","nyx_idle_normal","0","111031","cmn_pose02_def_N","0.2","13010016","301",""
"","","11","","10","111031","これらをリペアして\n単に組み直したとて\n模造品でしかない","","13010017","301",""
"","","91","","","0","1","","13010018","301",""
"1","0.2","3","nyx_103_yuni_04","0","111031","nyx_103_yuni_03","","13010019","301",""
"","","11","","10","111031","独自の改修を施すぞ\n機体の縮小化そして\n各種機能を改良だ","","13010020","301",""
"","","91","","","0","1","","13010021","301",""
"","0.2","3","","1","111031","cmn_pose02_def_N","","13010022","301",""
"","","11","","10","111031","ふむ、すなわち\nたい焼きに麦しゅわ\nだが…","","13010023","301",""
"","","91","","","0","","","13010024","301",""
"","","93","","","0.5","","","13010025","301",""
"","0.2","3","","1","111031","nyx_301_yuni_03","","13010026","301",""
"","","11","","10","111031","いや、そもそもなぜ\nたい焼き麦しゅわが\n組み込まれていたか","","13010027","301",""
"","","91","","","0","1","","13010028","301",""
"","","11","","10","111031","…理解に苦しむな\nまずそこから考える\n必要がありそうだ","","13010029","301",""
"","","91","","","0","1","","13010030","301",""
"","0.2","3","","1","111031","nyx_301_yuni_01","","13010031","301",""
"","","11","","10","111031","なんたる難題だろう\nぼくの知的探求心が\n疼いてきたと言える","","13010032","301",""
"","","91","","","0","","","13010033","301",""
"","","93","","","2","","","13010034","301",""
"","","4","","","111031","1","","13010035","301",""
"","0.2","3","","1","111031","cmn_walk_def_N","","13010036","301",""
"","","2","1.5","-277","111031","-230","","13010037","301",""
"","","93","","","1.5","","","13010038","301",""
"1","0.2","3","nyx_idle_normal","0","111031","nyx_301_yuni_02","0.2","13010039","301",""
"","","93","","","3","","","13010040","301",""
"","","4","","","111031","0","","13010041","301",""
"","0.2","3","","1","111031","cmn_walk_def_N","","13010042","301",""
"","","2","1.5","-277","111031","-95","","13010043","301",""
"","","93","","","1.5","","","13010044","301",""
"","","12","","1","111031","12","","13010045","301",""
"1","0.2","3","nyx_idle_normal","0","111031","nyx_301_yuni_02","0.2","13010046","301",""
"","","93","","","0.4","","","13010047","301",""
"","","32","","","3","1","","13010048","301",""
"","","93","","","2.6","","","13010049","301",""
"","","4","","","111031","1","","13010050","301",""
"","0.2","3","","1","111031","cmn_walk_def_N","","13010051","301",""
"","","2","1.5","-277","111031","-230","","13010052","301",""
"","","93","","","1.5","","","13010053","301",""
"","","12","","1","111031","13","","13010054","301",""
"1","0.2","3","nyx_idle_normal","0","111031","nyx_301_yuni_02","0.2","13010055","301",""
"","","93","","","3","","","13010056","301",""
"","","4","","","111031","0","","13010057","301",""
"","0.2","3","","1","111031","cmn_walk_def_N","","13010058","301",""
"","","2","1.5","-277","111031","-95","","13010059","301",""
"","","93","","","1.5","","","13010060","301",""
"1","0.2","3","nyx_idle_normal","0","111031","nyx_301_yuni_02","0.2","13010061","301",""
"","","93","","","0.4","","","13010062","301",""
"","","32","","","4","1","","13010063","301",""
"","","93","","","2.6","","","13010064","301",""
"","","4","","","111031","1","","13010065","301",""
"","0.2","3","","1","111031","cmn_walk_def_N","","13010066","301",""
"","","2","1.5","-277","111031","-230","","13010067","301",""
"","","93","","","1.5","","","13010068","301",""
"1","0.2","3","nyx_idle_normal","0","111031","nyx_301_yuni_02","0.2","13010069","301",""
"","","93","","","3","","","13010070","301",""
"","","4","","","111031","0","","13010071","301",""
"","0.2","3","","1","111031","cmn_walk_def_N","","13010072","301",""
"","","2","4","-277","111031","165","","13010073","301",""
"","","93","","","4","","","13010074","301",""
"","","12","","1","111031","12","","13010075","301",""
"1","0.2","3","nyx_idle_normal","0","111031","nyx_301_yuni_02","0.2","13010076","301",""
"","","93","","","3","","","13010077","301",""
"","","4","","","111031","1","","13010078","301",""
"","0.2","3","","1","111031","cmn_walk_def_N","","13010079","301",""
"","","2","4","-277","111031","-230","","13010080","301",""
"","","93","","","4","","","13010081","301",""
"","","12","","1","111031","17","","13010082","301",""
"1","0.2","3","nyx_idle_normal","0","111031","cmn_pose02_def_N","0.2","13010083","301",""
"","","93","","","4","","","13010084","301",""
"","","4","","","111031","0","","13010085","301",""
"","0.2","3","","1","111031","cmn_walk_def_N","","13010086","301",""
"","","2","4","-277","111031","165","","13010087","301",""
"","","93","","","4","","","13010088","301",""
"0","0.2","3","nyx_303_yuni_01","0","111031","nyx_301_yuni_02","0.2","13010089","301",""
"","","93","","","2.4","","","13010090","301",""
"","","12","","1","111031","7","","13010091","301",""
"","","93","","","1.6","","","13010092","301",""
"","","4","","","111031","1","","13010093","301",""
"","0.2","3","","1","111031","cmn_walk_def_N","","13010094","301",""
"","","2","4","-277","111031","-230","","13010095","301",""
"","","93","","","4","","","13010096","301",""
"","","12","","1","111031","2","","13010097","301",""
"1","0.2","3","cmn_pose02_def_N","0","111031","nyx_301_yuni_02","0.2","13010098","301",""
"","","93","","","4","","","13010099","301",""
"","","101","","","13010071","","","13010100","301",""
"-277","1.2","1","4000","110","1","111031","1","13020001","302","nyx_idle_normal"
"-277","1.2","5","-200","120","2","2","1","13020002","302","NoItem"
"1","1","31","0","0","3","1","","13020003","302",""
"1","0","31","-240","-110","20","3","","13020004","302",""
"1.2","1","31","-195","40","21","4","","13020005","302",""
"","","25","","","bgm_M347","bgm_M347","","13020006","302",""
"","","93","","","2","","","13020007","302",""
"1","","3","nyx_idle_normal","0","111031","nyx_302_yuni_01","0.2","13020008","302",""
"","","2","0","-277","111031","-200","","13020009","302",""
"","","2","0","-279","2","-200","","13020010","302",""
"","","11","","10","111031","…ぷはーっ！","","13020011","302",""
"","","93","","","0","","","13020012","302",""
"","","32","","","3","1","","13020013","302",""
"","","91","","","13020011","","","13020014","302",""
"","","11","","10","111031","いかんいかん\n資材の山に埋もれて\nしまうところだった","","13020015","302",""
"","","91","","","0","","","13020016","302",""
"1","0.2","3","NoItem","0","2","nyx_302_yuni_02","","13020017","302",""
"1","0.2","3","nyx_idle_normal","0","111031","nyx_302_yuni_02","0.2","13020018","302",""
"","","11","","10","111031","だが怪我の功名、\n探していた部品を\n偶然にも発見できた","","13020019","302",""
"","","93","","","5","","","13020020","302",""
"","","4","","","111031","0","","13020021","302",""
"","0.2","3","","1","111031","nyx_cmn_03","","13020022","302",""
"","","11","","10","111031","ふむ…これは僥倖\nかくなる上は再び\n潜航してみるか…","","13020023","302",""
"","","91","","","0","","","13020024","302",""
"","0.2","3","","1","111031","nyx_301_yuni_01","","13020025","302",""
"","","11","","10","111031","存外意義あるものだ\n資材ダイビングとか\nいう新種の探索行は","","13020026","302",""
"","","91","","","0","1","","13020027","302",""
"","","11","","10","111031","まあ万一溺れたとて\n後輩たちの誰ぞが\nきっと気付くだろう","","13020028","302",""
"","","91","","","0","1","","13020029","302",""
"1","0.2","3","nyx_302_yuni_04","0","111031","nyx_302_yuni_03","","13020030","302",""
"","","11","","10","111031","是非もなし\nいざ往かん！","","13020031","302",""
"","","91","","","0","1","","13020032","302",""
"","","93","","","1.5","","","13020033","302",""
"","","11","","10","111031","む。奥に入りすぎた\nこれは…出られぬ！\n誰かー！　誰か―！","","13020034","302",""
"","","91","","","0","","","13020035","302",""
"","","93","","","6","","","13020036","302",""
"","","12","","1","111031","2","","13020037","302",""
"","","93","","","4","","","13020038","302",""
"","","12","","1","111031","4","","13020039","302",""
"","","93","","","4","","","13020040","302",""
"","","101","","","13020036","","","13020041","302",""
"-221.5","1.2","1","49","110","1","111031","1","13030001","303","nyx_303_yuni_07"
"1","1","31","0","0","4","1","","13030002","303",""
"","","25","","","bgm_M347","bgm_M347","","13030003","303",""
"","","93","","","2","","","13030004","303",""
"","","11","","10","111031","ふむ、紆余曲折は\nあったが無事完成…\nといったところか","","13030005","303",""
"","","91","","","0","","","13030006","303",""
"","0.2","3","","1","111031","nyx_303_yuni_01_noshadow","","13030007","303",""
"","","11","","10","111031","ふふふ…我ながら\n納得の出来栄え…","","13030008","303",""
"","","91","","","0","","","13030009","303",""
"","","11","","10","111031","外観の完成度も\nさることながら\n特筆すべきは機能だ","","13030010","303",""
"","","91","","","0","","","13030011","303",""
"","0.2","3","","1","111031","nyx_303_yuni_03","","13030012","303",""
"","","11","","10","111031","試しに動作試験を\nしてみるとしよう","","13030013","303",""
"","","91","","","0","","","13030014","303",""
"1","0.2","3","nyx_303_yuni_04","0","111031","nyx_303_yuni_02","0.2","13030015","303",""
"","","93","","","3","","","13030016","303",""
"","0.2","3","","1","111031","nyx_303_yuni_07","","13030017","303",""
"","","11","","10","111031","ふむ…\n表情映写の動作に\n問題はないようだ","","13030018","303",""
"","","91","","","0","","","13030019","303",""
"1","0.2","3","nyx_303_yuni_04","0","111031","nyx_303_yuni_09","0.2","13030020","303",""
"","","11","","10","111031","次はいずれの機能を\n試してみるか…","","13030021","303",""
"","","91","","","0","","","13030022","303",""
"","","93","","","0.5","","","13030023","303",""
"","","11","","10","111031","とりあえず適当な\nスイッチを…おっと\nこのボタンはいかん","","13030024","303",""
"","","93","","","1.5","","","13030025","303",""
"","0.2","3","","0","111031","nyx_303_yuni_02","","13030026","303",""
"","","93","","","1","","","13030027","303",""
"1","0.2","3","nyx_303_yuni_05","0","111031","nyx_303_yuni_06","","13030028","303",""
"","","93","","","2","","","13030029","303",""
"","","11","","10","111031","…危ない危ない\n自爆装置を起動して\nしまうところだった","","13030030","303",""
"","","93","","","0.1","","","13030031","303",""
"","0.2","3","","1","111031","nyx_303_yuni_08","","13030032","303",""
"","","91","","","13030030","","","13030033","303",""
"","","93","","","2","","","13030034","303",""
"1","0.2","3","nyx_303_yuni_04","0","111031","nyx_303_yuni_09","0.2","13030035","303",""
"","","93","","","2","","","13030036","303",""
"1","0.2","3","nyx_303_yuni_03","0","111031","nyx_303_yuni_02","0.2","13030037","303",""
"","","93","","","1.8","","","13030038","303",""
"","","12","","1","111031","6","","13030039","303",""
"","","93","","","3.2","","","13030040","303",""
"1","0.2","3","nyx_303_yuni_04","0","111031","nyx_303_yuni_09","0.2","13030041","303",""
"","","93","","","2","","","13030042","303",""
"1","0.2","3","nyx_303_yuni_08","0","111031","nyx_303_yuni_02","0.2","13030043","303",""
"","","93","","","1.8","","","13030044","303",""
"","","12","","1","111031","2","","13030045","303",""
"","","93","","","1.2","","","13030046","303",""
"","","101","","","13030034","","","13030047","303",""
