855bd0c44fd152cff55864187f6a9e90cfc0f379c115264ef1c0fc9931a4c1d5,eb5a42df406cd1ded383a4c1d4079b853732e361e6cf2eb626c3a4ecbeee6057,a1c06c79a5b53963dd00a0a262f0ba557f61f6f872dd0312b0406290bf5ae5ff,b69726f863fe534aa94360743f45049a36c370b67ae52ee34e79798d0d4239fe,21ee6a46478f9be988b33338a412f2c534e60b20c2140016b4d98d3aebe1fa8f
"物理防御力（ダウン不可）アップ","76020006","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","602000605"
"魔法防御力（ダウン不可）アップ","76020006","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","602000606"
"ＨＰ吸収ダウン","76020006","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","602000607"
"ＴＰダウンカット","76020006","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","602000608"
"バトル中継続物理攻撃力アップ","76020006","boss_atk_up","バトル開始後一定時間ごとに、すべてのモンスターの物理攻撃力をアップさせる。","602000609"
"全属性ボーナス特大アップ","76020007","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","602000701"
"危険領域","76020007","25","バトル中、「バトル中継続物理攻撃力アップ」効果が発動する。","602000702"
"ダメージ減衰","76020007","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","602000703"
"ＴＰ上昇上限付与","76020007","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","602000704"
"物理防御力（ダウン不可）アップ","76020007","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","602000705"
"魔法防御力（ダウン不可）アップ","76020007","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","602000706"
"ＨＰ吸収ダウン","76020007","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","602000707"
"ＴＰダウンカット","76020007","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","602000708"
"バトル中継続物理攻撃力アップ","76020007","boss_atk_up","バトル開始後一定時間ごとに、すべてのモンスターの物理攻撃力をアップさせる。","602000709"
"全属性ボーナス特大アップ","76020008","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","602000801"
"危険領域","76020008","25","バトル中、「バトル中継続物理攻撃力アップ」効果が発動する。","602000802"
"ダメージ減衰","76020008","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","602000803"
"ＴＰ上昇上限付与","76020008","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","602000804"
"物理防御力（ダウン不可）アップ","76020008","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","602000805"
"魔法防御力（ダウン不可）アップ","76020008","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","602000806"
"ＨＰ吸収ダウン","76020008","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","602000807"
"ＴＰダウンカット","76020008","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","602000808"
"バトル中継続物理攻撃力アップ","76020008","boss_atk_up","バトル開始後一定時間ごとに、すべてのモンスターの物理攻撃力をアップさせる。","602000809"
"全属性ボーナス特大アップ","76020009","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","602000901"
"危険領域","76020009","25","バトル中、「バトル中継続物理攻撃力アップ」効果が発動する。","602000902"
"ダメージ減衰","76020009","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","602000903"
"ＴＰ上昇上限付与","76020009","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","602000904"
"物理防御力（ダウン不可）アップ","76020009","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","602000905"
"魔法防御力（ダウン不可）アップ","76020009","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","602000906"
"ＨＰ吸収ダウン","76020009","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","602000907"
"ＴＰダウンカット","76020009","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","602000908"
"バトル中継続物理攻撃力アップ","76020009","boss_atk_up","バトル開始後一定時間ごとに、すべてのモンスターの物理攻撃力をアップさせる。","602000909"
"全属性ボーナス特大アップ","76020010","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","602001001"
"危険領域","76020010","25","バトル中、「バトル中継続物理攻撃力アップ」効果が発動する。","602001002"
"ダメージ減衰","76020010","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","602001003"
"ＴＰ上昇上限付与","76020010","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","602001004"
"物理防御力（ダウン不可）アップ","76020010","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","602001005"
"魔法防御力（ダウン不可）アップ","76020010","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","602001006"
"ＨＰ吸収ダウン","76020010","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","602001007"
"ＴＰダウンカット","76020010","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","602001008"
"バトル中継続物理攻撃力アップ","76020010","boss_atk_up","バトル開始後一定時間ごとに、すべてのモンスターの物理攻撃力をアップさせる。","602001009"
"全属性ボーナス特大アップ","76030001","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","603000101"
"ダメージ減衰","76030001","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","603000102"
"ＴＰ上昇上限付与","76030001","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","603000103"
"物理防御力（ダウン不可）アップ","76030001","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","603000104"
"魔法防御力（ダウン不可）アップ","76030001","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","603000105"
"ＴＰダウンカット","76030001","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","603000106"
"全属性ボーナス特大アップ","76030002","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","603000201"
"ダメージ減衰","76030002","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","603000202"
"ＴＰ上昇上限付与","76030002","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","603000203"
"物理防御力（ダウン不可）アップ","76030002","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","603000204"
"魔法防御力（ダウン不可）アップ","76030002","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","603000205"
"ＴＰダウンカット","76030002","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","603000206"
"全属性ボーナス特大アップ","76030003","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","603000301"
"ダメージ減衰","76030003","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","603000302"
"ＴＰ上昇上限付与","76030003","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","603000303"
"物理防御力（ダウン不可）アップ","76030003","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","603000304"
"魔法防御力（ダウン不可）アップ","76030003","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","603000305"
"ＴＰダウンカット","76030003","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","603000306"
"全属性ボーナス特大アップ","76030004","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","603000401"
"ダメージ減衰","76030004","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","603000402"
"ＴＰ上昇上限付与","76030004","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","603000403"
"物理防御力（ダウン不可）アップ","76030004","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","603000404"
"魔法防御力（ダウン不可）アップ","76030004","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","603000405"
"ＴＰダウンカット","76030004","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","603000406"
"全属性ボーナス特大アップ","76030005","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","603000501"
"ダメージ減衰","76030005","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","603000502"
"ＴＰ上昇上限付与","76030005","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","603000503"
"物理防御力（ダウン不可）アップ","76030005","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","603000504"
"魔法防御力（ダウン不可）アップ","76030005","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","603000505"
"ＴＰダウンカット","76030005","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","603000506"
"全属性ボーナス特大アップ","76030006","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","603000601"
"危険領域","76030006","25","バトル中、「バトル中継続魔法攻撃力アップ」効果が発動する。","603000602"
"ダメージ減衰","76030006","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","603000603"
"ＴＰ上昇上限付与","76030006","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","603000604"
"物理防御力（ダウン不可）アップ","76030006","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","603000605"
"魔法防御力（ダウン不可）アップ","76030006","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","603000606"
"ＴＰダウンカット","76030006","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","603000607"
"バトル中継続魔法攻撃力アップ","76030006","34","バトル開始後一定時間ごとに、すべてのモンスターの魔法攻撃力をアップさせる。","603000608"
"全属性ボーナス特大アップ","76030007","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","603000701"
"危険領域","76030007","25","バトル中、「バトル中継続魔法攻撃力アップ」効果が発動する。","603000702"
"ダメージ減衰","76030007","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","603000703"
"ＴＰ上昇上限付与","76030007","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","603000704"
"物理防御力（ダウン不可）アップ","76030007","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","603000705"
"魔法防御力（ダウン不可）アップ","76030007","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","603000706"
"ＴＰダウンカット","76030007","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","603000707"
"バトル中継続魔法攻撃力アップ","76030007","34","バトル開始後一定時間ごとに、すべてのモンスターの魔法攻撃力をアップさせる。","603000708"
"全属性ボーナス特大アップ","76030008","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","603000801"
"危険領域","76030008","25","バトル中、「バトル中継続魔法攻撃力アップ」効果が発動する。","603000802"
"ダメージ減衰","76030008","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","603000803"
"ＴＰ上昇上限付与","76030008","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","603000804"
"物理防御力（ダウン不可）アップ","76030008","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","603000805"
"魔法防御力（ダウン不可）アップ","76030008","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","603000806"
"ＴＰダウンカット","76030008","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","603000807"
"バトル中継続魔法攻撃力アップ","76030008","34","バトル開始後一定時間ごとに、すべてのモンスターの魔法攻撃力をアップさせる。","603000808"
"全属性ボーナス特大アップ","76030009","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","603000901"
"危険領域","76030009","25","バトル中、「バトル中継続魔法攻撃力アップ」効果が発動する。","603000902"
"ダメージ減衰","76030009","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","603000903"
"ＴＰ上昇上限付与","76030009","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","603000904"
"物理防御力（ダウン不可）アップ","76030009","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","603000905"
"魔法防御力（ダウン不可）アップ","76030009","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","603000906"
"ＴＰダウンカット","76030009","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","603000907"
"バトル中継続魔法攻撃力アップ","76030009","34","バトル開始後一定時間ごとに、すべてのモンスターの魔法攻撃力をアップさせる。","603000908"
"全属性ボーナス特大アップ","76030010","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","603001001"
"危険領域","76030010","25","バトル中、「バトル中継続魔法攻撃力アップ」効果が発動する。","603001002"
"ダメージ減衰","76030010","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","603001003"
"ＴＰ上昇上限付与","76030010","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","603001004"
"物理防御力（ダウン不可）アップ","76030010","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","603001005"
"魔法防御力（ダウン不可）アップ","76030010","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","603001006"
"ＴＰダウンカット","76030010","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","603001007"
"バトル中継続魔法攻撃力アップ","76030010","34","バトル開始後一定時間ごとに、すべてのモンスターの魔法攻撃力をアップさせる。","603001008"
"全属性ボーナス特大アップ","76040001","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","604000101"
"ダメージ減衰","76040001","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","604000102"
"ＴＰ上昇上限付与","76040001","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","604000103"
"物理防御力（ダウン不可）アップ","76040001","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","604000104"
"魔法防御力（ダウン不可）アップ","76040001","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","604000105"
"ＨＰ吸収ダウン","76040001","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","604000106"
"ＴＰダウンカット","76040001","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","604000107"
"全属性ボーナス特大アップ","76040002","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","604000201"
"ダメージ減衰","76040002","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","604000202"
"ＴＰ上昇上限付与","76040002","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","604000203"
"物理防御力（ダウン不可）アップ","76040002","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","604000204"
"魔法防御力（ダウン不可）アップ","76040002","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","604000205"
"ＨＰ吸収ダウン","76040002","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","604000206"
"ＴＰダウンカット","76040002","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","604000207"
"全属性ボーナス特大アップ","76040003","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","604000301"
"ダメージ減衰","76040003","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","604000302"
"ＴＰ上昇上限付与","76040003","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","604000303"
"物理防御力（ダウン不可）アップ","76040003","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","604000304"
"魔法防御力（ダウン不可）アップ","76040003","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","604000305"
"ＨＰ吸収ダウン","76040003","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","604000306"
"ＴＰダウンカット","76040003","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","604000307"
"全属性ボーナス特大アップ","76040004","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","604000401"
"ダメージ減衰","76040004","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","604000402"
"ＴＰ上昇上限付与","76040004","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","604000403"
"物理防御力（ダウン不可）アップ","76040004","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","604000404"
"魔法防御力（ダウン不可）アップ","76040004","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","604000405"
"ＨＰ吸収ダウン","76040004","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","604000406"
"ＴＰダウンカット","76040004","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","604000407"
"全属性ボーナス特大アップ","76040005","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","604000501"
"ダメージ減衰","76040005","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","604000502"
"ＴＰ上昇上限付与","76040005","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","604000503"
"物理防御力（ダウン不可）アップ","76040005","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","604000504"
"魔法防御力（ダウン不可）アップ","76040005","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","604000505"
"ＨＰ吸収ダウン","76040005","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","604000506"
"ＴＰダウンカット","76040005","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","604000507"
