dcdbe47f5c480bb0ced777c8d36b122527a8537ee16f28708741c8cf6097bd82,d17fe5a102ac4d194f6b2a795d674b1f121f69ba2501853bc8634585e46f9d5c,b6cb5bbc9f6d78a46b5071d926bd96d82fc3fa3c89f3d9f58b11df0467c56435,18ef179d3eb96683c3e170b8d7cea901e2d81fd8082489cbbfcb3cc8f2dd5f5f,c0ca4791caf81d3d6f05a68b8a611521fccbb0cb7fc76339564e399d878099ed,2755b71d36bbe934586be300cfa4d448ca2b1d0ddb7b67e277a311d9c9ca1aca,c3f559e1f46bb3e129113d1a91b64a570f179a9bfa5ac91bdc5393e2a6a59e2d,95033cbb3101c8240a4360bdbcd2074f60cb63147c5f2d244da9f199f9e5c7f0,b981720bcc877809f2ee17b4dab65e3e6cc8290f9bded6fb481960b69a8559e8,97c9f20081a544c8790e62c75e63c5a2644bafe8f23ecf7fb56b3da5167d810b,b149af2b101a73fd18ee7fa659061fb5fb59e8306f3c11b0ec0905db3aa3feb7
"","0","1350012","さんせーい！\nじゃあ、あたしは…\nうーん、うーん…！","11","","10","0","35","100131",""
"","","1350013","","91","","","","35","0",""
"03_uek_cmn_idol_def_N","5","1360001","102531","1","0","110","105","36","1","1.3"
"03_uek_cmn_idol_def_N","10","1360002","102831","1","0","100","10","36","1","1.3"
"","","1360003","","93","","","","36","1",""
"","1","1360004","03_uek_36_suzume","3","0","0","03_uek_36_suzume_loop","36","102531","0"
"","1","1360005","03_uek_36_saren","3","0","0","03_uek_36_saren_loop","36","102831","0"
"","","1360006","","91","","","","36","0",""
"","0","1360007","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？","11","","10","0","36","102531",""
"","","1360008","","91","","","","36","0",""
"","0","1360009","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね","11","","10","0","36","102831",""
"01_uek_cmn_idol_def_N","-22","1370001","112531","1","0","100","-118","37","1","1.3"
"01_uek_cmn_idol_def_N","0","1370002","112431","1","0","100","0","37","1","1.3"
"01_uek_27_tamaki_loop","0","1370003","112631","1","1","100","179","37","1","1.3"
"","0","1370004","01_uek_27_tamaki_loop","3","","0","","37","112631",""
"","","1370005","","91","","","","37","0",""
"","0","1370006","01_uek_27_tamaki_loop","3","","0","","37","112631",""
"","","1370007","","91","","","","37","0",""
"","0","1370008","01_uek_27_tamaki_loop","3","","0","","37","112631",""
"","","1370009","","91","","","","37","0",""
"","0","1370010","01_uek_cmn_pose06","3","","1","","37","112631","0.5"
"","0","1370011","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！","11","","10","0","37","112631",""
"","","1370012","","91","","","","37","0",""
"","1","1370013","01_uek_35_rei","3","","0","01_uek_35_rei_loop","37","112531",""
"","0","1370014","…トップアイドルに\nなった時の景色って\nこんな感じなのかな","11","","10","0","37","112531",""
"","","1370015","","91","","","","37","0",""
"","0","1370016","01_uek_cmn_idol_def_N","3","","1","","37","112631","0.2"
"","1","1370017","01_uek_37_uduki","3","","0","01_uek_16_uduki_loop","37","112431",""
"","0","1370018","あの星みたいに\n私たちも\n輝きたいですね！","11","","10","0","37","112431",""
"","","1370019","","91","","","","37","0",""
"","1","11010001","14","31","","0","30","101","101","1"
"","1","11110001","11","31","","0","150","111","111","1"
"","1","11120001","12","31","","0","150","112","112","1"
"","1","11130001","13","31","","0","125","113","113","1"
