882ad8dedb6c1c8a023f9fae32e9af61c1c0fdd0c043ded4b12fddc8590305b9,8385238cce2395966fc8d0466867deff82b8ebaede89d18dd29d10a508c32587,1eafb561efde59751d1e2e39bdde2539f8dbb32410d2455d35c77d9caac729b7,eb06f75a720e0d1a11ccb5d2a6352ce8c9830cadae29ee60863496479a2d7e7a,a2b7944f6896358d31a20da86e8f9328d8a4ef9da649ddacbf18105f913dc4c1,9b1e83840eb7be615653a001e2dc73588f87613df9c49f2b063a64e11fbbcc65,4f7c6b476b17fb80b3c79f1763341528fd0ad524ed0fdae45b3388d21028c2c9,825ff47ae0c2b63a000271ce47b6b4dfddb618bb957110ef7e015b2e4665bea8,a6d9ca8e990e6691e9183eee684fed8c9ad96fded38f9e8cfb7c9c9609d662b6,be444183664d6ab7df26874b009ac557eb2cd07950d4193a806f0cc48932218d,220d330c693995eb3ed162843c593aec09b4fe8d6dc7893fa82988368378d7b0,c21f85beb96485cb1a7cb7eff41df3670a7917a487ea53b7083974fc60763952,ddc24f48be34139decfc598dc1ec672b9729225ffb0d72924f8b2c9a00a46dca,9b300a217afe3cbe5f21c506aa70b521c9fe8f94b990d030bd8dac39c3107cd1,d678538f1947b8df29be7e72f7a91b6a307cab6200b044aceea6a8c8784b63c2,d79252e054f2df628f5a43b7204a293782521a6c3cae265f4000d007cdb14970
"キャル（ニューイヤー）","立花理香","0","1","152","2","39","14","112001","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","9","美食殿","獣人族","行き倒れの謎のネコミミ魔法使い","A","猫と遊ぶ"
"スズメ（ニューイヤー）","悠木碧","0","9","154","12","43","15","112101","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","12","サレンディア救護院","ヒューマン","お嬢さまのためにがんばるドジっ娘メイド","O","ご奉仕"
"カスミ（マジカル）","水瀬いのり","0","10","152","3","41","15","112201","","11","自警団（カォン）","獣人族","頭脳明晰な美少女名探偵","AB","読書、推理"
"シオリ（マジカル）","小清水亜美","0","11","153","3","40","14","112301","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","11","牧場（エリザベスパーク）","獣人族","読書が趣味の病弱少女","A","読書、お散歩"
"ウヅキ（デレマス）","大橋彩香","0","100","159","24","45","17","112401","","4","ニュージェネレーションズ","ヒューマン","弾ける笑顔！　アイドルを夢見る女の子","O","友達と長話"
"リン（デレマス）","福原綾香","0","100","165","10","44","15","112501","","8","ニュージェネレーションズ","ヒューマン","クールビューティーな「蒼の剣士」","B","犬の散歩"
"ミオ（デレマス）","原紗友里","0","100","161","1","46","15","112601","","12","ニュージェネレーションズ","ヒューマン","スーパースターを目指す元気娘☆☆★","B","ショッピング"
"リン（レンジャー）","小岩井ことり","0","11","144","1","42","17","112701","","1","牧場（エリザベスパーク）","獣人族","遊びと睡眠が何より大事なぐうたら娘","B","あんパン"
"マヒル（レンジャー）","新田恵海","0","11","142","3","35","20","112801","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","3","牧場（エリザベスパーク）","ヒューマン","みんなを笑顔にするお笑い牧場主","B","漫才"
"リノ（ワンダー）","阿澄佳奈","0","3","156","25","44","15","112901","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","8","ラビリンス","ヒューマン","人懐っこくてマシンガントークな妹系少女","A","お裁縫"
"アユミ（ワンダー）","大関英里","0","15","155","7","43","16","113001","","4","ヴァイスフリューゲル　ランドソル支部","エルフ","どこまでも一途に慕う、純情乙女","O","観察"
"ルカ（サマー）","佐藤利奈","0","13","167","11","54","25","113101","","7","トワイライトキャラバン","ヒューマン","人情味溢れる粋でいなせな「姉御」","B","釣り"
"アンナ（サマー）","髙野麻美","0","13","159","5","45","17","113201","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","7","トワイライトキャラバン","魔族","前世を信じる中二病患者、「疾風の冥姫」","A","小説執筆"
"ナナカ（サマー）","佳村はるか","0","13","166","21","55","18","113301","","8","トワイライトキャラバン","魔族","オタク全開な魔法少女","O","読書、魔法"
"ハツネ（サマー）","大橋彩香","0","6","156","24","46","17","113401","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","12","フォレスティエ","エルフ","みんなのために超能力を使う眠り姫","A","妹と遊ぶこと、二度寝、昼寝、早寝"
"ミサト（サマー）","國府田マリ子","0","6","165","5","54","21","113501","","9","フォレスティエ","エルフ","母性溢れる優しいみんなの「ミサト先生」","O","絵本作り"
"ジュン（サマー）","川澄綾子","0","8","171","25","50","25","113601","","10","王宮騎士団（NIGHTMARE）","ヒューマン","素顔を見せない冷静沈着な女性騎士","A","格闘技、湯浴み"
"アカリ（エンジェル）","浅倉杏美","0","7","150","22","42","13","113701","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","11","悪魔偽王国軍（ディアボロス）","魔族","甘え上手なみんなの人気者","O","サックス"
"ヨリ（エンジェル）","原紗友里","0","7","150","22","40","13","113801","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","11","悪魔偽王国軍（ディアボロス）","魔族","人見知りであまのじゃくな女の子","O","ゲーム全般"
"ツムギ（ハロウィン）","木戸衣吹","0","4","153","7","45","14","113901","","9","カルミナ","ヒューマン","ファッション大好きなキュートガール","AB","裁縫"
"レイ（ハロウィン）","早見沙織","0","2","163","12","46","18","114001","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","1","トゥインクルウィッシュ","魔族","クールで何事にも真っ直ぐな剣士","B","読書、乗馬、お茶"
"マツリ（ハロウィン）","下田麻美","0","8","146","25","40","12","114101","","11","王宮騎士団（NIGHTMARE）","獣人族","ヒーローに憧れる騎士見習いの少女","O","ヒーローごっこ"
"モニカ（マジカル）","辻あゆみ","0","15","140","28","33","17","114201","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","7","ヴァイスフリューゲル　ランドソル支部","ヒューマン","見た目も中身もお子ちゃまな異国の軍人","A","お菓子屋通い"
"トモ（マジカル）","茅原実里","0","8","149","11","43","13","114301","","8","王宮騎士団（NIGHTMARE）","ヒューマン","義理堅くてからかい好きな剣術少女","A","剣術、年長者をからかう"
"アキノ（クリスマス）","松嵜麗","0","12","157","12","45","18","114401","この私とともにいる限り、\nお金に不自由はさせませんわ！","3","メルクリウス財団","ヒューマン","一人前の商人を目指すパワフルお嬢様","AB","慈善事業"
"サレン（クリスマス）","堀江由衣","0","9","156","4","43","17","114501","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","10","サレンディア救護院","エルフ","救護院を経営する優しい庶民派お嬢様","A","経営、お茶会"
"ユカリ（クリスマス）","今井麻美","0","12","164","16","55","22","114601","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","3","メルクリウス財団","エルフ","純情でほっとけない大人の女性","A","ウインドーショッピング"
"ムイミ（ニューイヤー）","潘めぐみ","0","","148","11","40","16","114701","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","8","？？？","ヒューマン","さまよえる謎の少女","O","冒険、思い出話"
"ネネカ（ニューイヤー）","井口裕香","0","","149","24","??","24","115001","","3","？？？","エルフ","研究所に隠れ住む物静かなお姉さん","O","物真似、芸術鑑賞"
"コッコロ（儀装束）","伊藤美来","0","1","140","11","35","11","115501","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","5","美食殿","エルフ","主を慕う、小さなガイド役","B","瞑想、動植物の飼育"
"ユイ（儀装束）","種田梨沙","0","2","158","5","47","17","115601","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","4","トゥインクルウィッシュ","ヒューマン","戦闘のサポートが得意な、心優しい少女","O","料理、人間観察"
"カスミ（サマー）","水瀬いのり","0","10","152","3","41","15","115701","","11","自警団（カォン）","獣人族","頭脳明晰な美少女名探偵","AB","読書、推理"
"リマ（シンデレラ）","徳井青空","0","11","150","14","100","17","115801","私、ごく普通の、どこにでもいる女の子よ！\nみ、見た目以外はね…","3","牧場（エリザベスパーク）","獣人族","乙女チックなもふもふアニマル","A","毛繕い、お喋り"
"マコト（シンデレラ）","小松未可子","0","10","168","9","54","17","115901","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","8","自警団（カォン）","獣人族","男勝りで情に厚いワイルド娘","O","お菓子作り"
"マホ（シンデレラ）","内田真礼","0","10","155","22","42","16","116001","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","9","自警団（カォン）","獣人族","マホマホ王国のプリンセス","O","空想、ぬいぐるみ集め"
"クロエ（聖学祭）","種﨑敦美","0","16","154","7","42","17","116201","","8","聖テレサ女学院（なかよし部）","エルフ","ダウンタウン育ちのダウナー系エルフ","O","ダーツ"
"チエル（聖学祭）","佐倉綾音","0","16","156","15","46","16","116301","","9","聖テレサ女学院（なかよし部）","ヒューマン","自由奔放ナチュラル無礼な現代っ子","O","ダンス、カラオケ"
"ユニ（聖学祭）","小原好美","0","16","142","28","36","18","116401","","2","聖テレサ女学院（なかよし部）","ヒューマン","書庫に眠れる小さな賢人","O","読書"
"イノリ（タイムトラベル）","藤田茜","0","17","145","29","???","13","116501","","9","ドラゴンズネスト","ドラゴン族","口が達者なヘタレドラゴン","AB","ゲーム"
"カヤ（タイムトラベル）","小市眞琴","0","17","156","25","???","16","116601","","6","ドラゴンズネスト","ドラゴン族","拳で語る喧嘩屋ドラゴン少女","B","格闘技"
"アオイ（作業服）","花澤香菜","0","6","158","6","44","13","116701","","6","フォレスティエ","エルフ","「友達」に憧れる、エルフの森の女の子","AB","友達作りのイメトレ"
"タマキ（作業服）","沼倉愛美","0","12","158","1","48","19","116801","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","3","メルクリウス財団","獣人族","弱きを助け強きをくじく猫娘","AB","猫とたわむれること"
"ミフユ（作業服）","田所あずさ","0","12","163","11","49","20","116901","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","11","メルクリウス財団","ヒューマン","仕事も私事も効率優先な傭兵少女","O","傭兵などのアルバイト"
"エリコ（サマー）","橋本ちなみ","0","13","154","30","43","16","117001","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","7","トワイライトキャラバン","魔族","運命の相手に一途すぎる乙女","B","実験、裁縫、料理"
"シズル（サマー）","生天目仁美","0","3","168","24","54","18","117101","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","10","ラビリンス","ヒューマン","お姉ちゃんがお世話してあげるからねっ！","O","家事全般"
"ノゾミ（サマー）","日笠陽子","0","4","157","24","40","17","117201","","1","カルミナ","ヒューマン","歌って踊れる大人気アイドル","B","舞台鑑賞、ダンス"
"チカ（サマー）","福原綾香","0","4","163","3","46","17","117301","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","6","カルミナ","ヒューマン","人々を守るために歌う、唱喚士の少女","O","各種楽器"
"ツムギ（サマー）","木戸衣吹","0","4","153","7","45","14","117401","","9","カルミナ","ヒューマン","ファッション大好きなキュートガール","AB","裁縫"
"ミツキ（オーエド）","三石琴乃","0","13","166","7","53","27","117501","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","3","トワイライトキャラバン","ヒューマン","実験が趣味の危険な科学者","A","研究、実験"
"ユキ（オーエド）","大空直美","0","15","150","10","40","14","117601","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","10","ヴァイスフリューゲル　ランドソル支部","エルフ","ボクは誰よりも美しい","AB","鏡で自分を見ること"
"カオリ（ハロウィン）","高森奈津美","0","10","158","7","53","17","117701","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","7","自警団（カォン）","獣人族","いつでも「なんくるないさ～」な天然娘","A","踊り、空手"
"ニノン（ハロウィン）","佐藤聡美","0","15","163","31","51","16","117801","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","8","ヴァイスフリューゲル　ランドソル支部","ヒューマン","トーゴクの神秘、オシエテクダサイ！","O","忍法開発"
"スズナ（ハロウィン）","上坂すみれ","0","14","167","10","48","17","117901","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","4","ルーセント学院","魔族","天真爛漫で人気者のカリスマモデル","O","ファッション"
"クレジッタ","Lynn","0","18","160","19","57","26","118001","","9","リッチモンド商工会","ヒューマン","忠義に目覚めた女商人","A","お金を数えること、悪だくみ"
"ランファ","原田彩楓","0","19","165","28","53","20","118101","","12","レイジ・レギオン","魔族","静寂を求め歌う陰気少女","O","歌、読書、詩を書くこと"
"ミソラ","鬼頭明里","0","19","159","2","??","16","118201","","7","レイジ・レギオン","ヒューマン","明朗快活、なれど破滅に流るる溌溂少女","A","特に無し"
"カリン","洲崎綾","0","","152","12","43","24","118501","","9","？？？","ヒューマン","【ギルド管理協会】職員の親切なお姉さん","A","書類仕事、散歩、ボードゲーム"
"ネビア","相坂優歌","0","","???","?","???","??","118601","","?","？？？","？？？","幻霧に戯れる悪戯好きなガイド妖精","?","悪戯をすること"
"イオ（ノワール）","伊藤静","0","14","162","14","52","23","119001","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","8","ルーセント学院","魔族","多くの男性を魅了する無垢な女教師","B","恋愛小説、恋愛舞台、恋愛漫画の鑑賞"
"クウカ（ノワール）","長妻樹里","0","15","157","19","49","18","119101","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","11","ヴァイスフリューゲル　ランドソル支部","ヒューマン","妄想大好き！　ほんとは照れ屋な女の子","AB","小説を読むこと"
"マヒル（クリスマス）","新田恵海","0","11","142","3","35","20","119201","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","3","牧場（エリザベスパーク）","ヒューマン","みんなを笑顔にするお笑い牧場主","B","漫才"
"リノ（クリスマス）","阿澄佳奈","0","3","156","25","44","15","119301","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","8","ラビリンス","ヒューマン","人懐っこくてマシンガントークな妹系少女","A","お裁縫"
"ミヤコ（クリスマス）","雨宮天","0","7","130","23","32","14","119901","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","1","悪魔偽王国軍（ディアボロス）","魔族","プリン大好きゴースト娘","B","プリンを食べること"
"シズル（ノワール）","生天目仁美","0","3","168","24","54","18","120001","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","10","ラビリンス","ヒューマン","お姉ちゃんがお世話してあげるからねっ！","O","家事全般"
"シェフィ（ニューイヤー）","近藤玲奈","0","1","147","14","???","14","120701","","12","美食殿","ドラゴン族","記憶喪失のドラゴン娘","B","読書、ストレッチ"
"ルカ（ニューイヤー）","佐藤利奈","0","13","167","11","54","25","120801","","7","トワイライトキャラバン","ヒューマン","人情味溢れる粋でいなせな「姉御」","B","釣り"
"イリヤ（ニューイヤー）","丹下桜","0","7","172","5","50","??","120901","","5","悪魔偽王国軍（ディアボロス）","魔族","かつては夜を支配した最強の吸血鬼","A","世界征服"
"ぺコリーヌ（オーバーロード）","M・A・O","0","1","156","31","46","17","121001","","3","美食殿","ヒューマン","いつも元気な腹ペコ少女","O","食べ歩き、料理"
"キャル（オーバーロード）","立花理香","0","1","152","2","39","14","121101","","9","美食殿","獣人族","行き倒れの謎のネコミミ魔法使い","A","猫と遊ぶ"
"ラビリスタ（オーバーロード）","沢城みゆき","0","3","160","25","??","25","121201","","7","ラビリンス","ヒューマン","秘密結社ラビリンスの『迷宮女王』","AB","人間観察"
"クルミ（ステージ）","植田佳奈","0","9","150","9","40","12","121301","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","6","サレンディア救護院","ヒューマン","泣き虫で臆病な守ってあげたい女の子","B","観劇、おままごと"
"ミサキ（ステージ）","久野美咲","0","14","120","3","22","11","121401","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","1","ルーセント学院","魔族","ちょっとおませな恋に恋する女の子","A","ファッション誌鑑賞、コスメ集め"
"アユミ（怪盗）","大関英里","0","15","155","7","43","16","121501","","4","ヴァイスフリューゲル　ランドソル支部","エルフ","どこまでも一途に慕う、純情乙女","O","観察"
"イノリ（怪盗）","藤田茜","0","17","145","29","???","13","121601","","9","ドラゴンズネスト","ドラゴン族","口が達者なヘタレドラゴン","AB","ゲーム"
"アンナ（パイレーツ）","髙野麻美","0","13","159","5","45","17","121901","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","7","トワイライトキャラバン","魔族","前世を信じる中二病患者、「疾風の冥姫」","A","小説執筆"
"シノブ（パイレーツ）","大坪由佳","0","7","157","22","42","18","122001","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","12","悪魔偽王国軍（ディアボロス）","魔族","占いが得意な霊能少女","AB","占い"
"アオイ（キャンプ）","花澤香菜","0","6","158","6","44","13","122101","","6","フォレスティエ","エルフ","「友達」に憧れる、エルフの森の女の子","AB","友達作りのイメトレ"
"ユカリ（キャンプ）","今井麻美","0","12","164","16","55","22","122201","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","3","メルクリウス財団","エルフ","純情でほっとけない大人の女性","A","ウインドーショッピング"
"ヴァンピィ","釘宮理恵","0","","149","6","41","??","122301","","12","？？？","魔族","けんぞくのご主人様","AB","お散歩、お料理"
"ヒヨリ（サマー）","東山奈央","0","2","155","27","44","16","122401","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","8","トゥインクルウィッシュ","獣人族","人助けが大好き！　前向き格闘娘","A","人助け、応援"
"レイ（サマー）","早見沙織","0","2","163","12","46","18","122501","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","1","トゥインクルウィッシュ","魔族","クールで何事にも真っ直ぐな剣士","B","読書、乗馬、お茶"
"ユイ（サマー）","種田梨沙","0","2","158","5","47","17","122601","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","4","トゥインクルウィッシュ","ヒューマン","戦闘のサポートが得意な、心優しい少女","O","料理、人間観察"
"キョウカ（サマー）","小倉唯","0","5","118","2","21","8","122701","","2","リトルリリカル","エルフ","礼儀正しくしっかり者のちびっ子優等生","A","お勉強"
"ミソギ（サマー）","諸星すみれ","0","5","128","10","27","9","122801","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","8","リトルリリカル","ヒューマン","探検好きのイタズラっ子","O","いたずら、探検"
"ミミ（サマー）","日高里菜","0","5","117","3","21","10","122901","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","4","リトルリリカル","獣人族","お歌もにんじんも、ウサギさんも大好き♪","O","かわいいもの集め"
"アメス","相坂優歌","0","","150","?","???","??","123001","","?","？？？","？？？","新たな姿で騎士の冒険を支え続ける妖精","?","？？？"
"マホ（エクスプローラー）","内田真礼","0","10","155","22","42","16","123101","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","9","自警団（カォン）","獣人族","マホマホ王国のプリンセス","O","空想、ぬいぐるみ集め"
"アヤネ（エクスプローラー）","芹澤優","0","9","148","10","38","14","123201","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","5","サレンディア救護院","ヒューマン","ぷうきちといつも一緒！","B","屋内でできる遊び"
"ネア","和氣あず未","0","19","157","13","55","19","123301","","6","レイジ・レギオン","魔族？","ショタ大好き♪　ギャル系スライム娘","B","可愛いショタと遊ぶ、買い物"
"ジュン（キャンプ）","川澄綾子","0","8","171","25","50","25","123401","","10","王宮騎士団（NIGHTMARE）","ヒューマン","素顔を見せない冷静沈着な女性騎士","A","格闘技、湯浴み"
"リン（ハロウィン）","小岩井ことり","0","11","144","1","42","17","123501","","1","牧場（エリザベスパーク）","獣人族","遊びと睡眠が何より大事なぐうたら娘","B","あんパン"
"トモ（ハロウィン）","茅原実里","0","8","149","11","43","13","123601","","8","王宮騎士団（NIGHTMARE）","ヒューマン","義理堅くてからかい好きな剣術少女","A","剣術、年長者をからかう"
"ナナカ（ハロウィン）","佳村はるか","0","13","166","21","55","18","123701","","8","トワイライトキャラバン","魔族","オタク全開な魔法少女","O","読書、魔法"
"クリスティーナ（ワイルド）","たかはし智秋","0","8","165","7","??","27","123801","","2","王宮騎士団（NIGHTMARE）","ヒューマン","傍若無人な王宮騎士団副団長","O","強敵との闘争"
"マツリ（ワイルド）","下田麻美","0","8","146","25","40","12","123901","","11","王宮騎士団（NIGHTMARE）","獣人族","ヒーローに憧れる騎士見習いの少女","O","ヒーローごっこ"
"アカリ（クリスマス）","浅倉杏美","0","7","150","22","42","13","124001","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","11","悪魔偽王国軍（ディアボロス）","魔族","甘え上手なみんなの人気者","O","サックス"
"ヨリ（クリスマス）","原紗友里","0","7","150","22","40","13","124101","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","11","悪魔偽王国軍（ディアボロス）","魔族","人見知りであまのじゃくな女の子","O","ゲーム全般"
"ジュン（クリスマス）","川澄綾子","0","8","171","25","50","25","124201","","10","王宮騎士団（NIGHTMARE）","ヒューマン","素顔を見せない冷静沈着な女性騎士","A","格闘技、湯浴み"
"ホマレ（ニューイヤー）","大西沙織","0","17","168","17","???","25","124501","","4","ドラゴンズネスト","ドラゴン族","妖しい微笑で全てを見透かす臥竜の頭領","O","絵画、読書"
"ミサト（ニューイヤー）","國府田マリ子","0","6","165","5","54","21","124601","","9","フォレスティエ","エルフ","母性溢れる優しいみんなの「ミサト先生」","O","絵本作り"
"ミツキ（ニューイヤー）","三石琴乃","0","13","166","7","53","27","124701","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","3","トワイライトキャラバン","ヒューマン","実験が趣味の危険な科学者","A","研究、実験"
"ノゾミ（リベレイター）","日笠陽子","0","4","157","24","40","17","124801","","1","カルミナ","ヒューマン","歌って踊れる大人気アイドル","B","舞台鑑賞、ダンス"
"カヤ（リベレイター）","小市眞琴","0","17","156","25","???","16","124901","","6","ドラゴンズネスト","ドラゴン族","拳で語る喧嘩屋ドラゴン少女","B","格闘技"
"ムイミ（リベレイター）","潘めぐみ","0","","148","11","40","16","125001","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","8","？？？","ヒューマン","さまよえる謎の少女","O","冒険、思い出話"
"タマキ（カフェ）","沼倉愛美","0","12","158","1","48","19","125101","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","3","メルクリウス財団","獣人族","弱きを助け強きをくじく猫娘","AB","猫とたわむれること"
"モニカ（カフェ）","辻あゆみ","0","15","140","28","33","17","125201","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","7","ヴァイスフリューゲル　ランドソル支部","ヒューマン","見た目も中身もお子ちゃまな異国の軍人","A","お菓子屋通い"
"コッコロ（レンジャー）","伊藤美来","0","1","140","11","35","11","125301","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","5","美食殿","エルフ","主を慕う、小さなガイド役","B","瞑想、動植物の飼育"
"シオリ（レンジャー）","小清水亜美","0","11","153","3","40","14","125401","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","11","牧場（エリザベスパーク）","獣人族","読書が趣味の病弱少女","A","読書、お散歩"
"ジータ（ウォーロック）","金元寿子","0","","156","10","45","17","125501","","3","？？？","ヒューマン","空への冒険を夢見る騎空士の少女","O","冒険、おしゃべり"
"ビカラ","種﨑敦美","0","","145","4","39","14","125601","","12","？？？","ヒューマン","陰陽合わせ持つ鼠神宮の巫女","AB","ネズ耳作り"
"カリン（アルケミスト）","洲崎綾","0","","152","12","43","24","125701","","9","？？？","ヒューマン","【ギルド管理協会】職員の親切なお姉さん","A","書類仕事、散歩、ボードゲーム"
"リリ（フォールン）","鈴木みのり","0","20","154","29","44","15","125801","","4","アルターメイデン","ヒューマン","贖罪を胸に強さを求める妹系大和撫子","A","華道、読書（古典）、トーゴク画"
"クリア（フォールン）","前田佳織里","0","20","147","1","42","13","126001","","11","アルターメイデン","ヒューマン","忘れ難い罪過を抱える、黒き翼の聖女","O","お菓子作り、花の世話、バイオリン演奏"
"プレシア（フォールン）","高尾奏音","0","20","135","1","34","10","126101","","3","アルターメイデン","獣人族","正義の魂を受け継ぐ、爆食系天然天才娘","O","ごはんをたべること"
"イリヤ（儀装束）","丹下桜","0","7","172","5","50","??","126201","","5","悪魔偽王国軍（ディアボロス）","魔族","かつては夜を支配した最強の吸血鬼","A","世界征服"
"ユキ（儀装束）","大空直美","0","15","150","10","40","14","126301","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","10","ヴァイスフリューゲル　ランドソル支部","エルフ","ボクは誰よりも美しい","AB","鏡で自分を見ること"
"クローチェ","長谷川育美","0","","170","11","全重量252","??","126401","","11","？？？","機械人族","スマイル満タン！　パワフル機械少女","?","昼寝、誰かの役に立つこと"
"ライラエル","河瀬茉希","0","","162","17","??","??","126501","","1","？？？","天使族","優しさと傲慢さを併せ持つプリンセス","?","昼寝、新作スイーツの試食"
"ネネカ（サマー）","井口裕香","0","","149","24","??","24","126601","","3","？？？","エルフ","研究所に隠れ住む物静かなお姉さん","O","物真似、芸術鑑賞"
"アキノ（サマー）","松嵜麗","0","12","157","12","45","18","126701","この私とともにいる限り、\nお金に不自由はさせませんわ！","3","メルクリウス財団","ヒューマン","一人前の商人を目指すパワフルお嬢様","AB","慈善事業"
"ユカリ（サマー）","今井麻美","0","12","164","16","55","22","126801","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","3","メルクリウス財団","エルフ","純情でほっとけない大人の女性","A","ウインドーショッピング"
"ランファ（サマー）","原田彩楓","0","19","165","28","53","20","126901","","12","レイジ・レギオン","魔族","静寂を求め歌う陰気少女","O","歌、読書、詩を書くこと"
