b6fce50b4ea5f9a575eb0bbb73ececfa50df6b638c2f23d2b2d6792d27c2e8f0,91f1e900b071e17228508ccf83cc230e4ad787802043c1e1f5ed13e6f9f94c43,e426c05212ef341961c6279356b1e9d30ccef2289c37a720f5a4971e05cf5449,2709bfc973e44ccdf4570b8dda452b2ab824fee754707f7f40e56f7a0c4c6bf0,99b15024bfeb5d160de6cea837fc92a5e036674a42bfbc8bdb472c32a6595dc9,24c47ec788188144408439859a88541f9fe75afef5918cd243415aa5a3845500,c79def9743e7fa5effa9985d2c48095d768eb0a7e8be13a42854a2f9ce92360c,0638de18c1631d8f8f59e7b6e433feefaaa7eb3eddc0e6c6e25d442c64cb6486,e532619665b228952f8e12b50904a64a2504eca7c40408b38c58e6d3ba1460c4,7a5398078cfb88773d89b4a5dafabe8f7efa2427ca626b1ba91e7271954ca2ab
"","0","2.125","0","14","1","4","0","24","1140024"
"親切にしてくれたクラスメイトのみんなのことが思い浮かんでくる。\n\n","0","0","0","14","0","1","8","25","1140025"
"","0","6.375","0","14","1","4","0","26","1140026"
"","vo_10011600","0","vo_10011600_1405","14","0","2","0","27","1140027"
"聖テレサ女学院のみなさん、\n","0","0","0","14","0","1","8","28","1140028"
"","0","2.875","0","14","1","4","0","29","1140029"
"本当に","0","0","0","14","0","1","8","30","1140030"
"","0","1.375","0","14","1","4","0","31","1140031"
"ありがとうございました！","0","0","0","14","0","1","8","32","1140032"
"","0","2.5","0","14","1","4","0","33","1140033"
