ab8412fe64905be21f826448df104d0b47f6e37b79e9423c8881b60b1623ece9,7ae7fa8b8000afd4fd1028069ce2ad527a54ea38dc1130f43193de945585e6a0,08165eee8424baaea4ce4a6f4c21ba863f9bf56facd4147b4a550dd46a9e453f,d460a15931ce094e5164b80d119df1199fd87b74df60038ba405ab5b3e87ed8d,9e37d2170f042d62fa0ca4858e415727206c81329b75c9d53cdc0ada71e6b562,326547427f7c19cad49051fb0f2704b960ac545e2953cb5a4161db3faedae543,a2439c0ed7270beceb96883826649882adf6cea6311b905dde8736e6fddcc9ea,d46be016d89d64275d4f6d983fb27eb70375d366b2cebf53a8395b18b3c9f28e,1143d6aefb01271ea500cdbb349d7154e9407ed491dfcac54fb55dd283c01909,ae919cf3ba01bf94efd3fe5b331d3bc0b5629755aec4520601efa25ea0bb9d14,cfa92755aed45d719c44efb00fcec9efdea095e555e76fc22c702ee6b4c8abaa,74d21f1d01cb372fa366ac80be04c0682754de17e4cc6e802ef0e694b2e70101
"2","0","0","vo_lsv","0","0","0","100981402","0","2","1009814","vo_lsv_1401"
"3","1","0","0","0","160","0.677","100981403","0","1","1009814","0"
"4","0","1","0","0","0","0","100981404","0.7","4","1009814","0"
"5","2","0","0","0","270","1.677","100981405","0","1","1009814","0"
"6","0","1","0","0","0","0","100981406","3.5","4","1009814","0"
"7","0","0","vo_lsv","0","0","0","100981407","0","2","1009814","vo_lsv_1402"
"8","4","0","0","0","270","1.099","100981408","0","1","1009814","0"
"9","0","1","0","0","0","0","100981409","1.13","4","1009814","0"
"10","5","0","0","0","160","1.234","100981410","0","1","1009814","0"
"11","0","1","0","0","0","0","100981411","2.2","4","1009814","0"
"12","0","0","vo_lsv","0","0","0","100981412","0","2","1009814","vo_lsv_1403"
"13","6","0","0","0","180","1.37","100981413","0","1","1009814","0"
"14","0","1","0","0","0","0","100981414","2.5","4","1009814","0"
"15","0","0","vo_lsv","0","0","0","100981415","0","2","1009814","vo_lsv_1404"
"16","8","0","0","0","100","1","100981416","0","1","1009814","0"
"17","0","1","0","0","0","0","100981417","1.3","4","1009814","0"
"18","9","0","0","0","327","1.661","100981418","0","1","1009814","0"
"19","0","1","0","0","0","0","100981419","1.7","4","1009814","0"
"20","10","0","0","0","180","1.344","100981420","0","1","1009814","0"
"21","0","1","0","0","0","0","100981421","2.5","4","1009814","0"
"22","0","0","vo_lsv","0","0","0","100981422","0","2","1009814","vo_lsv_1405"
"23","12","0","0","0","50","0.82","100981423","0","1","1009814","0"
"24","0","1","0","0","0","0","100981424","1.4","4","1009814","0"
"25","12","0","0","52","300","1.83","100981425","0","1","1009814","0"
"1","0","1","0","0","0","0","100981501","0.8","4","1009815","0"
"2","0","0","vo_lsv","0","0","0","100981502","0","2","1009815","vo_lsv_1501"
"3","1","0","0","0","300","2.384","100981503","0","1","1009815","0"
"4","0","1","0","0","0","0","100981504","2.41","4","1009815","0"
"5","2","0","0","0","180","1","100981505","0","1","1009815","0"
"6","0","1","0","0","0","0","100981506","2","4","1009815","0"
"7","0","0","vo_lsv","0","0","0","100981507","0","2","1009815","vo_lsv_1502"
"8","3","0","0","0","300","1.71","100981508","0","1","1009815","0"
"9","0","1","0","0","0","0","100981509","2","4","1009815","0"
"10","4","0","0","0","300","1.369","100981510","0","1","1009815","0"
"11","0","1","0","0","0","0","100981511","1.39","4","1009815","0"
"12","5","0","0","0","327","2.431","100981512","0","1","1009815","0"
"13","0","1","0","0","0","0","100981513","2.432","4","1009815","0"
"14","6","0","0","0","250","1.164","100981514","0","1","1009815","0"
"15","0","1","0","0","0","0","100981515","2.5","4","1009815","0"
"16","0","0","vo_lsv","0","0","0","100981516","0","2","1009815","vo_lsv_1503"
"17","7","0","0","0","327","3.101","100981517","0","1","1009815","0"
"18","0","1","0","0","0","0","100981518","4.5","4","1009815","0"
"19","0","0","vo_lsv","0","0","0","100981519","0","2","1009815","vo_lsv_1504"
"20","8","0","0","0","327","2.454","100981520","0","1","1009815","0"
"21","0","1","0","0","0","0","100981521","2.484","4","1009815","0"
"22","9","0","0","0","150","0.727","100981522","0","1","1009815","0"
"23","0","1","0","0","0","0","100981523","2","4","1009815","0"
"24","0","0","vo_lsv","0","0","0","100981524","0","2","1009815","vo_lsv_1505"
"25","10","0","0","0","300","1.984","100981525","0","1","1009815","0"
"26","0","1","0","0","0","0","100981526","3","4","1009815","0"
"27","0","0","vo_lsv","0","0","0","100981527","0","2","1009815","vo_lsv_1506"
"28","12","0","0","0","327","2.1","100981528","0","1","1009815","0"
