1d1d99e9dea2fd401ad8ec7609015ab69dfcfe82ddf4503cb78b50e49fb92795,5908880b4665ad9af3ef00ae52352fc52b486c26e1d35bf2a7c0ba596898bdbc,5896147a496502833bfd878331338229cbd6b51ec7c1368cbad057c5dad211e8,80c78d0c3a95f18d8fb55eb8a7225df6d1fca639575cea504347ba157e946b33,2cfff6402f3055c629091138cb2a0c12dc0dee41955c93d9d5e3a87fbbdbf6dc,a1a9242d75ad55f7f49054b4e41e093eeeedeec66fa9dadf429d5693cc5e215c,76af0af7aeafd72145d6c81d2ae94e223221e6fc0da3e73f8f6e1827aae9b4de,227350627fd21cc7c490cbf7a39eb61eb3931664f870543709edb4718302a4bc,8e88cefbaba53c52863c310bf6ed1239a8027d04cf3942a313e4b5a6c39db189
"10","0","521","67","2","320120206","1","502012203","3"
"43.5","0","522","11","3","320120206","0.65","0","1"
"-98","0","523","50","1","320120207","0.7","502012206","2"
"0","0","524","72","2","320120207","1","502012208","3"
"49","0","525","13","3","320120207","0.65","0","1"
"10","0","526","30","1","320120208","1.2","0","1"
"40","0","527","40","1","320120209","0.9","0","1"
"-20","0","528","-35","1","320120210","1.1","0","1"
"-74","0","529","40","1","320120306","0.7","502012301","2"
"10","0","530","67","2","320120306","1","502012303","3"
"43.5","0","531","11","3","320120306","0.65","0","1"
"-98","0","532","50","1","320120307","0.7","502012306","2"
"0","0","533","72","2","320120307","1","502012308","3"
"49","0","534","13","3","320120307","0.65","0","1"
"10","0","535","30","1","320120308","1.2","0","1"
"40","0","536","40","1","320120309","0.9","0","1"
"-20","0","537","-35","1","320120310","1.1","0","1"
"-74","0","538","40","1","320120406","0.7","502012401","2"
"10","0","539","67","2","320120406","1","502012403","3"
"43.5","0","540","11","3","320120406","0.65","0","1"
"-98","0","541","50","1","320120407","0.7","502012406","2"
"0","0","542","72","2","320120407","1","502012408","3"
"49","0","543","13","3","320120407","0.65","0","1"
"10","0","544","30","1","320120408","1.2","0","1"
"40","0","545","40","1","320120409","0.9","0","1"
"-20","0","546","-35","1","320120410","1.1","0","1"
"-74","0","547","40","1","320120506","0.7","502012501","2"
"10","0","548","67","2","320120506","1","502012503","3"
"43.5","0","549","11","3","320120506","0.65","0","1"
"-98","0","550","50","1","320120507","0.7","502012506","2"
"0","0","551","72","2","320120507","1","502012508","3"
"49","0","552","13","3","320120507","0.65","0","1"
"10","0","553","30","1","320120508","1.2","0","1"
"40","0","554","40","1","320120509","0.9","0","1"
"-20","0","555","-35","1","320120510","1.1","0","1"
"-74","0","556","40","1","320130106","0.7","502013101","2"
"10","0","557","67","2","320130106","0.8","502013103","3"
"43.5","0","558","11","3","320130106","0.65","0","1"
"-98","0","559","50","1","320130107","0.7","502013106","2"
"50","0","560","72","2","320130107","0.9","502013108","3"
"49","0","561","13","3","320130107","0.65","0","1"
"10","0","562","30","1","320130108","1.2","0","1"
"40","0","563","40","1","320130109","0.8","0","1"
"-20","0","564","-35","1","320130110","1.1","0","1"
"-74","0","565","40","1","320130206","0.7","502013201","2"
"10","0","566","67","2","320130206","0.8","502013203","3"
"43.5","0","567","11","3","320130206","0.65","0","1"
"-98","0","568","50","1","320130207","0.7","502013206","2"
"50","0","569","72","2","320130207","0.9","502013208","3"
"49","0","570","13","3","320130207","0.65","0","1"
"10","0","571","30","1","320130208","1.2","0","1"
"40","0","572","40","1","320130209","0.8","0","1"
"-20","0","573","-35","1","320130210","1.1","0","1"
"-74","0","574","40","1","320130306","0.7","502013301","2"
"10","0","575","67","2","320130306","0.8","502013303","3"
"43.5","0","576","11","3","320130306","0.65","0","1"
"-98","0","577","50","1","320130307","0.7","502013306","2"
"50","0","578","72","2","320130307","0.9","502013308","3"
"49","0","579","13","3","320130307","0.65","0","1"
"10","0","580","30","1","320130308","1.2","0","1"
"40","0","581","40","1","320130309","0.8","0","1"
"-20","0","582","-35","1","320130310","1.1","0","1"
"-74","0","583","40","1","320130406","0.7","502013401","2"
"10","0","584","67","2","320130406","0.8","502013403","3"
"43.5","0","585","11","3","320130406","0.65","0","1"
"-98","0","586","50","1","320130407","0.7","502013406","2"
"50","0","587","72","2","320130407","0.9","502013408","3"
"49","0","588","13","3","320130407","0.65","0","1"
"10","0","589","30","1","320130408","1.2","0","1"
"40","0","590","40","1","320130409","0.8","0","1"
"-20","0","591","-35","1","320130410","1.1","0","1"
"-74","0","592","40","1","320130506","0.7","502013501","2"
"10","0","593","67","2","320130506","0.8","502013503","3"
"43.5","0","594","11","3","320130506","0.65","0","1"
"-98","0","595","50","1","320130507","0.7","502013506","2"
"50","0","596","72","2","320130507","0.9","502013508","3"
"49","0","597","13","3","320130507","0.65","0","1"
"10","0","598","30","1","320130508","1.2","0","1"
"40","0","599","40","1","320130509","0.8","0","1"
"-20","0","600","-35","1","320130510","1.1","0","1"
"-74","0","601","40","1","320140106","0.7","502014101","2"
"13","0","602","67","2","320140106","1","502014103","3"
"43.5","0","603","11","3","320140106","0.65","0","1"
"-68","0","604","50","1","320140107","0.7","502014106","2"
"30","0","605","62","2","320140107","0.95","502014108","3"
"29","0","606","13","3","320140107","0.65","0","1"
"5","0","607","10","1","320140108","1","0","1"
"0","0","608","20","1","320140109","0.8","0","1"
"-20","0","609","-35","1","320140110","1.1","0","1"
"-74","0","610","40","1","320140206","0.7","502014201","2"
"13","0","611","67","2","320140206","1","502014203","3"
"43.5","0","612","11","3","320140206","0.65","0","1"
"-68","0","613","50","1","320140207","0.7","502014206","2"
"30","0","614","62","2","320140207","0.95","502014208","3"
"29","0","615","13","3","320140207","0.65","0","1"
"5","0","616","10","1","320140208","1","0","1"
"0","0","617","20","1","320140209","0.8","0","1"
"-20","0","618","-35","1","320140210","1.1","0","1"
"-74","0","619","40","1","320140306","0.7","502014301","2"
"13","0","620","67","2","320140306","1","502014303","3"
"43.5","0","621","11","3","320140306","0.65","0","1"
"-68","0","622","50","1","320140307","0.7","502014306","2"
"30","0","623","62","2","320140307","0.95","502014308","3"
"29","0","624","13","3","320140307","0.65","0","1"
"5","0","625","10","1","320140308","1","0","1"
"0","0","626","20","1","320140309","0.8","0","1"
"-20","0","627","-35","1","320140310","1.1","0","1"
"-74","0","628","40","1","320140406","0.7","502014401","2"
"13","0","629","67","2","320140406","1","502014403","3"
"43.5","0","630","11","3","320140406","0.65","0","1"
"-68","0","631","50","1","320140407","0.7","502014406","2"
"30","0","632","62","2","320140407","0.95","502014408","3"
"29","0","633","13","3","320140407","0.65","0","1"
"5","0","634","10","1","320140408","1","0","1"
"0","0","635","20","1","320140409","0.8","0","1"
"-20","0","636","-35","1","320140410","1.1","0","1"
"-74","0","637","40","1","320140506","0.7","502014501","2"
"13","0","638","67","2","320140506","1","502014503","3"
"43.5","0","639","11","3","320140506","0.65","0","1"
"-68","0","640","50","1","320140507","0.7","502014506","2"
"30","0","641","62","2","320140507","0.95","502014508","3"
"29","0","642","13","3","320140507","0.65","0","1"
"5","0","643","10","1","320140508","1","0","1"
"0","0","644","20","1","320140509","0.8","0","1"
"-20","0","645","-35","1","320140510","1.1","0","1"
