3244f5d0cee4d6edf741ee3b80e3fa5a77afd9a00af24b892c6ffa2018283073,477087b3b1eaee262f88213198e401ff9d50ad9a76016a5d064a4c1f1a3211da,87394c6e58c818db73594d64cde04a5d7f21fcd9139d04f1d6392e5f3e795821,0a021091a117886721188b1d08bd7041a7ff55c1511dd1a5cff4a680f4ee836f,51f68cd476eb513510dc3f9bd950b4bb1799eacb879177b8a1a1b64e4ae83211,cce55926e1bed4c15642c21ad8f7e6f4aabd94a134685d44f70dfc2ead0b06ef,cfeaa52591c380cca37dedd2099f6c48bb0b6849a67cdfcefd068e0749a3c011,1be9f106693ddade2de599ae13ce2646086e14606c9d088b6729428376142339,2bd684b1e6c18d97e44189e6f5d6b5c0b89299fd1218b9656830202f72b751d9,42ce5ccc8ed2396b5e606e2611dc4a33f665985864e54a71707d75a981625103,fb65e5b14118de9d3d887954d58190bb10dcb241bb9185065dfa5d932c90f877
"33","","0","pkb_talk_yell","","3","","","2","1330013","0.2"
"33","","","","","93","","","3","1330014",""
"33","","0","pkb_shock","","3","1","pkb_idle_shock","2","1330015","0.2"
"33","","","","","91","","","1330011","1330016",""
"33","","1","pkb_idle_normal","","3","","","2","1330017","0.2"
"34","pkb_idle_normal","100","106531","1","1","-150","170","1","1340001","1.6"
"34","pkb_idle_normal","100","113411","0","1","-150","-20","1","1340002","1.6"
"34","","0","pkb_talk_arm_crossed","0.2","3","1","pkb_idle_arm_crossed","106531","1340003","0.2"
"34","","0","vo_minigame_1006_top_talk_13_301","","21","","0","vo_minigame_1006","1340004",""
"34","-1","8","キミもすげえボール\n投げるじゃねえか\nどうやって\n投げてんだ？","0","11","0","0","106531","1340005","0"
"34","","","","","93","","","3.4","1340006",""
"34","","1","pkb_talk_normal","","3","","","106531","1340007","0.2"
"34","","","","","91","","","1340005","1340008",""
"34","","1","pkb_idle_normal","","3","","","106531","1340009","0.2"
"34","","1","pkb_talk_normal","","3","","","113411","1340010","0.2"
"34","","0","vo_minigame_1006_top_talk_13_202","","21","","0","vo_minigame_1006","1340011",""
"34","1","8","超能りょ……\nじゃなくて！\n特別な魔法を\n使ってるんだ～えへへ","0","11","0","0","113411","1340012","0"
"34","","","","","93","","","1.2","1340013",""
"34","","0","pkb_surprise","0.2","3","1","pkb_talk_surprise1","113411","1340014","0.2"
"34","","","","","93","","","1","1340015",""
"34","","1","pkb_talk_joy3","","3","","","113411","1340016","0.2"
"34","","","","","91","","","1340012","1340017",""
"34","","1","pkb_idle_normal","","3","","","113411","1340018","0.2"
"35","pkb_idle_normal","100","113511","0","1","-150","-20","1","1350001","1.6"
"35","pkb_idle_normal","100","102311","1","1","-150","170","1","1350002","1.6"
"35","","1","pkb_talk_joy3","","3","","","113511","1350003","0.2"
"35","","0","vo_minigame_1006_top_talk_14_101","","21","","0","vo_minigame_1006","1350004",""
"35","0.5","6","アヤネちゃん\n今日も打撃コーチを\nよろしくね～\n頼りにしてるから～！","0","11","0","0","113511","1350005","0"
"35","","","","","93","","","5.2","1350006",""
"35","","1","pkb_talk_wish","","3","","","113511","1350007","0.2"
"35","","","","","91","","","1350005","1350008",""
"35","","1","pkb_idle_normal","","3","","","113511","1350009","0.2"
"35","","1","pkb_talk_joy1","","3","","","102311","1350010","0.2"
"35","","0","vo_minigame_1006_top_talk_14_402","","21","","0","vo_minigame_1006","1350011",""
"35","-1","8","お兄ちゃんたちが\nいっぱいホームラン\n打てるように\nがんばるね！","0","11","0","0","102311","1350012","0"
"35","","","","","93","","","3.2","1350013",""
"35","","0","pkb_talk_doya","","3","1","pkb_idle_doya","102311","1350014","0.2"
"35","","","","","91","","","1350012","1350015",""
"35","","1","pkb_idle_normal","","3","","","102311","1350016","0.2"
"36","pkb_idle_normal_l","100","3","1","5","-130","170","3","1360001","55"
"36","pkb_idle_normal","100","1","0","5","-130","-20","1","1360002","55"
"36","","0","pkb_talk_arm_crossed_l","0.2","3","1","pkb_idle_arm_crossed_l","3","1360003","0.2"
"36","","0","vo_minigame_1006_top_talk_15_601","","21","","0","vo_minigame_1006","1360004",""
"36","-0.5","8","おい、アサヒ！\nどんくらい上達したか\n見せてみろ！","0","11","0","0","3","1360005","0"
"36","","","","","91","","","1360005","1360006",""
"36","","1","pkb_idle_normal_l","","3","","","3","1360007","0.2"
"36","","0","pkb_talk_guts","","3","1","pkb_idle_guts","1","1360008","0.2"
"36","","0","vo_minigame_1006_top_talk_15_702","","21","","0","vo_minigame_1006","1360009",""
"36","0","8","ああ！　ダイチこそ\n手加減なしで頼むよ\n真剣勝負だ！","0","11","0","0","1","1360010","0"
"36","","","","","91","","","1360010","1360011",""
"36","","1","pkb_idle_normal","","3","","","1","1360012","0.2"
"37","pkb_idle_normal","100","1","0","5","-130","-20","1","1370001","55"
"37","pkb_idle_normal_l","100","3","1","5","-130","170","3","1370002","55"
"37","","0","pkb_talk_guts","","3","1","pkb_idle_guts","1","1370003","0.2"
"37","","0","vo_minigame_1006_top_talk_16_701","","21","","0","vo_minigame_1006","1370004",""
"37","-0.5","8","全国大会に絶対行こう\n俺たちの夢を\n叶えるんだ！","0","11","0","0","1","1370005","0"
"37","","","","","93","","","3.2","1370006",""
"37","","0","pkb_talk_handsup","0.2","3","1","pkb_idle_normal","1","1370007","0.2"
"37","","","","","91","","","1370005","1370008",""
"37","","1","pkb_idle_normal","","3","","","1","1370009","0.2"
"37","","0","pkb_talk_arm_crossed_l","0.2","3","1","pkb_idle_arm_crossed_l","3","1370010","0.2"
"37","","0","vo_minigame_1006_top_talk_16_602","","21","","0","vo_minigame_1006","1370011",""
"37","1","8","ふん、当然だろ\n俺たちなら\n全国優勝だって\n夢じゃねえぜ！","0","11","0","0","3","1370012","0"
"37","","","","","93","","","4.8","1370013",""
"37","","0","pkb_talk_guts_l","","3","1","pkb_idle_guts_l","3","1370014","0.2"
"37","","","","","91","","","1370012","1370015",""
"37","","1","pkb_idle_normal_l","","3","","","3","1370016","0.2"
"38","pkb_idle_normal","100","106531","1","1","-150","170","1","1380001","1.6"
"38","pkb_idle_normal","100","2","0","5","-130","-20","2","1380002","55"
"38","","0","pkb_talk_arm_crossed","0.2","3","1","pkb_idle_arm_crossed","106531","1380003","0.2"
"38","","0","vo_minigame_1006_top_talk_17_301","","21","","0","vo_minigame_1006","1380004",""
"38","-0.5","8","結構やるように\nなってきたじゃねえか\nこっからはオレ様も\n本気でいくぜぇ！！","0","11","0","0","106531","1380005","0"
"38","","","","","93","","","3.6","1380006",""
"38","","0","pkb_talk_doya","","3","1","pkb_idle_doya","106531","1380007","0.2"
"38","","","","","93","","","2","1380008",""
"38","","0","pkb_talk_handsup","0.2","3","1","pkb_idle_normal","106531","1380009","0.2"
"38","","","","","91","","","1380005","1380010",""
"38","","","","","93","","","1","1380011",""
"38","","1","pkb_idle_normal","","3","","","106531","1380012","0.2"
"38","","0","pkb_shock","","3","1","pkb_idle_shock","2","1380013","0.2"
"38","","0","vo_minigame_1006_top_talk_17_802","","21","","0","vo_minigame_1006","1380014",""
"38","1","7","マジか……\nまだ本気じゃ\nなかったのかよ\n…何人か死ぬな","0","11","0","0","2","1380015","0"
"38","","","","","91","","","1380015","1380016",""
"38","","1","pkb_idle_normal","","3","","","2","1380017","0.2"
