5ff4f4e531b0fd2a92a9eca2e28533d5f0e116387d83d2c4254fe4552ccde82f,648c2513cda27f964365f0328a0eeb1c5f373253d567034b309b877af3331a17,8a449d56a35132a81e56b965e1667eb2265642a508ca417aae6e82e975bbde9b,63321e04de992f398da1a826f589fb4a8c68ad5ea33c550c9f5882cbf457399d,b73de30c4218439587184f0dfa35b8299c15745b8fda85d209b10da40aacb629
"水属性ボーナス特大アップ","92408330","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","186"
"物理防御力（ダウン不可）アップ","92408330","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","187"
"魔法防御力（ダウン不可）アップ","92408330","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","188"
"ＴＰダウンカット","92408330","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","189"
"ダメージ減衰","92408330","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","190"
"ＴＰ上昇上限付与","92408330","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","191"
"ＨＰ吸収ダウン","92408330","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","192"
"水属性ボーナス特大アップ","92408340","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","193"
"物理防御力（ダウン不可）アップ","92408340","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","194"
"魔法防御力（ダウン不可）アップ","92408340","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","195"
"ＴＰダウンカット","92408340","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","196"
"ダメージ減衰","92408340","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","197"
"ＴＰ上昇上限付与","92408340","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","198"
"ＨＰ吸収ダウン","92408340","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","199"
"闇属性ボーナス特大アップ","92409010","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","200"
"物理防御力（ダウン不可）アップ","92409010","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","201"
"魔法防御力（ダウン不可）アップ","92409010","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","202"
"ＴＰ上昇上限付与","92409010","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","203"
"ＨＰ吸収ダウン","92409010","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","204"
"闇属性ボーナス特大アップ","92409020","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","205"
"物理防御力（ダウン不可）アップ","92409020","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","206"
"魔法防御力（ダウン不可）アップ","92409020","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","207"
"ＴＰ上昇上限付与","92409020","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","208"
"ＨＰ吸収ダウン","92409020","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","209"
"闇属性ボーナス特大アップ","92409030","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","210"
"物理防御力（ダウン不可）アップ","92409030","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","211"
"魔法防御力（ダウン不可）アップ","92409030","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","212"
"ＴＰ上昇上限付与","92409030","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","213"
"ＨＰ吸収ダウン","92409030","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","214"
"闇属性ボーナス特大アップ","92409110","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","215"
"物理防御力（ダウン不可）アップ","92409110","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","216"
"魔法防御力（ダウン不可）アップ","92409110","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","217"
"ＴＰダウンカット","92409110","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","218"
"ダメージ減衰","92409110","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","219"
"ＴＰ上昇上限付与","92409110","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","220"
"ＨＰ吸収ダウン","92409110","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","221"
"闇属性ボーナス特大アップ","92409120","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","222"
"物理防御力（ダウン不可）アップ","92409120","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","223"
"魔法防御力（ダウン不可）アップ","92409120","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","224"
"ＴＰダウンカット","92409120","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","225"
"ダメージ減衰","92409120","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","226"
"ＴＰ上昇上限付与","92409120","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","227"
"ＨＰ吸収ダウン","92409120","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","228"
"闇属性ボーナス特大アップ","92409130","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","229"
"物理防御力（ダウン不可）アップ","92409130","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","230"
"魔法防御力（ダウン不可）アップ","92409130","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","231"
"ＴＰダウンカット","92409130","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","232"
"ダメージ減衰","92409130","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","233"
"ＴＰ上昇上限付与","92409130","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","234"
"ＨＰ吸収ダウン","92409130","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","235"
"闇属性ボーナス特大アップ","92409140","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","236"
"物理防御力（ダウン不可）アップ","92409140","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","237"
"魔法防御力（ダウン不可）アップ","92409140","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","238"
"ＴＰダウンカット","92409140","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","239"
"ダメージ減衰","92409140","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","240"
"ＴＰ上昇上限付与","92409140","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","241"
"ＨＰ吸収ダウン","92409140","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","242"
"闇属性ボーナス特大アップ","92409210","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","243"
"物理防御力（ダウン不可）アップ","92409210","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","244"
"魔法防御力（ダウン不可）アップ","92409210","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","245"
"ＴＰダウンカット","92409210","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","246"
"ダメージ減衰","92409210","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","247"
"ＴＰ上昇上限付与","92409210","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","248"
"ＨＰ吸収ダウン","92409210","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","249"
"闇属性ボーナス特大アップ","92409220","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","250"
"物理防御力（ダウン不可）アップ","92409220","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","251"
"魔法防御力（ダウン不可）アップ","92409220","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","252"
"ＴＰダウンカット","92409220","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","253"
"ダメージ減衰","92409220","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","254"
"ＴＰ上昇上限付与","92409220","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","255"
"ＨＰ吸収ダウン","92409220","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","256"
"闇属性ボーナス特大アップ","92409230","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","257"
"物理防御力（ダウン不可）アップ","92409230","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","258"
"魔法防御力（ダウン不可）アップ","92409230","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","259"
"ＴＰダウンカット","92409230","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","260"
"ダメージ減衰","92409230","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","261"
"ＴＰ上昇上限付与","92409230","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","262"
"ＨＰ吸収ダウン","92409230","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","263"
"闇属性ボーナス特大アップ","92409240","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","264"
"物理防御力（ダウン不可）アップ","92409240","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","265"
"魔法防御力（ダウン不可）アップ","92409240","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","266"
"ＴＰダウンカット","92409240","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","267"
"ダメージ減衰","92409240","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","268"
"ＴＰ上昇上限付与","92409240","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","269"
"ＨＰ吸収ダウン","92409240","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","270"
"闇属性ボーナス特大アップ","92409310","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","271"
"物理防御力（ダウン不可）アップ","92409310","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","272"
"魔法防御力（ダウン不可）アップ","92409310","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","273"
"ダメージ減衰","92409310","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","274"
"ＴＰ上昇上限付与","92409310","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","275"
"ＨＰ吸収ダウン","92409310","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","276"
"闇属性ボーナス特大アップ","92409320","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","277"
"物理防御力（ダウン不可）アップ","92409320","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","278"
"魔法防御力（ダウン不可）アップ","92409320","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","279"
"ダメージ減衰","92409320","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","280"
"ＴＰ上昇上限付与","92409320","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","281"
"ＨＰ吸収ダウン","92409320","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","282"
"闇属性ボーナス特大アップ","92409330","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","283"
"物理防御力（ダウン不可）アップ","92409330","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","284"
"魔法防御力（ダウン不可）アップ","92409330","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","285"
"ダメージ減衰","92409330","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","286"
"ＴＰ上昇上限付与","92409330","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","287"
"ＨＰ吸収ダウン","92409330","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","288"
"闇属性ボーナス特大アップ","92409340","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","289"
"物理防御力（ダウン不可）アップ","92409340","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","290"
"魔法防御力（ダウン不可）アップ","92409340","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","291"
"ダメージ減衰","92409340","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","292"
"ＴＰ上昇上限付与","92409340","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","293"
"ＨＰ吸収ダウン","92409340","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","294"
"光属性ボーナス特大アップ","92410010","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","295"
"物理防御力（ダウン不可）アップ","92410010","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","296"
"魔法防御力（ダウン不可）アップ","92410010","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","297"
"ＴＰ上昇上限付与","92410010","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","298"
"ＨＰ吸収ダウン","92410010","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","299"
"光属性ボーナス特大アップ","92410020","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","300"
"物理防御力（ダウン不可）アップ","92410020","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","301"
"魔法防御力（ダウン不可）アップ","92410020","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","302"
"ＴＰ上昇上限付与","92410020","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","303"
"ＨＰ吸収ダウン","92410020","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","304"
"光属性ボーナス特大アップ","92410030","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","305"
"物理防御力（ダウン不可）アップ","92410030","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","306"
"魔法防御力（ダウン不可）アップ","92410030","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","307"
"ＴＰ上昇上限付与","92410030","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","308"
"ＨＰ吸収ダウン","92410030","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","309"
"光属性ボーナス特大アップ","92410110","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","310"
"物理防御力（ダウン不可）アップ","92410110","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","311"
"魔法防御力（ダウン不可）アップ","92410110","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","312"
"ＴＰダウンカット","92410110","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","313"
"ダメージ減衰","92410110","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","314"
"ＴＰ上昇上限付与","92410110","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","315"
"ＨＰ吸収ダウン","92410110","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","316"
"光属性ボーナス特大アップ","92410120","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","317"
"物理防御力（ダウン不可）アップ","92410120","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","318"
"魔法防御力（ダウン不可）アップ","92410120","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","319"
"ＴＰダウンカット","92410120","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","320"
"ダメージ減衰","92410120","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","321"
"ＴＰ上昇上限付与","92410120","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","322"
"ＨＰ吸収ダウン","92410120","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","323"
"光属性ボーナス特大アップ","92410130","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","324"
"物理防御力（ダウン不可）アップ","92410130","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","325"
"魔法防御力（ダウン不可）アップ","92410130","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","326"
"ＴＰダウンカット","92410130","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","327"
"ダメージ減衰","92410130","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","328"
"ＴＰ上昇上限付与","92410130","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","329"
"ＨＰ吸収ダウン","92410130","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","330"
"光属性ボーナス特大アップ","92410140","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","331"
"物理防御力（ダウン不可）アップ","92410140","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","332"
"魔法防御力（ダウン不可）アップ","92410140","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","333"
"ＴＰダウンカット","92410140","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","334"
"ダメージ減衰","92410140","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","335"
"ＴＰ上昇上限付与","92410140","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","336"
"ＨＰ吸収ダウン","92410140","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","337"
"光属性ボーナス特大アップ","92410210","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","338"
"物理防御力（ダウン不可）アップ","92410210","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","339"
"魔法防御力（ダウン不可）アップ","92410210","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","340"
"ＴＰダウンカット","92410210","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","341"
"ダメージ減衰","92410210","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","342"
"ＴＰ上昇上限付与","92410210","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","343"
"ＨＰ吸収ダウン","92410210","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","344"
"光属性ボーナス特大アップ","92410220","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","345"
"物理防御力（ダウン不可）アップ","92410220","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","346"
"魔法防御力（ダウン不可）アップ","92410220","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","347"
"ＴＰダウンカット","92410220","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","348"
"ダメージ減衰","92410220","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","349"
"ＴＰ上昇上限付与","92410220","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","350"
"ＨＰ吸収ダウン","92410220","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","351"
"光属性ボーナス特大アップ","92410230","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","352"
"物理防御力（ダウン不可）アップ","92410230","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","353"
"魔法防御力（ダウン不可）アップ","92410230","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","354"
"ＴＰダウンカット","92410230","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","355"
"ダメージ減衰","92410230","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","356"
"ＴＰ上昇上限付与","92410230","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","357"
"ＨＰ吸収ダウン","92410230","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","358"
"光属性ボーナス特大アップ","92410240","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","359"
"物理防御力（ダウン不可）アップ","92410240","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","360"
"魔法防御力（ダウン不可）アップ","92410240","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","361"
"ＴＰダウンカット","92410240","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","362"
"ダメージ減衰","92410240","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","363"
"ＴＰ上昇上限付与","92410240","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","364"
"ＨＰ吸収ダウン","92410240","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","365"
"光属性ボーナス特大アップ","92410310","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","366"
"物理防御力（ダウン不可）アップ","92410310","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","367"
"魔法防御力（ダウン不可）アップ","92410310","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","368"
"ＴＰダウンカット","92410310","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","369"
"ダメージ減衰","92410310","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","370"
"ＴＰ上昇上限付与","92410310","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","371"
