8462901fe862ce3801166ea17a091652124526a71c964c173d298d0baa020f1a,10efceec6f6a5697fa85006c6cc7df8300ebee98c29db6e08e2ed55efdc28b9a,ff0d2de23dea7e33e59b1c425625e177448c7dcb8d0287cc0b99288b3138de67,a4ea5356a507a8b4c7793f0aca45634e71d8a66bcb2a0e1c3e9a1a580d40fdaa,3705e02d3cfc3f23c0b0a0f62c03a6c12b95ec46de9688af880d49ed1d79041f,6346292d161d6452ba0a34a95f3ba34fdcb9ff7881d9e87736a820a39dca1261,649d29eef04b33297d9518d27f53db20138c64b2f50ffc4b84c2e525f96861f3,eb645fc9d1e1c1dec9d2c4dc6249220de7539d07ae9c7fca48be5ab45708d818,3c0ca5731d66f37b9c9ec028e00d5b27b000281c32604f3ca9f68f90f7a19aa4,b0b3e43d9b0cc30f16b8d575febcd690fb25584a3694dc4a2f8817553cffd929,837699621c5cc523e7f18c4716a27cf22df587d886d1e48f3821ea81fb039885,7f719bba197489642414339614643861cd13f6863fca7a13c8cdf732d112f241
"0","vo_lsv_1401","0","0","2","0","0","1009814","0","vo_lsv","100981402","2"
"0.677","0","0","1","1","160","0","1009814","0","0","100981403","3"
"0","0","0.7","0","4","0","1","1009814","0","0","100981404","4"
"1.677","0","0","2","1","270","0","1009814","0","0","100981405","5"
"0","0","3.5","0","4","0","1","1009814","0","0","100981406","6"
"0","vo_lsv_1402","0","0","2","0","0","1009814","0","vo_lsv","100981407","7"
"1.099","0","0","4","1","270","0","1009814","0","0","100981408","8"
"0","0","1.13","0","4","0","1","1009814","0","0","100981409","9"
"1.234","0","0","5","1","160","0","1009814","0","0","100981410","10"
"0","0","2.2","0","4","0","1","1009814","0","0","100981411","11"
"0","vo_lsv_1403","0","0","2","0","0","1009814","0","vo_lsv","100981412","12"
"1.37","0","0","6","1","180","0","1009814","0","0","100981413","13"
"0","0","2.5","0","4","0","1","1009814","0","0","100981414","14"
"0","vo_lsv_1404","0","0","2","0","0","1009814","0","vo_lsv","100981415","15"
"1","0","0","8","1","100","0","1009814","0","0","100981416","16"
"0","0","1.3","0","4","0","1","1009814","0","0","100981417","17"
"1.661","0","0","9","1","327","0","1009814","0","0","100981418","18"
"0","0","1.7","0","4","0","1","1009814","0","0","100981419","19"
"1.344","0","0","10","1","180","0","1009814","0","0","100981420","20"
"0","0","2.5","0","4","0","1","1009814","0","0","100981421","21"
"0","vo_lsv_1405","0","0","2","0","0","1009814","0","vo_lsv","100981422","22"
"0.82","0","0","12","1","50","0","1009814","0","0","100981423","23"
"0","0","1.4","0","4","0","1","1009814","0","0","100981424","24"
"1.83","0","0","12","1","300","0","1009814","52","0","100981425","25"
"0","0","0.8","0","4","0","1","1009815","0","0","100981501","1"
"0","vo_lsv_1501","0","0","2","0","0","1009815","0","vo_lsv","100981502","2"
"2.384","0","0","1","1","300","0","1009815","0","0","100981503","3"
"0","0","2.41","0","4","0","1","1009815","0","0","100981504","4"
"1","0","0","2","1","180","0","1009815","0","0","100981505","5"
"0","0","2","0","4","0","1","1009815","0","0","100981506","6"
"0","vo_lsv_1502","0","0","2","0","0","1009815","0","vo_lsv","100981507","7"
"1.71","0","0","3","1","300","0","1009815","0","0","100981508","8"
"0","0","2","0","4","0","1","1009815","0","0","100981509","9"
"1.369","0","0","4","1","300","0","1009815","0","0","100981510","10"
"0","0","1.39","0","4","0","1","1009815","0","0","100981511","11"
"2.431","0","0","5","1","327","0","1009815","0","0","100981512","12"
"0","0","2.432","0","4","0","1","1009815","0","0","100981513","13"
"1.164","0","0","6","1","250","0","1009815","0","0","100981514","14"
"0","0","2.5","0","4","0","1","1009815","0","0","100981515","15"
"0","vo_lsv_1503","0","0","2","0","0","1009815","0","vo_lsv","100981516","16"
"3.101","0","0","7","1","327","0","1009815","0","0","100981517","17"
"0","0","4.5","0","4","0","1","1009815","0","0","100981518","18"
"0","vo_lsv_1504","0","0","2","0","0","1009815","0","vo_lsv","100981519","19"
"2.454","0","0","8","1","327","0","1009815","0","0","100981520","20"
"0","0","2.484","0","4","0","1","1009815","0","0","100981521","21"
"0.727","0","0","9","1","150","0","1009815","0","0","100981522","22"
"0","0","2","0","4","0","1","1009815","0","0","100981523","23"
"0","vo_lsv_1505","0","0","2","0","0","1009815","0","vo_lsv","100981524","24"
"1.984","0","0","10","1","300","0","1009815","0","0","100981525","25"
"0","0","3","0","4","0","1","1009815","0","0","100981526","26"
"0","vo_lsv_1506","0","0","2","0","0","1009815","0","vo_lsv","100981527","27"
"2.1","0","0","12","1","327","0","1009815","0","0","100981528","28"
