077d6828c42e3d387ff2d86286e63b4c4bb96ebe3e7ce9da5c69ae13bb8ec598,69307426a903afe030a1525f7c251ddf1b6c50463cf5dd638ae1dadefa186c31,657a38034c6040744af6a4b40f9c01100c85cb3a7bbaaee4236c6fafb15aa876,fea65a0aa6913a7bae8a88611dde27bea3796dfe97112b6a28d3288d05325133,a9ac3c6ede5cea81bfc9302011d170abb6a185379017d57c9663f7be67b4d01b,7e5329c1a3e2c41314bb2fcecf358a2b1f1bb6e93fed219bc90620dbd09722c9,b01161c5c73c109074fad514103fb800a912a58d96a46b81018b883670837c4b,4d7f644097f82cfdec041ccc7db72b10680c8b28201621d2671dd31fb0a56484,af34288ec3799eac131c2628e846cc961cd850acb1956be69916d8e877643a29,eb9e3cf161a1486d5923ae3e55a33b186693d28dcfce7092f6fcfa38f55a997b,1dade4bfc5d03cd9fd2056c58f088c0f09aa5b7614317b71b58251318f9af500
"1360001","1","0","110","03_uek_cmn_idol_def_N","36","105","1","1.3","5","102531"
"1360002","1","0","100","03_uek_cmn_idol_def_N","36","10","1","1.3","10","102831"
"1360003","93","","","","36","","1","","",""
"1360004","3","0","0","","36","03_uek_36_suzume_loop","102531","0","1","03_uek_36_suzume"
"1360005","3","0","0","","36","03_uek_36_saren_loop","102831","0","1","03_uek_36_saren"
"1360006","91","","","","36","","0","","",""
"1360007","11","","10","","36","0","102531","","0","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？"
"1360008","91","","","","36","","0","","",""
"1360009","11","","10","","36","0","102831","","0","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね"
"1370001","1","0","100","01_uek_cmn_idol_def_N","37","-118","1","1.3","-22","112531"
"1370002","1","0","100","01_uek_cmn_idol_def_N","37","0","1","1.3","0","112431"
"1370003","1","1","100","01_uek_27_tamaki_loop","37","179","1","1.3","0","112631"
"1370004","3","","0","","37","","112631","","0","01_uek_27_tamaki_loop"
"1370005","91","","","","37","","0","","",""
"1370006","3","","0","","37","","112631","","0","01_uek_27_tamaki_loop"
"1370007","91","","","","37","","0","","",""
"1370008","3","","0","","37","","112631","","0","01_uek_27_tamaki_loop"
"1370009","91","","","","37","","0","","",""
"1370010","3","","1","","37","","112631","0.5","0","01_uek_cmn_pose06"
"1370011","11","","10","","37","0","112631","","0","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！"
"1370012","91","","","","37","","0","","",""
"1370013","3","","0","","37","01_uek_35_rei_loop","112531","","1","01_uek_35_rei"
"1370014","11","","10","","37","0","112531","","0","…トップアイドルに\nなった時の景色って\nこんな感じなのかな"
"1370015","91","","","","37","","0","","",""
"1370016","3","","1","","37","","112631","0.2","0","01_uek_cmn_idol_def_N"
"1370017","3","","0","","37","01_uek_16_uduki_loop","112431","","1","01_uek_37_uduki"
"1370018","11","","10","","37","0","112431","","0","あの星みたいに\n私たちも\n輝きたいですね！"
"1370019","91","","","","37","","0","","",""
"11010001","31","","0","","101","30","101","1","1","14"
"11110001","31","","0","","111","150","111","1","1","11"
"11120001","31","","0","","112","150","112","1","1","12"
"11130001","31","","0","","113","125","113","1","1","13"
