c9b1724d36a9456520b3248dfbdc723ae8d9e84e43179c83c9214ecf7682819a,85aba0a305cbc86bb604f7ead9c105f10c500528acf62c38dcc69d6afc049350,87112eaa4ae38f44993406bac21dad80b40f5b7828ba901221a12d84552e00f2,56c392b04fe5fc34ef7b4ad74ca7be2cd097a0914d92fdd5fe256fe188b54520,84a6fc54fcdb706baef0208816a7b11372c380af556d6ee1ea65f1da20ab568d,73dd12f4c89acf37dc519e35f04d6df51de33e4a1c4ded8fd2607413f18c315e,21388f85fe294be01ce8db09c4cae5a4742ec6ac394ae5273d94c9b1a815ec72,3590125e49e1ef9913016cc42448469cfbd2cc239b73a06ed1c5b435a7c94701,f234db71502b65f65d5603065c0fc4ad0a8beed22d88d4d2a86be22903ba020d,74b3dad67b017c1946a9e4069f99341d994936aebf7c343757a220e4534d1880,a37864689b64c10d8b9d4c415b80c416769ab165f29ea4bd35362be85c55419a
"0","","","","","91","7","","1070047","",""
"112511","omp_idle_calm","","1","","3","7","0","1070048","",""
"112411","omp_talk_joy1","","1","","3","7","0","1070049","",""
"vo_omp_7007","vo_omp_7007_007","0","0","","21","7","","1070050","",""
"112411","リンちゃん…！","1","10","","11","7","","1070051","1",""
"0","","","","","91","7","","1070052","",""
"112611","0","","","","4","7","","1070053","",""
"112411","omp_psn_20","","1","","3","7","0","1070054","",""
"112611","omp_talk_joy1","","1","","3","7","0","1070055","",""
"vo_omp_7007","vo_omp_7007_008","0","0","","21","7","","1070056","",""
"112611","へへっ、しぶりんってば\nクールぶってるくせに、熱いねぇ♪\nそんなしぶりんは、しまむーと私で\nぎゅ～っとしちゃうぞ～！","1","10","","11","7","","1070057","1",""
"10","1","","","","93","7","","1070058","",""
"112611","0","","1","","4","7","","1070059","",""
"112611","120","0","-205","","2","7","","1070060","1",""
"112411","420","0","-205","","2","7","","1070061","1",""
"112611","omp_psn_13","omp_psn_13_loop","0","","3","7","0","1070062","1","0.1"
"112411","omp_psn_13","omp_psn_13_loop","0","","3","7","0","1070063","1","0.1"
"112511","omp_psn_15","omp_psn_15_loop","0","","3","7","0","1070064","1","0"
"1","1","","","","93","7","","1070065","",""
"105831","omp_surprise","omp_idle_surprise1","0","","3","7","0","1070066","1",""
"105931","omp_surprise","omp_idle_surprise1","0","","3","7","0","1070067","1",""
"106031","omp_surprise","omp_idle_surprise2","0","","3","7","0","1070068","1","0.2"
"1070057","","","","","91","7","","1070069","",""
"vo_omp_7007","vo_omp_7007_009","0","0","","21","7","","1070070","",""
"112511","ちょっ、や、やめてよ…！","1","10","","11","7","","1070071","1",""
"0","","","","","91","7","","1070072","",""
"105831","1","","1","","4","7","","1070073","",""
"105831","omp_talk_joy1","","1","","3","7","0","1070074","",""
"vo_omp_7007","vo_omp_7007_010","0","0","","21","7","","1070075","",""
"105831","キャルちゃん、\nわたしたちもやりましょう♪","1","10","","11","7","","1070076","1",""
"0","","","","","91","7","","1070077","",""
"105831","omp_idle_joy1","","1","","3","7","0","1070078","",""
"106031","omp_talk_tsun","","1","","3","7","0","1070079","",""
"vo_omp_7007","vo_omp_7007_011","0","0","","21","7","","1070080","",""
"106031","は！？　なんでよ、イヤよ、お断りよ！\nこらっ、なんで近づいてくるのよ！？\nコロ助、助けなさいよっ！？","1","10","","11","7","","1070081","1",""
"4","1","","","","93","7","","1070082","",""
"105831","omp_walk","","1","","3","7","0","1070083","",""
"105831","-120","1","-205","","2","7","","1070084","1",""
"0","","","","","91","7","","1070085","",""
"105831","omp_idle_joy1","","1","","3","7","0.2","1070086","",""
"1070081","","","","","91","7","","1070087","",""
"105831","omp_idle_joy1","","1","","3","7","0","1070088","",""
"106031","omp_idle_tsun","","1","","3","7","0","1070089","",""
"105931","omp_talk_normal","","1","","3","7","0","1070090","",""
"vo_omp_7007","vo_omp_7007_012","0","0","","21","7","","1070091","",""
"105931","キャルさま\n逃げ道はございません\n僭越ながら、わたくしも\n参加させてもらいますので…♪","1","10","","11","7","","1070092","1",""
"0","","","","","91","7","","1070093","",""
"105831","-120","0","-205","","2","7","","1070094","1",""
"105931","-440","0","-205","","2","7","","1070095","1",""
"105831","omp_psn_14","omp_psn_14_loop","0","","3","7","0","1070096","1","0.1"
"105931","omp_psn_14","omp_psn_14_loop","0","","3","7","0","1070097","1","0.1"
"106031","omp_psn_15","omp_psn_15_loop","0","","3","7","0","1070098","1","0"
"vo_omp_7007","vo_omp_7007_013","0","0","","21","7","","1070099","",""
"105831","ぎゅう～♪","1","10","","11","7","","1070100","1",""
"0","","","","","91","7","","1070101","",""
"106031","omp_psn_16_loop","","1","","3","7","0","1070102","",""
"vo_omp_7007","vo_omp_7007_014","0","0","","21","7","","1070103","",""
"106031","ちょっ、ふざけんなっ、おぶっ！？\nペコリーヌ、力加減！\nあたしを半分にする気！？\nちょっ、なんなのよ～っ！？","1","10","","11","7","","1070104","1",""
"0","","","","","91","7","","1070105","",""
"112611","omp_psn_13_loop","","1","","3","7","0","1070106","",""
"vo_omp_7007","vo_omp_7007_015","0","0","","21","7","","1070107","",""
"112611","わー！\nキャルキャル～！","1","10","","11","7","","1070108","1",""
"0","","","","","91","7","","1070109","",""
"112611","omp_psn_13_loop","","1","","3","7","0","1070110","",""
"112411","omp_psn_13_loop","","1","","3","7","0","1070111","",""
"vo_omp_7007","vo_omp_7007_016","0","0","","21","7","","1070112","",""
"112411","あはは♪\n【美食殿】のみなさんの\nスキンシップ、大胆ですねっ！","1","10","","11","7","","1070113","1",""
"0","","","","","91","7","","1070114","",""
"112411","omp_psn_13_loop","","1","","3","7","0","1070115","",""
"112511","omp_psn_15_loop","","1","","3","7","0","1070116","",""
"vo_omp_7007","vo_omp_7007_017","0","0","","21","7","","1070117","",""
"112511","大胆とかいうレベルを\n超えてる気がするんだけど…っ！？\nちょっ、やめ…ひゃああっ！","1","10","","11","7","","1070118","1",""
"5.5","1","","","","93","7","","1070119","",""
"112511","omp_psn_16_loop","","1","","3","7","0.1","1070120","",""
"1070118","","","","","91","7","","1070121","",""
"0.4","","","","","93","7","","1070122","",""
"1","105831","200","1600","omp_idle_normal","1","8","1.8","1080001","-195","1"
"1","105931","0","1500","omp_talk_normal","1","8","1.8","1080002","-185","0"
"1","106031","-200","1600","omp_idle_normal","1","8","1.8","1080003","-205","0"
"1","1","0","0","","31","8","1","1080004","1",""
"1","","","","","93","8","","1080005","",""
"vo_omp_7008","vo_omp_7008_000","0","0","","21","8","","1080006","",""
"105931","ムーサの町…初めて訪れましたが\n素敵な町でございますね","1","10","","11","8","","1080007","1",""
"0","","","","","91","8","","1080008","",""
"105931","omp_idle_normal","","1","","3","8","0","1080009","",""
"105831","omp_talk_joy1","","1","","3","8","0","1080010","",""
"vo_omp_7008","vo_omp_7008_001","0","0","","21","8","","1080011","",""
"105831","はい♪　活気もありますし\nなにより色んな特産品が美味しそうで\nやばいですね☆","1","10","","11","8","","1080012","1",""
"0","","","","","91","8","","1080013","",""
"105831","omp_idle_joy1","","1","","3","8","0","1080014","",""
"106031","omp_talk_sad","","1","","3","8","0","1080015","",""
"vo_omp_7008","vo_omp_7008_002","0","0","","21","8","","1080016","",""
"106031","はぁ。本当にあんたの頭の中は\n食べることばっかりね","1","10","","11","8","","1080017","1",""
"0","","","","","91","8","","1080018","",""
"106031","omp_idle_sad","","1","","3","8","0","1080019","",""
"105931","omp_talk_normal","","1","","3","8","0","1080020","",""
"vo_omp_7008","vo_omp_7008_003","0","0","","21","8","","1080021","",""
"105931","ふふ、ではこの後\n食べ歩きをいたしませんか？\nわたくし、お腹が空いてしまいました","1","10","","11","8","","1080022","1",""
"0","","","","","91","8","","1080023","",""
"105931","omp_idle_normal","","1","","3","8","0","1080024","",""
"106031","omp_talk_surprise1","","1","","3","8","0","1080025","",""
"vo_omp_7008","vo_omp_7008_004","0","0","","21","8","","1080026","",""
"106031","コロ助まで！？","1","10","","11","8","","1080027","1",""
"0","","","","","91","8","","1080028","",""
"106031","omp_idle_surprise1","","1","","3","8","0","1080029","",""
"105831","omp_talk_normal","","1","","3","8","0","1080030","",""
"vo_omp_7008","vo_omp_7008_005","0","0","","21","8","","1080031","",""
"105831","キャルちゃんはどうしますか～？","1","10","","11","8","","1080032","1",""
"0","","","","","91","8","","1080033","",""
"105931","1","","","","4","8","","1080034","",""
"105831","omp_idle_normal","","1","","3","8","0","1080035","",""
"106031","omp_talk_tsun","","1","","3","8","0","1080036","",""
"vo_omp_7008","vo_omp_7008_006","0","0","","21","8","","1080037","",""
"106031","あたしだって\n美味しいもの食べたいわよ！\n…魔物料理じゃなきゃね","1","10","","11","8","","1080038","1",""
"0","","","","","91","8","","1080039","",""
"106031","omp_idle_tsun","","1","","3","8","0","1080040","",""
"105931","omp_talk_normal","","1","","3","8","0","1080041","",""
"vo_omp_7008","vo_omp_7008_007","0","0","","21","8","","1080042","",""
"105931","ふふ、わたくしたちの思いは一つ\nさすが【美食殿】でございますね♪","1","10","","11","8","","1080043","1",""
"0","","","","","91","8","","1080044","",""
"105931","0","","","","4","8","","1080045","",""
"105931","omp_idle_normal","","1","","3","8","0","1080046","",""
"105831","omp_talk_joy1","","1","","3","8","0","1080047","",""
"vo_omp_7008","vo_omp_7008_008","0","0","","21","8","","1080048","",""
"105831","えっへへ～♪\nそれじゃあ行きましょう！\nコッコロちゃん！　キャルちゃん！","1","10","","11","8","","1080049","1",""
"0","","","","","91","8","","1080050","",""
"0.4","","","","","93","8","","1080051","",""
"1","105831","300","1600","omp_idle_normal","1","9","1.8","1090001","-270","1"
"1","105931","450","1700","omp_idle_normal","1","9","1.8","1090002","-285","1"
"1","106031","-310","1600","omp_idle_normal","1","9","1.8","1090003","-230","1"
"1","112511","-45","1500","omp_idle_normal","1","9","1.8","1090004","-190","1"
"1","112411","65","1600","omp_idle_normal","1","9","1.8","1090005","-240","1"
"1","112611","205","1500","omp_idle_normal","1","9","1.8","1090006","-192","1"
"1","1","0","0","","31","9","1","1090007","1",""
"0.2","","","","","93","9","","1090008","",""
"112611","omp_idle_normal","","1","","3","9","0.1","1090009","",""
"106031","omp_talk_sad","","1","","3","9","0","1090010","",""
"112511","omp_idle_normal","","1","","3","9","0.1","1090011","",""
"105831","omp_idle_normal","","1","","3","9","0.1","1090012","",""
"0.1","","","","","93","9","","1090013","",""
"1","","","","","93","9","","1090014","",""
"vo_omp_7009","vo_omp_7009_000","0","0","","21","9","","1090015","",""
"106031","ここでのことは思い出したくないわ\nなんであんなことしちゃったのかしら…\nはぁ。ほんっとサイアク！","1","10","","11","9","","1090016","1",""
"0","","","","","91","9","","1090017","",""
"106031","omp_psn_17","","0","","3","9","0","1090018","",""
"vo_omp_7009","vo_omp_7009_001","0","0","","21","9","","1090019","",""
"106031","…きゃるきゃるーん\nなんて、にゃ","1","10","","11","9","","1090020","1",""
"2","1","","","","93","9","","1090021","",""
"106031","omp_talk_sad","","1","","3","9","0.2","1090022","",""
"1090020","","","","","91","9","","1090023","",""
"106031","omp_idle_sad","","1","","3","9","0","1090024","",""
"105831","omp_psn_17","omp_idle_joy1","0","","3","9","0","1090025","1","0.2"
"vo_omp_7009","vo_omp_7009_002","0","0","","21","9","","1090026","",""
"105831","きゃるきゃるーん♪","1","10","","11","9","","1090027","1",""
"0","","","","","91","9","","1090028","",""
"105931","omp_psn_17","omp_idle_normal","1","","3","9","0","1090029","1","0.2"
"vo_omp_7009","vo_omp_7009_003","0","0","","21","9","","1090030","",""
"105931","きゃるきゃるーん、でございますにゃ","1","10","","11","9","","1090031","1",""
"0","","","","","91","9","","1090032","",""
"106031","0","","","","4","9","","1090033","",""
"106031","omp_surprise","omp_idle_surprise1","0","","3","9","0","1090034","1","0"
"vo_omp_7009","vo_omp_7009_004","0","0","","21","9","","1090035","",""
"106031","なっ、あんたたち！？\nい、今のっ、見てっ…！？","1","10","","11","9","","1090036","1",""
"0","","","","","91","9","","1090037","",""
"112611","omp_psn_17_other","omp_idle_joy1","1","","3","9","0","1090038","1","0.2"
"vo_omp_7009","vo_omp_7009_005","0","0","","21","9","","1090039","",""
"112611","きゃっるきゃる～ん♪\n華麗に登場にゃ☆","1","10","","11","9","","1090040","1",""
"0","","","","","91","9","","1090041","",""
"106031","omp_talk_anger2","","1","","3","9","0","1090042","",""
"vo_omp_7009","vo_omp_7009_006","0","0","","21","9","","1090043","",""
"106031","殺す！　殺すわ！\n全員まとめてぶっ殺して\nあんなことしちゃったあたしも殺すわ！\nみんな消し去ってやるわよぉ～っ！","1","10","","11","9","","1090044","1",""
"0","","","","","91","9","","1090045","",""
"106031","omp_idle_anger2","","1","","3","9","0","1090046","",""
"112411","omp_talk_sad","","1","","3","9","0","1090047","",""
"vo_omp_7009","vo_omp_7009_007","0","0","","21","9","","1090048","",""
"112411","キャ、キャルちゃん。えっと、その…","1","10","","11","9","","1090049","1",""
"0","","","","","91","9","","1090050","",""
"112411","omp_idle_sad","","1","","3","9","0","1090051","",""
"112511","omp_talk_normal","","1","","3","9","0","1090052","",""
"vo_omp_7009","vo_omp_7009_008","0","0","","21","9","","1090053","",""
"112511","大変だね","1","10","","11","9","","1090054","1",""
"0","","","","","91","9","","1090055","",""
"112511","omp_idle_normal","","1","","3","9","0","1090056","",""
"106031","omp_talk_tsun","","1","","3","9","0","1090057","",""
"vo_omp_7009","vo_omp_7009_009","0","0","","21","9","","1090058","",""
"106031","あ、あんたたちは見逃してあげるわ…！\nでもあいつらはダメ！\nこの世から消し去らないとあたしが\n安心できないっ…！","1","10","","11","9","","1090059","1",""
"0","","","","","91","9","","1090060","",""
"106031","omp_idle_tsun","","1","","3","9","0","1090061","",""
"112511","omp_talk_normal","","1","","3","9","0","1090062","",""
"vo_omp_7009","vo_omp_7009_010","0","0","","21","9","","1090063","",""
"112511","でもあれ、かわいかったと思うけど","1","10","","11","9","","1090064","1",""
"0","","","","","91","9","","1090065","",""
"112511","omp_idle_normal","","1","","3","9","0","1090066","",""
"112411","omp_talk_joy2","","1","","3","9","0","1090067","",""
"vo_omp_7009","vo_omp_7009_011","0","0","","21","9","","1090068","",""
"112411","はい！　とっても素敵でした！","1","10","","11","9","","1090069","1",""
"0","","","","","91","9","","1090070","",""
"112411","omp_psn_20","","1","","3","9","0","1090071","",""
"106031","omp_talk_tsun","","1","","3","9","0","1090072","",""
"vo_omp_7009","vo_omp_7009_012","0","0","","21","9","","1090073","",""
"106031","そんなのうれしくないわよ～っ！？","1","10","","11","9","","1090074","1",""
"0","","","","","91","9","","1090075","",""
"106031","omp_idle_tsun","","1","","3","9","0","1090076","",""
"105831","omp_psn_17","omp_idle_joy1","0","","3","9","0","1090077","1","0.2"
"105931","omp_psn_17","omp_idle_normal","0","","3","9","0","1090078","1","0.2"
"112611","omp_psn_17_other","omp_idle_joy1","0","","3","9","0","1090079","1","0.2"
"vo_omp_7009","vo_omp_7009_013","0","0","","21","9","","1090080","",""
"105831","きゃるきゃるーん♪","1","10","","11","9","","1090081","1",""
"0","","","","","91","9","","1090082","",""
"106031","omp_talk_anger2","","1","","3","9","0","1090083","",""
"vo_omp_7009","vo_omp_7009_014","0","0","","21","9","","1090084","",""
"106031","絶対にぶっ殺す～～～～～～～！","1","10","","11","9","","1090085","1",""
"0","","","","","91","9","","1090086","",""
"0.4","","","","","93","9","","1090087","",""
