ff5694dd2d221ee23076e9cd83991f6be90ea5367eaba70696284eb597a425c4,9e3694aaab0c4cabea82e9ece6855e68000514ab13ba7b10f154a6db9438ff2d,9ba09e679877d1f403a3be2bdfc01310dd77ce10e2e9744b1741a091831d86cd,1c9090c89bbb8368a4f25d64a5e5b1054ddf61c802c1411dd1ff57e67606898c,f8d87c6a942f4f71d612b3b1bb8a831a6ce3eb9155845ec0011996151536cdb6,5aa3fac5e7a15ec021d12dbe697ebe72a93c69338f0a25faa053f1d9cad60501,fc1fb77c3cb263d38676a1d3c8d9f503b0156dabce7f2b67208b2fd92d7ecfbc,2bdb65d2196896a867737587d892bc3ad774a0db54129df9b927c700e6060203,17c72694f44ca3a0c88ed7c083fc54a84cfeb52de3a02096598ec8f47693f3b4,491a6359acd032581b1e0ae90e07dbcc2e372838bffa80f745e4b24b7d9d81c6,0dc6eaad2ce0d070a31e667060ef0a403e861e63845c12112c213d06e2c168b8
"-15","12","19030002","1","0","113311","03_cmn_run_def_N","903","1","1.4875","750"
"","1","19030003","se_10053800","","se_fpc_water_random","","903","23","",""
"","","19030004","19030002","","0","","903","91","",""
"","-15","19030005","113211","","-150","","903","2","","3.52941176470588"
"","","19030006","1.5","","0","","903","93","",""
"","-15","19030007","113311","","150","","903","2","","2.71493212669683"
"","","19030008","19030005","","","","903","91","",""
"","1","19030009","113211","","03_cmn_idol_def_N","","903","3","0.1",""
"","","19030010","19030007","","","","903","91","",""
"","1","19030011","113311","","03_nanaka_gufufu","","903","3","0.3",""
"","","19030012","0.3","","0","","903","93","",""
"","","19030013","vo_fpc","","vo_fpc_20300","","903","21","","0"
"0","10","19030014","113311","0","ぐっふっふ、\nさすがアンナたそ♪","0.5","903","11","0","1"
"","","19030015","0","","","","903","91","",""
"","","19030016","0.5","","0","","903","93","",""
"","","19030017","vo_fpc","","vo_fpc_20301","","903","21","","0"
"0","10","19030018","113311","0","ナナカちゃんセレクトの伝説のスク水を\n完璧に着こなしておりますなあ！","0.5","903","11","0","1"
"","","19030019","0","","","","903","91","",""
"","","19030020","0.5","","0","","903","93","",""
"","1","19030021","113211","","03_anna_shy","","903","3","0.1",""
"","","19030022","vo_fpc","","vo_fpc_20302","","903","21","","0"
"0","10","19030023","113211","0","なっ、これは他に持ってないから\n仕方なくだなあ…","0.5","903","11","0","1"
"","","19030024","0","","","","903","91","",""
"","","19030025","0.5","","0","","903","93","",""
"","","19030026","vo_fpc","","vo_fpc_20303","","903","21","","0"
"0","10","19030027","113311","0","だいじょぶだいじょぶ、\n似合ってるのはホントだってば！","0.5","903","11","0","1"
"","","19030028","0","","","","903","91","",""
"","","19030029","0.5","","0","","903","93","",""
"","","19030030","vo_fpc","","vo_fpc_20304","","903","21","","0"
"0","10","19030031","113311","0","それともぉ…\nこっちの水着と交換してみる？","0.5","903","11","0","1"
"","","19030032","0","","","","903","91","",""
"","","19030033","0.5","","0","","903","93","",""
"1","0","19030034","113211","","03_anna_pui_in","","903","3","0.1","03_anna_pui_loop"
"","","19030035","vo_fpc","","vo_fpc_20305","","903","21","","0"
"0","10","19030036","113211","0","それはそれで恥ずかしいじゃないか！","0.5","903","11","0","1"
"","","19030037","0","","","","903","91","",""
"","","19030038","0.5","","0","","903","93","",""
"","","19030039","vo_fpc","","vo_fpc_20306","","903","21","","0"
"0","10","19030040","113211","0","わ、我には友が選んでくれた\nこのスク水で十分だ！","0.5","903","11","0","1"
"","","19030041","0","","","","903","91","",""
"","","19030042","0.5","","0","","903","93","",""
"","1","19030043","113311","","1","","903","4","0.1",""
"","1","19030044","113211","","1","","903","4","0.1",""
"","1","19030045","113311","","03_cmn_run_def_N","","903","3","0.1",""
"","1","19030046","113211","","03_cmn_walk_styk_N2","","903","3","0.1",""
"","-15","19030047","113311","","750","","903","2","","2.71493212669683"
"","-15","19030048","113211","","-750","","903","2","","3.52941176470588"
"","","19030049","0","","","","903","91","",""
"-180","22","19040001","1","0","122811","04_misogi_flutterKick_loop","904","1","1.75","-910"
"-125","12","19040002","1","0","122911","04_mimi_flutterKick_loop","904","1","1.75","-910"
"-180","22","19040003","1","0","122711","04_kyouka_flutterKick_loop","904","1","1.75","-910"
"-180","23","19040004","1","0","129311","04_yuni_flutterKick_loop","904","1","1.75","-910"
"-180","22","19040005","1","0","1","cmn_swm_flutterKick_floatBoad","904","5","1.75","-910"
"-180","24","19040006","3","0","3","empty","904","5","1.75","-50"
"1","-910","19040007","1","","1","","904","31","1","-180"
"1","-910","19040008","4","","11","","904","31","0","-180"
"1","-910","19040009","7","","2","","904","31","1","-125"
"1","-910","19040010","4","","21","","904","31","0","-125"
"1","-910","19040011","1","","3","","904","31","1","-180"
"1","-910","19040012","4","","31","","904","31","0","-180"
"1","-910","19040013","1","","4","","904","31","1","-180"
"1","-50","19040014","4","","41","","904","31","0","-180"
"1","-180","19040015","1006","","1006","","904","31","0","0"
"","1","19040016","se_10053800","","se_fpc_water_random","","904","23","",""
"","","19040017","19040015","","0","","904","91","",""
"12","-180","19040018","122811","","375","","904","2","","5.81447963800905"
"12","-180","19040019","1","","375","","904","33","","5.81447963800905"
"12","-180","19040020","11","","375","","904","33","","5.81447963800905"
"","","19040021","","","","","904","91","",""
"","","19040022","1","","0","","904","32","",""
"","","19040023","11","","1","","904","32","",""
"1","0","19040024","122811","0.1","04_misogi_float_in","","904","3","0.1","04_misogi_float_loop"
"","","19040025","0.9","","0","","904","93","",""
"","","19040026","vo_fpc","","vo_fpc_20400","","904","21","","0"
"0","10","19040027","122811","0","わーい！　ミソギがいっちばーん！\nオニさんこっちらー！","0.5","904","11","0","1"
"","","19040028","0","","","","904","91","",""
"","","19040029","0.5","","0","","904","93","",""
"12","-125","19040030","122911","","100","","904","2","","5.94117647058824"
"12","-125","19040031","2","","100","","904","33","","5.94117647058824"
"12","-125","19040032","21","","100","","904","33","","5.94117647058824"
"","","19040033","2","","0","","904","93","",""
"","","19040034","vo_fpc","","vo_fpc_20401","","904","21","","0"
"0","10","19040035","122911","0","逃げろ逃げろ～！","0.5","904","11","0","1"
"","","19040036","19040032","","","","904","91","",""
"","","19040037","2","","0","","904","32","",""
"","","19040038","21","","1","","904","32","",""
"1","0","19040039","122911","0.1","04_mimi_float_in","","904","3","0.1","04_mimi_float_loop"
"12","-180","19040040","122711","","-175","","904","2","","5.40441176470588"
"12","-180","19040041","3","","-175","","904","33","","5.40441176470588"
"12","-180","19040042","31","","-175","","904","33","","5.40441176470588"
"","","19040043","2","","0","","904","93","",""
"","","19040044","vo_fpc","","vo_fpc_20402","","904","21","","0"
"0","10","19040045","122711","0","も～！　二人とも待ってよ～！","0","904","11","0","1"
"","","19040046","19040042","","","","904","91","",""
"","","19040047","3","","0","","904","32","",""
"","","19040048","31","","1","","904","32","",""
"1","0","19040049","122711","0.1","04_kyouka_float_in","","904","3","0.1","04_kyouka_float_loop"
"","","19040050","1.2","","0","","904","93","",""
"","","19040051","1006","","1","","904","32","",""
"","","19040052","0.8","","0","","904","93","",""
"","","19040053","1","","1","","904","32","",""
"","","19040054","11","","0","","904","32","",""
"","","19040055","2","","1","","904","32","",""
"","","19040056","21","","0","","904","32","",""
"","","19040057","3","","1","","904","32","",""
"","","19040058","31","","0","","904","32","",""
"1","0","19040059","122811","0.1","04_misogi_flutterKick_in","","904","3","0.1","04_misogi_flutterKick_loop"
"","-180","19040060","122811","","1000","","904","2","","2.82805429864253"
"","-180","19040061","1","","1000","","904","33","","2.82805429864253"
"","","19040062","0.1","","0","","904","93","",""
"1","0","19040063","122911","0.1","04_mimi_flutterKick_in","","904","3","0.1","04_mimi_flutterKick_loop"
"","-125","19040064","122911","","1000","","904","2","","4.07239819004525"
"","-125","19040065","2","","1000","","904","33","","4.07239819004525"
"","","19040066","0.1","","0","","904","93","",""
"1","0","19040067","122711","0.1","04_kyouka_flutterKick_in","","904","3","0.1","04_kyouka_flutterKick_loop"
"","-180","19040068","122711","","1000","","904","2","","5.31674208144796"
"","-180","19040069","3","","1000","","904","33","","5.31674208144796"
"","","19040070","0.1","","0","","904","93","",""
"","-180","19040071","129311","","-50","","904","2","","5.05882352941176"
"","-180","19040072","4","","-50","","904","33","","5.05882352941176"
"","-180","19040073","1","","-50","","904","2","","5.05882352941176"
"","","19040074","2","","0","","904","93","",""
"","","19040075","vo_fpc","","vo_fpc_20403","","904","21","","0"
"0","10","19040076","129311","0","わーい♪","0.5","904","11","0","1"
"","","19040077","2.75882352941176","","0","","904","93","",""
"1","0","19040078","3","0.1","04_yuni_flutterKick_pause_in","","904","3","0.1","04_yuni_flutterKick_pause_loop"
"1","0","19040079","129311","0.1","04_yuni_flutterKick_pause_in","","904","3","0.1","04_yuni_flutterKick_pause_loop"
"1","0","19040080","1","0.1","04_yuni_flutterKick_pause_in","","904","3","0.1","04_yuni_flutterKick_pause_loop"
"","","19040081","0.3","","0","","904","93","",""
"","","19040082","vo_fpc","","vo_fpc_20404","","904","21","","0"
"","","19040083","4","","0","","904","32","",""
"","","19040084","41","","1","","904","32","",""
"","","19040085","5","","0","","904","93","",""
"","0","19040086","3","","empty","","904","3","0.1",""
"1","0","19040087","129311","0.1","04_yuni_flutterKick_in","","904","3","0.2","04_yuni_flutterKick_loop"
"1","0","19040088","1","0.1","04_yuni_flutterKick_in","","904","3","0.2","cmn_swm_flutterKick_floatBoad"
"","","19040089","4","","1","","904","32","",""
"","","19040090","41","","0","","904","32","",""
"","-180","19040091","129311","","1000","","904","2","","6.17647058823529"
"","-180","19040092","1","","1000","","904","2","","6.17647058823529"
"","-180","19040093","4","","1000","","904","33","","6.17647058823529"
"","","19040094","0.3","","0","","904","93","",""
"","","19040095","vo_fpc","","vo_fpc_20405","","904","21","","0"
"0","10","19040096","129311","0","わーいわーい♪","0.5","904","11","0","1"
"","","19040097","19040091","","","","904","91","",""
"-125","12","19050001","1","0","117111","cmn_swm_flutterKick","905","1","1.75","-910"
"-180","22","19050002","1","0","117011","cmn_swm_flutterKick","905","1","1.75","-910"
"-15","12","19050003","1","0","107611","cmn_walk_r","905","1","1.4875","750"
"1","-910","19050004","7","","1","","905","31","1","-125"
"1","-910","19050005","4","","11","","905","31","0","-125"
"1","-910","19050006","1","","2","","905","31","1","-180"
"1","-910","19050007","4","","21","","905","31","0","-180"
"","1","19050008","se_10053800","","se_fpc_water_random","","905","23","",""
"","","19050009","19050007","","0","","905","91","",""
"12","-125","19050010","117111","","0","","905","2","","5.35294117647059"
"12","-125","19050011","1","","0","","905","33","","5.35294117647059"
"12","-125","19050012","11","","0","","905","33","","5.35294117647059"
"","","19050013","","","","","905","91","",""
"","","19050014","1","","0","","905","32","",""
"","","19050015","11","","1","","905","32","",""
"1","0","19050016","117111","0.1","05_shizuru_search_in","","905","3","0.1","05_shizuru_search_loop"
"","","19050017","1","","0","","905","93","",""
"","","19050018","vo_fpc","","vo_fpc_20500","","905","21","","0"
"0","10","19050019","117111","0","うーん…おかしいなあ…\nここらへんで弟くんの「気」を\n感じたんだけど…","0.5","905","11","0","1"
"","","19050020","1.81764705882353","","1","","905","93","",""
"12","-180","19050021","117011","","-250","","905","2","","3.88235294117647"
"12","-180","19050022","2","","-250","","905","33","","3.88235294117647"
"12","-180","19050023","21","","-250","","905","33","","3.88235294117647"
"","","19050024","2.38235294117647","","0","","905","93","",""
"","","19050025","1.5","","0","","905","93","",""
"","","19050026","19050019","","","","905","91","",""
"","","19050027","19050021","","","","905","91","",""
"1","0","19050028","117011","0.1","05_eriko_talk_in","","905","3","0.1","05_eriko_talk_loop"
"","","19050029","2","","0","","905","32","",""
"","","19050030","21","","1","","905","32","",""
"","","19050031","vo_fpc","","vo_fpc_20501","","905","21","","0"
"0","10","19050032","117011","0","あのおかたのオーラの残滓…\n確かにこのあたりなのですが…","0.5","905","11","0","1"
"","","19050033","2.15294117647059","","1","","905","93","",""
"0","-15","19050034","107611","","300","","905","2","","2.64705882352941"
"","","19050035","1.14705882352941","","0","","905","93","",""
"","","19050036","1.5","","0","","905","93","",""
"","","19050037","19050032","","","","905","91","",""
"","","19050038","19050034","","","","905","91","",""
"","1","19050039","107611","","05_kokkoro_talk","","905","3","0.2",""
"","","19050040","vo_fpc","","vo_fpc_20502","","905","21","","0"
"0","10","19050041","107611","0","シズルさまにエリコさま、\nどうかされたのですか？","0.5","905","11","0","1"
"","","19050042","0","","","","905","91","",""
"","","19050043","0.5","","0","","905","93","",""
"1","0","19050044","117111","0.1","05_shizuru_greet_in","","905","3","0.1","05_shizuru_greet_loop"
"","","19050045","vo_fpc","","vo_fpc_20503","","905","21","","0"
"0","10","19050046","117111","0","あ、コッコロちゃん♪\nそっかー、コッコロちゃんに残った\n弟くんの「気」を感じちゃったんだね♪","0.5","905","11","0","1"
"","","19050047","0","","","","905","91","",""
"","","19050048","0.5","","0","","905","93","",""
"1","0","19050049","117011","0.1","05_eriko_pressure_in","","905","3","0.1","05_eriko_pressure_loop"
"","","19050050","vo_fpc","","vo_fpc_20504","","905","21","","0"
"0","10","19050051","117011","0","なんですか、その気持ちの悪い根拠は。\nそれよりも、あの方はどこにおられるのか\n知っているのでしょう？\n隠し立ては許しませんよ。","0.5","905","11","0","1"
"","","19050052","0","","","","905","91","",""
"","","19050053","0.5","","0","","905","93","",""
"","1","19050054","107611","","05_kokkoro_talk2","","905","3","0.3",""
"","","19050055","vo_fpc","","vo_fpc_20505","","905","21","","0"
"0","10","19050056","107611","0","隠し立てなど、そんな。","0.5","905","11","0","1"
"","","19050057","0","","","","905","91","",""
"","","19050058","0.5","","0","","905","93","",""
"1","0","19050059","107611","0.1","05_kokkoro_point_in","","905","3","0.1","05_kokkoro_point_loop"
"","","19050060","vo_fpc","","vo_fpc_20506","","905","21","","0"
"0","10","19050061","107611","0","主さまは先ほどあちらの方に\n流れていかれましたが…","0.5","905","11","0","1"
"","","19050062","0","","","","905","91","",""
"","","19050063","0.5","","0","","905","93","",""
"1","0","19050064","117111","0.1","05_shizuru_smile_in","","905","3","0.1","05_shizuru_smile_loop"
"","","19050065","vo_fpc","","vo_fpc_20507","","905","21","","0"
"0","10","19050066","117111","0","あっちね！\nよーし、お姉ちゃんが\n今すぐ助けにいくからね！","0.5","905","11","0","1"
"","","19050067","0","","","","905","91","",""
"","","19050068","0.5","","0","","905","93","",""
"1","0","19050069","117011","0.1","05_eriko_sad_in","","905","3","0.1","05_eriko_sad_loop"
"","","19050070","vo_fpc","","vo_fpc_20508","","905","21","","0"
"0","10","19050071","117011","0","ああ、なんということ…\n私が今お助けに向かいます！","0.5","905","11","0","1"
"","","19050072","0","","","","905","91","",""
"","","19050073","0.5","","0","","905","93","",""
"1","0","19050074","117111","0.1","05_shizuru_flutterKick_in","","905","3","0.1","05_shizuru_flutterKick_loop"
"","-125","19050075","117111","","1000","","905","2","","2.66169816342827"
"","-125","19050076","1","","1000","","905","33","","2.66169816342827"
"","","19050077","1","","1","","905","32","",""
"","","19050078","11","","0","","905","32","",""
"","","19050079","0.1","","0","","905","93","",""
"1","0","19050080","117011","0.1","05_eriko_flutterKick_in","","905","3","0.1","05_eriko_flutterKick_loop"
"","-180","19050081","117011","","1000","","905","2","","3.14228255404726"
"","-180","19050082","2","","1000","","905","33","","3.14228255404726"
"","","19050083","2","","1","","905","32","",""
"","","19050084","21","","0","","905","32","",""
"","","19050085","19050081","","","","905","91","",""
"1","0","19050086","107611","0.1","05_kokkoro_talk3_in","","905","3","0.1","05_kokkoro_talk3_loop"
"","","19050087","vo_fpc","","vo_fpc_20509","","905","21","","0"
"0","10","19050088","107611","0","行ってしまわれました…","0.5","905","11","0","1"
"","","19050089","0","","","","905","91","",""
"","","19050090","0.5","","0","","905","93","",""
"","","19050091","vo_fpc","","vo_fpc_20510","","905","21","","0"
"0","10","19050092","107611","0","あのお二人が揃われると\n何が起こるか心配ですね…","0.5","905","11","0","1"
"","","19050093","0","","","","905","91","",""
"","","19050094","0.5","","0","","905","93","",""
"","","19050095","vo_fpc","","vo_fpc_20511","","905","21","","0"
"0","10","19050096","107611","0","主さまの前で暴走されぬよう\nわたくしが見張っておかねば…！","0.5","905","11","0","1"
"","","19050097","0","","","","905","91","",""
"","","19050098","0.5","","0","","905","93","",""
"0","-15","19050099","107611","","850","","905","2","","1.65912518853695"
"","1","19050100","107611","","05_kokkoro_run","","905","3","0.2",""
"","","19050101","vo_fpc","","vo_fpc_20512","","905","21","","0"
"0","10","19050102","107611","0","主さまー！","0.5","905","11","0","1"
"","","19050103","0","","","","905","91","",""
"","","19050104","0.5","","0","","905","93","",""
"","","19050105","19050099","","","","905","91","",""
"-180","22","19060001","1","0","126911","cmn_float","906","1","1.75","-850"
"-125","12","19060002","1","0","117311","cmn_float","906","1","1.75","-850"
"1","-850","19060003","6","","11","","906","31","1","-180"
"1","-850","19060004","1007","","10071","","906","31","0","-180"
"1","-850","19060005","6","","21","","906","31","1","-125"
"1","-850","19060006","1007","","10072","","906","31","0","-125"
"1","-850","19060007","1008","","10081","","906","31","0","-125"
"","1","19060008","se_10053800","","se_fpc_water_random","","906","23","",""
"","","19060009","19060007","","0","","906","91","",""
"12","-180","19060010","126911","","0","","906","2","","6.25"
"12","-180","19060011","11","","0","","906","33","","6.25"
"12","-180","19060012","10071","","0","","906","33","","6.25"
"","","19060013","3","","0","","906","93","",""
"","","19060014","vo_fpc","","vo_fpc_20600","","906","21","","0"
"","1","19060015","126911","","06_cmn_float_sing","","906","3","0.2",""
"","","19060016","10071","","1","","906","32","",""
"","","19060017","19060010","","","","906","91","",""
"","1","19060018","126911","","cmn_float","","906","3","0.2",""
"","","19060019","vo_fpc","","vo_fpc_20601","","906","21","","0"
"0","10","19060020","126911","0","たまには、こういう所も\n悪くないかも…","0.5","906","11","0","1"
"","","19060021","0","","","","906","91","",""
"","","19060022","0.5","","0","","906","93","",""
"12","-125","19060023","117311","","-150","","906","2","","5.14705882352941"
"12","-125","19060024","21","","-150","","906","33","","5.14705882352941"
"12","-125","19060025","10072","","-150","","906","33","","5.14705882352941"
"12","-125","19060026","10081","","-150","","906","33","","5.14705882352941"
"12","-180","19060027","126911","","150","","906","2","","5.14705882352941"
"12","-180","19060028","11","","150","","906","33","","5.14705882352941"
"12","-180","19060029","10071","","150","","906","33","","5.14705882352941"
"","","19060030","2.5","","0","","906","93","",""
"","","19060031","vo_fpc","","vo_fpc_20602","","906","21","","0"
"","1","19060032","126911","","06_cmn_float_sing","","906","3","0.2",""
"","1","19060033","117311","","06_cmn_float_sing","","906","3","0.2",""
"","","19060034","10071","","0","","906","32","",""
"","","19060035","10071","","1","","906","32","",""
"","","19060036","10072","","1","","906","32","",""
"","","19060037","19060029","","","","906","91","",""
"","","19060038","126911","","1","","906","4","",""
"","-180","19060039","11","","180","","906","33","","0"
"1","0","19060040","126911","0.1","06_ranpha_float_notice","","906","3","0.1","06_ranpha_float_shy"
"","1","19060041","117311","0.1","cmn_float","","906","3","",""
"","","19060042","vo_fpc","","vo_fpc_20603","","906","21","","0"
"0","10","19060043","126911","0","あっ…","0.5","906","11","0","1"
"","","19060044","0","","","","906","91","",""
"","","19060045","0.5","","0","","906","93","",""
"1","0","19060046","117311","0.1","06_chika_float_notice_in","","906","3","0.1","06_chika_float_notice"
"","","19060047","vo_fpc","","vo_fpc_20604","","906","21","","0"
"0","10","19060048","117311","0","ごめんなさい、素敵な歌だったから\nつい合わせてしまって…\nお邪魔でしたよね。","0.5","906","11","0","1"
"","","19060049","0","","","","906","91","",""
"","","19060050","0.5","","0","","906","93","",""
"","","19060051","vo_fpc","","vo_fpc_20605","","906","21","","0"
"0","10","19060052","126911","0","ううん…\nそっちも、とても素敵な歌…\nだから、よければもう少し、\nこのまま…","0.5","906","11","0","1"
"","","19060053","0","","","","906","91","",""
"","","19060054","0.5","","0","","906","93","",""
"","1","19060055","117311","","06_chika_float_smile","","906","3","0.2",""
"","","19060056","vo_fpc","","vo_fpc_20606","","906","21","","0"
"0","10","19060057","117311","0","はい。","0.5","906","11","0","1"
"","","19060058","0","","","","906","91","",""
"","","19060059","0.5","","0","","906","93","",""
"","","19060060","vo_fpc","","vo_fpc_20607","","906","21","","0"
"","1","19060061","126911","","06_cmn_float_sing","","906","3","0.2",""
"","1","19060062","117311","","06_cmn_float_sing","","906","3","0.2",""
"","","19060063","10071","","0","","906","32","",""
"","","19060064","10071","","1","","906","32","",""
"","","19060065","10081","","1","","906","32","",""
"","","19060066","2","","0","","906","93","",""
"","-180","19060067","126911","","850","","906","2","","4.11764705882353"
"","-180","19060068","11","","880","","906","33","","4.11764705882353"
"","-180","19060069","10071","","880","","906","33","","4.11764705882353"
"","-125","19060070","117311","","850","","906","2","","5.88235294117647"
"","-125","19060071","21","","850","","906","33","","5.88235294117647"
"","-125","19060072","10081","","850","","906","33","","5.88235294117647"
"","","19060073","1.5","","0","","906","93","",""
"","","19060074","10071","","0","","906","32","",""
"","","19060075","10071","","1","","906","32","",""
"","","19060076","10081","","0","","906","32","",""
"","","19060077","10081","","1","","906","32","",""
"","","19060078","19060070","","","","906","91","",""
"-125","12","19070001","1","0","127111","07_shinobu_search","907","1","1.75","-850"
"-180","22","19070002","1","0","113111","07_ruka_float","907","1","1.75","-850"
"-180","22","19070003","4","0","4","07_dokuro_float","907","5","1.75","-850"
"1","-850","19070004","5","","11","","907","31","1","-125"
"1","-850","19070005","4","","21","","907","31","1","-180"
"1","-850","19070006","4","","31","","907","31","1","-180"
"","1","19070007","se_10053800","","se_fpc_water_random","","907","23","",""
"","","19070008","19070006","","0","","907","91","",""
"","1","19070009","127111","","07_shinobu_search","","907","3","0.1",""
"12","-125","19070010","127111","","325","","907","2","","8.38806396344946"
"12","-125","19070011","11","","325","","907","33","","8.38806396344946"
"","","19070012","","","","","907","91","",""
"1","0","19070013","127111","0.1","07_shinobu_talk_in","","907","3","0.1","07_shinobu_talk_loop"
"","","19070014","1","","0","","907","93","",""
"","","19070015","vo_fpc","","vo_fpc_20700","","907","21","","0"
"0","10","19070016","127111","0","お父さん、どこに行ったのかしら？\nまた何か事件を起こしてないといいけど…","0.5","907","11","0","1"
"","","19070017","0","","","","907","91","",""
"","","19070018","0.5","","0","","907","93","",""
"12","-180","19070019","113111","","-150","","907","2","","4.11764705882353"
"12","-180","19070020","21","","-150","","907","33","","4.11764705882353"
"","","19070021","","","","","907","91","",""
"","1","19070022","113111","","07_ruka_float2","","907","3","0.1",""
"","","19070023","vo_fpc","","vo_fpc_20701","","907","21","","0"
"0","10","19070024","113111","0","くっ、まさかこんな場所でしゃれこうべに\nでくわすなんてね…","0.5","907","11","0","1"
"","","19070025","0","","","","907","91","",""
"","","19070026","0.5","","0","","907","93","",""
"","","19070027","vo_fpc","","vo_fpc_20702","","907","21","","0"
"0","10","19070028","113111","0","アイツの前で取り乱して、\nつい蹴っ飛ばしちまったが…","0.5","907","11","0","1"
"","","19070029","0","","","","907","91","",""
"","","19070030","0.5","","0","","907","93","",""
"","","19070031","vo_fpc","","vo_fpc_20703","","907","21","","0"
"0","10","19070032","113111","0","あれから見当たらないってことは\nちゃんと成仏してりゃいいけども…","0.5","907","11","0","1"
"","","19070033","0","","","","907","91","",""
"","","19070034","0.5","","0","","907","93","",""
"","1","19070035","113111","","07_ruka_float","","907","3","0.1",""
"","","19070036","vo_fpc","","vo_fpc_20704","","907","21","","0"
"0","10","19070037","113111","0","『一緒に』とか『逝こう』とか言ってたし\n何か現世に恨みでもあったのかねえ？","0.5","907","11","0","1"
"","","19070038","0","","","","907","91","",""
"","","19070039","0.5","","0","","907","93","",""
"","-180","19070040","113111","","850","","907","2","","4.52488687782805"
"","-180","19070041","21","","850","","907","33","","4.52488687782805"
"","","19070042","113111","","1","","907","4","",""
"","1","19070043","113111","","07_ruka_float","","907","3","0.1",""
"","","19070044","3.2","","0","","907","93","",""
"1","0","19070045","127111","0.1","07_shinobu_turnFace_in","","907","3","0.1","07_shinobu_turnFace_loop"
"","","19070046","19070040","","","","907","91","",""
"","-180","19070047","4","","-200","","907","2","","3.82352941176471"
"","-180","19070048","31","","-200","","907","33","","3.82352941176471"
"","","19070049","19070047","","","","907","91","",""
"1","0","19070050","127111","0.1","07_shinobu_surprise_in","","907","3","0.1","07_shinobu_surprise_loop"
"","","19070051","vo_fpc","","vo_fpc_20705","","907","21","","0"
"0","10","19070052","4","120","うう…おね…","0.5","907","11","0","1"
"","","19070053","0","","","","907","91","",""
"","","19070054","0.5","","0","","907","93","",""
"","1","19070055","4","","07_dokuro_spin","","907","3","0.2",""
"","","19070056","vo_fpc","","vo_fpc_20706","","907","21","","0"
"0","10","19070057","4","120","おねーちゃん、いっしょに\nウォータースライダーいかなーい？\nぐへへへ…","0.5","907","11","0","1"
"","","19070058","0","","","","907","91","",""
"","","19070059","0.5","","0","","907","93","",""
"1","0","19070060","127111","0.1","07_shinobu_sad_in","","907","3","0.1","07_shinobu_sad_loop"
"","","19070061","vo_fpc","","vo_fpc_20707","","907","21","","0"
"0","10","19070062","127111","0","やっぱり自業自得のようですね…\n放っておきましょう。","0.5","907","11","0","1"
"","","19070063","0","","","","907","91","",""
"","","19070064","0.5","","0","","907","93","",""
"1","0","19070065","127111","0.1","07_shinobu_swim_in","","907","3","0.1","07_shinobu_swim_loop"
"","","19070066","11","","1","","907","32","",""
"","-125","19070067","127111","","850","","907","2","","3.08823529411765"
"","-125","19070068","11","","850","","907","33","","3.08823529411765"
"","1","19070069","4","","07_dokuro_float","","907","3","0.3",""
"","-180","19070070","4","","850","","907","2","","6.17647058823529"
"","-180","19070071","31","","850","","907","33","","6.17647058823529"
"","","19070072","19070070","","","","907","91","",""
"-15","12","19080001","1","0","107811","cmn_walk_r","908","1","1.4875","750"
"-180","23","19080002","1","0","126911","cmn_swm_tread","908","1","1.75","-900"
"-180","22","19080003","5","0","5","08_penpokorin","908","5","1.75","-900"
"1","-850","19080004","1007","","10071","","908","31","0","-180"
"1","-900","19080005","3","","3","","908","31","1","-180"
"","1","19080006","se_10053800","","se_fpc_water_random","","908","23","",""
"","","19080007","19080005","","","","908","91","",""
"12","-180","19080008","126911","","-100","","908","2","","5.88235294117647"
"12","-180","19080009","5","","-100","","908","2","","5.88235294117647"
"12","-180","19080010","3","","-100","","908","33","","5.88235294117647"
"12","-180","19080011","10071","","-50","","908","33","","5.88235294117647"
"","","19080012","2.3","","0","","908","93","",""
"","","19080013","vo_fpc","","vo_fpc_20800","","908","21","","0"
"","","19080014","10071","","1","","908","32","",""
"12","-15","19080015","107811","","300","","908","2","","3.30882352941176"
"","","19080016","19080015","","","","908","91","",""
"1","0","19080017","107811","0.1","08_kyaru_surprise_in","","908","3","0.1","08_kyaru_surprise_loop"
"","","19080018","vo_fpc","","vo_fpc_20801","","908","21","","0"
"0","10","19080019","107811","0","うわっ、あんたそれ…\nミソラの連れてた変な物体じゃない！","0.5","908","11","0","1"
"","","19080020","0","","","","908","91","",""
"","","19080021","0.5","","0","","908","93","",""
"","","19080022","vo_fpc","","vo_fpc_20802","","908","21","","0"
"0","10","19080023","107811","0","なに持ち込んでんのよ！","0.5","908","11","0","1"
"","","19080024","0","","","","908","91","",""
"","","19080025","0.5","","0","","908","93","",""
"","1","19080026","126911","","08_ranfa_talk","","908","3","0.1",""
"","1","19080027","5","","08_penpokorin","","908","3","0.1",""
"","","19080028","vo_fpc","","vo_fpc_20803","","908","21","","0"
"0","10","19080029","126911","0","水に浮くから、浮輪や\nビーチボールのかわりに、って…\n貸してくれたの。","0.5","908","11","0","1"
"","","19080030","0","","","","908","91","",""
"","","19080031","0.5","","0","","908","93","",""
"","1","19080032","126911","","cmn_swm_tread","","908","3","0.1",""
"","1","19080033","5","","08_penpokorin","","908","3","0.1",""
"1","0","19080034","107811","0.1","08_kyaru_talk_in","","908","3","0.1","08_kyaru_talk_loop"
