dc27516c70b11a2898885a81a499883c64f8810f094a103a3627f17b23988ee8,62b0ffc3a9e8fb65824d511af37ca405985d91358ca2309df7d22030010ea0a8,78eb297eac90ce55195c2eb62394ba1587d221197f1b7f6fbdc708d6bfa76ec1,d15c78465dd706c3972d1da73a5ea643a1b5944c7fbe8b04a8105d84fa627b06,3a9a4e90b6488a7efe4d351a9f05bdbb95096eb7aa026ccc23396983bd67bfc8,a038a723e94761723d69c9f71d426eb3556a0c5954ab82b722f2e74a773caffa,be56023e5dc0e2889db8a1ecdacf14d7f1a9def78c70e7aa6dcd508794fc4416,b077564b7e4e7d16f126e07a4b7943165f324447596962ae5d76223a33010eb1,89b52ecb616b884f86e58c1b8c1ed1b297d870cac42003095bb499648f674151,7529aff4392bb51ebab0418c50a0c99f723a0fda0a8ef4305a63b11e48dd642c,4fabc165d34bac50fdd7d525d473bfa979fb5d57de597df1f48ef4600c47fbc1
"","103431","","","nyx_203_yukari_03","1","3","12030036","0.5","","203"
"","103431","","","それ～もっと飲め～\nうふふ～麦しゅわに\n不可能はないわ～♪","10","11","12030037","","","203"
"","0","","","","","91","12030038","","","203"
"","0.1","","","","","93","12030039","","","203"
"","3","nyx_203_yukari_05","","nyx_203_yukari_06","0","3","12030040","0.2","1","203"
"","103431","nyx_203_yukari_05","","nyx_203_yukari_06","0","3","12030041","0.2","1","203"
"","0.5","","","","","93","12030042","","","203"
"0.2","103231","nyx_cmn_05","","nyx_lookup","0","3","12030043","0.2","1","203"
"","2","","","","","93","12030044","","","203"
"","103231","","","1","1","12","12030045","","","203"
"","3","","","1","","4","12030046","","","203"
"","103431","","","1","","4","12030047","","","203"
"","3","","","nyx_203_yukari_04","0","3","12030048","0.2","","203"
"","103431","","","nyx_203_yukari_04","0","3","12030049","0.2","","203"
"","3","0.67","","-245","-10","2","12030050","","0","203"
"","103431","0.67","","-245","-10","2","12030051","","0","203"
"","0.67","","","","","93","12030052","","","203"
"","0.83","","","","","93","12030053","","","203"
"","3","0.5","","-265","-10","2","12030054","","0","203"
"","103431","0.5","","-265","-10","2","12030055","","0","203"
"","0.5","","","","","93","12030056","","","203"
"","3","0.67","","-328","-10","2","12030057","","0","203"
"","103431","0.67","","-328","-10","2","12030058","","0","203"
"","103231","","","nyx_cmn_04","1","3","12030059","0.2","","203"
"0.2","104831","nyx_idle_sad","","nyx_lookup","0","3","12030060","0.2","1","203"
"","0.67","","","","","93","12030061","","","203"
"","3","0.67","","-330","-10","2","12030062","","0","203"
"","103431","0.67","","-330","-10","2","12030063","","0","203"
"","0.67","","","","","93","12030064","","","203"
"","3","nyx_203_yukari_06","","nyx_203_yukari_05","0","3","12030065","0.2","1","203"
"","103431","nyx_203_yukari_06","","nyx_203_yukari_05","0","3","12030066","0.2","1","203"
"","0.66","","","","","93","12030067","","","203"
"","104831","","","12","1","12","12030068","","","203"
"","2","","","","","93","12030069","","","203"
"","103431","","","9","1","12","12030070","","","203"
"0.2","104631","nyx_talk_sad","","nyx_lookup","0","3","12030071","0.2","1","203"
"","3","","","0","","4","12030072","","","203"
"","103431","","","0","","4","12030073","","","203"
"","3","","","nyx_203_yukari_04","0","3","12030074","0.2","","203"
"","103431","","","nyx_203_yukari_04","0","3","12030075","0.2","","203"
"","3","0.67","","-285","-10","2","12030076","","0","203"
"","103431","0.67","","-285","-10","2","12030077","","0","203"
"","0.67","","","","","93","12030078","","","203"
"","0.83","","","","","93","12030079","","","203"
"","3","0.5","","-265","-10","2","12030080","","0","203"
"","103431","0.5","","-265","-10","2","12030081","","0","203"
"","0.5","","","","","93","12030082","","","203"
"","3","0.67","","-202","-10","2","12030083","","0","203"
"","103431","0.67","","-202","-10","2","12030084","","0","203"
"","104631","","","5","1","12","12030085","","","203"
"","0.67","","","","","93","12030086","","","203"
"","3","0.67","","-200","-10","2","12030087","","0","203"
"","103431","0.67","","-200","-10","2","12030088","","0","203"
"","0.67","","","","","93","12030089","","","203"
"","3","","","nyx_203_yukari_05","1","3","12030090","0.2","","203"
"","103431","","","nyx_203_yukari_05","1","3","12030091","0.2","","203"
"","0.66","","","","","93","12030092","","","203"
"","104631","","","nyx_idle_sad","1","3","12030093","0.2","","203"
"","103431","","","6","1","12","12030094","","","203"
"","3","","","0","","4","12030095","","","203"
"","103431","","","0","","4","12030096","","","203"
"","1","","","","","93","12030097","","","203"
"","12030039","","","","","101","12030098","","","203"
"1","1","121.8","nyx_204_mifuyu_01","104831","110","1","12040001","1.2","28.5","204"
"1","2","121.8","nyx_204_mifuyu_01","2","120","5","12040002","1.2","28.5","204"
"0","1","-278","nyx_idle_normal","103431","110","1","12040003","1.2","-286.1","204"
"1","1","283.5","nyx_idle_normal","104631","140","1","12040004","1.2","-286.1","204"
"0","1","-413","nyx_idle_normal","103231","110","1","12040005","1.2","-286.1","204"
"","2","0","","1","0","31","12040006","1","1","204"
"0","3","109","nyx_yagura_up_harf","3","130","5","12040007","1.2","-278","204"
"","14","34","","2","-111","31","12040008","1","1","204"
"","bgm_M347","","","bgm_M347","","25","12040009","","","204"
"","2","","","","","93","12040010","","","204"
"","104831","","","nyx_204_mifuyu_01","1","3","12040011","0.2","","204"
"","2","","","nyx_204_mifuyu_01","1","3","12040012","0.2","","204"
"","104831","","","とうとう完成…\nしてしまったわね…","10","11","12040013","0","","204"
"","0.2","","","","","93","12040014","","","204"
"0.2","104631","nyx_204_akino_01_loop","","nyx_lookup","0","3","12040015","0.2","1","204"
"","0.5","","","","","93","12040016","","","204"
"","104831","","","nyx_204_mifuyu_02","1","3","12040017","0.2","","204"
"","2","","","nyx_204_mifuyu_02","1","3","12040018","0.2","","204"
"","12040013","","","","","91","12040019","","","204"
"","104831","","","設計段階より\n明らかに機能が\n増やされてるわ…","10","11","12040020","0","","204"
"","1.5","","","","","93","12040021","","","204"
"0.2","103431","nyx_lookup_loop","","nyx_lookup","0","3","12040022","0.2","1","204"
"","12040020","","","","","91","12040023","","","204"
"","0.2","","","","","93","12040024","","","204"
"","103231","","","nyx_204_akino_01","0","3","12040025","0.2","","204"
"","103231","","","驚いたでしょう！\nこれこそが私たちの\nアイデアの結晶！","10","11","12040026","","","204"
"","1","","","","","93","12040027","","","204"
"","103231","","","nyx_204_akino_02","1","3","12040028","0.2","","204"
"","12040026","","","","","91","12040029","","","204"
"","0.5","","","","","93","12040030","","","204"
"","104831","","","ええ、驚いたわ…\nまさかこんなにも\n好き勝手やるなんて","10","11","12040031","0","","204"
"","0.2","","","","","93","12040032","","","204"
"0.2","104831","","","nyx_204_mifuyu_03","1","3","12040033","0.2","","204"
"0.2","2","","","nyx_204_mifuyu_03","1","3","12040034","0.2","","204"
"","3","","","","","93","12040035","","","204"
"","12040031","","","","","91","12040036","","","204"
"","104631","","","nyx_talk_sad","1","3","12040037","","","204"
"","104631","","","ど、どうして\n震えてるにゃ？\nミフユ…","10","11","12040038","","","204"
"","0","","","","","91","12040039","","","204"
"0.3","104831","nyx_204_mifuyu_05","","nyx_204_mifuyu_04","0","3","12040040","0.3","1","204"
"0.3","2","nyx_204_mifuyu_05","","nyx_204_mifuyu_04","0","3","12040041","0.3","1","204"
"","104831","","","当たり前です！\nなんですかこの\n無駄だらけな機能！","10","11","12040042","0","","204"
"","0.6","","","","","93","12040043","","","204"
"0.2","104631","nyx_idle_surprise2","","cmn_shock_def_N","0","3","12040044","0.3","1","204"
"0.2","103431","nyx_idle_sad","","cmn_shock_def_N","0","3","12040045","0.3","1","204"
"0.2","103231","nyx_idle_surprise1","","cmn_shock_def_N","0","3","12040046","0.3","1","204"
"","1.5","","","","","93","12040047","","","204"
"","12040042","","","","","91","12040048","","","204"
"","104831","","","どこを見ても\n無駄ばかり…\n非効率すぎる…！","10","11","12040049","0","","204"
"","0","","","","","91","12040050","","","204"
"0.3","103431","","","nyx_talk_sad","1","3","12040051","0.3","","204"
"","103431","","","お、落ち着いて\nミフユさん…\n仕方がなかったの…","10","11","12040052","","","204"
"","0","","","","","91","12040053","","","204"
"","104831","","","こんなの\n落ち着けるわけ\nないでしょーっ！","10","11","12040054","0","","204"
"","2.7","","","","","93","12040055","","","204"
"0.3","103431","","","nyx_cmn_03","1","3","12040056","0.3","","204"
"0.3","104831","nyx_204_mifuyu_06","","nyx_204_mifuyu_07","0","3","12040057","0.3","1","204"
"0.3","2","nyx_204_mifuyu_06","","nyx_204_mifuyu_07","0","3","12040058","0.3","1","204"
"","12040052","","","","","91","12040059","","","204"
"","0.5","","","","","93","12040060","","","204"
"","103431","","","0","1","4","12040061","","","204"
"","0.5","","","","","93","12040062","","","204"
"","103431","","","2","1","12","12040063","","","204"
"","1.5","","","","","93","12040064","","","204"
"","104631","","","17","1","12","12040065","","","204"
"0.3","104631","","","nyx_talk_sad","1","3","12040066","0.3","","204"
"","1.5","","","","","93","12040067","","","204"
"","103431","","","1","1","4","12040068","","","204"
"0.3","104631","","","nyx_idle_sad","1","3","12040069","0.3","","204"
"","0.2","","","","","93","12040070","","","204"
"","103231","","","7","1","12","12040071","","","204"
"0.2","103231","cmn_pose02_def_N","","nyx_talk_joy1","0","3","12040072","0.3","1","204"
"","0.1","","","","","93","12040073","","","204"
"0.3","103431","","","nyx_talk_sad","1","3","12040074","0.3","","204"
"","2","","","","","93","12040075","","","204"
"","104831","","","15","1","12","12040076","","","204"
"","2","","","","","93","12040077","","","204"
"","12040061","","","1","","101","12040078","","","204"
"0","1","-135","nyx_301_yuni_01","111031","110","1","13010001","1.2","-277","301"
"","3","0","","1","0","31","13010002","1","1","301"
"","17","-195","","2","40","31","13010003","1","1","301"
"","18","-195","","3","40","31","13010004","0","1","301"
"","19","-195","","4","40","31","13010005","0","1","301"
"","bgm_M347","","","bgm_M347","","25","13010006","","","301"
"","2","","","","","93","13010007","","","301"
"","111031","","","なかよしX…\nあれは実に\n浪漫の結晶だった…","10","11","13010008","","","301"
"","0","","","1","","91","13010009","","","301"
"","111031","","","あのイノベーション\nから得た刺激は形に\n遺しておくべきだ…","10","11","13010010","","","301"
"","0","","","1","","91","13010011","","","301"
"","0.6","","","","","93","13010012","","","301"
"","111031","","","nyx_103_yuni_02","1","3","13010013","0.2","","301"
"","111031","","","というわけで\nなかよしXの残骸を\n集めてみたわけだが","10","11","13010014","","","301"
"","0","","","1","","91","13010015","","","301"
"0.2","111031","nyx_idle_normal","","cmn_pose02_def_N","0","3","13010016","0.2","","301"
"","111031","","","これらをリペアして\n単に組み直したとて\n模造品でしかない","10","11","13010017","","","301"
"","0","","","1","","91","13010018","","","301"
"","111031","nyx_103_yuni_04","","nyx_103_yuni_03","0","3","13010019","0.2","1","301"
"","111031","","","独自の改修を施すぞ\n機体の縮小化そして\n各種機能を改良だ","10","11","13010020","","","301"
"","0","","","1","","91","13010021","","","301"
"","111031","","","cmn_pose02_def_N","1","3","13010022","0.2","","301"
"","111031","","","ふむ、すなわち\nたい焼きに麦しゅわ\nだが…","10","11","13010023","","","301"
"","0","","","","","91","13010024","","","301"
"","0.5","","","","","93","13010025","","","301"
"","111031","","","nyx_301_yuni_03","1","3","13010026","0.2","","301"
"","111031","","","いや、そもそもなぜ\nたい焼き麦しゅわが\n組み込まれていたか","10","11","13010027","","","301"
"","0","","","1","","91","13010028","","","301"
"","111031","","","…理解に苦しむな\nまずそこから考える\n必要がありそうだ","10","11","13010029","","","301"
"","0","","","1","","91","13010030","","","301"
"","111031","","","nyx_301_yuni_01","1","3","13010031","0.2","","301"
"","111031","","","なんたる難題だろう\nぼくの知的探求心が\n疼いてきたと言える","10","11","13010032","","","301"
"","0","","","","","91","13010033","","","301"
"","2","","","","","93","13010034","","","301"
"","111031","","","1","","4","13010035","","","301"
"","111031","","","cmn_walk_def_N","1","3","13010036","0.2","","301"
"","111031","1.5","","-230","-277","2","13010037","","","301"
"","1.5","","","","","93","13010038","","","301"
"0.2","111031","nyx_idle_normal","","nyx_301_yuni_02","0","3","13010039","0.2","1","301"
"","3","","","","","93","13010040","","","301"
"","111031","","","0","","4","13010041","","","301"
"","111031","","","cmn_walk_def_N","1","3","13010042","0.2","","301"
"","111031","1.5","","-95","-277","2","13010043","","","301"
"","1.5","","","","","93","13010044","","","301"
"","111031","","","12","1","12","13010045","","","301"
"0.2","111031","nyx_idle_normal","","nyx_301_yuni_02","0","3","13010046","0.2","1","301"
"","0.4","","","","","93","13010047","","","301"
"","3","","","1","","32","13010048","","","301"
"","2.6","","","","","93","13010049","","","301"
"","111031","","","1","","4","13010050","","","301"
"","111031","","","cmn_walk_def_N","1","3","13010051","0.2","","301"
"","111031","1.5","","-230","-277","2","13010052","","","301"
"","1.5","","","","","93","13010053","","","301"
"","111031","","","13","1","12","13010054","","","301"
"0.2","111031","nyx_idle_normal","","nyx_301_yuni_02","0","3","13010055","0.2","1","301"
"","3","","","","","93","13010056","","","301"
"","111031","","","0","","4","13010057","","","301"
"","111031","","","cmn_walk_def_N","1","3","13010058","0.2","","301"
"","111031","1.5","","-95","-277","2","13010059","","","301"
"","1.5","","","","","93","13010060","","","301"
"0.2","111031","nyx_idle_normal","","nyx_301_yuni_02","0","3","13010061","0.2","1","301"
"","0.4","","","","","93","13010062","","","301"
"","4","","","1","","32","13010063","","","301"
"","2.6","","","","","93","13010064","","","301"
"","111031","","","1","","4","13010065","","","301"
"","111031","","","cmn_walk_def_N","1","3","13010066","0.2","","301"
"","111031","1.5","","-230","-277","2","13010067","","","301"
"","1.5","","","","","93","13010068","","","301"
"0.2","111031","nyx_idle_normal","","nyx_301_yuni_02","0","3","13010069","0.2","1","301"
"","3","","","","","93","13010070","","","301"
"","111031","","","0","","4","13010071","","","301"
"","111031","","","cmn_walk_def_N","1","3","13010072","0.2","","301"
"","111031","4","","165","-277","2","13010073","","","301"
"","4","","","","","93","13010074","","","301"
"","111031","","","12","1","12","13010075","","","301"
"0.2","111031","nyx_idle_normal","","nyx_301_yuni_02","0","3","13010076","0.2","1","301"
"","3","","","","","93","13010077","","","301"
"","111031","","","1","","4","13010078","","","301"
"","111031","","","cmn_walk_def_N","1","3","13010079","0.2","","301"
"","111031","4","","-230","-277","2","13010080","","","301"
"","4","","","","","93","13010081","","","301"
"","111031","","","17","1","12","13010082","","","301"
"0.2","111031","nyx_idle_normal","","cmn_pose02_def_N","0","3","13010083","0.2","1","301"
"","4","","","","","93","13010084","","","301"
"","111031","","","0","","4","13010085","","","301"
"","111031","","","cmn_walk_def_N","1","3","13010086","0.2","","301"
"","111031","4","","165","-277","2","13010087","","","301"
"","4","","","","","93","13010088","","","301"
"0.2","111031","nyx_303_yuni_01","","nyx_301_yuni_02","0","3","13010089","0.2","0","301"
"","2.4","","","","","93","13010090","","","301"
"","111031","","","7","1","12","13010091","","","301"
"","1.6","","","","","93","13010092","","","301"
"","111031","","","1","","4","13010093","","","301"
"","111031","","","cmn_walk_def_N","1","3","13010094","0.2","","301"
"","111031","4","","-230","-277","2","13010095","","","301"
"","4","","","","","93","13010096","","","301"
"","111031","","","2","1","12","13010097","","","301"
"0.2","111031","cmn_pose02_def_N","","nyx_301_yuni_02","0","3","13010098","0.2","1","301"
"","4","","","","","93","13010099","","","301"
"","13010071","","","","","101","13010100","","","301"
"1","1","4000","nyx_idle_normal","111031","110","1","13020001","1.2","-277","302"
"1","2","-200","NoItem","2","120","5","13020002","1.2","-277","302"
"","3","0","","1","0","31","13020003","1","1","302"
"","20","-240","","3","-110","31","13020004","0","1","302"
"","21","-195","","4","40","31","13020005","1","1.2","302"
"","bgm_M347","","","bgm_M347","","25","13020006","","","302"
"","2","","","","","93","13020007","","","302"
"0.2","111031","nyx_idle_normal","","nyx_302_yuni_01","0","3","13020008","","1","302"
"","111031","0","","-200","-277","2","13020009","","","302"
"","2","0","","-200","-279","2","13020010","","","302"
"","111031","","","…ぷはーっ！","10","11","13020011","","","302"
"","0","","","","","93","13020012","","","302"
"","3","","","1","","32","13020013","","","302"
"","13020011","","","","","91","13020014","","","302"
"","111031","","","いかんいかん\n資材の山に埋もれて\nしまうところだった","10","11","13020015","","","302"
"","0","","","","","91","13020016","","","302"
"","2","NoItem","","nyx_302_yuni_02","0","3","13020017","0.2","1","302"
"0.2","111031","nyx_idle_normal","","nyx_302_yuni_02","0","3","13020018","0.2","1","302"
"","111031","","","だが怪我の功名、\n探していた部品を\n偶然にも発見できた","10","11","13020019","","","302"
"","5","","","","","93","13020020","","","302"
"","111031","","","0","","4","13020021","","","302"
"","111031","","","nyx_cmn_03","1","3","13020022","0.2","","302"
"","111031","","","ふむ…これは僥倖\nかくなる上は再び\n潜航してみるか…","10","11","13020023","","","302"
"","0","","","","","91","13020024","","","302"
"","111031","","","nyx_301_yuni_01","1","3","13020025","0.2","","302"
"","111031","","","存外意義あるものだ\n資材ダイビングとか\nいう新種の探索行は","10","11","13020026","","","302"
"","0","","","1","","91","13020027","","","302"
"","111031","","","まあ万一溺れたとて\n後輩たちの誰ぞが\nきっと気付くだろう","10","11","13020028","","","302"
"","0","","","1","","91","13020029","","","302"
"","111031","nyx_302_yuni_04","","nyx_302_yuni_03","0","3","13020030","0.2","1","302"
"","111031","","","是非もなし\nいざ往かん！","10","11","13020031","","","302"
"","0","","","1","","91","13020032","","","302"
"","1.5","","","","","93","13020033","","","302"
"","111031","","","む。奥に入りすぎた\nこれは…出られぬ！\n誰かー！　誰か―！","10","11","13020034","","","302"
"","0","","","","","91","13020035","","","302"
"","6","","","","","93","13020036","","","302"
"","111031","","","2","1","12","13020037","","","302"
"","4","","","","","93","13020038","","","302"
"","111031","","","4","1","12","13020039","","","302"
"","4","","","","","93","13020040","","","302"
"","13020036","","","","","101","13020041","","","302"
"1","1","49","nyx_303_yuni_07","111031","110","1","13030001","1.2","-221.5","303"
"","4","0","","1","0","31","13030002","1","1","303"
"","bgm_M347","","","bgm_M347","","25","13030003","","","303"
"","2","","","","","93","13030004","","","303"
"","111031","","","ふむ、紆余曲折は\nあったが無事完成…\nといったところか","10","11","13030005","","","303"
"","0","","","","","91","13030006","","","303"
"","111031","","","nyx_303_yuni_01_noshadow","1","3","13030007","0.2","","303"
"","111031","","","ふふふ…我ながら\n納得の出来栄え…","10","11","13030008","","","303"
"","0","","","","","91","13030009","","","303"
"","111031","","","外観の完成度も\nさることながら\n特筆すべきは機能だ","10","11","13030010","","","303"
"","0","","","","","91","13030011","","","303"
"","111031","","","nyx_303_yuni_03","1","3","13030012","0.2","","303"
"","111031","","","試しに動作試験を\nしてみるとしよう","10","11","13030013","","","303"
"","0","","","","","91","13030014","","","303"
"0.2","111031","nyx_303_yuni_04","","nyx_303_yuni_02","0","3","13030015","0.2","1","303"
"","3","","","","","93","13030016","","","303"
"","111031","","","nyx_303_yuni_07","1","3","13030017","0.2","","303"
"","111031","","","ふむ…\n表情映写の動作に\n問題はないようだ","10","11","13030018","","","303"
"","0","","","","","91","13030019","","","303"
"0.2","111031","nyx_303_yuni_04","","nyx_303_yuni_09","0","3","13030020","0.2","1","303"
"","111031","","","次はいずれの機能を\n試してみるか…","10","11","13030021","","","303"
"","0","","","","","91","13030022","","","303"
"","0.5","","","","","93","13030023","","","303"
"","111031","","","とりあえず適当な\nスイッチを…おっと\nこのボタンはいかん","10","11","13030024","","","303"
"","1.5","","","","","93","13030025","","","303"
"","111031","","","nyx_303_yuni_02","0","3","13030026","0.2","","303"
"","1","","","","","93","13030027","","","303"
"","111031","nyx_303_yuni_05","","nyx_303_yuni_06","0","3","13030028","0.2","1","303"
"","2","","","","","93","13030029","","","303"
"","111031","","","…危ない危ない\n自爆装置を起動して\nしまうところだった","10","11","13030030","","","303"
"","0.1","","","","","93","13030031","","","303"
"","111031","","","nyx_303_yuni_08","1","3","13030032","0.2","","303"
"","13030030","","","","","91","13030033","","","303"
"","2","","","","","93","13030034","","","303"
"0.2","111031","nyx_303_yuni_04","","nyx_303_yuni_09","0","3","13030035","0.2","1","303"
"","2","","","","","93","13030036","","","303"
"0.2","111031","nyx_303_yuni_03","","nyx_303_yuni_02","0","3","13030037","0.2","1","303"
"","1.8","","","","","93","13030038","","","303"
"","111031","","","6","1","12","13030039","","","303"
"","3.2","","","","","93","13030040","","","303"
"0.2","111031","nyx_303_yuni_04","","nyx_303_yuni_09","0","3","13030041","0.2","1","303"
"","2","","","","","93","13030042","","","303"
"0.2","111031","nyx_303_yuni_08","","nyx_303_yuni_02","0","3","13030043","0.2","1","303"
"","1.8","","","","","93","13030044","","","303"
"","111031","","","2","1","12","13030045","","","303"
"","1.2","","","","","93","13030046","","","303"
"","13030034","","","","","101","13030047","","","303"
