ce44615f70e71135730386b86ef09b195037e3b9cbca9ffb0ec4a27859988226,5ec262cc0e43b406ded444c456e236c8401fef8e90c92696178b1b623fda5d85,c54ea4fb690b22e98d3b03ae1a0cdeb58e7bd5d601077274ad9892f1bfe6049f,a35c9478d176cd7f0a7e9ee183adc919704bda84e18632401dc4921e00900692,4d380fe5080c1f369ee3dd9202665fc266dc14c4e64c3ffc37136b1efcf80893,7862902d57a327261f5fb399a4172ea19a4ef16bcc83ef37bc9faac042e388eb,c40c692c5aacdf73b4272af8acd12aa7a06bb6a1d09e743f67fad991438617cd,1c3f329c1591afac0e29bc4e579dc5ae87f59f70439644eee7090b2d881554bc,1af256e600379b46a94f0256b0fddb79f209a5095d9d8640b1f8a31e45be7abe,6dcd4917fd096f4e1fbeb0839fafcb9ab5d3707715c9576772c091d1f75edd21,f1c6ce6dc617ae03e4aa4a7bcf03e63def153ba1b3490e19ec1f87d7205ce1b1
"","","0","0.2","2","33","","","1330013","3","pkb_talk_yell"
"","","","","3","33","","","1330014","93",""
"","","0","0.2","2","33","1","pkb_idle_shock","1330015","3","pkb_shock"
"","","","","1330011","33","","","1330016","91",""
"","","1","0.2","2","33","","","1330017","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.6","1","34","-150","170","1340001","1","106531"
"pkb_idle_normal","0","100","1.6","1","34","-150","-20","1340002","1","113411"
"","0.2","0","0.2","106531","34","1","pkb_idle_arm_crossed","1340003","3","pkb_talk_arm_crossed"
"","","0","","vo_minigame_1006","34","","0","1340004","21","vo_minigame_1006_top_talk_13_301"
"-1","0","8","0","106531","34","0","0","1340005","11","キミもすげえボール\n投げるじゃねえか\nどうやって\n投げてんだ？"
"","","","","3.4","34","","","1340006","93",""
"","","1","0.2","106531","34","","","1340007","3","pkb_talk_normal"
"","","","","1340005","34","","","1340008","91",""
"","","1","0.2","106531","34","","","1340009","3","pkb_idle_normal"
"","","1","0.2","113411","34","","","1340010","3","pkb_talk_normal"
"","","0","","vo_minigame_1006","34","","0","1340011","21","vo_minigame_1006_top_talk_13_202"
"1","0","8","0","113411","34","0","0","1340012","11","超能りょ……\nじゃなくて！\n特別な魔法を\n使ってるんだ～えへへ"
"","","","","1.2","34","","","1340013","93",""
"","0.2","0","0.2","113411","34","1","pkb_talk_surprise1","1340014","3","pkb_surprise"
"","","","","1","34","","","1340015","93",""
"","","1","0.2","113411","34","","","1340016","3","pkb_talk_joy3"
"","","","","1340012","34","","","1340017","91",""
"","","1","0.2","113411","34","","","1340018","3","pkb_idle_normal"
"pkb_idle_normal","0","100","1.6","1","35","-150","-20","1350001","1","113511"
"pkb_idle_normal","1","100","1.6","1","35","-150","170","1350002","1","102311"
"","","1","0.2","113511","35","","","1350003","3","pkb_talk_joy3"
"","","0","","vo_minigame_1006","35","","0","1350004","21","vo_minigame_1006_top_talk_14_101"
"0.5","0","6","0","113511","35","0","0","1350005","11","アヤネちゃん\n今日も打撃コーチを\nよろしくね～\n頼りにしてるから～！"
"","","","","5.2","35","","","1350006","93",""
"","","1","0.2","113511","35","","","1350007","3","pkb_talk_wish"
"","","","","1350005","35","","","1350008","91",""
"","","1","0.2","113511","35","","","1350009","3","pkb_idle_normal"
"","","1","0.2","102311","35","","","1350010","3","pkb_talk_joy1"
"","","0","","vo_minigame_1006","35","","0","1350011","21","vo_minigame_1006_top_talk_14_402"
"-1","0","8","0","102311","35","0","0","1350012","11","お兄ちゃんたちが\nいっぱいホームラン\n打てるように\nがんばるね！"
"","","","","3.2","35","","","1350013","93",""
"","","0","0.2","102311","35","1","pkb_idle_doya","1350014","3","pkb_talk_doya"
"","","","","1350012","35","","","1350015","91",""
"","","1","0.2","102311","35","","","1350016","3","pkb_idle_normal"
"pkb_idle_normal_l","1","100","55","3","36","-130","170","1360001","5","3"
"pkb_idle_normal","0","100","55","1","36","-130","-20","1360002","5","1"
"","0.2","0","0.2","3","36","1","pkb_idle_arm_crossed_l","1360003","3","pkb_talk_arm_crossed_l"
"","","0","","vo_minigame_1006","36","","0","1360004","21","vo_minigame_1006_top_talk_15_601"
"-0.5","0","8","0","3","36","0","0","1360005","11","おい、アサヒ！\nどんくらい上達したか\n見せてみろ！"
"","","","","1360005","36","","","1360006","91",""
"","","1","0.2","3","36","","","1360007","3","pkb_idle_normal_l"
"","","0","0.2","1","36","1","pkb_idle_guts","1360008","3","pkb_talk_guts"
"","","0","","vo_minigame_1006","36","","0","1360009","21","vo_minigame_1006_top_talk_15_702"
"0","0","8","0","1","36","0","0","1360010","11","ああ！　ダイチこそ\n手加減なしで頼むよ\n真剣勝負だ！"
"","","","","1360010","36","","","1360011","91",""
"","","1","0.2","1","36","","","1360012","3","pkb_idle_normal"
"pkb_idle_normal","0","100","55","1","37","-130","-20","1370001","5","1"
"pkb_idle_normal_l","1","100","55","3","37","-130","170","1370002","5","3"
"","","0","0.2","1","37","1","pkb_idle_guts","1370003","3","pkb_talk_guts"
"","","0","","vo_minigame_1006","37","","0","1370004","21","vo_minigame_1006_top_talk_16_701"
"-0.5","0","8","0","1","37","0","0","1370005","11","全国大会に絶対行こう\n俺たちの夢を\n叶えるんだ！"
"","","","","3.2","37","","","1370006","93",""
"","0.2","0","0.2","1","37","1","pkb_idle_normal","1370007","3","pkb_talk_handsup"
"","","","","1370005","37","","","1370008","91",""
"","","1","0.2","1","37","","","1370009","3","pkb_idle_normal"
"","0.2","0","0.2","3","37","1","pkb_idle_arm_crossed_l","1370010","3","pkb_talk_arm_crossed_l"
"","","0","","vo_minigame_1006","37","","0","1370011","21","vo_minigame_1006_top_talk_16_602"
"1","0","8","0","3","37","0","0","1370012","11","ふん、当然だろ\n俺たちなら\n全国優勝だって\n夢じゃねえぜ！"
"","","","","4.8","37","","","1370013","93",""
"","","0","0.2","3","37","1","pkb_idle_guts_l","1370014","3","pkb_talk_guts_l"
"","","","","1370012","37","","","1370015","91",""
"","","1","0.2","3","37","","","1370016","3","pkb_idle_normal_l"
"pkb_idle_normal","1","100","1.6","1","38","-150","170","1380001","1","106531"
"pkb_idle_normal","0","100","55","2","38","-130","-20","1380002","5","2"
"","0.2","0","0.2","106531","38","1","pkb_idle_arm_crossed","1380003","3","pkb_talk_arm_crossed"
"","","0","","vo_minigame_1006","38","","0","1380004","21","vo_minigame_1006_top_talk_17_301"
"-0.5","0","8","0","106531","38","0","0","1380005","11","結構やるように\nなってきたじゃねえか\nこっからはオレ様も\n本気でいくぜぇ！！"
"","","","","3.6","38","","","1380006","93",""
"","","0","0.2","106531","38","1","pkb_idle_doya","1380007","3","pkb_talk_doya"
"","","","","2","38","","","1380008","93",""
"","0.2","0","0.2","106531","38","1","pkb_idle_normal","1380009","3","pkb_talk_handsup"
"","","","","1380005","38","","","1380010","91",""
"","","","","1","38","","","1380011","93",""
"","","1","0.2","106531","38","","","1380012","3","pkb_idle_normal"
"","","0","0.2","2","38","1","pkb_idle_shock","1380013","3","pkb_shock"
"","","0","","vo_minigame_1006","38","","0","1380014","21","vo_minigame_1006_top_talk_17_802"
"1","0","7","0","2","38","0","0","1380015","11","マジか……\nまだ本気じゃ\nなかったのかよ\n…何人か死ぬな"
"","","","","1380015","38","","","1380016","91",""
"","","1","0.2","2","38","","","1380017","3","pkb_idle_normal"
