d98e520d00708c44f4725c34d749cbaa01f035190d2630ce85de4a078e98b72e,9bab438197466d90e39e7aecb6830bc8088c09d4e53f67987e68472638af891d,62d1389e707070ea6b088e754fbcf00390ecc71f20d394af10a8df441242ac40,fa9426ae95bc93ea4ac67dceff1413371092a250cebcea4010c2347668935c70,811e508a9188797ce3716328e73106b7e0a8df600910ec976068399e728d6816,180b7bd82bf46133d7cc815bbaea2e9d50f7cb2b0bf296902ed3b777f378cf00,fb447469b6617976b3bf128b8bb9857a0adfaec1f45ed799ef6b0ba5b9983103,b4f43050c203430ea9a09ec64585983c2bcc68c735da67b8e8063a533b7ed34f,127db38526e5e2f55e8724c9a8d3dcfa19bef35fd409fcea3920386fec375139,9ce00f5aed7ba8b8299d4bb16aef9afbcdefae04dd05c1f508be5abad8dfba3a,6c9d77359f757b08e9fdba50a8bb3c382566a1e3290aa36f2e79154478bf7553
"03_uek_cmn_idol_def_N","102531","1.3","36","1","1","105","1360001","0","110","5"
"03_uek_cmn_idol_def_N","102831","1.3","36","1","1","10","1360002","0","100","10"
"","","","36","93","1","","1360003","","",""
"","03_uek_36_suzume","0","36","3","102531","03_uek_36_suzume_loop","1360004","0","0","1"
"","03_uek_36_saren","0","36","3","102831","03_uek_36_saren_loop","1360005","0","0","1"
"","","","36","91","0","","1360006","","",""
"","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？","","36","11","102531","0","1360007","","10","0"
"","","","36","91","0","","1360008","","",""
"","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね","","36","11","102831","0","1360009","","10","0"
"01_uek_cmn_idol_def_N","112531","1.3","37","1","1","-118","1370001","0","100","-22"
"01_uek_cmn_idol_def_N","112431","1.3","37","1","1","0","1370002","0","100","0"
"01_uek_27_tamaki_loop","112631","1.3","37","1","1","179","1370003","1","100","0"
"","01_uek_27_tamaki_loop","","37","3","112631","","1370004","","0","0"
"","","","37","91","0","","1370005","","",""
"","01_uek_27_tamaki_loop","","37","3","112631","","1370006","","0","0"
"","","","37","91","0","","1370007","","",""
"","01_uek_27_tamaki_loop","","37","3","112631","","1370008","","0","0"
"","","","37","91","0","","1370009","","",""
"","01_uek_cmn_pose06","0.5","37","3","112631","","1370010","","1","0"
"","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！","","37","11","112631","0","1370011","","10","0"
"","","","37","91","0","","1370012","","",""
"","01_uek_35_rei","","37","3","112531","01_uek_35_rei_loop","1370013","","0","1"
"","…トップアイドルに\nなった時の景色って\nこんな感じなのかな","","37","11","112531","0","1370014","","10","0"
"","","","37","91","0","","1370015","","",""
"","01_uek_cmn_idol_def_N","0.2","37","3","112631","","1370016","","1","0"
"","01_uek_37_uduki","","37","3","112431","01_uek_16_uduki_loop","1370017","","0","1"
"","あの星みたいに\n私たちも\n輝きたいですね！","","37","11","112431","0","1370018","","10","0"
"","","","37","91","0","","1370019","","",""
"","14","1","101","31","101","30","11010001","","0","1"
"","11","1","111","31","111","150","11110001","","0","1"
"","12","1","112","31","112","150","11120001","","0","1"
"","13","1","113","31","113","125","11130001","","0","1"
