390d86820965cec43be3a5465c16879ce6da897f5f5cb88b5a805cc6fa6553b4,a378f0567d9941b62cc4ad9abc8dd0fda813d280840508a31cc207cb3e3b2f63,6bbe0747a3d6cf111d6b51dfedc6edae8c6012dfe7d446c4411dadc52b1549e9,1b8581bba15c3cf52811f6f4dfa48a7daffca2c75e64922fe4a2cfcdf7adfff3,118b3c9f87815082253c6f2a06f155b7070b650241af9b8e751cc2b6cc8b43a9,5940ea9ee6a4c81543b8575d59bc45b6ff17557d7cc08071de08e6d94495f394,e62a2b387ee42a8dd113669fd573e5101d6996008130c89c8049ca4e9f6f0c18,d5d8c182e65bcba62fe6210a1bd859ad2372625c2de32e7dcb6d6b0990a2c0f1,21cd853247660ee793655e5dc01fe7d4da72f0d60e54d0b638d0e19a758d69e1,77913e3f3ccd376d91b21babd9ec675d9c51ca10f328feede6689df0d876ae0b,cf2a7180d1468b7986f025513afc162b5bb765b859db680e1355de5d6a055ea5
"","0","0","","11","","100131","さんせーい！\nじゃあ、あたしは…\nうーん、うーん…！","10","35","1350012"
"","","","","91","","0","","","35","1350013"
"1.3","105","5","0","1","03_uek_cmn_idol_def_N","1","102531","110","36","1360001"
"1.3","10","10","0","1","03_uek_cmn_idol_def_N","1","102831","100","36","1360002"
"","","","","93","","1","","","36","1360003"
"0","03_uek_36_suzume_loop","1","0","3","","102531","03_uek_36_suzume","0","36","1360004"
"0","03_uek_36_saren_loop","1","0","3","","102831","03_uek_36_saren","0","36","1360005"
"","","","","91","","0","","","36","1360006"
"","0","0","","11","","102531","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？","10","36","1360007"
"","","","","91","","0","","","36","1360008"
"","0","0","","11","","102831","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね","10","36","1360009"
"1.3","-118","-22","0","1","01_uek_cmn_idol_def_N","1","112531","100","37","1370001"
"1.3","0","0","0","1","01_uek_cmn_idol_def_N","1","112431","100","37","1370002"
"1.3","179","0","1","1","01_uek_27_tamaki_loop","1","112631","100","37","1370003"
"","","0","","3","","112631","01_uek_27_tamaki_loop","0","37","1370004"
"","","","","91","","0","","","37","1370005"
"","","0","","3","","112631","01_uek_27_tamaki_loop","0","37","1370006"
"","","","","91","","0","","","37","1370007"
"","","0","","3","","112631","01_uek_27_tamaki_loop","0","37","1370008"
"","","","","91","","0","","","37","1370009"
"0.5","","0","","3","","112631","01_uek_cmn_pose06","1","37","1370010"
"","0","0","","11","","112631","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！","10","37","1370011"
"","","","","91","","0","","","37","1370012"
"","01_uek_35_rei_loop","1","","3","","112531","01_uek_35_rei","0","37","1370013"
"","0","0","","11","","112531","…トップアイドルに\nなった時の景色って\nこんな感じなのかな","10","37","1370014"
"","","","","91","","0","","","37","1370015"
"0.2","","0","","3","","112631","01_uek_cmn_idol_def_N","1","37","1370016"
"","01_uek_16_uduki_loop","1","","3","","112431","01_uek_37_uduki","0","37","1370017"
"","0","0","","11","","112431","あの星みたいに\n私たちも\n輝きたいですね！","10","37","1370018"
"","","","","91","","0","","","37","1370019"
"1","30","1","","31","","101","14","0","101","11010001"
"1","150","1","","31","","111","11","0","111","11110001"
"1","150","1","","31","","112","12","0","112","11120001"
"1","125","1","","31","","113","13","0","113","11130001"
