a581dba2140b107f7a3f867928f10a0bacf33c683b2589c397277eea85cc006c,27610513fce19e13888ff749ec307cfbfd12b38d2518648228ffeda16ce2fa82,f7f6be411ec4885e00cdf1d27b251fca0064da7447aad6399a2671c049f87613,6bdd7aac322550bef69debf31a1a3c1219dfca052aa52f182075f9091d262723,5693b07139648a270809618cdd8f5087ca5d8a98895a383f3323fa629b31b832,4ace847080fd5094187edb76ec30594c386eba70b93c47bde434666f27678770,2c015d3c928292c88f994e4b0676ebb4ccb57c4076a5243439d4a0776a792537,5b87ddf1e033ab4e4ed7f3e478347b2ab8ff947c6fc6d6aca358d9ee26d543ce,d721d194dad6eb53038fb6980b2a7b7910bc4d28940b88b4e3e7b776a96bf6f6,5d0abc830bbf3fd2966d37b94895e2c669b972dc1f4ad0ba6e58917344f4a36d,cd5175f51ea6642007ebd9baffaabbc26705ead81e5b6722556f9f7ac1bfa03c
"","0.2","100911","14114","wac_birthday_talk_anger","","3","","1","14114076",""
"","","vo_wac_14114","14114","vo_wac_14114_002","","21","","0","14114077","0"
"0","0","100911","14114","べ、別に泣いてなどいないぞっ！？\n今はちょっとその、顔についた\n絵の具を拭ってるだけで……！\n見られるのが恥ずかしいわけでは……","0.5","11","1","10","14114078","1"
"","","0","14114","","","91","","","14114079",""
"","0.2","100911","14114","wac_birthday_talk_smile","","3","","1","14114080",""
"","","vo_wac_14114","14114","vo_wac_14114_003","","21","","0","14114081","0"
"0","0","100911","14114","で、でもその……みんな、ありがとう！\n内なる封印が解かれそうなほどの……\n望外の喜びだ！　だから……\n大切に食べる！　味わって食べるぞ！","0.5","11","1","10","14114082","1"
"","","0","14114","","","91","","","14114083",""
"","","0","14114","","","22","","","14114084",""
"","","bgm_M321","14314","bgm_M321_2C","","25","","","14314001",""
"0","2","1","14314","101711","wac_birthday_idle_normal","1","-70","250","14314002","-1000"
"1","2","1","14314","104311","wac_birthday_idle_normal","1","-270","256","14314003","200"
"1","2","1","14314","101011","wac_birthday_idle_wish","1","-310","258","14314004","320"
"1","2","1","14314","101411","wac_birthday_idle_smile","1","-290","257","14314005","450"
"","","101711","14314","300","","13","","","14314006",""
"","","104311","14314","300","","13","","","14314007",""
"","0","501","14314","501","","31","1","0","14314008","0"
"","1","600","14314","600","","31","1","0","14314009","0"
"","0","602","14314","602","","31","1","0","14314010","0"
"","0","603","14314","603","","31","1","0","14314011","0"
"","1","604","14314","604","","31","1","30","14314012","60"
"","1","613","14314","613","","31","1","0","14314013","0"
"","0","700","14314","700","","31","1","0","14314014","0"
"","0","701","14314","701","","31","1","0","14314015","0"
"","0","702","14314","702","","31","1","0","14314016","0"
"","0","800","14314","800","","31","1","0","14314017","0"
"","1","915","14314","915","","31","1","30","14314018","60"
"","","1","14314","","","93","","","14314019",""
"0.2","0.2","101011","14314","wac_birthday_reaction_03","","3","1","0","14314020","wac_birthday_reaction_05"
"","","0.1","14314","","","93","","","14314021",""
"0.2","0.2","104311","14314","wac_birthday_reaction_02","","3","1","0","14314022","wac_birthday_reaction_03"
"0.2","0.2","101411","14314","wac_birthday_reaction_01","","3","1","0","14314023","wac_birthday_reaction_03"
"","","0.3","14314","","","93","","","14314024",""
"","0.2","101711","14314","wac_birthday_run_01","","3","","1","14314025",""
"","","101711","14314","0","","2","","-70","14314026","3"
"","","2.5","14314","","","93","","","14314027",""
"","","602","14314","1","","32","","","14314028",""
"","","0.6","14314","","","93","","","14314029",""
"","","501","14314","1","","32","","","14314030",""
"","","600","14314","0","","32","","","14314031",""
"","","613","14314","0","","32","","","14314032",""
"","","604","14314","0","","32","","","14314033",""
"","","701","14314","1","","32","","","14314034",""
"","","915","14314","0","","33","","0","14314035","0.01"
"0.2","0.2","101711","14314","wac_birthday_blowout_02","","3","1","0","14314036","wac_birthday_wish_02"
"","","101711","14314","-200","","2","","-330","14314037","0.01"
"","0.2","104311","14314","wac_birthday_idle_normal","","3","","1","14314038",""
"","","104311","14314","180","","2","","-320","14314039","0.01"
"","0.2","101011","14314","wac_birthday_idle_wish","","3","","1","14314040",""
"","","101011","14314","300","","2","","-360","14314041","0.01"
"","0.2","101411","14314","wac_birthday_idle_smile","","3","","1","14314042",""
"","","101411","14314","430","","2","","-340","14314043","0.01"
"","","0","14314","","","93","","","14314044",""
"","","800","14314","1","","32","","","14314045",""
"","","0.7","14314","","","93","","","14314046",""
"","","702","14314","1","","32","","","14314047",""
"","","0.5","14314","","","93","","","14314048",""
"","","se_common","14314","se_sys_login_birthday_blow_candle","","23","","0","14314049",""
"","","701","14314","0","","32","","","14314050",""
"","","0.4","14314","","","93","","","14314051",""
"","","se_common","14314","se_sys_login_birthday_cracker","","23","","0","14314052",""
"","","700","14314","1","","32","","","14314053",""
"","","se_common","14314","se_sys_login_birthday_calendar_applause","","23","","0","14314054",""
"0.2","0.2","104311","14314","wac_birthday_clap","","3","1","0","14314055","wac_birthday_idle_normal"
"","","0.1","14314","","","93","","","14314056",""
"0.2","0.2","101011","14314","wac_birthday_clap_to_wish","","3","1","0","14314057","wac_birthday_idle_wish"
"","","0.1","14314","","","93","","","14314058",""
"0.2","0.2","101411","14314","wac_birthday_clap","","3","1","0","14314059","wac_birthday_idle_smile"
"","","2","14314","","","93","","","14314060",""
"","","1","14314","","","131","","","14314061",""
"","","vo_wac_14314","14314","vo_wac_14314_000","","21","","0","14314062","0"
"0","0","101711","14314","わぁっ、この誕生日ケーキ……！\nみんなで作ってくれたさ～？\nこんなでっかいケーキ、\n見たことないさー！","0.5","11","1","10","14314063","1"
"","","0","14314","","","91","","","14314064",""
"","0.2","101711","14314","wac_birthday_idle_kyapi","","3","","1","14314065",""
"","0.2","104311","14314","wac_birthday_talk_doya","","3","","1","14314066",""
"","","vo_wac_14314","14314","vo_wac_14314_001","","21","","0","14314067","0"
"0","0","104311","14314","へへ、慣れないことしちまったけど、\nあたしもちょっと手伝ったんだぜ。\nその、いちご切ったりとかさ……\nほんのちょっとだけだけどな！","0.5","11","1","10","14314068","1"
"","","0","14314","","","91","","","14314069",""
"","0.2","104311","14314","wac_birthday_idle_doya","","3","","1","14314070",""
"","0.2","101711","14314","wac_birthday_talk_smile","","3","","1","14314071",""
"","","vo_wac_14314","14314","vo_wac_14314_002","","21","","0","14314072","0"
"0","0","101711","14314","えへへ、言葉にできないくらい\nうれしいさ～！　この気持ちを\nみんなに伝えるには……\n歌って踊るしかないさー！","0.5","11","1","10","14314073","1"
"","","0","14314","","","91","","","14314074",""
"","0.2","101711","14314","wac_birthday_talk_kyapi","","3","","1","14314075",""
"","","vo_wac_14314","14314","vo_wac_14314_003","","21","","0","14314076","0"
"0","0","101711","14314","ほら、みんなも歌ってほしいさ～！\nそうしてくれたら私、\n今までで一番の踊りを\n披露して見せるから！","0.5","11","1","10","14314077","1"
"","","0","14314","","","91","","","14314078",""
"","","0","14314","","","22","","","14314079",""
"","","bgm_M321","14714","bgm_M321_2C","","25","","","14714001",""
"0","2","1","14714","105611","wac_birthday_idle_normal","1","-70","250","14714002","-1000"
"1","2","1","14714","100911","wac_birthday_idle_doya","1","-260","256","14714003","170"
"1","2","1","14714","105111","wac_birthday_idle_normal","1","-310","259","14714004","250"
"1","2","1","14714","102711","wac_birthday_idle_wish","1","-270","257","14714005","370"
"1","2","1","14714","101311","wac_birthday_idle_smile","1","-310","258","14714006","500"
"","","105611","14714","300","","13","","","14714007",""
"","","100911","14714","300","","13","","","14714008",""
"","0","501","14714","501","","31","1","0","14714009","0"
"","1","600","14714","600","","31","1","0","14714010","0"
"","0","602","14714","602","","31","1","0","14714011","0"
"","0","603","14714","603","","31","1","0","14714012","0"
"","1","604","14714","604","","31","1","30","14714013","60"
"","1","613","14714","613","","31","1","0","14714014","0"
"","0","700","14714","700","","31","1","0","14714015","0"
"","0","701","14714","701","","31","1","0","14714016","0"
"","0","702","14714","702","","31","1","0","14714017","0"
"","0","800","14714","800","","31","1","0","14714018","0"
"","1","916","14714","916","","31","1","30","14714019","60"
"","","1","14714","","","93","","","14714020",""
"0.2","0.2","105111","14714","wac_birthday_reaction_01","","3","1","0","14714021","wac_birthday_reaction_04"
"0.2","0.2","100911","14714","wac_birthday_reaction_02","","3","1","0","14714022","wac_birthday_reaction_03"
"","","0.1","14714","","","93","","","14714023",""
"0.2","0.2","102711","14714","wac_birthday_reaction_05","","3","1","0","14714024","wac_birthday_reaction_03"
"0.2","0.2","101311","14714","wac_birthday_reaction_03","","3","1","0","14714025","wac_birthday_reaction_05"
"","","0.3","14714","","","93","","","14714026",""
"","0.2","105611","14714","wac_birthday_run_01","","3","","1","14714027",""
"","","105611","14714","0","","2","","-70","14714028","3"
"","","2.5","14714","","","93","","","14714029",""
"","","602","14714","1","","32","","","14714030",""
"","","0.6","14714","","","93","","","14714031",""
"","","501","14714","1","","32","","","14714032",""
"","","600","14714","0","","32","","","14714033",""
"","","613","14714","0","","32","","","14714034",""
"","","604","14714","0","","32","","","14714035",""
"","","701","14714","1","","32","","","14714036",""
"","","916","14714","0","","33","","0","14714037","0.01"
"0.2","0.2","105611","14714","wac_birthday_blowout_01","","3","1","0","14714038","wac_birthday_wish_01"
"","","105611","14714","-200","","2","","-330","14714039","0.01"
"","0.2","100911","14714","wac_birthday_idle_doya","","3","","1","14714040",""
"","","100911","14714","150","","2","","-320","14714041","0.01"
"","0.2","105111","14714","wac_birthday_idle_normal","","3","","1","14714042",""
"","","105111","14714","260","","2","","-360","14714043","0.01"
"","0.2","102711","14714","wac_birthday_idle_wish","","3","","1","14714044",""
"","","102711","14714","380","","2","","-320","14714045","0.01"
"","0.2","101311","14714","wac_birthday_idle_smile","","3","","1","14714046",""
"","","101311","14714","500","","2","","-340","14714047","0.01"
"","","0","14714","","","93","","","14714048",""
"","","800","14714","1","","32","","","14714049",""
"","","0.7","14714","","","93","","","14714050",""
"","","702","14714","1","","32","","","14714051",""
"","","0.5","14714","","","93","","","14714052",""
"","","se_common","14714","se_sys_login_birthday_blow_candle","","23","","0","14714053",""
"","","701","14714","0","","32","","","14714054",""
"","","0.4","14714","","","93","","","14714055",""
"","","se_common","14714","se_sys_login_birthday_cracker","","23","","0","14714056",""
"","","700","14714","1","","32","","","14714057",""
"","","se_common","14714","se_sys_login_birthday_calendar_applause","","23","","0","14714058",""
"0.2","0.2","100911","14714","wac_birthday_clap","","3","1","0","14714059","wac_birthday_idle_doya"
"0.2","0.2","102711","14714","wac_birthday_clap_to_wish","","3","1","0","14714060","wac_birthday_idle_wish"
"","","0.1","14714","","","93","","","14714061",""
"0.2","0.2","105111","14714","wac_birthday_clap","","3","1","0","14714062","wac_birthday_idle_normal"
"","","0.1","14714","","","93","","","14714063",""
"0.2","0.2","101311","14714","wac_birthday_clap","","3","1","0","14714064","wac_birthday_idle_smile"
"","","2","14714","","","93","","","14714065",""
"","","1","14714","","","131","","","14714066",""
"","","vo_wac_14714","14714","vo_wac_14714_000","","21","","0","14714067","0"
"0","0","105611","14714","おっと……こいつは驚いた。\nまさかこんな仕込みをしていたなんて。\nアンタらの誕生日は覚えてたが、\n自分のはすっかり忘れちまってたよ。","0.5","11","1","10","14714068","1"
"","","0","14714","","","91","","","14714069",""
"","0.2","105611","14714","wac_birthday_idle_smile","","3","","1","14714070",""
"","0.2","100911","14714","wac_birthday_talk_doya","","3","","1","14714071",""
"","","vo_wac_14714","14714","vo_wac_14714_001","","21","","0","14714072","0"
"0","0","100911","14714","ふっ、ルカには日ごろ世話になってる\nからな！　生誕を祝うのは当然だ！\nちなみに私はローソクを立てたぞ！\n見ろ、完璧なバランスだろう！？","0.5","11","1","10","14714073","1"
"","","0","14714","","","91","","","14714074",""
"","0.2","100911","14714","wac_birthday_idle_doya","","3","","1","14714075",""
"","0.2","105611","14714","wac_birthday_talk_smile","","3","","1","14714076",""
"","","vo_wac_14714","14714","vo_wac_14714_002","","21","","0","14714077","0"
"0","0","105611","14714","ああ、たしかに、こいつはすごい。\nまるで絵の中から飛び出してきた\nみたいじゃないか……ありがとう。\n大切にいただくとするよ。","0.5","11","1","10","14714078","1"
"","","0","14714","","","91","","","14714079",""
"","0.2","105611","14714","wac_birthday_talk_doya","","3","","1","14714080",""
"","","vo_wac_14714","14714","vo_wac_14714_003","","21","","0","14714081","0"
"0","0","105611","14714","そら、アンタたちも食べな。\nせっかく用意してくれた\nごちそうなんだ。みんなで\n景気よく楽しもうじゃないか♪","0.5","11","1","10","14714082","1"
"","","0","14714","","","91","","","14714083",""
"","","0","14714","","","22","","","14714084",""
"","","bgm_M321","16114","bgm_M321_2C","","25","","","16114001",""
"0","2","1","16114","106811","wac_birthday_idle_normal","1","-70","250","16114002","-1000"
"1","2","1","16114","101111","wac_birthday_idle_smile","1","-270","256","16114003","230"
"1","2","1","16114","104911","wac_birthday_idle_normal","1","-310","257","16114004","410"
"","","106811","16114","300","","13","","","16114005",""
"","","101111","16114","300","","13","","","16114006",""
"","","104911","16114","300","","13","","","16114007",""
"","0","501","16114","501","","31","1","0","16114008","0"
"","1","600","16114","600","","31","1","0","16114009","0"
"","0","602","16114","602","","31","1","0","16114010","0"
"","0","603","16114","603","","31","1","0","16114011","0"
"","1","604","16114","604","","31","1","30","16114012","60"
"","1","613","16114","613","","31","1","0","16114013","0"
"","0","700","16114","700","","31","1","0","16114014","0"
"","0","701","16114","701","","31","1","0","16114015","0"
"","0","702","16114","702","","31","1","0","16114016","0"
"","0","800","16114","800","","31","1","0","16114017","0"
"","1","917","16114","917","","31","1","30","16114018","60"
"","","1","16114","","","93","","","16114019",""
"0.2","0.2","104911","16114","wac_birthday_reaction_05","","3","1","0","16114020","wac_birthday_reaction_03"
"","","0.1","16114","","","93","","","16114021",""
"0.2","0.2","101111","16114","wac_birthday_reaction_03","","3","1","0","16114022","wac_birthday_reaction_05"
"","","0.3","16114","","","93","","","16114023",""
"","0.2","106811","16114","wac_birthday_run_01","","3","","1","16114024",""
"","","106811","16114","0","","2","","-70","16114025","3"
"","","2.5","16114","","","93","","","16114026",""
"","","602","16114","1","","32","","","16114027",""
"","","0.6","16114","","","93","","","16114028",""
"","","501","16114","1","","32","","","16114029",""
"","","600","16114","0","","32","","","16114030",""
"","","613","16114","0","","32","","","16114031",""
"","","604","16114","0","","32","","","16114032",""
"","","701","16114","1","","32","","","16114033",""
"","","917","16114","0","","33","","0","16114034","0.01"
"0.2","0.2","106811","16114","wac_birthday_blowout_01","","3","1","0","16114035","wac_birthday_wish_01"
"","","106811","16114","-200","","2","","-330","16114036","0.01"
"","0.2","101111","16114","wac_birthday_idle_smile","","3","","1","16114037",""
"","","101111","16114","180","","2","","-320","16114038","0.01"
"","0.2","104911","16114","wac_birthday_idle_normal","","3","","1","16114039",""
"","","104911","16114","320","","2","","-340","16114040","0.01"
"","","0","16114","","","93","","","16114041",""
"","","800","16114","1","","32","","","16114042",""
"","","0.7","16114","","","93","","","16114043",""
"","","702","16114","1","","32","","","16114044",""
"","","0.5","16114","","","93","","","16114045",""
"","","se_common","16114","se_sys_login_birthday_blow_candle","","23","","0","16114046",""
"","","701","16114","0","","32","","","16114047",""
"","","0.4","16114","","","93","","","16114048",""
"","","se_common","16114","se_sys_login_birthday_cracker","","23","","0","16114049",""
"","","700","16114","1","","32","","","16114050",""
"","","se_common","16114","se_sys_login_birthday_calendar_applause","","23","","0","16114051",""
"0.2","0.2","101111","16114","wac_birthday_clap","","3","1","0","16114052","wac_birthday_idle_smile"
"","","0.1","16114","","","93","","","16114053",""
"0.2","0.2","104911","16114","wac_birthday_clap","","3","1","0","16114054","wac_birthday_idle_normal"
"","","2","16114","","","93","","","16114055",""
"","","1","16114","","","131","","","16114056",""
"","","vo_wac_16114","16114","vo_wac_16114_000","","21","","0","16114057","0"
"0","0","106811","16114","これはこれは……驚いたね。\n立派なケーキじゃないか。\nわざわざ用意してくれたんだ？\n嬉しいことしてくれるねえ。","0.5","11","1","10","16114058","1"
"","","0","16114","","","91","","","16114059",""
"","0.2","106811","16114","wac_birthday_idle_normal","","3","","1","16114060",""
"","0.2","101111","16114","wac_birthday_talk_smile","","3","","1","16114061",""
"","","vo_wac_16114","16114","vo_wac_16114_001","","21","","0","16114062","0"
"0","0","101111","16114","マスターにはいつもお世話に\nなってますもんね♪\nお兄ちゃんと私たちみんなで\n作っちゃいました！","0.5","11","1","10","16114063","1"
"","","0","16114","","","91","","","16114064",""
"","0.2","101111","16114","wac_birthday_idle_smile","","3","","1","16114065",""
"","0.2","104911","16114","wac_birthday_talk_wish","","3","","1","16114066",""
"","","vo_wac_16114","16114","vo_wac_16114_002","","21","","0","16114067","0"
"0","0","104911","16114","クレープ屋さんで培った技術を\nふんだんにつぎ込んだ\nお姉ちゃんと弟くんとの愛の傑作だよ！\nさぁ、マスター。食べて食べて。","0.5","11","1","10","16114068","1"
"","","0","16114","","","91","","","16114069",""
"","0.2","104911","16114","wac_birthday_idle_wish","","3","","1","16114070",""
"","0.2","101111","16114","wac_birthday_talk_doya","","3","","1","16114071",""
"","","vo_wac_16114","16114","vo_wac_16114_003","","21","","0","16114072","0"
"0","0","101111","16114","妹も！　妹もいましたからね！\nお姉ちゃん！","0.5","11","1","10","16114073","1"
"","","0","16114","","","91","","","16114074",""
"","0.2","101111","16114","wac_birthday_idle_doya","","3","","1","16114075",""
"","0.2","106811","16114","wac_birthday_talk_smile","","3","","1","16114076",""
"","","vo_wac_16114","16114","vo_wac_16114_004","","21","","0","16114077","0"
"0","0","106811","16114","はは、これはアタシだけじゃあ\n食べきれないなあ。\nもちろん、手伝ってくれるん\nだよね、少年？","0.5","11","1","10","16114078","1"
"","","0","16114","","","91","","","16114079",""
"","","0","16114","","","22","","","16114080",""
"","","bgm_M321","16414","bgm_M321_2C","","25","","","16414001",""
"0","2","1","16414","105311","wac_birthday_idle_normal","1","-70","250","16414002","-1000"
"1","2","1","16414","103011","wac_birthday_idle_doya","1","-260","256","16414003","170"
"1","2","1","16414","100811","wac_birthday_idle_smile","1","-310","259","16414004","270"
"1","2","1","16414","104511","wac_birthday_idle_normal","1","-270","257","16414005","400"
"1","2","1","16414","105511","wac_birthday_idle_wish","1","-310","258","16414006","500"
"","","105311","16414","300","","13","","","16414007",""
"","","103011","16414","300","","13","","","16414008",""
"","0","501","16414","501","","31","1","0","16414009","0"
"","1","600","16414","600","","31","1","0","16414010","0"
"","0","602","16414","602","","31","1","0","16414011","0"
"","0","603","16414","603","","31","1","0","16414012","0"
"","1","604","16414","604","","31","1","30","16414013","60"
"","1","613","16414","613","","31","1","0","16414014","0"
"","0","700","16414","700","","31","1","0","16414015","0"
"","0","701","16414","701","","31","1","0","16414016","0"
"","0","702","16414","702","","31","1","0","16414017","0"
"","0","800","16414","800","","31","1","0","16414018","0"
"","1","918","16414","918","","31","1","30","16414019","60"
"","","1","16414","","","93","","","16414020",""
"0.2","0.2","100811","16414","wac_birthday_reaction_03","","3","1","0","16414021","wac_birthday_reaction_05"
"0.2","0.2","103011","16414","wac_birthday_reaction_01","","3","1","0","16414022","wac_birthday_reaction_03"
"","","0.1","16414","","","93","","","16414023",""
"0.2","0.2","104511","16414","wac_birthday_reaction_01","","3","1","0","16414024","wac_birthday_reaction_04"
"0.2","0.2","105511","16414","wac_birthday_reaction_05","","3","1","0","16414025","wac_birthday_reaction_03"
"","","0.3","16414","","","93","","","16414026",""
"","0.2","105311","16414","wac_birthday_run_01","","3","","1","16414027",""
"","","105311","16414","0","","2","","-70","16414028","3"
"","","2.5","16414","","","93","","","16414029",""
"","","602","16414","1","","32","","","16414030",""
"","","0.6","16414","","","93","","","16414031",""
"","","501","16414","1","","32","","","16414032",""
"","","600","16414","0","","32","","","16414033",""
"","","613","16414","0","","32","","","16414034",""
"","","604","16414","0","","32","","","16414035",""
"","","701","16414","1","","32","","","16414036",""
"","","918","16414","0","","33","","0","16414037","0.01"
"0.2","0.2","105311","16414","wac_birthday_blowout_03","","3","1","0","16414038","wac_birthday_wish_01"
"","","105311","16414","-200","","2","","-330","16414039","0.01"
"","0.2","103011","16414","wac_birthday_idle_doya","","3","","1","16414040",""
"","","103011","16414","150","","2","","-320","16414041","0.01"
"","0.2","100811","16414","wac_birthday_idle_smile","","3","","1","16414042",""
"","","100811","16414","260","","2","","-360","16414043","0.01"
"","0.2","104511","16414","wac_birthday_idle_normal","","3","","1","16414044",""
"","","104511","16414","390","","2","","-320","16414045","0.01"
"","0.2","105511","16414","wac_birthday_idle_wish","","3","","1","16414046",""
"","","105511","16414","490","","2","","-340","16414047","0.01"
"","","0","16414","","","93","","","16414048",""
"","","800","16414","1","","32","","","16414049",""
"","","0.7","16414","","","93","","","16414050",""
"","","702","16414","1","","32","","","16414051",""
"","","0.5","16414","","","93","","","16414052",""
"","","se_common","16414","se_sys_login_birthday_blow_candle","","23","","0","16414053",""
"","","701","16414","0","","32","","","16414054",""
"","","0.4","16414","","","93","","","16414055",""
"","","se_common","16414","se_sys_login_birthday_cracker","","23","","0","16414056",""
"","","700","16414","1","","32","","","16414057",""
"","","se_common","16414","se_sys_login_birthday_calendar_applause","","23","","0","16414058",""
"0.2","0.2","103011","16414","wac_birthday_clap","","3","1","0","16414059","wac_birthday_idle_doya"
"0.2","0.2","104511","16414","wac_birthday_clap","","3","1","0","16414060","wac_birthday_idle_normal"
"","","0.1","16414","","","93","","","16414061",""
"0.2","0.2","100811","16414","wac_birthday_clap","","3","1","0","16414062","wac_birthday_idle_smile"
"","","0.1","16414","","","93","","","16414063",""
"0.2","0.2","105511","16414","wac_birthday_clap_to_wish","","3","1","0","16414064","wac_birthday_idle_wish"
"","","2","16414","","","93","","","16414065",""
"","","1","16414","","","131","","","16414066",""
"","","vo_wac_16414","16414","vo_wac_16414_000","","21","","0","16414067","0"
"0","0","105311","16414","私の誕生日祝い、だと……？\nな、なんと巨大なケーキだ！\nそれにとんでもなく香しい匂いが……！\nこれを私のために……？","0.5","11","1","10","16414068","1"
"","","0","16414","","","91","","","16414069",""
"","0.2","105311","16414","wac_birthday_idle_smile","","3","","1","16414070",""
"","0.2","103011","16414","wac_birthday_talk_kyapi","","3","","1","16414071",""
"","","vo_wac_16414","16414","vo_wac_16414_001","","21","","0","16414072","0"
"0","0","103011","16414","イエース！　スウィートなものを\nコレデモカとテンコ盛りにした、\nスペシャルスウィートケーキデス！\nお召し上がりクダサーイ！","0.5","11","1","10","16414073","1"
"","","0","16414","","","91","","","16414074",""
"","0.2","103011","16414","wac_birthday_idle_kyapi","","3","","1","16414075",""
"","0.2","105311","16414","wac_birthday_talk_sad","","3","","1","16414076",""
"","","vo_wac_16414","16414","vo_wac_16414_002","","21","","0","16414077","0"
"0","0","105311","16414","いったいどれだけ砂糖を使ったんだ！？\n尋常じゃなく甘い匂いがする……\nくぅっ、甘味は控え目にと歯医者さんに\n言われたばかりなのに……！","0.5","11","1","10","16414078","1"
"","","0","16414","","","91","","","16414079",""
"","0.2","105311","16414","wac_birthday_talk_doya","","3","","1","16414080",""
"","","vo_wac_16414","16414","vo_wac_16414_003","","21","","0","16414081","0"
"0","0","105311","16414","し、しかし……部下の気持ちを\n無下にしてはいけないな！\nうむ、それなら完食もやむなしだ！\n早速いただくとしよう！","0.5","11","1","10","16414082","1"
"","","0","16414","","","91","","","16414083",""
"","","0","16414","","","22","","","16414084",""
"","","bgm_M321","16614","bgm_M321_2C","","25","","","16614001",""
"0","2","1","16614","102711","wac_birthday_idle_normal","1","-70","250","16614002","-1000"
"1","2","1","16614","105611","wac_birthday_idle_smile","1","-260","256","16614003","170"
"1","2","1","16614","100911","wac_birthday_idle_doya","1","-310","259","16614004","270"
"1","2","1","16614","105111","wac_birthday_idle_normal","1","-270","257","16614005","380"
"1","2","1","16614","101311","wac_birthday_idle_kyapi","1","-310","258","16614006","510"
"","","102711","16614","300","","13","","","16614007",""
"","","105611","16614","300","","13","","","16614008",""
"","0","501","16614","501","","31","1","0","16614009","0"
"","1","600","16614","600","","31","1","0","16614010","0"
"","0","602","16614","602","","31","1","0","16614011","0"
"","0","603","16614","603","","31","1","0","16614012","0"
"","1","604","16614","604","","31","1","30","16614013","60"
"","1","613","16614","613","","31","1","0","16614014","0"
"","0","700","16614","700","","31","1","0","16614015","0"
"","0","701","16614","701","","31","1","0","16614016","0"
"","0","702","16614","702","","31","1","0","16614017","0"
"","0","800","16614","800","","31","1","0","16614018","0"
"","1","919","16614","919","","31","1","30","16614019","60"
"","","1","16614","","","93","","","16614020",""
"0.2","0.2","100911","16614","wac_birthday_reaction_01","","3","1","0","16614021","wac_birthday_reaction_03"
"0.2","0.2","105611","16614","wac_birthday_reaction_02","","3","1","0","16614022","wac_birthday_reaction_03"
"","","0.1","16614","","","93","","","16614023",""
"0.2","0.2","105111","16614","wac_birthday_reaction_01","","3","1","0","16614024","wac_birthday_reaction_04"
"0.2","0.2","101311","16614","wac_birthday_reaction_03","","3","1","0","16614025","wac_birthday_reaction_05"
"","","0.3","16614","","","93","","","16614026",""
"","0.2","102711","16614","wac_birthday_run_01","","3","","1","16614027",""
"","","102711","16614","0","","2","","-70","16614028","3"
"","","2.5","16614","","","93","","","16614029",""
"","","602","16614","1","","32","","","16614030",""
"","","0.6","16614","","","93","","","16614031",""
"","","501","16614","1","","32","","","16614032",""
"","","600","16614","0","","32","","","16614033",""
"","","613","16614","0","","32","","","16614034",""
"","","604","16614","0","","32","","","16614035",""
"","","701","16614","1","","32","","","16614036",""
"","","919","16614","0","","33","","0","16614037","0.01"
"0.2","0.2","102711","16614","wac_birthday_eriko_blowout_03","","3","1","0","16614038","wac_birthday_eriko_wish_04"
"","","102711","16614","-200","","2","","-330","16614039","0.01"
"","0.2","105611","16614","wac_birthday_idle_smile","","3","","1","16614040",""
"","","105611","16614","150","","2","","-320","16614041","0.01"
"","0.2","100911","16614","wac_birthday_idle_doya","","3","","1","16614042",""
"","","100911","16614","250","","2","","-360","16614043","0.01"
"","0.2","105111","16614","wac_birthday_idle_normal","","3","","1","16614044",""
"","","105111","16614","370","","2","","-320","16614045","0.01"
"","0.2","101311","16614","wac_birthday_idle_kyapi","","3","","1","16614046",""
"","","101311","16614","490","","2","","-340","16614047","0.01"
"","","0","16614","","","93","","","16614048",""
"","","800","16614","1","","32","","","16614049",""
"","","0.7","16614","","","93","","","16614050",""
"","","702","16614","1","","32","","","16614051",""
"","","0.5","16614","","","93","","","16614052",""
"","","se_common","16614","se_sys_login_birthday_blow_candle","","23","","0","16614053",""
"","","701","16614","0","","32","","","16614054",""
"","","0.4","16614","","","93","","","16614055",""
"","","se_common","16614","se_sys_login_birthday_cracker","","23","","0","16614056",""
"","","700","16614","1","","32","","","16614057",""
"","","se_common","16614","se_sys_login_birthday_calendar_applause","","23","","0","16614058",""
"0.2","0.2","105611","16614","wac_birthday_clap","","3","1","0","16614059","wac_birthday_idle_smile"
"0.2","0.2","105111","16614","wac_birthday_clap","","3","1","0","16614060","wac_birthday_idle_normal"
"","","0.1","16614","","","93","","","16614061",""
"0.2","0.2","100911","16614","wac_birthday_clap","","3","1","0","16614062","wac_birthday_idle_doya"
"","","0.1","16614","","","93","","","16614063",""
"0.2","0.2","101311","16614","wac_birthday_clap","","3","1","0","16614064","wac_birthday_idle_kyapi"
"","","2","16614","","","93","","","16614065",""
"","","1","16614","","","131","","","16614066",""
"","","vo_wac_16614","16614","vo_wac_16614_000","","21","","0","16614067","0"
"0","0","102711","16614","誕生、日……？\n私のですか？\nなぜそんなことを\n覚えているのですか？","0.5","11","1","10","16614068","1"
"","","0","16614","","","91","","","16614069",""
"","0.2","102711","16614","wac_birthday_eriko_idle_wish","","3","","1","16614070",""
"","0.2","105611","16614","wac_birthday_talk_doya","","3","","1","16614071",""
"","","vo_wac_16614","16614","vo_wac_16614_001","","21","","0","16614072","0"
