6fa23a80b7916a947db9cdfe0eb284b25feda082bffbcbd8444e63ff181d0a7e,1ae2c1dcdc8e99117f8f30b787d53a574013900366d61cf2dbda8ebe1358a12e,9728cf7fa64aa3590ac58277700a4e38bf4be347852a0cc2917c6f4342e273f3,6ed6f2384f46442af2ab10f68e495d813d47054a13072b932401f89cdb465050,31bff26de7da455562372c9b94d263236279d1e83de761f3cc20bb2a3955a621
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005404","魔法防御力（ダウン不可）アップ","237","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005404","ＨＰ吸収ダウン","238","9"
"バトル時間が60秒になる。","74005405","バトル時間制限","239","limit_time"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005405","ダメージ減衰","240","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005405","ＴＰ上昇上限付与","241","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005405","物理防御力（ダウン不可）アップ","242","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005405","魔法防御力（ダウン不可）アップ","243","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005405","ＨＰ吸収ダウン","244","9"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005501","ダメージ減衰","245","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005501","ＴＰ上昇上限付与","246","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005501","物理防御力（ダウン不可）アップ","247","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005501","魔法防御力（ダウン不可）アップ","248","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005501","ＨＰ吸収ダウン","249","9"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005501","ＴＰダウンカット","250","boss_tp_down_cut"
"ゴーレム、ウパルパが追加される。","74005502","モンスター追加","251","add_shadow"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005502","ダメージ減衰","252","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005502","ＴＰ上昇上限付与","253","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005502","物理防御力（ダウン不可）アップ","254","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005502","魔法防御力（ダウン不可）アップ","255","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005502","ＨＰ吸収ダウン","256","9"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005502","ＴＰダウンカット","257","boss_tp_down_cut"
"ミヤコ、アオイが追加される。","74005503","モンスター追加","258","add_shadow"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005503","ダメージ減衰","259","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005503","ＴＰ上昇上限付与","260","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005503","物理防御力（ダウン不可）アップ","261","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005503","魔法防御力（ダウン不可）アップ","262","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005503","ＨＰ吸収ダウン","263","9"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005503","ＴＰダウンカット","264","boss_tp_down_cut"
"ルナポッドが追加される。","74005504","モンスター追加","265","add_shadow"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005504","ダメージ減衰","266","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005504","ＴＰ上昇上限付与","267","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005504","物理防御力（ダウン不可）アップ","268","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005504","魔法防御力（ダウン不可）アップ","269","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005504","ＨＰ吸収ダウン","270","9"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005504","ＴＰダウンカット","271","boss_tp_down_cut"
"バトル時間が60秒になる。","74005505","バトル時間制限","272","limit_time"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005505","ダメージ減衰","273","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005505","ＴＰ上昇上限付与","274","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005505","物理防御力（ダウン不可）アップ","275","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005505","魔法防御力（ダウン不可）アップ","276","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005505","ＨＰ吸収ダウン","277","9"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005505","ＴＰダウンカット","278","boss_tp_down_cut"
"ハツネ（サマー）、サレン（サマー）、スズナ、キョウカのシャドウに専用装備が追加される。","74006102","シャドウ強化","279","star6_shadow"
"スズナ、キョウカのシャドウが★6になる。","74006103","シャドウ強化","280","star6_shadow"
"編成可能キャラ数が4キャラになる。","74006103","編成キャラ数制限","281","limit_chara_num"
"編成可能キャラ数が4キャラになる。","74006104","編成キャラ数制限","282","limit_chara_num"
"バトル開始時、すべてのシャドウに物理無効バリアを展開する。","74006104","物理無効バリア","283","27"
"バトル開始時、すべてのシャドウに魔法無効バリアを展開する。","74006104","魔法無効バリア","284","28"
"編成可能キャラ数が4キャラになる。","74006105","編成キャラ数制限","285","limit_chara_num"
"バトル開始時、すべてのシャドウに物理無効バリアを展開する。","74006105","物理無効バリア","286","27"
"バトル開始時、すべてのシャドウに魔法無効バリアを展開する。","74006105","魔法無効バリア","287","28"
"レイ（ニューイヤー）、シズル（ノワール）、シズル、ネアのシャドウに専用装備が追加される。","74006202","シャドウ強化","288","star6_shadow"
"レイ（ニューイヤー）、シズルのシャドウが★6になる。","74006203","シャドウ強化","289","star6_shadow"
"編成可能キャラ数が4キャラになる。","74006203","編成キャラ数制限","290","limit_chara_num"
"編成可能キャラ数が4キャラになる。","74006204","編成キャラ数制限","291","limit_chara_num"
"バトル開始時、すべてのシャドウのＴＰを特大回復。","74006204","ＴＰ回復","292","energy_recover"
"編成可能キャラ数が4キャラになる。","74006205","編成キャラ数制限","293","limit_chara_num"
"バトル開始時、すべてのシャドウのＴＰを特大回復させ、ＴＰ継続回復状態を付与する。","74006205","ＴＰ回復","294","energy_recover"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006301","物理防御力（ダウン不可）アップ","295","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006301","魔法防御力（ダウン不可）アップ","296","boss_magic_def_lower_limit"
"バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006301","ＴＰダウンカット","297","boss_tp_down_cut"
"バトル開始時、すべてのモンスターが魔法ダメージ30％カット状態になる。","74006302","魔法ダメージカット","298","boss_magic_cut"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006302","物理防御力（ダウン不可）アップ","299","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006302","魔法防御力（ダウン不可）アップ","300","boss_magic_def_lower_limit"
"バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006302","ＴＰダウンカット","301","boss_tp_down_cut"
"バトル開始時、すべてのモンスターが魔法ダメージ60％カット状態になる。","74006303","魔法ダメージカット","302","boss_magic_cut"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006303","物理防御力（ダウン不可）アップ","303","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006303","魔法防御力（ダウン不可）アップ","304","boss_magic_def_lower_limit"
"バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006303","ＴＰダウンカット","305","boss_tp_down_cut"
"ボスモンスターの行動パターンが変化する。","74006304","ボス行動パターン変化","306","boss_ub_enhance"
"バトル開始時、すべてのモンスターが魔法ダメージ90％カット状態になる。","74006304","魔法ダメージカット","307","boss_magic_cut"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006304","物理防御力（ダウン不可）アップ","308","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006304","魔法防御力（ダウン不可）アップ","309","boss_magic_def_lower_limit"
"バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006304","ＴＰダウンカット","310","boss_tp_down_cut"
"ボスモンスターの行動パターンが変化する。","74006305","ボス行動パターン変化","311","boss_ub_enhance"
"バトル開始時、すべてのモンスターが魔法ダメージ90％カット状態になる。","74006305","魔法ダメージカット","312","boss_magic_cut"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006305","物理防御力（ダウン不可）アップ","313","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006305","魔法防御力（ダウン不可）アップ","314","boss_magic_def_lower_limit"
"バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006305","ＴＰダウンカット","315","boss_tp_down_cut"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006401","物理防御力（ダウン不可）アップ","316","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006401","魔法防御力（ダウン不可）アップ","317","boss_magic_def_lower_limit"
"バトル開始時、すべてのモンスターが物理ダメージ30％カット状態になる。","74006402","物理ダメージカット","318","boss_physics_cut"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006402","物理防御力（ダウン不可）アップ","319","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006402","魔法防御力（ダウン不可）アップ","320","boss_magic_def_lower_limit"
"バトル開始時、すべてのモンスターが物理ダメージ60％カット状態になる。","74006403","物理ダメージカット","321","boss_physics_cut"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006403","物理防御力（ダウン不可）アップ","322","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006403","魔法防御力（ダウン不可）アップ","323","boss_magic_def_lower_limit"
"ジャングルガード、マコトのシャドウ、エリコのシャドウ、スタンプが追加される。","74006404","モンスター追加","324","add_shadow"
"ボスモンスターの行動パターンが変化する。","74006404","ボス行動パターン変化","325","boss_ub_enhance"
"バトル開始時、すべてのモンスターが物理ダメージ90％カット状態になる。","74006404","物理ダメージカット","326","boss_physics_cut"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006404","物理防御力（ダウン不可）アップ","327","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006404","魔法防御力（ダウン不可）アップ","328","boss_magic_def_lower_limit"
"ボスモンスターの行動パターンが変化する。","74006405","ボス行動パターン変化","329","boss_ub_enhance"
"バトル開始時、すべてのモンスターが物理ダメージ90％カット状態になる。","74006405","物理ダメージカット","330","boss_physics_cut"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006405","物理防御力（ダウン不可）アップ","331","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006405","魔法防御力（ダウン不可）アップ","332","boss_magic_def_lower_limit"
"バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006405","ＴＰダウンカット","333","boss_tp_down_cut"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006501","ダメージ減衰","334","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006501","ＴＰ上昇上限付与","335","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006501","物理防御力（ダウン不可）アップ","336","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006501","魔法防御力（ダウン不可）アップ","337","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006501","ＨＰ吸収ダウン","338","9"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006501","ＴＰダウンカット","339","boss_tp_down_cut"
"同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","74006502","全属性ボーナス特大アップ","340","33"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006502","ダメージ減衰","341","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006502","ＴＰ上昇上限付与","342","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006502","物理防御力（ダウン不可）アップ","343","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006502","魔法防御力（ダウン不可）アップ","344","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006502","ＨＰ吸収ダウン","345","9"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006502","ＴＰダウンカット","346","boss_tp_down_cut"
"同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","74006503","全属性ボーナス特大アップ","347","33"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006503","ダメージ減衰","348","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006503","ＴＰ上昇上限付与","349","17"
"バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006503","物理防御力（ダウン不可）アップ","350","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006503","魔法防御力（ダウン不可）アップ","351","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006503","ＨＰ吸収ダウン","352","9"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006503","ＴＰダウンカット","353","boss_tp_down_cut"
"同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","74006504","全属性ボーナス特大アップ","354","33"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006504","ダメージ減衰","355","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006504","ＴＰ上昇上限付与","356","17"
"バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006504","物理防御力（ダウン不可）アップ","357","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006504","魔法防御力（ダウン不可）アップ","358","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006504","ＨＰ吸収ダウン","359","9"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006504","ＴＰダウンカット","360","boss_tp_down_cut"
"バトル時間が60秒になる。","74006505","バトル時間制限","361","limit_time"
"同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","74006505","全属性ボーナス特大アップ","362","33"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006505","ダメージ減衰","363","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006505","ＴＰ上昇上限付与","364","17"
"バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006505","物理防御力（ダウン不可）アップ","365","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006505","魔法防御力（ダウン不可）アップ","366","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006505","ＨＰ吸収ダウン","367","9"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006505","ＴＰダウンカット","368","boss_tp_down_cut"
