7537a788b69f3e65a36da196089e90efc0a1642c2a4b23aa490491c0db169cd4,a97c18174d05a2110243a73e90445cf00823ee71f86310b1906914327764c620,ba7a1f01887c2eaee273d9e0e1faf4dcc48f8f63c43d8ed4f77227815c18b7a4,9fe2aefabca64370d14797683f4e88472a71822ecba9c93cda95e5c4e6890bc1,7e424f3ac2a95e47261bc9437ce50fa0ddab5f49e468b1bc86c51f9100ca60a1,73d4bfa23897f1ac8859be7f1d460a91a4d31297a39caed270fc44cff913f176,8108c132c85281b04501776d8cd41fe93b8bf7c43be20767ac99d2c1882545cd,d4f7a95b361af48f8efbf11aa318a886aaf13914d438dc7a632e56a4e3666a8a,f2516964c13bbdbcac2ff2b14576916179018c8e19cfcbc5c2024ba061f0c86c,a6d4dc7bfe68a03293b7491d04c2196faa3d3e971a3a051b49526f577f9eb0ab,cd799f42c5b7ec33dbe66ba770308a47f0d9b98fd40e63038ed66a9b5d90ffc9
"0","91","","","","","1057501","1057501044","","",""
"vo_adv_1057501","21","","","0","","1057501","1057501045","","0","vo_adv_1057501_002"
"105711","11","0","","7","0","1057501","1057501046","1","1","なんだかやる気が出てきちゃった！\nもしよかったら、このあと一緒に\n依頼を受けにいこうよ！"
"0","91","","","","","1057501","1057501047","","",""
"vo_adv_1057501","21","","","0","","1057501","1057501048","","0","vo_adv_1057501_003"
"105711","11","0","","5","0","1057501","1057501049","1","1","ゆっくりでいいからがんばって\n騎空団として成長して……\nいつかは蒼い空を自由に旅したいな。\nもちろん、その時はあなたも一緒だよ！"
"0","91","","","","","1057501","1057501050","","",""
"9","31","","","0","1","1057501","1057501051","1","0","9"
"0","131","","","","","1057501","1057501052","","",""
"0","22","","","0","","1057501","1057501053","","0","1"
"","111","","","","","1057501","1057501054","","",""
"0","91","","","","","1057501","1057501055","","",""
"1","1","1","cmn_talk_def_N","850","1.5","1070501","1070501001","-220","400","107011"
"8","31","","","0","1","1070501","1070501002","1","0","8"
"7","31","","","0","1","1070501","1070501003","1","0","7"
"86","31","","","0","1","1070501","1070501004","1","0","86"
"3","31","","","0","1","1070501","1070501005","1","0","3"
"2","31","","","0","1","1070501","1070501006","1","0","2"
"1","31","","","0","1","1070501","1070501007","1","0","1"
"12","31","","","0","0","1070501","1070501008","1","0","12"
"107011","3","","","1","0.3","1070501","1070501009","","","blb_run_01"
"107011","2","","","-220","","1070501","1070501010","0","1.3","90"
"bgm_M321","25","","","0","","1070501","1070501011","","0","bgm_M321_2C"
"0","121","","","1.25","0","1070501","1070501012","0","1.25","0"
"12","32","","","0","1","1070501","1070501013","1","0","1"
"se_common","23","","","0","","1070501","1070501014","","0","se_sys_login_birthday_new_01"
"1.3","93","","","","","1070501","1070501015","","",""
"107011","3","0.3","","0","0.05","1070501","1070501016","0","blb_idle","blb_stop"
"107011","2","","","-220","","1070501","1070501017","0","0.25","80"
"1.4","93","","","","","1070501","1070501018","","",""
"0","121","","","1.4","3","1070501","1070501019","1","1.4","0"
"1","131","","","","","1070501","1070501020","","",""
"107011","3","0.3","","0","0.3","1070501","1070501021","1","blb_idle_02","blb_blowout_03"
"0.7","93","","","","","1070501","1070501022","","",""
"12","32","","","0","1","1070501","1070501023","1","0","0"
"13","31","","","0","1","1070501","1070501024","1","0","13"
"0.2","93","","","","","1070501","1070501025","","",""
"se_common","23","","","0","","1070501","1070501026","","0","se_sys_login_birthday_blow_candle"
"1.2","93","","","","","1070501","1070501027","","",""
"se_adv_tickle_02","23","","","0","","1070501","1070501028","","0","se_adv_tickle_02"
"4","31","","","0","1","1070501","1070501029","1","0","4"
"1","93","","","","","1070501","1070501030","","",""
"se_common","23","","","0","","1070501","1070501031","","0","se_sys_login_birthday_02"
"107011","3","","","1","0.3","1070501","1070501032","0","","blb_idle_02"
"1.05","93","","","","","1070501","1070501033","","",""
"se_common","23","","","0","","1070501","1070501034","","0","se_sys_login_birthday_cracker"
"6","31","","","0","1","1070501","1070501035","1","0","6"
"107011","3","","","0","0","1070501","1070501036","1","blb_wish_04","blb_joy_04"
"2","93","","","","","1070501","1070501037","","",""
"vo_adv_1070501","21","","","0","","1070501","1070501038","","0","vo_adv_1070501_000"
"107011","13","","","","","1070501","1070501039","","","870"
"107011","11","0","","4","0","1070501","1070501040","1","1","ふむ、よい趣向ですね。\n敬うべき相手を忘れず、恩を忘れず、\n健勝を祝う宴を開く……\n礼節を弁えた人間は好きですよ。"
"0","91","","","","","1070501","1070501041","","",""
"vo_adv_1070501","21","","","0","","1070501","1070501042","","0","vo_adv_1070501_001"
"107011","11","0","","5","0","1070501","1070501043","1","1","しかし一時には\n赤子同然だった貴方が\nここまで成長したこと……\nとても喜ばしく思います。"
"0","91","","","","","1070501","1070501044","","",""
"vo_adv_1070501","21","","","0","","1070501","1070501045","","0","vo_adv_1070501_002"
"107011","11","0","","5","0","1070501","1070501046","1","1","ただ、そうですね……\n厚意に預かるばかり、\nというのも性に合いませんし。\n何かご褒美をあげましょう。"
"0","91","","","","","1070501","1070501047","","",""
"vo_adv_1070501","21","","","0","","1070501","1070501048","","0","vo_adv_1070501_003"
"107011","11","0","","5","0","1070501","1070501049","1","1","焦って決めずとも構いません。\n今日は一日、私が飽きるまで\n貴方に付き合ってもらう予定ですから。\nふふ……期待していますよ？"
"0","91","","","","","1070501","1070501050","","",""
"9","31","","","0","1","1070501","1070501051","1","0","9"
"0","131","","","","","1070501","1070501052","","",""
"0","22","","","0","","1070501","1070501053","","0","1"
"","111","","","","","1070501","1070501054","","",""
"0","91","","","","","1070501","1070501055","","",""
"1","1","1","cmn_talk_def_N","850","1.5","1110501","1110501001","-220","400","111011"
"8","31","","","0","1","1110501","1110501002","1","0","8"
"7","31","","","0","1","1110501","1110501003","1","0","7"
"78","31","","","0","1","1110501","1110501004","1","0","78"
"3","31","","","0","1","1110501","1110501005","1","0","3"
"2","31","","","0","1","1110501","1110501006","1","0","2"
"1","31","","","0","1","1110501","1110501007","1","0","1"
"12","31","","","0","0","1110501","1110501008","1","0","12"
"111011","3","","","1","0.3","1110501","1110501009","","","blb_run_01"
"111011","2","","","-220","","1110501","1110501010","0","1.3","90"
"bgm_M321","25","","","0","","1110501","1110501011","","0","bgm_M321_2C"
"0","121","","","1.25","0","1110501","1110501012","0","1.25","0"
"12","32","","","0","1","1110501","1110501013","1","0","1"
"se_common","23","","","0","","1110501","1110501014","","0","se_sys_login_birthday_new_01"
"1.3","93","","","","","1110501","1110501015","","",""
"111011","3","0.3","","0","0.05","1110501","1110501016","0","blb_idle","blb_stop"
"111011","2","","","-220","","1110501","1110501017","0","0.25","80"
"1.4","93","","","","","1110501","1110501018","","",""
"0","121","","","1.4","3","1110501","1110501019","1","1.4","0"
"1","131","","","","","1110501","1110501020","","",""
"111011","3","0.3","","0","0.3","1110501","1110501021","1","blb_idle_02","blb_blowout_03"
"0.7","93","","","","","1110501","1110501022","","",""
"12","32","","","0","1","1110501","1110501023","1","0","0"
"13","31","","","0","1","1110501","1110501024","1","0","13"
"0.2","93","","","","","1110501","1110501025","","",""
"se_common","23","","","0","","1110501","1110501026","","0","se_sys_login_birthday_blow_candle"
"1.2","93","","","","","1110501","1110501027","","",""
"se_adv_tickle_02","23","","","0","","1110501","1110501028","","0","se_adv_tickle_02"
"4","31","","","0","1","1110501","1110501029","1","0","4"
"1","93","","","","","1110501","1110501030","","",""
"se_common","23","","","0","","1110501","1110501031","","0","se_sys_login_birthday_02"
"111011","3","","","1","0.3","1110501","1110501032","0","","blb_idle_02"
"1.05","93","","","","","1110501","1110501033","","",""
"se_common","23","","","0","","1110501","1110501034","","0","se_sys_login_birthday_cracker"
"6","31","","","0","1","1110501","1110501035","1","0","6"
"111011","3","","","0","0","1110501","1110501036","1","blb_wish_05","blb_joy_05"
"2","93","","","","","1110501","1110501037","","",""
"vo_adv_1110501","21","","","0","","1110501","1110501038","","0","vo_adv_1110501_000"
"111011","13","","","","","1110501","1110501039","","","870"
"111011","11","0","","5","0","1110501","1110501040","1","1","ほわあああぁぁ何この蝋燭！？\n思わず知的興奮で吹き消してしまったが\n怪しい残り香、興味深ぁ～！\n鼻腔から学び入ってくる～！"
"0","91","","","","","1110501","1110501041","","",""
"vo_adv_1110501","21","","","0","","1110501","1110501042","","0","vo_adv_1110501_001"
"111011","11","0","","4","0","1110501","1110501043","1","1","この蝋燭は、もしや君が作ったのか？\nなに、精油にそんな希少な成分を？\nわざわざぼくの誕生日を祝うために？\n後輩……君という子は……！"
"0","91","","","","","1110501","1110501044","","",""
"vo_adv_1110501","21","","","0","","1110501","1110501045","","0","vo_adv_1110501_002"
"111011","11","0","","4","0","1110501","1110501046","1","1","しかし蝋燭はいいが、この土台部分──\nいや、バースデーケーキとかいう祝祭の\n文化か。ううむ気持ちは有難いが、\n食の細いぼくには若干拷問サイズだ……"
"0","91","","","","","1110501","1110501047","","",""
"vo_adv_1110501","21","","","0","","1110501","1110501048","","0","vo_adv_1110501_003"
"111011","11","0","","5","0","1110501","1110501049","1","1","ややっ？　よくよく見ればこの土台、\nケーキなのはほんの一部分だけで、\n大半はよく出来た模造品じゃあないか！\nな、なんと配慮の行き届いた……！"
"0","91","","","","","1110501","1110501050","","",""
"vo_adv_1110501","21","","","0","","1110501","1110501051","","0","vo_adv_1110501_004"
"111011","11","0","","5","0","1110501","1110501052","1","1","是非もなし。\n端的に言えば、先輩ちょっと感激した。\n今宵は飲めや食えやの大騒ぎだ。\n朝まで踊り明かすぜ同志、ヒャッハー！"
"0","91","","","","","1110501","1110501053","","",""
"9","31","","","0","1","1110501","1110501054","1","0","9"
"0","131","","","","","1110501","1110501055","","",""
"0","22","","","0","","1110501","1110501056","","0","1"
"","111","","","","","1110501","1110501057","","",""
"0","91","","","","","1110501","1110501058","","",""
