47b84a5957588766b55d8c7132add820096191cc17cc371e43824abead4e178d,6a93d57847c5e91e99d8109fcad419b7b334793c32a680e60e3cb899f4629a16,a403a3078a24bb860284a72c78c4ab4c82e8693a16a20cde95606af5ab7c0a4d,fe36844f0201873d6b162589107e42ffeb0de53347fedc8827f7620e929877bc,02c30897647e36a6b2372b6369acb322d23cee44dca7a30e9eaa628cc08f84dd
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005404","237"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005404","238"
"limit_time","バトル時間制限","バトル時間が60秒になる。","74005405","239"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005405","240"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005405","241"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005405","242"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005405","243"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005405","244"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005501","245"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005501","246"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005501","247"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005501","248"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005501","249"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005501","250"
"add_shadow","モンスター追加","ゴーレム、ウパルパが追加される。","74005502","251"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005502","252"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005502","253"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005502","254"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005502","255"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005502","256"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005502","257"
"add_shadow","モンスター追加","ミヤコ、アオイが追加される。","74005503","258"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005503","259"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005503","260"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005503","261"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005503","262"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005503","263"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005503","264"
"add_shadow","モンスター追加","ルナポッドが追加される。","74005504","265"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005504","266"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005504","267"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005504","268"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005504","269"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005504","270"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005504","271"
"limit_time","バトル時間制限","バトル時間が60秒になる。","74005505","272"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005505","273"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005505","274"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005505","275"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005505","276"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005505","277"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74005505","278"
"star6_shadow","シャドウ強化","ハツネ（サマー）、サレン（サマー）、スズナ、キョウカのシャドウに専用装備が追加される。","74006102","279"
"star6_shadow","シャドウ強化","スズナ、キョウカのシャドウが★6になる。","74006103","280"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74006103","281"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74006104","282"
"27","物理無効バリア","バトル開始時、すべてのシャドウに物理無効バリアを展開する。","74006104","283"
"28","魔法無効バリア","バトル開始時、すべてのシャドウに魔法無効バリアを展開する。","74006104","284"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74006105","285"
"27","物理無効バリア","バトル開始時、すべてのシャドウに物理無効バリアを展開する。","74006105","286"
"28","魔法無効バリア","バトル開始時、すべてのシャドウに魔法無効バリアを展開する。","74006105","287"
"star6_shadow","シャドウ強化","レイ（ニューイヤー）、シズル（ノワール）、シズル、ネアのシャドウに専用装備が追加される。","74006202","288"
"star6_shadow","シャドウ強化","レイ（ニューイヤー）、シズルのシャドウが★6になる。","74006203","289"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74006203","290"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74006204","291"
"energy_recover","ＴＰ回復","バトル開始時、すべてのシャドウのＴＰを特大回復。","74006204","292"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74006205","293"
"energy_recover","ＴＰ回復","バトル開始時、すべてのシャドウのＴＰを特大回復させ、ＴＰ継続回復状態を付与する。","74006205","294"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006301","295"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006301","296"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006301","297"
"boss_magic_cut","魔法ダメージカット","バトル開始時、すべてのモンスターが魔法ダメージ30％カット状態になる。","74006302","298"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006302","299"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006302","300"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006302","301"
"boss_magic_cut","魔法ダメージカット","バトル開始時、すべてのモンスターが魔法ダメージ60％カット状態になる。","74006303","302"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006303","303"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006303","304"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006303","305"
"boss_ub_enhance","ボス行動パターン変化","ボスモンスターの行動パターンが変化する。","74006304","306"
"boss_magic_cut","魔法ダメージカット","バトル開始時、すべてのモンスターが魔法ダメージ90％カット状態になる。","74006304","307"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006304","308"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006304","309"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006304","310"
"boss_ub_enhance","ボス行動パターン変化","ボスモンスターの行動パターンが変化する。","74006305","311"
"boss_magic_cut","魔法ダメージカット","バトル開始時、すべてのモンスターが魔法ダメージ90％カット状態になる。","74006305","312"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006305","313"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006305","314"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006305","315"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006401","316"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006401","317"
"boss_physics_cut","物理ダメージカット","バトル開始時、すべてのモンスターが物理ダメージ30％カット状態になる。","74006402","318"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006402","319"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006402","320"
"boss_physics_cut","物理ダメージカット","バトル開始時、すべてのモンスターが物理ダメージ60％カット状態になる。","74006403","321"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006403","322"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006403","323"
"add_shadow","モンスター追加","ジャングルガード、マコトのシャドウ、エリコのシャドウ、スタンプが追加される。","74006404","324"
"boss_ub_enhance","ボス行動パターン変化","ボスモンスターの行動パターンが変化する。","74006404","325"
"boss_physics_cut","物理ダメージカット","バトル開始時、すべてのモンスターが物理ダメージ90％カット状態になる。","74006404","326"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006404","327"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006404","328"
"boss_ub_enhance","ボス行動パターン変化","ボスモンスターの行動パターンが変化する。","74006405","329"
"boss_physics_cut","物理ダメージカット","バトル開始時、すべてのモンスターが物理ダメージ90％カット状態になる。","74006405","330"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006405","331"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006405","332"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74006405","333"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006501","334"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006501","335"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006501","336"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006501","337"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006501","338"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006501","339"
"33","全属性ボーナス特大アップ","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","74006502","340"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006502","341"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006502","342"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006502","343"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006502","344"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006502","345"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006502","346"
"33","全属性ボーナス特大アップ","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","74006503","347"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006503","348"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006503","349"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006503","350"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006503","351"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006503","352"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006503","353"
"33","全属性ボーナス特大アップ","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","74006504","354"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006504","355"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006504","356"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006504","357"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006504","358"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006504","359"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006504","360"
"limit_time","バトル時間制限","バトル時間が60秒になる。","74006505","361"
"33","全属性ボーナス特大アップ","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","74006505","362"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74006505","363"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74006505","364"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","74006505","365"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74006505","366"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74006505","367"
"boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","74006505","368"
