d1589a1bded12db1be87ece5683a3147f3668d8d3e5f6eca4c87d3c22df531d2,adb856a976bbfdcae26f3f9b7d96c95c772ddaf789f437d48b09ddcc90227a9b,9644177e21e4c0f57f70474e9eef05bde055641563e2c11c1f45081bb441ee0c,0231d4a6dfe4b105fb91716137b843b744175715c2604d322fbd794c27da835c,ec4f82d4847c7a70f824371f14cb482847fc567454b043416e52548d8796fa85,b5eeab20144eea928ceda11589229f3f389b45eb30e950088c1120ed79a23b0b
"むてき","1007703","3","10077","1","むてきなの！　プリンをよこすの。"
"ヒヨリ","2000100","1","20001","1","【トゥインクルウィッシュ】の人助け大好き格闘少女。"
"ほっとけないよ","2000101","3","20001","1","ヒヨリの口癖で、座右の銘。"
"ユイ","2000200","1","20002","1","【トゥインクルウィッシュ】の一途な純情ヒーラー。"
"ヒールオール","2000201","3","20002","1","全てを癒すユイの得意技。"
"マコトのおさななじみ","2000202","3","20002","1","まわりからは意外だと思われているらしい。"
"レイ","2000300","1","20003","1","【トゥインクルウィッシュ】のクールな剣士。釣りが趣味でもある。"
"じょうば","2000301","3","20003","1","レイの隠れた特技。"
"ミソギ","2000400","1","20004","1","【リトルリリカル】のいたずら担当。３人のなかでもムードメーカーである。"
"いたずらっこ","2000401","3","20004","1","いたずらスキルにおいて右に出る者はいないといわれるほどのいたずらの達人。"
"マツリ","2000500","1","20005","1","【王宮騎士団（ＮＩＧＨＴＭAＲＥ）】所属。ヒーローに憧れる少女。"
"ヒーローみならい","2000501","3","20005","1","正義を愛する熱いハートは誰にも負けないッス！"
"アカリ","2000600","1","20006","1","【悪魔偽王国軍（ディアボロス）】の双子で、おしゃまな妹。"
"ヨリのいもうと","2000601","3","20006","1","そっくりだけど性格は正反対？"
"こあくま","2000602","3","20006","1","文字通り、その可愛さで人を惑わす。"
"ミヤコ","2000700","1","20007","1","【悪魔偽王国軍（ディアボロス）】のプリン大好き幽霊。"
"ゆうれい","2000701","3","20007","1","浮遊や壁のすり抜けなどが可能だが、やることはプリンの盗み食いくらいである。"
"プリンだいすき","2000702","3","20007","1","なの！"
"ユキ","2000800","1","20008","1","【ヴァイスフリューゲル　ランドソル支部】の美しさ担当。"
"うつくしいボク","2000801","3","20008","1","罪だね。"
"ナルシスト","2000802","3","20008","1","ボクが美しすぎるのが悪いのかな？"
"アンナ","2000900","1","20009","1","【トワイライトキャラバン】メンバーにして熾炎戦鬼煉獄血盟暗黒団団長。暗黒騎士にして終焉戦争を終わらせし旧世界の英雄。"
"しっぷうのヘカーテ","2000901","3","20009","1","またの名を！"
"ちゅうにびょう","2000902","3","20009","1","思春期なのでそっとしておいてあげて。"
"マホ","2001000","1","20010","1","【自警団（カォン）】の頼れるはんなりギルドマスター。"
"おひめさま","2001001","3","20010","1","いずこかの地にあるという謎の国、マホマホ王国…マホはそこのお姫様である。"
"くるりんぱ","2001002","3","20010","1","杖をくるくるまわすかわいらしい動作から繰り出される魔法の威力は侮れない…"
"リノ","2001100","1","20011","1","【ラビリンス】所属の自称妹。がんばりやの受験生。"
"いもうと","2001101","3","20011","1","妹だ。たとえ自称でも妹なのである。"
"あほのこ","2001102","3","20011","1","あほでもいい。健やかに生きて欲しい。"
"ハツネ","2001200","1","20012","1","【フォレスティエ】の眠れるサイキック少女。"
"ちょうのうりょくしょうじょ","2001201","3","20012","1","ちょうのうりょくのことはひみつだよ。"
"スヤスヤ","2001202","3","20012","1","あと５分だけ……"
"シオリンのあね","2001203","3","20012","1","シオリンだーいすき！"
"ナナカ","2001300","1","20013","1","【トワイライトキャラバン】のぐうかわサイツヨ魔法少女。"
"まほうしょうじょ","2001301","3","20013","1","魔法を使う少女。何歳まで魔法少女を名乗れるのかは識者の間でも見解が分かれる。"
"サイカワ","2001302","3","20013","1","最高にかわいいの意。"
"カスミ","2001400","1","20014","1","【自警団（カォン）】の頭脳派美少女名探偵。"
"めいたんてい","2001401","3","20014","1","解いた謎は数えきれない。事件が名探偵を呼び寄せるのか…"
"たんてい","2001402","3","20014","1","真実を追い求める気高き職業。探偵には助手がつき物である。"
"ミサト","2001500","1","20015","1","【フォレスティエ】のギルドマスター。母性が溢れに溢れているお姉さん。"
"ほいくえんのせんせい","2001501","3","20015","1","魔物すら保育してしまう。"
"スズナ","2001600","1","20016","1","【ルーセント学院】の勉強が苦手な、天真爛漫ギャル。九九はできるようになった…？"
"カリスマモデル","2001601","3","20016","1","カリスマ性に満ち溢れたモデル。"
"ギャル","2001602","3","20016","1","イケてる女の子。"
"カオリ","2001700","1","20017","1","【自警団（カォン）】所属の歌と踊りを愛する南国少女。"
"りゅうきゅうからて","2001701","3","20017","1","琉球犬ナックルアロー！"
"ハイタ～イ","2001702","3","20017","1","カオリの故郷の挨拶。はいた～い！"
"イオ","2001800","1","20018","1","【ルーセント学院】のセクシーな新米教師。"
"しんまいきょうし","2001801","3","20018","1","新米だけど、生徒に寄り添ういい先生。"
"ちゃんイオ","2001802","3","20018","1","スズナがイオを呼ぶ際の呼称。イオちゃんの意味。"
"ミミ","2001900","1","20019","1","【リトルリリカル】の甘えん坊担当。るんたった～るんたっ\nた～♪"
"うさぎさんだいすき","2001901","3","20019","1","ぴょんぴょ～ん♪"
"クルミ","2002000","1","20020","1","【サレンディア救護院】の泣き虫でも、臆病でも、勇気を出してがんばる女の子。"
"めいじょゆう","2002001","3","20020","1","ちいさくても名女優。"
"ヨリ","2002100","1","20021","1","【悪魔偽王国軍（ディアボロス）】の双子で、姉のツンデレ\nシャイガール。"
"ふたごのあね","2002101","3","20021","1","顔は似てても性格は異なる。"
"シャイ","2002102","3","20021","1","照れの裏返しで、つい強めのことを…"
"てんさいゲーマー","2002103","3","20021","1","華麗なる指さばき。"
"アヤネ","2002200","1","20022","1","【サレンディア救護院】所属。おとなしそうに見えて彼女が振るうぷうきちは意外と強烈。"
"ぷうきちのパートナー","2002201","3","20022","1","ぷうきちといつも一緒の一心同体。"
"スズメ","2002300","1","20023","1","【サレンディア救護院】の愛すべきドジっ子ご奉仕メイド。"
"メイド","2002301","3","20023","1","ご主人様に心よりお仕えしちゃいます。"
"おっちょこちょい","2002302","3","20023","1","いろいろ壊して大変。"
"リン","2002400","1","20024","1","【牧場（エリザベスパーク）】に派遣されている護衛。サボっているわけではない。スローライフを満喫しているだけであ\nる。"
"ぐうたら","2002401","3","20024","1","だらけていても、やるときはやる…たぶん…きっと…"
"エリコ","2002500","1","20025","1","【トワイライトキャラバン】メンバー。愛が重い。とても、重い。"
"デストロイヤー","2002501","3","20025","1","エリコの通り名。愛のためならいろいろなものを破壊する。"
"サレン","2002600","1","20026","1","【サレンディア救護院】の頼れるギルドマスター。元王宮騎士団副団長でもある。"
"ママ","2002601","3","20026","1","ママと呼ばれるような年齢ではなくとも、子どもがいなくて\nも、ママはママ。"
"ノゾミ","2002700","1","20027","1","【カルミナ】不動のセンター。トップ・オブ・アイドル。"
"だいにんきアイドル","2002701","3","20027","1","お忍びで行動するのが大変。"
"ニノン","2002800","1","20028","1","【ヴァイスフリューゲル　ランドソル支部】のトーゴクかぶれの戦士。天下統一デス！"
"トーゴクかぶれ","2002801","3","20028","1","トーゴクの文化が大好きだが、間違って覚えていることも多\nい。"
"えせニンジャ","2002802","3","20028","1","愛読書は『BUSHIDO』デース！"
"シノブ","2002900","1","20029","1","【悪魔偽王国軍（ディアボロス）】所属の占い師。ドクロは実は父親。"
"うらないし","2002901","3","20029","1","当たるも八卦、当たらぬも八卦。"
"アキノ","2003000","1","20030","1","【メルクリウス財団】を立ち上げたギルドマスター。彼女の商いは世界を変える。"
"ごれいじょう","2003001","3","20030","1","商才溢れるお嬢様。"
"マヒル","2003100","1","20031","1","【牧場（エリザベスパーク）】のマスター。個性豊かなギルドメンバーを温かく束ねるお姉さん。"
"ぼくじょうぬし","2003101","3","20031","1","牧場の経営はお任せだべ。"
"おわらいのみち","2003102","3","20031","1","それは、高く険しい。"
"ユカリ","2003200","1","20032","1","【メルクリウス財団】財務担当の敏腕お姉さん。…普段は。"
"のんべえ","2003201","3","20032","1","ユカリのような大人のこと。"
"キョウカ","2003300","1","20033","1","【リトルリリカル】最年少だが、勉強熱心で頭がとても良い。ニンジンやピーマンが苦手。"
"ゆうとうせい","2003301","3","20033","1","リトルリリカルの中でも一番の真面目でしっかり者。"
"トモ","2003400","1","20034","1","【王宮騎士団（ＮＩＧＨＴＭAＲＥ）】団員。団長の懐刀？"
"ミクマりゅう","2003401","3","20034","1","トモの家に伝わる神速の剣技。奥義は阿修羅。"
"シオリ","2003500","1","20035","1","【牧場（エリザベスパーク）】のメンバー。病弱ながらもひたむきにがんばる少女。"
"ハツネちゃんのいもうと","2003501","3","20035","1","お姉ちゃんが大好き。"
"アオイ","2003600","1","20036","1","【フォレスティエ】のぼっちアーチャー。植物とお話しはできるがそれはそれとしてぼっち。"
"ぼっち","2003601","3","20036","1","ぼっち。咳をしてもぼっち。"
"ビービーだんのメンバー","2003602","3","20036","1","バイバイぼっちできる日は近い！！　…はず。"
"チカ","2003700","1","20037","1","【カルミナ】メンバー。精霊を友とする風の唱喚歌姫。"
"しょうかんじゅつし","2003701","3","20037","1","唱喚術師。歌により精霊を呼び出す幻の秘術を使う。字の間違いに注意。"
"うたひめ","2003702","3","20037","1","その歌はあらゆる者を魅了する。"
"マコト","2003800","1","20038","1","【自警団（カォン）】の突撃隊長。面倒見のいい獣人族の\n少女。"
"ユイのおさななじみ","2003801","3","20038","1","まわりからは意外だと思われているらしい。"
"イリヤ","2003900","1","20039","1","【悪魔偽王国軍（ディアボロス）】マスターであり、伝説の吸血鬼。世界征服のため今日もがんばる。"
"バンパイア","2003901","3","20039","1","血を吸う生き物。恐ろしい化け物のはずだが、なぜか弱点は多いらしい。"
"でんせつのバンパイア","2003902","3","20039","1","かつてランドソル中を恐怖のるつぼにたたき落としたといわれる。"
"よをすべるもの","2003903","3","20039","1","夜を統べているらしい。"
"クウカ","2004000","1","20040","1","【ヴァイスフリューゲル　ランドソル支部】の妄想担当。"
"ドえむ","2004001","3","20040","1","淑女の嗜み…？"
"タマキ","2004100","1","20041","1","【メルクリウス財団】所属のタイヤキ屋。しかしてその正体は…にゃっ！にゃにゃっ！"
"ネコむすめ","2004101","3","20041","1","猫のような姿をした女の子。"
"ファントムキャッツ","2004102","3","20041","1","ランドソルを騒がす謎の義賊。その正体は謎に包まれている。"
"ジュン","2004200","1","20042","1","【王宮騎士団（ＮＩＧＨＴＭAＲＥ）】団長。仮面の下は、誰も知らない知られちゃいけない。"
"だんちょう","2004201","3","20042","1","とっても強い団長だ。"
"ミフユ","2004300","1","20043","1","【メルクリウス財団】所属のバイト戦士。実はドラゴンスレイヤー。"
"ししょう","2004301","3","20043","1","手取り足取り教えてくれるぞ。もちろん有償だぞ。"
"こうりつちゅう","2004302","3","20043","1","徹底して効率にこだわる人のこと。ゲームのプレイスタイルの一つ。"
"シズル","2004400","1","20044","1","【ラビリンス】所属の自称お姉ちゃん。お姉ちゃんにまかせなさい。"
"おねえちゃんだよ","2004401","3","20044","1","おねえちゃんだよ！！"
"ミサキ","2004500","1","20045","1","【ルーセント学院】の生徒。大人のレディにして、罪な女らしい。"
"おとなのレディ","2004501","3","20045","1","おとなのレディっていったらおとなのレディ！"
"ミツキ","2004600","1","20046","1","【トワイライトキャラバン】所属の危険な科学者。実験に\n夢中。"
"マッドサイエンティスト","2004601","3","20046","1","実験の犠牲になった者、数知れず。"
"ワンアイドデビル","2004602","3","20046","1","隻眼の悪魔。近づかぬが吉。"
"リマ","2004700","1","20047","1","【牧場（エリザベスパーク）】のリマ。実はギルドメンバーで一番の乙女ハートの持ち主。"
"もふもふ","2004701","3","20047","1","魅惑の毛並。"
"モニカ","2004800","1","20048","1","【ヴァイスフリューゲル　ランドソル支部】のギルドマスターで軍人。いつもメンバーにふりまわされる苦労人の白翼の指揮官。"
"おこちゃま","2004801","3","20048","1","こ、子どもではない！"
"ツムギ","2004900","1","20049","1","【カルミナ】メンバーで本職はテーラー。華麗な糸さばきでいろいろなものを縛り上げる。"
"テーラー","2004901","3","20049","1","裁縫はお任せ。"
"レイさまファンクラブ","2004902","3","20049","1","悪い虫を近づけさせない。"
"アユミ","2005000","1","20050","1","【ヴァイスフリューゲル　ランドソル支部】の隠密担当。どこにでもいて、どこにもいない。"
"モブ","2005001","3","20050","1","そんな名前じゃないですよ～！"
"ルカ","2005100","1","20051","1","【トワイライトキャラバン】ギルドマスター。気っ風のいい釣り人。剣の腕もすごい。"
"あねご","2005101","3","20051","1","魔物も姉御と慕っている。"
"ジータ","2005200","1","20052","1","蒼空の騎空士、を目指す女の子。"
"きくうし","2005201","3","20052","1","空を巡る者達のこと。もっとも自由でもっとも危険な職業と言われる。"
"ペコリーヌ","2005300","1","20053","1","【美食殿】ギルドマスター。何でもおいしく食べてしまう。やばいですね☆"
"くいしんぼう","2005301","3","20053","1","食べるのが大好きだ。"
"おうけのそうび","2005302","3","20053","1","装備すると大幅にパワーアップするが、お腹が減ってしまうらしい。"
"やばいですね","2005303","3","20053","1","やばいですね☆"
"プリンセス","2005304","3","20053","1","アストライア王家の王女。"
"コッコロ","2005400","1","20054","1","【美食殿】所属のエルフの少女。主さまファースト。"
"ガイドやく","2005401","3","20054","1","女神アメスの神託を受けた導き手。"
"みこ","2005402","3","20054","1","神に仕える女性のこと。"
"キャル","2005500","1","20055","1","なりゆきで【美食殿】に所属している謎のネコミミ少女。ヤバイわよ！"
"ツンデレ","2005501","3","20055","1","は？　意味わかんないんだけど！"
"ヤバイわよ","2005502","3","20055","1","ヤバイわよ！"
"ムイミ","2005600","1","20056","1","世界を敵に回して戦う自称・大罪人。天楼覇断剣はすべてを断ち切る！"
"ノウェム","2005601","3","20056","1","アタシはノウェムだ！"
"アリサ","2005700","1","20057","1","いつか必ず森番になると誓うエルフの少女。"
"エルフのおんな","2005701","3","20057","1","エルフの女性。"
"もりばんみならい","2005702","3","20057","1","森の守護者として一人前になるべく、日々修行に打ち込んでいる。"
"ネネカ","2005800","1","20058","1","七冠（セブンクラウンズ）の一人。千変万化の変貌大妃。"
"メタモルレグナント","2005801","3","20058","1","ネネカの二つ名。変貌大妃。"
"ぶんしんたい","2005802","3","20058","1","もう一人の私。"
"クリスティーナ","2005900","1","20059","1","【王宮騎士団（ＮＩＧＨＴＭAＲＥ）】副団長にして、七冠\n（セブンクラウンズ）の一人。かなりの享楽主義者。"
"レジーナゲッシュ","2005901","3","20059","1","クリスティーナの二つ名。誓約女君。"
"ふくだんちょう","2005902","3","20059","1","別名、問題児。"
"イノリ","2006000","1","20060","1","【ドラゴンズネスト】所属のドラゴン族。可愛い顔して意外と毒舌。"
"ドラゴンブレス","2006001","3","20060","1","イノリの得意技。"
"かんぶ","2006002","3","20060","1","【ドラゴンズネスト】の幹部であるあたしにひれ伏すですよ！"
"カヤ","2006100","1","20061","1","【ドラゴンズネスト】所属のドラゴン族の喧嘩屋。"
"のうきんケンカバカ","2006101","3","20061","1","喧嘩上等。"
"ホマレ","2006200","1","20062","1","【ドラゴンズネスト】の謎多きギルドマスター。ボス。"
"ギャングのボス","2006201","3","20062","1","親分、首領の意味。"
"クロエ","2006300","1","20063","1","【聖テレサ女学院（なかよし部）】メンバー。ガチめのバイブスの持ち主。"
"ダウナー","2006301","3","20063","1","別に怒っていたり機嫌が悪いわけではないらしい。"
"テレじょのやべーやつ","2006302","3","20063","1","テレ女のやべーやつ。すなわち、クロエのこと。"
"チエル","2006400","1","20064","1","【聖テレサ女学院（なかよし部）】のちぇる～ん☆担当。"
"れちぇるちぇぽぱぴ","2006401","3","20064","1","ちぇるりれれろりろりろ。"
"テレじょのやべーやつ","2006402","3","20064","1","テレ女のやべーやつ。すなわち、チエルのこと。"
"ユニ","2006500","1","20065","1","【ユニちゃんズ】のギルドマスター。天才とは孤独なものである。"
"ひきこもり","2006501","3","20065","1","象牙の塔にひきこもり、日々勉学に勤しんでいる。"
"テレじょのやべーやつ","2006502","3","20065","1","テレ女のやべーやつ。すなわち、ユニのこと。"
"ロボット","3007800","1","10078","2","人に代わり労働を行う機械。人型はロマン。"
"メカ","3007801","2","10078","2","魔法で駆動する機械。人を助けたり、戦うこともできる。"
"からくり","3007802","2","10078","2","歯車等の組み合わせで複雑な動きが出来る仕組み。"
"なかよしえっくす","3007803","3","10078","2","なかよし部の粋を集めたサイキョウのロボット。"
"ユニのりきさく","3007804","3","10078","2","不細工ポンコツ丸とは聞き捨てならんな…大概にしたまえ。"
"きのこ","3007900","1","10079","2","じめじめしたところに生える。植物ではなく菌糸類。"
"どくきのこ","3007901","1","10079","2","その多くは鮮やかな色をしており、食べると脳や体に支障をきたす。"
"マッシュルーム","3007902","2","10079","2","ピザやパスタに合うおいしいきのこ。"
"ベニタケ","3007903","3","10079","2","歩くきのこ。ペコリーヌ曰く、煮込むと意外とおいしいらし\nい。"
"ライオン","3008000","1","10080","2","百獣の王ともいわれるネコ科の大型肉食獣。"
"しし","3008001","1","10080","2","ライオンの別称。とある国では守護動物とされていた。"
"ひゃくじゅうのおう","3008002","2","10080","2","立派なたてがみを持つ最強の獣。"
"たてがみ","3008003","2","10080","2","馬や雄のライオンの首周りに生えている毛。"
"けもの","3008004","2","10080","2","全身を毛におおわれ、四足で歩く哺乳類。"
"オルレオン","3008005","3","10080","2","獅子座の魔星獣。刃向かうものは灼熱の咆哮で焼き尽くす。"
"えんぴつ","3008100","1","10081","2","色のついた芯を木で覆った筆記用具。"
"あかえんぴつ","3008101","1","10081","2","赤い色の鉛筆。テストの丸つけといえばこれ。"
"ペンシル","3008102","2","10081","2","先が尖っていて、細かいものを書くのに適している。"
"ひっきようぐ","3008103","2","10081","2","鉛筆、消しゴムなど、机まわりの道具の総称。"
"キラーペンシル","3008104","3","10081","2","クロエお気に入りの棒状に尖った武器。"
"たいよう","3008200","1","10082","2","自らエネルギーを作り出す、熱と光を放つ星。"
"おひさま","3008201","1","10082","2","太陽を親しんで呼ぶときの呼称。"
"にっこう","3008202","2","10082","2","太陽が発している光のこと。"
"はれのひ","3008203","2","10082","2","空に雲が少なく、太陽が出ていて、あたたかい日。"
"ひこうてい","3008300","1","10083","2","魔法の浮力で空を飛ぶ風船の乗り物。"
"ふね","3008301","2","10083","2","人や物を載せて水上を進む乗り物。"
"エアシップ","3008302","2","10083","2","風船などで機体を浮かせ、動力や舵をつけた空を飛ぶ船。"
"そらのたび","3008303","2","10083","2","飛行できる乗り物に乗って空を移動すること。"
"モニカのかんたい","3008304","3","10083","2","モニカ提督が指揮する（予定の）飛空艇艦隊。"
"バラ","3008400","1","10084","2","茎にとげがある、美しい赤い花。"
"いばら","3008401","1","10084","2","人里近くに多い、とげのある低木の総称。"
"はな","3008402","1","10084","2","植物の繁殖用の器官。きれいなものが多い。"
"ローズ","3008403","2","10084","2","バラの花の別称。色の名前を指すときにも使われる。"
"すし","3008500","1","10085","2","小さく握ったご飯の上に魚などをのせたトーゴク料理。"
"にぎりずし","3008501","1","10085","2","一口大の酢飯に新鮮な魚介の切り身を乗せたごちそう。"
"マグロ","3008502","1","10085","2","赤身のおいしい魚。"
"トゥンヌスのにぎり","3008503","3","10085","2","捕獲するのが一苦労なトゥンヌスを贅沢に使ったにぎりずし。"
"オーマのびしょく","3008504","3","10085","2","オーマでとれるのは最高級の魚、トゥンヌス。"
"かがみ","3008600","1","10086","2","自分の姿をうつすふしぎなどうぐ。"
"ミラー","3008601","2","10086","2","光を反射させることができるどうぐ。"
"エチケットアイテム","3008602","2","10086","2","身だしなみを整えるためにつかうどうぐ。"
"ユキのあいようひん","3008603","3","10086","2","ああ、ボクは今日も美しいね！"
"ティアラ","3008700","1","10087","2","女王や姫が頭頂部に着用する豪華な装飾品。"
"かんむり","3008701","1","10087","2","王族などが身に着ける豪華なかぶりもの。"
"そうしょくひん","3008702","2","10087","2","主に飾り付けるため身に着けるもの。"
"アクセサリー","3008703","2","10087","2","装飾品。オシャレするならマストアイテム。"
"ペコリーヌのティアラ","3008704","3","10087","2","実は強大な力を秘めた王家の装備の一部。"
"おうけのそうび","3008705","3","10087","2","装備すると大幅にパワーアップするが、お腹が減ってしまうらしい。"
"おでん","3008800","1","10088","2","肉や野菜をダシでじっくり煮込んだ熱々の料理。"
"にもの","3008801","1","10088","2","肉や野菜を煮込んだ料理。"
"なべ","3008802","1","10088","2","食べ物などを煮るための調理器具。"
"ドラゴンテイルおでん","3008803","3","10088","2","ラースドラゴンの尻尾のダシで煮込んだ至高のおでん。"
"でんきゅう","3008900","1","10089","2","魔法の力で光を発するどうぐ。"
"あかり","3008901","1","10089","2","暗闇を照らす光。"
"はくねつきゅう","3008902","2","10089","2","熱による放射を利用して発光するガラスの球。"
"まめでんきゅう","3008903","2","10089","2","小さめの電球のこと。"
"ピカピカ","3008904","2","10089","2","光がまたたく様をあらわす擬音。"
"カスミのひらめき","3008905","3","10089","2","真実導く閃きの力。名探偵にかかればどんな難事件も解決！"
"くも","3009000","1","10090","2","空に浮かぶ、水滴や氷の粒のかたまり。雨や雷の生みの親。"
"にゅうどうぐも","3009001","2","10090","2","夏の空でよく見られるもくもくと盛り上がった大きな雲。"
"どんてん","3009002","2","10090","2","雲がかかり太陽が見えない天気。"
"わたあめ","3009003","2","10090","2","口にいれるとシュワっと溶ける、白くてふわふわな甘いおか\nし。"
"ライライ","3009004","3","10090","2","雷雲を従え、無邪気に暴れるカミナリ娘。"
"おの","3009100","1","10091","2","木を切ったりできるどうぐ。武器にもなる。"
"いしおの","3009101","1","10091","2","石でできた斧。武器や農工具として使われる。"
"アックス","3009102","2","10091","2","柄の先に厚くて重い刃のついた武器。"
"ゴブリングレートのえもの","3009103","3","10091","2","熟練のゴブリン戦士が持つ武器。"
"おんせん","3009200","1","10092","2","自然に湧き上がるお湯でつくったお風呂。よくあたたまろう。"
"いわぶろ","3009201","1","10092","2","岩の間にお湯をためてつくったお風呂。"
"ろてんぶろ","3009202","1","10092","2","野外や屋外に設置された屋根のないお風呂。"
"めいとう","3009203","2","10092","2","体の疲れや不調に効く有名な温泉。"
"クリスティーナリゾートスパ","3009204","3","10092","2","牧場に湧き出た天然温泉の施設。入浴して疲れを癒そう。"
"まくら","3009300","1","10093","2","快眠の必需品。"
"だきまくら","3009301","1","10093","2","抱くようにして使用する大型のまくら。"
"しんぐ","3009302","2","10093","2","ふとん、まくら、寝間着など、寝るときに使うものの総称。"
"ピロー","3009303","2","10093","2","「枕」の英語読み。"
"ハツネのたからもの","3009304","3","10093","2","シオリからのプレゼント。本当はいつでもどこでも持ち歩きたい。"
"ざっし","3009400","1","10094","2","絵や写真がのっている楽しい読みもの。"
"マガジン","3009401","2","10094","2","インタビューやエンタメ等色々なものが盛り込まれた読み物。"
"ファッションし","3009402","2","10094","2","ファッションに関する記事が載った雑誌。"
"スズナのしゃしんしゅう","3009403","3","10094","2","ランドソルで性別年代を問わず大人気。"
"たいこ","3009500","1","10095","2","叩いて音を出す楽器。ドンドコドン！"
"こだいこ","3009501","1","10095","2","叩くと高い音が出る小型の太鼓。"
"ドラム","3009502","2","10095","2","太鼓やシンバル等の打楽器を一人の奏者で演奏可能にした物。"
"スネアドラム","3009503","2","10095","2","底面の膜に金属線が張られている小型の太鼓。"
"だがっき","3009504","2","10095","2","打つ、こする、振るなどして音を出す楽器の総称。"
"せいざ","3009600","1","10096","2","夜空に見える星を線でつないで様々な事物に見立てた物。"
"てんたい","3009601","1","10096","2","宇宙に存在する星々の総称。地球も月も太陽も。"
"ぎんが","3009602","1","10096","2","様々な星やガス状の物質、宇宙の塵等が集まった巨大な天体。"
"よぞら","3009603","2","10096","2","太陽が沈み、月や星が見えるくらい暗くなった空。"
"ほしのかがやき","3009604","2","10096","2","夜空を彩る主役たち。"
"おにぎりざ","3009605","3","10096","2","あの星座…おにぎりに見えませんか？やばいですね☆"
"トマト","3009700","1","10097","2","あまくてすっぱい夏の野菜。実はナスの仲間。"
"プチトマト","3009701","1","10097","2","一口サイズのトマト。黄色の種類もある。"
"ばんか","3009702","2","10097","2","「蕃茄」トマトの別名。"
"ケチャップ","3009703","2","10097","2","トマトなどを煮詰めて味をつけた調味料。"
"はらっぱ","3009800","1","10098","2","草が生い茂る広い空き地。"
"そうげん","3009801","1","10098","2","木がほとんどなく、花や草に覆われた大地。"
"のはら","3009802","1","10098","2","草などが生えた広い平地。"
"にじ","3009900","1","10099","2","雨上がりの空でたまに見られる、太陽光の反射でできる奇跡。"
"レインボー","3009901","1","10099","2","虹の別称。虹の七色のことでもある。"
"なないろ","3009902","1","10099","2","虹にみられる七種の色。赤橙黄緑青藍紫で構成される。"
"そらにかかるはし","3009903","2","10099","2","空に向かって伸びるように現れた虹。"
"あめあがり","3009904","2","10099","2","雨が止んでから少しの間のこと。"
"かきごおり","3010000","1","10100","2","氷を砕いて蜜をかけた、雪によく似た夏のおかし。"
"ブルーハワイ","3010001","1","10100","2","真っ青でさわやかな海のような、かき氷などにかける蜜。"
"フラッペ","3010002","2","10100","2","アイスクリームや果物等をカラフルにのせた豪華なかき氷。"
"なつのふうぶつし","3010003","2","10100","2","夏の感じを表す物事。スイカの他に海や花火など。"
"ちょうちょ","3010100","1","10101","2","美しい羽でひらひらと舞う、妖精みたいな虫。"
"アゲハ","3010101","1","10101","2","大型で美しい蝶の一種。多くは後翅に長い突起を持つ。"
"クロアゲハ","3010102","1","10101","2","大きな黒い羽で舞う美しい蝶。"
"むし","3010103","2","10101","2","人や獣、鳥や魚以外の小動物の総称。大抵のものは数が多い。"
"こんちゅう","3010104","2","10101","2","昆虫網に分類される、足が六本ある節足動物の総称。"
"バタフライ","3010105","2","10101","2","蝶の別称。又は泳ぐ姿が蝶に似ている泳ぎ方。"
"とう","3010200","1","10102","2","空高くそびえ立つ建物。"
"タワー","3010201","2","10102","2","「とう」の英語読み。"
"てんぼうだい","3010202","2","10102","2","はるか遠くを見渡すための建物。"
"みはりだい","3010203","2","10102","2","目的の地点を監視するための高い建物。"
"まてんろう","3010204","2","10102","2","天に届きそうなほど高い建物。"
"アイスクリーム","3010300","1","10103","2","冷た～い甘～いおかし。"
"ジェラート","3010301","1","10103","2","アイスクリームより少しだけヘルシー。"
"チョコミントアイス","3010302","2","10103","2","甘くてスーッと口いっぱいに広がる爽やかさ。"
"ひょうか","3010303","2","10103","2","「アイス」の別の言い方。"
"シェフィのこうぶつ","3010304","3","10103","2","シェフィはチョコミン党。"
"ドーナツ","3010400","1","10104","2","真ん中に穴があいた輪っか状の甘いおかし。"
"おやつ","3010401","2","10104","2","間食として食べる甘いもの。"
"チョコドーナツ","3010402","2","10104","2","チョコレートのかかったスタンダードなドーナツ。"
"チケット","3010500","1","10105","2","食べ物と交換できたり、施設に入場できたりする券。"
"けん","3010501","1","10105","2","約束や権利を表すための紙片。"
"スキップチケット","3010502","3","10105","2","一度クリアしたクエストをスキップできる便利なアイテム。"
"うきわ","3010600","1","10106","2","水に浮かぶ道具。プカプカ漂うのが気持ちいい。"
"フロート","3010601","2","10106","2","「うきわ」の英語読み。"
"かなづちのひっすアイテム","3010602","2","10106","2","これがあれば泳げなくても大丈夫。"
"キャルのうきわ","3010603","3","10106","2","泳ぐのが苦手なキャル愛用の可愛いネコ型浮き輪。"
"サングラス","3010700","1","10107","2","眩しい日差しや強い照明からオシャレに守ってくれる。"
"グラサン","3010701","2","10107","2","「サングラス」の別の言い方。"
"くろめがね","3010702","2","10107","2","レンズが黒い眼鏡。"
"ハードボイルド","3010703","2","10107","2","サングラスもバッチリ似合うクールな生き様。"
"キャルのサングラス","3010704","3","10107","2","キャルのお洒落アイテム。似合いすぎてヤバイわよ！"
"しゅりけん","3010800","1","10108","2","忍者が投げる武器。"
"とびどうぐ","3010801","2","10108","2","遠くから飛ばして攻撃するタイプの武器のこと。"
