801c5e948a4ca0013f058e7e9d5b312bcfa63f155a5dce7e12e61239239c65a1,c0748ec0d4d67c1e371b6ace66f131683a150b879fa85fcb2274a1482e5ac6a8,153671faa9a85a76ef90c93dfb6be33adb755c5e093252089990380ca9ec3ab5,d9259ad6792dc711acebb19b094b0b6c0cd67045414496aa6f8b06b1c7e0349d,75beb240b025f7c4ea0be49d1c957e93d9059a7fe7dfceb210921ce920d465c4,ccc7e64104a5458efd0f0ed6206cabd5148824cdacde8d5bbbea221f90c1762f,4463f3507b7375e456f56ab5c1acd254ceec55fbf7a795316837a8e6c22386dd,2b282df7bb7462510a1a17510f0727131803fb33bdbb368ba680e312e3133418,47e8d583973b9799df4267c1cfbbd965cad26342699b16bc897ba575140c5cc9,a974f2b098a8dfe48534ca5b964e31c8ec2e011a068c9ecc2e1a3fd282a28b6d,d6348c453b3ebc1ce949ce79b18b6fe75e6e3cfbf22d8237327afb37bf4576e7
"","","","","","1057501","91","","0","","1057501044"
"0","","","0","","1057501","21","vo_adv_1057501_002","vo_adv_1057501","","1057501045"
"7","0","","1","1","1057501","11","なんだかやる気が出てきちゃった！\nもしよかったら、このあと一緒に\n依頼を受けにいこうよ！","105711","0","1057501046"
"","","","","","1057501","91","","0","","1057501047"
"0","","","0","","1057501","21","vo_adv_1057501_003","vo_adv_1057501","","1057501048"
"5","0","","1","1","1057501","11","ゆっくりでいいからがんばって\n騎空団として成長して……\nいつかは蒼い空を自由に旅したいな。\nもちろん、その時はあなたも一緒だよ！","105711","0","1057501049"
"","","","","","1057501","91","","0","","1057501050"
"0","","","0","1","1057501","31","9","9","1","1057501051"
"","","","","","1057501","131","","0","","1057501052"
"0","","","0","","1057501","22","1","0","","1057501053"
"","","","","","1057501","111","","","","1057501054"
"","","","","","1057501","91","","0","","1057501055"
"850","1","cmn_talk_def_N","400","-220","1070501","1","107011","1","1.5","1070501001"
"0","","","0","1","1070501","31","8","8","1","1070501002"
"0","","","0","1","1070501","31","7","7","1","1070501003"
"0","","","0","1","1070501","31","86","86","1","1070501004"
"0","","","0","1","1070501","31","3","3","1","1070501005"
"0","","","0","1","1070501","31","2","2","1","1070501006"
"0","","","0","1","1070501","31","1","1","1","1070501007"
"0","","","0","1","1070501","31","12","12","0","1070501008"
"1","","","","","1070501","3","blb_run_01","107011","0.3","1070501009"
"-220","","","1.3","0","1070501","2","90","107011","","1070501010"
"0","","","0","","1070501","25","bgm_M321_2C","bgm_M321","","1070501011"
"1.25","","","1.25","0","1070501","121","0","0","0","1070501012"
"0","","","0","1","1070501","32","1","12","1","1070501013"
"0","","","0","","1070501","23","se_sys_login_birthday_new_01","se_common","","1070501014"
"","","","","","1070501","93","","1.3","","1070501015"
"0","0.3","","blb_idle","0","1070501","3","blb_stop","107011","0.05","1070501016"
"-220","","","0.25","0","1070501","2","80","107011","","1070501017"
"","","","","","1070501","93","","1.4","","1070501018"
"1.4","","","1.4","1","1070501","121","0","0","3","1070501019"
"","","","","","1070501","131","","1","","1070501020"
"0","0.3","","blb_idle_02","1","1070501","3","blb_blowout_03","107011","0.3","1070501021"
"","","","","","1070501","93","","0.7","","1070501022"
"0","","","0","1","1070501","32","0","12","1","1070501023"
"0","","","0","1","1070501","31","13","13","1","1070501024"
"","","","","","1070501","93","","0.2","","1070501025"
"0","","","0","","1070501","23","se_sys_login_birthday_blow_candle","se_common","","1070501026"
"","","","","","1070501","93","","1.2","","1070501027"
"0","","","0","","1070501","23","se_adv_tickle_02","se_adv_tickle_02","","1070501028"
"0","","","0","1","1070501","31","4","4","1","1070501029"
"","","","","","1070501","93","","1","","1070501030"
"0","","","0","","1070501","23","se_sys_login_birthday_02","se_common","","1070501031"
"1","","","","0","1070501","3","blb_idle_02","107011","0.3","1070501032"
"","","","","","1070501","93","","1.05","","1070501033"
"0","","","0","","1070501","23","se_sys_login_birthday_cracker","se_common","","1070501034"
"0","","","0","1","1070501","31","6","6","1","1070501035"
"0","","","blb_wish_04","1","1070501","3","blb_joy_04","107011","0","1070501036"
"","","","","","1070501","93","","2","","1070501037"
"0","","","0","","1070501","21","vo_adv_1070501_000","vo_adv_1070501","","1070501038"
"","","","","","1070501","13","870","107011","","1070501039"
"4","0","","1","1","1070501","11","ふむ、よい趣向ですね。\n敬うべき相手を忘れず、恩を忘れず、\n健勝を祝う宴を開く……\n礼節を弁えた人間は好きですよ。","107011","0","1070501040"
"","","","","","1070501","91","","0","","1070501041"
"0","","","0","","1070501","21","vo_adv_1070501_001","vo_adv_1070501","","1070501042"
"5","0","","1","1","1070501","11","しかし一時には\n赤子同然だった貴方が\nここまで成長したこと……\nとても喜ばしく思います。","107011","0","1070501043"
"","","","","","1070501","91","","0","","1070501044"
"0","","","0","","1070501","21","vo_adv_1070501_002","vo_adv_1070501","","1070501045"
"5","0","","1","1","1070501","11","ただ、そうですね……\n厚意に預かるばかり、\nというのも性に合いませんし。\n何かご褒美をあげましょう。","107011","0","1070501046"
"","","","","","1070501","91","","0","","1070501047"
"0","","","0","","1070501","21","vo_adv_1070501_003","vo_adv_1070501","","1070501048"
"5","0","","1","1","1070501","11","焦って決めずとも構いません。\n今日は一日、私が飽きるまで\n貴方に付き合ってもらう予定ですから。\nふふ……期待していますよ？","107011","0","1070501049"
"","","","","","1070501","91","","0","","1070501050"
"0","","","0","1","1070501","31","9","9","1","1070501051"
"","","","","","1070501","131","","0","","1070501052"
"0","","","0","","1070501","22","1","0","","1070501053"
"","","","","","1070501","111","","","","1070501054"
"","","","","","1070501","91","","0","","1070501055"
"850","1","cmn_talk_def_N","400","-220","1110501","1","111011","1","1.5","1110501001"
"0","","","0","1","1110501","31","8","8","1","1110501002"
"0","","","0","1","1110501","31","7","7","1","1110501003"
"0","","","0","1","1110501","31","78","78","1","1110501004"
"0","","","0","1","1110501","31","3","3","1","1110501005"
"0","","","0","1","1110501","31","2","2","1","1110501006"
"0","","","0","1","1110501","31","1","1","1","1110501007"
"0","","","0","1","1110501","31","12","12","0","1110501008"
"1","","","","","1110501","3","blb_run_01","111011","0.3","1110501009"
"-220","","","1.3","0","1110501","2","90","111011","","1110501010"
"0","","","0","","1110501","25","bgm_M321_2C","bgm_M321","","1110501011"
"1.25","","","1.25","0","1110501","121","0","0","0","1110501012"
"0","","","0","1","1110501","32","1","12","1","1110501013"
"0","","","0","","1110501","23","se_sys_login_birthday_new_01","se_common","","1110501014"
"","","","","","1110501","93","","1.3","","1110501015"
"0","0.3","","blb_idle","0","1110501","3","blb_stop","111011","0.05","1110501016"
"-220","","","0.25","0","1110501","2","80","111011","","1110501017"
"","","","","","1110501","93","","1.4","","1110501018"
"1.4","","","1.4","1","1110501","121","0","0","3","1110501019"
"","","","","","1110501","131","","1","","1110501020"
"0","0.3","","blb_idle_02","1","1110501","3","blb_blowout_03","111011","0.3","1110501021"
"","","","","","1110501","93","","0.7","","1110501022"
"0","","","0","1","1110501","32","0","12","1","1110501023"
"0","","","0","1","1110501","31","13","13","1","1110501024"
"","","","","","1110501","93","","0.2","","1110501025"
"0","","","0","","1110501","23","se_sys_login_birthday_blow_candle","se_common","","1110501026"
"","","","","","1110501","93","","1.2","","1110501027"
"0","","","0","","1110501","23","se_adv_tickle_02","se_adv_tickle_02","","1110501028"
"0","","","0","1","1110501","31","4","4","1","1110501029"
"","","","","","1110501","93","","1","","1110501030"
"0","","","0","","1110501","23","se_sys_login_birthday_02","se_common","","1110501031"
"1","","","","0","1110501","3","blb_idle_02","111011","0.3","1110501032"
"","","","","","1110501","93","","1.05","","1110501033"
"0","","","0","","1110501","23","se_sys_login_birthday_cracker","se_common","","1110501034"
"0","","","0","1","1110501","31","6","6","1","1110501035"
"0","","","blb_wish_05","1","1110501","3","blb_joy_05","111011","0","1110501036"
"","","","","","1110501","93","","2","","1110501037"
"0","","","0","","1110501","21","vo_adv_1110501_000","vo_adv_1110501","","1110501038"
"","","","","","1110501","13","870","111011","","1110501039"
"5","0","","1","1","1110501","11","ほわあああぁぁ何この蝋燭！？\n思わず知的興奮で吹き消してしまったが\n怪しい残り香、興味深ぁ～！\n鼻腔から学び入ってくる～！","111011","0","1110501040"
"","","","","","1110501","91","","0","","1110501041"
"0","","","0","","1110501","21","vo_adv_1110501_001","vo_adv_1110501","","1110501042"
"4","0","","1","1","1110501","11","この蝋燭は、もしや君が作ったのか？\nなに、精油にそんな希少な成分を？\nわざわざぼくの誕生日を祝うために？\n後輩……君という子は……！","111011","0","1110501043"
"","","","","","1110501","91","","0","","1110501044"
"0","","","0","","1110501","21","vo_adv_1110501_002","vo_adv_1110501","","1110501045"
"4","0","","1","1","1110501","11","しかし蝋燭はいいが、この土台部分──\nいや、バースデーケーキとかいう祝祭の\n文化か。ううむ気持ちは有難いが、\n食の細いぼくには若干拷問サイズだ……","111011","0","1110501046"
"","","","","","1110501","91","","0","","1110501047"
"0","","","0","","1110501","21","vo_adv_1110501_003","vo_adv_1110501","","1110501048"
"5","0","","1","1","1110501","11","ややっ？　よくよく見ればこの土台、\nケーキなのはほんの一部分だけで、\n大半はよく出来た模造品じゃあないか！\nな、なんと配慮の行き届いた……！","111011","0","1110501049"
"","","","","","1110501","91","","0","","1110501050"
"0","","","0","","1110501","21","vo_adv_1110501_004","vo_adv_1110501","","1110501051"
"5","0","","1","1","1110501","11","是非もなし。\n端的に言えば、先輩ちょっと感激した。\n今宵は飲めや食えやの大騒ぎだ。\n朝まで踊り明かすぜ同志、ヒャッハー！","111011","0","1110501052"
"","","","","","1110501","91","","0","","1110501053"
"0","","","0","1","1110501","31","9","9","1","1110501054"
"","","","","","1110501","131","","0","","1110501055"
"0","","","0","","1110501","22","1","0","","1110501056"
"","","","","","1110501","111","","","","1110501057"
"","","","","","1110501","91","","0","","1110501058"
