0a01e479d196b001ad958237398943050ff783b5d0bf6e4e401b83e0599bd60e,9776e3500ef94ee99d4bf0304de57609e4f31169e5eba118de964aa952bd2c3f,677343f937eae4333f5912c0095ddbf89723bbb3c386ed2f310f1577fb27db5a,0543416e65ca6ead7ad04c067e2ad4fce6925646768f4f569d9beab5afc7ab15,49edb1f913d5049811faccff4773ae2d9166fa6144f354ca6c4de93e7a22a171,6f4852efbece8e27bddea277afb821838e89b174a00950b683ab53cba1974fd1,000f98018215620ec70640a8ca7d11b961f2ae3bc0aea9cbca9dca76845d69ee,7571d34838de0096a6f33f2c41451774af457ddd868bba0ac70d4dbcfee3ff50,2098cc11d27f9783f7a4e49184a700f69ae23c4ba16c6709437831009fa44c88,e9fbb0a0164f2a9ee4b3de496c6a0faa5563e51f66c790ff539c5ef5db31ba39,7db687addb59c54df862e333f944c9ab3f5aa783866178e53bc3ceb6bca5b998
"1","5","36","1.3","1","1360001","105","0","110","102531","03_uek_cmn_idol_def_N"
"1","10","36","1.3","1","1360002","10","0","100","102831","03_uek_cmn_idol_def_N"
"1","","36","","93","1360003","","","","",""
"102531","1","36","0","3","1360004","03_uek_36_suzume_loop","0","0","03_uek_36_suzume",""
"102831","1","36","0","3","1360005","03_uek_36_saren_loop","0","0","03_uek_36_saren",""
"0","","36","","91","1360006","","","","",""
"102531","0","36","","11","1360007","0","","10","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？",""
"0","","36","","91","1360008","","","","",""
"102831","0","36","","11","1360009","0","","10","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね",""
"1","-22","37","1.3","1","1370001","-118","0","100","112531","01_uek_cmn_idol_def_N"
"1","0","37","1.3","1","1370002","0","0","100","112431","01_uek_cmn_idol_def_N"
"1","0","37","1.3","1","1370003","179","1","100","112631","01_uek_27_tamaki_loop"
"112631","0","37","","3","1370004","","","0","01_uek_27_tamaki_loop",""
"0","","37","","91","1370005","","","","",""
"112631","0","37","","3","1370006","","","0","01_uek_27_tamaki_loop",""
"0","","37","","91","1370007","","","","",""
"112631","0","37","","3","1370008","","","0","01_uek_27_tamaki_loop",""
"0","","37","","91","1370009","","","","",""
"112631","0","37","0.5","3","1370010","","","1","01_uek_cmn_pose06",""
"112631","0","37","","11","1370011","0","","10","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！",""
"0","","37","","91","1370012","","","","",""
"112531","1","37","","3","1370013","01_uek_35_rei_loop","","0","01_uek_35_rei",""
"112531","0","37","","11","1370014","0","","10","…トップアイドルに\nなった時の景色って\nこんな感じなのかな",""
"0","","37","","91","1370015","","","","",""
"112631","0","37","0.2","3","1370016","","","1","01_uek_cmn_idol_def_N",""
"112431","1","37","","3","1370017","01_uek_16_uduki_loop","","0","01_uek_37_uduki",""
"112431","0","37","","11","1370018","0","","10","あの星みたいに\n私たちも\n輝きたいですね！",""
"0","","37","","91","1370019","","","","",""
"101","1","101","1","31","11010001","30","","0","14",""
"111","1","111","1","31","11110001","150","","0","11",""
"112","1","112","1","31","11120001","150","","0","12",""
"113","1","113","1","31","11130001","125","","0","13",""
