389b7063c8d1f1992d2dcc794586db4cf41869f5fa68d031337f8f987a9d5b33,af5d47237f754e08a14e5cd36a1f69eab190899ea8d01b4557f490003faf419c,0c92a4da2fccb4186bcb72b31e7f99740ce0a6a2e314179302f95ccfb4214b86,1735dfcfbaed6bb4afe904a3e130c88349208b250ae889666fe9d8654dc35b08,442ea8d451490188302011987bf1ed023a98c70f648fbeddc30e4bff83ebfaca,a0bce7be888d814206e0f971fbdf7958799bf989e377fa51b64e6e32c05b907c,bd2c9565040d22ad2aa0663da64ada910078c9418e104a308a6f79899c28cbee,b56a3cb2292bbef4f2227bde4e9c57837501b2740dac094e09f9c3414a941d5d,36426c3fa9d221dbcff4825a87efe3db395f12d56d9820a4baf3036a3463dabd,c429d0b14e6ecc2e5497ff77c0835758d5c6393ab9287836f2dd5863cfee221f,8dba5bbeacd199c99df25c85c47fb78960a95e962ab82b645f4d356e955fb64d
"nyx_203_yukari_03","","0.5","12030036","","3","","103431","1","203",""
"それ～もっと飲め～\nうふふ～麦しゅわに\n不可能はないわ～♪","","","12030037","","11","","103431","10","203",""
"","","","12030038","","91","","0","","203",""
"","","","12030039","","93","","0.1","","203",""
"nyx_203_yukari_06","","0.2","12030040","nyx_203_yukari_05","3","","3","0","203","1"
"nyx_203_yukari_06","","0.2","12030041","nyx_203_yukari_05","3","","103431","0","203","1"
"","","","12030042","","93","","0.5","","203",""
"nyx_lookup","","0.2","12030043","nyx_cmn_05","3","0.2","103231","0","203","1"
"","","","12030044","","93","","2","","203",""
"1","","","12030045","","12","","103231","1","203",""
"1","","","12030046","","4","","3","","203",""
"1","","","12030047","","4","","103431","","203",""
"nyx_203_yukari_04","","0.2","12030048","","3","","3","0","203",""
"nyx_203_yukari_04","","0.2","12030049","","3","","103431","0","203",""
"-245","","","12030050","0.67","2","","3","-10","203","0"
"-245","","","12030051","0.67","2","","103431","-10","203","0"
"","","","12030052","","93","","0.67","","203",""
"","","","12030053","","93","","0.83","","203",""
"-265","","","12030054","0.5","2","","3","-10","203","0"
"-265","","","12030055","0.5","2","","103431","-10","203","0"
"","","","12030056","","93","","0.5","","203",""
"-328","","","12030057","0.67","2","","3","-10","203","0"
"-328","","","12030058","0.67","2","","103431","-10","203","0"
"nyx_cmn_04","","0.2","12030059","","3","","103231","1","203",""
"nyx_lookup","","0.2","12030060","nyx_idle_sad","3","0.2","104831","0","203","1"
"","","","12030061","","93","","0.67","","203",""
"-330","","","12030062","0.67","2","","3","-10","203","0"
"-330","","","12030063","0.67","2","","103431","-10","203","0"
"","","","12030064","","93","","0.67","","203",""
"nyx_203_yukari_05","","0.2","12030065","nyx_203_yukari_06","3","","3","0","203","1"
"nyx_203_yukari_05","","0.2","12030066","nyx_203_yukari_06","3","","103431","0","203","1"
"","","","12030067","","93","","0.66","","203",""
"12","","","12030068","","12","","104831","1","203",""
"","","","12030069","","93","","2","","203",""
"9","","","12030070","","12","","103431","1","203",""
"nyx_lookup","","0.2","12030071","nyx_talk_sad","3","0.2","104631","0","203","1"
"0","","","12030072","","4","","3","","203",""
"0","","","12030073","","4","","103431","","203",""
"nyx_203_yukari_04","","0.2","12030074","","3","","3","0","203",""
"nyx_203_yukari_04","","0.2","12030075","","3","","103431","0","203",""
"-285","","","12030076","0.67","2","","3","-10","203","0"
"-285","","","12030077","0.67","2","","103431","-10","203","0"
"","","","12030078","","93","","0.67","","203",""
"","","","12030079","","93","","0.83","","203",""
"-265","","","12030080","0.5","2","","3","-10","203","0"
"-265","","","12030081","0.5","2","","103431","-10","203","0"
"","","","12030082","","93","","0.5","","203",""
"-202","","","12030083","0.67","2","","3","-10","203","0"
"-202","","","12030084","0.67","2","","103431","-10","203","0"
"5","","","12030085","","12","","104631","1","203",""
"","","","12030086","","93","","0.67","","203",""
"-200","","","12030087","0.67","2","","3","-10","203","0"
"-200","","","12030088","0.67","2","","103431","-10","203","0"
"","","","12030089","","93","","0.67","","203",""
"nyx_203_yukari_05","","0.2","12030090","","3","","3","1","203",""
"nyx_203_yukari_05","","0.2","12030091","","3","","103431","1","203",""
"","","","12030092","","93","","0.66","","203",""
"nyx_idle_sad","","0.2","12030093","","3","","104631","1","203",""
"6","","","12030094","","12","","103431","1","203",""
"0","","","12030095","","4","","3","","203",""
"0","","","12030096","","4","","103431","","203",""
"","","","12030097","","93","","1","","203",""
"","","","12030098","","101","","12030039","","203",""
"104831","nyx_204_mifuyu_01","1.2","12040001","121.8","1","1","1","110","204","28.5"
"2","nyx_204_mifuyu_01","1.2","12040002","121.8","5","1","2","120","204","28.5"
"103431","nyx_idle_normal","1.2","12040003","-278","1","0","1","110","204","-286.1"
"104631","nyx_idle_normal","1.2","12040004","283.5","1","1","1","140","204","-286.1"
"103231","nyx_idle_normal","1.2","12040005","-413","1","0","1","110","204","-286.1"
"1","","1","12040006","0","31","","2","0","204","1"
"3","nyx_yagura_up_harf","1.2","12040007","109","5","0","3","130","204","-278"
"2","","1","12040008","34","31","","14","-111","204","1"
"bgm_M347","","","12040009","","25","","bgm_M347","","204",""
"","","","12040010","","93","","2","","204",""
"nyx_204_mifuyu_01","","0.2","12040011","","3","","104831","1","204",""
"nyx_204_mifuyu_01","","0.2","12040012","","3","","2","1","204",""
"とうとう完成…\nしてしまったわね…","","0","12040013","","11","","104831","10","204",""
"","","","12040014","","93","","0.2","","204",""
"nyx_lookup","","0.2","12040015","nyx_204_akino_01_loop","3","0.2","104631","0","204","1"
"","","","12040016","","93","","0.5","","204",""
"nyx_204_mifuyu_02","","0.2","12040017","","3","","104831","1","204",""
"nyx_204_mifuyu_02","","0.2","12040018","","3","","2","1","204",""
"","","","12040019","","91","","12040013","","204",""
"設計段階より\n明らかに機能が\n増やされてるわ…","","0","12040020","","11","","104831","10","204",""
"","","","12040021","","93","","1.5","","204",""
"nyx_lookup","","0.2","12040022","nyx_lookup_loop","3","0.2","103431","0","204","1"
"","","","12040023","","91","","12040020","","204",""
"","","","12040024","","93","","0.2","","204",""
"nyx_204_akino_01","","0.2","12040025","","3","","103231","0","204",""
"驚いたでしょう！\nこれこそが私たちの\nアイデアの結晶！","","","12040026","","11","","103231","10","204",""
"","","","12040027","","93","","1","","204",""
"nyx_204_akino_02","","0.2","12040028","","3","","103231","1","204",""
"","","","12040029","","91","","12040026","","204",""
"","","","12040030","","93","","0.5","","204",""
"ええ、驚いたわ…\nまさかこんなにも\n好き勝手やるなんて","","0","12040031","","11","","104831","10","204",""
"","","","12040032","","93","","0.2","","204",""
"nyx_204_mifuyu_03","","0.2","12040033","","3","0.2","104831","1","204",""
"nyx_204_mifuyu_03","","0.2","12040034","","3","0.2","2","1","204",""
"","","","12040035","","93","","3","","204",""
"","","","12040036","","91","","12040031","","204",""
"nyx_talk_sad","","","12040037","","3","","104631","1","204",""
"ど、どうして\n震えてるにゃ？\nミフユ…","","","12040038","","11","","104631","10","204",""
"","","","12040039","","91","","0","","204",""
"nyx_204_mifuyu_04","","0.3","12040040","nyx_204_mifuyu_05","3","0.3","104831","0","204","1"
"nyx_204_mifuyu_04","","0.3","12040041","nyx_204_mifuyu_05","3","0.3","2","0","204","1"
"当たり前です！\nなんですかこの\n無駄だらけな機能！","","0","12040042","","11","","104831","10","204",""
"","","","12040043","","93","","0.6","","204",""
"cmn_shock_def_N","","0.3","12040044","nyx_idle_surprise2","3","0.2","104631","0","204","1"
"cmn_shock_def_N","","0.3","12040045","nyx_idle_sad","3","0.2","103431","0","204","1"
"cmn_shock_def_N","","0.3","12040046","nyx_idle_surprise1","3","0.2","103231","0","204","1"
"","","","12040047","","93","","1.5","","204",""
"","","","12040048","","91","","12040042","","204",""
"どこを見ても\n無駄ばかり…\n非効率すぎる…！","","0","12040049","","11","","104831","10","204",""
"","","","12040050","","91","","0","","204",""
"nyx_talk_sad","","0.3","12040051","","3","0.3","103431","1","204",""
"お、落ち着いて\nミフユさん…\n仕方がなかったの…","","","12040052","","11","","103431","10","204",""
"","","","12040053","","91","","0","","204",""
"こんなの\n落ち着けるわけ\nないでしょーっ！","","0","12040054","","11","","104831","10","204",""
"","","","12040055","","93","","2.7","","204",""
"nyx_cmn_03","","0.3","12040056","","3","0.3","103431","1","204",""
"nyx_204_mifuyu_07","","0.3","12040057","nyx_204_mifuyu_06","3","0.3","104831","0","204","1"
"nyx_204_mifuyu_07","","0.3","12040058","nyx_204_mifuyu_06","3","0.3","2","0","204","1"
"","","","12040059","","91","","12040052","","204",""
"","","","12040060","","93","","0.5","","204",""
"0","","","12040061","","4","","103431","1","204",""
"","","","12040062","","93","","0.5","","204",""
"2","","","12040063","","12","","103431","1","204",""
"","","","12040064","","93","","1.5","","204",""
"17","","","12040065","","12","","104631","1","204",""
"nyx_talk_sad","","0.3","12040066","","3","0.3","104631","1","204",""
"","","","12040067","","93","","1.5","","204",""
"1","","","12040068","","4","","103431","1","204",""
"nyx_idle_sad","","0.3","12040069","","3","0.3","104631","1","204",""
"","","","12040070","","93","","0.2","","204",""
"7","","","12040071","","12","","103231","1","204",""
"nyx_talk_joy1","","0.3","12040072","cmn_pose02_def_N","3","0.2","103231","0","204","1"
"","","","12040073","","93","","0.1","","204",""
"nyx_talk_sad","","0.3","12040074","","3","0.3","103431","1","204",""
"","","","12040075","","93","","2","","204",""
"15","","","12040076","","12","","104831","1","204",""
"","","","12040077","","93","","2","","204",""
"1","","","12040078","","101","","12040061","","204",""
"111031","nyx_301_yuni_01","1.2","13010001","-135","1","0","1","110","301","-277"
"1","","1","13010002","0","31","","3","0","301","1"
"2","","1","13010003","-195","31","","17","40","301","1"
"3","","0","13010004","-195","31","","18","40","301","1"
"4","","0","13010005","-195","31","","19","40","301","1"
"bgm_M347","","","13010006","","25","","bgm_M347","","301",""
"","","","13010007","","93","","2","","301",""
"なかよしX…\nあれは実に\n浪漫の結晶だった…","","","13010008","","11","","111031","10","301",""
"1","","","13010009","","91","","0","","301",""
"あのイノベーション\nから得た刺激は形に\n遺しておくべきだ…","","","13010010","","11","","111031","10","301",""
"1","","","13010011","","91","","0","","301",""
"","","","13010012","","93","","0.6","","301",""
"nyx_103_yuni_02","","0.2","13010013","","3","","111031","1","301",""
"というわけで\nなかよしXの残骸を\n集めてみたわけだが","","","13010014","","11","","111031","10","301",""
"1","","","13010015","","91","","0","","301",""
"cmn_pose02_def_N","","0.2","13010016","nyx_idle_normal","3","0.2","111031","0","301",""
"これらをリペアして\n単に組み直したとて\n模造品でしかない","","","13010017","","11","","111031","10","301",""
"1","","","13010018","","91","","0","","301",""
"nyx_103_yuni_03","","0.2","13010019","nyx_103_yuni_04","3","","111031","0","301","1"
"独自の改修を施すぞ\n機体の縮小化そして\n各種機能を改良だ","","","13010020","","11","","111031","10","301",""
"1","","","13010021","","91","","0","","301",""
"cmn_pose02_def_N","","0.2","13010022","","3","","111031","1","301",""
"ふむ、すなわち\nたい焼きに麦しゅわ\nだが…","","","13010023","","11","","111031","10","301",""
"","","","13010024","","91","","0","","301",""
"","","","13010025","","93","","0.5","","301",""
"nyx_301_yuni_03","","0.2","13010026","","3","","111031","1","301",""
"いや、そもそもなぜ\nたい焼き麦しゅわが\n組み込まれていたか","","","13010027","","11","","111031","10","301",""
"1","","","13010028","","91","","0","","301",""
"…理解に苦しむな\nまずそこから考える\n必要がありそうだ","","","13010029","","11","","111031","10","301",""
"1","","","13010030","","91","","0","","301",""
"nyx_301_yuni_01","","0.2","13010031","","3","","111031","1","301",""
"なんたる難題だろう\nぼくの知的探求心が\n疼いてきたと言える","","","13010032","","11","","111031","10","301",""
"","","","13010033","","91","","0","","301",""
"","","","13010034","","93","","2","","301",""
"1","","","13010035","","4","","111031","","301",""
"cmn_walk_def_N","","0.2","13010036","","3","","111031","1","301",""
"-230","","","13010037","1.5","2","","111031","-277","301",""
"","","","13010038","","93","","1.5","","301",""
"nyx_301_yuni_02","","0.2","13010039","nyx_idle_normal","3","0.2","111031","0","301","1"
"","","","13010040","","93","","3","","301",""
"0","","","13010041","","4","","111031","","301",""
"cmn_walk_def_N","","0.2","13010042","","3","","111031","1","301",""
"-95","","","13010043","1.5","2","","111031","-277","301",""
"","","","13010044","","93","","1.5","","301",""
"12","","","13010045","","12","","111031","1","301",""
"nyx_301_yuni_02","","0.2","13010046","nyx_idle_normal","3","0.2","111031","0","301","1"
"","","","13010047","","93","","0.4","","301",""
"1","","","13010048","","32","","3","","301",""
"","","","13010049","","93","","2.6","","301",""
"1","","","13010050","","4","","111031","","301",""
"cmn_walk_def_N","","0.2","13010051","","3","","111031","1","301",""
"-230","","","13010052","1.5","2","","111031","-277","301",""
"","","","13010053","","93","","1.5","","301",""
"13","","","13010054","","12","","111031","1","301",""
"nyx_301_yuni_02","","0.2","13010055","nyx_idle_normal","3","0.2","111031","0","301","1"
"","","","13010056","","93","","3","","301",""
"0","","","13010057","","4","","111031","","301",""
"cmn_walk_def_N","","0.2","13010058","","3","","111031","1","301",""
"-95","","","13010059","1.5","2","","111031","-277","301",""
"","","","13010060","","93","","1.5","","301",""
"nyx_301_yuni_02","","0.2","13010061","nyx_idle_normal","3","0.2","111031","0","301","1"
"","","","13010062","","93","","0.4","","301",""
"1","","","13010063","","32","","4","","301",""
"","","","13010064","","93","","2.6","","301",""
"1","","","13010065","","4","","111031","","301",""
"cmn_walk_def_N","","0.2","13010066","","3","","111031","1","301",""
"-230","","","13010067","1.5","2","","111031","-277","301",""
"","","","13010068","","93","","1.5","","301",""
"nyx_301_yuni_02","","0.2","13010069","nyx_idle_normal","3","0.2","111031","0","301","1"
"","","","13010070","","93","","3","","301",""
"0","","","13010071","","4","","111031","","301",""
"cmn_walk_def_N","","0.2","13010072","","3","","111031","1","301",""
"165","","","13010073","4","2","","111031","-277","301",""
"","","","13010074","","93","","4","","301",""
"12","","","13010075","","12","","111031","1","301",""
"nyx_301_yuni_02","","0.2","13010076","nyx_idle_normal","3","0.2","111031","0","301","1"
"","","","13010077","","93","","3","","301",""
"1","","","13010078","","4","","111031","","301",""
"cmn_walk_def_N","","0.2","13010079","","3","","111031","1","301",""
"-230","","","13010080","4","2","","111031","-277","301",""
"","","","13010081","","93","","4","","301",""
"17","","","13010082","","12","","111031","1","301",""
"cmn_pose02_def_N","","0.2","13010083","nyx_idle_normal","3","0.2","111031","0","301","1"
"","","","13010084","","93","","4","","301",""
"0","","","13010085","","4","","111031","","301",""
"cmn_walk_def_N","","0.2","13010086","","3","","111031","1","301",""
"165","","","13010087","4","2","","111031","-277","301",""
"","","","13010088","","93","","4","","301",""
"nyx_301_yuni_02","","0.2","13010089","nyx_303_yuni_01","3","0.2","111031","0","301","0"
"","","","13010090","","93","","2.4","","301",""
"7","","","13010091","","12","","111031","1","301",""
"","","","13010092","","93","","1.6","","301",""
"1","","","13010093","","4","","111031","","301",""
"cmn_walk_def_N","","0.2","13010094","","3","","111031","1","301",""
"-230","","","13010095","4","2","","111031","-277","301",""
"","","","13010096","","93","","4","","301",""
"2","","","13010097","","12","","111031","1","301",""
"nyx_301_yuni_02","","0.2","13010098","cmn_pose02_def_N","3","0.2","111031","0","301","1"
"","","","13010099","","93","","4","","301",""
"","","","13010100","","101","","13010071","","301",""
"111031","nyx_idle_normal","1.2","13020001","4000","1","1","1","110","302","-277"
"2","NoItem","1.2","13020002","-200","5","1","2","120","302","-277"
"1","","1","13020003","0","31","","3","0","302","1"
"3","","0","13020004","-240","31","","20","-110","302","1"
"4","","1","13020005","-195","31","","21","40","302","1.2"
"bgm_M347","","","13020006","","25","","bgm_M347","","302",""
"","","","13020007","","93","","2","","302",""
"nyx_302_yuni_01","","","13020008","nyx_idle_normal","3","0.2","111031","0","302","1"
"-200","","","13020009","0","2","","111031","-277","302",""
"-200","","","13020010","0","2","","2","-279","302",""
"…ぷはーっ！","","","13020011","","11","","111031","10","302",""
"","","","13020012","","93","","0","","302",""
"1","","","13020013","","32","","3","","302",""
"","","","13020014","","91","","13020011","","302",""
"いかんいかん\n資材の山に埋もれて\nしまうところだった","","","13020015","","11","","111031","10","302",""
"","","","13020016","","91","","0","","302",""
"nyx_302_yuni_02","","0.2","13020017","NoItem","3","","2","0","302","1"
"nyx_302_yuni_02","","0.2","13020018","nyx_idle_normal","3","0.2","111031","0","302","1"
"だが怪我の功名、\n探していた部品を\n偶然にも発見できた","","","13020019","","11","","111031","10","302",""
"","","","13020020","","93","","5","","302",""
"0","","","13020021","","4","","111031","","302",""
"nyx_cmn_03","","0.2","13020022","","3","","111031","1","302",""
"ふむ…これは僥倖\nかくなる上は再び\n潜航してみるか…","","","13020023","","11","","111031","10","302",""
"","","","13020024","","91","","0","","302",""
"nyx_301_yuni_01","","0.2","13020025","","3","","111031","1","302",""
"存外意義あるものだ\n資材ダイビングとか\nいう新種の探索行は","","","13020026","","11","","111031","10","302",""
"1","","","13020027","","91","","0","","302",""
"まあ万一溺れたとて\n後輩たちの誰ぞが\nきっと気付くだろう","","","13020028","","11","","111031","10","302",""
"1","","","13020029","","91","","0","","302",""
"nyx_302_yuni_03","","0.2","13020030","nyx_302_yuni_04","3","","111031","0","302","1"
"是非もなし\nいざ往かん！","","","13020031","","11","","111031","10","302",""
"1","","","13020032","","91","","0","","302",""
"","","","13020033","","93","","1.5","","302",""
"む。奥に入りすぎた\nこれは…出られぬ！\n誰かー！　誰か―！","","","13020034","","11","","111031","10","302",""
"","","","13020035","","91","","0","","302",""
"","","","13020036","","93","","6","","302",""
"2","","","13020037","","12","","111031","1","302",""
"","","","13020038","","93","","4","","302",""
"4","","","13020039","","12","","111031","1","302",""
"","","","13020040","","93","","4","","302",""
"","","","13020041","","101","","13020036","","302",""
"111031","nyx_303_yuni_07","1.2","13030001","49","1","1","1","110","303","-221.5"
"1","","1","13030002","0","31","","4","0","303","1"
"bgm_M347","","","13030003","","25","","bgm_M347","","303",""
"","","","13030004","","93","","2","","303",""
"ふむ、紆余曲折は\nあったが無事完成…\nといったところか","","","13030005","","11","","111031","10","303",""
"","","","13030006","","91","","0","","303",""
"nyx_303_yuni_01_noshadow","","0.2","13030007","","3","","111031","1","303",""
"ふふふ…我ながら\n納得の出来栄え…","","","13030008","","11","","111031","10","303",""
"","","","13030009","","91","","0","","303",""
"外観の完成度も\nさることながら\n特筆すべきは機能だ","","","13030010","","11","","111031","10","303",""
"","","","13030011","","91","","0","","303",""
"nyx_303_yuni_03","","0.2","13030012","","3","","111031","1","303",""
"試しに動作試験を\nしてみるとしよう","","","13030013","","11","","111031","10","303",""
"","","","13030014","","91","","0","","303",""
"nyx_303_yuni_02","","0.2","13030015","nyx_303_yuni_04","3","0.2","111031","0","303","1"
"","","","13030016","","93","","3","","303",""
"nyx_303_yuni_07","","0.2","13030017","","3","","111031","1","303",""
"ふむ…\n表情映写の動作に\n問題はないようだ","","","13030018","","11","","111031","10","303",""
"","","","13030019","","91","","0","","303",""
"nyx_303_yuni_09","","0.2","13030020","nyx_303_yuni_04","3","0.2","111031","0","303","1"
"次はいずれの機能を\n試してみるか…","","","13030021","","11","","111031","10","303",""
"","","","13030022","","91","","0","","303",""
"","","","13030023","","93","","0.5","","303",""
"とりあえず適当な\nスイッチを…おっと\nこのボタンはいかん","","","13030024","","11","","111031","10","303",""
"","","","13030025","","93","","1.5","","303",""
"nyx_303_yuni_02","","0.2","13030026","","3","","111031","0","303",""
"","","","13030027","","93","","1","","303",""
"nyx_303_yuni_06","","0.2","13030028","nyx_303_yuni_05","3","","111031","0","303","1"
"","","","13030029","","93","","2","","303",""
"…危ない危ない\n自爆装置を起動して\nしまうところだった","","","13030030","","11","","111031","10","303",""
"","","","13030031","","93","","0.1","","303",""
"nyx_303_yuni_08","","0.2","13030032","","3","","111031","1","303",""
"","","","13030033","","91","","13030030","","303",""
"","","","13030034","","93","","2","","303",""
"nyx_303_yuni_09","","0.2","13030035","nyx_303_yuni_04","3","0.2","111031","0","303","1"
"","","","13030036","","93","","2","","303",""
"nyx_303_yuni_02","","0.2","13030037","nyx_303_yuni_03","3","0.2","111031","0","303","1"
"","","","13030038","","93","","1.8","","303",""
"6","","","13030039","","12","","111031","1","303",""
"","","","13030040","","93","","3.2","","303",""
"nyx_303_yuni_09","","0.2","13030041","nyx_303_yuni_04","3","0.2","111031","0","303","1"
"","","","13030042","","93","","2","","303",""
"nyx_303_yuni_02","","0.2","13030043","nyx_303_yuni_08","3","0.2","111031","0","303","1"
"","","","13030044","","93","","1.8","","303",""
"2","","","13030045","","12","","111031","1","303",""
"","","","13030046","","93","","1.2","","303",""
"","","","13030047","","101","","13030034","","303",""
