0662a582dc50d9e8fda5f28f6dc0cc51271e85e595eb17eb9615a1f6b861b3a7,2f255e0139ad8c5945827c6ec86d0cf939c549f9fcb862de7a5269240702d742,1e9fa946e969e2b1ab68f5b1fd086a772da985379313f0941f21771d6d5d964b,71164610632079e7a6727b3b4324fcd77d2710b033c236a8a43e74839935f00a,a614914a5f0c2eda7304575369350ed9cbe5563c452c7cdafbf738c04733bea6,c3b5f63ce94459660a9ce551102485ca28d75e42197a94de911b49ae22bb0543,b11f99489845247d74169319775d65d973c32405d5ceb1de6141097d54279229,e9466875c63628382e8d191936bc39441081579e17320a308d44c066fa0bbb11,abe52b1302e9d4cd8a2e8026f34246c71160855919debe99a567ca2054c0f9b2,c56a89e6205e161408a8e2a4ce4462abdcdf91ae3ef3df168da083e66aad3661,5c4ed447ff9f3c60bb5b7b25c4bfabbf9d946cfa17591c757c652a18a91fb2fa
"36","03_uek_cmn_idol_def_N","110","105","102531","5","1","1.3","1","0","1360001"
"36","03_uek_cmn_idol_def_N","100","10","102831","10","1","1.3","1","0","1360002"
"36","","","","","","93","","1","","1360003"
"36","","0","03_uek_36_suzume_loop","03_uek_36_suzume","1","3","0","102531","0","1360004"
"36","","0","03_uek_36_saren_loop","03_uek_36_saren","1","3","0","102831","0","1360005"
"36","","","","","","91","","0","","1360006"
"36","","10","0","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？","0","11","","102531","","1360007"
"36","","","","","","91","","0","","1360008"
"36","","10","0","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね","0","11","","102831","","1360009"
"37","01_uek_cmn_idol_def_N","100","-118","112531","-22","1","1.3","1","0","1370001"
"37","01_uek_cmn_idol_def_N","100","0","112431","0","1","1.3","1","0","1370002"
"37","01_uek_27_tamaki_loop","100","179","112631","0","1","1.3","1","1","1370003"
"37","","0","","01_uek_27_tamaki_loop","0","3","","112631","","1370004"
"37","","","","","","91","","0","","1370005"
"37","","0","","01_uek_27_tamaki_loop","0","3","","112631","","1370006"
"37","","","","","","91","","0","","1370007"
"37","","0","","01_uek_27_tamaki_loop","0","3","","112631","","1370008"
"37","","","","","","91","","0","","1370009"
"37","","1","","01_uek_cmn_pose06","0","3","0.5","112631","","1370010"
"37","","10","0","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！","0","11","","112631","","1370011"
"37","","","","","","91","","0","","1370012"
"37","","0","01_uek_35_rei_loop","01_uek_35_rei","1","3","","112531","","1370013"
"37","","10","0","…トップアイドルに\nなった時の景色って\nこんな感じなのかな","0","11","","112531","","1370014"
"37","","","","","","91","","0","","1370015"
"37","","1","","01_uek_cmn_idol_def_N","0","3","0.2","112631","","1370016"
"37","","0","01_uek_16_uduki_loop","01_uek_37_uduki","1","3","","112431","","1370017"
"37","","10","0","あの星みたいに\n私たちも\n輝きたいですね！","0","11","","112431","","1370018"
"37","","","","","","91","","0","","1370019"
"101","","0","30","14","1","31","1","101","","11010001"
"111","","0","150","11","1","31","1","111","","11110001"
"112","","0","150","12","1","31","1","112","","11120001"
"113","","0","125","13","1","31","1","113","","11130001"
