8ed53f6144409b43575e457c201c0847ea3aca5f1e18b6a6071fa9f30b530786,786812c40ecd6c8ab9cfafc426007d69e1dc1e9358d668d748610c4f08c033ad,64bb521bdf32ed99871ff0e6bc98b13ddadc4f3b4a5ad1e22bc4124cfbc9a6fa,07b9d8b988f3e9a02f0271b2703f5aaf6d7a61234324d9c4da053f6f831281d6,3bffccd9e9b3a5f9b39c661d9f1d94ee37404ae31bc5acdb2d6917225f887a2d,108340d4bd2e2f5ee3aee8c57f31a633cd17af81afa248b48c4c7df03e6a73c9,ebb82dd9ec29a359d868f96b6ce8d48014eca6c0817f1e7e4b5a682c5ec44f6c,e87873b64ab7e55c9e2143580949930367df3fada86dc130765d946c8e073d53,1da43c1fd19bf765f9541b3a492f674ed14f5306629d6e2384e87aea481d6f34,1c084cd880e402def4176ad542f400f6fbb4eeead36df735bc38aaf9764072dd,e81bada7f281d3d6e97877d554fa2b67c34204ee27cf42aa2863d91ded61782e
"1330012","","","93","","","","33","0.5","",""
"1330013","0.2","","3","pkb_talk_yell","","","33","2","","0"
"1330014","","","93","","","","33","3","",""
"1330015","0.2","1","3","pkb_shock","","","33","2","pkb_idle_shock","0"
"1330016","","","91","","","","33","1330011","",""
"1330017","0.2","","3","pkb_idle_normal","","","33","2","","1"
"1340001","1.6","-150","1","106531","pkb_idle_normal","1","34","1","170","100"
"1340002","1.6","-150","1","113411","pkb_idle_normal","0","34","1","-20","100"
"1340003","0.2","1","3","pkb_talk_arm_crossed","","0.2","34","106531","pkb_idle_arm_crossed","0"
"1340004","","","21","vo_minigame_1006_top_talk_13_301","","","34","vo_minigame_1006","0","0"
"1340005","0","0","11","キミもすげえボール\n投げるじゃねえか\nどうやって\n投げてんだ？","-1","0","34","106531","0","8"
"1340006","","","93","","","","34","3.4","",""
"1340007","0.2","","3","pkb_talk_normal","","","34","106531","","1"
"1340008","","","91","","","","34","1340005","",""
"1340009","0.2","","3","pkb_idle_normal","","","34","106531","","1"
"1340010","0.2","","3","pkb_talk_normal","","","34","113411","","1"
"1340011","","","21","vo_minigame_1006_top_talk_13_202","","","34","vo_minigame_1006","0","0"
"1340012","0","0","11","超能りょ……\nじゃなくて！\n特別な魔法を\n使ってるんだ～えへへ","1","0","34","113411","0","8"
"1340013","","","93","","","","34","1.2","",""
"1340014","0.2","1","3","pkb_surprise","","0.2","34","113411","pkb_talk_surprise1","0"
"1340015","","","93","","","","34","1","",""
"1340016","0.2","","3","pkb_talk_joy3","","","34","113411","","1"
"1340017","","","91","","","","34","1340012","",""
"1340018","0.2","","3","pkb_idle_normal","","","34","113411","","1"
"1350001","1.6","-150","1","113511","pkb_idle_normal","0","35","1","-20","100"
"1350002","1.6","-150","1","102311","pkb_idle_normal","1","35","1","170","100"
"1350003","0.2","","3","pkb_talk_joy3","","","35","113511","","1"
"1350004","","","21","vo_minigame_1006_top_talk_14_101","","","35","vo_minigame_1006","0","0"
"1350005","0","0","11","アヤネちゃん\n今日も打撃コーチを\nよろしくね～\n頼りにしてるから～！","0.5","0","35","113511","0","6"
"1350006","","","93","","","","35","5.2","",""
"1350007","0.2","","3","pkb_talk_wish","","","35","113511","","1"
"1350008","","","91","","","","35","1350005","",""
"1350009","0.2","","3","pkb_idle_normal","","","35","113511","","1"
"1350010","0.2","","3","pkb_talk_joy1","","","35","102311","","1"
"1350011","","","21","vo_minigame_1006_top_talk_14_402","","","35","vo_minigame_1006","0","0"
"1350012","0","0","11","お兄ちゃんたちが\nいっぱいホームラン\n打てるように\nがんばるね！","-1","0","35","102311","0","8"
"1350013","","","93","","","","35","3.2","",""
"1350014","0.2","1","3","pkb_talk_doya","","","35","102311","pkb_idle_doya","0"
"1350015","","","91","","","","35","1350012","",""
"1350016","0.2","","3","pkb_idle_normal","","","35","102311","","1"
"1360001","55","-130","5","3","pkb_idle_normal_l","1","36","3","170","100"
"1360002","55","-130","5","1","pkb_idle_normal","0","36","1","-20","100"
"1360003","0.2","1","3","pkb_talk_arm_crossed_l","","0.2","36","3","pkb_idle_arm_crossed_l","0"
"1360004","","","21","vo_minigame_1006_top_talk_15_601","","","36","vo_minigame_1006","0","0"
"1360005","0","0","11","おい、アサヒ！\nどんくらい上達したか\n見せてみろ！","-0.5","0","36","3","0","8"
"1360006","","","91","","","","36","1360005","",""
"1360007","0.2","","3","pkb_idle_normal_l","","","36","3","","1"
"1360008","0.2","1","3","pkb_talk_guts","","","36","1","pkb_idle_guts","0"
"1360009","","","21","vo_minigame_1006_top_talk_15_702","","","36","vo_minigame_1006","0","0"
"1360010","0","0","11","ああ！　ダイチこそ\n手加減なしで頼むよ\n真剣勝負だ！","0","0","36","1","0","8"
"1360011","","","91","","","","36","1360010","",""
"1360012","0.2","","3","pkb_idle_normal","","","36","1","","1"
"1370001","55","-130","5","1","pkb_idle_normal","0","37","1","-20","100"
"1370002","55","-130","5","3","pkb_idle_normal_l","1","37","3","170","100"
"1370003","0.2","1","3","pkb_talk_guts","","","37","1","pkb_idle_guts","0"
"1370004","","","21","vo_minigame_1006_top_talk_16_701","","","37","vo_minigame_1006","0","0"
"1370005","0","0","11","全国大会に絶対行こう\n俺たちの夢を\n叶えるんだ！","-0.5","0","37","1","0","8"
"1370006","","","93","","","","37","3.2","",""
"1370007","0.2","1","3","pkb_talk_handsup","","0.2","37","1","pkb_idle_normal","0"
"1370008","","","91","","","","37","1370005","",""
"1370009","0.2","","3","pkb_idle_normal","","","37","1","","1"
"1370010","0.2","1","3","pkb_talk_arm_crossed_l","","0.2","37","3","pkb_idle_arm_crossed_l","0"
"1370011","","","21","vo_minigame_1006_top_talk_16_602","","","37","vo_minigame_1006","0","0"
"1370012","0","0","11","ふん、当然だろ\n俺たちなら\n全国優勝だって\n夢じゃねえぜ！","1","0","37","3","0","8"
"1370013","","","93","","","","37","4.8","",""
"1370014","0.2","1","3","pkb_talk_guts_l","","","37","3","pkb_idle_guts_l","0"
"1370015","","","91","","","","37","1370012","",""
"1370016","0.2","","3","pkb_idle_normal_l","","","37","3","","1"
"1380001","1.6","-150","1","106531","pkb_idle_normal","1","38","1","170","100"
"1380002","55","-130","5","2","pkb_idle_normal","0","38","2","-20","100"
"1380003","0.2","1","3","pkb_talk_arm_crossed","","0.2","38","106531","pkb_idle_arm_crossed","0"
"1380004","","","21","vo_minigame_1006_top_talk_17_301","","","38","vo_minigame_1006","0","0"
"1380005","0","0","11","結構やるように\nなってきたじゃねえか\nこっからはオレ様も\n本気でいくぜぇ！！","-0.5","0","38","106531","0","8"
"1380006","","","93","","","","38","3.6","",""
"1380007","0.2","1","3","pkb_talk_doya","","","38","106531","pkb_idle_doya","0"
"1380008","","","93","","","","38","2","",""
"1380009","0.2","1","3","pkb_talk_handsup","","0.2","38","106531","pkb_idle_normal","0"
"1380010","","","91","","","","38","1380005","",""
"1380011","","","93","","","","38","1","",""
"1380012","0.2","","3","pkb_idle_normal","","","38","106531","","1"
"1380013","0.2","1","3","pkb_shock","","","38","2","pkb_idle_shock","0"
"1380014","","","21","vo_minigame_1006_top_talk_17_802","","","38","vo_minigame_1006","0","0"
"1380015","0","0","11","マジか……\nまだ本気じゃ\nなかったのかよ\n…何人か死ぬな","1","0","38","2","0","7"
"1380016","","","91","","","","38","1380015","",""
"1380017","0.2","","3","pkb_idle_normal","","","38","2","","1"
