3181e540be620273e560659e91a05c5d417d96cbb05299055d35f1dfa676acd8,4d3ab3345d16a103986f8e3ab52ebc97a44405c84ac7b48be3b316d446f219a6,dec0a7f131e6c9c4ff945ad6a635ad8193b153f2a40dd6fce11c5b4005db67ca,52a80bae11dcbc5ded79baaa548501813acfaa3e237b935ace204db30b5b69bc,fe04acf0298b8d8914017326f36d1f8fc38c79b189145bc4b00d34e2f851bd62,f794c3592b78011f3eb373bd396f0b23b4aa0b26604109a703e05c512ab7573e,b1f2fb2cdf08c93b3de759f3c404511661f98dea9c181c7538173166bd35d680,4bb6640967267c2c5c556e8965d87557d67e57ffc658847119f453f1594b5692,753e8cc5984f30c3bc738f013df2e9ecba59a6faf01bf59af244db9a82e11363,0eb0d17cf6f58273186e33e5617c48949a9d64196b89e205f48bd80f497657e0,07fe9ac7b1666281603cdba40c7970cb73e1f1be2d869862f3f6d3300da79705
"110","5","105","1","1","1.3","0","102531","03_uek_cmn_idol_def_N","36","1360001"
"100","10","10","1","1","1.3","0","102831","03_uek_cmn_idol_def_N","36","1360002"
"","","","1","93","","","","","36","1360003"
"0","1","03_uek_36_suzume_loop","102531","3","0","0","03_uek_36_suzume","","36","1360004"
"0","1","03_uek_36_saren_loop","102831","3","0","0","03_uek_36_saren","","36","1360005"
"","","","0","91","","","","","36","1360006"
"10","0","0","102531","11","","","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？","","36","1360007"
"","","","0","91","","","","","36","1360008"
"10","0","0","102831","11","","","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね","","36","1360009"
"100","-22","-118","1","1","1.3","0","112531","01_uek_cmn_idol_def_N","37","1370001"
"100","0","0","1","1","1.3","0","112431","01_uek_cmn_idol_def_N","37","1370002"
"100","0","179","1","1","1.3","1","112631","01_uek_27_tamaki_loop","37","1370003"
"0","0","","112631","3","","","01_uek_27_tamaki_loop","","37","1370004"
"","","","0","91","","","","","37","1370005"
"0","0","","112631","3","","","01_uek_27_tamaki_loop","","37","1370006"
"","","","0","91","","","","","37","1370007"
"0","0","","112631","3","","","01_uek_27_tamaki_loop","","37","1370008"
"","","","0","91","","","","","37","1370009"
"1","0","","112631","3","0.5","","01_uek_cmn_pose06","","37","1370010"
"10","0","0","112631","11","","","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！","","37","1370011"
"","","","0","91","","","","","37","1370012"
"0","1","01_uek_35_rei_loop","112531","3","","","01_uek_35_rei","","37","1370013"
"10","0","0","112531","11","","","…トップアイドルに\nなった時の景色って\nこんな感じなのかな","","37","1370014"
"","","","0","91","","","","","37","1370015"
"1","0","","112631","3","0.2","","01_uek_cmn_idol_def_N","","37","1370016"
"0","1","01_uek_16_uduki_loop","112431","3","","","01_uek_37_uduki","","37","1370017"
"10","0","0","112431","11","","","あの星みたいに\n私たちも\n輝きたいですね！","","37","1370018"
"","","","0","91","","","","","37","1370019"
"0","1","30","101","31","1","","14","","101","11010001"
"0","1","150","111","31","1","","11","","111","11110001"
"0","1","150","112","31","1","","12","","112","11120001"
"0","1","125","113","31","1","","13","","113","11130001"
