fdb0afc98bb1c7e7967771b564251883b66c1bf146177ef60a308a727b2d8dcc,46b3e7fb03e03654719b57b6fe93703f82758bf328702eb44c0d705b8c69ca35,7839f763c289b3d1fbbfc18d3ab2306cbca301bd109237df7bac221023fb887f,f8b61576ae08860a3e109074c81ddcc306285f22f6b19102c0e2e381809d8ac3,31a81b14c362dc28c8263b2c4c10f6e72520516b87875891ab2821a6d95e5f39
"-1","5","-21.8","11","30050306"
"-2.8","5","-23.6","13","30050307"
"-1.3","5","-19.8","13","30050308"
"-1.2","5","-18","12","30050309"
"-4.1","5","-16.1","11","30050310"
"-2.2","5","-15.4","11","30050311"
"-1.9","5","-16.4","12","30050312"
"-6.1","5","-16.4","13","30050313"
"-14","5","-12","11","30050314"
"-12","5","-10.6","11","30050315"
"-7.6","5","-16.2","12","30050316"
"-7.7","5","-9.8","11","30050317"
"-11","5","-14","13","30050318"
"-10","5","-14","13","30050319"
"-12","5","-14","13","30050320"
"-14","5","-14.1","12","30050321"
"-6.4","5","-8.9","11","30050322"
"-5.9","5","-10.5","11","30050323"
"-9","5","-8.8","11","30050324"
"-9.6","5","-5.6","12","30050325"
"-8","5","-5","12","30050326"
"-6.1","5","-5.5","12","30050327"
"-7.9","5","-6","13","30050328"
"-3.7","5","-5.7","11","30050329"
"-2.2","5","-9","12","30050330"
"-2.2","5","-12","12","30050331"
"-0.2","5","-10","12","30050332"
"0.3","5","-11.9","12","30050333"
"-1","5","-13","13","30050334"
"1.2","5","-10.9","13","30050335"
"-3","5","-11","13","30050336"
"1","5","-16","11","30050337"
"3.6","5","-15.3","11","30050338"
"4","5","-13","11","30050339"
"3","5","-14","13","30050340"
"4","5","-10.2","11","30050341"
"4","5","-8.9","12","30050342"
"-0.1","5","-5.2","12","30050343"
"1","5","-3.2","12","30050344"
"4.7","5","-3.3","11","30050346"
"4.2","5","-1","11","30050347"
"-9","5","4","13","30050348"
"-10","5","7","12","30050349"
"-8","5","7","12","30050350"
"-6","5","7","11","30050351"
"-4","5","6","11","30050352"
"-7","5","0","11","30050353"
"-5","5","0","11","30050354"
"-1","5","6","13","30050355"
"-2.3","5","6","12","30050356"
"4","5","10.8","11","30050357"
"6.5","5","8.5","12","30050358"
"5.8","5","6.8","12","30050359"
"6","5","5","13","30050360"
"6","5","2.8","11","30050361"
"2.1","5","2.7","11","30050362"
"-12","5","-4","12","30050363"
"-12","5","-6","11","30050364"
"-10","5","-3","13","30050365"
"-11","5","-4","13","30050366"
"1.8","5","5.6","11","30050367"
"3.5","5","15.8","13","30050368"
"0.9","5","18.6","13","30050369"
"4.1","5","18.7","11","30050370"
"0.6","5","13.5","12","30050371"
"-1","5","14.8","13","30050372"
"-1","5","16","13","30050373"
"-2","5","15","11","30050374"
"-2","5","19","11","30050375"
"-1","5","19","11","30050376"
"-7.5","5","13.1","12","30050377"
"-5","5","13","11","30050378"
"-9","5","16","13","30050379"
"-8","5","15","13","30050380"
"-9","5","14","12","30050381"
"-10","5","15.8","11","30050382"
"-10","5","17.6","11","30050383"
"-10.2","5","19.5","12","30050384"
"-13.6","5","13.8","12","30050390"
"-13.5","5","10.7","12","30050391"
"-10.7","5","10.6","11","30050392"
"-10","5","12","11","30050393"
"-14.1","5","18","12","30050394"
"-14","5","20","13","30050395"
"-13","5","19","13","30050396"
"-15","5","21","13","30050397"
"-18.2","5","18.7","12","30050398"
"-20","5","18.7","11","30050399"
"-20","5","14.7","12","30050400"
"-20","5","13","11","30050401"
"-19.9","5","10.9","11","30050402"
"-20","5","12","13","30050403"
"-20","5","16","13","30050404"
"-22.9","5","14","11","30050405"
"-22.8","5","15","13","30050406"
"-23","5","19","12","30050407"
"-23","5","21","11","30050408"
"-23","5","22","13","30050409"
"-23","5","20","13","30050410"
"-21.2","5","23.6","12","30050411"
"-18.2","5","23.6","12","30050412"
"-5.7","5","-20.8","991006","30050413"
"-5.7","5","-19","991006","30050414"
"-0.4","5","-3.2","11","30050416"
"-2.1","5","-3.3","12","30050417"
"1","5","-0.4","12","30050418"
"-0.4","5","-0.5","11","30050419"
"-2.1","5","-0.5","12","30050420"
"1","5","-1.8","991005","30050421"
"-0.8","5","-1.8","991005","30050422"
"-2.3","5","-1.8","991005","30050423"
"-13.1","5","15.2","991005","30050424"
"-15.3","5","15.2","991005","30050425"
"-17.4","5","15.2","991005","30050426"
"-14","5","16","13","30050427"
"-16","5","16","13","30050428"
"-18","5","16","13","30050429"
"-19.2","5","7.8","12","30050430"
"-22.8","5","10.6","13","30050431"
"-22.7","5","9.5","11","30050432"
"-4.8","5","16.5","991001","30050433"
"-4.8","5","17.5","991002","30050434"
"1.4","5","7.7","991001","30050435"
"1.4","5","8.3","991002","30050436"
"1.5","5","16","991002","30050437"
"1.3","5","15.6","991003","30050438"
"-17.1","5","5.5","991001","30050439"
"-17.1","5","6.5","991002","30050440"
"-23.6","6","7","11","30060001"
"-21.3","6","17.2","12","30060003"
"-21.8","6","6.4","13","30060005"
"-21.8","6","8.4","13","30060006"
"-21","6","4","11","30060007"
"-15.7","6","1.6","11","30060008"
"-16.7","6","3.5","11","30060009"
"-21.9","6","1.5","13","30060010"
"-23.7","6","2.7","13","30060011"
"-23.7","6","-3","13","30060012"
"-22.8","6","-5.9","12","30060018"
"-21.6","6","-10.5","11","30060019"
"-19.7","6","-11.5","13","30060020"
"-19.7","6","-13.5","13","30060021"
"-19.7","6","-9.5","13","30060022"
"-23.8","6","-16.1","12","30060023"
"-23.7","6","-18.7","11","30060024"
"-21.8","6","-21","11","30060025"
"-3.8","6","-10.9","13","30060036"
"-11.1","6","-10.3","12","30060043"
"-14.3","6","-11.6","12","30060044"
"-4.8","6","-15.1","12","30060045"
"1.3","6","-10","11","30060054"
"-6.3","6","4.1","12","30060062"
"-4.2","6","12.7","11","30060064"
"-2.9","6","11.9","11","30060065"
"-7.4","6","15.5","13","30060067"
"-9.7","6","16.4","13","30060068"
"-25","6","18.1","11","30060073"
"-16.7","6","17.5","13","30060077"
"-10.9","6","23.4","990002","30060079"
"-23.7","6","5","990001","30060080"
"-10.6","6","-13","990001","30060081"
"-13","6","1.8","11","30060083"
"-10.5","6","10.6","13","30060085"
"-16.7","6","8.5","13","30060086"
"-14.2","6","11.6","12","30060087"
"-14.2","6","9.7","12","30060088"
"-3.7","6","-0.5","13","30060089"
"-3.7","6","0.6","13","30060090"
"-7.3","6","-6.5","12","30060091"
"-6.1","6","-5.4","12","30060092"
"-6.1","6","-6.7","13","30060093"
"-7.5","6","-5.5","13","30060094"
"-5.8","6","-10.9","13","30060095"
"-7.2","6","-11.1","11","30060097"
"-12.3","6","-19.5","12","30060098"
"-10.4","6","-19.5","12","30060099"
"-8.9","6","-18","13","30060100"
"-11.4","6","-16.5","13","30060101"
"-21.5","6","-17.4","13","30060102"
"-20.1","6","-16","13","30060103"
"-20.1","6","-17.4","12","30060104"
"-21.9","6","-2.1","13","30060106"
"-21.9","6","21.2","11","30060107"
"-24.2","6","20.3","11","30060108"
"-1.8","6","16.8","12","30060115"
"-10.6","6","1","11","30060116"
"-10.6","6","2.5","11","30060117"
"0.1","6","9","13","30060118"
"0.1","6","7.5","13","30060119"
"-0.6","6","4.8","11","30060120"
"-1.8","6","19.4","12","30060121"
"-1.8","6","21.7","12","30060122"
"-1.7","6","20.5","13","30060123"
"-1.7","6","18.1","13","30060124"
"2.2","6","15.8","11","30060125"
"1.2","6","19.5","13","30060126"
"1.2","6","21","13","30060127"
"1.2","6","22.5","13","30060128"
"-11.5","6","20","13","30060130"
"-10.1","6","-4","11","30060132"
"-22.8","6","-8","12","30060135"
"-13.6","6","-18.8","11","30060137"
"-11.1","6","-14.3","11","30060138"
"-12","6","-4","12","30060139"
"-16.7","6","10.4","13","30060140"
"-21.6","6","-12.6","11","30060141"
"-19","6","-25.2","11","30060145"
"-1.9","6","-4.8","13","30060146"
"-2.2","6","-7.2","11","30060148"
"1.4","6","14.2","11","30060150"
"-1.7","6","8.5","11","30060151"
"-2.6","6","10","11","30060152"
"-5.2","6","9.5","12","30060153"
"-10","6","12.5","13","30060154"
"-6","6","12.8","13","30060155"
"-5.6","6","16.6","12","30060156"
"-7","6","23","12","30060157"
"-5.6","6","19.7","11","30060158"
"-5.6","6","21.7","11","30060159"
"-18.8","6","5.5","12","30060161"
"-18.7","6","7.5","11","30060162"
"-18.8","6","9.5","12","30060163"
"-18.6","6","11.5","11","30060164"
"-18.7","6","13.3","13","30060165"
"-19.4","6","15.3","13","30060166"
"-21.3","6","-16","12","30060167"
"-14.8","6","-6","13","30060168"
"-14.8","6","-4.5","12","30060169"
"-14.8","6","-3","13","30060170"
"-14.8","6","-1.5","12","30060171"
"-13.6","6","-7.6","11","30060172"
"-8.1","6","-14.3","11","30060175"
"-6.8","6","-15.8","11","30060176"
"-20.6","6","-25","13","30060179"
"-17.4","6","-25.1","13","30060180"
"-23.6","6","10","11","30060181"
"-15.9","6","20.9","13","30060182"
"-15.9","6","22.9","13","30060183"
"-12.6","6","22.7","11","30060184"
"-9.6","6","7","990001","30060186"
"-19.7","6","-20.8","991005","30060187"
"-18.7","6","-20.8","991005","30060188"
"-17.7","6","-20.8","991005","30060189"
"-16.7","6","-20.8","991005","30060190"
"-2.8","6","-0.8","991006","30060191"
"-2.8","6","0.2","991006","30060192"
"-2.8","6","1.2","991006","30060193"
"-4.7","6","18.2","991005","30060194"
"-5.7","6","18.2","991005","30060195"
"-6.7","6","18.2","991005","30060196"
"-7.7","6","18.2","991005","30060197"
"-10.2","6","-7.7","12","30060198"
"-16.6","6","-8.2","12","30060199"
"-17","6","-10.4","11","30060200"
"-17.4","6","-13","11","30060201"
"-19","6","-4.3","12","30060202"
"-17.8","6","-6.2","11","30060203"
"-18.2","6","-8.1","11","30060204"
"-21.3","6","15.1","12","30060205"
"-21.3","6","11.9","12","30060206"
"-19.4","6","17.1","13","30060207"
"-18.7","6","16.2","991005","30060208"
"-19.7","6","16.2","991005","30060209"
"-20.7","6","16.2","991005","30060210"
"-21.7","6","16.2","991005","30060211"
"-22.7","6","16.2","991005","30060212"
"-14.1","6","-23.3","11","30060213"
"-14.1","6","-21.3","11","30060214"
"-2.8","6","-9.5","13","30060216"
"0.1","6","-11.2","11","30060217"
"-2","6","-13.9","11","30060218"
"2","6","-7.5","12","30060221"
"-1.9","6","-0.5","13","30060222"
"-1.9","6","0.6","13","30060223"
"2.9","6","-1.2","11","30060224"
"-3","6","-3.3","11","30060225"
"-0.1","6","-3","11","30060227"
"3.2","6","1.7","11","30060228"
"0.7","6","4.1","11","30060229"
"1.8","6","11.6","12","30060230"
"4.2","6","19.8","11","30060231"
"4.2","6","23","11","30060232"
"-9.9","6","8.9","13","30060233"
"-10.5","6","5.6","13","30060234"
"-9.9","6","4.5","13","30060235"
"-19.5","6","21.3","11","30060236"
"-19.4","6","-22","13","30060243"
"-17.4","6","-22","13","30060244"
"-18.4","6","-20","13","30060245"
"-20.7","6","-6.6","991004","30060246"
"-21.2","6","-6.6","991003","30060247"
"-21.6","6","-14.3","991003","30060248"
"-20.3","6","-14.3","991004","30060249"
"-5.2","6","-13.1","991001","30060250"
"-5.2","6","-12.7","991002","30060251"
"-4.2","6","-6.6","991001","30060252"
"-4.2","6","-5.2","991002","30060253"
"-7.2","6","2.8","991002","30060254"
"-7.2","6","1.4","991001","30060255"
"-4.2","6","5.9","991001","30060256"
"-4.2","6","6.3","991002","30060257"
"-13.6","6","17.8","991003","30060258"
"-12.3","6","17.8","991004","30060259"
"-13.2","6","4.4","991001","30060260"
"-13.2","6","5.8","991002","30060261"
