ae2adfe4cd8b4073bdb226e84a9a0cfc7576c503da2156195a6cc9243afb48ef,3a4d4e1cf99cbc96df07d0673407646b449ab0446a435e301f78a87977ea6187,301fca8a4adee96960a2f88bff7747963957aec8e6e2269590c344ea26abaa10,459748a50fe8b3d59cfc1496661e73d7ed57113e7ae3385f0119c8dad8fb7a72,1ad8ba57db2a120bb8c03b996fe8dac3bc41d36b0ecea9645199a52bd2c83c10,9f50129995039fc3a9662cbd17df392b4dbe3fcbfb6d97c50304f8f8b670ed17,7fb34218cdcc1152e68b83256e19ebcd0d65caad2bf75a3f7627fe477ad1f05d,fbde344906f99b67c74e305135093178bd4ab441938b7fc73cd88cc19e037bd8,7b57efa79541fbf7130b5c3930474d023351ca3776f2ec3ad87e0b8a60e5be8f,0b54452c9f5ad2638da6dd8d77357122dfbe63163af771bae8bb04f7e237d179,187f4264fd81cd4ad6c6b5e34ecbf372331eea7d0d0ab2494c41a080e4959130
"1","54","14513","","","","32","","","14513006",""
"0","11","14513","","","","32","","","14513007",""
"","0","14513","","","","91","","","14513008",""
"100911","1","14611","-213","2","0","1","-108","202","14611001","wac_default_11"
"111","1","14611","-213","2","0","5","-108","201","14611002","wac_default_13"
"21","21","14611","1","1","","31","0","0","14611003",""
"54","54","14611","1","0","","31","0","0","14611004",""
"11","11","14611","1","0","","31","0","0","14611005",""
"501","501","14611","1","1","","31","0","0","14611006",""
"wac_paint_11","100911","14611","0","0.2","","3","","0","14611007",""
"wac_paint_13","111","14611","0","0.2","","3","","0","14611008",""
"0","0.3","14611","","","","93","","","14611009",""
"1","11","14611","","","","32","","","14611010",""
"se_10035700_roller","se_10035700","14611","","","","23","","0","14611011",""
"300","100911","14611","","","","13","","","14611012",""
"","1","14611","","","","131","","","14611013",""
"wac_talk_kyapi_in","100911","14612","1","0.2","","3","wac_talk_kyapi_loop","0","14612001",""
"wac_no_items","111","14612","","0.2","","3","","1","14612002",""
"200","100911","14612","","","","2","0","-340","14612003",""
"200","111","14612","","","","2","0","-340","14612004",""
"0","21","14612","","","","32","","","14612005",""
"1","54","14612","","","","32","","","14612006",""
"0","11","14612","","","","32","","","14612007",""
"vo_wac_220710_000","vo_wac_220710","14612","","","","21","0","0","14612008",""
"ふふ、この冴えわたる筆さばき……\nこれもまた私の全知全能の片鱗！\nアカシックレコードの導きは、\nあらゆる芸事にも及ぶのだ！","100911","14612","1","0","0","11","1","10","14612009","0.5"
"","0","14612","","","","91","","","14612010",""
"vo_wac_220710_001","vo_wac_220710","14612","","","","21","0","0","14612011",""
"……今まで小説の挿絵は\n絵描きさんにお願いしていたが、\n締め切りが許すなら、これからは\n自分で描いてみてもいいかもしれん♪","100911","14612","1","0","0","11","1","10","14612012","0.5"
"","0","14612","","","","91","","","14612013",""
"0","0","14612","","","","22","","","14612014",""
"wac_idle_kyapi","100911","14613","","0.2","","3","","1","14613001",""
"wac_no_items","111","14613","","0.2","","3","","1","14613002",""
"200","100911","14613","","","","2","0","-340","14613003",""
"200","111","14613","","","","2","0","-340","14613004",""
"0","21","14613","","","","32","","","14613005",""
"1","54","14613","","","","32","","","14613006",""
"0","11","14613","","","","32","","","14613007",""
"","0","14613","","","","91","","","14613008",""
"102711","1","14711","-85","2","0","1","-167","202","14711001","wac_default_31"
"105111","1","14711","-211","2","0","1","-64","252","14711002","wac_default_41"
"105611","1","14711","-211","2","0","1","230","204","14711003","wac_default_51"
"100911","1","14711","-350","2","0","1","-330","256","14711004","wac_default_bot_61"
"101311","1","14711","-350","2","0","1","340","259","14711005","wac_default_bot_71"
"111","1","14711","-85","2","0","5","-167","201","14711006","wac_default_31"
"112","1","14711","-211","2","0","5","-64","251","14711007","wac_default_45"
"113","1","14711","-211","2","0","5","230","203","14711008","wac_default_51"
"114","1","14711","-350","2","0","5","-330","255","14711009","wac_default_61"
"115","1","14711","-350","2","0","5","340","258","14711010","wac_default_75"
"300","100911","14711","","","","13","","","14711011",""
"300","101311","14711","","","","13","","","14711012",""
"300","105611","14711","","","","13","","","14711013",""
"300","102711","14711","","","","13","","","14711014",""
"300","105111","14711","","","","13","","","14711015",""
"55","55","14711","1","1","","31","0","0","14711016",""
"30","30","14711","1","0","","31","0","0","14711017",""
"16","16","14711","1","0","","31","0","0","14711018",""
"501","501","14711","1","1","","31","0","0","14711019",""
"wac_paint_31","102711","14711","0","0.2","","3","","0","14711020",""
"wac_paint_31","111","14711","0","0.2","","3","","0","14711021",""
"wac_paint_41","105111","14711","0","0.2","","3","","0","14711022",""
"wac_paint_45","112","14711","0","0.2","","3","","0","14711023",""
"wac_paint_51","105611","14711","0","0.2","","3","","0","14711024",""
"wac_paint_51","113","14711","0","0.2","","3","","0","14711025",""
"wac_paint_bot_61","100911","14711","0","0.2","","3","","0","14711026",""
"wac_paint_61","114","14711","0","0.2","","3","","0","14711027",""
"wac_paint_bot_71","101311","14711","0","0.2","","3","","0","14711028",""
"wac_paint_75","115","14711","0","0.2","","3","","0","14711029",""
"0","0","14711","","","","93","","","14711030",""
"1","16","14711","","","","32","","","14711031",""
"se_sys_login_birthday_calendar_smallbrush","se_common","14711","","","","23","","0","14711032",""
"","1","14711","","","","131","","","14711033",""
"wac_idle_kyapi_L","100911","14712","","0","","3","","1","14712001",""
"wac_idle_kyapi_L","101311","14712","","0","","3","","1","14712002",""
"wac_idle_smile","105611","14712","","0","","3","","1","14712003",""
"wac_idle_smile","102711","14712","","0","","3","","1","14712004",""
"wac_idle_wish","105111","14712","","0","","3","","1","14712005",""
"wac_no_items","111","14712","","0","","3","","1","14712006",""
"wac_no_items","112","14712","","0","","3","","1","14712007",""
"wac_no_items","113","14712","","0","","3","","1","14712008",""
"wac_no_items","114","14712","","0","","3","","1","14712009",""
"wac_no_items","115","14712","","0","","3","","1","14712010",""
"-190","100911","14712","","","","2","0","-335","14712011",""
"-335","101311","14712","","","","2","0","-360","14712012",""
"190","105611","14712","","","","2","0","-360","14712013",""
"350","102711","14712","","","","2","0","-335","14712014",""
"500","105111","14712","","","","2","0","-360","14712015",""
"-190","111","14712","","","","2","0","-335","14712016",""
"-335","112","14712","","","","2","0","-360","14712017",""
"190","113","14712","","","","2","0","-360","14712018",""
"350","114","14712","","","","2","0","-335","14712019",""
"500","115","14712","","","","2","0","-360","14712020",""
"0","55","14712","","","","32","","","14712021",""
"1","30","14712","","","","32","","","14712022",""
"0","16","14712","","","","32","","","14712023",""
"wac_talk_kyapi_in_L","100911","14712","1","0.2","","3","wac_talk_kyapi_loop_L","0","14712024",""
"vo_wac_220711_000","vo_wac_220711","14712","","","","21","0","0","14712025",""
"シグルドー！　見てくれ見てくれ！\n今回の絵は、歴史に残る最高傑作……！\n貴様には、その目撃者になる\n栄誉を授けよう！","100911","14712","1","0","0","11","1","10","14712026","0.5"
"","0","14712","","","","91","","","14712027",""
"wac_idle_kyapi_L","100911","14712","1","0.2","","3","","1","14712028",""
"wac_talk_kyapi_in_L","101311","14712","1","0.2","","3","wac_talk_kyapi_loop_L","0","14712029",""
"vo_wac_220711_001","vo_wac_220711","14712","","","","21","0","0","14712030",""
"さすがだね、アンナたそ！\nけど私も負けないよ～！\n芸術の神が舞い降りたかのような\nこの完成度、ぜひご照覧あれ～！","101311","14712","1","0","0","11","1","10","14712031","0.5"
"","0","14712","","","","91","","","14712032",""
"wac_idle_kyapi_L","101311","14712","1","0.2","","3","","1","14712033",""
"wac_talk_smile_in","102711","14712","1","0.2","","3","wac_talk_smile_loop","0","14712034",""
"vo_wac_220711_002","vo_wac_220711","14712","","","","21","0","0","14712035",""
"なにをバカなことを……\nあなた様への愛をありったけ\n詰め込んだ、私の絵こそが\n一番の傑作に決まってます……","102711","14712","1","0","0","11","1","10","14712036","0.5"
"","0","14712","","","","91","","","14712037",""
"wac_idle_smile","102711","14712","1","0.2","","3","","1","14712038",""
"wac_talk_wish_in","105111","14712","1","0.2","","3","wac_talk_wish_loop","0","14712039",""
"vo_wac_220711_003","vo_wac_220711","14712","","","","21","0","0","14712040",""
"あらあら、私の正確無比な\n筆致も捨てたものじゃないわよ？\n伊達に毎日メスを握ってる\nわけじゃないんだから♪","105111","14712","1","0","0","11","1","10","14712041","0.5"
"","0","14712","","","","91","","","14712042",""
"wac_idle_wish","105111","14712","1","0.2","","3","","1","14712043",""
"wac_talk_smile_in","105611","14712","1","0.2","","3","wac_talk_smile_loop","0","14712044",""
"vo_wac_220711_004","vo_wac_220711","14712","","","","21","0","0","14712045",""
"はは、アタシの筆さばきだって\nなかなか様になってたろう？\n……それで？　お前さんは\n誰の絵が一番だと思うんだい？","105611","14712","1","0","0","11","1","10","14712046","0.5"
"","0","14712","","","","91","","","14712047",""
"0","0","14712","","","","22","","","14712048",""
"","","14712","","","","111","","","14712049",""
"wac_idle_kyapi_L","100911","14713","","0.2","","3","","1","14713001",""
"wac_idle_kyapi_L","101311","14713","","0.2","","3","","1","14713002",""
"wac_idle_smile","105611","14713","","0.2","","3","","1","14713003",""
"wac_idle_smile","102711","14713","","0.2","","3","","1","14713004",""
"wac_idle_wish","105111","14713","","0.2","","3","","1","14713005",""
"wac_no_items","111","14713","","0.2","","3","","1","14713006",""
"wac_no_items","112","14713","","0.2","","3","","1","14713007",""
"wac_no_items","113","14713","","0.2","","3","","1","14713008",""
"wac_no_items","114","14713","","0.2","","3","","1","14713009",""
"wac_no_items","115","14713","","0.2","","3","","1","14713010",""
"-190","100911","14713","","","","2","0","-335","14713011",""
"-335","101311","14713","","","","2","0","-360","14713012",""
"190","105611","14713","","","","2","0","-360","14713013",""
"350","102711","14713","","","","2","0","-335","14713014",""
"500","105111","14713","","","","2","0","-360","14713015",""
"-190","111","14713","","","","2","0","-335","14713016",""
"-335","112","14713","","","","2","0","-360","14713017",""
"190","113","14713","","","","2","0","-360","14713018",""
"350","114","14713","","","","2","0","-335","14713019",""
"500","115","14713","","","","2","0","-360","14713020",""
"0","55","14713","","","","32","","","14713021",""
"1","30","14713","","","","32","","","14713022",""
"0","16","14713","","","","32","","","14713023",""
"","0","14713","","","","91","","","14713024",""
"101311","1","14811","-213","2","0","1","-108","202","14811001","wac_default_01"
"111","1","14811","-213","2","0","5","-108","201","14811002","wac_default_03"
"21","21","14811","1","1","","31","0","0","14811003",""
"54","54","14811","1","0","","31","0","0","14811004",""
"11","11","14811","1","0","","31","0","0","14811005",""
"501","501","14811","1","1","","31","0","0","14811006",""
"wac_paint_01","101311","14811","0","0.2","","3","","0","14811007",""
"wac_paint_03","111","14811","0","0.2","","3","","0","14811008",""
"0","0","14811","","","","93","","","14811009",""
"1","11","14811","","","","32","","","14811010",""
"se_10035700_brush","se_10035700","14811","","","","23","","0","14811011",""
"300","101311","14811","","","","13","","","14811012",""
"","1","14811","","","","131","","","14811013",""
"wac_talk_wish_in","101311","14812","1","0.2","","3","wac_talk_wish_loop","0","14812001",""
"wac_no_items","111","14812","","0.2","","3","","1","14812002",""
"200","101311","14812","","","","2","0","-340","14812003",""
"200","111","14812","","","","2","0","-340","14812004",""
"0","21","14812","","","","32","","","14812005",""
"1","54","14812","","","","32","","","14812006",""
"0","11","14812","","","","32","","","14812007",""
"vo_wac_220712_000","vo_wac_220712","14812","","","","21","0","0","14812008",""
"はぁっ、尊み溢れるアートの数々……\nこれはもう、すべてを写真に収めて\n画集にして発売すべきなのでは！？","101311","14812","1","0","0","11","1","10","14812009","0.5"
"","0","14812","","","","91","","","14812010",""
"vo_wac_220712_001","vo_wac_220712","14812","","","","21","0","0","14812011",""
"この尊さを後世に伝えなければ……\nそれも特典付きの、永久保存版で！\n早速、アンナたそに掛け合って\n出版社に持ち込むであります～！","101311","14812","1","0","0","11","1","10","14812012","0.5"
"","0","14812","","","","91","","","14812013",""
"0","0","14812","","","","22","","","14812014",""
"wac_idle_wish","101311","14813","","0.2","","3","","1","14813001",""
"wac_no_items","111","14813","","0.2","","3","","1","14813002",""
"200","101311","14813","","","","2","0","-340","14813003",""
"200","111","14813","","","","2","0","-340","14813004",""
"0","21","14813","","","","32","","","14813005",""
"1","54","14813","","","","32","","","14813006",""
"0","11","14813","","","","32","","","14813007",""
"","0","14813","","","","91","","","14813008",""
"102711","1","14911","-213","2","0","1","-108","202","14911001","wac_default_01"
"111","1","14911","-213","2","0","5","-108","201","14911002","wac_default_01"
"21","21","14911","1","1","","31","0","0","14911003",""
"54","54","14911","1","0","","31","0","0","14911004",""
"11","11","14911","1","0","","31","0","0","14911005",""
"501","501","14911","1","1","","31","0","0","14911006",""
"wac_paint_01","102711","14911","0","0.2","","3","","0","14911007",""
"wac_paint_01","111","14911","0","0.2","","3","","0","14911008",""
"0","0","14911","","","","93","","","14911009",""
"1","11","14911","","","","32","","","14911010",""
"se_10035700_brush","se_10035700","14911","","","","23","","0","14911011",""
"300","102711","14911","","","","13","","","14911012",""
"","1","14911","","","","131","","","14911013",""
"wac_talk_smile_in","102711","14912","1","0.2","","3","wac_talk_smile_loop","0","14912001",""
"wac_no_items","111","14912","","0.2","","3","","1","14912002",""
"200","102711","14912","","","","2","0","-340","14912003",""
"200","111","14912","","","","2","0","-340","14912004",""
"0","21","14912","","","","32","","","14912005",""
"1","54","14912","","","","32","","","14912006",""
"0","11","14912","","","","32","","","14912007",""
"vo_wac_220713_000","vo_wac_220713","14912","","","","21","0","0","14912008",""
"クスクス……完成です。\nあなた様好みの色に、この壁を\n塗りつぶしました……\n気に入ってもらえましたか？","102711","14912","1","0","0","11","1","10","14912009","0.5"
"","0","14912","","","","91","","","14912010",""
"wac_talk_wish_loop","102711","14912","","0.2","","3","","1","14912011",""
"vo_wac_220713_001","vo_wac_220713","14912","","","","21","0","0","14912012",""
"ああ、私もこの壁のように\nあなた様の色に染まりたい……\nさあ、絵筆を手に取って。\n私をあなた様の色にしてください♪","102711","14912","1","0","0","11","1","10","14912013","0.5"
"","0","14912","","","","91","","","14912014",""
"0","0","14912","","","","22","","","14912015",""
"wac_idle_wish","102711","14913","","0.2","","3","","1","14913001",""
"wac_no_items","111","14913","","0.2","","3","","1","14913002",""
"200","102711","14913","","","","2","0","-340","14913003",""
"200","111","14913","","","","2","0","-340","14913004",""
"0","21","14913","","","","32","","","14913005",""
"1","54","14913","","","","32","","","14913006",""
"0","11","14913","","","","32","","","14913007",""
"","0","14913","","","","91","","","14913008",""
"104911","1","15011","-213","2","0","1","-108","202","15011001","wac_default_01"
"111","1","15011","-213","2","0","5","-108","201","15011002","wac_default_03"
"21","21","15011","1","1","","31","0","0","15011003",""
"54","54","15011","1","0","","31","0","0","15011004",""
"11","11","15011","1","0","","31","0","0","15011005",""
"501","501","15011","1","1","","31","0","0","15011006",""
"wac_paint_01","104911","15011","0","0.2","","3","","0","15011007",""
"wac_paint_03","111","15011","0","0.2","","3","","0","15011008",""
"0","0","15011","","","","93","","","15011009",""
"1","11","15011","","","","32","","","15011010",""
"se_10035700_brush","se_10035700","15011","","","","23","","0","15011011",""
"300","104911","15011","","","","13","","","15011012",""
"","1","15011","","","","131","","","15011013",""
"wac_talk_smile_in","104911","15012","1","0.2","","3","wac_talk_smile_loop","0","15012001",""
"wac_no_items","111","15012","","0.2","","3","","1","15012002",""
"200","104911","15012","","","","2","0","-340","15012003",""
"200","111","15012","","","","2","0","-340","15012004",""
"0","21","15012","","","","32","","","15012005",""
"1","54","15012","","","","32","","","15012006",""
"0","11","15012","","","","32","","","15012007",""
"vo_wac_220714_000","vo_wac_220714","15012","","","","21","0","0","15012008",""
"よーし、上手に描けた！\n私はお姉ちゃんだからね。\nちょーっと練習すれば、\n絵も上手に描けちゃうんだから♪","104911","15012","1","0","0","11","1","10","15012009","0.5"
"","0","15012","","","","91","","","15012010",""
"vo_wac_220714_001","vo_wac_220714","15012","","","","21","0","0","15012011",""
"次はなにを描こうかな～\nふふ、弟くんにリクエストを\n聞いてみよっと♪\nなんだって描いてあげちゃうよ～","104911","15012","1","0","0","11","1","10","15012012","0.5"
"","0","15012","","","","91","","","15012013",""
"0","0","15012","","","","22","","","15012014",""
"wac_idle_smile","104911","15013","","0.2","","3","","1","15013001",""
"wac_no_items","111","15013","","0.2","","3","","1","15013002",""
"200","104911","15013","","","","2","0","-340","15013003",""
"200","111","15013","","","","2","0","-340","15013004",""
"0","21","15013","","","","32","","","15013005",""
"1","54","15013","","","","32","","","15013006",""
"0","11","15013","","","","32","","","15013007",""
"","0","15013","","","","91","","","15013008",""
"103011","1","15111","-213","2","0","1","-108","202","15111001","wac_default_11"
"111","1","15111","-213","2","0","5","-108","201","15111002","wac_default_12"
"21","21","15111","1","1","","31","0","0","15111003",""
"54","54","15111","1","0","","31","0","0","15111004",""
"11","11","15111","1","0","","31","0","0","15111005",""
"501","501","15111","1","1","","31","0","0","15111006",""
"wac_paint_11","103011","15111","0","0.2","","3","","0","15111007",""
"wac_paint_12","111","15111","0","0.2","","3","","0","15111008",""
"0","0.3","15111","","","","93","","","15111009",""
"1","11","15111","","","","32","","","15111010",""
"se_10035700_roller","se_10035700","15111","","","","23","","0","15111011",""
"300","103011","15111","","","","13","","","15111012",""
"","1","15111","","","","131","","","15111013",""
"wac_talk_kyapi_in","103011","15112","1","0.2","","3","wac_talk_kyapi_loop","0","15112001",""
"wac_no_items","111","15112","","0.2","","3","","1","15112002",""
"200","103011","15112","","","","2","0","-340","15112003",""
"200","111","15112","","","","2","0","-340","15112004",""
"0","21","15112","","","","32","","","15112005",""
"1","54","15112","","","","32","","","15112006",""
"0","11","15112","","","","32","","","15112007",""
"vo_wac_220715_000","vo_wac_220715","15112","","","","21","0","0","15112008",""
"ワビサビ！　オモムキ！\nそしてアソビゴコーロ！\nこれぞアートの極意デース！","103011","15112","1","0","0","11","1","10","15112009","0.5"
"","0","15112","","","","91","","","15112010",""
"vo_wac_220715_001","vo_wac_220715","15112","","","","21","0","0","15112011",""
"ナニゴトもアソビがなくては\nいけまセン！　すなわち……\n楽しければイイということデース！\nもっともっと楽しみマース！","103011","15112","1","0","0","11","1","10","15112012","0.5"
"","0","15112","","","","91","","","15112013",""
"0","0","15112","","","","22","","","15112014",""
"wac_idle_kyapi","103011","15113","","0.2","","3","","1","15113001",""
"wac_no_items","111","15113","","0.2","","3","","1","15113002",""
"200","103011","15113","","","","2","0","-340","15113003",""
"200","111","15113","","","","2","0","-340","15113004",""
"0","21","15113","","","","32","","","15113005",""
"1","54","15113","","","","32","","","15113006",""
"0","11","15113","","","","32","","","15113007",""
"","0","15113","","","","91","","","15113008",""
"106811","1","15211","-213","2","0","1","-108","202","15211001","wac_default_01"
"111","1","15211","-213","2","0","5","-108","201","15211002","wac_default_02"
"21","21","15211","1","1","","31","0","0","15211003",""
"54","54","15211","1","0","","31","0","0","15211004",""
"11","11","15211","1","0","","31","0","0","15211005",""
"501","501","15211","1","1","","31","0","0","15211006",""
"wac_paint_01","106811","15211","0","0.2","","3","","0","15211007",""
"wac_paint_02","111","15211","0","0.2","","3","","0","15211008",""
"0","0","15211","","","","93","","","15211009",""
"1","11","15211","","","","32","","","15211010",""
"se_10035700_brush","se_10035700","15211","","","","23","","0","15211011",""
"300","106811","15211","","","","13","","","15211012",""
"","1","15211","","","","131","","","15211013",""
"wac_talk_doya_in","106811","15212","1","0.2","","3","wac_talk_doya_loop","0","15212001",""
"wac_no_items","111","15212","","0.2","","3","","1","15212002",""
"200","106811","15212","","","","2","0","-340","15212003",""
"200","111","15212","","","","2","0","-340","15212004",""
"0","21","15212","","","","32","","","15212005",""
"1","54","15212","","","","32","","","15212006",""
"0","11","15212","","","","32","","","15212007",""
"vo_wac_220716_000","vo_wac_220716","15212","","","","21","0","0","15212008",""
"ふー、やれやれ。\n久々に集中して肩が凝った。\nま、そのかいあっていいものが\nできたんじゃないかな？","106811","15212","1","0","0","11","1","10","15212009","0.5"
"","0","15212","","","","91","","","15212010",""
"vo_wac_220716_001","vo_wac_220716","15212","","","","21","0","0","15212011",""
"裏から小細工をするんじゃなく、\nみんなと協力して\n真正面から何かを創る……\nやっぱり楽しいもんだねえ。","106811","15212","1","0","0","11","1","10","15212012","0.5"
"","0","15212","","","","91","","","15212013",""
"0","0","15212","","","","22","","","15212014",""
"wac_idle_doya","106811","15213","","0.2","","3","","1","15213001",""
"wac_no_items","111","15213","","0.2","","3","","1","15213002",""
"200","106811","15213","","","","2","0","-340","15213003",""
"200","111","15213","","","","2","0","-340","15213004",""
"0","21","15213","","","","32","","","15213005",""
"1","54","15213","","","","32","","","15213006",""
"0","11","15213","","","","32","","","15213007",""
"","0","15213","","","","91","","","15213008",""
"104511","1","15311","-213","2","0","1","-108","202","15311001","wac_default_11"
"111","1","15311","-213","2","0","5","-108","201","15311002","wac_default_12"
"21","21","15311","1","1","","31","0","0","15311003",""
"54","54","15311","1","0","","31","0","0","15311004",""
"11","11","15311","1","0","","31","0","0","15311005",""
"501","501","15311","1","1","","31","0","0","15311006",""
"wac_paint_11","104511","15311","0","0.2","","3","","0","15311007",""
"wac_paint_12","111","15311","0","0.2","","3","","0","15311008",""
"0","0.3","15311","","","","93","","","15311009",""
"1","11","15311","","","","32","","","15311010",""
"se_10035700_roller","se_10035700","15311","","","","23","","0","15311011",""
"300","104511","15311","","","","13","","","15311012",""
"","1","15311","","","","131","","","15311013",""
"wac_talk_wish_in","104511","15312","1","0.2","","3","wac_talk_wish_loop","0","15312001",""
"wac_no_items","111","15312","","0.2","","3","","1","15312002",""
"200","104511","15312","","","","2","0","-340","15312003",""
"200","111","15312","","","","2","0","-340","15312004",""
"0","21","15312","","","","32","","","15312005",""
"1","54","15312","","","","32","","","15312006",""
"0","11","15312","","","","32","","","15312007",""
"vo_wac_220717_000","vo_wac_220717","15312","","","","21","0","0","15312008",""
"ぐふふ……じ、自分の絵を\n大勢の人に見られるの……\n癖になってきちゃいました……♪","104511","15312","1","0","0","11","1","10","15312009","0.5"
"","0","15312","","","","91","","","15312010",""
"vo_wac_220717_001","vo_wac_220717","15312","","","","21","0","0","15312011",""
"あぁ、今この瞬間も……たくさんの\n目がクウカを舐めるように……！\nそんなに見られたら……体から\nいろいろなものが出ちゃいます～！","104511","15312","1","0","0","11","1","10","15312012","0.5"
"","0","15312","","","","91","","","15312013",""
"0","0","15312","","","","22","","","15312014",""
"wac_idle_wish","104511","15313","","0.2","","3","","1","15313001",""
"wac_no_items","111","15313","","0.2","","3","","1","15313002",""
"200","104511","15313","","","","2","0","-340","15313003",""
"200","111","15313","","","","2","0","-340","15313004",""
"0","21","15313","","","","32","","","15313005",""
"1","54","15313","","","","32","","","15313006",""
"0","11","15313","","","","32","","","15313007",""
"","0","15313","","","","91","","","15313008",""
"105311","1","15411","-213","2","0","1","-108","202","15411001","wac_default_11"
"111","1","15411","-213","2","0","5","-108","201","15411002","wac_default_13"
"21","21","15411","1","1","","31","0","0","15411003",""
"54","54","15411","1","0","","31","0","0","15411004",""
"11","11","15411","1","0","","31","0","0","15411005",""
"501","501","15411","1","1","","31","0","0","15411006",""
"wac_paint_11","105311","15411","0","0.2","","3","","0","15411007",""
"wac_paint_13","111","15411","0","0.2","","3","","0","15411008",""
"0","0.3","15411","","","","93","","","15411009",""
"1","11","15411","","","","32","","","15411010",""
"se_10035700_roller","se_10035700","15411","","","","23","","0","15411011",""
"300","105311","15411","","","","13","","","15411012",""
"","1","15411","","","","131","","","15411013",""
"wac_talk_smile_in","105311","15412","1","0.2","","3","wac_talk_smile_loop","0","15412001",""
"wac_no_items","111","15412","","0.2","","3","","1","15412002",""
"200","105311","15412","","","","2","0","-340","15412003",""
"200","111","15412","","","","2","0","-340","15412004",""
"0","21","15412","","","","32","","","15412005",""
"1","54","15412","","","","32","","","15412006",""
"0","11","15412","","","","32","","","15412007",""
"vo_wac_220718_000","vo_wac_220718","15412","","","","21","0","0","15412008",""
"またしても傑作の完成だ！\nギルドの長たるもの、やはり\n芸術にも精通していなくてはな！","105311","15412","1","0","0","11","1","10","15412009","0.5"
"","0","15412","","","","91","","","15412010",""
"vo_wac_220718_001","vo_wac_220718","15412","","","","21","0","0","15412011",""
"この完成度を見れば\n我がギルドの評判も多少はマシに……\nいや！　大いに向上するはずだ！\nふふ、楽しみだな！","105311","15412","1","0","0","11","1","10","15412012","0.5"
"","0","15412","","","","91","","","15412013",""
"0","0","15412","","","","22","","","15412014",""
"wac_idle_smile","105311","15413","","0.2","","3","","1","15413001",""
"wac_no_items","111","15413","","0.2","","3","","1","15413002",""
"200","105311","15413","","","","2","0","-340","15413003",""
"200","111","15413","","","","2","0","-340","15413004",""
"0","21","15413","","","","32","","","15413005",""
"1","54","15413","","","","32","","","15413006",""
"0","11","15413","","","","32","","","15413007",""
"","0","15413","","","","91","","","15413008",""
"101011","1","15511","-325","2","0","1","-108","202","15511001","wac_default_bot_21"
"111","1","15511","-325","2","0","5","-108","201","15511002","wac_default_bot_26"
"56","56","15511","1","1","","31","0","0","15511003",""
"54","54","15511","1","0","","31","0","0","15511004",""
"13","13","15511","1","0","","31","0","0","15511005",""
"501","501","15511","1","1","","31","0","0","15511006",""
"wac_paint_bot_21","101011","15511","0","0.2","","3","","0","15511007",""
"wac_paint_bot_26","111","15511","0","0.2","","3","","0","15511008",""
"0","0","15511","","","","93","","","15511009",""
"1","13","15511","","","","32","","","15511010",""
"se_sys_login_birthday_calendar_brush","se_common","15511","","","","23","","0","15511011",""
"300","101011","15511","","","","13","","","15511012",""
"","1","15511","","","","131","","","15511013",""
"wac_talk_smile_in","101011","15512","1","0.2","","3","wac_talk_smile_loop","0","15512001",""
"wac_no_items","111","15512","","0.2","","3","","1","15512002",""
"200","101011","15512","","","","2","0","-340","15512003",""
"200","111","15512","","","","2","0","-340","15512004",""
"0","56","15512","","","","32","","","15512005",""
"1","54","15512","","","","32","","","15512006",""
"0","13","15512","","","","32","","","15512007",""
"vo_wac_220719_000","vo_wac_220719","15512","","","","21","0","0","15512008",""
"ううん、ええ出来栄えやわぁ～\nやっぱり色塗りは尻尾でしたほうが、\n味のある色合いになりますなぁ。\n不思議なもんやわぁ♪","101011","15512","1","0","0","11","1","10","15512009","0.5"
"","0","15512","","","","91","","","15512010",""
"vo_wac_220719_001","vo_wac_220719","15512","","","","21","0","0","15512011",""
"いっそ尻尾だけで\n描いてみてもええかもやねえ。\nふふ、物は試しどす。\n早速次からやってみましょか♪","101011","15512","1","0","0","11","1","10","15512012","0.5"
"","0","15512","","","","91","","","15512013",""
"0","0","15512","","","","22","","","15512014",""
"wac_idle_smile","101011","15513","","0.2","","3","","1","15513001",""
"wac_no_items","111","15513","","0.2","","3","","1","15513002",""
"200","101011","15513","","","","2","0","-340","15513003",""
"200","111","15513","","","","2","0","-340","15513004",""
"0","56","15513","","","","32","","","15513005",""
"1","54","15513","","","","32","","","15513006",""
"0","13","15513","","","","32","","","15513007",""
"","0","15513","","","","91","","","15513008",""
"104311","1","15611","-325","2","0","1","-108","202","15611001","wac_default_bot_21"
"111","1","15611","-325","2","0","5","-108","201","15611002","wac_default_bot_26"
"56","56","15611","1","1","","31","0","0","15611003",""
"54","54","15611","1","0","","31","0","0","15611004",""
"13","13","15611","1","0","","31","0","0","15611005",""
"501","501","15611","1","1","","31","0","0","15611006",""
"wac_paint_bot_21","104311","15611","0","0.2","","3","","0","15611007",""
"wac_paint_bot_26","111","15611","0","0.2","","3","","0","15611008",""
"0","0","15611","","","","93","","","15611009",""
"1","13","15611","","","","32","","","15611010",""
"se_sys_login_birthday_calendar_brush","se_common","15611","","","","23","","0","15611011",""
"300","104311","15611","","","","13","","","15611012",""
"","1","15611","","","","131","","","15611013",""
"wac_talk_sad_in","104311","15612","1","0.2","","3","wac_talk_sad_loop","0","15612001",""
"wac_no_items","111","15612","","0.2","","3","","1","15612002",""
"200","104311","15612","","","","2","0","-340","15612003",""
"200","111","15612","","","","2","0","-340","15612004",""
"0","56","15612","","","","32","","","15612005",""
"1","54","15612","","","","32","","","15612006",""
