59e08fdfddc62ca2787a6fed62d5002f177f2998e08cd7853ac17558c5a19588,02a641e79fa8fefa5db680237692fa29364f3ed067ca2ec2c240f7d2131fdf87,e0a4e06e634c1b8476012c2f3abb0b2b7ce5910808b3fbb8b6c0bfd1525ad556,7f22ce9c1c1a68c15da0f244eb1aae78f79a02d243fb077fa530ca60601d8c8d,29b957e873c875864013e27e76b096c061d0d9a1fd9967f07d7740bb13ef6bbf,1258f41e45bfc9fdf99b7f64af564449ccd7541359d414d42de7f69b17116bf1,71a2f77f38eaf0e896d274650abfe272a4cbe12d1d93fad921e479884c09bce7,6064c024010391882d36067e3d2acdc5a384effb1e8a78f5c728c19c4aa26054,91b0f41e218495d9d8ab910f658a3ac312cb8259a68e4c6f88e24c3ea48953da,b9601274e33c2c8076db84d607126f657071fc5fba36aee3e5e6170930cd9413,a5251edab99f0beccb0459e5cfce8f1e75b55dc67824de0159f52f24cd053683,a3e0ac4b0617425e0ca216dce42bfc61d5816c68a09ea671bb1e846b97b4e36c,f70fde646819b358d920a3cdc99b7dfe75e2938ec860980dfcb9e6858251786c
"断崖を超え　山麓を進み","20","154","154","2020-11-21 15:00:00","","-1","","1000","","","","だんがいをこえさんろくをすすみ"
"デビュタント・シャングリ・ラ　聖夜のラブゲーム","20","155","155","2020-12-21 15:00:00","","-1","","1000","","","","でびゅたんとしゃんぐりらせいやのらぶげーむ"
"ドミネイテッドスノーマン","20","156","156","2020-12-21 15:00:00","","-1","","1000","","","","どみねいてっどすのーまん"
"Holy Passion Roses","20","157","157","2020-12-21 15:00:00","","-1","","1500","A2002026608/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-20/1554428411?app=itunes","ほーりーぱっしょんろーぜず"
"新春グルメプリンセス！　一投にかけた乙女たち","20","158","158","2021-01-22 15:00:00","","-1","","1000","","","","しんしゅんぐるめぷりんせすいっとうにかけたおとめたち"
"グレートトゥンヌス","20","159","159","2021-01-22 15:00:00","","-1","","1000","","","","ぐれーととぅんぬす"
"Brand New Sunrise","20","160","160","2021-01-22 15:00:00","","-1","","1500","A2002026608/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-20/1554428411?app=itunes","ぶらんにゅーさんらいず"
"かけがえのない日常","20","161","161","2021-02-15 15:00:00","","-1","","1000","","","","かけがえのないにちじょう"
"離別と決意","20","162","162","2021-02-15 15:00:00","","-1","","1000","","","","りべつとけつい"
"黒風の精霊","20","163","163","2021-02-15 15:00:00","","-1","","1000","","","","くろかぜのせいれい"
"心想い ～ココロオモイ～","20","164","164","2021-02-15 15:00:00","","-1","","1500","A2001452543/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-lost-princess-%E3%82%88%E3%81%86%E3%81%93%E3%81%9D%E7%BE%8E%E9%A3%9F%E6%AE%BF%E3%81%B8/1458052782?app=itunes","こころおもい"
"シンデレラレッスン　華やかなる日々はリンゴの味","20","165","165","2021-03-16 15:00:00","","-1","","1000","","","","しんでれられっすんはなやかなるひびはりんごのあじ"
"魔物の姫","20","166","166","2021-03-16 15:00:00","","-1","","1000","","","","まもののひめ"
"恋キラリマジック☆彡","18","167","167","2021-03-16 15:00:00","","-1","","1500","A2002166099/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-21/1566820975?app=itunes","こいきらりまじっく"
"鋼の聖女と聖なる学舎の異端児","20","168","168","2021-04-15 15:00:00","","-1","","1000","","","","はがねのまりあとせいなるがくしゃのりせえんぬ"
"名もなき芸術","20","169","169","2021-04-15 15:00:00","","-1","","1000","","","","なもなきげいじゅつ"
"無敵ドリーミング","20","170","170","2021-04-15 15:00:00","","-1","","1500","A2002166099/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-21/1566820975?app=itunes","むてきどりーみんぐ"
"イノリＳＯＳ！！　タイムトラベル・ドラゴンズ","20","171","171","2021-05-15 15:00:00","","-1","","1000","","","","いのりえすおーえすたいむとらべるどらごんず"
"バースト・タイムラーベ","20","172","172","2021-05-15 15:00:00","","-1","","1000","","","","ばーすとたいむらーべ"
"Seize The Day！","20","173","173","2021-05-15 15:00:00","","-1","","1500","A2002315260/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-22/1577510950?app=itunes","しーずざでい"
"以心電心！アオイ トイ フレンズ","20","174","174","2021-06-16 15:00:00","","-1","","1000","","","","いしんでんしんあおいといふれんず"
"究極玩具王 メガトイキング","20","175","175","2021-06-16 15:00:00","","-1","","1000","","","","きゅうきょくがんぐおうめがといきんぐ"
"ぼっちのためのトモダチ行進曲","20","176","176","2021-06-16 15:00:00","","-1","","1500","A2002315260/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-22/1577510950?app=itunes","ぼっちのためのともだちまーち"
"砂塵舞う中で","20","177","177","2021-06-16 15:00:00","","-1","","1000","","","","さじんまうなかで"
"エンドレスサマープロデュース　真夏のふたり占めパラダイス","20","178","178","2021-07-15 15:00:00","","-1","","1000","","","","えんどれすさまーぷろでゅーすまなつのふたりじめぱらだいす"
"夏休みの宿題","20","179","179","2021-07-15 15:00:00","","-1","","1000","","","","なつやすみのしゅくだい"
"Only Only You","20","180","180","2021-07-15 15:00:00","","-1","","1500","A2002426296/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-23/1587651257?app=itunes","おんりーおんりーおんりーゆー"
"カルミナサマーライブ　ジャスト ア モーメント！","20","181","181","2021-08-15 15:00:00","","-1","","1000","","","","かるみなさまーらいぶじゃすとあもーめんと"
"クイーンウタクラゲ","20","182","182","2021-08-15 15:00:00","","-1","","1000","","","","くいーんうたくらげ"
"ジャストアモーメント！","20","183","183","2021-08-15 15:00:00","","-1","","1500","A2002426296/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-23/1587651257?app=itunes","じゃすとあもーめんと"
"Shining Future （Battle Arrange Ver.）","20","184","184","2021-08-15 15:00:00","","-1","","1500","","","","しゃいにんぐふゅーちゃーばとるあれんじばーじょん"
"イリーガルオーエドカルテ　Dr.ミツキの診察室","20","185","185","2021-09-15 15:00:00","","-1","","1000","","","","いりーがるおーえどかるてどくたーみつきのしんさつしつ"
"ドクターギグル","20","186","186","2021-09-15 15:00:00","","-1","","1000","","","","どくたーぎぐる"
"Narcistration♡","20","187","187","2021-09-15 15:00:00","","-1","","1500","A2002546851/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-24/1596344696?app=itunes","なるしすとれいしょん"
"レギオンウォー","20","188","188","2021-09-15 15:00:00","","2109007","","1000","","","","れぎおんうぉー"
"VSレイジレギオン　アゾールドとの戦い","20","189","189","2021-09-15 15:00:00","","2109007","","1000","","","","ぶいえすれいじれぎおんあぞーるどとのたたかい"
"VSレイジレギオン　カリザとの戦い","20","190","190","2021-09-15 15:00:00","","2109007","","1000","","","","ぶいえすれいじれぎおんかりざとのたたかい"
"VSレイジレギオン　ゼーンとの戦い","20","191","191","2021-09-15 15:00:00","","2109007","","1000","","","","ぶいえすれいじれぎおんぜーんとのたたかい"
"VSレイジレギオン　ミソラとの戦い","20","192","192","2021-09-15 15:00:00","","2109007","","1000","","","","ぶいえすれいじれぎおんみそらとのたたかい"
"VSレイジレギオン　ランファとの戦い","20","193","193","2021-09-15 15:00:00","","2109007","","1000","","","","ぶいえすれいじれぎおんらんふぁとのたたかい"
"ハロウィンセイバーズ・スクランブル！　もふもふ捕獲大作戦","20","194","194","2021-10-15 15:00:00","","-1","","1000","","","","はろうぃんせいばーずすくらんぶるもふもふほかくだいさくせん"
"哀暴のわたあめちゃん","20","195","195","2021-10-15 15:00:00","","-1","","1000","","","","あいぼうのわたあめちゃん"
"Halloween Monster Jam ！！！","20","196","196","2021-10-15 15:00:00","","-1","","1500","A2002546851/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-24/1596344696?app=itunes","はろうぃんもんすたーじゃむ"
"魔法少女外伝　マジカル★ノワールズ！","20","197","197","2021-11-15 15:00:00","","-1","","1000","","","","まほうしょうじょがいでんまじかるのわーるず"
"アンチビースト・トリニティ","20","198","198","2021-11-15 15:00:00","","-1","","1000","","","","あんちびーすととりにてぃ"
"GREEDY LOVE","20","199","199","2021-11-15 15:00:00","","-1","","1500","A2002645259/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-25/1605736665?app=itunes","ぐりーでぃらぶ"
"メリープリンクリスマス！　空舞う少女とまごころのお菓子","20","200","200","2021-12-15 15:00:00","","-1","","1000","","","","めりーぷりんくりすますそらまうしょうじょとまごころのおかし"
"ひとりぼっちの聖夜の妖精","20","201","201","2021-12-15 15:00:00","","-1","","1000","","","","ひとりぼっちのせいやのようせい"
"ミヤコ's キッチン　究極への道","20","202","202","2021-12-15 15:00:00","","-1","","1000","","","","みやこずきっちんきゅうきょくへのみち"
"ぷりん・あ・ら・くりすますなの！","20","203","203","2021-12-15 15:00:00","","-1","","1500","A2002645259/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-25/1605736665?app=itunes","ぷりんあらくりすますなの"
"新春美食メモリーズ　シェフィのおつかい大作戦！","20","204","204","2022-01-15 15:00:00","","-1","","1000","","","","しんしゅんびしょくめもりーずしぇふぃのおつかいだいさくせん"
"邪牛神モーモン","20","205","205","2022-01-15 15:00:00","","-1","","1000","","","","じゃぎゅうしんもーもん"
"Ice Wings","20","206","206","2022-01-15 15:00:00","","-1","","1500","A2002744778/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-26-ep/1614378087?app=itunes","あいすういんぐす"
"手がかりを探して","20","207","207","2022-02-15 15:00:00","","-1","","1000","","","","てがかりをさがして"
"みんなが過ごす世界へ","20","208","208","2022-02-15 15:00:00","","-1","","1000","","","","みんながすごすせかいへ"
"オーバーロードフォース","20","209","209","2022-02-15 15:00:00","","-1","","1000","","","","おーばーろーどふぉーす"
"Asymmetric World","20","210","210","2022-02-15 15:00:00","","-1","","1500","A2002744778/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-26-ep/1614378087?app=itunes","あしんめとっりくわーるど"
"みんなの想い","20","211","211","2022-02-15 15:00:00","","-1","","1000","","","","みんなのおもい"
"スイート・タイニー・ステージ！　駆け出し女優とリトルレディ","20","212","212","2022-03-15 15:00:00","","-1","","1000","","","","すいーとたいにーすてーじかけだしじょゆうとりとるれでぃ"
"讐鼠・怒髪天のチュウジ","20","213","213","2022-03-15 15:00:00","","-1","","1000","","","","あだねずみどはつてんのちゅうじ"
"Happy Anniv. スペシャル ランドソルクイズコネクト！","20","214","214","2022-03-15 15:00:00","","-1","","1000","","","","はっぴーあにばーさりーすぺしゃるらんどそるくいずこねくと"
"シンキングタイム！","20","215","215","2022-03-15 15:00:00","","-1","","1000","","","","しんきんぐたいむ"
"ミュージカルが聴こえる？","20","216","216","2022-03-15 15:00:00","","-1","","1500","A2002850421/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-27-ep/1625225992?app=itunes","みゅーじかるがきこえる"
"Crossing Truth","20","217","217","2022-03-15 15:00:00","","2109012","","1500","A2002696929/","","https://music.apple.com/jp/album/princess-connect-re-dive-character-song-album-vol-3/1609864796?app=itunes","くろっしんぐとぅるーす"
"お宝頂戴！　インビジブル・スティーラーズ","20","218","218","2022-04-15 15:00:00","","-1","","1000","","","","おたからちょうだいいんびじぶるすてぃーらーず"
"大慾暴君・カジノ王","20","219","219","2022-04-15 15:00:00","","-1","","1000","","","","たいよくぼうくんかじのおう"
"Secret Longing","20","220","220","2022-04-15 15:00:00","","-1","","1500","A2002850421/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-27-ep/1625225992?app=itunes","しーくれっとろんぎんぐ"
"エピソード・オブ・パイレーツ　海賊島の呪われし遺宝","20","221","221","2022-05-15 15:00:00","","-1","","1000","","","","えぴそーどおぶぱいれーつかいぞくじまののろわれしいほう"
"解放されし財宝の守護者","20","222","222","2022-05-15 15:00:00","","-1","","1000","","","","かいほうされしざいほうのしゅごしゃ"
"無敵のパイレーツ","20","223","223","2022-05-15 15:00:00","","-1","","1500","A2002984656/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-28/1635909695?app=itunes","むてきのぱいれーつ"
"荘厳なる熱砂","20","224","224","2022-05-15 15:00:00","","-1","","1000","","","","そうごんなるねっさ"
"エンジョイ＆リフレッシュ！　でこぼこガールズ・キャンプ","20","225","225","2022-06-15 15:00:00","","-1","","1000","","","","えんじょいあんどりふれっしゅでこぼこがーるずきゃんぷ"
"アストライアタケモドキ","20","226","226","2022-06-15 15:00:00","","-1","","1000","","","","あすとらいあたけもどき"
"さん！シャインPARTY","20","227","227","2022-06-15 15:00:00","","-1","","1500","A2002984656/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-28/1635909695?app=itunes","さんしゃいんぱーてぃ"
"いざ行かん、霊妙なる森の奥へと","20","228","228","2022-06-15 15:00:00","","-1","","1000","","","","いざゆかんれいみょうなるもりのおくへと"
"トゥインクルサマーゲーム　夏海にきらめく三つの想い","20","229","229","2022-07-15 15:00:00","","-1","","1000","","","","とぅいんくるさまーげーむなつうみにきらめくみっつのおもい"
"海将タツノココマンダー","20","230","230","2022-07-15 15:00:00","","-1","","1000","","","","かいしょうたつのここまんだー"
"Secret Star","20","231","231","2022-07-15 15:00:00","","-1","","1500","A2003073369/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-29/1644049661?app=itunes","しーくれっとすたー"
"駆けろ常夏！アルティメットビーチフラッグス","20","232","232","2022-07-15 15:00:00","","-1","","1000","","","","かけろとこなつあるてぃめっとびーちふらっぐす"
"リトル・サマー・メモリーズ　渚でみつけた小さな幸せ","20","233","233","2022-08-15 15:00:00","","-1","","1000","","","","りとるさまーめもりーずなぎさでみつけたちいさなしあわせ"
"ムーンレイゲート","20","234","234","2022-08-15 15:00:00","","-1","","1000","","","","むーんれいげーと"
"わくわくSUMMER TIME！","20","235","235","2022-08-15 15:00:00","","-1","","1500","A2003073369/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-29/1644049661?app=itunes","わくわくさまーたいむ"
"みゅ～ちゃんすくすく日記","20","236","236","2022-08-15 15:00:00","","-1","","1000","","","","みゅーちゃんすくすくにっき"
"マホマホ・ミラクル・ジャーニー！　旅する少女と最果ての大樹","20","237","237","2022-09-15 15:00:00","","-1","","1000","","","","まほまほみらくるじゃーにーたびするしょうじょとさいはてのたいじゅ"
"哀執のバロメッツ","20","238","238","2022-09-15 15:00:00","","-1","","1000","","","","あいしつのばろめっつ"
"はんなり乙女道中","20","239","239","2022-09-15 15:00:00","","-1","","1500","A2003192847/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-30/1656635604?app=itunes","はんなりおとめどうちゅう"
"ファボ！ラブ！大集合！　至高の祭典と少女の秘めた推し事","20","240","240","2022-10-15 15:00:00","","-1","","1000","","","","ふぁぼらぶだいしゅうごうしこうのさいてんとしょうじょのひめたおしごと"
"狂乱の配信者・カガミ","20","241","241","2022-10-15 15:00:00","","-1","","1000","","","","きょうらんのはいしんしゃかがみ"
"O-TA-O-TA WORLD","20","242","242","2022-10-15 15:00:00","","-1","","1500","A2003192847/","","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-30/1656635604?app=itunes","おたおたわーるど"
"トライバルスピリッツ　掲げる剣と誇りの架け橋","20","243","243","2022-11-15 15:00:00","","-1","","1000","","","","とらいばるすぴりっつかかげるつるぎとほこりのかけはし"
"オブシダンゴーレム","20","244","244","2022-11-15 15:00:00","","-1","","1000","","","","おぶしだんごーれむ"
"Knight's Soul","20","245","245","2022-11-15 15:00:00","","-1","","1500","A2003240157/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-31/1663442574?app=itunes","ないつそうる"
"ハッピー・ハプニング　幸せの双子天使と聖夜の贈り物","20","246","246","2022-12-15 15:00:00","","-1","","1000","","","","はっぴーはぷにんぐしあわせのふたごてんしとせいやのおくりもの"
"アンハッピートレント","20","247","247","2022-12-15 15:00:00","","-1","","1000","","","","あんはっぴーとれんと"
"はつゆきツインアプローチ","20","248","248","2022-12-15 15:00:00","","-1","","1500","A2003240157/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-31/1663442574?app=itunes","はつゆきついんあぷろーち"
"湯けむり忘年奇譚　初日の出に盃を","20","249","249","2023-01-15 15:00:00","","-1","","1000","","","","ゆけむりぼうねんきたんはつひのでにさかずきを"
"穢れし湯ノ神・陽卵","20","250","250","2023-01-15 15:00:00","","-1","","1000","","","","けがれしゆのかみようらん"
"ma.sa.yu.me.","20","251","251","2023-01-15 15:00:00","","-1","","1500","A2003398337/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-32-ep/1679183184?app=itunes","まさゆめ"
"新春日替わり湯","20","252","252","2023-01-15 15:00:00","","-1","","1000","","","","しんしゅんひがわりゆ"
"終炎のエリュシオン","20","253","253","2023-01-15 15:00:00","","2116007","","1000","","","","しゅうえんのえりゅしおん"
"甦りし脅威たち","20","254","254","2023-01-15 15:00:00","","2116007","","1000","","","","よみがえりしきょういたち"
"偽りの救済者","20","255","255","2023-01-15 15:00:00","","2116007","","1000","","","","いつわりのきゅうさいしゃ"
"終炎を司りし魔術師","20","256","256","2023-01-15 15:00:00","","2116007","","1000","","","","しゅうえんをつかさどりしまじゅつし"
"理外の力を求めし者","20","257","257","2023-01-15 15:00:00","","2116007","","1000","","","","りがいのちからをもとめしもの"
"希望を夢見る楽園","20","258","258","2023-02-15 15:00:00","","-1","","1000","","","","きぼうをゆめみるらくえん"
"不確かな未来でも","20","259","259","2023-02-15 15:00:00","","-1","","1000","","","","ふたしかなみらいでも"
"楽園の守護者","20","260","260","2023-02-15 15:00:00","","-1","","1000","","","","らくえんのしゅごしゃ"
"久遠の園を象る者","20","261","261","2023-02-15 15:00:00","","-1","","1000","","","","くおんのそのをかたどるもの"
"ネバールーズアゲイン","20","262","262","2023-02-15 15:00:00","","-1","","1500","A2003398337/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-32-ep/1679183184?app=itunes","ねばーるーずあげいん"
"猫と駄菓子の喫茶店　カフェ・ナッシュカッツェにようこそ","20","263","263","2023-03-15 15:00:00","","-1","","1000","","","","ねことだがしのきっさてんかふぇなっしゅかっつぇにようこそ"
"願福寄災の招き猫","20","264","264","2023-03-15 15:00:00","","-1","","1000","","","","がんぷくきさいのまねきねこ"
"にゃんだフルスウィング","20","265","265","2023-03-15 15:00:00","","-1","","1500","A2003506491/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-33-ep/1688146794?app=itunes","にゃんだふるすうぃんぐ"
"Dears　おかえりとただいまの約束","20","266","266","2023-04-15 15:00:00","","-1","","1000","","","","でぃあーずおかえりとただいまのやくそく"
"ダイオウショウジョウ","20","267","267","2023-04-15 15:00:00","","-1","","1000","","","","だいおうしょうじょう"
"私色STORY","20","268","268","2023-04-15 15:00:00","","-1","","1500","A2003506491/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-33-ep/1688146794?app=itunes","わたしいろすとーりー"
"魔物生態報告書","20","269","269","2023-04-15 15:00:00","","-1","","1000","","","","まものせいたいほうこくしょ"
"万華色めく新天地","20","270","270","2023-04-15 15:00:00","","-1","","1000","","","","ばんかいろめくしんてんち"
"ジオ・テオゴニアの戦い","20","271","271","2023-04-15 15:00:00","","-1","","1000","","","","じおておごにあのたたかい"
"コネクト・ウィズ・ブルー　少女が空に至るまで","20","272","272","2023-05-15 15:00:00","","-1","","1000","","","","こねくとうぃずぶるーしょうじょがそらにいたるまで"
"叡智の錬金術師・モーヴ","20","273","273","2023-05-15 15:00:00","","-1","","1000","","","","えいちのれんきんじゅつしもーぶ"
"ツバサのプロローグ","20","274","274","2023-05-15 15:00:00","","-1","","1500","A2003649511/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-34-ep/1698958405?app=itunes","つばさのぷろろーぐ"
"ランドソル一期一会","20","275","275","2023-05-15 15:00:00","","-1","","1000","","","","らんどそるいちごいちえ"
"次元断層","20","276","276","2023-05-15 15:00:00","","-1","","1000","","","","じげんだんそう"
"次元の狭間に現れし脅威","20","277","277","2023-05-15 15:00:00","","-1","","1000","","","","じげんのはざまにあらわれしきょうい"
"華麗なる世界の強敵","20","278","278","2023-05-15 15:00:00","","-1","","1000","","","","かれいなるせかいのきょうてき"
"ヴァンパイアフォークロア　夜と美の饗宴","20","279","279","2023-06-15 15:00:00","","-1","","1000","","","","ヴぁんぱいあふぉーくろあよとびのきょうえん"
"変貌せし従者・ブラド","20","280","280","2023-06-15 15:00:00","","-1","","1000","","","","へんぼうせしじゅうしゃぶらど"
"Gothical Radical † Eternal Wedding","20","281","281","2023-06-15 15:00:00","","-1","","1500","A2003743784/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-35-ep/1706771993?app=itunes","ごしかるらでぃかるえたーなるうぇでぃんぐ"
"ユキの審美会","20","282","282","2023-06-15 15:00:00","","-1","","1000","","","","ゆきのしんびかい"
"プリンセス・ファイト☆","20","283","283","2023-06-15 15:00:00","","-1","","1000","","","","ぷりんせすふぁいと"
"エルピス島の戦い","20","284","284","2023-06-15 15:00:00","","-1","","1000","","","","えるぴすとうのたたかい"
"オーマの水からっぽ大作戦　秘密主義者と禁断の海","20","285","285","2023-07-15 15:00:00","","-1","","1000","","","","おーまのみずからっぽだいさくせんひみつしゅぎしゃとたぶーのうみ"
"復活の白き島クジラ","20","286","286","2023-07-15 15:00:00","","-1","","1000","","","","ふっかつのしろきしまくじら"
"メタモル・カレイドスコープ","20","287","287","2023-07-15 15:00:00","","-1","","1500","A2003743784/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-35-ep/1706771993?app=itunes","めたもるかれいどすこーぷ"
"プリンセスの秘密","20","288","288","2023-07-15 15:00:00","","-1","","1000","","","","ぷりんせすのひみつ"
"グルメチェイサー号、出発進行！","20","289","289","2023-07-15 15:00:00","","-1","","1000","","","","ぐるめちぇいさーごうしゅっぱつしんこう"
"戦慄幽奇海岸　～サマーリゾートスリラーズ～","20","290","290","2023-08-15 15:00:00","","-1","","1000","","","","せんりつゆうきかいがんさまーりぞーとすりらーず"
"グラッジレイス","20","291","291","2023-08-15 15:00:00","","-1","","1000","","","","ぐらっじれいす"
"アイノキズナ","20","292","292","2023-08-15 15:00:00","","-1","","1500","A2003875539/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-36-ep/1715601508?app=itunes","あいのきずな"
"Precious Journey","20","293","293","2023-08-15 15:00:00","","2201005","","1500","A2003649511/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-34-ep/1698958405?app=itunes","ぷれしゃすじゃーにー"
"茜色の寄り道","20","294","294","2023-08-15 15:00:00","","2201008","","1500","A2003649511/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-34-ep/1698958405?app=itunes","あかねいろのよりみち"
"ウィザーディング・アオハル・デイズ　魔法学園と奇跡の鐘","20","295","295","2023-09-15 15:00:00","","-1","","1000","","","","うぃざーでぃんぐあおはるでいずまほうがくえんときせきのかね"
"放たれし暴魔・アルゲース","20","296","296","2023-09-15 15:00:00","","-1","","1000","","","","はなたれしぼうまあるげーす"
"その春、日記の続きから","20","297","297","2023-09-15 15:00:00","","-1","","1500","A2003875539/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-36-ep/1715601508?app=itunes","そのはるにっきのつづきから"
"ライラエル","20","298","298","2023-09-15 15:00:00","","2201007","","1000","","","","らいらえる"
"勉強の準備はできてる？","20","299","299","2023-09-15 15:00:00","","-1","","1000","","","","べんきょうのじゅんびはできてる"
"放課後エデュケーション","20","300","300","2023-09-15 15:00:00","","-1","","1000","","","","ほうかごえでゅけーしょん"
"ロマンシング・サラサリア　～砂漠の花嫁と不思議のランプ～","20","301","301","2023-10-15 15:00:00","","-1","","1000","","","","ろまんしんぐさらさりあさばくのはなよめとふしぎのらんぷ"
"カリド","20","302","302","2023-10-15 15:00:00","","-1","","1000","","","","かりど"
"Adenium","20","303","303","2023-10-15 15:00:00","","-1","","1500","A2004083137/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-37/1725451556?app=itunes","あでにうむ"
"バンディ・シスターズ","20","304","304","2023-10-15 15:00:00","","2202001","","1000","","","","ばんでぃしすたーず"
"夢幻のマリッジ・シム","20","305","305","2023-10-15 15:00:00","","-1","","1000","","","","むげんのまりっじしむ"
"魔物が！！","20","306","306","2023-10-15 15:00:00","","-1","","1000","","","","まものが"
"新天地の強敵","20","307","307","2023-10-15 15:00:00","","-1","","1000","","","","しんてんちのきょうてき"
"クリミナル ルーキー　天使たちのパラドクス","20","308","308","2023-11-15 15:00:00","","-1","","1000","","","","くりみなるるーきーてんしたちのぱらどくす"
"最終クエストです★","20","309","309","2023-11-15 15:00:00","","-1","","1000","","","","さいしゅうくえすとです"
"イリドロータス","20","310","310","2023-11-15 15:00:00","","-1","","1500","A2004083137/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-37/1725451556?app=itunes","いりどろーたす"
"旅と成長（と反省）の記録","20","311","311","2023-11-15 15:00:00","","-1","","1000","","","","たびとせいちょうとはんせいのきろく"
"アルターメイデン","20","312","312","2023-11-15 15:00:00","","2201001","","1000","","","","あるたーめいでん"
"アドベンチャー","20","313","313","2023-11-15 15:00:00","","-1","","1000","","","","あどべんちゃー"
"クライ・ベイビー・クリスマス　誰が為の幸福なる日","20","314","314","2023-12-15 15:00:00","","-1","","1000","","","","くらいべいびーくりすますたがためのこうふくなるひ"
"バジリスク・アロス","20","315","315","2023-12-15 15:00:00","","-1","","1000","","","","ばじりすくあろす"
"Christmas Blessing","20","316","316","2023-12-15 15:00:00","","-1","","1500","A2004367403/","","https://music.apple.com/jp/album/princess-connect-re-dive-priconne-character-song-38-ep/1737858842?app=itunes","くりすますぶれっしんぐ"
