f237bd64b7861b6aeb86648c2f7b33c0b0afb9c7cb5abd189abb0ee564f1a917,64e7a9b68f0c14e26b4bd8f4d005653f513605fdf39140ae6f2636a65924af86,fc02c650c8b47cc83b99fec92bf0746c2d50223d8c563fd1a8bfeb35698b74be,5eaa71cf005e06d7f4fa023193c6bec2d8491ebdb685947d49ea3cd640bd2ed7,9e8d5e3016713e796d5b6fe0eda5a0f630ea0955ce64d98fbf6983fb45a059ab,b98a9926a08beb898022a12ac2e30b975fa5636ab94dd1482a0020014d267db9,5b2bf642afe3a99edcea4158c8d3331cc54a8c4b78528ae7e9ac3b2b71cbc202,2a8a55e718dc4a0207caacc6dd81d0d496e3414481912d7056cb42c521a037aa,b1b41276e3d1d08c09b60bf4498d6ea5dc89aa76fa8e12ceb3ead59824130a53,bb932f08ca3c2b82ab7ee952adf3a92e60e049d58382628d2ea45d340492b392,154c8517d93727feb023be4a61b9d2104fe21d6933412a2255820b0e6be88558
"","1","7","10","11","","","112511","あれくらいで立ち止まる気は\nなかったからね\nウヅキもミオも、絶対立ち上がるって\n信じてたよ","1","1070046"
"","","7","","91","","","0","","","1070047"
"","","7","1","3","","0","112511","omp_idle_calm","","1070048"
"","","7","1","3","","0","112411","omp_talk_joy1","","1070049"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_007","","1070050"
"","1","7","10","11","","","112411","リンちゃん…！","1","1070051"
"","","7","","91","","","0","","","1070052"
"","","7","","4","","","112611","0","","1070053"
"","","7","1","3","","0","112411","omp_psn_20","","1070054"
"","","7","1","3","","0","112611","omp_talk_joy1","","1070055"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_008","","1070056"
"","1","7","10","11","","","112611","へへっ、しぶりんってば\nクールぶってるくせに、熱いねぇ♪\nそんなしぶりんは、しまむーと私で\nぎゅ～っとしちゃうぞ～！","1","1070057"
"","","7","","93","","","10","1","","1070058"
"","","7","1","4","","","112611","0","","1070059"
"","0","7","-205","2","","","112611","120","1","1070060"
"","0","7","-205","2","","","112411","420","1","1070061"
"0.1","omp_psn_13_loop","7","0","3","","0","112611","omp_psn_13","1","1070062"
"0.1","omp_psn_13_loop","7","0","3","","0","112411","omp_psn_13","1","1070063"
"0","omp_psn_15_loop","7","0","3","","0","112511","omp_psn_15","1","1070064"
"","","7","","93","","","1","1","","1070065"
"","omp_idle_surprise1","7","0","3","","0","105831","omp_surprise","1","1070066"
"","omp_idle_surprise1","7","0","3","","0","105931","omp_surprise","1","1070067"
"0.2","omp_idle_surprise2","7","0","3","","0","106031","omp_surprise","1","1070068"
"","","7","","91","","","1070057","","","1070069"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_009","","1070070"
"","1","7","10","11","","","112511","ちょっ、や、やめてよ…！","1","1070071"
"","","7","","91","","","0","","","1070072"
"","","7","1","4","","","105831","1","","1070073"
"","","7","1","3","","0","105831","omp_talk_joy1","","1070074"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_010","","1070075"
"","1","7","10","11","","","105831","キャルちゃん、\nわたしたちもやりましょう♪","1","1070076"
"","","7","","91","","","0","","","1070077"
"","","7","1","3","","0","105831","omp_idle_joy1","","1070078"
"","","7","1","3","","0","106031","omp_talk_tsun","","1070079"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_011","","1070080"
"","1","7","10","11","","","106031","は！？　なんでよ、イヤよ、お断りよ！\nこらっ、なんで近づいてくるのよ！？\nコロ助、助けなさいよっ！？","1","1070081"
"","","7","","93","","","4","1","","1070082"
"","","7","1","3","","0","105831","omp_walk","","1070083"
"","1","7","-205","2","","","105831","-120","1","1070084"
"","","7","","91","","","0","","","1070085"
"","","7","1","3","","0.2","105831","omp_idle_joy1","","1070086"
"","","7","","91","","","1070081","","","1070087"
"","","7","1","3","","0","105831","omp_idle_joy1","","1070088"
"","","7","1","3","","0","106031","omp_idle_tsun","","1070089"
"","","7","1","3","","0","105931","omp_talk_normal","","1070090"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_012","","1070091"
"","1","7","10","11","","","105931","キャルさま\n逃げ道はございません\n僭越ながら、わたくしも\n参加させてもらいますので…♪","1","1070092"
"","","7","","91","","","0","","","1070093"
"","0","7","-205","2","","","105831","-120","1","1070094"
"","0","7","-205","2","","","105931","-440","1","1070095"
"0.1","omp_psn_14_loop","7","0","3","","0","105831","omp_psn_14","1","1070096"
"0.1","omp_psn_14_loop","7","0","3","","0","105931","omp_psn_14","1","1070097"
"0","omp_psn_15_loop","7","0","3","","0","106031","omp_psn_15","1","1070098"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_013","","1070099"
"","1","7","10","11","","","105831","ぎゅう～♪","1","1070100"
"","","7","","91","","","0","","","1070101"
"","","7","1","3","","0","106031","omp_psn_16_loop","","1070102"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_014","","1070103"
"","1","7","10","11","","","106031","ちょっ、ふざけんなっ、おぶっ！？\nペコリーヌ、力加減！\nあたしを半分にする気！？\nちょっ、なんなのよ～っ！？","1","1070104"
"","","7","","91","","","0","","","1070105"
"","","7","1","3","","0","112611","omp_psn_13_loop","","1070106"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_015","","1070107"
"","1","7","10","11","","","112611","わー！\nキャルキャル～！","1","1070108"
"","","7","","91","","","0","","","1070109"
"","","7","1","3","","0","112611","omp_psn_13_loop","","1070110"
"","","7","1","3","","0","112411","omp_psn_13_loop","","1070111"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_016","","1070112"
"","1","7","10","11","","","112411","あはは♪\n【美食殿】のみなさんの\nスキンシップ、大胆ですねっ！","1","1070113"
"","","7","","91","","","0","","","1070114"
"","","7","1","3","","0","112411","omp_psn_13_loop","","1070115"
"","","7","1","3","","0","112511","omp_psn_15_loop","","1070116"
"","0","7","0","21","","","vo_omp_7007","vo_omp_7007_017","","1070117"
"","1","7","10","11","","","112511","大胆とかいうレベルを\n超えてる気がするんだけど…っ！？\nちょっ、やめ…ひゃああっ！","1","1070118"
"","","7","","93","","","5.5","1","","1070119"
"","","7","1","3","","0.1","112511","omp_psn_16_loop","","1070120"
"","","7","","91","","","1070118","","","1070121"
"","","7","","93","","","0.4","","","1070122"
"1","200","8","1600","1","omp_idle_normal","1.8","1","105831","-195","1080001"
"0","0","8","1500","1","omp_talk_normal","1.8","1","105931","-185","1080002"
"0","-200","8","1600","1","omp_idle_normal","1.8","1","106031","-205","1080003"
"","0","8","0","31","","1","1","1","1","1080004"
"","","8","","93","","","1","","","1080005"
"","0","8","0","21","","","vo_omp_7008","vo_omp_7008_000","","1080006"
"","1","8","10","11","","","105931","ムーサの町…初めて訪れましたが\n素敵な町でございますね","1","1080007"
"","","8","","91","","","0","","","1080008"
"","","8","1","3","","0","105931","omp_idle_normal","","1080009"
"","","8","1","3","","0","105831","omp_talk_joy1","","1080010"
"","0","8","0","21","","","vo_omp_7008","vo_omp_7008_001","","1080011"
"","1","8","10","11","","","105831","はい♪　活気もありますし\nなにより色んな特産品が美味しそうで\nやばいですね☆","1","1080012"
"","","8","","91","","","0","","","1080013"
"","","8","1","3","","0","105831","omp_idle_joy1","","1080014"
"","","8","1","3","","0","106031","omp_talk_sad","","1080015"
"","0","8","0","21","","","vo_omp_7008","vo_omp_7008_002","","1080016"
"","1","8","10","11","","","106031","はぁ。本当にあんたの頭の中は\n食べることばっかりね","1","1080017"
"","","8","","91","","","0","","","1080018"
"","","8","1","3","","0","106031","omp_idle_sad","","1080019"
"","","8","1","3","","0","105931","omp_talk_normal","","1080020"
"","0","8","0","21","","","vo_omp_7008","vo_omp_7008_003","","1080021"
"","1","8","10","11","","","105931","ふふ、ではこの後\n食べ歩きをいたしませんか？\nわたくし、お腹が空いてしまいました","1","1080022"
"","","8","","91","","","0","","","1080023"
"","","8","1","3","","0","105931","omp_idle_normal","","1080024"
"","","8","1","3","","0","106031","omp_talk_surprise1","","1080025"
"","0","8","0","21","","","vo_omp_7008","vo_omp_7008_004","","1080026"
"","1","8","10","11","","","106031","コロ助まで！？","1","1080027"
"","","8","","91","","","0","","","1080028"
"","","8","1","3","","0","106031","omp_idle_surprise1","","1080029"
"","","8","1","3","","0","105831","omp_talk_normal","","1080030"
"","0","8","0","21","","","vo_omp_7008","vo_omp_7008_005","","1080031"
"","1","8","10","11","","","105831","キャルちゃんはどうしますか～？","1","1080032"
"","","8","","91","","","0","","","1080033"
"","","8","","4","","","105931","1","","1080034"
"","","8","1","3","","0","105831","omp_idle_normal","","1080035"
"","","8","1","3","","0","106031","omp_talk_tsun","","1080036"
"","0","8","0","21","","","vo_omp_7008","vo_omp_7008_006","","1080037"
"","1","8","10","11","","","106031","あたしだって\n美味しいもの食べたいわよ！\n…魔物料理じゃなきゃね","1","1080038"
"","","8","","91","","","0","","","1080039"
"","","8","1","3","","0","106031","omp_idle_tsun","","1080040"
"","","8","1","3","","0","105931","omp_talk_normal","","1080041"
"","0","8","0","21","","","vo_omp_7008","vo_omp_7008_007","","1080042"
"","1","8","10","11","","","105931","ふふ、わたくしたちの思いは一つ\nさすが【美食殿】でございますね♪","1","1080043"
"","","8","","91","","","0","","","1080044"
"","","8","","4","","","105931","0","","1080045"
"","","8","1","3","","0","105931","omp_idle_normal","","1080046"
"","","8","1","3","","0","105831","omp_talk_joy1","","1080047"
"","0","8","0","21","","","vo_omp_7008","vo_omp_7008_008","","1080048"
"","1","8","10","11","","","105831","えっへへ～♪\nそれじゃあ行きましょう！\nコッコロちゃん！　キャルちゃん！","1","1080049"
"","","8","","91","","","0","","","1080050"
"","","8","","93","","","0.4","","","1080051"
"1","300","9","1600","1","omp_idle_normal","1.8","1","105831","-270","1090001"
"1","450","9","1700","1","omp_idle_normal","1.8","1","105931","-285","1090002"
"1","-310","9","1600","1","omp_idle_normal","1.8","1","106031","-230","1090003"
"1","-45","9","1500","1","omp_idle_normal","1.8","1","112511","-190","1090004"
"1","65","9","1600","1","omp_idle_normal","1.8","1","112411","-240","1090005"
"1","205","9","1500","1","omp_idle_normal","1.8","1","112611","-192","1090006"
"","0","9","0","31","","1","1","1","1","1090007"
"","","9","","93","","","0.2","","","1090008"
"","","9","1","3","","0.1","112611","omp_idle_normal","","1090009"
"","","9","1","3","","0","106031","omp_talk_sad","","1090010"
"","","9","1","3","","0.1","112511","omp_idle_normal","","1090011"
"","","9","1","3","","0.1","105831","omp_idle_normal","","1090012"
"","","9","","93","","","0.1","","","1090013"
"","","9","","93","","","1","","","1090014"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_000","","1090015"
"","1","9","10","11","","","106031","ここでのことは思い出したくないわ\nなんであんなことしちゃったのかしら…\nはぁ。ほんっとサイアク！","1","1090016"
"","","9","","91","","","0","","","1090017"
"","","9","0","3","","0","106031","omp_psn_17","","1090018"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_001","","1090019"
"","1","9","10","11","","","106031","…きゃるきゃるーん\nなんて、にゃ","1","1090020"
"","","9","","93","","","2","1","","1090021"
"","","9","1","3","","0.2","106031","omp_talk_sad","","1090022"
"","","9","","91","","","1090020","","","1090023"
"","","9","1","3","","0","106031","omp_idle_sad","","1090024"
"0.2","omp_idle_joy1","9","0","3","","0","105831","omp_psn_17","1","1090025"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_002","","1090026"
"","1","9","10","11","","","105831","きゃるきゃるーん♪","1","1090027"
"","","9","","91","","","0","","","1090028"
"0.2","omp_idle_normal","9","1","3","","0","105931","omp_psn_17","1","1090029"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_003","","1090030"
"","1","9","10","11","","","105931","きゃるきゃるーん、でございますにゃ","1","1090031"
"","","9","","91","","","0","","","1090032"
"","","9","","4","","","106031","0","","1090033"
"0","omp_idle_surprise1","9","0","3","","0","106031","omp_surprise","1","1090034"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_004","","1090035"
"","1","9","10","11","","","106031","なっ、あんたたち！？\nい、今のっ、見てっ…！？","1","1090036"
"","","9","","91","","","0","","","1090037"
"0.2","omp_idle_joy1","9","1","3","","0","112611","omp_psn_17_other","1","1090038"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_005","","1090039"
"","1","9","10","11","","","112611","きゃっるきゃる～ん♪\n華麗に登場にゃ☆","1","1090040"
"","","9","","91","","","0","","","1090041"
"","","9","1","3","","0","106031","omp_talk_anger2","","1090042"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_006","","1090043"
"","1","9","10","11","","","106031","殺す！　殺すわ！\n全員まとめてぶっ殺して\nあんなことしちゃったあたしも殺すわ！\nみんな消し去ってやるわよぉ～っ！","1","1090044"
"","","9","","91","","","0","","","1090045"
"","","9","1","3","","0","106031","omp_idle_anger2","","1090046"
"","","9","1","3","","0","112411","omp_talk_sad","","1090047"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_007","","1090048"
"","1","9","10","11","","","112411","キャ、キャルちゃん。えっと、その…","1","1090049"
"","","9","","91","","","0","","","1090050"
"","","9","1","3","","0","112411","omp_idle_sad","","1090051"
"","","9","1","3","","0","112511","omp_talk_normal","","1090052"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_008","","1090053"
"","1","9","10","11","","","112511","大変だね","1","1090054"
"","","9","","91","","","0","","","1090055"
"","","9","1","3","","0","112511","omp_idle_normal","","1090056"
"","","9","1","3","","0","106031","omp_talk_tsun","","1090057"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_009","","1090058"
"","1","9","10","11","","","106031","あ、あんたたちは見逃してあげるわ…！\nでもあいつらはダメ！\nこの世から消し去らないとあたしが\n安心できないっ…！","1","1090059"
"","","9","","91","","","0","","","1090060"
"","","9","1","3","","0","106031","omp_idle_tsun","","1090061"
"","","9","1","3","","0","112511","omp_talk_normal","","1090062"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_010","","1090063"
"","1","9","10","11","","","112511","でもあれ、かわいかったと思うけど","1","1090064"
"","","9","","91","","","0","","","1090065"
"","","9","1","3","","0","112511","omp_idle_normal","","1090066"
"","","9","1","3","","0","112411","omp_talk_joy2","","1090067"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_011","","1090068"
"","1","9","10","11","","","112411","はい！　とっても素敵でした！","1","1090069"
"","","9","","91","","","0","","","1090070"
"","","9","1","3","","0","112411","omp_psn_20","","1090071"
"","","9","1","3","","0","106031","omp_talk_tsun","","1090072"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_012","","1090073"
"","1","9","10","11","","","106031","そんなのうれしくないわよ～っ！？","1","1090074"
"","","9","","91","","","0","","","1090075"
"","","9","1","3","","0","106031","omp_idle_tsun","","1090076"
"0.2","omp_idle_joy1","9","0","3","","0","105831","omp_psn_17","1","1090077"
"0.2","omp_idle_normal","9","0","3","","0","105931","omp_psn_17","1","1090078"
"0.2","omp_idle_joy1","9","0","3","","0","112611","omp_psn_17_other","1","1090079"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_013","","1090080"
"","1","9","10","11","","","105831","きゃるきゃるーん♪","1","1090081"
"","","9","","91","","","0","","","1090082"
"","","9","1","3","","0","106031","omp_talk_anger2","","1090083"
"","0","9","0","21","","","vo_omp_7009","vo_omp_7009_014","","1090084"
"","1","9","10","11","","","106031","絶対にぶっ殺す～～～～～～～！","1","1090085"
"","","9","","91","","","0","","","1090086"
"","","9","","93","","","0.4","","","1090087"
