9d62172377b316d95f6e94b445b6712b789d4c5bef230d21be3cc59268c2efa7,f372b8545cc8224c885c6646c890a773feeaa4e1cedf374e0b5402b18dae5318,f3d608b72a595c091aaed6c534d56b39d6425f78ba8cc8ee0813a073298e3110,024daeac62f66c02a6f3f329fb18044e5ac93d35006b01df82c76915144323f3,2bba1388355832f8894357cc225b6c39de9c0a81c46368a7637bf243c470189a,f6a4f5f9e6cee7033d37d8bd03b503d66ae66cdc38d64da10ea1b1fa7ec7823f,1c004dcfae142b778bd4dc1dbd16f559d2a4fdbc85a11793dc57c5a7a5a97e2c,652990a47d46dcbd5f69a5a59cbff9c002cef8b429499467507ed20ad0a9a7b8,aebbeb58aed2a3103c9ff7f90561b6fea469e0eba634591c96b525cdf2efebe7,77d8d79822eecee772880399e5f27f4ec726c5162a9211a482c34d925ae07444,7545de159cb66b4ee70c000311395b2f3f65f460e3cc1efb8f19df348d4c6390
"9","","","","","1007404","93","","1007404101","","1"
"117531","0.2","1","","","1007404","3","","1007404102","","mhp_talk_thinking"
"1007404100","","","","","1007404","91","","1007404103","","0"
"117531","0.2","1","","","1007404","3","","1007404104","","mhp_idle_thinking"
"111011","0.2","1","","","1007404","3","","1007404105","","mhp_sit_talk_anger2"
"vo_mhp_1007404","","0","","","1007404","21","0","1007404106","","vo_mhp_1016"
"111011","0","5","0","0","1007404","11","1","1007404107","0.5","むっ……なんだと、この小娘風情が！\n貴様さては理系だな？\n不愉快だ、こんなとこ二度と来るか！\nどけ、理系が伝染る！　ぺっ、ぺっ！"
"0","","","","","1007404","91","","1007404108","",""
"117531","0.2","0","0.2","1","1007404","3","mhp_idle_surprise1","1007404109","","mhp_surprise"
"111011","0.2","0","","","1007404","3","","1007404110","","mhp_yuni_sit_out_angry"
"0.5","","","","","1007404","93","","1007404111","",""
"111011","0","1","0","","1007404","12","","1007404112","","14"
"0.5","","","","","1007404","93","","1007404113","",""
"0","","","","","1007404","91","","1007404114","",""
"111011","0.2","1","","","1007404","3","","1007404115","","mhp_run_angry"
"111011","","","","","1007404","4","","1007404116","","1"
"111011","","-220","","0","1007404","2","2.5","1007404117","","-1000"
"2","","","","","1007404","93","","1007404118","","0"
"0","","","","","1007404","91","","1007404119","",""
"117531","0.2","1","","","1007404","3","","1007404120","","mhp_talk_sad"
"vo_mhp_1007404","","0","","","1007404","21","0","1007404121","","vo_mhp_1017"
"117531","0","7","0","0","1007404","11","1","1007404122","0.5","あの子……\nどんどん育ての親に似てきたわね……"
"0","","","","","1007404","91","","1007404123","",""
"0","","","","","1007404","22","","1007404124","","0"
"0","","","","","1007404","91","","1007404125","",""
"1","1.7","100","0","-240","1007405","1","-1000","1007405001","mhp_idle_normal","111011"
"1","1.7","100","1","-220","1007405","1","185","1007405002","mhp_sit_idle","117531"
"1","1.7","100","1","-200","1007405","1","365","1007405003","mhp_sit_idle","117631"
"1","1","-240","","0.85","1007405","31","-154","1007405004","","1"
"1","1.7","110","0","-220","1007405","5","-200","1007405005","NoItem","11"
"1","1.7","105","0","-220","1007405","5","-200","1007405006","NoItem","12"
"1","1.7","110","1","-220","1007405","5","185","1007405007","NoItem","21"
"1","1.7","105","1","-220","1007405","5","185","1007405008","NoItem","22"
"11","0","1","0","0","1007405","6","1","1007405009","","1"
"12","0","1","0","0","1007405","6","1","1007405010","","1"
"21","0","1","0","0","1007405","6","1","1007405011","","1"
"22","0","1","0","0","1007405","6","1","1007405012","","1"
"1","1.7","110","0","-220","1007405","5","-1000","1007405013","NoItem","31"
"0","","","","","1007405","91","","1007405014","",""
"117531","0.2","1","","","1007405","3","","1007405015","","mhp_sit_talk_normal"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405016","","vo_mhp_1101"
"117531","0","8","0","0","1007405","11","0","1007405017","0.5","ユニちゃん、どうぞー"
"0","","","","","1007405","91","","1007405018","",""
"117531","0.2","1","","","1007405","3","","1007405019","","mhp_sit_idle"
"111011","0.2","1","","","1007405","3","","1007405020","","mhp_walk"
"111011","","-220","","0","1007405","2","4","1007405021","","-200"
"31","0.2","1","","","1007405","3","","1007405022","","NoItem"
"31","","-220","","0","1007405","2","4","1007405023","","-200"
"0","","","","","1007405","91","","1007405024","",""
"111011","0.2","0","0.2","1","1007405","3","mhp_sit_idle_2","1007405025","","mhp_sit_in_2"
"1","","","","","1007405","93","","1007405026","","0"
"111011","0.2","1","","","1007405","3","","1007405027","","mhp_sit_talk_joy2"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405028","","vo_mhp_1102"
"111011","0","5","0","0","1007405","11","1","1007405029","0.5","えへへ、ユニだよ。\nミツキちゃん元気？"
"0","","","","","1007405","91","","1007405030","",""
"111011","0.2","1","","","1007405","3","","1007405031","","mhp_sit_idle_joy2"
"117531","0.2","1","","","1007405","3","","1007405032","","mhp_sit_talk_normal"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405033","","vo_mhp_1103"
"117531","0","6","0","0","1007405","11","1","1007405034","0.5","あら。\nこないだぷりぷりして帰った件は\n綺麗さっぱりなかったことにするのね。\nオーケイ、了解よ。"
"0","","","","","1007405","91","","1007405035","",""
"117531","0.2","1","","","1007405","3","","1007405036","","mhp_sit_talk_wish"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405037","","vo_mhp_1104"
"117531","0","7","0","0","1007405","11","1","1007405038","0.5","それで？\nユニちゃんは今日も\n私と雑談をしに来てくれたのかしら？"
"0","","","","","1007405","91","","1007405039","",""
"117531","0.2","1","","","1007405","3","","1007405040","","mhp_sit_idle"
"111011","0.2","1","","","1007405","3","","1007405041","","mhp_sit_talk_sad"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405042","","vo_mhp_1105"
"111011","0","5","0","0","1007405","11","1","1007405043","0.5","否。\n今日は患者として参ったのだ。\n医薬の道に長じた御身の助けを得たい。"
"0","","","","","1007405","91","","1007405044","",""
"111011","0.2","1","","","1007405","3","","1007405045","","mhp_sit_idle_sad"
"117531","0.2","1","","","1007405","3","","1007405046","","mhp_sit_talk_thinking"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405047","","vo_mhp_1106"
"117531","0","7","0","0","1007405","11","1","1007405048","0.5","あら、穏やかじゃないわね。\nいいわ、聞きましょう。どうぞ？"
"0","","","","","1007405","91","","1007405049","",""
"117531","0.2","1","","","1007405","3","","1007405050","","mhp_sit_idle"
"111011","0.2","1","","","1007405","3","","1007405051","","mhp_sit_talk_sad2"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405052","","vo_mhp_1107"
"111011","0","5","0","0","1007405","11","1","1007405053","0.5","うむ、話せば長くなるのだが、\n端的に換言すれば──眠いのだ。"
"0","","","","","1007405","91","","1007405054","",""
"111011","0.2","0","","","1007405","3","","1007405055","","mhp_yuni_sleep_in"
"31","0","0","0","1","1007405","3","NoItem","1007405056","","mhp_yuni_sleep_in"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405057","","vo_mhp_1108"
"111011","0","6","0","0","1007405","11","1","1007405058","0.5","なんか知らんがとにかく眠い。\n寝ても醒めてもひたすら眠い。\nその気になったら一生寝られる。"
"8.2","","","","","1007405","93","","1007405059","","1"
"111011","0.2","0","","","1007405","3","","1007405060","","mhp_yuni_sleep_out"
"31","0.2","0","","","1007405","3","","1007405061","","mhp_yuni_sleep_out"
"1007405058","","","","","1007405","91","","1007405062","",""
"111011","0.2","1","","","1007405","3","","1007405063","","mhp_sit_idle_sad"
"31","0.2","1","","","1007405","3","","1007405064","","NoItem_idle"
"117531","0.2","1","","","1007405","3","","1007405065","","mhp_sit_talk_thinking"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405066","","vo_mhp_1109"
"117531","0","5","0","0","1007405","11","1","1007405067","0.5","あー、そういう……はいはい。"
"0","","","","","1007405","91","","1007405068","",""
"117531","0.2","1","","","1007405","3","","1007405069","","mhp_sit_idle"
"111011","0.2","1","","","1007405","3","","1007405070","","mhp_sit_talk_sad2"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405071","","vo_mhp_1110"
"111011","0","5","0","0","1007405","11","1","1007405072","0.5","ぼくが思うに、これはおそらく\n過眠症と呼ばれる睡眠障害に違いない。\n主治医、なんか面白ポーションくれ。"
"0","","","","","1007405","91","","1007405073","",""
"111011","0.2","1","","","1007405","3","","1007405074","","mhp_sit_idle_sad2"
"ハッスルポーション","","0","","","1007405","103","","1007405075","","1007405078"
"グッスリポーション","","0","","","1007405","103","","1007405076","","1007405124"
"ハッタリポーション","","0","","","1007405","103","","1007405077","","1007405166"
"117531","0.2","0","0","1","1007405","3","mhp_idle_normal","1007405078","","mhp_sit_out"
"0.6","","","","","1007405","93","","1007405079","","0"
"111011","0.2","0","0","1","1007405","3","mhp_idle_normal","1007405080","","mhp_sit_out"
"0.2","","","","","1007405","93","","1007405081","","0"
"111011","0.2","1","","0","1007405","3","","1007405082","","mhp_walk"
"111011","","-220","","0","1007405","2","1.5","1007405083","","35"
"31","","-220","","0","1007405","2","1.5","1007405084","","35"
"11","","-220","","0","1007405","2","1.5","1007405085","","35"
"12","","-220","","0","1007405","2","1.5","1007405086","","35"
"0.3","","","","","1007405","93","","1007405087","","0"
"117531","0.2","0","0","1","1007405","3","mhp_handover_loop","1007405088","","mhp_handover_in"
"21","0","1","0","1","1007405","6","1","1007405089","","1"
"22","0","1","0","1","1007405","6","1","1007405090","","1"
"21","0.2","0","0","1","1007405","3","mhp_handover_loop","1007405091","","mhp_handover_in"
"22","0.2","0","0","1","1007405","3","mhp_item_EX0001_handover_loop","1007405092","","mhp_item_EX0001_handover_in"
"1.2","","","","","1007405","93","","1007405093","","0"
"111011","0.2","0","0","1","1007405","3","mhp_handover_receive_loop","1007405094","","mhp_handover_receive_in"
"11","0","1","0","1","1007405","6","1","1007405095","","1"
"12","0","1","0","1","1007405","6","1","1007405096","","1"
"11","0.2","0","0","1","1007405","3","mhp_receive_yuni_loop","1007405097","","mhp_receive_yuni_in"
"12","0.2","0","0","1","1007405","3","mhp_item_EX0001_receive_loop","1007405098","","mhp_item_EX0001_receive_in"
"0.6","","","","","1007405","93","","1007405099","","0"
"22","0.4","1","0","1","1007405","6","1","1007405100","","1"
"0.4","","","","","1007405","93","","1007405101","","0"
"117531","0.2","0","0","1","1007405","3","mhp_idle_normal","1007405102","","mhp_handover_out"
"21","0.2","0","0","1","1007405","3","NoItem_idle","1007405103","","mhp_handover_out"
"22","0.2","0","0","1","1007405","3","NoItem_idle","1007405104","","mhp_item_EX0001_handover_out"
"0.4","","","","","1007405","93","","1007405105","","0"
"111011","0.2","0","0","1","1007405","3","mhp_idle_normal","1007405106","","mhp_handover_receive_out"
"11","0.2","0","0","1","1007405","3","NoItem_idle","1007405107","","mhp_receive_yuni_out"
"12","0.2","0","0","1","1007405","3","NoItem_idle","1007405108","","mhp_item_EX0001_receive_out"
"2","","","","","1007405","93","","1007405109","",""
"111011","0.2","1","","","1007405","3","","1007405110","","mhp_talk_joy2"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405111","","vo_mhp_1111"
"111011","0","8","0","0","1007405","11","1","1007405112","0.5","わ～い、いつものポーションだぁ～！"
"0","","","","","1007405","91","","1007405113","",""
"111011","0.2","1","","","1007405","3","","1007405114","","mhp_idle_joy2"
"117531","0.2","1","","","1007405","3","","1007405115","","mhp_talk_worry"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405116","","vo_mhp_1112"
"117531","0","6","0","0","1007405","11","1","1007405117","0.5","分かってるのかしら、この子……\n言っとくけどソレ、応急処置よ？\nあくまで自分の体力を\n前借りするだけなんだからね？"
"0","","","","","1007405","91","","1007405118","",""
"117531","0.2","1","","","1007405","3","","1007405119","","mhp_talk_wish2"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405120","","vo_mhp_1113"
"117531","0","5","0","0","1007405","11","1","1007405121","0.5","たとえば一時間元気に活動したら、\nそのあと利子付きで\n三時間は確実にぐったりしちゃうの。\nだから用量用法は慎重に守りなさい？"
"0","","","","","1007405","91","","1007405122","",""
"1007405213","","","","","1007405","101","","1007405123","",""
"117531","0.2","0","0","1","1007405","3","mhp_idle_normal","1007405124","","mhp_sit_out"
"0.6","","","","","1007405","93","","1007405125","","0"
"111011","0.2","0","0","1","1007405","3","mhp_idle_normal","1007405126","","mhp_sit_out"
"0.2","","","","","1007405","93","","1007405127","","0"
"111011","0.2","1","","0","1007405","3","","1007405128","","mhp_walk"
"111011","","-220","","0","1007405","2","1.5","1007405129","","35"
"31","","-220","","0","1007405","2","1.5","1007405130","","35"
"11","","-220","","0","1007405","2","1.5","1007405131","","35"
"12","","-220","","0","1007405","2","1.5","1007405132","","35"
"0.3","","","","","1007405","93","","1007405133","","0"
"117531","0.2","0","0","1","1007405","3","mhp_handover_loop","1007405134","","mhp_handover_in"
"21","0","1","0","1","1007405","6","1","1007405135","","1"
"22","0","1","0","1","1007405","6","1","1007405136","","1"
"21","0.2","0","0","1","1007405","3","mhp_handover_loop","1007405137","","mhp_handover_in"
"22","0.2","0","0","1","1007405","3","mhp_item_EX0002_handover_loop","1007405138","","mhp_item_EX0002_handover_in"
"1.2","","","","","1007405","93","","1007405139","","0"
"111011","0.2","0","0","1","1007405","3","mhp_handover_receive_loop","1007405140","","mhp_handover_receive_in"
"11","0","1","0","1","1007405","6","1","1007405141","","1"
"12","0","1","0","1","1007405","6","1","1007405142","","1"
"11","0.2","0","0","1","1007405","3","mhp_receive_yuni_loop","1007405143","","mhp_receive_yuni_in"
"12","0.2","0","0","1","1007405","3","mhp_item_EX0002_receive_loop","1007405144","","mhp_item_EX0002_receive_in"
"0.6","","","","","1007405","93","","1007405145","","0"
"22","0.4","1","0","1","1007405","6","1","1007405146","","1"
"0.4","","","","","1007405","93","","1007405147","","0"
"117531","0.2","0","0","1","1007405","3","mhp_idle_normal","1007405148","","mhp_handover_out"
"21","0.2","0","0","1","1007405","3","NoItem_idle","1007405149","","mhp_handover_out"
"22","0.2","0","0","1","1007405","3","NoItem_idle","1007405150","","mhp_item_EX0002_handover_out"
"0.4","","","","","1007405","93","","1007405151","","0"
"111011","0.2","0","0","1","1007405","3","mhp_idle_normal","1007405152","","mhp_handover_receive_out"
"11","0.2","0","0","1","1007405","3","NoItem_idle","1007405153","","mhp_receive_yuni_out"
"12","0.2","0","0","1","1007405","3","NoItem_idle","1007405154","","mhp_item_EX0002_receive_out"
"2","","","","","1007405","93","","1007405155","",""
"111011","0.2","1","","","1007405","3","","1007405156","","mhp_talk_anger2"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405157","","vo_mhp_1114"
"111011","0","6","0","0","1007405","11","1","1007405158","0.5","ぐっすり……？\nおい、待て主治医。\n寝過ぎで悩む患者をさらに寝かせるとは、\n貴様、気でもちぇるったか。"
"0","","","","","1007405","91","","1007405159","",""
"111011","0.2","1","","","1007405","3","","1007405160","","mhp_idle_sad"
"117531","0.2","1","","","1007405","3","","1007405161","","mhp_talk_worry"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405162","","vo_mhp_1115"
"117531","0","6","0","0","1007405","11","1","1007405163","0.5","充分な睡眠時間を確保しているのに\n寝足りないなら、それは眠りが浅いの。\nだから逆に、眠りの質を高めなさい。"
"0","","","","","1007405","91","","1007405164","",""
"1007405213","","","","","1007405","101","","1007405165","",""
"117531","0.2","0","0","1","1007405","3","mhp_idle_normal","1007405166","","mhp_sit_out"
"0.6","","","","","1007405","93","","1007405167","","0"
"111011","0.2","0","0","1","1007405","3","mhp_idle_normal","1007405168","","mhp_sit_out"
"0.2","","","","","1007405","93","","1007405169","","0"
"111011","0.2","1","","0","1007405","3","","1007405170","","mhp_walk"
"111011","","-220","","0","1007405","2","1.5","1007405171","","35"
"31","","-220","","0","1007405","2","1.5","1007405172","","35"
"11","","-220","","0","1007405","2","1.5","1007405173","","35"
"12","","-220","","0","1007405","2","1.5","1007405174","","35"
"0.3","","","","","1007405","93","","1007405175","","0"
"117531","0.2","0","0","1","1007405","3","mhp_handover_loop","1007405176","","mhp_handover_in"
"21","0","1","0","1","1007405","6","1","1007405177","","1"
"22","0","1","0","1","1007405","6","1","1007405178","","1"
"21","0.2","0","0","1","1007405","3","mhp_handover_loop","1007405179","","mhp_handover_in"
"22","0.2","0","0","1","1007405","3","mhp_item_EX0003_handover_loop","1007405180","","mhp_item_EX0003_handover_in"
"1.2","","","","","1007405","93","","1007405181","","0"
"111011","0.2","0","0","1","1007405","3","mhp_handover_receive_loop","1007405182","","mhp_handover_receive_in"
"11","0","1","0","1","1007405","6","1","1007405183","","1"
"12","0","1","0","1","1007405","6","1","1007405184","","1"
"11","0.2","0","0","1","1007405","3","mhp_receive_yuni_loop","1007405185","","mhp_receive_yuni_in"
"12","0.2","0","0","1","1007405","3","mhp_item_EX0003_receive_loop","1007405186","","mhp_item_EX0003_receive_in"
"0.6","","","","","1007405","93","","1007405187","","0"
"22","0.4","1","0","1","1007405","6","1","1007405188","","1"
"0.4","","","","","1007405","93","","1007405189","","0"
"117531","0.2","0","0","1","1007405","3","mhp_idle_normal","1007405190","","mhp_handover_out"
"21","0.2","0","0","1","1007405","3","NoItem_idle","1007405191","","mhp_handover_out"
"22","0.2","0","0","1","1007405","3","NoItem_idle","1007405192","","mhp_item_EX0003_handover_out"
"0.4","","","","","1007405","93","","1007405193","","0"
"111011","0.2","0","0","1","1007405","3","mhp_idle_normal","1007405194","","mhp_handover_receive_out"
"11","0.2","0","0","1","1007405","3","NoItem_idle","1007405195","","mhp_receive_yuni_out"
"12","0.2","0","0","1","1007405","3","NoItem_idle","1007405196","","mhp_item_EX0003_receive_out"
"2","","","","","1007405","93","","1007405197","","0"
"117531","0.2","1","","","1007405","3","","1007405198","","mhp_anna_ahahaStand_loop"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405199","","vo_mhp_1116"
"117531","0","4","0","0","1007405","11","1","1007405200","0.5","ほーっほっほ、これを飲みなさい！\nこの薬学王ミツキが開発した万能薬よ！\n何でもあなたが望む効果を発揮するわ！"
"2.5","","","","","1007405","93","","1007405201","","1"
"117531","0.2","1","","","1007405","3","","1007405202","","mhp_talk_joy1"
"1007405200","","","","","1007405","91","","1007405203","",""
"117531","0.2","1","","","1007405","3","","1007405204","","mhp_idle_joy1"
"111011","0.2","1","","","1007405","3","","1007405205","","mhp_talk_surprise2"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405206","","vo_mhp_1117"
"111011","0","8","0","0","1007405","11","1","1007405207","0.5","まじで！　ミツキングすげえ！"
"0","","","","","1007405","91","","1007405208","","0"
"111011","0.2","1","","","1007405","3","","1007405209","","mhp_idle_surprise2"
"117531","0.2","1","","","1007405","3","","1007405210","","mhp_idle_thinking"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405211","","vo_mhp_1118"
"117531","0","6","0","0","1007405","11","1","1007405212","0.5","（というのはハッタリでただの偽薬よ。\nユニちゃんの病名は過眠症じゃなくて、\nただの怠け癖。薬じゃ治らないわ）"
"0","","","","","1007405","91","","1007405213","",""
"117531","0.2","1","","","1007405","3","","1007405214","","mhp_idle_normal"
"111011","0.2","1","","","1007405","3","","1007405215","","mhp_talk_wish"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405216","","vo_mhp_1119"
"111011","","6","0","0","1007405","11","1","1007405217","0.5","おお、ミツキ師かたじけない！\nよし、これでついごろごろして\n無駄に失われる時間がなくなるぞ！"
"0","","","","","1007405","91","","1007405218","",""
"111011","0.2","1","","","1007405","3","","1007405219","","mhp_idle_joy1"
"117531","0.2","1","","","1007405","3","","1007405220","","mhp_talk_sad"
"vo_mhp_1007405","","0","","","1007405","21","0","1007405221","","vo_mhp_1120"
"117531","","6","0","0","1007405","11","1","1007405222","0.5","どうかしら。\nそれは自分次第と言ったところね。\n応援してるわ、お大事に。"
"0","","","","","1007405","91","","1007405223","",""
"0","","","","","1007405","22","","1007405224","","0"
"117531","0.2","1","","","1007405","3","","1007405225","","mhp_idle_normal"
"111011","0.2","1","","0","1007405","3","","1007405226","","mhp_walk_glad"
"111011","","","","","1007405","4","","1007405227","","1"
"111011","","-220","","0","1007405","2","5","1007405228","","-1000"
"0","","","","","1007405","91","","1007405229","",""
"1","1.7","100","0","-240","1007406","1","-1000","1007406001","mhp_idle_normal","111011"
"1","1.7","100","1","-220","1007406","1","185","1007406002","mhp_sit_idle","117531"
"1","1.7","100","1","-200","1007406","1","365","1007406003","mhp_sit_idle","117631"
"1","1","-240","","0.85","1007406","31","-154","1007406004","","1"
"30","0","0","","1","1007406","31","0","1007406005","","130"
"12","0","0","","1","1007406","31","0","1007406006","","112"
"1","1.7","110","0","-220","1007406","5","-200","1007406007","NoItem","11"
"1","1.7","105","0","-220","1007406","5","-200","1007406008","NoItem","12"
"1","1.7","110","1","-220","1007406","5","185","1007406009","NoItem","21"
"1","1.7","105","1","-220","1007406","5","185","1007406010","NoItem","22"
"11","0","1","0","0","1007406","6","1","1007406011","","1"
"12","0","1","0","0","1007406","6","1","1007406012","","1"
"21","0","1","0","0","1007406","6","1","1007406013","","1"
"22","0","1","0","0","1007406","6","1","1007406014","","1"
"0","","","","","1007406","91","","1007406015","",""
"117531","0.2","1","","","1007406","3","","1007406016","","mhp_sit_talk_normal"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406017","","vo_mhp_1201"
"117531","0","8","0","0","1007406","11","0","1007406018","0.5","ユニちゃん、どうぞー"
"0","","","","","1007406","91","","1007406019","",""
"117531","0.2","1","","","1007406","3","","1007406020","","mhp_sit_idle"
"111011","0.2","1","","","1007406","3","","1007406021","","mhp_walk"
"111011","","-220","","0","1007406","2","4","1007406022","","-200"
"0","","","","","1007406","91","","1007406023","",""
"111011","0.2","0","0.2","1","1007406","3","mhp_sit_idle_2","1007406024","","mhp_sit_in_2"
"1","","","","","1007406","93","","1007406025","","0"
"111011","0.2","1","","","1007406","3","","1007406026","","mhp_sit_talk_normal"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406027","","vo_mhp_1202"
"111011","0","7","0","0","1007406","11","1","1007406028","0.5","やあミツキ師、待たせたね。\nギルドマスターのユニだよ。"
"0","","","","","1007406","91","","1007406029","",""
"111011","0.2","1","","","1007406","3","","1007406030","","mhp_sit_idle_2"
"117531","0.2","1","","","1007406","3","","1007406031","","mhp_sit_talk_thinking"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406032","","vo_mhp_1203"
"117531","0","7","0","0","1007406","11","1","1007406033","0.5","とくに待っていた覚えはないのだけど、\nまあいいわ、ようこそ私の診察室へ。"
"0","","","","","1007406","91","","1007406034","",""
"117531","0.2","1","","","1007406","3","","1007406035","","mhp_sit_talk_normal"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406036","","vo_mhp_1204"
"117531","0","5","0","0","1007406","11","1","1007406037","0.5","さて、ユニちゃん──ああ失礼、\n今は学位持ちだったわね。\nユニ博士とお呼びするべきかしら？"
"0","","","","","1007406","91","","1007406038","",""
"117531","0.2","1","","","1007406","3","","1007406039","","mhp_sit_idle"
"111011","0.2","1","","","1007406","3","","1007406040","","mhp_sit_talk_thinking2"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406041","","vo_mhp_1205"
"111011","0","6","0","0","1007406","11","1","1007406042","0.5","いや、結構。\n学院の都合で押しつけられた\n名誉学位などニックネームにも同義だ。"
"0","","","","","1007406","91","","1007406043","",""
"111011","0.2","1","","","1007406","3","","1007406044","","mhp_sit_idle_2"
"117531","0.2","1","","","1007406","3","","1007406045","","mhp_sit_talk_normal"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406046","","vo_mhp_1206"
"117531","0","6","0","0","1007406","11","1","1007406047","0.5","ふふ……聖テレサ女学院、だっけ？\n里の外にまるで興味のなかったあなたが\n今では立派な伝統校の一員だものねえ。"
"0","","","","","1007406","91","","1007406048","",""
"117531","0.2","1","","","1007406","3","","1007406049","","mhp_sit_idle"
"111011","0.2","1","","","1007406","3","","1007406050","","mhp_sit_talk_joy1"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406051","","vo_mhp_1207"
"111011","0","5","0","0","1007406","11","1","1007406052","0.5","是非もなし。\nこの脆弱な体で\n一丁前に社会生活を送れているのは、\n一重にミツキ師の助力にほかならない。"
"0","","","","","1007406","91","","1007406053","",""
"111011","0.2","1","","","1007406","3","","1007406054","","mhp_sit_talk_worry"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406055","","vo_mhp_1208"
"111011","0","6","0","0","1007406","11","1","1007406056","0.5","ぼくはいつか言おうと思っていたのだ。\n御身には深く感謝している。ぺこり。"
"5.5","","","","","1007406","93","","1007406057","","1"
"111011","0.2","0","0","1","1007406","3","mhp_sit_idle_2","1007406058","","mhp_yuni_pekori"
"1","","","","","1007406","93","","1007406059","","0"
"1007406056","","","","","1007406","91","","1007406060","",""
"111011","0.2","1","","","1007406","3","","1007406061","","mhp_sit_idle_2"
"117531","0.2","1","","","1007406","3","","1007406062","","mhp_sit_talk_memory"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406063","","vo_mhp_1209"
"117531","0","6","0","0","1007406","11","1","1007406064","0.5","や、やあねえ、急になに言ってるの！\n私はただ自分の仕事をしているだけよ。"
"0","","","","","1007406","91","","1007406065","",""
"117531","0.2","1","","","1007406","3","","1007406066","","mhp_sit_idle"
"111011","0.2","1","","","1007406","3","","1007406067","","mhp_sit_talk_sad"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406068","","vo_mhp_1210"
"111011","0","6","0","0","1007406","11","1","1007406069","0.5","さにあらず。\n里を下りて独りぼっちだったぼくを、\nミツキ師は何かにつけて構ってくれた。"
"0","","","","","1007406","91","","1007406070","",""
"111011","0.2","1","","","1007406","3","","1007406071","","mhp_sit_talk_wish"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406072","","vo_mhp_1211"
"111011","0","6","0","0","1007406","11","1","1007406073","0.5","「隻眼の悪魔」の柄ではなかろうが、\nあえて言わせてほしい。\nぼくは御身を、ランドソルにおける\n新たな家族とさえ思っているんだ。"
"0","","","","","1007406","91","","1007406074","",""
"111011","0.2","1","","","1007406","3","","1007406075","","mhp_sit_idle_wish"
"117531","0.2","1","","","1007406","3","","1007406076","","mhp_sit_talk_sad"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406077","","vo_mhp_1212"
"117531","0","8","0","0","1007406","11","1","1007406078","0.5","ユニちゃん……"
"0","","","","","1007406","91","","1007406079","",""
"117531","0.2","1","","","1007406","3","","1007406080","","mhp_sit_idle_sad"
"111011","0.2","1","","","1007406","3","","1007406081","","mhp_sit_talk_thinking2"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406082","","vo_mhp_1213"
"111011","0","5","0","0","1007406","11","1","1007406083","1","端的に換言すれば、母だ。"
"0","","","","","1007406","91","","1007406084","",""
"111011","0.2","1","","","1007406","3","","1007406085","","mhp_sit_idle_thinking2"
"117531","0.2","1","","","1007406","3","","1007406086","","mhp_sit_talk_wish2"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406087","","vo_mhp_1214"
"117531","0","8","0","0","1007406","11","1","1007406088","0.5","ユニ……ちゃん……？"
"0","","","","","1007406","91","","1007406089","",""
"117531","0.2","1","","","1007406","3","","1007406090","","mhp_sit_idle_wish2"
"111011","0.2","1","","","1007406","3","","1007406091","","mhp_sit_talk_normal"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406092","","vo_mhp_1215"
"111011","0","6","0","0","1007406","11","1","1007406093","0.5","そこでひとつ相談なのだが、\n今後は御身のことを\nママと呼ぶのはどうだろうか。"
"0","","","","","1007406","91","","1007406094","",""
"111011","0.2","1","","","1007406","3","","1007406095","","mhp_sit_idle_wish"
"117531","0.2","1","","","1007406","3","","1007406096","","mhp_sit_talk_anger2"
"vo_mhp_1007406","","0","","","1007406","21","0","1007406097","","vo_mhp_1216"
