7763627ecfeb5524f70d8893acba7c5570676af4fce5a41da638f5de746261ac,cdc75ef58916f9d50899f63179cba026a34998e51ac77a8fdaae81245aa6a606,8df9fa7af377c05867d77c345377fb4700516f8cf1bb6222388bb13a12bf8ef4,4a2e777a08e7a41b712bc0b980cc9ae4a9869b5951350f5cd13fdc6c545dda1d,caf959a5ec8b1e9ea7015ff922daf54ea875597e0bf1a9fd3df05f044d59bcbd,9fae7c6565d399a2419566aaa88cecdfc2e14a65c81c771027f3d43b5076654b,2c24f46c25694d98ce6dd25ee797b52b63ac32197b6dfa4884a1a1f76c50cd17,a20665160e3289b32fd3110fd7e1346375d7fbb806c5fa1e91ef1cf2c670cb5c,47e505b86be5d178946432827cf781823f3292e5a94369f42a1ce66b0b5641d6,aa6d6261d6a3f8fe3763ed0a581ec54018caf3e67bba917223679733ae63cb90
"0","2.125","1","","4","0","24","14","0","1140024"
"0","0","0","親切にしてくれたクラスメイトのみんなのことが思い浮かんでくる。\n\n","1","0","25","14","8","1140025"
"0","6.375","1","","4","0","26","14","0","1140026"
"vo_10011600","0","0","","2","vo_10011600_1405","27","14","0","1140027"
"0","0","0","聖テレサ女学院のみなさん、\n","1","0","28","14","8","1140028"
"0","2.875","1","","4","0","29","14","0","1140029"
"0","0","0","本当に","1","0","30","14","8","1140030"
"0","1.375","1","","4","0","31","14","0","1140031"
"0","0","0","ありがとうございました！","1","0","32","14","8","1140032"
"0","2.5","1","","4","0","33","14","0","1140033"
