c4767686b398e3b0079ac7855558b06b3c103ba950e8c3f38622c4e55303747b,da9a6f84b2d0f8ef02cc09e0ad5fafe6e68a70975d40571cad2197cea546b68a,8ca90db42e0970293e6dd59a47459b6c728326088297745ab24ebc56cfe55246,a26049f9e4c4e681d064336a354a1919dc501aa76680e13a6555ff8e4ab1108d,2993cebe8c07b2bbb469d076cfa4d4673db402a1eceba7196888bbd4f810a834,d0595a51a5b33f1e509205bfc0b43dd8960ecb6918fc3772fb2ccd65c3efc44b,89819b2cfa33c9a48e14e1ccac7e2c2d28736b9401f80429abacc2574f3f3851,85a0aabc580f2641cd39ef1cf195a0e8dd01cfca4f2c5b04d817e3630496381e,27cba17ee9a8ff28e1b641a4fff8c21e946278531941acf7b472801de96eb6e0,b58488b89523d948d90bec3c5ca2b40625c9485d1488434235b27d6486efe911,7dc33b624a30ba56e6069611a91ba73c92139d12de2361e47e15d93da7d572cc,d7312bb0986ae24e8ce6fca5ecb8d0256d35b6f3ff0428a418c3eeae5980eb64,2939c765bc8d21cd61e2375a9693fbbd752e6f14b37264f202b8e5503fcf353b,ac6ec827301036016f518055ec68dcfda0e9f0ee6aa75e36dfb7ed1e75930fb5,47416c9d4bd784c1e63aba6eacaff14065cb5f4989f5b77b386beaf2c0bcd05b,c84599157163c71a76373c8420e29f872ed22a2b7ba4bd2bc92e9c3d014f01b3
"行き倒れの謎のネコミミ魔法使い","152","2","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","39","獣人族","112001","9","猫と遊ぶ","立花理香","美食殿","0","A","1","14","キャル（ニューイヤー）"
"お嬢さまのためにがんばるドジっ娘メイド","154","12","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","43","ヒューマン","112101","12","ご奉仕","悠木碧","サレンディア救護院","0","O","9","15","スズメ（ニューイヤー）"
"頭脳明晰な美少女名探偵","152","3","","41","獣人族","112201","11","読書、推理","水瀬いのり","自警団（カォン）","0","AB","10","15","カスミ（マジカル）"
"読書が趣味の病弱少女","153","3","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","40","獣人族","112301","11","読書、お散歩","小清水亜美","牧場（エリザベスパーク）","0","A","11","14","シオリ（マジカル）"
"弾ける笑顔！　アイドルを夢見る女の子","159","24","","45","ヒューマン","112401","4","友達と長話","大橋彩香","ニュージェネレーションズ","0","O","100","17","ウヅキ（デレマス）"
"クールビューティーな「蒼の剣士」","165","10","","44","ヒューマン","112501","8","犬の散歩","福原綾香","ニュージェネレーションズ","0","B","100","15","リン（デレマス）"
"スーパースターを目指す元気娘☆☆★","161","1","","46","ヒューマン","112601","12","ショッピング","原紗友里","ニュージェネレーションズ","0","B","100","15","ミオ（デレマス）"
"遊びと睡眠が何より大事なぐうたら娘","144","1","","42","獣人族","112701","1","あんパン","小岩井ことり","牧場（エリザベスパーク）","0","B","11","17","リン（レンジャー）"
"みんなを笑顔にするお笑い牧場主","142","3","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","35","ヒューマン","112801","3","漫才","新田恵海","牧場（エリザベスパーク）","0","B","11","20","マヒル（レンジャー）"
"人懐っこくてマシンガントークな妹系少女","156","25","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","44","ヒューマン","112901","8","お裁縫","阿澄佳奈","ラビリンス","0","A","3","15","リノ（ワンダー）"
"どこまでも一途に慕う、純情乙女","155","7","","43","エルフ","113001","4","観察","大関英里","ヴァイスフリューゲル　ランドソル支部","0","O","15","16","アユミ（ワンダー）"
"人情味溢れる粋でいなせな「姉御」","167","11","","54","ヒューマン","113101","7","釣り","佐藤利奈","トワイライトキャラバン","0","B","13","25","ルカ（サマー）"
"前世を信じる中二病患者、「疾風の冥姫」","159","5","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","45","魔族","113201","7","小説執筆","髙野麻美","トワイライトキャラバン","0","A","13","17","アンナ（サマー）"
"オタク全開な魔法少女","166","21","","55","魔族","113301","8","読書、魔法","佳村はるか","トワイライトキャラバン","0","O","13","18","ナナカ（サマー）"
"みんなのために超能力を使う眠り姫","156","24","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","46","エルフ","113401","12","妹と遊ぶこと、二度寝、昼寝、早寝","大橋彩香","フォレスティエ","0","A","6","17","ハツネ（サマー）"
"母性溢れる優しいみんなの「ミサト先生」","165","5","","54","エルフ","113501","9","絵本作り","國府田マリ子","フォレスティエ","0","O","6","21","ミサト（サマー）"
"素顔を見せない冷静沈着な女性騎士","171","25","","50","ヒューマン","113601","10","格闘技、湯浴み","川澄綾子","王宮騎士団（NIGHTMARE）","0","A","8","25","ジュン（サマー）"
"甘え上手なみんなの人気者","150","22","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","42","魔族","113701","11","サックス","浅倉杏美","悪魔偽王国軍（ディアボロス）","0","O","7","13","アカリ（エンジェル）"
"人見知りであまのじゃくな女の子","150","22","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","40","魔族","113801","11","ゲーム全般","原紗友里","悪魔偽王国軍（ディアボロス）","0","O","7","13","ヨリ（エンジェル）"
"ファッション大好きなキュートガール","153","7","","45","ヒューマン","113901","9","裁縫","木戸衣吹","カルミナ","0","AB","4","14","ツムギ（ハロウィン）"
"クールで何事にも真っ直ぐな剣士","163","12","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","46","魔族","114001","1","読書、乗馬、お茶","早見沙織","トゥインクルウィッシュ","0","B","2","18","レイ（ハロウィン）"
"ヒーローに憧れる騎士見習いの少女","146","25","","40","獣人族","114101","11","ヒーローごっこ","下田麻美","王宮騎士団（NIGHTMARE）","0","O","8","12","マツリ（ハロウィン）"
"見た目も中身もお子ちゃまな異国の軍人","140","28","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","33","ヒューマン","114201","7","お菓子屋通い","辻あゆみ","ヴァイスフリューゲル　ランドソル支部","0","A","15","18","モニカ（マジカル）"
"義理堅くてからかい好きな剣術少女","149","11","","43","ヒューマン","114301","8","剣術、年長者をからかう","茅原実里","王宮騎士団（NIGHTMARE）","0","A","8","13","トモ（マジカル）"
"一人前の商人を目指すパワフルお嬢様","157","12","この私とともにいる限り、\nお金に不自由はさせませんわ！","45","ヒューマン","114401","3","慈善事業","松嵜麗","メルクリウス財団","0","AB","12","18","アキノ（クリスマス）"
"救護院を経営する優しい庶民派お嬢様","156","4","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","43","エルフ","114501","10","経営、お茶会","堀江由衣","サレンディア救護院","0","A","9","17","サレン（クリスマス）"
"純情でほっとけない大人の女性","164","16","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","55","エルフ","114601","3","ウインドーショッピング","今井麻美","メルクリウス財団","0","A","12","22","ユカリ（クリスマス）"
"さまよえる謎の少女","148","11","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","40","ヒューマン","114701","8","冒険、思い出話","潘めぐみ","？？？","0","O","","16","ムイミ（ニューイヤー）"
"研究所に隠れ住む物静かなお姉さん","149","24","","??","エルフ","115001","3","物真似、芸術鑑賞","井口裕香","？？？","0","O","","24","ネネカ（ニューイヤー）"
"主を慕う、小さなガイド役","140","11","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","35","エルフ","115501","5","瞑想、動植物の飼育","伊藤美来","美食殿","0","B","1","11","コッコロ（儀装束）"
"戦闘のサポートが得意な、心優しい少女","158","5","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","47","ヒューマン","115601","4","料理、人間観察","種田梨沙","トゥインクルウィッシュ","0","O","2","17","ユイ（儀装束）"
"頭脳明晰な美少女名探偵","152","3","","41","獣人族","115701","11","読書、推理","水瀬いのり","自警団（カォン）","0","AB","10","15","カスミ（サマー）"
"乙女チックなもふもふアニマル","150","14","私、ごく普通の、どこにでもいる女の子よ！\nみ、見た目以外はね…","100","獣人族","115801","3","毛繕い、お喋り","徳井青空","牧場（エリザベスパーク）","0","A","11","18","リマ（シンデレラ）"
"男勝りで情に厚いワイルド娘","168","9","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","54","獣人族","115901","8","お菓子作り","小松未可子","自警団（カォン）","0","O","10","17","マコト（シンデレラ）"
"マホマホ王国のプリンセス","155","22","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","42","獣人族","116001","9","空想、ぬいぐるみ集め","内田真礼","自警団（カォン）","0","O","10","16","マホ（シンデレラ）"
"ダウンタウン育ちのダウナー系エルフ","154","7","","42","エルフ","116201","8","ダーツ","種﨑敦美","聖テレサ女学院（なかよし部）","0","O","16","17","クロエ（聖学祭）"
"自由奔放ナチュラル無礼な現代っ子","156","15","","46","ヒューマン","116301","9","ダンス、カラオケ","佐倉綾音","聖テレサ女学院（なかよし部）","0","O","16","16","チエル（聖学祭）"
"書庫に眠れる小さな賢人","142","28","","36","ヒューマン","116401","2","読書","小原好美","聖テレサ女学院（なかよし部）","0","O","16","18","ユニ（聖学祭）"
"口が達者なヘタレドラゴン","145","29","","???","ドラゴン族","116501","9","ゲーム","藤田茜","ドラゴンズネスト","0","AB","17","13","イノリ（タイムトラベル）"
"拳で語る喧嘩屋ドラゴン少女","156","25","","???","ドラゴン族","116601","6","格闘技","小市眞琴","ドラゴンズネスト","0","B","17","16","カヤ（タイムトラベル）"
"「友達」に憧れる、エルフの森の女の子","158","6","","44","エルフ","116701","6","友達作りのイメトレ","花澤香菜","フォレスティエ","0","AB","6","13","アオイ（作業服）"
"弱きを助け強きをくじく猫娘","158","1","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","48","獣人族","116801","3","猫とたわむれること","沼倉愛美","メルクリウス財団","0","AB","12","18","タマキ（作業服）"
"仕事も私事も効率優先な傭兵少女","163","11","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","49","ヒューマン","116901","11","傭兵などのアルバイト","田所あずさ","メルクリウス財団","0","O","12","20","ミフユ（作業服）"
"運命の相手に一途すぎる乙女","154","30","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","43","魔族","117001","7","実験、裁縫、料理","橋本ちなみ","トワイライトキャラバン","0","B","13","16","エリコ（サマー）"
"お姉ちゃんがお世話してあげるからねっ！","168","24","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","54","ヒューマン","117101","10","家事全般","生天目仁美","ラビリンス","0","O","3","18","シズル（サマー）"
"歌って踊れる大人気アイドル","157","24","","40","ヒューマン","117201","1","舞台鑑賞、ダンス","日笠陽子","カルミナ","0","B","4","17","ノゾミ（サマー）"
"人々を守るために歌う、唱喚士の少女","163","3","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","46","ヒューマン","117301","6","各種楽器","福原綾香","カルミナ","0","O","4","17","チカ（サマー）"
"ファッション大好きなキュートガール","153","7","","45","ヒューマン","117401","9","裁縫","木戸衣吹","カルミナ","0","AB","4","14","ツムギ（サマー）"
"実験が趣味の危険な科学者","166","7","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","53","ヒューマン","117501","3","研究、実験","三石琴乃","トワイライトキャラバン","0","A","13","27","ミツキ（オーエド）"
"ボクは誰よりも美しい","150","10","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","40","エルフ","117601","10","鏡で自分を見ること","大空直美","ヴァイスフリューゲル　ランドソル支部","0","AB","15","14","ユキ（オーエド）"
"いつでも「なんくるないさ～」な天然娘","158","7","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","53","獣人族","117701","7","踊り、空手","高森奈津美","自警団（カォン）","0","A","10","19","カオリ（ハロウィン）"
"トーゴクの神秘、オシエテクダサイ！","163","31","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","51","ヒューマン","117801","8","忍法開発","佐藤聡美","ヴァイスフリューゲル　ランドソル支部","0","O","15","16","ニノン（ハロウィン）"
"天真爛漫で人気者のカリスマモデル","167","10","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","48","魔族","117901","4","ファッション","上坂すみれ","ルーセント学院","0","O","14","18","スズナ（ハロウィン）"
"忠義に目覚めた女商人","160","19","","57","ヒューマン","118001","9","お金を数えること、悪だくみ","Lynn","リッチモンド商工会","0","A","18","26","クレジッタ"
"静寂を求め歌う陰気少女","165","28","","53","魔族","118101","12","歌、読書、詩を書くこと","原田彩楓","レイジ・レギオン","0","O","19","20","ランファ"
"明朗快活、なれど破滅に流るる溌溂少女","159","2","","??","ヒューマン","118201","7","特に無し","鬼頭明里","レイジ・レギオン","0","A","","16","ミソラ"
"【ギルド管理協会】職員の親切なお姉さん","152","12","","43","ヒューマン","118501","9","書類仕事、散歩、ボードゲーム","洲崎綾","？？？","0","A","","24","カリン"
"幻霧に戯れる悪戯好きなガイド妖精","???","?","","???","？？？","118601","?","悪戯をすること","相坂優歌","？？？","0","?","","??","ネビア"
"多くの男性を魅了する無垢な女教師","162","14","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","52","魔族","119001","8","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","伊藤静","ルーセント学院","0","B","14","23","イオ（ノワール）"
"妄想大好き！　ほんとは照れ屋な女の子","157","19","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","49","ヒューマン","119101","11","小説を読むこと","長妻樹里","ヴァイスフリューゲル　ランドソル支部","0","AB","15","18","クウカ（ノワール）"
"みんなを笑顔にするお笑い牧場主","142","3","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","35","ヒューマン","119201","3","漫才","新田恵海","牧場（エリザベスパーク）","0","B","11","20","マヒル（クリスマス）"
"人懐っこくてマシンガントークな妹系少女","156","25","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","44","ヒューマン","119301","8","お裁縫","阿澄佳奈","ラビリンス","0","A","3","15","リノ（クリスマス）"
"プリン大好きゴースト娘","130","23","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","32","魔族","119901","1","プリンを食べること","雨宮天","悪魔偽王国軍（ディアボロス）","0","B","7","14","ミヤコ（クリスマス）"
"お姉ちゃんがお世話してあげるからねっ！","168","24","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","54","ヒューマン","120001","10","家事全般","生天目仁美","ラビリンス","0","O","3","18","シズル（ノワール）"
"記憶喪失のドラゴン娘","147","14","","???","ドラゴン族","120701","12","読書、ストレッチ","近藤玲奈","美食殿","0","B","1","14","シェフィ（ニューイヤー）"
"人情味溢れる粋でいなせな「姉御」","167","11","","54","ヒューマン","120801","7","釣り","佐藤利奈","トワイライトキャラバン","0","B","13","25","ルカ（ニューイヤー）"
"かつては夜を支配した最強の吸血鬼","172","5","","50","魔族","120901","5","世界征服","丹下桜","悪魔偽王国軍（ディアボロス）","0","A","7","??","イリヤ（ニューイヤー）"
"いつも元気な腹ペコ少女","156","31","","46","ヒューマン","121001","3","食べ歩き、料理","M・A・O","美食殿","0","O","1","17","ぺコリーヌ（オーバーロード）"
"行き倒れの謎のネコミミ魔法使い","152","2","","39","獣人族","121101","9","猫と遊ぶ","立花理香","美食殿","0","A","1","14","キャル（オーバーロード）"
"秘密結社ラビリンスの『迷宮女王』","160","25","","??","ヒューマン","121201","7","人間観察","沢城みゆき","ラビリンス","0","AB","3","25","ラビリスタ（オーバーロード）"
"泣き虫で臆病な守ってあげたい女の子","150","9","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","40","ヒューマン","121301","6","観劇、おままごと","植田佳奈","サレンディア救護院","0","B","9","12","クルミ（ステージ）"
"ちょっとおませな恋に恋する女の子","120","3","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","22","魔族","121401","1","ファッション誌鑑賞、コスメ集め","久野美咲","ルーセント学院","0","A","14","11","ミサキ（ステージ）"
"どこまでも一途に慕う、純情乙女","155","7","","43","エルフ","121501","4","観察","大関英里","ヴァイスフリューゲル　ランドソル支部","0","O","15","16","アユミ（怪盗）"
"口が達者なヘタレドラゴン","145","29","","???","ドラゴン族","121601","9","ゲーム","藤田茜","ドラゴンズネスト","0","AB","17","13","イノリ（怪盗）"
"前世を信じる中二病患者、「疾風の冥姫」","159","5","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","45","魔族","121901","7","小説執筆","髙野麻美","トワイライトキャラバン","0","A","13","17","アンナ（パイレーツ）"
"占いが得意な霊能少女","157","22","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","42","魔族","122001","12","占い","大坪由佳","悪魔偽王国軍（ディアボロス）","0","AB","7","18","シノブ（パイレーツ）"
"「友達」に憧れる、エルフの森の女の子","158","6","","44","エルフ","122101","6","友達作りのイメトレ","花澤香菜","フォレスティエ","0","AB","6","13","アオイ（キャンプ）"
"純情でほっとけない大人の女性","164","16","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","55","エルフ","122201","3","ウインドーショッピング","今井麻美","メルクリウス財団","0","A","12","22","ユカリ（キャンプ）"
"けんぞくのご主人様","149","?","","41","魔族","122301","?","お散歩、お料理","釘宮理恵","？？？","0","AB","","??","ヴァンピィ"
"人助けが大好き！　前向き格闘娘","155","27","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","44","獣人族","122401","8","人助け、応援","東山奈央","トゥインクルウィッシュ","0","A","2","16","ヒヨリ（サマー）"
"クールで何事にも真っ直ぐな剣士","163","12","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","46","魔族","122501","1","読書、乗馬、お茶","早見沙織","トゥインクルウィッシュ","0","B","2","18","レイ（サマー）"
"戦闘のサポートが得意な、心優しい少女","158","5","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","47","ヒューマン","122601","4","料理、人間観察","種田梨沙","トゥインクルウィッシュ","0","O","2","17","ユイ（サマー）"
"礼儀正しくしっかり者のちびっ子優等生","118","2","","21","エルフ","122701","2","お勉強","小倉唯","リトルリリカル","0","A","5","8","キョウカ（サマー）"
"探検好きのイタズラっ子","128","10","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","27","ヒューマン","122801","8","いたずら、探検","諸星すみれ","リトルリリカル","0","O","5","9","ミソギ（サマー）"
"お歌もにんじんも、ウサギさんも大好き♪","117","3","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","21","獣人族","122901","4","かわいいもの集め","日高里菜","リトルリリカル","0","O","5","10","ミミ（サマー）"
"新たな姿で騎士の冒険を支え続ける妖精","150","?","","???","？？？","123001","?","？？？","相坂優歌","？？？","0","?","","??","アメス"
"マホマホ王国のプリンセス","155","22","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","42","獣人族","123101","9","空想、ぬいぐるみ集め","内田真礼","自警団（カォン）","0","O","10","16","マホ（エクスプローラー）"
"ぷうきちといつも一緒！","148","10","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","38","ヒューマン","123201","5","屋内でできる遊び","芹澤優","サレンディア救護院","0","B","9","14","アヤネ（エクスプローラー）"
"ショタ大好き♪　ギャル系スライム娘","157","13","","55","魔族？","123301","6","可愛いショタと遊ぶ、買い物","和氣あず未","レイジ・レギオン","0","B","19","19","ネア"
"素顔を見せない冷静沈着な女性騎士","171","25","","50","ヒューマン","123401","10","格闘技、湯浴み","川澄綾子","王宮騎士団（NIGHTMARE）","0","A","8","25","ジュン（キャンプ）"
"遊びと睡眠が何より大事なぐうたら娘","144","1","","42","獣人族","123501","1","あんパン","小岩井ことり","牧場（エリザベスパーク）","0","B","11","17","リン（ハロウィン）"
"義理堅くてからかい好きな剣術少女","149","11","","43","ヒューマン","123601","8","剣術、年長者をからかう","茅原実里","王宮騎士団（NIGHTMARE）","0","A","8","13","トモ（ハロウィン）"
"オタク全開な魔法少女","166","21","","55","魔族","123701","8","読書、魔法","佳村はるか","トワイライトキャラバン","0","O","13","18","ナナカ（ハロウィン）"
"傍若無人な王宮騎士団副団長","165","7","","??","ヒューマン","123801","2","強敵との闘争","たかはし智秋","王宮騎士団（NIGHTMARE）","0","O","8","27","クリスティーナ（ワイルド）"
"ヒーローに憧れる騎士見習いの少女","146","25","","40","獣人族","123901","11","ヒーローごっこ","下田麻美","王宮騎士団（NIGHTMARE）","0","O","8","12","マツリ（ワイルド）"
"甘え上手なみんなの人気者","150","22","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","42","魔族","124001","11","サックス","浅倉杏美","悪魔偽王国軍（ディアボロス）","0","O","7","13","アカリ（クリスマス）"
"人見知りであまのじゃくな女の子","150","22","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","40","魔族","124101","11","ゲーム全般","原紗友里","悪魔偽王国軍（ディアボロス）","0","O","7","13","ヨリ（クリスマス）"
"素顔を見せない冷静沈着な女性騎士","171","25","","50","ヒューマン","124201","10","格闘技、湯浴み","川澄綾子","王宮騎士団（NIGHTMARE）","0","A","8","25","ジュン（クリスマス）"
"妖しい微笑で全てを見透かす臥竜の頭領","168","17","","???","ドラゴン族","124501","4","絵画、読書","大西沙織","ドラゴンズネスト","0","O","17","25","ホマレ（ニューイヤー）"
"母性溢れる優しいみんなの「ミサト先生」","165","5","","54","エルフ","124601","9","絵本作り","國府田マリ子","フォレスティエ","0","O","6","21","ミサト（ニューイヤー）"
"実験が趣味の危険な科学者","166","7","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","53","ヒューマン","124701","3","研究、実験","三石琴乃","トワイライトキャラバン","0","A","13","27","ミツキ（ニューイヤー）"
"歌って踊れる大人気アイドル","157","24","","40","ヒューマン","124801","1","舞台鑑賞、ダンス","日笠陽子","カルミナ","0","B","4","17","ノゾミ（リベレイター）"
"拳で語る喧嘩屋ドラゴン少女","156","25","","???","ドラゴン族","124901","6","格闘技","小市眞琴","ドラゴンズネスト","0","B","17","16","カヤ（リベレイター）"
"さまよえる謎の少女","148","11","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","40","ヒューマン","125001","8","冒険、思い出話","潘めぐみ","？？？","0","O","","16","ムイミ（リベレイター）"
"弱きを助け強きをくじく猫娘","158","1","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","48","獣人族","125101","3","猫とたわむれること","沼倉愛美","メルクリウス財団","0","AB","12","18","タマキ（カフェ）"
"見た目も中身もお子ちゃまな異国の軍人","140","28","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","33","ヒューマン","125201","7","お菓子屋通い","辻あゆみ","ヴァイスフリューゲル　ランドソル支部","0","A","15","18","モニカ（カフェ）"
"主を慕う、小さなガイド役","140","11","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","35","エルフ","125301","5","瞑想、動植物の飼育","伊藤美来","美食殿","0","B","1","11","コッコロ（レンジャー）"
"読書が趣味の病弱少女","153","3","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","40","獣人族","125401","11","読書、お散歩","小清水亜美","牧場（エリザベスパーク）","0","A","11","14","シオリ（レンジャー）"
"空への冒険を夢見る騎空士の少女","156","10","","45","ヒューマン","125501","3","冒険、おしゃべり","金元寿子","？？？","0","O","","17","ジータ（ウォーロック）"
"陰陽合わせ持つ鼠神宮の巫女","145","4","","39","ヒューマン","125601","12","ネズ耳作り","種﨑敦美","？？？","0","AB","","14","ビカラ"
"【ギルド管理協会】職員の親切なお姉さん","152","12","","43","ヒューマン","125701","9","書類仕事、散歩、ボードゲーム","洲崎綾","？？？","0","A","","24","カリン（アルケミスト）"
"贖罪を胸に強さを求める妹系大和撫子","154","29","","44","ヒューマン","125801","4","華道、読書（古典）、トーゴク画","鈴木みのり","アルターメイデン","0","A","20","15","リリ（フォールン）"
"忘れ難い罪過を抱える、黒き翼の聖女","147","1","","42","ヒューマン","126001","11","お菓子作り、花の世話、バイオリン演奏","前田佳織里","アルターメイデン","0","O","20","13","クリア（フォールン）"
"正義の魂を受け継ぐ、爆食系天然天才娘","135","1","","34","獣人族","126101","3","ごはんをたべること","高尾奏音","アルターメイデン","0","O","20","10","プレシア（フォールン）"
"かつては夜を支配した最強の吸血鬼","172","5","","50","魔族","126201","5","世界征服","丹下桜","悪魔偽王国軍（ディアボロス）","0","A","7","??","イリヤ（儀装束）"
"ボクは誰よりも美しい","150","10","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","40","エルフ","126301","10","鏡で自分を見ること","大空直美","ヴァイスフリューゲル　ランドソル支部","0","AB","15","14","ユキ（儀装束）"
"スマイル満タン！　パワフル機械少女","170","11","","未換装時252","機械人族","126401","11","昼寝、誰かの役に立つこと","長谷川育美","？？？","0","?","","??","クローチェ"
"優しさと傲慢さを併せ持つプリンセス","162","17","","??","天使族","126501","1","昼寝、新作スイーツの試食","河瀬茉希","？？？","0","?","","??","ライラエル"
"研究所に隠れ住む物静かなお姉さん","149","24","","??","エルフ","126601","3","物真似、芸術鑑賞","井口裕香","？？？","0","O","","24","ネネカ（サマー）"
"一人前の商人を目指すパワフルお嬢様","157","12","この私とともにいる限り、\nお金に不自由はさせませんわ！","45","ヒューマン","126701","3","慈善事業","松嵜麗","メルクリウス財団","0","AB","12","18","アキノ（サマー）"
"純情でほっとけない大人の女性","164","16","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","55","エルフ","126801","3","ウインドーショッピング","今井麻美","メルクリウス財団","0","A","12","22","ユカリ（サマー）"
"静寂を求め歌う陰気少女","165","28","","53","魔族","126901","12","歌、読書、詩を書くこと","原田彩楓","レイジ・レギオン","0","O","19","20","ランファ（サマー）"
