fe7ed13293b8c9b5305f4df0f109c44f9ebf4684bdb062452f690d3facc0feb2,296892e3b16c08cb40c4c66c87895cf52ec20eb694f4bb92b8642c68d3c5666b,6dd56f8d737a60ccc3e326c5a4bc76727b56f33165d8975a1af261c1a0e77c32,04b245686f43e53819b5f33f312f568947c0255253c8186ba3fa0878f10c240f,61ef1cea9c6595edbef0d534c22eb557450ff1e1144df6c1145eada1319477c0,69d1f5a5cf1818e9a04c2da4206194eae28f259c22625b92f4d9c810abb344db,a1b8dcf9329fa7ee3120d4a5f065e963b9377163a32cdbe9deb2044ae62aa599,a6c60702e3b1197b31861754f77478893c145a0ff8e1dd463a5d7ec51103f3c9,91b8be4d301d9b6d03f8fd44efec36830256c616eab024597b4f4a678c978d9e,43093af8ec3a1105181e936af85193fec0ec622bc51d7fab4081fd0200c0f8bc,d9eca8fe3bc7a0977910e6c20ddc9347b0f9e6ce0aeb24f1095be970ab4b1a87
"3","203","","0.5","","1","3","12030035","","","nyx_203_yukari_03"
"3","203","","0.5","","1","103431","12030036","","","nyx_203_yukari_03"
"11","203","","","","10","103431","12030037","","","それ～もっと飲め～\nうふふ～麦しゅわに\n不可能はないわ～♪"
"91","203","","","","","0","12030038","","",""
"93","203","","","","","0.1","12030039","","",""
"3","203","","0.2","1","0","3","12030040","nyx_203_yukari_05","","nyx_203_yukari_06"
"3","203","","0.2","1","0","103431","12030041","nyx_203_yukari_05","","nyx_203_yukari_06"
"93","203","","","","","0.5","12030042","","",""
"3","203","","0.2","1","0","103231","12030043","nyx_cmn_05","0.2","nyx_lookup"
"93","203","","","","","2","12030044","","",""
"12","203","","","","1","103231","12030045","","","1"
"4","203","","","","","3","12030046","","","1"
"4","203","","","","","103431","12030047","","","1"
"3","203","","0.2","","0","3","12030048","","","nyx_203_yukari_04"
"3","203","","0.2","","0","103431","12030049","","","nyx_203_yukari_04"
"2","203","","","0","-10","3","12030050","0.67","","-245"
"2","203","","","0","-10","103431","12030051","0.67","","-245"
"93","203","","","","","0.67","12030052","","",""
"93","203","","","","","0.83","12030053","","",""
"2","203","","","0","-10","3","12030054","0.5","","-265"
"2","203","","","0","-10","103431","12030055","0.5","","-265"
"93","203","","","","","0.5","12030056","","",""
"2","203","","","0","-10","3","12030057","0.67","","-328"
"2","203","","","0","-10","103431","12030058","0.67","","-328"
"3","203","","0.2","","1","103231","12030059","","","nyx_cmn_04"
"3","203","","0.2","1","0","104831","12030060","nyx_idle_sad","0.2","nyx_lookup"
"93","203","","","","","0.67","12030061","","",""
"2","203","","","0","-10","3","12030062","0.67","","-330"
"2","203","","","0","-10","103431","12030063","0.67","","-330"
"93","203","","","","","0.67","12030064","","",""
"3","203","","0.2","1","0","3","12030065","nyx_203_yukari_06","","nyx_203_yukari_05"
"3","203","","0.2","1","0","103431","12030066","nyx_203_yukari_06","","nyx_203_yukari_05"
"93","203","","","","","0.66","12030067","","",""
"12","203","","","","1","104831","12030068","","","12"
"93","203","","","","","2","12030069","","",""
"12","203","","","","1","103431","12030070","","","9"
"3","203","","0.2","1","0","104631","12030071","nyx_talk_sad","0.2","nyx_lookup"
"4","203","","","","","3","12030072","","","0"
"4","203","","","","","103431","12030073","","","0"
"3","203","","0.2","","0","3","12030074","","","nyx_203_yukari_04"
"3","203","","0.2","","0","103431","12030075","","","nyx_203_yukari_04"
"2","203","","","0","-10","3","12030076","0.67","","-285"
"2","203","","","0","-10","103431","12030077","0.67","","-285"
"93","203","","","","","0.67","12030078","","",""
"93","203","","","","","0.83","12030079","","",""
"2","203","","","0","-10","3","12030080","0.5","","-265"
"2","203","","","0","-10","103431","12030081","0.5","","-265"
"93","203","","","","","0.5","12030082","","",""
"2","203","","","0","-10","3","12030083","0.67","","-202"
"2","203","","","0","-10","103431","12030084","0.67","","-202"
"12","203","","","","1","104631","12030085","","","5"
"93","203","","","","","0.67","12030086","","",""
"2","203","","","0","-10","3","12030087","0.67","","-200"
"2","203","","","0","-10","103431","12030088","0.67","","-200"
"93","203","","","","","0.67","12030089","","",""
"3","203","","0.2","","1","3","12030090","","","nyx_203_yukari_05"
"3","203","","0.2","","1","103431","12030091","","","nyx_203_yukari_05"
"93","203","","","","","0.66","12030092","","",""
"3","203","","0.2","","1","104631","12030093","","","nyx_idle_sad"
"12","203","","","","1","103431","12030094","","","6"
"4","203","","","","","3","12030095","","","0"
"4","203","","","","","103431","12030096","","","0"
"93","203","","","","","1","12030097","","",""
"101","203","","","","","12030039","12030098","","",""
"1","204","nyx_204_mifuyu_01","1.2","28.5","110","1","12040001","121.8","1","104831"
"5","204","nyx_204_mifuyu_01","1.2","28.5","120","2","12040002","121.8","1","2"
"1","204","nyx_idle_normal","1.2","-286.1","110","1","12040003","-278","0","103431"
"1","204","nyx_idle_normal","1.2","-286.1","140","1","12040004","283.5","1","104631"
"1","204","nyx_idle_normal","1.2","-286.1","110","1","12040005","-413","0","103231"
"31","204","","1","1","0","2","12040006","0","","1"
"5","204","nyx_yagura_up_harf","1.2","-278","130","3","12040007","109","0","3"
"31","204","","1","1","-111","14","12040008","34","","2"
"25","204","","","","","bgm_M347","12040009","","","bgm_M347"
"93","204","","","","","2","12040010","","",""
"3","204","","0.2","","1","104831","12040011","","","nyx_204_mifuyu_01"
"3","204","","0.2","","1","2","12040012","","","nyx_204_mifuyu_01"
"11","204","","0","","10","104831","12040013","","","とうとう完成…\nしてしまったわね…"
"93","204","","","","","0.2","12040014","","",""
"3","204","","0.2","1","0","104631","12040015","nyx_204_akino_01_loop","0.2","nyx_lookup"
"93","204","","","","","0.5","12040016","","",""
"3","204","","0.2","","1","104831","12040017","","","nyx_204_mifuyu_02"
"3","204","","0.2","","1","2","12040018","","","nyx_204_mifuyu_02"
"91","204","","","","","12040013","12040019","","",""
"11","204","","0","","10","104831","12040020","","","設計段階より\n明らかに機能が\n増やされてるわ…"
"93","204","","","","","1.5","12040021","","",""
"3","204","","0.2","1","0","103431","12040022","nyx_lookup_loop","0.2","nyx_lookup"
"91","204","","","","","12040020","12040023","","",""
"93","204","","","","","0.2","12040024","","",""
"3","204","","0.2","","0","103231","12040025","","","nyx_204_akino_01"
"11","204","","","","10","103231","12040026","","","驚いたでしょう！\nこれこそが私たちの\nアイデアの結晶！"
"93","204","","","","","1","12040027","","",""
"3","204","","0.2","","1","103231","12040028","","","nyx_204_akino_02"
"91","204","","","","","12040026","12040029","","",""
"93","204","","","","","0.5","12040030","","",""
"11","204","","0","","10","104831","12040031","","","ええ、驚いたわ…\nまさかこんなにも\n好き勝手やるなんて"
"93","204","","","","","0.2","12040032","","",""
"3","204","","0.2","","1","104831","12040033","","0.2","nyx_204_mifuyu_03"
"3","204","","0.2","","1","2","12040034","","0.2","nyx_204_mifuyu_03"
"93","204","","","","","3","12040035","","",""
"91","204","","","","","12040031","12040036","","",""
"3","204","","","","1","104631","12040037","","","nyx_talk_sad"
"11","204","","","","10","104631","12040038","","","ど、どうして\n震えてるにゃ？\nミフユ…"
"91","204","","","","","0","12040039","","",""
"3","204","","0.3","1","0","104831","12040040","nyx_204_mifuyu_05","0.3","nyx_204_mifuyu_04"
"3","204","","0.3","1","0","2","12040041","nyx_204_mifuyu_05","0.3","nyx_204_mifuyu_04"
"11","204","","0","","10","104831","12040042","","","当たり前です！\nなんですかこの\n無駄だらけな機能！"
"93","204","","","","","0.6","12040043","","",""
"3","204","","0.3","1","0","104631","12040044","nyx_idle_surprise2","0.2","cmn_shock_def_N"
"3","204","","0.3","1","0","103431","12040045","nyx_idle_sad","0.2","cmn_shock_def_N"
"3","204","","0.3","1","0","103231","12040046","nyx_idle_surprise1","0.2","cmn_shock_def_N"
"93","204","","","","","1.5","12040047","","",""
"91","204","","","","","12040042","12040048","","",""
"11","204","","0","","10","104831","12040049","","","どこを見ても\n無駄ばかり…\n非効率すぎる…！"
"91","204","","","","","0","12040050","","",""
"3","204","","0.3","","1","103431","12040051","","0.3","nyx_talk_sad"
"11","204","","","","10","103431","12040052","","","お、落ち着いて\nミフユさん…\n仕方がなかったの…"
"91","204","","","","","0","12040053","","",""
"11","204","","0","","10","104831","12040054","","","こんなの\n落ち着けるわけ\nないでしょーっ！"
"93","204","","","","","2.7","12040055","","",""
"3","204","","0.3","","1","103431","12040056","","0.3","nyx_cmn_03"
"3","204","","0.3","1","0","104831","12040057","nyx_204_mifuyu_06","0.3","nyx_204_mifuyu_07"
"3","204","","0.3","1","0","2","12040058","nyx_204_mifuyu_06","0.3","nyx_204_mifuyu_07"
"91","204","","","","","12040052","12040059","","",""
"93","204","","","","","0.5","12040060","","",""
"4","204","","","","1","103431","12040061","","","0"
"93","204","","","","","0.5","12040062","","",""
"12","204","","","","1","103431","12040063","","","2"
"93","204","","","","","1.5","12040064","","",""
"12","204","","","","1","104631","12040065","","","17"
"3","204","","0.3","","1","104631","12040066","","0.3","nyx_talk_sad"
"93","204","","","","","1.5","12040067","","",""
"4","204","","","","1","103431","12040068","","","1"
"3","204","","0.3","","1","104631","12040069","","0.3","nyx_idle_sad"
"93","204","","","","","0.2","12040070","","",""
"12","204","","","","1","103231","12040071","","","7"
"3","204","","0.3","1","0","103231","12040072","cmn_pose02_def_N","0.2","nyx_talk_joy1"
"93","204","","","","","0.1","12040073","","",""
"3","204","","0.3","","1","103431","12040074","","0.3","nyx_talk_sad"
"93","204","","","","","2","12040075","","",""
"12","204","","","","1","104831","12040076","","","15"
"93","204","","","","","2","12040077","","",""
"101","204","","","","","12040061","12040078","","","1"
"1","301","nyx_301_yuni_01","1.2","-277","110","1","13010001","-135","0","111031"
"31","301","","1","1","0","3","13010002","0","","1"
"31","301","","1","1","40","17","13010003","-195","","2"
"31","301","","0","1","40","18","13010004","-195","","3"
"31","301","","0","1","40","19","13010005","-195","","4"
"25","301","","","","","bgm_M347","13010006","","","bgm_M347"
"93","301","","","","","2","13010007","","",""
"11","301","","","","10","111031","13010008","","","なかよしX…\nあれは実に\n浪漫の結晶だった…"
"91","301","","","","","0","13010009","","","1"
"11","301","","","","10","111031","13010010","","","あのイノベーション\nから得た刺激は形に\n遺しておくべきだ…"
"91","301","","","","","0","13010011","","","1"
"93","301","","","","","0.6","13010012","","",""
"3","301","","0.2","","1","111031","13010013","","","nyx_103_yuni_02"
"11","301","","","","10","111031","13010014","","","というわけで\nなかよしXの残骸を\n集めてみたわけだが"
"91","301","","","","","0","13010015","","","1"
"3","301","","0.2","","0","111031","13010016","nyx_idle_normal","0.2","cmn_pose02_def_N"
"11","301","","","","10","111031","13010017","","","これらをリペアして\n単に組み直したとて\n模造品でしかない"
"91","301","","","","","0","13010018","","","1"
"3","301","","0.2","1","0","111031","13010019","nyx_103_yuni_04","","nyx_103_yuni_03"
"11","301","","","","10","111031","13010020","","","独自の改修を施すぞ\n機体の縮小化そして\n各種機能を改良だ"
"91","301","","","","","0","13010021","","","1"
"3","301","","0.2","","1","111031","13010022","","","cmn_pose02_def_N"
"11","301","","","","10","111031","13010023","","","ふむ、すなわち\nたい焼きに麦しゅわ\nだが…"
"91","301","","","","","0","13010024","","",""
"93","301","","","","","0.5","13010025","","",""
"3","301","","0.2","","1","111031","13010026","","","nyx_301_yuni_03"
"11","301","","","","10","111031","13010027","","","いや、そもそもなぜ\nたい焼き麦しゅわが\n組み込まれていたか"
"91","301","","","","","0","13010028","","","1"
"11","301","","","","10","111031","13010029","","","…理解に苦しむな\nまずそこから考える\n必要がありそうだ"
"91","301","","","","","0","13010030","","","1"
"3","301","","0.2","","1","111031","13010031","","","nyx_301_yuni_01"
"11","301","","","","10","111031","13010032","","","なんたる難題だろう\nぼくの知的探求心が\n疼いてきたと言える"
"91","301","","","","","0","13010033","","",""
"93","301","","","","","2","13010034","","",""
"4","301","","","","","111031","13010035","","","1"
"3","301","","0.2","","1","111031","13010036","","","cmn_walk_def_N"
"2","301","","","","-277","111031","13010037","1.5","","-230"
"93","301","","","","","1.5","13010038","","",""
"3","301","","0.2","1","0","111031","13010039","nyx_idle_normal","0.2","nyx_301_yuni_02"
"93","301","","","","","3","13010040","","",""
"4","301","","","","","111031","13010041","","","0"
"3","301","","0.2","","1","111031","13010042","","","cmn_walk_def_N"
"2","301","","","","-277","111031","13010043","1.5","","-95"
"93","301","","","","","1.5","13010044","","",""
"12","301","","","","1","111031","13010045","","","12"
"3","301","","0.2","1","0","111031","13010046","nyx_idle_normal","0.2","nyx_301_yuni_02"
"93","301","","","","","0.4","13010047","","",""
"32","301","","","","","3","13010048","","","1"
"93","301","","","","","2.6","13010049","","",""
"4","301","","","","","111031","13010050","","","1"
"3","301","","0.2","","1","111031","13010051","","","cmn_walk_def_N"
"2","301","","","","-277","111031","13010052","1.5","","-230"
"93","301","","","","","1.5","13010053","","",""
"12","301","","","","1","111031","13010054","","","13"
"3","301","","0.2","1","0","111031","13010055","nyx_idle_normal","0.2","nyx_301_yuni_02"
"93","301","","","","","3","13010056","","",""
"4","301","","","","","111031","13010057","","","0"
"3","301","","0.2","","1","111031","13010058","","","cmn_walk_def_N"
"2","301","","","","-277","111031","13010059","1.5","","-95"
"93","301","","","","","1.5","13010060","","",""
"3","301","","0.2","1","0","111031","13010061","nyx_idle_normal","0.2","nyx_301_yuni_02"
"93","301","","","","","0.4","13010062","","",""
"32","301","","","","","4","13010063","","","1"
"93","301","","","","","2.6","13010064","","",""
"4","301","","","","","111031","13010065","","","1"
"3","301","","0.2","","1","111031","13010066","","","cmn_walk_def_N"
"2","301","","","","-277","111031","13010067","1.5","","-230"
"93","301","","","","","1.5","13010068","","",""
"3","301","","0.2","1","0","111031","13010069","nyx_idle_normal","0.2","nyx_301_yuni_02"
"93","301","","","","","3","13010070","","",""
"4","301","","","","","111031","13010071","","","0"
"3","301","","0.2","","1","111031","13010072","","","cmn_walk_def_N"
"2","301","","","","-277","111031","13010073","4","","165"
"93","301","","","","","4","13010074","","",""
"12","301","","","","1","111031","13010075","","","12"
"3","301","","0.2","1","0","111031","13010076","nyx_idle_normal","0.2","nyx_301_yuni_02"
"93","301","","","","","3","13010077","","",""
"4","301","","","","","111031","13010078","","","1"
"3","301","","0.2","","1","111031","13010079","","","cmn_walk_def_N"
"2","301","","","","-277","111031","13010080","4","","-230"
"93","301","","","","","4","13010081","","",""
"12","301","","","","1","111031","13010082","","","17"
"3","301","","0.2","1","0","111031","13010083","nyx_idle_normal","0.2","cmn_pose02_def_N"
"93","301","","","","","4","13010084","","",""
"4","301","","","","","111031","13010085","","","0"
"3","301","","0.2","","1","111031","13010086","","","cmn_walk_def_N"
"2","301","","","","-277","111031","13010087","4","","165"
"93","301","","","","","4","13010088","","",""
"3","301","","0.2","0","0","111031","13010089","nyx_303_yuni_01","0.2","nyx_301_yuni_02"
"93","301","","","","","2.4","13010090","","",""
"12","301","","","","1","111031","13010091","","","7"
"93","301","","","","","1.6","13010092","","",""
"4","301","","","","","111031","13010093","","","1"
"3","301","","0.2","","1","111031","13010094","","","cmn_walk_def_N"
"2","301","","","","-277","111031","13010095","4","","-230"
"93","301","","","","","4","13010096","","",""
"12","301","","","","1","111031","13010097","","","2"
"3","301","","0.2","1","0","111031","13010098","cmn_pose02_def_N","0.2","nyx_301_yuni_02"
"93","301","","","","","4","13010099","","",""
"101","301","","","","","13010071","13010100","","",""
"1","302","nyx_idle_normal","1.2","-277","110","1","13020001","4000","1","111031"
"5","302","NoItem","1.2","-277","120","2","13020002","-200","1","2"
"31","302","","1","1","0","3","13020003","0","","1"
"31","302","","0","1","-110","20","13020004","-240","","3"
"31","302","","1","1.2","40","21","13020005","-195","","4"
"25","302","","","","","bgm_M347","13020006","","","bgm_M347"
"93","302","","","","","2","13020007","","",""
"3","302","","","1","0","111031","13020008","nyx_idle_normal","0.2","nyx_302_yuni_01"
"2","302","","","","-277","111031","13020009","0","","-200"
"2","302","","","","-279","2","13020010","0","","-200"
"11","302","","","","10","111031","13020011","","","…ぷはーっ！"
"93","302","","","","","0","13020012","","",""
"32","302","","","","","3","13020013","","","1"
"91","302","","","","","13020011","13020014","","",""
"11","302","","","","10","111031","13020015","","","いかんいかん\n資材の山に埋もれて\nしまうところだった"
"91","302","","","","","0","13020016","","",""
"3","302","","0.2","1","0","2","13020017","NoItem","","nyx_302_yuni_02"
"3","302","","0.2","1","0","111031","13020018","nyx_idle_normal","0.2","nyx_302_yuni_02"
"11","302","","","","10","111031","13020019","","","だが怪我の功名、\n探していた部品を\n偶然にも発見できた"
"93","302","","","","","5","13020020","","",""
"4","302","","","","","111031","13020021","","","0"
"3","302","","0.2","","1","111031","13020022","","","nyx_cmn_03"
"11","302","","","","10","111031","13020023","","","ふむ…これは僥倖\nかくなる上は再び\n潜航してみるか…"
"91","302","","","","","0","13020024","","",""
"3","302","","0.2","","1","111031","13020025","","","nyx_301_yuni_01"
"11","302","","","","10","111031","13020026","","","存外意義あるものだ\n資材ダイビングとか\nいう新種の探索行は"
"91","302","","","","","0","13020027","","","1"
"11","302","","","","10","111031","13020028","","","まあ万一溺れたとて\n後輩たちの誰ぞが\nきっと気付くだろう"
"91","302","","","","","0","13020029","","","1"
"3","302","","0.2","1","0","111031","13020030","nyx_302_yuni_04","","nyx_302_yuni_03"
"11","302","","","","10","111031","13020031","","","是非もなし\nいざ往かん！"
"91","302","","","","","0","13020032","","","1"
"93","302","","","","","1.5","13020033","","",""
"11","302","","","","10","111031","13020034","","","む。奥に入りすぎた\nこれは…出られぬ！\n誰かー！　誰か―！"
"91","302","","","","","0","13020035","","",""
"93","302","","","","","6","13020036","","",""
"12","302","","","","1","111031","13020037","","","2"
"93","302","","","","","4","13020038","","",""
"12","302","","","","1","111031","13020039","","","4"
"93","302","","","","","4","13020040","","",""
"101","302","","","","","13020036","13020041","","",""
"1","303","nyx_303_yuni_07","1.2","-221.5","110","1","13030001","49","1","111031"
"31","303","","1","1","0","4","13030002","0","","1"
"25","303","","","","","bgm_M347","13030003","","","bgm_M347"
"93","303","","","","","2","13030004","","",""
"11","303","","","","10","111031","13030005","","","ふむ、紆余曲折は\nあったが無事完成…\nといったところか"
"91","303","","","","","0","13030006","","",""
"3","303","","0.2","","1","111031","13030007","","","nyx_303_yuni_01_noshadow"
"11","303","","","","10","111031","13030008","","","ふふふ…我ながら\n納得の出来栄え…"
"91","303","","","","","0","13030009","","",""
"11","303","","","","10","111031","13030010","","","外観の完成度も\nさることながら\n特筆すべきは機能だ"
"91","303","","","","","0","13030011","","",""
"3","303","","0.2","","1","111031","13030012","","","nyx_303_yuni_03"
"11","303","","","","10","111031","13030013","","","試しに動作試験を\nしてみるとしよう"
"91","303","","","","","0","13030014","","",""
"3","303","","0.2","1","0","111031","13030015","nyx_303_yuni_04","0.2","nyx_303_yuni_02"
"93","303","","","","","3","13030016","","",""
"3","303","","0.2","","1","111031","13030017","","","nyx_303_yuni_07"
"11","303","","","","10","111031","13030018","","","ふむ…\n表情映写の動作に\n問題はないようだ"
"91","303","","","","","0","13030019","","",""
"3","303","","0.2","1","0","111031","13030020","nyx_303_yuni_04","0.2","nyx_303_yuni_09"
"11","303","","","","10","111031","13030021","","","次はいずれの機能を\n試してみるか…"
"91","303","","","","","0","13030022","","",""
"93","303","","","","","0.5","13030023","","",""
"11","303","","","","10","111031","13030024","","","とりあえず適当な\nスイッチを…おっと\nこのボタンはいかん"
"93","303","","","","","1.5","13030025","","",""
"3","303","","0.2","","0","111031","13030026","","","nyx_303_yuni_02"
"93","303","","","","","1","13030027","","",""
"3","303","","0.2","1","0","111031","13030028","nyx_303_yuni_05","","nyx_303_yuni_06"
"93","303","","","","","2","13030029","","",""
"11","303","","","","10","111031","13030030","","","…危ない危ない\n自爆装置を起動して\nしまうところだった"
"93","303","","","","","0.1","13030031","","",""
"3","303","","0.2","","1","111031","13030032","","","nyx_303_yuni_08"
"91","303","","","","","13030030","13030033","","",""
"93","303","","","","","2","13030034","","",""
"3","303","","0.2","1","0","111031","13030035","nyx_303_yuni_04","0.2","nyx_303_yuni_09"
"93","303","","","","","2","13030036","","",""
"3","303","","0.2","1","0","111031","13030037","nyx_303_yuni_03","0.2","nyx_303_yuni_02"
"93","303","","","","","1.8","13030038","","",""
"12","303","","","","1","111031","13030039","","","6"
"93","303","","","","","3.2","13030040","","",""
"3","303","","0.2","1","0","111031","13030041","nyx_303_yuni_04","0.2","nyx_303_yuni_09"
"93","303","","","","","2","13030042","","",""
"3","303","","0.2","1","0","111031","13030043","nyx_303_yuni_08","0.2","nyx_303_yuni_02"
"93","303","","","","","1.8","13030044","","",""
"12","303","","","","1","111031","13030045","","","2"
"93","303","","","","","1.2","13030046","","",""
"101","303","","","","","13030034","13030047","","",""
