fcdc28153551c9446421456f889b00131778de59662530dc2fa8fac1d318dd95,58b2f0967c34af8aaad9d32a6fa12537434cc639e4cceed4e6910de68202bf03,e557be6c94be568034359c0c24c4c132e9bf18e999c6cc9689605a9463039c70,a79281651f61aa6630261f0520ac5676f3da3d4a7d43af8d04a29045939ff252,8ed1543fa7f4cc0a237078644536eb0bc962b64afa02854919f2743af574ad39
"237","74005404","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"238","74005404","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"239","74005405","バトル時間が60秒になる。","バトル時間制限","limit_time"
"240","74005405","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"241","74005405","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"242","74005405","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"243","74005405","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"244","74005405","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"245","74005501","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"246","74005501","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"247","74005501","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"248","74005501","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"249","74005501","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"250","74005501","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"251","74005502","ゴーレム、ウパルパが追加される。","モンスター追加","add_shadow"
"252","74005502","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"253","74005502","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"254","74005502","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"255","74005502","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"256","74005502","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"257","74005502","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"258","74005503","ミヤコ、アオイが追加される。","モンスター追加","add_shadow"
"259","74005503","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"260","74005503","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"261","74005503","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"262","74005503","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"263","74005503","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"264","74005503","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"265","74005504","ルナポッドが追加される。","モンスター追加","add_shadow"
"266","74005504","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"267","74005504","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"268","74005504","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"269","74005504","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"270","74005504","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"271","74005504","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"272","74005505","バトル時間が60秒になる。","バトル時間制限","limit_time"
"273","74005505","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"274","74005505","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"275","74005505","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"276","74005505","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"277","74005505","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"278","74005505","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"279","74006102","ハツネ（サマー）、サレン（サマー）、スズナ、キョウカのシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"280","74006103","スズナ、キョウカのシャドウが★6になる。","シャドウ強化","star6_shadow"
"281","74006103","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"282","74006104","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"283","74006104","バトル開始時、すべてのシャドウに物理無効バリアを展開する。","物理無効バリア","27"
"284","74006104","バトル開始時、すべてのシャドウに魔法無効バリアを展開する。","魔法無効バリア","28"
"285","74006105","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"286","74006105","バトル開始時、すべてのシャドウに物理無効バリアを展開する。","物理無効バリア","27"
"287","74006105","バトル開始時、すべてのシャドウに魔法無効バリアを展開する。","魔法無効バリア","28"
"288","74006202","レイ（ニューイヤー）、シズル（ノワール）、シズル、ネアのシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"289","74006203","レイ（ニューイヤー）、シズルのシャドウが★6になる。","シャドウ強化","star6_shadow"
"290","74006203","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"291","74006204","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"292","74006204","バトル開始時、すべてのシャドウのＴＰを特大回復。","ＴＰ回復","energy_recover"
"293","74006205","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"294","74006205","バトル開始時、すべてのシャドウのＴＰを特大回復させ、ＴＰ継続回復状態を付与する。","ＴＰ回復","energy_recover"
"295","74006301","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"296","74006301","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"297","74006301","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"298","74006302","バトル開始時、すべてのモンスターが魔法ダメージ30％カット状態になる。","魔法ダメージカット","boss_magic_cut"
"299","74006302","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"300","74006302","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"301","74006302","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"302","74006303","バトル開始時、すべてのモンスターが魔法ダメージ60％カット状態になる。","魔法ダメージカット","boss_magic_cut"
"303","74006303","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"304","74006303","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"305","74006303","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"306","74006304","ボスモンスターの行動パターンが変化する。","ボス行動パターン変化","boss_ub_enhance"
"307","74006304","バトル開始時、すべてのモンスターが魔法ダメージ90％カット状態になる。","魔法ダメージカット","boss_magic_cut"
"308","74006304","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"309","74006304","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"310","74006304","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"311","74006305","ボスモンスターの行動パターンが変化する。","ボス行動パターン変化","boss_ub_enhance"
"312","74006305","バトル開始時、すべてのモンスターが魔法ダメージ90％カット状態になる。","魔法ダメージカット","boss_magic_cut"
"313","74006305","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"314","74006305","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"315","74006305","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"316","74006401","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"317","74006401","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"318","74006402","バトル開始時、すべてのモンスターが物理ダメージ30％カット状態になる。","物理ダメージカット","boss_physics_cut"
"319","74006402","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"320","74006402","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"321","74006403","バトル開始時、すべてのモンスターが物理ダメージ60％カット状態になる。","物理ダメージカット","boss_physics_cut"
"322","74006403","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"323","74006403","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"324","74006404","ジャングルガード、マコトのシャドウ、エリコのシャドウ、スタンプが追加される。","モンスター追加","add_shadow"
"325","74006404","ボスモンスターの行動パターンが変化する。","ボス行動パターン変化","boss_ub_enhance"
"326","74006404","バトル開始時、すべてのモンスターが物理ダメージ90％カット状態になる。","物理ダメージカット","boss_physics_cut"
"327","74006404","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"328","74006404","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"329","74006405","ボスモンスターの行動パターンが変化する。","ボス行動パターン変化","boss_ub_enhance"
"330","74006405","バトル開始時、すべてのモンスターが物理ダメージ90％カット状態になる。","物理ダメージカット","boss_physics_cut"
"331","74006405","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"332","74006405","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"333","74006405","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"334","74006501","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"335","74006501","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"336","74006501","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"337","74006501","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"338","74006501","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"339","74006501","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"340","74006502","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","全属性ボーナス特大アップ","33"
"341","74006502","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"342","74006502","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"343","74006502","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"344","74006502","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"345","74006502","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"346","74006502","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"347","74006503","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","全属性ボーナス特大アップ","33"
"348","74006503","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"349","74006503","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"350","74006503","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"351","74006503","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"352","74006503","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"353","74006503","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"354","74006504","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","全属性ボーナス特大アップ","33"
"355","74006504","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"356","74006504","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"357","74006504","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"358","74006504","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"359","74006504","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"360","74006504","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
"361","74006505","バトル時間が60秒になる。","バトル時間制限","limit_time"
"362","74006505","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","全属性ボーナス特大アップ","33"
"363","74006505","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"364","74006505","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"365","74006505","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"366","74006505","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"367","74006505","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"368","74006505","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut"
