a40f354b503385b4fe6e71ef05a16b73283a5c47c6d42b42fbb21540486961a0,12295f2c213482ff3dc49b5232370554ed0fb20ec77567e533acdb540b4106d3,b9d0d8add45ebc97eac82307e9372c1028bb7fdddba686ae7c987c25b3d1ef82,0635b3e293411141fbac54f6b28cf8b55c6c6aa1d3a5f93f6e88373758753bec,d720eb017d3dc2f19acad374d9622940f3b074d7f15fbacf9893d987214cf101,08a7abd39f250ad7e0645e2e0e2db255b6460ededff5137bb477d3ee03d34bb9,eec86a7aa0dd77c7f584211e110fc486fa42f2339695935a8468f13b3ea6a0b0,f34981fb188c4d6f152070609e16e13b63fa87359bb0b5911bc73f618fd8fe49,4cce7736a8919875e7462f0a3a45056918785325ea832d3e4902b23422f6573a,c1cd41472f8553af9238b2d44073594a6901432fed6320e82b11b14451e09f76,2d306b707fa531f3fb7b61212c473f2f07b83ac726dc5ed217d744e362480353
"","93","","","3","33","","1330014","","",""
"0","3","0.2","","2","33","pkb_shock","1330015","","pkb_idle_shock","1"
"","91","","","1330011","33","","1330016","","",""
"1","3","0.2","","2","33","pkb_idle_normal","1330017","","",""
"100","1","1.6","pkb_idle_normal","1","34","106531","1340001","1","170","-150"
"100","1","1.6","pkb_idle_normal","1","34","113411","1340002","0","-20","-150"
"0","3","0.2","","106531","34","pkb_talk_arm_crossed","1340003","0.2","pkb_idle_arm_crossed","1"
"0","21","","","vo_minigame_1006","34","vo_minigame_1006_top_talk_13_301","1340004","","0",""
"8","11","0","-1","106531","34","キミもすげえボール\n投げるじゃねえか\nどうやって\n投げてんだ？","1340005","0","0","0"
"","93","","","3.4","34","","1340006","","",""
"1","3","0.2","","106531","34","pkb_talk_normal","1340007","","",""
"","91","","","1340005","34","","1340008","","",""
"1","3","0.2","","106531","34","pkb_idle_normal","1340009","","",""
"1","3","0.2","","113411","34","pkb_talk_normal","1340010","","",""
"0","21","","","vo_minigame_1006","34","vo_minigame_1006_top_talk_13_202","1340011","","0",""
"8","11","0","1","113411","34","超能りょ……\nじゃなくて！\n特別な魔法を\n使ってるんだ～えへへ","1340012","0","0","0"
"","93","","","1.2","34","","1340013","","",""
"0","3","0.2","","113411","34","pkb_surprise","1340014","0.2","pkb_talk_surprise1","1"
"","93","","","1","34","","1340015","","",""
"1","3","0.2","","113411","34","pkb_talk_joy3","1340016","","",""
"","91","","","1340012","34","","1340017","","",""
"1","3","0.2","","113411","34","pkb_idle_normal","1340018","","",""
"100","1","1.6","pkb_idle_normal","1","35","113511","1350001","0","-20","-150"
"100","1","1.6","pkb_idle_normal","1","35","102311","1350002","1","170","-150"
"1","3","0.2","","113511","35","pkb_talk_joy3","1350003","","",""
"0","21","","","vo_minigame_1006","35","vo_minigame_1006_top_talk_14_101","1350004","","0",""
"6","11","0","0.5","113511","35","アヤネちゃん\n今日も打撃コーチを\nよろしくね～\n頼りにしてるから～！","1350005","0","0","0"
"","93","","","5.2","35","","1350006","","",""
"1","3","0.2","","113511","35","pkb_talk_wish","1350007","","",""
"","91","","","1350005","35","","1350008","","",""
"1","3","0.2","","113511","35","pkb_idle_normal","1350009","","",""
"1","3","0.2","","102311","35","pkb_talk_joy1","1350010","","",""
"0","21","","","vo_minigame_1006","35","vo_minigame_1006_top_talk_14_402","1350011","","0",""
"8","11","0","-1","102311","35","お兄ちゃんたちが\nいっぱいホームラン\n打てるように\nがんばるね！","1350012","0","0","0"
"","93","","","3.2","35","","1350013","","",""
"0","3","0.2","","102311","35","pkb_talk_doya","1350014","","pkb_idle_doya","1"
"","91","","","1350012","35","","1350015","","",""
"1","3","0.2","","102311","35","pkb_idle_normal","1350016","","",""
"100","5","55","pkb_idle_normal_l","3","36","3","1360001","1","170","-130"
"100","5","55","pkb_idle_normal","1","36","1","1360002","0","-20","-130"
"0","3","0.2","","3","36","pkb_talk_arm_crossed_l","1360003","0.2","pkb_idle_arm_crossed_l","1"
"0","21","","","vo_minigame_1006","36","vo_minigame_1006_top_talk_15_601","1360004","","0",""
"8","11","0","-0.5","3","36","おい、アサヒ！\nどんくらい上達したか\n見せてみろ！","1360005","0","0","0"
"","91","","","1360005","36","","1360006","","",""
"1","3","0.2","","3","36","pkb_idle_normal_l","1360007","","",""
"0","3","0.2","","1","36","pkb_talk_guts","1360008","","pkb_idle_guts","1"
"0","21","","","vo_minigame_1006","36","vo_minigame_1006_top_talk_15_702","1360009","","0",""
"8","11","0","0","1","36","ああ！　ダイチこそ\n手加減なしで頼むよ\n真剣勝負だ！","1360010","0","0","0"
"","91","","","1360010","36","","1360011","","",""
"1","3","0.2","","1","36","pkb_idle_normal","1360012","","",""
"100","5","55","pkb_idle_normal","1","37","1","1370001","0","-20","-130"
"100","5","55","pkb_idle_normal_l","3","37","3","1370002","1","170","-130"
"0","3","0.2","","1","37","pkb_talk_guts","1370003","","pkb_idle_guts","1"
"0","21","","","vo_minigame_1006","37","vo_minigame_1006_top_talk_16_701","1370004","","0",""
"8","11","0","-0.5","1","37","全国大会に絶対行こう\n俺たちの夢を\n叶えるんだ！","1370005","0","0","0"
"","93","","","3.2","37","","1370006","","",""
"0","3","0.2","","1","37","pkb_talk_handsup","1370007","0.2","pkb_idle_normal","1"
"","91","","","1370005","37","","1370008","","",""
"1","3","0.2","","1","37","pkb_idle_normal","1370009","","",""
"0","3","0.2","","3","37","pkb_talk_arm_crossed_l","1370010","0.2","pkb_idle_arm_crossed_l","1"
"0","21","","","vo_minigame_1006","37","vo_minigame_1006_top_talk_16_602","1370011","","0",""
"8","11","0","1","3","37","ふん、当然だろ\n俺たちなら\n全国優勝だって\n夢じゃねえぜ！","1370012","0","0","0"
"","93","","","4.8","37","","1370013","","",""
"0","3","0.2","","3","37","pkb_talk_guts_l","1370014","","pkb_idle_guts_l","1"
"","91","","","1370012","37","","1370015","","",""
"1","3","0.2","","3","37","pkb_idle_normal_l","1370016","","",""
"100","1","1.6","pkb_idle_normal","1","38","106531","1380001","1","170","-150"
"100","5","55","pkb_idle_normal","2","38","2","1380002","0","-20","-130"
"0","3","0.2","","106531","38","pkb_talk_arm_crossed","1380003","0.2","pkb_idle_arm_crossed","1"
"0","21","","","vo_minigame_1006","38","vo_minigame_1006_top_talk_17_301","1380004","","0",""
"8","11","0","-0.5","106531","38","結構やるように\nなってきたじゃねえか\nこっからはオレ様も\n本気でいくぜぇ！！","1380005","0","0","0"
"","93","","","3.6","38","","1380006","","",""
"0","3","0.2","","106531","38","pkb_talk_doya","1380007","","pkb_idle_doya","1"
"","93","","","2","38","","1380008","","",""
"0","3","0.2","","106531","38","pkb_talk_handsup","1380009","0.2","pkb_idle_normal","1"
"","91","","","1380005","38","","1380010","","",""
"","93","","","1","38","","1380011","","",""
"1","3","0.2","","106531","38","pkb_idle_normal","1380012","","",""
"0","3","0.2","","2","38","pkb_shock","1380013","","pkb_idle_shock","1"
"0","21","","","vo_minigame_1006","38","vo_minigame_1006_top_talk_17_802","1380014","","0",""
"7","11","0","1","2","38","マジか……\nまだ本気じゃ\nなかったのかよ\n…何人か死ぬな","1380015","0","0","0"
"","91","","","1380015","38","","1380016","","",""
"1","3","0.2","","2","38","pkb_idle_normal","1380017","","",""
