4e8e2aac8349ca5b9c266a64cb6d42249ebab93ce3f788075fa134a8673ce569,b922dcbbb992a5dbb63920b85b35cf978f7dc82292257cbc2b8e5abfd062c53e,e1a02e29611fad882cb9627040084919c192d2bd93ea921e6fd2a798228d00eb,6f1df0ed3df0c1c9cccbd6cc6e26fbedd35de97140408e575a3e1983763294cc,6aa0e0fcdb044fda9ae830b56ff9e12bc682808e93f01bf7cab149b14e8acb93,eee57589fb127a4094eae5fb418f5cf4fe588b5fee929e3c744311753c3db0f2,7fbd7a47919b24b7c3425b8c5d21ce61cd1544d27b92ab959ff6a1c1bc152c45,3267cc1c4cbe1493a407aba16d53b39eefedd34249cb201124cbcd7ac387f36c,ff2b5378c2ff5d481af416b63b9c7b7ed2135d28ff25778e0abd73e817a74ed7,bada1efdf28be9f293e49fd721aac1b5048d75a390a4364d2914e22697a4f740,0bd47d484f8a105bb9d95404a9a9f909a11cc157775a937e9eee94daed2909d9
"1","7","1","11","","あれくらいで立ち止まる気は\nなかったからね\nウヅキもミオも、絶対立ち上がるって\n信じてたよ","","112511","10","","1070046"
"","7","","91","","","","0","","","1070047"
"","7","","3","","omp_idle_calm","0","112511","1","","1070048"
"","7","","3","","omp_talk_joy1","0","112411","1","","1070049"
"","7","0","21","","vo_omp_7007_007","","vo_omp_7007","0","","1070050"
"1","7","1","11","","リンちゃん…！","","112411","10","","1070051"
"","7","","91","","","","0","","","1070052"
"","7","","4","","0","","112611","","","1070053"
"","7","","3","","omp_psn_20","0","112411","1","","1070054"
"","7","","3","","omp_talk_joy1","0","112611","1","","1070055"
"","7","0","21","","vo_omp_7007_008","","vo_omp_7007","0","","1070056"
"1","7","1","11","","へへっ、しぶりんってば\nクールぶってるくせに、熱いねぇ♪\nそんなしぶりんは、しまむーと私で\nぎゅ～っとしちゃうぞ～！","","112611","10","","1070057"
"","7","","93","","1","","10","","","1070058"
"","7","","4","","0","","112611","1","","1070059"
"1","7","0","2","","120","","112611","-205","","1070060"
"1","7","0","2","","420","","112411","-205","","1070061"
"1","7","omp_psn_13_loop","3","0.1","omp_psn_13","0","112611","0","","1070062"
"1","7","omp_psn_13_loop","3","0.1","omp_psn_13","0","112411","0","","1070063"
"1","7","omp_psn_15_loop","3","0","omp_psn_15","0","112511","0","","1070064"
"","7","","93","","1","","1","","","1070065"
"1","7","omp_idle_surprise1","3","","omp_surprise","0","105831","0","","1070066"
"1","7","omp_idle_surprise1","3","","omp_surprise","0","105931","0","","1070067"
"1","7","omp_idle_surprise2","3","0.2","omp_surprise","0","106031","0","","1070068"
"","7","","91","","","","1070057","","","1070069"
"","7","0","21","","vo_omp_7007_009","","vo_omp_7007","0","","1070070"
"1","7","1","11","","ちょっ、や、やめてよ…！","","112511","10","","1070071"
"","7","","91","","","","0","","","1070072"
"","7","","4","","1","","105831","1","","1070073"
"","7","","3","","omp_talk_joy1","0","105831","1","","1070074"
"","7","0","21","","vo_omp_7007_010","","vo_omp_7007","0","","1070075"
"1","7","1","11","","キャルちゃん、\nわたしたちもやりましょう♪","","105831","10","","1070076"
"","7","","91","","","","0","","","1070077"
"","7","","3","","omp_idle_joy1","0","105831","1","","1070078"
"","7","","3","","omp_talk_tsun","0","106031","1","","1070079"
"","7","0","21","","vo_omp_7007_011","","vo_omp_7007","0","","1070080"
"1","7","1","11","","は！？　なんでよ、イヤよ、お断りよ！\nこらっ、なんで近づいてくるのよ！？\nコロ助、助けなさいよっ！？","","106031","10","","1070081"
"","7","","93","","1","","4","","","1070082"
"","7","","3","","omp_walk","0","105831","1","","1070083"
"1","7","1","2","","-120","","105831","-205","","1070084"
"","7","","91","","","","0","","","1070085"
"","7","","3","","omp_idle_joy1","0.2","105831","1","","1070086"
"","7","","91","","","","1070081","","","1070087"
"","7","","3","","omp_idle_joy1","0","105831","1","","1070088"
"","7","","3","","omp_idle_tsun","0","106031","1","","1070089"
"","7","","3","","omp_talk_normal","0","105931","1","","1070090"
"","7","0","21","","vo_omp_7007_012","","vo_omp_7007","0","","1070091"
"1","7","1","11","","キャルさま\n逃げ道はございません\n僭越ながら、わたくしも\n参加させてもらいますので…♪","","105931","10","","1070092"
"","7","","91","","","","0","","","1070093"
"1","7","0","2","","-120","","105831","-205","","1070094"
"1","7","0","2","","-440","","105931","-205","","1070095"
"1","7","omp_psn_14_loop","3","0.1","omp_psn_14","0","105831","0","","1070096"
"1","7","omp_psn_14_loop","3","0.1","omp_psn_14","0","105931","0","","1070097"
"1","7","omp_psn_15_loop","3","0","omp_psn_15","0","106031","0","","1070098"
"","7","0","21","","vo_omp_7007_013","","vo_omp_7007","0","","1070099"
"1","7","1","11","","ぎゅう～♪","","105831","10","","1070100"
"","7","","91","","","","0","","","1070101"
"","7","","3","","omp_psn_16_loop","0","106031","1","","1070102"
"","7","0","21","","vo_omp_7007_014","","vo_omp_7007","0","","1070103"
"1","7","1","11","","ちょっ、ふざけんなっ、おぶっ！？\nペコリーヌ、力加減！\nあたしを半分にする気！？\nちょっ、なんなのよ～っ！？","","106031","10","","1070104"
"","7","","91","","","","0","","","1070105"
"","7","","3","","omp_psn_13_loop","0","112611","1","","1070106"
"","7","0","21","","vo_omp_7007_015","","vo_omp_7007","0","","1070107"
"1","7","1","11","","わー！\nキャルキャル～！","","112611","10","","1070108"
"","7","","91","","","","0","","","1070109"
"","7","","3","","omp_psn_13_loop","0","112611","1","","1070110"
"","7","","3","","omp_psn_13_loop","0","112411","1","","1070111"
"","7","0","21","","vo_omp_7007_016","","vo_omp_7007","0","","1070112"
"1","7","1","11","","あはは♪\n【美食殿】のみなさんの\nスキンシップ、大胆ですねっ！","","112411","10","","1070113"
"","7","","91","","","","0","","","1070114"
"","7","","3","","omp_psn_13_loop","0","112411","1","","1070115"
"","7","","3","","omp_psn_15_loop","0","112511","1","","1070116"
"","7","0","21","","vo_omp_7007_017","","vo_omp_7007","0","","1070117"
"1","7","1","11","","大胆とかいうレベルを\n超えてる気がするんだけど…っ！？\nちょっ、やめ…ひゃああっ！","","112511","10","","1070118"
"","7","","93","","1","","5.5","","","1070119"
"","7","","3","","omp_psn_16_loop","0.1","112511","1","","1070120"
"","7","","91","","","","1070118","","","1070121"
"","7","","93","","","","0.4","","","1070122"
"-195","8","200","1","1","105831","1.8","1","1600","omp_idle_normal","1080001"
"-185","8","0","1","0","105931","1.8","1","1500","omp_talk_normal","1080002"
"-205","8","-200","1","0","106031","1.8","1","1600","omp_idle_normal","1080003"
"1","8","0","31","","1","1","1","0","","1080004"
"","8","","93","","","","1","","","1080005"
"","8","0","21","","vo_omp_7008_000","","vo_omp_7008","0","","1080006"
"1","8","1","11","","ムーサの町…初めて訪れましたが\n素敵な町でございますね","","105931","10","","1080007"
"","8","","91","","","","0","","","1080008"
"","8","","3","","omp_idle_normal","0","105931","1","","1080009"
"","8","","3","","omp_talk_joy1","0","105831","1","","1080010"
"","8","0","21","","vo_omp_7008_001","","vo_omp_7008","0","","1080011"
"1","8","1","11","","はい♪　活気もありますし\nなにより色んな特産品が美味しそうで\nやばいですね☆","","105831","10","","1080012"
"","8","","91","","","","0","","","1080013"
"","8","","3","","omp_idle_joy1","0","105831","1","","1080014"
"","8","","3","","omp_talk_sad","0","106031","1","","1080015"
"","8","0","21","","vo_omp_7008_002","","vo_omp_7008","0","","1080016"
"1","8","1","11","","はぁ。本当にあんたの頭の中は\n食べることばっかりね","","106031","10","","1080017"
"","8","","91","","","","0","","","1080018"
"","8","","3","","omp_idle_sad","0","106031","1","","1080019"
"","8","","3","","omp_talk_normal","0","105931","1","","1080020"
"","8","0","21","","vo_omp_7008_003","","vo_omp_7008","0","","1080021"
"1","8","1","11","","ふふ、ではこの後\n食べ歩きをいたしませんか？\nわたくし、お腹が空いてしまいました","","105931","10","","1080022"
"","8","","91","","","","0","","","1080023"
"","8","","3","","omp_idle_normal","0","105931","1","","1080024"
"","8","","3","","omp_talk_surprise1","0","106031","1","","1080025"
"","8","0","21","","vo_omp_7008_004","","vo_omp_7008","0","","1080026"
"1","8","1","11","","コロ助まで！？","","106031","10","","1080027"
"","8","","91","","","","0","","","1080028"
"","8","","3","","omp_idle_surprise1","0","106031","1","","1080029"
"","8","","3","","omp_talk_normal","0","105831","1","","1080030"
"","8","0","21","","vo_omp_7008_005","","vo_omp_7008","0","","1080031"
"1","8","1","11","","キャルちゃんはどうしますか～？","","105831","10","","1080032"
"","8","","91","","","","0","","","1080033"
"","8","","4","","1","","105931","","","1080034"
"","8","","3","","omp_idle_normal","0","105831","1","","1080035"
"","8","","3","","omp_talk_tsun","0","106031","1","","1080036"
"","8","0","21","","vo_omp_7008_006","","vo_omp_7008","0","","1080037"
"1","8","1","11","","あたしだって\n美味しいもの食べたいわよ！\n…魔物料理じゃなきゃね","","106031","10","","1080038"
"","8","","91","","","","0","","","1080039"
"","8","","3","","omp_idle_tsun","0","106031","1","","1080040"
"","8","","3","","omp_talk_normal","0","105931","1","","1080041"
"","8","0","21","","vo_omp_7008_007","","vo_omp_7008","0","","1080042"
"1","8","1","11","","ふふ、わたくしたちの思いは一つ\nさすが【美食殿】でございますね♪","","105931","10","","1080043"
"","8","","91","","","","0","","","1080044"
"","8","","4","","0","","105931","","","1080045"
"","8","","3","","omp_idle_normal","0","105931","1","","1080046"
"","8","","3","","omp_talk_joy1","0","105831","1","","1080047"
"","8","0","21","","vo_omp_7008_008","","vo_omp_7008","0","","1080048"
"1","8","1","11","","えっへへ～♪\nそれじゃあ行きましょう！\nコッコロちゃん！　キャルちゃん！","","105831","10","","1080049"
"","8","","91","","","","0","","","1080050"
"","8","","93","","","","0.4","","","1080051"
"-270","9","300","1","1","105831","1.8","1","1600","omp_idle_normal","1090001"
"-285","9","450","1","1","105931","1.8","1","1700","omp_idle_normal","1090002"
"-230","9","-310","1","1","106031","1.8","1","1600","omp_idle_normal","1090003"
"-190","9","-45","1","1","112511","1.8","1","1500","omp_idle_normal","1090004"
"-240","9","65","1","1","112411","1.8","1","1600","omp_idle_normal","1090005"
"-192","9","205","1","1","112611","1.8","1","1500","omp_idle_normal","1090006"
"1","9","0","31","","1","1","1","0","","1090007"
"","9","","93","","","","0.2","","","1090008"
"","9","","3","","omp_idle_normal","0.1","112611","1","","1090009"
"","9","","3","","omp_talk_sad","0","106031","1","","1090010"
"","9","","3","","omp_idle_normal","0.1","112511","1","","1090011"
"","9","","3","","omp_idle_normal","0.1","105831","1","","1090012"
"","9","","93","","","","0.1","","","1090013"
"","9","","93","","","","1","","","1090014"
"","9","0","21","","vo_omp_7009_000","","vo_omp_7009","0","","1090015"
"1","9","1","11","","ここでのことは思い出したくないわ\nなんであんなことしちゃったのかしら…\nはぁ。ほんっとサイアク！","","106031","10","","1090016"
"","9","","91","","","","0","","","1090017"
"","9","","3","","omp_psn_17","0","106031","0","","1090018"
"","9","0","21","","vo_omp_7009_001","","vo_omp_7009","0","","1090019"
"1","9","1","11","","…きゃるきゃるーん\nなんて、にゃ","","106031","10","","1090020"
"","9","","93","","1","","2","","","1090021"
"","9","","3","","omp_talk_sad","0.2","106031","1","","1090022"
"","9","","91","","","","1090020","","","1090023"
"","9","","3","","omp_idle_sad","0","106031","1","","1090024"
"1","9","omp_idle_joy1","3","0.2","omp_psn_17","0","105831","0","","1090025"
"","9","0","21","","vo_omp_7009_002","","vo_omp_7009","0","","1090026"
"1","9","1","11","","きゃるきゃるーん♪","","105831","10","","1090027"
"","9","","91","","","","0","","","1090028"
"","9","omp_idle_normal","3","0.2","omp_psn_17","0","105931","1","","1090029"
"","9","0","21","","vo_omp_7009_003","","vo_omp_7009","0","","1090030"
"1","9","1","11","","きゃるきゃるーん、でございますにゃ","","105931","10","","1090031"
"","9","","91","","","","0","","","1090032"
"","9","","4","","0","","106031","","","1090033"
"1","9","omp_idle_surprise1","3","0","omp_surprise","0","106031","0","","1090034"
"","9","0","21","","vo_omp_7009_004","","vo_omp_7009","0","","1090035"
"1","9","1","11","","なっ、あんたたち！？\nい、今のっ、見てっ…！？","","106031","10","","1090036"
"","9","","91","","","","0","","","1090037"
"","9","omp_idle_joy1","3","0.2","omp_psn_17_other","0","112611","1","","1090038"
"","9","0","21","","vo_omp_7009_005","","vo_omp_7009","0","","1090039"
"1","9","1","11","","きゃっるきゃる～ん♪\n華麗に登場にゃ☆","","112611","10","","1090040"
"","9","","91","","","","0","","","1090041"
"","9","","3","","omp_talk_anger2","0","106031","1","","1090042"
"","9","0","21","","vo_omp_7009_006","","vo_omp_7009","0","","1090043"
"1","9","1","11","","殺す！　殺すわ！\n全員まとめてぶっ殺して\nあんなことしちゃったあたしも殺すわ！\nみんな消し去ってやるわよぉ～っ！","","106031","10","","1090044"
"","9","","91","","","","0","","","1090045"
"","9","","3","","omp_idle_anger2","0","106031","1","","1090046"
"","9","","3","","omp_talk_sad","0","112411","1","","1090047"
"","9","0","21","","vo_omp_7009_007","","vo_omp_7009","0","","1090048"
"1","9","1","11","","キャ、キャルちゃん。えっと、その…","","112411","10","","1090049"
"","9","","91","","","","0","","","1090050"
"","9","","3","","omp_idle_sad","0","112411","1","","1090051"
"","9","","3","","omp_talk_normal","0","112511","1","","1090052"
"","9","0","21","","vo_omp_7009_008","","vo_omp_7009","0","","1090053"
"1","9","1","11","","大変だね","","112511","10","","1090054"
"","9","","91","","","","0","","","1090055"
"","9","","3","","omp_idle_normal","0","112511","1","","1090056"
"","9","","3","","omp_talk_tsun","0","106031","1","","1090057"
"","9","0","21","","vo_omp_7009_009","","vo_omp_7009","0","","1090058"
"1","9","1","11","","あ、あんたたちは見逃してあげるわ…！\nでもあいつらはダメ！\nこの世から消し去らないとあたしが\n安心できないっ…！","","106031","10","","1090059"
"","9","","91","","","","0","","","1090060"
"","9","","3","","omp_idle_tsun","0","106031","1","","1090061"
"","9","","3","","omp_talk_normal","0","112511","1","","1090062"
"","9","0","21","","vo_omp_7009_010","","vo_omp_7009","0","","1090063"
"1","9","1","11","","でもあれ、かわいかったと思うけど","","112511","10","","1090064"
"","9","","91","","","","0","","","1090065"
"","9","","3","","omp_idle_normal","0","112511","1","","1090066"
"","9","","3","","omp_talk_joy2","0","112411","1","","1090067"
"","9","0","21","","vo_omp_7009_011","","vo_omp_7009","0","","1090068"
"1","9","1","11","","はい！　とっても素敵でした！","","112411","10","","1090069"
"","9","","91","","","","0","","","1090070"
"","9","","3","","omp_psn_20","0","112411","1","","1090071"
"","9","","3","","omp_talk_tsun","0","106031","1","","1090072"
"","9","0","21","","vo_omp_7009_012","","vo_omp_7009","0","","1090073"
"1","9","1","11","","そんなのうれしくないわよ～っ！？","","106031","10","","1090074"
"","9","","91","","","","0","","","1090075"
"","9","","3","","omp_idle_tsun","0","106031","1","","1090076"
"1","9","omp_idle_joy1","3","0.2","omp_psn_17","0","105831","0","","1090077"
"1","9","omp_idle_normal","3","0.2","omp_psn_17","0","105931","0","","1090078"
"1","9","omp_idle_joy1","3","0.2","omp_psn_17_other","0","112611","0","","1090079"
"","9","0","21","","vo_omp_7009_013","","vo_omp_7009","0","","1090080"
"1","9","1","11","","きゃるきゃるーん♪","","105831","10","","1090081"
"","9","","91","","","","0","","","1090082"
"","9","","3","","omp_talk_anger2","0","106031","1","","1090083"
"","9","0","21","","vo_omp_7009_014","","vo_omp_7009","0","","1090084"
"1","9","1","11","","絶対にぶっ殺す～～～～～～～！","","106031","10","","1090085"
"","9","","91","","","","0","","","1090086"
"","9","","93","","","","0.4","","","1090087"
